* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/09/2022 9:24:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 150 ohm bass speakers L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.000 128.5342
1.015000 44.029 127.2436
1.030000 44.059 125.9450
1.044000 44.086 124.7233
1.060000 44.117 123.3157
1.075000 44.147 121.9850
1.090000 44.178 120.6439
1.106000 44.211 119.2019
1.120000 44.241 117.9305
1.138000 44.280 116.2827
1.150000 44.308 115.1762
1.172000 44.361 113.1309
1.180000 44.381 112.3819
1.206000 44.450 109.9284
1.220000 44.490 108.5953
1.241000 44.553 106.5801
1.250000 44.582 105.7108
1.265000 44.631 104.2545
1.280000 44.684 102.7889
1.315000 44.819 99.3339
1.320000 44.840 98.8364
1.340000 44.927 96.8363
1.360000 45.021 94.8116
1.380000 45.120 92.7396
1.400000 45.225 90.6253
1.430000 45.393 87.3888
1.450000 45.511 85.1973
1.475000 45.665 82.4314
1.500000 45.825 79.6480
1.525000 45.990 76.8599
1.550000 46.161 74.0798
1.575000 46.336 71.3206
1.600000 46.515 68.5951
1.625000 46.697 65.9161
1.650000 46.881 63.2963
1.675000 47.067 60.7485
1.700000 47.257 58.2694
1.725000 47.453 55.8205
1.750000 47.657 53.4001
1.775000 47.867 51.0091
1.800000 48.081 48.6486
1.825000 48.299 46.3194
1.850000 48.519 44.0226
1.875000 48.741 41.7591
1.900000 48.963 39.5299
1.925000 49.184 37.3358
1.950000 49.403 35.1779
1.975000 49.619 33.0571
2.000000 49.832 30.9744
2.030000 50.080 28.5267
2.060000 50.327 26.1366
2.090000 50.575 23.8022
2.120000 50.823 21.5218
2.140000 50.988 20.0303
2.180000 51.314 17.1141
2.200000 51.475 15.6881
2.240000 51.792 12.8973
2.270000 52.025 10.8554
2.300000 52.251 8.8552
2.330000 52.471 6.8945
2.360000 52.683 4.9715
2.400000 52.957 2.4740
2.430000 53.157 0.6533
2.470000 53.417 -1.7056
2.500000 53.606 -3.4241
2.540000 53.849 -5.6490
2.580000 54.083 -7.7993
2.620000 54.307 -9.8767
2.650000 54.468 -11.3877
2.690000 54.673 -13.3410
2.720000 54.819 -14.7614
2.760000 55.004 -16.5965
2.800000 55.179 -18.3618
2.850000 55.382 -20.4658
2.900000 55.571 -22.4504
2.950000 55.746 -24.3099
3.000000 55.909 -26.0386
3.040000 56.031 -27.3250
3.070000 56.114 -28.2458
3.110000 56.215 -29.4162
3.150000 56.305 -30.5125
3.200000 56.407 -31.7643
3.250000 56.501 -32.8673
3.300000 56.591 -33.8030
3.350000 56.682 -34.5531
3.400000 56.772 -35.1013
3.450000 56.846 -35.4527
3.500000 56.913 -35.6261
3.550000 56.980 -35.6400
3.600000 57.056 -35.5133
3.650000 57.149 -35.2648
3.700000 57.268 -34.9131
3.750000 57.407 -34.3985
3.820000 57.620 -33.3519
3.870000 57.791 -32.4532
3.950000 58.105 -30.9209
4.000000 58.332 -29.9981
4.060000 58.641 -29.0027
4.120000 58.997 -27.9683
4.180000 59.391 -26.9081
4.250000 59.884 -25.7441
4.310000 60.321 -24.8990
4.370000 60.759 -24.2784
4.440000 61.282 -23.8462
4.500000 61.750 -23.6600
4.550000 62.148 -23.6263
4.620000 62.701 -23.7517
4.680000 63.162 -24.0078
4.750000 63.675 -24.4832
4.820000 64.178 -25.2001
4.870000 64.530 -25.8341
4.940000 65.008 -26.8454
5.000000 65.401 -27.7859
5.080000 65.895 -29.0955
5.150000 66.304 -30.3652
5.220000 66.691 -31.7347
5.300000 67.108 -33.3664
5.380000 67.498 -35.0067
5.450000 67.817 -36.4519
5.520000 68.113 -37.9393
5.600000 68.427 -39.6559
5.700000 68.789 -41.7673
5.800000 69.116 -43.8126
5.900000 69.406 -45.8290
6.000000 69.666 -47.7793
6.080000 69.857 -49.2671
6.150000 70.010 -50.5235
6.220000 70.149 -51.7401
6.300000 70.294 -53.0764
6.400000 70.460 -54.6572
6.500000 70.609 -56.1341
6.600000 70.738 -57.5141
6.700000 70.854 -58.8041
6.800000 70.958 -60.0075
6.900000 71.049 -61.1208
7.000000 71.127 -62.1477
7.100000 71.195 -63.0935
7.200000 71.250 -63.9635
7.300000 71.295 -64.7464
7.400000 71.329 -65.4274
7.500000 71.352 -66.0147
7.620000 71.364 -66.5903
7.750000 71.368 -66.9910
7.880000 71.358 -67.1524
8.000000 71.344 -67.0866
8.120000 71.342 -66.7792
8.250000 71.346 -66.1529
8.380000 71.376 -65.3086
8.500000 71.445 -64.3627
8.620000 71.546 -63.2352
8.750000 71.702 -62.0295
8.850000 71.863 -61.1367
9.000000 72.157 -59.8558
9.120000 72.421 -59.0855
9.250000 72.744 -58.5012
9.380000 73.082 -58.1872
9.500000 73.388 -58.1913
9.620000 73.695 -58.4682
9.750000 74.011 -58.9947
9.880000 74.300 -59.7505
10.000000 74.546 -60.6362
10.150000 74.816 -61.8439
10.300000 75.046 -63.1909
10.440000 75.229 -64.4693
10.600000 75.400 -65.9134
10.750000 75.531 -67.2336
10.900000 75.642 -68.4698
11.060000 75.738 -69.7163
11.200000 75.812 -70.7431
11.380000 75.893 -71.9811
11.500000 75.939 -72.7763
11.720000 76.007 -74.1674
11.800000 76.024 -74.6482
12.060000 76.055 -76.1289
12.200000 76.053 -76.8049
12.410000 76.026 -77.6356
12.500000 76.011 -77.8736
12.650000 75.976 -78.1250
12.800000 75.950 -78.1710
13.150000 75.956 -77.4627
13.200000 75.972 -77.2929
13.400000 76.073 -76.5020
13.600000 76.247 -75.7891
13.800000 76.480 -75.2401
14.000000 76.755 -75.0544
14.300000 77.174 -75.4656
14.500000 77.430 -76.1264
14.750000 77.697 -77.2366
15.000000 77.904 -78.3546
15.250000 78.069 -79.3169
15.500000 78.213 -80.0335
15.750000 78.367 -80.5081
16.000000 78.545 -80.9075
16.250000 78.742 -81.3642
16.500000 78.944 -81.9742
16.750000 79.127 -82.7765
17.000000 79.272 -83.6564
17.250000 79.375 -84.4819
17.500000 79.441 -85.1250
17.750000 79.486 -85.4628
18.000000 79.536 -85.4952
18.250000 79.607 -85.2867
18.500000 79.709 -84.9247
18.750000 79.844 -84.5390
19.000000 80.002 -84.2001
19.250000 80.178 -83.9328
19.500000 80.366 -83.7465
19.750000 80.565 -83.6384
20.000000 80.776 -83.6402
20.299999 81.040 -83.8461
20.600000 81.303 -84.3492
20.900000 81.542 -85.1765
21.200001 81.733 -86.2565
21.400000 81.826 -87.0331
21.799999 81.934 -88.4354
22.000000 81.961 -88.9543
22.400000 82.000 -89.5468
22.700001 82.054 -89.6820
23.000000 82.144 -89.7326
23.299999 82.266 -89.8712
23.600000 82.398 -90.2006
24.000000 82.554 -90.9087
24.299999 82.640 -91.4988
24.700001 82.722 -92.1353
25.000000 82.779 -92.4215
25.400000 82.879 -92.5957
25.799999 83.023 -92.7367
26.200001 83.195 -93.0536
26.500000 83.324 -93.4513
26.900000 83.476 -94.1191
27.200001 83.568 -94.6295
27.600000 83.670 -95.1827
28.000000 83.767 -95.5217
28.500000 83.916 -95.7108
29.000000 84.107 -95.8850
29.500000 84.320 -96.2516
30.000000 84.520 -96.8430
30.400000 84.656 -97.4034
30.700001 84.742 -97.8200
31.100000 84.839 -98.3142
31.500000 84.923 -98.6976
32.000000 85.027 -99.0169
32.500000 85.147 -99.2366
33.000000 85.285 -99.4970
33.500000 85.430 -99.8957
34.000000 85.565 -100.4331
34.500000 85.682 -101.0372
35.000000 85.782 -101.6068
35.500000 85.877 -102.0522
36.000000 85.991 -102.3615
36.500000 86.144 -102.6728
37.000000 86.326 -103.2247
37.500000 86.492 -104.1261
38.200001 86.624 -105.5195
38.700001 86.667 -106.1047
39.500000 86.800 -106.2470
40.000000 86.948 -106.3600
40.599998 87.124 -106.8250
41.200001 87.256 -107.3577
41.799999 87.373 -107.7014
42.500000 87.525 -108.0308
43.099998 87.650 -108.3880
43.700001 87.766 -108.6916
44.400002 87.927 -109.0148
45.000000 88.078 -109.5423
45.500000 88.177 -110.1651
46.200001 88.259 -110.9218
46.799999 88.325 -111.2233
47.500000 88.453 -111.4392
48.200001 88.607 -111.8702
48.700001 88.707 -112.2739
49.400002 88.837 -112.8442
50.000000 88.944 -113.3920
50.799999 89.051 -114.2045
51.500000 89.114 -114.7368
52.200001 89.193 -115.0658
53.000000 89.318 -115.5459
53.799999 89.435 -116.2473
54.500000 89.523 -116.8690
55.200001 89.611 -117.4471
56.000000 89.716 -118.0820
57.000000 89.860 -118.8323
58.000000 90.012 -119.6057
59.000000 90.159 -120.3567
60.000000 90.305 -121.0967
60.799999 90.410 -121.6912
61.500000 90.502 -122.1590
62.200001 90.605 -122.6563
63.000000 90.720 -123.3727
64.000000 90.840 -124.3454
65.000000 90.957 -125.2836
66.000000 91.070 -126.2782
67.000000 91.170 -127.2338
68.000000 91.262 -128.0520
69.000000 91.361 -128.7206
70.000000 91.471 -129.3688
71.000000 91.577 -130.0328
72.000000 91.683 -130.7128
73.000000 91.782 -131.5316
74.000000 91.855 -132.4036
75.000000 91.922 -133.2181
76.199997 92.006 -134.2090
77.500000 92.101 -135.2394
78.800003 92.214 -136.2754
80.000000 92.311 -137.2690
81.199997 92.400 -138.1949
82.500000 92.492 -139.1886
83.800003 92.568 -140.1750
85.000000 92.634 -141.0665
86.199997 92.699 -141.9671
87.500000 92.770 -142.9620
88.500000 92.824 -143.7413
90.000000 92.900 -144.9080
91.199997 92.956 -145.8236
92.500000 93.012 -146.7944
93.800003 93.064 -147.7801
95.000000 93.107 -148.6917
96.199997 93.148 -149.5815
97.500000 93.193 -150.5154
98.800003 93.240 -151.4250
100.000000 93.279 -152.2866
101.500000 93.313 -153.3545
103.000000 93.336 -154.3769
104.400002 93.353 -155.3307
106.000000 93.367 -156.4010
107.500000 93.379 -157.3652
109.000000 93.389 -158.3141
110.599998 93.393 -159.2895
112.000000 93.393 -160.1230
113.800003 93.390 -161.2052
115.000000 93.387 -161.9243
117.199997 93.383 -163.2402
118.000000 93.380 -163.7166
120.599998 93.365 -165.2115
122.000000 93.355 -165.9835
124.099998 93.340 -167.1328
125.000000 93.333 -167.6283
126.500000 93.319 -168.4422
128.000000 93.304 -169.2279
131.500000 93.263 -170.9521
132.000000 93.257 -171.1914
134.000000 93.225 -172.1436
136.000000 93.188 -173.0681
138.000000 93.149 -173.9718
140.000000 93.110 -174.8593
143.000000 93.043 -176.1217
145.000000 92.995 -176.8962
147.500000 92.930 -177.8382
150.000000 92.861 -178.7331
152.500000 92.790 -179.5934
155.000000 92.714 179.5923
157.500000 92.638 178.8134
160.000000 92.563 178.0381
162.500000 92.489 177.2825
165.000000 92.418 176.5451
167.500000 92.346 175.8220
170.000000 92.272 175.1292
172.500000 92.194 174.4688
175.000000 92.113 173.8470
177.500000 92.031 173.2750
180.000000 91.950 172.7552
182.500000 91.864 172.2800
185.000000 91.774 171.8337
187.500000 91.685 171.4047
190.000000 91.597 171.0089
192.500000 91.509 170.6327
195.000000 91.424 170.2385
197.500000 91.343 169.8122
200.000000 91.266 169.4011
203.000000 91.177 168.9751
206.000000 91.088 168.5808
209.000000 91.000 168.2120
212.000000 90.914 167.8929
214.000000 90.857 167.7047
218.000000 90.747 167.3502
220.000000 90.693 167.1743
224.000000 90.582 166.8344
227.000000 90.497 166.5965
230.000000 90.414 166.3744
233.000000 90.335 166.1792
236.000000 90.258 166.0138
240.000000 90.155 165.8123
243.000000 90.079 165.6658
247.000000 89.982 165.4800
250.000000 89.911 165.3245
254.000000 89.815 165.1091
258.000000 89.719 164.9315
262.000000 89.619 164.8059
265.000000 89.540 164.7484
269.000000 89.426 164.7250
272.000000 89.334 164.7745
276.000000 89.218 164.9877
280.000000 89.135 165.3291
285.000000 89.081 165.5842
290.000000 89.032 165.4818
295.000000 88.964 165.2889
