* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/09/2022 9:22:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 150 ohm bass speakers R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.652 -129.2514
1.015000 49.777 -128.5907
1.030000 49.909 -127.9998
1.044000 50.040 -127.5024
1.060000 50.198 -126.9955
1.075000 50.352 -126.5773
1.090000 50.512 -126.2120
1.106000 50.688 -125.8779
1.120000 50.846 -125.6304
1.138000 51.053 -125.3705
1.150000 51.192 -125.2319
1.172000 51.451 -125.0451
1.180000 51.545 -124.9976
1.206000 51.851 -124.9128
1.220000 52.013 -124.9080
1.241000 52.254 -124.9494
1.250000 52.354 -124.9835
1.265000 52.519 -125.0604
1.280000 52.680 -125.1602
1.315000 53.030 -125.4693
1.320000 53.077 -125.5208
1.340000 53.255 -125.7421
1.360000 53.420 -125.9967
1.380000 53.580 -126.3177
1.400000 53.734 -126.7035
1.430000 53.954 -127.3952
1.450000 54.095 -127.9259
1.475000 54.262 -128.6608
1.500000 54.421 -129.4680
1.525000 54.571 -130.3398
1.550000 54.713 -131.2687
1.575000 54.846 -132.2470
1.600000 54.970 -133.2671
1.625000 55.086 -134.3214
1.650000 55.192 -135.4023
1.675000 55.291 -136.5022
1.700000 55.380 -137.6177
1.725000 55.461 -138.7594
1.750000 55.533 -139.9323
1.775000 55.596 -141.1407
1.800000 55.651 -142.3889
1.825000 55.697 -143.6815
1.850000 55.735 -145.0227
1.875000 55.763 -146.4169
1.900000 55.783 -147.8685
1.925000 55.795 -149.3820
1.950000 55.797 -150.9616
1.975000 55.791 -152.6118
2.000000 55.775 -154.3369
2.030000 55.745 -156.5043
2.060000 55.694 -158.7081
2.090000 55.623 -160.9485
2.120000 55.535 -163.2483
2.140000 55.468 -164.8258
2.180000 55.321 -168.1178
2.200000 55.242 -169.8458
2.240000 55.077 -173.4999
2.270000 54.951 -176.4404
2.300000 54.827 -179.5778
2.330000 54.707 177.0650
2.360000 54.594 173.4647
2.400000 54.413 168.2358
2.430000 54.250 164.0166
2.470000 54.013 158.0579
2.500000 53.833 153.3823
2.540000 53.610 146.9364
2.580000 53.426 140.3209
2.620000 53.305 133.6150
2.650000 53.270 128.5739
2.690000 53.313 121.9004
2.720000 53.419 116.8287
2.760000 53.642 109.7539
2.800000 53.944 102.4427
2.850000 54.408 93.1730
2.900000 54.943 83.9997
2.950000 55.518 75.1815
3.000000 56.103 66.9772
3.040000 56.563 61.0155
3.070000 56.928 56.8181
3.110000 57.452 51.5013
3.150000 58.005 46.4827
3.200000 58.718 40.5924
3.250000 59.431 35.0844
3.300000 60.119 29.9125
3.350000 60.757 25.0303
3.400000 61.334 20.4726
3.450000 61.882 16.3941
3.500000 62.404 12.7050
3.550000 62.900 9.3012
3.600000 63.369 6.0785
3.650000 63.813 2.9327
3.700000 64.232 -0.2402
3.750000 64.623 -3.4088
3.820000 65.124 -7.6616
3.870000 65.450 -10.5791
3.950000 65.925 -15.0609
4.000000 66.195 -17.7578
4.060000 66.493 -20.8992
4.120000 66.760 -23.9209
4.180000 66.994 -26.8215
4.250000 67.231 -30.0591
4.310000 67.404 -32.7142
4.370000 67.551 -35.2638
4.440000 67.689 -38.1288
4.500000 67.776 -40.4896
4.550000 67.828 -42.3696
4.620000 67.873 -44.8376
4.680000 67.888 -46.7722
4.750000 67.876 -48.8118
4.820000 67.825 -50.7015
4.870000 67.768 -51.9256
4.940000 67.670 -53.3990
5.000000 67.575 -54.3823
5.080000 67.442 -55.2103
5.150000 67.288 -55.5206
5.220000 67.118 -55.4794
5.300000 66.940 -55.0270
5.380000 66.823 -54.1710
5.450000 66.767 -52.9752
5.520000 66.733 -51.3274
5.600000 66.744 -49.1571
5.700000 66.876 -46.4688
5.800000 67.184 -43.9575
5.900000 67.646 -41.3356
6.000000 68.188 -39.1061
6.080000 68.633 -37.9437
6.150000 69.059 -37.3403
6.220000 69.515 -37.0483
6.300000 70.039 -37.0706
6.400000 70.648 -37.5898
6.500000 71.207 -38.7635
6.600000 71.733 -40.5100
6.700000 72.204 -42.5654
6.800000 72.607 -44.7986
6.900000 72.951 -47.3535
7.000000 73.235 -50.0602
7.100000 73.456 -52.7512
7.200000 73.614 -55.5345
7.300000 73.710 -58.3313
7.400000 73.748 -60.9783
7.500000 73.725 -63.5011
7.620000 73.618 -66.3722
7.750000 73.426 -68.9193
7.880000 73.139 -70.8837
8.000000 72.816 -72.0939
8.120000 72.490 -72.4111
8.250000 72.091 -71.7259
8.380000 71.749 -70.2128
8.500000 71.566 -68.0839
8.620000 71.474 -65.2072
8.750000 71.529 -62.1270
8.850000 71.720 -59.9123
9.000000 72.183 -56.7803
9.120000 72.603 -55.0856
9.250000 73.129 -54.1345
9.380000 73.668 -53.9003
9.500000 74.104 -54.2962
9.620000 74.509 -55.3319
9.750000 74.889 -56.7629
9.880000 75.190 -58.3912
10.000000 75.409 -60.0867
10.150000 75.616 -62.0398
10.300000 75.741 -63.8619
10.440000 75.821 -65.2732
10.600000 75.874 -66.4199
10.750000 75.919 -67.1354
10.900000 75.996 -67.4656
11.060000 76.111 -67.5277
11.200000 76.268 -67.5721
11.380000 76.536 -67.6016
11.500000 76.738 -67.8605
11.720000 77.158 -68.7861
11.800000 77.301 -69.3028
12.060000 77.734 -71.6798
12.200000 77.907 -73.2061
12.410000 78.085 -75.7404
12.500000 78.126 -76.7526
12.650000 78.145 -78.4072
12.800000 78.124 -79.7773
13.150000 77.956 -81.5060
13.200000 77.932 -81.5511
13.400000 77.849 -81.2924
13.600000 77.862 -80.5389
13.800000 77.971 -79.5218
14.000000 78.196 -78.6476
14.300000 78.640 -78.1692
14.500000 78.951 -78.5103
14.750000 79.285 -79.6559
15.000000 79.516 -81.1276
15.250000 79.651 -82.5410
15.500000 79.715 -83.6079
15.750000 79.753 -84.1305
16.000000 79.824 -84.2579
16.250000 79.943 -84.2597
16.500000 80.109 -84.3929
16.750000 80.287 -84.9224
17.000000 80.424 -85.8262
17.250000 80.493 -86.9072
17.500000 80.480 -87.9210
17.750000 80.394 -88.5110
18.000000 80.287 -88.4841
18.250000 80.205 -87.8914
18.500000 80.192 -86.8811
18.750000 80.274 -85.8439
19.000000 80.420 -85.1232
19.250000 80.590 -84.8380
19.500000 80.740 -85.0096
19.750000 80.831 -85.4076
20.000000 80.867 -85.7229
20.299999 80.864 -85.7192
20.600000 80.872 -85.1503
20.900000 80.957 -84.1951
21.200001 81.146 -83.2759
21.400000 81.316 -82.9064
21.799999 81.681 -82.9200
22.000000 81.846 -83.2386
22.400000 82.119 -84.1417
22.700001 82.296 -84.7449
23.000000 82.486 -85.2332
23.299999 82.717 -85.7621
23.600000 82.982 -86.5850
24.000000 83.329 -88.4539
24.299999 83.523 -90.3685
24.700001 83.638 -93.1238
25.000000 83.622 -94.8744
25.400000 83.526 -96.3041
25.799999 83.454 -96.6540
26.200001 83.488 -96.4132
26.500000 83.580 -96.2164
26.900000 83.739 -96.1543
27.200001 83.856 -96.2052
27.600000 84.005 -96.1887
28.000000 84.173 -96.0051
28.500000 84.439 -95.8374
29.000000 84.714 -96.1656
29.500000 84.914 -96.8763
30.000000 85.033 -97.4529
30.400000 85.107 -97.6846
30.700001 85.163 -97.8026
31.100000 85.233 -97.9956
31.500000 85.280 -98.1945
32.000000 85.317 -98.1919
32.500000 85.405 -97.8726
33.000000 85.588 -97.8508
33.500000 85.788 -98.7329
34.000000 85.874 -100.2341
34.500000 85.828 -101.3820
35.000000 85.772 -101.5443
35.500000 85.846 -101.0662
36.000000 86.063 -100.7667
36.500000 86.345 -101.0535
37.000000 86.630 -101.8388
37.500000 86.887 -102.9947
38.200001 87.123 -104.9103
38.700001 87.188 -105.8336
39.500000 87.340 -105.6579
40.000000 87.587 -105.3945
40.599998 87.906 -106.1413
41.200001 88.061 -107.5191
41.799999 88.080 -108.1882
42.500000 88.171 -107.9540
43.099998 88.338 -108.0140
43.700001 88.465 -108.4855
44.400002 88.577 -108.6707
45.000000 88.762 -108.6840
45.500000 88.962 -109.2171
46.200001 89.155 -110.8884
46.799999 89.171 -112.3092
47.500000 89.123 -112.9587
48.200001 89.179 -112.8201
48.700001 89.304 -112.8595
49.400002 89.493 -113.6208
50.000000 89.583 -114.6506
50.799999 89.602 -115.5792
51.500000 89.650 -115.7156
52.200001 89.792 -115.8394
53.000000 89.983 -116.5430
53.799999 90.114 -117.5336
54.500000 90.185 -118.2413
55.200001 90.243 -118.6927
56.000000 90.322 -118.9528
57.000000 90.461 -119.2832
58.000000 90.586 -119.9479
59.000000 90.667 -120.7463
60.000000 90.729 -121.5861
60.799999 90.777 -122.2582
61.500000 90.833 -122.8327
62.200001 90.907 -123.4329
63.000000 91.009 -124.1456
64.000000 91.158 -125.0146
65.000000 91.321 -125.8857
66.000000 91.472 -126.7308
67.000000 91.604 -127.4742
68.000000 91.724 -128.1722
69.000000 91.832 -128.9208
70.000000 91.926 -129.7565
71.000000 92.016 -130.6293
72.000000 92.117 -131.5056
73.000000 92.237 -132.4380
74.000000 92.360 -133.4099
75.000000 92.477 -134.3354
76.199997 92.609 -135.3413
77.500000 92.742 -136.3645
78.800003 92.858 -137.4191
80.000000 92.956 -138.3850
81.199997 93.061 -139.3693
82.500000 93.178 -140.4617
83.800003 93.291 -141.5142
85.000000 93.377 -142.4336
86.199997 93.439 -143.2533
87.500000 93.491 -144.0563
88.500000 93.526 -144.7061
90.000000 93.570 -145.7918
91.199997 93.608 -146.7357
92.500000 93.652 -147.8054
93.800003 93.692 -148.8323
95.000000 93.725 -149.6703
96.199997 93.756 -150.4266
97.500000 93.781 -151.1969
98.800003 93.800 -151.9599
100.000000 93.814 -152.7211
101.500000 93.821 -153.7344
103.000000 93.823 -154.7375
104.400002 93.823 -155.6541
106.000000 93.817 -156.6356
107.500000 93.813 -157.4905
109.000000 93.815 -158.3602
110.599998 93.813 -159.3169
112.000000 93.810 -160.1226
113.800003 93.812 -161.0946
115.000000 93.819 -161.7432
117.199997 93.828 -162.9937
118.000000 93.830 -163.4632
120.599998 93.830 -165.0086
122.000000 93.831 -165.8410
124.099998 93.832 -167.0673
125.000000 93.833 -167.5744
126.500000 93.834 -168.3965
128.000000 93.834 -169.1901
131.500000 93.825 -170.8726
132.000000 93.823 -171.0947
134.000000 93.809 -171.9545
136.000000 93.785 -172.7744
138.000000 93.756 -173.5670
140.000000 93.725 -174.3762
143.000000 93.673 -175.5925
145.000000 93.636 -176.3784
147.500000 93.589 -177.3494
150.000000 93.542 -178.2826
152.500000 93.498 -179.1667
155.000000 93.447 179.9816
157.500000 93.386 179.1992
160.000000 93.323 178.4597
162.500000 93.261 177.7488
165.000000 93.197 177.0646
167.500000 93.132 176.3922
170.000000 93.066 175.7190
172.500000 92.997 175.0549
175.000000 92.922 174.4185
177.500000 92.841 173.8301
180.000000 92.755 173.3091
182.500000 92.669 172.8474
185.000000 92.585 172.4195
187.500000 92.505 172.0192
190.000000 92.427 171.6481
192.500000 92.348 171.2661
195.000000 92.267 170.8170
197.500000 92.184 170.3055
200.000000 92.104 169.8102
203.000000 92.012 169.3187
206.000000 91.923 168.8914
209.000000 91.828 168.4930
212.000000 91.726 168.1641
214.000000 91.653 167.9841
218.000000 91.500 167.6669
220.000000 91.423 167.5121
224.000000 91.276 167.2078
227.000000 91.172 166.9750
230.000000 91.078 166.7462
233.000000 90.996 166.5195
236.000000 90.921 166.2669
240.000000 90.826 165.8671
243.000000 90.759 165.5329
247.000000 90.674 165.0864
250.000000 90.613 164.8041
254.000000 90.538 164.5086
258.000000 90.455 164.2784
262.000000 90.363 164.0948
265.000000 90.293 163.9934
269.000000 90.193 163.8850
272.000000 90.110 163.8177
276.000000 89.999 163.7689
280.000000 89.885 163.7813
285.000000 89.732 163.9819
