* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -28.5 dBFS, measurement signal peak level -26.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 9:13:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0796 ms (-27 mm, -1.08 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 3DT L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.156 -151.6510
1.015000 43.243 -150.6006
1.030000 43.337 -149.5846
1.044000 43.431 -148.6720
1.060000 43.545 -147.6767
1.075000 43.660 -146.7951
1.090000 43.782 -145.9688
1.106000 43.921 -145.1479
1.120000 44.053 -144.4504
1.138000 44.237 -143.5737
1.150000 44.369 -143.0023
1.172000 44.626 -141.9836
1.180000 44.724 -141.6229
1.206000 45.058 -140.4882
1.220000 45.246 -139.9023
1.241000 45.538 -139.0579
1.250000 45.666 -138.7092
1.265000 45.883 -138.1464
1.280000 46.103 -137.6071
1.315000 46.625 -136.4452
1.320000 46.701 -136.2906
1.340000 47.001 -135.7023
1.360000 47.301 -135.1633
1.380000 47.597 -134.6755
1.400000 47.888 -134.2410
1.430000 48.310 -133.6932
1.450000 48.579 -133.4002
1.475000 48.900 -133.1216
1.500000 49.216 -132.9637
1.525000 49.531 -132.9224
1.550000 49.844 -132.9864
1.575000 50.155 -133.1443
1.600000 50.464 -133.3850
1.625000 50.770 -133.6972
1.650000 51.073 -134.0698
1.675000 51.373 -134.4913
1.700000 51.670 -134.9507
1.725000 51.962 -135.4366
1.750000 52.250 -135.9379
1.775000 52.534 -136.4432
1.800000 52.813 -136.9414
1.825000 53.086 -137.4212
1.850000 53.355 -137.8917
1.875000 53.619 -138.3946
1.900000 53.878 -138.9290
1.925000 54.133 -139.4919
1.950000 54.384 -140.0806
1.975000 54.630 -140.6922
2.000000 54.873 -141.3238
2.030000 55.160 -142.1041
2.060000 55.441 -142.9042
2.090000 55.718 -143.7190
2.120000 55.990 -144.5437
2.140000 56.169 -145.0965
2.180000 56.522 -146.2027
2.200000 56.696 -146.7533
2.240000 57.037 -147.8738
2.270000 57.286 -148.7370
2.300000 57.530 -149.6167
2.330000 57.770 -150.5104
2.360000 58.005 -151.4154
2.400000 58.312 -152.6352
2.430000 58.537 -153.5565
2.470000 58.832 -154.7886
2.500000 59.050 -155.7121
2.540000 59.335 -156.9375
2.580000 59.616 -158.1530
2.620000 59.890 -159.3746
2.650000 60.091 -160.2961
2.690000 60.353 -161.5296
2.720000 60.545 -162.4565
2.760000 60.797 -163.6924
2.800000 61.043 -164.9257
2.850000 61.344 -166.4590
2.900000 61.638 -167.9777
2.950000 61.926 -169.4770
3.000000 62.205 -170.9652
3.040000 62.423 -172.1491
3.070000 62.583 -173.0331
3.110000 62.793 -174.2061
3.150000 62.998 -175.3724
3.200000 63.248 -176.8206
3.250000 63.493 -178.2574
3.300000 63.733 -179.6823
3.350000 63.967 178.9006
3.400000 64.194 177.4902
3.450000 64.415 176.0899
3.500000 64.630 174.7026
3.550000 64.840 173.3316
3.600000 65.045 171.9801
3.650000 65.246 170.6512
3.700000 65.443 169.3461
3.750000 65.634 168.0613
3.820000 65.893 166.2949
3.870000 66.072 165.0553
3.950000 66.351 163.1081
4.000000 66.521 161.9125
4.060000 66.721 160.4982
4.120000 66.914 159.1060
4.180000 67.102 157.7374
4.250000 67.315 156.1728
4.310000 67.492 154.8613
4.370000 67.667 153.5788
4.440000 67.866 152.1217
4.500000 68.031 150.9063
4.550000 68.166 149.9154
4.620000 68.350 148.5591
4.680000 68.505 147.4226
4.750000 68.683 146.1239
4.820000 68.858 144.8551
4.870000 68.980 143.9700
4.940000 69.148 142.7581
5.000000 69.290 141.7427
5.080000 69.476 140.4190
5.150000 69.636 139.2866
5.220000 69.794 138.1839
5.300000 69.972 136.9582
5.380000 70.146 135.7628
5.450000 70.297 134.7366
5.520000 70.445 133.7252
5.600000 70.613 132.5942
5.700000 70.819 131.2156
5.800000 71.021 129.8684
5.900000 71.219 128.5454
6.000000 71.412 127.2504
6.080000 71.564 126.2345
6.150000 71.695 125.3595
6.220000 71.823 124.4966
6.300000 71.967 123.5252
6.400000 72.142 122.3337
6.500000 72.313 121.1685
6.600000 72.480 120.0303
6.700000 72.643 118.9187
6.800000 72.801 117.8338
6.900000 72.956 116.7761
7.000000 73.108 115.7466
7.100000 73.256 114.7471
7.200000 73.402 113.7742
7.300000 73.545 112.8233
7.400000 73.687 111.8939
7.500000 73.827 110.9894
7.620000 73.992 109.9273
7.750000 74.169 108.7948
7.880000 74.343 107.6870
8.000000 74.501 106.6788
8.120000 74.656 105.6759
8.250000 74.821 104.5986
8.380000 74.981 103.5321
8.500000 75.124 102.5558
8.620000 75.262 101.5863
8.750000 75.408 100.5522
8.850000 75.515 99.7726
9.000000 75.671 98.6238
9.120000 75.791 97.7288
9.250000 75.918 96.7900
9.380000 76.041 95.8801
9.500000 76.154 95.0611
9.620000 76.266 94.2630
9.750000 76.386 93.4226
9.880000 76.506 92.5891
10.000000 76.617 91.8225
10.150000 76.756 90.8698
10.300000 76.892 89.9005
10.440000 77.018 88.9789
10.600000 77.157 87.9112
10.750000 77.280 86.8910
10.900000 77.396 85.8600
11.060000 77.509 84.7778
11.200000 77.600 83.8392
11.380000 77.709 82.6828
11.500000 77.776 81.9517
11.720000 77.893 80.6897
11.800000 77.937 80.2619
12.060000 78.078 78.9613
12.200000 78.162 78.2901
12.410000 78.295 77.3062
12.500000 78.354 76.8656
12.650000 78.457 76.1161
12.800000 78.560 75.3310
13.150000 78.788 73.3096
13.200000 78.817 73.0104
13.400000 78.922 71.7732
13.600000 79.011 70.5637
13.800000 79.082 69.4095
14.000000 79.145 68.3691
14.300000 79.234 67.0313
14.500000 79.306 66.2751
14.750000 79.416 65.3597
15.000000 79.548 64.4117
15.250000 79.691 63.2988
15.500000 79.822 62.0329
15.750000 79.930 60.6519
16.000000 80.001 59.2789
16.250000 80.047 58.0691
16.500000 80.080 57.0748
16.750000 80.124 56.3453
17.000000 80.202 55.7329
17.250000 80.315 55.1147
17.500000 80.460 54.3207
17.750000 80.604 53.2376
18.000000 80.727 51.9179
18.250000 80.805 50.4261
18.500000 80.830 49.0221
18.750000 80.818 47.8490
19.000000 80.785 47.0369
19.250000 80.778 46.5957
19.500000 80.817 46.3424
19.750000 80.915 46.1258
20.000000 81.061 45.6389
20.299999 81.249 44.5694
20.600000 81.400 42.9939
20.900000 81.471 41.1472
21.200001 81.451 39.4371
21.400000 81.405 38.5855
21.799999 81.303 37.6725
22.000000 81.283 37.5500
22.400000 81.365 37.5417
22.700001 81.522 37.2625
23.000000 81.708 36.4274
23.299999 81.862 35.0724
23.600000 81.952 33.4228
24.000000 81.956 31.2555
24.299999 81.897 30.0024
24.700001 81.801 29.0158
25.000000 81.762 28.6890
25.400000 81.790 28.4740
25.799999 81.898 28.1006
26.200001 82.042 27.3318
26.500000 82.146 26.4917
26.900000 82.257 25.1114
27.200001 82.312 23.9718
27.600000 82.343 22.4325
28.000000 82.332 21.0023
28.500000 82.276 19.5430
29.000000 82.215 18.5420
29.500000 82.189 17.9129
30.000000 82.222 17.4107
30.400000 82.287 16.9273
30.700001 82.351 16.4591
31.100000 82.443 15.6646
31.500000 82.530 14.6864
32.000000 82.615 13.2772
32.500000 82.663 11.7904
33.000000 82.677 10.3718
33.500000 82.670 9.1051
34.000000 82.657 7.9929
34.500000 82.645 6.9824
35.000000 82.631 6.0340
35.500000 82.613 5.1545
36.000000 82.593 4.3735
36.500000 82.579 3.6913
37.000000 82.577 3.0610
37.500000 82.588 2.4243
38.200001 82.615 1.4616
38.700001 82.639 0.7180
39.500000 82.676 -0.5522
40.000000 82.697 -1.3759
40.599998 82.718 -2.3600
41.200001 82.738 -3.3158
41.799999 82.759 -4.2434
42.500000 82.784 -5.3029
43.099998 82.803 -6.2054
43.700001 82.815 -7.1071
44.400002 82.816 -8.1279
45.000000 82.812 -8.9597
45.500000 82.807 -9.6547
46.200001 82.797 -10.6842
46.799999 82.780 -11.6045
47.500000 82.759 -12.7109
48.200001 82.739 -13.9510
48.700001 82.710 -14.9035
49.400002 82.644 -16.0847
50.000000 82.602 -16.8040
50.799999 82.623 -17.6317
51.500000 82.682 -18.5951
52.200001 82.726 -19.6882
53.000000 82.757 -20.7887
53.799999 82.789 -21.7325
54.500000 82.811 -22.5082
55.200001 82.822 -23.2332
56.000000 82.823 -24.0247
57.000000 82.806 -25.0172
58.000000 82.775 -26.0373
59.000000 82.740 -27.1092
60.000000 82.713 -28.2260
60.799999 82.699 -29.1593
61.500000 82.690 -29.9843
62.200001 82.683 -30.7806
63.000000 82.678 -31.6396
64.000000 82.674 -32.6511
65.000000 82.666 -33.5953
66.000000 82.656 -34.4976
67.000000 82.642 -35.4130
68.000000 82.624 -36.3553
69.000000 82.604 -37.3245
70.000000 82.584 -38.3062
71.000000 82.566 -39.2636
72.000000 82.552 -40.1852
73.000000 82.539 -41.0740
74.000000 82.526 -41.9263
75.000000 82.512 -42.7519
76.199997 82.493 -43.7307
77.500000 82.470 -44.7932
78.800003 82.447 -45.8421
80.000000 82.428 -46.7977
81.199997 82.411 -47.7476
82.500000 82.391 -48.7497
83.800003 82.372 -49.7283
85.000000 82.353 -50.6243
86.199997 82.334 -51.5115
87.500000 82.314 -52.4636
88.500000 82.298 -53.1847
90.000000 82.273 -54.2364
91.199997 82.254 -55.0483
92.500000 82.236 -55.9245
93.800003 82.219 -56.8057
95.000000 82.201 -57.6139
96.199997 82.185 -58.4026
97.500000 82.170 -59.2345
98.800003 82.156 -60.0581
100.000000 82.140 -60.8147
101.500000 82.115 -61.7236
103.000000 82.092 -62.5995
104.400002 82.072 -63.4130
106.000000 82.050 -64.3454
107.500000 82.031 -65.2064
109.000000 82.012 -66.0544
110.599998 81.993 -66.9401
112.000000 81.976 -67.6966
113.800003 81.956 -68.6442
115.000000 81.941 -69.2652
117.199997 81.915 -70.3884
118.000000 81.905 -70.7944
120.599998 81.876 -72.0936
122.000000 81.862 -72.7791
124.099998 81.841 -73.7922
125.000000 81.831 -74.2151
126.500000 81.815 -74.9158
128.000000 81.799 -75.6071
131.500000 81.766 -77.1852
132.000000 81.762 -77.4023
134.000000 81.744 -78.2627
136.000000 81.724 -79.1039
138.000000 81.705 -79.9441
140.000000 81.689 -80.7582
143.000000 81.666 -81.9392
145.000000 81.645 -82.7342
147.500000 81.616 -83.8467
150.000000 81.580 -84.9029
152.500000 81.574 -85.6880
155.000000 81.578 -86.4655
157.500000 81.564 -87.2818
160.000000 81.546 -88.1266
162.500000 81.531 -88.9679
165.000000 81.516 -89.7748
167.500000 81.502 -90.5766
170.000000 81.489 -91.3733
172.500000 81.476 -92.1375
175.000000 81.464 -92.8781
177.500000 81.452 -93.6103
180.000000 81.443 -94.3319
182.500000 81.432 -95.0430
185.000000 81.421 -95.7248
187.500000 81.411 -96.3823
190.000000 81.402 -97.0318
192.500000 81.393 -97.6781
195.000000 81.382 -98.3239
197.500000 81.369 -98.9494
200.000000 81.359 -99.5444
203.000000 81.353 -100.2471
206.000000 81.345 -100.9503
209.000000 81.335 -101.6345
212.000000 81.324 -102.3134
214.000000 81.315 -102.7606
218.000000 81.296 -103.6167
220.000000 81.289 -104.0220
224.000000 81.281 -104.8118
227.000000 81.274 -105.4047
230.000000 81.265 -105.9842
233.000000 81.256 -106.5422
236.000000 81.248 -107.0863
240.000000 81.238 -107.8047
243.000000 81.232 -108.3313
247.000000 81.229 -108.9667
250.000000 81.227 -109.4306
254.000000 81.216 -110.1114
258.000000 81.205 -110.7797
262.000000 81.195 -111.4000
265.000000 81.186 -111.8449
269.000000 81.177 -112.4232
272.000000 81.171 -112.8482
276.000000 81.164 -113.3994
280.000000 81.157 -113.9291
285.000000 81.149 -114.5594
290.000000 81.139 -115.1773
295.000000 81.129 -115.7755
300.000000 81.119 -116.3379
