* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -26.1 dBFS, measurement signal peak level -25.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 9:14:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0374 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 3DT R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.355 120.9818
1.015000 37.512 119.5629
1.030000 37.669 118.1658
1.044000 37.816 116.8851
1.060000 37.983 115.4535
1.075000 38.140 114.1465
1.090000 38.296 112.8779
1.106000 38.461 111.5682
1.120000 38.607 110.4425
1.138000 38.797 109.0167
1.150000 38.925 108.0789
1.172000 39.161 106.3846
1.180000 39.248 105.7761
1.206000 39.531 103.8243
1.220000 39.685 102.7886
1.241000 39.916 101.2533
1.250000 40.016 100.6015
1.265000 40.183 99.5227
1.280000 40.350 98.4527
1.315000 40.741 95.9853
1.320000 40.797 95.6357
1.340000 41.020 94.2433
1.360000 41.243 92.8590
1.380000 41.466 91.4807
1.400000 41.688 90.1066
1.430000 42.019 88.0487
1.450000 42.238 86.6761
1.475000 42.509 84.9564
1.500000 42.781 83.2354
1.525000 43.053 81.5165
1.550000 43.327 79.8027
1.575000 43.600 78.0967
1.600000 43.873 76.4015
1.625000 44.145 74.7201
1.650000 44.417 73.0552
1.675000 44.687 71.4099
1.700000 44.955 69.7869
1.725000 45.220 68.1893
1.750000 45.484 66.6198
1.775000 45.744 65.0815
1.800000 46.001 63.5771
1.825000 46.254 62.1096
1.850000 46.503 60.6813
1.875000 46.751 59.2908
1.900000 46.995 57.9353
1.925000 47.238 56.6119
1.950000 47.478 55.3181
1.975000 47.716 54.0509
2.000000 47.952 52.8076
2.030000 48.232 51.3434
2.060000 48.508 49.9049
2.090000 48.780 48.4872
2.120000 49.049 47.0856
2.140000 49.226 46.1579
2.180000 49.576 44.3118
2.200000 49.748 43.3907
2.240000 50.087 41.5695
2.270000 50.337 40.2275
2.300000 50.583 38.9050
2.330000 50.826 37.6015
2.360000 51.064 36.3162
2.400000 51.378 34.6296
2.430000 51.609 33.3841
2.470000 51.912 31.7481
2.500000 52.136 30.5386
2.540000 52.430 28.9482
2.580000 52.719 27.3822
2.620000 53.001 25.8459
2.650000 53.209 24.7134
2.690000 53.481 23.2287
2.720000 53.682 22.1334
2.760000 53.945 20.6962
2.800000 54.202 19.2844
2.850000 54.518 17.5535
2.900000 54.827 15.8577
2.950000 55.130 14.1962
3.000000 55.425 12.5799
3.040000 55.656 11.3181
3.070000 55.826 10.3881
3.110000 56.048 9.1677
3.150000 56.267 7.9669
3.200000 56.535 6.4893
3.250000 56.797 5.0324
3.300000 57.055 3.5906
3.350000 57.307 2.1660
3.400000 57.553 0.7633
3.450000 57.792 -0.6162
3.500000 58.027 -1.9714
3.550000 58.256 -3.3009
3.600000 58.482 -4.6037
3.650000 58.703 -5.8784
3.700000 58.920 -7.1224
3.750000 59.132 -8.3331
3.820000 59.422 -9.9798
3.870000 59.623 -11.1271
3.950000 59.938 -12.9236
4.000000 60.130 -14.0285
4.060000 60.357 -15.3408
4.120000 60.579 -16.6317
4.180000 60.795 -17.8991
4.250000 61.041 -19.3469
4.310000 61.247 -20.5607
4.370000 61.449 -21.7485
4.440000 61.681 -23.0990
4.500000 61.875 -24.2239
4.550000 62.034 -25.1408
4.620000 62.251 -26.3978
4.680000 62.434 -27.4548
4.750000 62.643 -28.6695
4.820000 62.849 -29.8649
4.870000 62.993 -30.7034
4.940000 63.191 -31.8567
5.000000 63.357 -32.8273
5.080000 63.575 -34.0972
5.150000 63.762 -35.1870
5.220000 63.946 -36.2532
5.300000 64.151 -37.4443
5.380000 64.352 -38.6108
5.450000 64.525 -39.6149
5.520000 64.694 -40.6064
5.600000 64.885 -41.7191
5.700000 65.117 -43.0809
5.800000 65.343 -44.4153
5.900000 65.564 -45.7270
6.000000 65.779 -47.0131
6.080000 65.947 -48.0240
6.150000 66.091 -48.8963
6.220000 66.232 -49.7579
6.300000 66.391 -50.7292
6.400000 66.584 -51.9223
6.500000 66.772 -53.0934
6.600000 66.955 -54.2441
6.700000 67.133 -55.3747
6.800000 67.305 -56.4844
6.900000 67.474 -57.5727
7.000000 67.639 -58.6390
7.100000 67.799 -59.6823
7.200000 67.955 -60.7045
7.300000 68.108 -61.7078
7.400000 68.258 -62.6926
7.500000 68.404 -63.6571
7.620000 68.577 -64.7926
7.750000 68.760 -66.0007
7.880000 68.939 -67.1819
8.000000 69.100 -68.2557
8.120000 69.259 -69.3209
8.250000 69.428 -70.4604
8.380000 69.593 -71.5909
8.500000 69.742 -72.6314
8.620000 69.887 -73.6671
8.750000 70.040 -74.7832
8.850000 70.154 -75.6385
9.000000 70.319 -76.9171
9.120000 70.446 -77.9299
9.250000 70.578 -79.0139
9.380000 70.704 -80.0863
9.500000 70.815 -81.0574
9.620000 70.923 -82.0065
9.750000 71.034 -83.0131
9.880000 71.142 -83.9910
10.000000 71.240 -84.8650
10.150000 71.357 -85.9223
10.300000 71.474 -86.9426
10.440000 71.582 -87.8582
10.600000 71.705 -88.8738
10.750000 71.822 -89.8022
10.900000 71.939 -90.7088
11.060000 72.067 -91.6712
11.200000 72.179 -92.5063
11.380000 72.324 -93.5850
11.500000 72.421 -94.3104
11.720000 72.596 -95.6520
11.800000 72.659 -96.1453
12.060000 72.859 -97.7638
12.200000 72.962 -98.6407
12.410000 73.111 -99.9604
12.500000 73.173 -100.5231
12.650000 73.273 -101.4594
12.800000 73.370 -102.3884
13.150000 73.581 -104.5146
13.200000 73.609 -104.8123
13.400000 73.720 -105.9885
13.600000 73.825 -107.1346
13.800000 73.925 -108.2486
14.000000 74.021 -109.3242
14.300000 74.157 -110.8625
14.500000 74.245 -111.8339
14.750000 74.355 -112.9950
15.000000 74.465 -114.1041
15.250000 74.579 -115.1828
15.500000 74.694 -116.2543
15.750000 74.809 -117.3320
16.000000 74.921 -118.4312
16.250000 75.027 -119.5438
16.500000 75.124 -120.6587
16.750000 75.212 -121.7553
17.000000 75.291 -122.8073
17.250000 75.366 -123.8066
17.500000 75.438 -124.7451
17.750000 75.512 -125.6396
18.000000 75.591 -126.5096
18.250000 75.674 -127.3770
18.500000 75.759 -128.2713
18.750000 75.844 -129.1982
19.000000 75.925 -130.1631
19.250000 76.000 -131.1527
19.500000 76.066 -132.1490
19.750000 76.125 -133.1374
20.000000 76.177 -134.0962
20.299999 76.234 -135.1988
20.600000 76.289 -136.2465
20.900000 76.345 -137.2475
21.200001 76.404 -138.2186
21.400000 76.446 -138.8601
21.799999 76.532 -140.1445
22.000000 76.576 -140.7934
22.400000 76.662 -142.1084
22.700001 76.723 -143.1023
23.000000 76.781 -144.0896
23.299999 76.834 -145.0581
23.600000 76.886 -146.0013
24.000000 76.953 -147.2195
24.299999 77.003 -148.1116
24.700001 77.069 -149.2839
25.000000 77.117 -150.1505
25.400000 77.176 -151.2767
25.799999 77.232 -152.3535
26.200001 77.291 -153.3862
26.500000 77.337 -154.1527
26.900000 77.399 -155.1927
27.200001 77.441 -155.9920
27.600000 77.489 -157.0611
28.000000 77.526 -158.0833
28.500000 77.570 -159.2523
29.000000 77.625 -160.3655
29.500000 77.688 -161.5393
30.000000 77.743 -162.7942
30.400000 77.776 -163.7919
30.700001 77.798 -164.5090
31.100000 77.832 -165.4418
31.500000 77.873 -166.4081
32.000000 77.918 -167.7294
32.500000 77.935 -169.0922
33.000000 77.926 -170.2766
33.500000 77.924 -171.1814
34.000000 77.960 -171.9554
34.500000 78.028 -172.8432
35.000000 78.097 -173.9197
35.500000 78.145 -175.0573
36.000000 78.178 -176.1086
36.500000 78.212 -177.0595
37.000000 78.253 -177.9913
37.500000 78.294 -178.9537
38.200001 78.337 179.6940
38.700001 78.359 178.7704
39.500000 78.391 177.3591
40.000000 78.411 176.4982
40.599998 78.435 175.4749
41.200001 78.460 174.4476
41.799999 78.487 173.4042
42.500000 78.518 172.1666
43.099998 78.542 171.1101
43.700001 78.565 170.0910
44.400002 78.595 168.9512
45.000000 78.623 167.9883
45.500000 78.641 167.2126
46.200001 78.665 166.2248
46.799999 78.691 165.4312
47.500000 78.715 164.4694
48.200001 78.713 163.6300
48.700001 78.719 163.2163
49.400002 78.782 162.6567
50.000000 78.865 161.7892
50.799999 78.911 160.0912
51.500000 78.872 158.7270
52.200001 78.834 157.7113
53.000000 78.833 156.5995
53.799999 78.842 155.3796
54.500000 78.852 154.3616
55.200001 78.874 153.3838
56.000000 78.902 152.3032
57.000000 78.951 151.1660
58.000000 79.039 149.9038
59.000000 79.061 148.3086
60.000000 79.003 147.1814
60.799999 78.986 146.6165
61.500000 78.999 146.0442
62.200001 79.016 145.3297
63.000000 79.030 144.3999
64.000000 79.034 143.1536
65.000000 79.032 141.9637
66.000000 79.039 140.8401
67.000000 79.052 139.7615
68.000000 79.073 138.7421
69.000000 79.095 137.7145
70.000000 79.107 136.7057
71.000000 79.116 135.7456
72.000000 79.126 134.7903
73.000000 79.136 133.8217
74.000000 79.147 132.8416
75.000000 79.158 131.8676
76.199997 79.172 130.7327
77.500000 79.188 129.5528
78.800003 79.203 128.4183
80.000000 79.215 127.4042
81.199997 79.225 126.3901
82.500000 79.233 125.3047
83.800003 79.245 124.2293
85.000000 79.257 123.2332
86.199997 79.269 122.2449
87.500000 79.281 121.2063
88.500000 79.291 120.4301
90.000000 79.304 119.2905
91.199997 79.312 118.4029
92.500000 79.320 117.4700
93.800003 79.330 116.5524
95.000000 79.339 115.7043
96.199997 79.349 114.8674
97.500000 79.361 113.9713
98.800003 79.375 113.0695
100.000000 79.385 112.2449
101.500000 79.396 111.2629
103.000000 79.408 110.3159
104.400002 79.418 109.4520
106.000000 79.430 108.4800
107.500000 79.444 107.5760
109.000000 79.459 106.6708
110.599998 79.472 105.7078
112.000000 79.480 104.8973
113.800003 79.490 103.9176
115.000000 79.500 103.2734
117.199997 79.520 102.0729
118.000000 79.526 101.6371
120.599998 79.545 100.2648
122.000000 79.555 99.5554
124.099998 79.570 98.5168
125.000000 79.576 98.0818
126.500000 79.587 97.3660
128.000000 79.599 96.6589
131.500000 79.627 95.0304
132.000000 79.631 94.8027
134.000000 79.646 93.9117
136.000000 79.660 93.0401
138.000000 79.673 92.1767
140.000000 79.690 91.3170
143.000000 79.714 90.1002
145.000000 79.721 89.3527
147.500000 79.706 88.4148
150.000000 79.698 87.5728
152.500000 79.747 86.5940
155.000000 79.789 85.5602
157.500000 79.813 84.6736
160.000000 79.827 83.8262
162.500000 79.842 82.9766
165.000000 79.861 82.1522
167.500000 79.878 81.3663
170.000000 79.894 80.5974
172.500000 79.913 79.8241
175.000000 79.931 79.0674
177.500000 79.947 78.3348
180.000000 79.962 77.6254
182.500000 79.977 76.9313
185.000000 79.992 76.2458
187.500000 80.006 75.5723
190.000000 80.020 74.9178
192.500000 80.035 74.2815
195.000000 80.048 73.6617
197.500000 80.060 73.0540
200.000000 80.074 72.4558
203.000000 80.094 71.7557
206.000000 80.113 71.0709
209.000000 80.129 70.3909
212.000000 80.146 69.7209
214.000000 80.158 69.2896
218.000000 80.179 68.4566
220.000000 80.190 68.0450
224.000000 80.213 67.2487
227.000000 80.228 66.6816
230.000000 80.241 66.1170
233.000000 80.254 65.5570
236.000000 80.268 65.0103
240.000000 80.285 64.3018
243.000000 80.300 63.7933
247.000000 80.327 63.1694
250.000000 80.346 62.6957
254.000000 80.352 62.0237
258.000000 80.360 61.3800
262.000000 80.374 60.7916
265.000000 80.383 60.3645
269.000000 80.398 59.7804
272.000000 80.410 59.3441
276.000000 80.426 58.7956
280.000000 80.440 58.2689
285.000000 80.455 57.6206
290.000000 80.470 57.0116
295.000000 80.485 56.4230
300.000000 80.498 55.8495
304.000000 80.510 55.4060
307.000000 80.520 55.0826
311.000000 80.531 54.6660
315.000000 80.541 54.2589
320.000000 80.553 53.7557
