* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -42.3 dBFS, measurement signal peak level -36.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 11:57:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0359 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: 61T 75ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.774 65.7491
1.015000 45.010 64.1055
1.030000 45.244 62.5182
1.044000 45.460 61.0929
1.060000 45.703 59.5372
1.075000 45.927 58.1562
1.090000 46.146 56.8565
1.106000 46.375 55.5659
1.120000 46.573 54.5136
1.138000 46.828 53.2579
1.150000 46.997 52.4772
1.172000 47.306 51.1531
1.180000 47.417 50.7032
1.206000 47.778 49.3444
1.220000 47.972 48.6709
1.241000 48.259 47.7252
1.250000 48.382 47.3404
1.265000 48.585 46.7219
1.280000 48.788 46.1275
1.315000 49.254 44.8036
1.320000 49.320 44.6187
1.340000 49.582 43.8817
1.360000 49.842 43.1393
1.380000 50.098 42.3785
1.400000 50.352 41.5866
1.430000 50.726 40.3120
1.450000 50.972 39.3859
1.475000 51.274 38.1267
1.500000 51.571 36.8058
1.525000 51.864 35.4447
1.550000 52.152 34.0516
1.575000 52.436 32.6350
1.600000 52.715 31.2030
1.625000 52.990 29.7640
1.650000 53.261 28.3264
1.675000 53.528 26.8982
1.700000 53.790 25.4880
1.725000 54.049 24.1039
1.750000 54.304 22.7543
1.775000 54.555 21.4475
1.800000 54.802 20.1917
1.825000 55.046 18.9952
1.850000 55.286 17.8609
1.875000 55.521 16.7771
1.900000 55.752 15.7383
1.925000 55.978 14.7395
1.950000 56.201 13.7754
1.975000 56.419 12.8412
2.000000 56.634 11.9317
2.030000 56.886 10.8657
2.060000 57.134 9.8193
2.090000 57.377 8.7836
2.120000 57.616 7.7499
2.140000 57.773 7.0576
2.180000 58.082 5.6534
2.200000 58.233 4.9366
2.240000 58.531 3.4948
2.270000 58.747 2.4163
2.300000 58.959 1.3417
2.330000 59.166 0.2724
2.360000 59.369 -0.7900
2.400000 59.633 -2.1934
2.430000 59.826 -3.2343
2.470000 60.079 -4.6039
2.500000 60.264 -5.6154
2.540000 60.507 -6.9406
2.580000 60.745 -8.2371
2.620000 60.976 -9.5138
2.650000 61.144 -10.4589
2.690000 61.363 -11.7014
2.720000 61.523 -12.6190
2.760000 61.731 -13.8221
2.800000 61.935 -15.0006
2.850000 62.182 -16.4365
2.900000 62.424 -17.8281
2.950000 62.661 -19.1707
3.000000 62.889 -20.4538
3.040000 63.066 -21.4420
3.070000 63.196 -22.1643
3.110000 63.365 -23.1066
3.150000 63.531 -24.0301
3.200000 63.734 -25.1663
3.250000 63.932 -26.2921
3.300000 64.127 -27.4181
3.350000 64.317 -28.5453
3.400000 64.502 -29.6654
3.450000 64.682 -30.7719
3.500000 64.858 -31.8584
3.550000 65.030 -32.9185
3.600000 65.200 -33.9459
3.650000 65.367 -34.9340
3.700000 65.532 -35.8750
3.750000 65.694 -36.7676
3.820000 65.915 -37.9547
3.870000 66.070 -38.7721
3.950000 66.313 -40.0551
4.000000 66.462 -40.8577
4.060000 66.640 -41.8342
4.120000 66.815 -42.8113
4.180000 66.986 -43.7814
4.250000 67.183 -44.8982
4.310000 67.349 -45.8371
4.370000 67.513 -46.7539
4.440000 67.701 -47.7887
4.500000 67.860 -48.6451
4.550000 67.990 -49.3425
4.620000 68.170 -50.3021
4.680000 68.321 -51.1171
4.750000 68.495 -52.0690
4.820000 68.665 -53.0269
4.870000 68.784 -53.7098
4.940000 68.948 -54.6612
5.000000 69.087 -55.4694
5.080000 69.267 -56.5324
5.150000 69.422 -57.4449
5.220000 69.572 -58.3423
5.300000 69.741 -59.3517
5.380000 69.905 -60.3455
5.450000 70.046 -61.2034
5.520000 70.183 -62.0515
5.600000 70.337 -63.0077
5.700000 70.523 -64.1830
5.800000 70.705 -65.3360
5.900000 70.882 -66.4667
6.000000 71.053 -67.5751
6.080000 71.187 -68.4459
6.150000 71.302 -69.1963
6.220000 71.415 -69.9360
6.300000 71.542 -70.7671
6.400000 71.697 -71.7845
6.500000 71.848 -72.7825
6.600000 71.996 -73.7658
6.700000 72.140 -74.7357
6.800000 72.281 -75.6897
6.900000 72.418 -76.6261
7.000000 72.553 -77.5435
7.100000 72.683 -78.4420
7.200000 72.811 -79.3225
7.300000 72.936 -80.1858
7.400000 73.058 -81.0325
7.500000 73.177 -81.8623
7.620000 73.317 -82.8346
7.750000 73.465 -83.8573
7.880000 73.611 -84.8464
8.000000 73.743 -85.7357
8.120000 73.873 -86.6068
8.250000 74.014 -87.5254
8.380000 74.153 -88.4275
8.500000 74.280 -89.2522
8.620000 74.407 -90.0648
8.750000 74.543 -90.9399
8.850000 74.646 -91.6145
9.000000 74.799 -92.6241
9.120000 74.919 -93.4320
9.250000 75.045 -94.3106
9.380000 75.168 -95.1916
9.500000 75.279 -96.0019
9.620000 75.385 -96.8081
9.750000 75.496 -97.6783
9.880000 75.603 -98.5371
10.000000 75.698 -99.3175
10.150000 75.812 -100.2781
10.300000 75.922 -101.2145
10.440000 76.020 -102.0656
10.600000 76.130 -103.0145
10.750000 76.230 -103.8812
10.900000 76.328 -104.7271
11.060000 76.431 -105.6142
11.200000 76.520 -106.3763
11.380000 76.632 -107.3435
11.500000 76.705 -107.9821
11.720000 76.836 -109.1386
11.800000 76.883 -109.5550
12.060000 77.030 -110.8919
12.200000 77.107 -111.5996
12.410000 77.221 -112.6468
12.500000 77.269 -113.0915
12.650000 77.348 -113.8253
12.800000 77.427 -114.5571
13.150000 77.608 -116.2720
13.200000 77.634 -116.5204
13.400000 77.733 -117.5241
13.600000 77.827 -118.5427
13.800000 77.915 -119.5792
14.000000 77.994 -120.6114
14.300000 78.095 -122.1327
14.500000 78.151 -123.0957
14.750000 78.215 -124.2135
15.000000 78.274 -125.2254
15.250000 78.337 -126.1336
15.500000 78.410 -126.9807
15.750000 78.495 -127.7988
16.000000 78.590 -128.6442
16.250000 78.689 -129.5483
16.500000 78.787 -130.5164
16.750000 78.876 -131.5443
17.000000 78.954 -132.5872
17.250000 79.019 -133.6167
17.500000 79.073 -134.5963
17.750000 79.123 -135.5054
18.000000 79.171 -136.3519
18.250000 79.223 -137.1455
18.500000 79.279 -137.9238
18.750000 79.338 -138.7062
19.000000 79.398 -139.5104
19.250000 79.453 -140.3403
19.500000 79.502 -141.1795
19.750000 79.544 -142.0147
20.000000 79.578 -142.8182
20.299999 79.613 -143.7259
20.600000 79.646 -144.5693
20.900000 79.683 -145.3630
21.200001 79.724 -146.1371
21.400000 79.753 -146.6596
21.799999 79.813 -147.7350
22.000000 79.842 -148.2902
22.400000 79.893 -149.4233
22.700001 79.925 -150.2747
23.000000 79.953 -151.1133
23.299999 79.979 -151.9373
23.600000 80.003 -152.7508
24.000000 80.034 -153.8281
24.299999 80.056 -154.6337
24.700001 80.080 -155.6990
25.000000 80.096 -156.4819
25.400000 80.114 -157.4928
25.799999 80.131 -158.4614
26.200001 80.151 -159.3940
26.500000 80.168 -160.0778
26.900000 80.194 -160.9804
27.200001 80.215 -161.6593
27.600000 80.243 -162.5767
28.000000 80.269 -163.5127
28.500000 80.293 -164.6934
29.000000 80.303 -165.8367
29.500000 80.305 -166.8919
30.000000 80.308 -167.8520
30.400000 80.316 -168.5847
30.700001 80.325 -169.1359
31.100000 80.338 -169.8929
31.500000 80.349 -170.6760
32.000000 80.354 -171.6663
32.500000 80.349 -172.6314
33.000000 80.341 -173.5508
33.500000 80.331 -174.4300
34.000000 80.321 -175.2814
34.500000 80.312 -176.1108
35.000000 80.305 -176.9230
35.500000 80.300 -177.7348
36.000000 80.294 -178.5626
36.500000 80.283 -179.3945
37.000000 80.267 179.8121
37.500000 80.251 179.0826
38.200001 80.244 178.0894
38.700001 80.244 177.3111
39.500000 80.222 175.9939
40.000000 80.197 175.2508
40.599998 80.176 174.4479
41.200001 80.169 173.5912
41.799999 80.152 172.6298
42.500000 80.103 171.5671
43.099998 80.056 170.8441
43.700001 80.028 170.2088
44.400002 80.010 169.4084
45.000000 79.989 168.6510
45.500000 79.962 168.0282
46.200001 79.916 167.2391
46.799999 79.882 166.6161
47.500000 79.846 165.8298
48.200001 79.789 165.0021
48.700001 79.735 164.5178
49.400002 79.678 164.0583
50.000000 79.671 163.6422
50.799999 79.681 162.6964
51.500000 79.652 161.6631
52.200001 79.596 160.7530
53.000000 79.541 159.8616
53.799999 79.493 158.9854
54.500000 79.449 158.2642
55.200001 79.409 157.6047
56.000000 79.372 156.8605
57.000000 79.320 155.9045
58.000000 79.255 155.0133
59.000000 79.190 154.2138
60.000000 79.133 153.3988
60.799999 79.086 152.7098
61.500000 79.041 152.0945
62.200001 78.993 151.4880
63.000000 78.937 150.8325
64.000000 78.874 150.0576
65.000000 78.816 149.2906
66.000000 78.758 148.5396
67.000000 78.699 147.8030
68.000000 78.635 147.0965
69.000000 78.573 146.4268
70.000000 78.513 145.7353
71.000000 78.449 145.0245
72.000000 78.381 144.3470
73.000000 78.317 143.7026
74.000000 78.258 143.0636
75.000000 78.201 142.4129
76.199997 78.129 141.6373
77.500000 78.048 140.8485
78.800003 77.969 140.0944
80.000000 77.895 139.3947
81.199997 77.819 138.7257
82.500000 77.739 138.0070
83.800003 77.655 137.3082
85.000000 77.579 136.7164
86.199997 77.510 136.1309
87.500000 77.435 135.4551
88.500000 77.374 134.9401
90.000000 77.282 134.1929
91.199997 77.208 133.5938
92.500000 77.126 132.9931
93.800003 77.050 132.4313
95.000000 76.984 131.8947
96.199997 76.918 131.3437
97.500000 76.845 130.7645
98.800003 76.777 130.1852
100.000000 76.711 129.6399
101.500000 76.622 129.0414
103.000000 76.540 128.4858
104.400002 76.463 127.9568
106.000000 76.373 127.3422
107.500000 76.287 126.7413
109.000000 76.200 126.1574
110.599998 76.111 125.5844
112.000000 76.039 125.1125
113.800003 75.947 124.5162
115.000000 75.886 124.1152
117.199997 75.771 123.3518
118.000000 75.729 123.0726
120.599998 75.596 122.2043
122.000000 75.524 121.7690
124.099998 75.418 121.1756
125.000000 75.373 120.9211
126.500000 75.299 120.4830
128.000000 75.227 120.0335
131.500000 75.062 118.9886
132.000000 75.038 118.8474
134.000000 74.943 118.2942
136.000000 74.850 117.7486
138.000000 74.761 117.2123
140.000000 74.674 116.7109
143.000000 74.534 115.9596
145.000000 74.441 115.3939
147.500000 74.350 114.5556
150.000000 74.250 113.6921
152.500000 74.131 113.3345
155.000000 74.026 113.0506
157.500000 73.915 112.5752
160.000000 73.808 112.0164
162.500000 73.710 111.4846
165.000000 73.612 110.9847
167.500000 73.515 110.4955
170.000000 73.421 109.9843
172.500000 73.326 109.4861
175.000000 73.230 109.0171
177.500000 73.135 108.5609
180.000000 73.042 108.1093
182.500000 72.954 107.6480
185.000000 72.867 107.1858
187.500000 72.780 106.7590
190.000000 72.697 106.3559
192.500000 72.614 105.9441
195.000000 72.531 105.5247
197.500000 72.452 105.0949
200.000000 72.373 104.6721
203.000000 72.275 104.2252
206.000000 72.178 103.8027
209.000000 72.082 103.3546
212.000000 71.989 102.9201
214.000000 71.929 102.6395
218.000000 71.812 102.0737
220.000000 71.754 101.7983
224.000000 71.640 101.2617
227.000000 71.557 100.8616
230.000000 71.477 100.4644
233.000000 71.397 100.0913
236.000000 71.316 99.7315
240.000000 71.205 99.2604
243.000000 71.122 98.8831
247.000000 71.017 98.2267
250.000000 70.940 97.7548
254.000000 70.845 97.4314
258.000000 70.750 97.1387
262.000000 70.651 96.7725
265.000000 70.580 96.4860
269.000000 70.487 96.0540
272.000000 70.420 95.7180
276.000000 70.336 95.3223
280.000000 70.250 94.9506
285.000000 70.135 94.4936
290.000000 70.037 94.0273
295.000000 69.951 93.5745
300.000000 69.860 93.1523
