* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.5 dBFS, measurement signal peak level -25.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 11:55:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0395 ms (-14 mm, -0.53 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: 61T R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.597 48.6747
1.015000 54.875 47.5118
1.030000 55.150 46.3892
1.044000 55.403 45.3816
1.060000 55.689 44.2819
1.075000 55.953 43.3056
1.090000 56.213 42.3865
1.106000 56.486 41.4741
1.120000 56.722 40.7360
1.138000 57.020 39.8642
1.150000 57.216 39.3276
1.172000 57.570 38.4276
1.180000 57.697 38.1248
1.206000 58.104 37.2200
1.220000 58.319 36.7767
1.241000 58.637 36.1590
1.250000 58.772 35.9089
1.265000 58.995 35.5079
1.280000 59.215 35.1226
1.315000 59.719 34.2585
1.320000 59.790 34.1365
1.340000 60.072 33.6454
1.360000 60.350 33.1408
1.380000 60.625 32.6118
1.400000 60.896 32.0472
1.430000 61.298 31.1095
1.450000 61.563 30.4078
1.475000 61.891 29.4304
1.500000 62.212 28.3786
1.525000 62.527 27.2713
1.550000 62.836 26.1175
1.575000 63.138 24.9267
1.600000 63.436 23.7080
1.625000 63.727 22.4708
1.650000 64.014 21.2243
1.675000 64.295 19.9777
1.700000 64.572 18.7404
1.725000 64.844 17.5215
1.750000 65.112 16.3304
1.775000 65.376 15.1764
1.800000 65.637 14.0685
1.825000 65.893 13.0162
1.850000 66.147 12.0207
1.875000 66.394 11.0653
1.900000 66.637 10.1449
1.925000 66.875 9.2554
1.950000 67.109 8.3925
1.975000 67.338 7.5519
2.000000 67.563 6.7294
2.030000 67.827 5.7603
2.060000 68.087 4.8038
2.090000 68.341 3.8526
2.120000 68.590 2.8992
2.140000 68.754 2.2588
2.180000 69.077 0.9567
2.200000 69.236 0.2907
2.240000 69.546 -1.0558
2.270000 69.772 -2.0703
2.300000 69.993 -3.0866
2.330000 70.209 -4.1027
2.360000 70.421 -5.1166
2.400000 70.695 -6.4615
2.430000 70.897 -7.4624
2.470000 71.159 -8.7828
2.500000 71.352 -9.7600
2.540000 71.604 -11.0415
2.580000 71.851 -12.2961
2.620000 72.090 -13.5356
2.650000 72.264 -14.4563
2.690000 72.491 -15.6705
2.720000 72.656 -16.5698
2.760000 72.872 -17.7523
2.800000 73.082 -18.9138
2.850000 73.337 -20.3330
2.900000 73.586 -21.7122
2.950000 73.828 -23.0465
3.000000 74.062 -24.3293
3.040000 74.243 -25.3225
3.070000 74.376 -26.0509
3.110000 74.548 -27.0037
3.150000 74.716 -27.9393
3.200000 74.922 -29.0913
3.250000 75.122 -30.2316
3.300000 75.319 -31.3686
3.350000 75.510 -32.5052
3.400000 75.695 -33.6346
3.450000 75.875 -34.7504
3.500000 76.049 -35.8458
3.550000 76.220 -36.9144
3.600000 76.388 -37.9495
3.650000 76.553 -38.9445
3.700000 76.716 -39.8920
3.750000 76.874 -40.7919
3.820000 77.090 -41.9892
3.870000 77.240 -42.8122
3.950000 77.476 -44.0993
4.000000 77.621 -44.8997
4.060000 77.794 -45.8675
4.120000 77.963 -46.8297
4.180000 78.129 -47.7802
4.250000 78.319 -48.8694
4.310000 78.479 -49.7817
4.370000 78.637 -50.6707
4.440000 78.819 -51.6717
4.500000 78.973 -52.4963
4.550000 79.100 -53.1653
4.620000 79.274 -54.0834
4.680000 79.421 -54.8614
4.750000 79.590 -55.7696
4.820000 79.757 -56.6826
4.870000 79.874 -57.3320
4.940000 80.035 -58.2351
5.000000 80.171 -59.0018
5.080000 80.348 -60.0103
5.150000 80.500 -60.8774
5.220000 80.648 -61.7308
5.300000 80.814 -62.6913
5.380000 80.976 -63.6370
5.450000 81.115 -64.4533
5.520000 81.251 -65.2600
5.600000 81.401 -66.1704
5.700000 81.585 -67.2893
5.800000 81.762 -68.3847
5.900000 81.935 -69.4542
6.000000 82.102 -70.4993
6.080000 82.232 -71.3177
6.150000 82.344 -72.0202
6.220000 82.454 -72.7099
6.300000 82.578 -73.4804
6.400000 82.730 -74.4180
6.500000 82.878 -75.3329
6.600000 83.023 -76.2315
6.700000 83.166 -77.1128
6.800000 83.307 -77.9754
6.900000 83.445 -78.8226
7.000000 83.581 -79.6567
7.100000 83.716 -80.4742
7.200000 83.848 -81.2786
7.300000 83.978 -82.0748
7.400000 84.105 -82.8659
7.500000 84.231 -83.6491
7.620000 84.378 -84.5785
7.750000 84.534 -85.5728
7.880000 84.685 -86.5542
8.000000 84.822 -87.4482
8.120000 84.954 -88.3310
8.250000 85.094 -89.2749
8.380000 85.229 -90.2045
8.500000 85.351 -91.0487
8.620000 85.470 -91.8800
8.750000 85.595 -92.7667
8.850000 85.689 -93.4392
9.000000 85.827 -94.4316
9.120000 85.934 -95.2134
9.250000 86.048 -96.0498
9.380000 86.159 -96.8744
9.500000 86.259 -97.6260
9.620000 86.356 -98.3690
9.750000 86.459 -99.1638
9.880000 86.559 -99.9479
10.000000 86.649 -100.6625
10.150000 86.759 -101.5430
10.300000 86.865 -102.4070
10.440000 86.961 -103.1983
10.600000 87.068 -104.0856
10.750000 87.166 -104.9005
10.900000 87.262 -105.6999
11.060000 87.363 -106.5397
11.200000 87.449 -107.2622
11.380000 87.559 -108.1828
11.500000 87.631 -108.7922
11.720000 87.761 -109.9040
11.800000 87.807 -110.3085
12.060000 87.954 -111.6214
12.200000 88.029 -112.3278
12.410000 88.138 -113.3843
12.500000 88.182 -113.8327
12.650000 88.254 -114.5763
12.800000 88.322 -115.3092
13.150000 88.472 -116.9631
13.200000 88.493 -117.1920
13.400000 88.573 -118.0880
13.600000 88.652 -118.9570
13.800000 88.730 -119.7989
14.000000 88.809 -120.6260
14.300000 88.928 -121.8473
14.500000 89.007 -122.6614
14.750000 89.105 -123.6852
15.000000 89.200 -124.7177
15.250000 89.289 -125.7551
15.500000 89.373 -126.7864
15.750000 89.451 -127.8046
16.000000 89.523 -128.7989
16.250000 89.592 -129.7649
16.500000 89.657 -130.7017
16.750000 89.721 -131.6100
17.000000 89.783 -132.4956
17.250000 89.845 -133.3625
17.500000 89.905 -134.2160
17.750000 89.965 -135.0620
18.000000 90.023 -135.9034
18.250000 90.080 -136.7428
18.500000 90.133 -137.5802
18.750000 90.183 -138.4123
19.000000 90.229 -139.2358
19.250000 90.270 -140.0421
19.500000 90.309 -140.8262
19.750000 90.345 -141.5844
20.000000 90.380 -142.3150
20.299999 90.422 -143.1635
20.600000 90.466 -143.9925
20.900000 90.511 -144.8159
21.200001 90.556 -145.6454
21.400000 90.584 -146.2028
21.799999 90.637 -147.3190
22.000000 90.661 -147.8718
22.400000 90.705 -148.9532
22.700001 90.736 -149.7398
23.000000 90.767 -150.5105
23.299999 90.798 -151.2751
23.600000 90.828 -152.0400
24.000000 90.864 -153.0606
24.299999 90.888 -153.8174
24.700001 90.914 -154.7965
25.000000 90.932 -155.5001
25.400000 90.956 -156.4001
25.799999 90.983 -157.2779
26.200001 91.012 -158.1604
26.500000 91.032 -158.8339
26.900000 91.055 -159.7437
27.200001 91.068 -160.4236
27.600000 91.079 -161.3089
28.000000 91.085 -162.1544
28.500000 91.092 -163.1518
29.000000 91.100 -164.1046
29.500000 91.111 -165.0421
30.000000 91.123 -165.9829
30.400000 91.131 -166.7375
30.700001 91.136 -167.3011
31.100000 91.141 -168.0451
31.500000 91.145 -168.7795
32.000000 91.148 -169.6855
32.500000 91.149 -170.5790
33.000000 91.147 -171.4528
33.500000 91.142 -172.2965
34.000000 91.137 -173.1086
34.500000 91.133 -173.9022
35.000000 91.128 -174.6940
35.500000 91.120 -175.4883
36.000000 91.106 -176.2686
36.500000 91.087 -177.0102
37.000000 91.068 -177.7025
37.500000 91.052 -178.3617
38.200001 91.035 -179.2863
38.700001 91.025 -179.9703
39.500000 91.001 178.9195
40.000000 90.984 178.2358
40.599998 90.961 177.4289
41.200001 90.938 176.6367
41.799999 90.913 175.8693
42.500000 90.885 175.0067
43.099998 90.863 174.2759
43.700001 90.839 173.5460
44.400002 90.808 172.7173
45.000000 90.779 172.0367
45.500000 90.756 171.4817
46.200001 90.721 170.7194
46.799999 90.690 170.0911
47.500000 90.657 169.3679
48.200001 90.623 168.6103
48.700001 90.593 168.0656
49.400002 90.542 167.3780
50.000000 90.506 166.8713
50.799999 90.476 166.1890
51.500000 90.452 165.5112
52.200001 90.420 164.8215
53.000000 90.380 164.0877
53.799999 90.342 163.3737
54.500000 90.307 162.7455
55.200001 90.268 162.1383
56.000000 90.223 161.4823
57.000000 90.168 160.6855
58.000000 90.112 159.8895
59.000000 90.054 159.1104
60.000000 89.996 158.3546
60.799999 89.950 157.7686
61.500000 89.910 157.2709
62.200001 89.873 156.7790
63.000000 89.831 156.2139
64.000000 89.775 155.5131
65.000000 89.716 154.8449
66.000000 89.656 154.2173
67.000000 89.599 153.6124
68.000000 89.544 153.0110
69.000000 89.487 152.4123
70.000000 89.431 151.8227
71.000000 89.375 151.2343
72.000000 89.316 150.6523
73.000000 89.257 150.0957
74.000000 89.200 149.5659
75.000000 89.147 149.0469
76.199997 89.085 148.4078
77.500000 89.013 147.7262
78.800003 88.940 147.0856
80.000000 88.874 146.5130
81.199997 88.810 145.9499
82.500000 88.739 145.3411
83.800003 88.668 144.7461
85.000000 88.603 144.2234
86.199997 88.541 143.7192
87.500000 88.475 143.1785
88.500000 88.424 142.7697
90.000000 88.347 142.1800
91.199997 88.286 141.7253
92.500000 88.222 141.2353
93.800003 88.158 140.7455
95.000000 88.099 140.3084
96.199997 88.039 139.8837
97.500000 87.974 139.4418
98.800003 87.911 139.0242
100.000000 87.857 138.6330
101.500000 87.787 138.1138
103.000000 87.714 137.6083
104.400002 87.648 137.1588
106.000000 87.576 136.6598
107.500000 87.509 136.2045
109.000000 87.442 135.7618
110.599998 87.371 135.3097
112.000000 87.310 134.9233
113.800003 87.233 134.4284
115.000000 87.183 134.1021
117.199997 87.092 133.5206
118.000000 87.060 133.3146
120.599998 86.956 132.6656
122.000000 86.901 132.3298
124.099998 86.819 131.8304
125.000000 86.783 131.6194
126.500000 86.725 131.2712
128.000000 86.667 130.9283
131.500000 86.538 130.1524
132.000000 86.520 130.0433
134.000000 86.450 129.6087
136.000000 86.379 129.1754
138.000000 86.307 128.7613
140.000000 86.239 128.3636
143.000000 86.143 127.7878
145.000000 86.078 127.4237
147.500000 85.990 126.9894
150.000000 85.907 126.5745
152.500000 85.837 126.0824
155.000000 85.766 125.5901
157.500000 85.694 125.1570
160.000000 85.623 124.7514
162.500000 85.553 124.3470
165.000000 85.486 123.9401
167.500000 85.420 123.5434
170.000000 85.354 123.1591
172.500000 85.291 122.7742
175.000000 85.229 122.3985
177.500000 85.167 122.0337
180.000000 85.107 121.6667
182.500000 85.049 121.3024
185.000000 84.993 120.9485
187.500000 84.938 120.6034
190.000000 84.884 120.2588
192.500000 84.829 119.9173
195.000000 84.774 119.5735
197.500000 84.719 119.2193
200.000000 84.666 118.8836
203.000000 84.609 118.5217
206.000000 84.556 118.1583
209.000000 84.502 117.7823
212.000000 84.448 117.4094
214.000000 84.414 117.1632
218.000000 84.345 116.6719
220.000000 84.311 116.4301
224.000000 84.245 115.9567
227.000000 84.197 115.6075
230.000000 84.150 115.2638
233.000000 84.104 114.9191
236.000000 84.058 114.5734
240.000000 83.999 114.1198
243.000000 83.957 113.7820
247.000000 83.905 113.3091
250.000000 83.866 112.9588
254.000000 83.817 112.5580
258.000000 83.768 112.1662
262.000000 83.718 111.7531
265.000000 83.681 111.4363
269.000000 83.636 111.0276
272.000000 83.604 110.7317
276.000000 83.563 110.3262
280.000000 83.522 109.9155
285.000000 83.473 109.4245
290.000000 83.424 108.9444
295.000000 83.378 108.4734
300.000000 83.334 108.0126
