* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08/09/2022 9:49:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 ohm Ti Vent + Filter L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.791 169.0442
1.015000 51.813 168.2168
1.030000 51.830 167.3710
1.044000 51.843 166.5646
1.060000 51.853 165.6232
1.075000 51.860 164.7216
1.090000 51.864 163.8019
1.106000 51.865 162.8011
1.120000 51.864 161.9088
1.138000 51.860 160.7391
1.150000 51.855 159.9456
1.172000 51.845 158.4623
1.180000 51.840 157.9140
1.206000 51.823 156.0994
1.220000 51.814 155.1020
1.241000 51.798 153.5796
1.250000 51.792 152.9177
1.265000 51.781 151.8020
1.280000 51.771 150.6708
1.315000 51.750 147.9727
1.320000 51.748 147.5807
1.340000 51.740 145.9964
1.360000 51.733 144.3828
1.380000 51.725 142.7304
1.400000 51.714 141.0411
1.430000 51.694 138.4425
1.450000 51.680 136.6705
1.475000 51.662 134.4147
1.500000 51.644 132.1178
1.525000 51.627 129.7842
1.550000 51.613 127.4184
1.575000 51.602 125.0247
1.600000 51.596 122.6077
1.625000 51.595 120.1717
1.650000 51.600 117.7211
1.675000 51.613 115.2603
1.700000 51.632 112.7773
1.725000 51.654 110.2330
1.750000 51.680 107.6350
1.775000 51.709 104.9939
1.800000 51.742 102.3203
1.825000 51.779 99.6248
1.850000 51.821 96.9179
1.875000 51.867 94.2104
1.900000 51.919 91.5126
1.925000 51.977 88.8353
1.950000 52.041 86.1889
1.975000 52.111 83.5842
2.000000 52.189 81.0316
2.030000 52.291 78.0450
2.060000 52.407 75.0807
2.090000 52.535 72.1283
2.120000 52.674 69.1968
2.140000 52.771 67.2587
2.180000 52.977 63.4333
2.200000 53.083 61.5516
2.240000 53.302 57.8633
2.270000 53.468 55.1736
2.300000 53.636 52.5596
2.330000 53.801 50.0305
2.360000 53.964 47.5950
2.400000 54.186 44.4779
2.430000 54.356 42.2269
2.470000 54.589 39.3357
2.500000 54.766 37.2462
2.540000 55.003 34.5598
2.580000 55.239 31.9807
2.620000 55.472 29.5022
2.650000 55.643 27.7051
2.690000 55.865 25.3857
2.720000 56.027 23.7129
2.760000 56.240 21.5909
2.800000 56.450 19.5823
2.850000 56.709 17.2131
2.900000 56.962 14.9801
2.950000 57.210 12.8604
3.000000 57.452 10.8313
3.040000 57.641 9.2605
3.070000 57.780 8.1323
3.110000 57.961 6.7015
3.150000 58.139 5.3460
3.200000 58.357 3.7426
3.250000 58.570 2.2227
3.300000 58.778 0.7676
3.350000 58.984 -0.6416
3.400000 59.186 -2.0051
3.450000 59.383 -3.2873
3.500000 59.577 -4.4984
3.550000 59.766 -5.6520
3.600000 59.952 -6.7614
3.650000 60.135 -7.8398
3.700000 60.315 -8.9010
3.750000 60.492 -9.9354
3.820000 60.735 -11.3140
3.870000 60.905 -12.2581
3.950000 61.169 -13.7174
4.000000 61.329 -14.6079
4.060000 61.516 -15.6644
4.120000 61.697 -16.6979
4.180000 61.873 -17.7048
4.250000 62.071 -18.8456
4.310000 62.234 -19.7946
4.370000 62.391 -20.7167
4.440000 62.566 -21.7637
4.500000 62.709 -22.6370
4.550000 62.824 -23.3436
4.620000 62.979 -24.2941
4.680000 63.107 -25.0669
4.750000 63.251 -25.9150
4.820000 63.387 -26.7142
4.870000 63.480 -27.2545
4.940000 63.608 -27.9658
5.000000 63.717 -28.5316
5.080000 63.864 -29.2181
5.150000 63.990 -29.7456
5.220000 64.115 -30.2161
5.300000 64.261 -30.7036
5.380000 64.416 -31.1592
5.450000 64.559 -31.5193
5.520000 64.706 -31.8298
5.600000 64.881 -32.1613
5.700000 65.112 -32.6042
5.800000 65.360 -33.1015
5.900000 65.623 -33.6129
6.000000 65.894 -34.2030
6.080000 66.112 -34.7749
6.150000 66.307 -35.3387
6.220000 66.505 -35.9552
6.300000 66.730 -36.7274
6.400000 67.001 -37.8006
6.500000 67.261 -39.0145
6.600000 67.512 -40.3481
6.700000 67.746 -41.7548
6.800000 67.956 -43.2200
6.900000 68.148 -44.7748
7.000000 68.319 -46.3514
7.100000 68.466 -47.8864
7.200000 68.589 -49.4259
7.300000 68.690 -50.9316
7.400000 68.774 -52.3292
7.500000 68.839 -53.6135
7.620000 68.892 -55.0262
7.750000 68.941 -56.3119
7.880000 68.978 -57.3064
8.000000 69.010 -58.0026
8.120000 69.062 -58.5051
8.250000 69.134 -58.7863
8.380000 69.234 -58.9288
8.500000 69.363 -59.0175
8.620000 69.523 -59.0245
8.750000 69.721 -59.1155
8.850000 69.895 -59.2823
9.000000 70.182 -59.6553
9.120000 70.412 -60.1370
9.250000 70.665 -60.8628
9.380000 70.911 -61.7452
9.500000 71.115 -62.6761
9.620000 71.305 -63.7385
9.750000 71.485 -64.9230
9.880000 71.634 -66.1143
10.000000 71.747 -67.2175
10.150000 71.862 -68.4525
10.300000 71.942 -69.5464
10.440000 72.005 -70.3790
10.600000 72.064 -71.0582
10.750000 72.119 -71.4789
10.900000 72.192 -71.6853
11.060000 72.288 -71.7263
11.200000 72.399 -71.7172
11.380000 72.574 -71.6391
11.500000 72.706 -71.6664
11.720000 72.980 -71.8604
11.800000 73.079 -72.0082
12.060000 73.401 -72.7844
12.200000 73.555 -73.3386
12.410000 73.757 -74.3212
12.500000 73.829 -74.7380
12.650000 73.930 -75.4518
12.800000 74.012 -76.0961
13.150000 74.143 -77.1902
13.200000 74.159 -77.2855
13.400000 74.219 -77.5259
13.600000 74.297 -77.5690
13.800000 74.395 -77.4719
14.000000 74.523 -77.3242
14.300000 74.761 -77.2111
14.500000 74.939 -77.2827
14.750000 75.168 -77.5992
15.000000 75.384 -78.1307
15.250000 75.578 -78.8018
15.500000 75.745 -79.5374
15.750000 75.889 -80.2513
16.000000 76.017 -80.8883
16.250000 76.138 -81.4395
16.500000 76.258 -81.9085
16.750000 76.383 -82.3214
17.000000 76.513 -82.7129
17.250000 76.648 -83.1013
17.500000 76.785 -83.4989
17.750000 76.923 -83.9062
18.000000 77.059 -84.3115
18.250000 77.195 -84.7061
18.500000 77.332 -85.0843
18.750000 77.472 -85.4479
19.000000 77.617 -85.8148
19.250000 77.766 -86.2043
19.500000 77.917 -86.6365
19.750000 78.067 -87.1310
20.000000 78.208 -87.6835
20.299999 78.363 -88.3973
20.600000 78.495 -89.1101
20.900000 78.606 -89.7484
21.200001 78.705 -90.2505
21.400000 78.770 -90.4958
21.799999 78.916 -90.8290
22.000000 79.001 -90.9645
22.400000 79.195 -91.2942
22.700001 79.348 -91.6812
23.000000 79.494 -92.2027
23.299999 79.620 -92.8159
23.600000 79.722 -93.4419
24.000000 79.826 -94.1511
24.299999 79.892 -94.5270
24.700001 79.987 -94.8210
25.000000 80.072 -94.9449
25.400000 80.207 -95.0818
25.799999 80.359 -95.2683
26.200001 80.518 -95.5305
26.500000 80.639 -95.7728
26.900000 80.799 -96.1544
27.200001 80.916 -96.4878
27.600000 81.062 -96.9893
28.000000 81.191 -97.5176
28.500000 81.330 -98.1110
29.000000 81.463 -98.5531
29.500000 81.609 -98.9174
30.000000 81.767 -99.3766
30.400000 81.887 -99.8603
30.700001 81.965 -100.2584
31.100000 82.053 -100.7634
31.500000 82.133 -101.1793
32.000000 82.241 -101.5920
32.500000 82.366 -102.0012
33.000000 82.496 -102.4868
33.500000 82.624 -103.0092
34.000000 82.755 -103.5104
34.500000 82.898 -104.0226
35.000000 83.047 -104.6212
35.500000 83.189 -105.3038
36.000000 83.316 -105.9783
36.500000 83.434 -106.5698
37.000000 83.554 -107.0862
37.500000 83.674 -107.5612
38.200001 83.837 -108.1331
38.700001 83.956 -108.4554
39.500000 84.166 -108.9758
40.000000 84.296 -109.4054
40.599998 84.432 -110.0009
41.200001 84.545 -110.5884
41.799999 84.645 -111.1322
42.500000 84.751 -111.7289
43.099998 84.836 -112.2051
43.700001 84.923 -112.6434
44.400002 85.038 -113.1495
45.000000 85.152 -113.6584
45.500000 85.250 -114.1943
46.200001 85.373 -115.0920
46.799999 85.457 -115.8290
47.500000 85.564 -116.5165
48.200001 85.708 -117.2859
48.700001 85.804 -118.0475
49.400002 85.877 -119.1486
50.000000 85.906 -119.7131
50.799999 86.006 -119.9489
51.500000 86.164 -120.2908
52.200001 86.316 -120.9678
53.000000 86.448 -121.7755
53.799999 86.570 -122.4608
54.500000 86.675 -123.0625
55.200001 86.769 -123.6628
56.000000 86.870 -124.2975
57.000000 86.999 -125.0828
58.000000 87.123 -125.9421
59.000000 87.243 -126.7913
60.000000 87.380 -127.6824
60.799999 87.492 -128.5353
61.500000 87.578 -129.3431
62.200001 87.653 -130.1365
63.000000 87.730 -130.9591
64.000000 87.832 -131.8508
65.000000 87.945 -132.7573
66.000000 88.043 -133.7009
67.000000 88.131 -134.5777
68.000000 88.215 -135.4736
69.000000 88.284 -136.3726
70.000000 88.350 -137.2288
71.000000 88.417 -138.0889
72.000000 88.485 -138.9536
73.000000 88.557 -139.8367
74.000000 88.626 -140.7443
75.000000 88.690 -141.6317
76.199997 88.765 -142.6526
77.500000 88.843 -143.7455
78.800003 88.915 -144.8490
80.000000 88.972 -145.8777
81.199997 89.020 -146.9028
82.500000 89.069 -147.9996
83.800003 89.118 -149.0833
85.000000 89.165 -150.0964
86.199997 89.208 -151.1160
87.500000 89.247 -152.1943
88.500000 89.272 -152.9893
90.000000 89.307 -154.1410
91.199997 89.332 -155.0804
92.500000 89.349 -156.0931
93.800003 89.361 -157.0618
95.000000 89.371 -157.9207
96.199997 89.380 -158.7413
97.500000 89.387 -159.6185
98.800003 89.390 -160.4661
100.000000 89.398 -161.2571
101.500000 89.403 -162.3729
103.000000 89.392 -163.4906
104.400002 89.380 -164.4706
106.000000 89.371 -165.5154
107.500000 89.363 -166.4276
109.000000 89.354 -167.3160
110.599998 89.336 -168.2830
112.000000 89.311 -169.1169
113.800003 89.279 -170.1460
115.000000 89.260 -170.8478
117.199997 89.217 -172.1093
118.000000 89.200 -172.5304
120.599998 89.156 -173.8332
122.000000 89.131 -174.5482
124.099998 89.084 -175.5551
125.000000 89.063 -175.9606
126.500000 89.029 -176.6198
128.000000 88.997 -177.2858
131.500000 88.908 -178.9111
132.000000 88.893 -179.1337
134.000000 88.832 -179.9767
136.000000 88.769 179.2394
138.000000 88.704 178.4852
140.000000 88.637 177.7479
143.000000 88.538 176.6820
145.000000 88.470 176.0430
147.500000 88.380 175.3240
150.000000 88.286 174.6412
152.500000 88.193 173.9264
155.000000 88.101 173.2208
157.500000 88.009 172.5493
160.000000 87.920 171.8975
162.500000 87.833 171.2536
165.000000 87.747 170.6477
167.500000 87.664 170.0635
170.000000 87.584 169.4986
172.500000 87.506 168.9765
175.000000 87.427 168.4850
177.500000 87.346 168.0025
180.000000 87.267 167.5303
182.500000 87.191 167.0747
185.000000 87.114 166.6421
187.500000 87.035 166.2238
190.000000 86.957 165.8150
192.500000 86.881 165.4366
195.000000 86.807 165.1122
197.500000 86.733 164.8500
200.000000 86.661 164.5840
203.000000 86.569 164.1716
206.000000 86.474 163.6827
209.000000 86.372 163.1198
212.000000 86.240 162.5754
214.000000 86.136 162.3318
218.000000 85.939 162.2115
220.000000 85.859 162.2434
224.000000 85.724 162.2775
227.000000 85.632 162.2480
230.000000 85.541 162.2141
233.000000 85.450 162.1837
236.000000 85.358 162.1664
240.000000 85.232 162.1820
243.000000 85.138 162.2153
247.000000 85.017 162.2868
250.000000 84.930 162.3728
254.000000 84.815 162.5346
258.000000 84.709 162.7328
262.000000 84.615 162.9647
265.000000 84.551 163.1802
269.000000 84.474 163.4889
272.000000 84.423 163.7074
276.000000 84.362 163.9701
280.000000 84.311 164.2026
285.000000 84.265 164.4560
290.000000 84.220 164.6688
295.000000 84.167 164.8407
300.000000 84.111 164.9613
304.000000 84.077 164.9884
