* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08/09/2022 9:56:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 ohm Ti Vent + Filter R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.611 13.0742
1.015000 54.700 11.6912
1.030000 54.784 10.3605
1.044000 54.857 9.1609
1.060000 54.936 7.8353
1.075000 55.004 6.6320
1.090000 55.067 5.4622
1.106000 55.130 4.2466
1.120000 55.182 3.2058
1.138000 55.243 1.8932
1.150000 55.281 1.0305
1.172000 55.345 -0.5338
1.180000 55.367 -1.0993
1.206000 55.433 -2.9356
1.220000 55.466 -3.9294
1.241000 55.512 -5.4365
1.250000 55.531 -6.0909
1.265000 55.561 -7.1968
1.280000 55.591 -8.3253
1.315000 55.657 -11.0714
1.320000 55.666 -11.4790
1.340000 55.703 -13.1544
1.360000 55.740 -14.8994
1.380000 55.775 -16.6893
1.400000 55.807 -18.5185
1.430000 55.850 -21.3273
1.450000 55.875 -23.2375
1.475000 55.902 -25.6603
1.500000 55.925 -28.1149
1.525000 55.942 -30.5936
1.550000 55.955 -33.0884
1.575000 55.963 -35.5917
1.600000 55.966 -38.0956
1.625000 55.964 -40.5923
1.650000 55.956 -43.0739
1.675000 55.943 -45.5327
1.700000 55.924 -47.9618
1.725000 55.899 -50.3630
1.750000 55.868 -52.7442
1.775000 55.832 -55.1135
1.800000 55.790 -57.4787
1.825000 55.743 -59.8477
1.850000 55.691 -62.2287
1.875000 55.635 -64.6294
1.900000 55.575 -67.0578
1.925000 55.511 -69.5219
1.950000 55.443 -72.0296
1.975000 55.372 -74.5889
2.000000 55.298 -77.2076
2.030000 55.205 -80.4335
2.060000 55.102 -83.6967
2.090000 54.990 -86.9900
2.120000 54.871 -90.3237
2.140000 54.788 -92.5737
2.180000 54.615 -97.1534
2.200000 54.527 -99.4892
2.240000 54.348 -104.2677
2.270000 54.215 -107.9572
2.300000 54.083 -111.7486
2.330000 53.956 -115.6522
2.360000 53.833 -119.6783
2.400000 53.658 -125.2503
2.430000 53.515 -129.5711
2.470000 53.318 -135.4981
2.500000 53.170 -140.0518
2.540000 52.983 -146.2447
2.580000 52.817 -152.5495
2.620000 52.682 -158.9373
2.650000 52.607 -163.7651
2.690000 52.552 -170.2279
2.720000 52.543 -175.1499
2.760000 52.559 178.0806
2.800000 52.607 171.1445
2.850000 52.711 162.3559
2.900000 52.862 153.5748
2.950000 53.058 144.9502
3.000000 53.298 136.6310
3.040000 53.522 130.2829
3.070000 53.720 125.6163
3.110000 54.025 119.4732
3.150000 54.367 113.4423
3.200000 54.830 106.0983
3.250000 55.313 99.0147
3.300000 55.794 92.2385
3.350000 56.255 85.8169
3.400000 56.688 79.7985
3.450000 57.127 74.1822
3.500000 57.567 68.9083
3.550000 58.002 63.9156
3.600000 58.426 59.1427
3.650000 58.834 54.5285
3.700000 59.220 50.0115
3.750000 59.584 45.6262
3.820000 60.069 39.8177
3.870000 60.397 35.8753
3.950000 60.891 29.8649
4.000000 61.179 26.2603
4.060000 61.505 22.0599
4.120000 61.806 18.0452
4.180000 62.085 14.2174
4.250000 62.384 9.9623
4.310000 62.620 6.4741
4.370000 62.838 3.1126
4.440000 63.070 -0.6493
4.500000 63.246 -3.7208
4.550000 63.379 -6.1719
4.620000 63.548 -9.4365
4.680000 63.679 -12.0789
4.750000 63.817 -14.9796
4.820000 63.932 -17.6861
4.870000 64.002 -19.4998
4.940000 64.089 -21.8705
5.000000 64.157 -23.7450
5.080000 64.244 -26.0133
5.150000 64.306 -27.7670
5.220000 64.358 -29.3200
5.300000 64.418 -30.8760
5.380000 64.487 -32.2281
5.450000 64.556 -33.2212
5.520000 64.625 -34.0175
5.600000 64.713 -34.7502
5.700000 64.847 -35.5083
5.800000 65.015 -36.1168
5.900000 65.212 -36.5062
6.000000 65.432 -36.8326
6.080000 65.622 -37.1504
6.150000 65.804 -37.4341
6.220000 65.998 -37.7160
6.300000 66.227 -38.0656
6.400000 66.512 -38.5934
6.500000 66.800 -39.2383
6.600000 67.091 -39.9680
6.700000 67.373 -40.7590
6.800000 67.640 -41.6084
6.900000 67.897 -42.5343
7.000000 68.141 -43.4843
7.100000 68.372 -44.4078
7.200000 68.586 -45.3309
7.300000 68.788 -46.2403
7.400000 68.983 -47.1014
7.500000 69.170 -47.9014
7.620000 69.382 -48.8015
7.750000 69.612 -49.7156
7.880000 69.841 -50.5452
8.000000 70.053 -51.2703
8.120000 70.270 -52.0167
8.250000 70.513 -52.8208
8.380000 70.756 -53.6799
8.500000 70.980 -54.5724
8.620000 71.205 -55.5389
8.750000 71.437 -56.6966
8.850000 71.606 -57.6813
9.000000 71.844 -59.2872
9.120000 72.008 -60.6532
9.250000 72.161 -62.2369
9.380000 72.285 -63.8685
9.500000 72.368 -65.3711
9.620000 72.423 -66.8964
9.750000 72.449 -68.4742
9.880000 72.439 -69.9527
10.000000 72.399 -71.2239
10.150000 72.318 -72.5450
10.300000 72.196 -73.5941
10.440000 72.067 -74.2310
10.600000 71.901 -74.4995
10.750000 71.752 -74.3301
10.900000 71.631 -73.7034
11.060000 71.539 -72.6248
11.200000 71.527 -71.4618
11.380000 71.594 -69.6871
11.500000 71.699 -68.5874
11.720000 72.016 -66.7029
11.800000 72.154 -66.1971
12.060000 72.691 -65.2206
12.200000 72.986 -65.1899
12.410000 73.426 -65.7737
12.500000 73.595 -66.1954
12.650000 73.855 -67.1647
12.800000 74.077 -68.2893
13.150000 74.426 -71.2334
13.200000 74.457 -71.6360
13.400000 74.539 -73.1541
13.600000 74.575 -74.2875
13.800000 74.584 -75.0192
14.000000 74.599 -75.2486
14.300000 74.706 -74.9392
14.500000 74.857 -74.5365
14.750000 75.154 -74.1503
15.000000 75.526 -74.3594
15.250000 75.911 -75.3080
15.500000 76.257 -77.0148
15.750000 76.508 -79.3209
16.000000 76.631 -81.8315
16.250000 76.627 -84.1770
16.500000 76.507 -86.0022
16.750000 76.306 -86.9155
17.000000 76.108 -86.7411
17.250000 75.988 -85.6417
17.500000 76.010 -83.9128
17.750000 76.219 -82.1763
18.000000 76.559 -81.0475
18.250000 76.963 -80.7751
18.500000 77.356 -81.4701
18.750000 77.665 -82.9338
19.000000 77.863 -84.7548
19.250000 77.947 -86.5822
19.500000 77.930 -88.0719
19.750000 77.854 -88.9029
20.000000 77.777 -89.0381
20.299999 77.751 -88.4617
20.600000 77.853 -87.5510
20.900000 78.076 -86.9084
21.200001 78.353 -86.9510
21.400000 78.523 -87.3973
21.799999 78.763 -88.8547
22.000000 78.823 -89.6141
22.400000 78.860 -90.7542
22.700001 78.874 -91.1196
23.000000 78.919 -91.2175
23.299999 79.007 -91.3082
23.600000 79.117 -91.6000
24.000000 79.238 -92.3013
24.299999 79.294 -92.8120
24.700001 79.364 -93.1421
25.000000 79.469 -93.2146
25.400000 79.711 -93.6423
25.799999 79.986 -95.1796
26.200001 80.125 -97.8687
26.500000 80.063 -100.0687
26.900000 79.763 -101.9556
27.200001 79.460 -101.8615
27.600000 79.212 -99.7037
28.000000 79.374 -96.6282
28.500000 80.048 -94.6205
29.000000 80.695 -95.9471
29.500000 81.000 -98.7626
30.000000 81.036 -100.5369
30.400000 81.046 -100.6691
30.700001 81.119 -100.2995
31.100000 81.320 -99.7600
31.500000 81.587 -99.6394
32.000000 81.905 -100.2027
32.500000 82.138 -101.2265
33.000000 82.272 -102.2670
33.500000 82.330 -102.9769
34.000000 82.367 -103.1706
34.500000 82.451 -103.0131
35.000000 82.597 -102.9750
35.500000 82.756 -103.3715
36.000000 82.875 -104.0614
36.500000 82.949 -104.6884
37.000000 83.018 -105.0852
37.500000 83.113 -105.3472
38.200001 83.286 -105.7227
38.700001 83.426 -106.0063
39.500000 83.677 -106.4401
40.000000 83.849 -106.7397
40.599998 84.060 -107.1813
41.200001 84.259 -107.7599
41.799999 84.422 -108.4371
42.500000 84.557 -109.1035
43.099998 84.663 -109.4868
43.700001 84.777 -109.9316
44.400002 84.879 -110.7006
45.000000 84.925 -111.3195
45.500000 84.964 -111.6893
46.200001 85.058 -112.2166
46.799999 85.154 -112.8464
47.500000 85.273 -113.5923
48.200001 85.443 -114.3729
48.700001 85.580 -115.1973
49.400002 85.708 -116.5984
50.000000 85.751 -117.4025
50.799999 85.858 -117.5413
51.500000 86.064 -117.6016
52.200001 86.279 -118.1729
53.000000 86.446 -119.0900
53.799999 86.548 -119.8823
54.500000 86.610 -120.4054
55.200001 86.676 -120.8180
56.000000 86.765 -121.4033
57.000000 86.856 -122.2764
58.000000 86.988 -122.9609
59.000000 87.180 -124.0901
60.000000 87.308 -125.4188
60.799999 87.405 -126.0902
61.500000 87.521 -126.5988
62.200001 87.639 -127.2091
63.000000 87.753 -127.9305
64.000000 87.873 -128.8016
65.000000 87.961 -129.7075
66.000000 88.024 -130.5204
67.000000 88.095 -131.2621
68.000000 88.185 -132.0539
69.000000 88.287 -132.9664
70.000000 88.388 -133.9365
71.000000 88.492 -134.9220
72.000000 88.584 -135.9534
73.000000 88.653 -136.9124
74.000000 88.719 -137.7330
75.000000 88.793 -138.5435
76.199997 88.883 -139.6292
77.500000 88.966 -140.9023
78.800003 89.043 -142.1349
80.000000 89.121 -143.2480
81.199997 89.199 -144.3666
82.500000 89.272 -145.5274
83.800003 89.343 -146.5902
85.000000 89.405 -147.5973
86.199997 89.453 -148.6110
87.500000 89.495 -149.7098
88.500000 89.521 -150.5464
90.000000 89.562 -151.7825
91.199997 89.596 -152.7794
92.500000 89.633 -153.8557
93.800003 89.669 -154.9231
95.000000 89.697 -155.8896
96.199997 89.717 -156.8577
97.500000 89.722 -157.8849
98.800003 89.714 -158.8104
100.000000 89.716 -159.5938
101.500000 89.731 -160.6824
103.000000 89.732 -161.8284
104.400002 89.727 -162.8252
106.000000 89.723 -163.8964
107.500000 89.717 -164.8657
109.000000 89.708 -165.8202
110.599998 89.695 -166.8420
112.000000 89.677 -167.7424
113.800003 89.646 -168.8785
115.000000 89.621 -169.6262
117.199997 89.570 -170.9749
118.000000 89.551 -171.4584
120.599998 89.498 -172.9300
122.000000 89.477 -173.6973
124.099998 89.434 -174.7809
125.000000 89.411 -175.2065
126.500000 89.368 -175.8879
128.000000 89.319 -176.5643
131.500000 89.208 -178.1525
132.000000 89.193 -178.3776
134.000000 89.138 -179.2444
136.000000 89.086 179.9243
138.000000 89.034 179.0806
140.000000 88.979 178.2051
143.000000 88.892 176.9843
145.000000 88.833 176.2894
147.500000 88.752 175.4955
150.000000 88.669 174.7344
152.500000 88.597 173.9482
155.000000 88.526 173.1821
157.500000 88.448 172.4785
160.000000 88.359 171.7820
162.500000 88.263 171.0829
165.000000 88.172 170.4594
167.500000 88.091 169.9148
170.000000 88.012 169.4122
172.500000 87.931 168.9471
175.000000 87.852 168.5107
177.500000 87.777 168.0742
180.000000 87.707 167.5924
182.500000 87.638 167.0464
185.000000 87.567 166.4837
187.500000 87.495 165.9586
190.000000 87.424 165.4860
192.500000 87.353 165.0740
195.000000 87.281 164.7111
197.500000 87.203 164.3735
200.000000 87.126 164.0901
203.000000 87.048 163.7947
206.000000 86.974 163.4118
209.000000 86.900 162.8101
212.000000 86.826 161.8553
214.000000 86.760 161.0076
218.000000 86.494 159.1936
220.000000 86.280 158.6808
224.000000 85.856 159.1360
227.000000 85.674 160.0715
230.000000 85.586 160.7760
233.000000 85.525 161.1736
236.000000 85.462 161.3934
240.000000 85.362 161.5494
243.000000 85.279 161.6221
247.000000 85.157 161.6347
250.000000 85.067 161.6006
254.000000 84.963 161.5193
258.000000 84.859 161.4678
262.000000 84.750 161.4808
265.000000 84.671 161.4969
269.000000 84.556 161.5457
272.000000 84.464 161.6446
276.000000 84.340 161.8193
280.000000 84.215 162.0393
285.000000 84.056 162.4156
290.000000 83.885 162.8971
