* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -30.5 dBFS, measurement signal peak level -24.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/06/2023 8:30:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0160 ms (-5.5 mm, -0.22 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Allegro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.240 -32.9117
1.015000 75.197 -33.1667
1.030000 75.157 -33.3992
1.044000 75.123 -33.5943
1.060000 75.088 -33.7894
1.075000 75.060 -33.9434
1.090000 75.038 -34.0677
1.106000 75.019 -34.1642
1.120000 75.005 -34.2110
1.138000 74.990 -34.2214
1.150000 74.982 -34.1998
1.172000 74.972 -34.1067
1.180000 74.969 -34.0574
1.206000 74.965 -33.8473
1.220000 74.967 -33.7070
1.241000 74.972 -33.4678
1.250000 74.976 -33.3566
1.265000 74.984 -33.1622
1.280000 74.995 -32.9592
1.315000 75.030 -32.4699
1.320000 75.036 -32.3999
1.340000 75.062 -32.1245
1.360000 75.093 -31.8619
1.380000 75.128 -31.6196
1.400000 75.167 -31.4050
1.430000 75.234 -31.1516
1.450000 75.284 -31.0393
1.475000 75.353 -30.9689
1.500000 75.432 -30.9265
1.525000 75.520 -30.9001
1.550000 75.617 -30.8913
1.575000 75.722 -30.9018
1.600000 75.835 -30.9331
1.625000 75.953 -30.9869
1.650000 76.077 -31.0647
1.675000 76.205 -31.1683
1.700000 76.337 -31.2992
1.725000 76.471 -31.4589
1.750000 76.607 -31.6492
1.775000 76.744 -31.8716
1.800000 76.880 -32.1278
1.825000 77.016 -32.4193
1.850000 77.152 -32.7471
1.875000 77.294 -33.1097
1.900000 77.440 -33.5058
1.925000 77.590 -33.9341
1.950000 77.744 -34.3933
1.975000 77.900 -34.8821
2.000000 78.058 -35.3994
2.030000 78.248 -36.0557
2.060000 78.437 -36.7488
2.090000 78.625 -37.4766
2.120000 78.810 -38.2367
2.140000 78.930 -38.7604
2.180000 79.164 -39.8453
2.200000 79.276 -40.4055
2.240000 79.496 -41.5896
2.270000 79.659 -42.5366
2.300000 79.819 -43.5271
2.330000 79.978 -44.5550
2.360000 80.134 -45.6143
2.400000 80.337 -47.0648
2.430000 80.486 -48.1732
2.470000 80.679 -49.6668
2.500000 80.820 -50.7910
2.540000 81.001 -52.2833
2.580000 81.174 -53.7609
2.620000 81.340 -55.2646
2.650000 81.460 -56.4120
2.690000 81.615 -57.9613
2.720000 81.727 -59.1331
2.760000 81.871 -60.7014
2.800000 82.009 -62.2686
2.850000 82.173 -64.2128
2.900000 82.329 -66.1248
2.950000 82.476 -67.9926
3.000000 82.612 -69.8481
3.040000 82.714 -71.3259
3.070000 82.786 -72.4277
3.110000 82.878 -73.8848
3.150000 82.965 -75.3247
3.200000 83.067 -77.0942
3.250000 83.163 -78.8225
3.300000 83.253 -80.5020
3.350000 83.336 -82.1459
3.400000 83.409 -83.7623
3.450000 83.476 -85.3442
3.500000 83.537 -86.8846
3.550000 83.593 -88.3765
3.600000 83.646 -89.8131
3.650000 83.698 -91.1872
3.700000 83.748 -92.4943
3.750000 83.792 -93.7392
3.820000 83.847 -95.3870
3.870000 83.883 -96.5024
3.950000 83.940 -98.1935
4.000000 83.978 -99.1994
4.060000 84.026 -100.3568
4.120000 84.074 -101.4387
4.180000 84.121 -102.4530
4.250000 84.178 -103.5678
4.310000 84.230 -104.4792
4.370000 84.286 -105.3631
4.440000 84.357 -106.3600
4.500000 84.423 -107.1574
4.550000 84.481 -107.7908
4.620000 84.565 -108.6488
4.680000 84.638 -109.3746
4.750000 84.726 -110.2327
4.820000 84.815 -111.1064
4.870000 84.882 -111.7256
4.940000 84.978 -112.5888
5.000000 85.060 -113.3283
5.080000 85.166 -114.3187
5.150000 85.254 -115.1948
5.220000 85.340 -116.0854
5.300000 85.435 -117.1121
5.380000 85.525 -118.1348
5.450000 85.598 -119.0153
5.520000 85.665 -119.8753
5.600000 85.733 -120.8543
5.700000 85.808 -122.0576
5.800000 85.874 -123.2040
5.900000 85.932 -124.2615
6.000000 85.979 -125.2455
6.080000 86.012 -125.9814
6.150000 86.039 -126.5848
6.220000 86.068 -127.1482
6.300000 86.102 -127.7326
6.400000 86.142 -128.3786
6.500000 86.185 -128.9653
6.600000 86.236 -129.5296
6.700000 86.297 -130.0499
6.800000 86.364 -130.5298
6.900000 86.437 -131.0201
7.000000 86.514 -131.5635
7.100000 86.600 -132.1309
7.200000 86.690 -132.7318
7.300000 86.776 -133.3901
7.400000 86.857 -134.1252
7.500000 86.937 -134.9275
7.620000 87.024 -135.9505
7.750000 87.097 -137.1081
7.880000 87.150 -138.3487
8.000000 87.180 -139.4995
8.120000 87.190 -140.5961
8.250000 87.176 -141.7669
8.380000 87.145 -142.8476
8.500000 87.104 -143.7060
8.620000 87.047 -144.4580
8.750000 86.982 -145.1365
8.850000 86.936 -145.5440
9.000000 86.867 -145.9659
9.120000 86.823 -146.2007
9.250000 86.797 -146.3778
9.380000 86.788 -146.4531
9.500000 86.796 -146.5276
9.620000 86.824 -146.6462
9.750000 86.873 -146.7908
9.880000 86.933 -147.0240
10.000000 86.995 -147.3502
10.150000 87.083 -147.8752
10.300000 87.164 -148.5262
10.440000 87.235 -149.2658
10.600000 87.304 -150.1979
10.750000 87.352 -151.1185
10.900000 87.386 -152.0839
11.060000 87.408 -153.0756
11.200000 87.415 -153.9214
11.380000 87.416 -154.9426
11.500000 87.413 -155.5680
11.720000 87.404 -156.6297
11.800000 87.403 -156.9900
12.060000 87.401 -158.0823
12.200000 87.405 -158.6556
12.410000 87.415 -159.4971
12.500000 87.418 -159.8623
12.650000 87.425 -160.4773
12.800000 87.429 -161.0880
13.150000 87.422 -162.4783
13.200000 87.418 -162.6621
13.400000 87.399 -163.3630
13.600000 87.376 -163.9689
13.800000 87.349 -164.4626
14.000000 87.327 -164.8474
14.300000 87.309 -165.2366
14.500000 87.315 -165.4088
14.750000 87.342 -165.6041
15.000000 87.391 -165.8212
15.250000 87.455 -166.1388
15.500000 87.524 -166.5833
15.750000 87.590 -167.1624
16.000000 87.641 -167.8634
16.250000 87.670 -168.6241
16.500000 87.677 -169.3974
16.750000 87.659 -170.1127
17.000000 87.627 -170.7081
17.250000 87.588 -171.1731
17.500000 87.554 -171.5005
17.750000 87.535 -171.7590
18.000000 87.531 -172.0070
18.250000 87.544 -172.3100
18.500000 87.561 -172.7265
18.750000 87.574 -173.2404
19.000000 87.574 -173.8355
19.250000 87.558 -174.4272
19.500000 87.530 -174.9626
19.750000 87.496 -175.4037
20.000000 87.468 -175.7401
20.299999 87.452 -176.0782
20.600000 87.456 -176.4272
20.900000 87.475 -176.8681
21.200001 87.492 -177.4251
21.400000 87.497 -177.8243
21.799999 87.490 -178.5904
22.000000 87.482 -178.9194
22.400000 87.477 -179.4541
22.700001 87.489 -179.8265
23.000000 87.512 179.7257
23.299999 87.531 179.1732
23.600000 87.533 178.5675
24.000000 87.505 177.8311
24.299999 87.472 177.4433
24.700001 87.443 177.1501
25.000000 87.448 176.9773
25.400000 87.484 176.5929
25.799999 87.519 175.9004
26.200001 87.517 174.9952
26.500000 87.483 174.3215
26.900000 87.407 173.5872
27.200001 87.343 173.2095
27.600000 87.267 172.9224
28.000000 87.223 172.8017
28.500000 87.234 172.6674
29.000000 87.315 172.1451
29.500000 87.397 170.9036
30.000000 87.375 169.1949
30.400000 87.259 168.0897
30.700001 87.144 167.7090
31.100000 87.033 167.8283
31.500000 87.034 168.2487
32.000000 87.176 168.2360
32.500000 87.318 167.1485
33.000000 87.328 165.6223
33.500000 87.226 164.5540
34.000000 87.118 164.1509
34.500000 87.052 163.9928
35.000000 86.997 163.8719
35.500000 86.944 163.9857
36.000000 86.953 164.3218
36.500000 87.047 164.3527
37.000000 87.148 163.6052
37.500000 87.156 162.3140
38.200001 86.999 160.8766
38.700001 86.869 160.4891
39.500000 86.747 160.1530
40.000000 86.687 159.8901
40.599998 86.621 159.7577
41.200001 86.612 159.7963
41.799999 86.663 159.6080
42.500000 86.719 158.9131
43.099998 86.725 158.2142
43.700001 86.710 157.6722
44.400002 86.705 157.1924
45.000000 86.721 156.6812
45.500000 86.725 156.0726
46.200001 86.681 155.1117
46.799999 86.611 154.4915
47.500000 86.562 153.9241
48.200001 86.535 152.9838
48.700001 86.470 152.1238
49.400002 86.301 151.3613
50.000000 86.182 151.4105
50.799999 86.173 151.6439
51.500000 86.218 151.3138
52.200001 86.227 150.8122
53.000000 86.230 150.4034
53.799999 86.239 149.8887
54.500000 86.211 149.3890
55.200001 86.164 149.0732
56.000000 86.132 148.7557
57.000000 86.081 148.0117
58.000000 85.976 147.3222
59.000000 85.901 146.8554
60.000000 85.861 146.1573
60.799999 85.815 145.5620
61.500000 85.777 145.1602
62.200001 85.754 144.8253
63.000000 85.744 144.4036
64.000000 85.724 143.7354
65.000000 85.668 143.1163
66.000000 85.609 142.6704
67.000000 85.563 142.1747
68.000000 85.510 141.5831
69.000000 85.443 140.9693
70.000000 85.366 140.4591
71.000000 85.309 140.0654
72.000000 85.273 139.5836
73.000000 85.228 139.0122
74.000000 85.173 138.5033
75.000000 85.123 138.0821
76.199997 85.078 137.6137
77.500000 85.033 137.0470
78.800003 84.975 136.5139
80.000000 84.920 136.0318
81.199997 84.850 135.5598
82.500000 84.780 135.1486
83.800003 84.727 134.6832
85.000000 84.684 134.1786
86.199997 84.637 133.5925
87.500000 84.563 132.9948
88.500000 84.506 132.6450
90.000000 84.439 132.0770
91.199997 84.380 131.5510
92.500000 84.320 131.0757
93.800003 84.278 130.6100
95.000000 84.233 130.2077
96.199997 84.186 129.9058
97.500000 84.129 129.5911
98.800003 84.060 129.3599
100.000000 84.022 129.0903
101.500000 83.970 128.3656
103.000000 83.899 127.6202
104.400002 83.848 126.9612
106.000000 83.788 126.2153
107.500000 83.719 125.6879
109.000000 83.659 125.3021
110.599998 83.604 124.8572
112.000000 83.554 124.4423
113.800003 83.492 123.8968
115.000000 83.448 123.5143
117.199997 83.362 122.8877
118.000000 83.335 122.6732
120.599998 83.252 121.9500
122.000000 83.201 121.5780
124.099998 83.117 121.0722
125.000000 83.081 120.8557
126.500000 83.023 120.4299
128.000000 82.962 119.9766
131.500000 82.844 119.0078
132.000000 82.827 118.8759
134.000000 82.755 118.4182
136.000000 82.698 117.9809
138.000000 82.643 117.4853
140.000000 82.585 117.0435
143.000000 82.483 116.3170
145.000000 82.423 115.6815
147.500000 82.401 114.7111
150.000000 82.354 113.6331
152.500000 82.227 113.4386
155.000000 82.126 113.3432
157.500000 82.038 112.8916
160.000000 81.969 112.2921
162.500000 81.911 111.8468
165.000000 81.854 111.4221
167.500000 81.795 110.9102
170.000000 81.728 110.3553
172.500000 81.656 109.9196
175.000000 81.597 109.4792
177.500000 81.535 108.9520
180.000000 81.465 108.5246
182.500000 81.402 108.0864
185.000000 81.338 107.5244
187.500000 81.280 107.0429
190.000000 81.239 106.7178
192.500000 81.203 106.4096
195.000000 81.169 106.1341
197.500000 81.146 106.0880
200.000000 81.128 105.9535
203.000000 81.016 105.1404
206.000000 80.889 104.2965
209.000000 80.843 103.8027
212.000000 80.814 103.4755
214.000000 80.784 103.1492
218.000000 80.734 102.3710
220.000000 80.708 101.9753
224.000000 80.619 101.1412
227.000000 80.550 100.5400
230.000000 80.476 100.0467
233.000000 80.408 99.6700
236.000000 80.371 99.2825
240.000000 80.346 98.8611
243.000000 80.318 98.7746
247.000000 80.236 98.6982
250.000000 80.160 98.6880
254.000000 80.065 98.5298
258.000000 79.966 98.1916
262.000000 79.882 97.2760
265.000000 79.899 96.5653
269.000000 79.988 96.2055
272.000000 79.977 96.4388
276.000000 79.865 95.9645
280.000000 79.831 95.2711
285.000000 79.883 94.6148
290.000000 79.706 93.7386
