* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.4 dBFS, measurement signal peak level -21.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/07/2023 4:55:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0785 ms (-27 mm, -1.06 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Alpha3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.697 -119.6773
1.015000 53.742 -121.2114
1.030000 53.783 -122.7068
1.044000 53.818 -124.0637
1.060000 53.853 -125.5632
1.075000 53.882 -126.9146
1.090000 53.906 -128.2085
1.106000 53.926 -129.5201
1.120000 53.940 -130.6107
1.138000 53.953 -131.9404
1.150000 53.959 -132.7852
1.172000 53.964 -134.2563
1.180000 53.964 -134.7685
1.206000 53.958 -136.3608
1.220000 53.950 -137.1783
1.241000 53.935 -138.3624
1.250000 53.926 -138.8570
1.265000 53.910 -139.6679
1.280000 53.891 -140.4658
1.315000 53.837 -142.3030
1.320000 53.828 -142.5652
1.340000 53.791 -143.6195
1.360000 53.750 -144.6914
1.380000 53.705 -145.7915
1.400000 53.658 -146.9308
1.430000 53.581 -148.7366
1.450000 53.527 -150.0208
1.475000 53.456 -151.7276
1.500000 53.382 -153.4896
1.525000 53.303 -155.2893
1.550000 53.220 -157.1243
1.575000 53.131 -158.9923
1.600000 53.037 -160.8912
1.625000 52.938 -162.8185
1.650000 52.831 -164.7721
1.675000 52.719 -166.7496
1.700000 52.599 -168.7488
1.725000 52.471 -170.7674
1.750000 52.336 -172.8031
1.775000 52.192 -174.8537
1.800000 52.040 -176.9168
1.825000 51.878 -178.9903
1.850000 51.706 178.9463
1.875000 51.519 176.9285
1.900000 51.319 174.9423
1.925000 51.108 172.9716
1.950000 50.888 171.0005
1.975000 50.660 169.0127
2.000000 50.425 166.9923
2.030000 50.138 164.5022
2.060000 49.847 161.9142
2.090000 49.555 159.2006
2.120000 49.265 156.3336
2.140000 49.075 154.3234
2.180000 48.703 150.0286
2.200000 48.523 147.7274
2.240000 48.138 142.7824
2.270000 47.823 138.8027
2.300000 47.495 134.6279
2.330000 47.162 130.2919
2.360000 46.832 125.8281
2.400000 46.413 119.7358
2.430000 46.124 115.1047
2.470000 45.790 108.9114
2.500000 45.587 104.2961
2.540000 45.399 98.2457
2.580000 45.319 92.3391
2.620000 45.338 86.2502
2.650000 45.408 81.5627
2.690000 45.565 75.2348
2.720000 45.722 70.4874
2.760000 45.976 64.2391
2.800000 46.265 58.1793
2.850000 46.659 51.0280
2.900000 47.062 44.5368
2.950000 47.459 38.8814
3.000000 47.903 33.9221
3.040000 48.295 30.3705
3.070000 48.605 27.9221
3.110000 49.031 24.9112
3.150000 49.467 22.1519
3.200000 50.009 18.9933
3.250000 50.535 16.0814
3.300000 51.026 13.3364
3.350000 51.494 10.9237
3.400000 51.954 8.9318
3.450000 52.404 7.2640
3.500000 52.847 5.8237
3.550000 53.281 4.5140
3.600000 53.708 3.2385
3.650000 54.127 1.9004
3.700000 54.539 0.4925
3.750000 54.944 -0.8308
3.820000 55.497 -2.5721
3.870000 55.883 -3.7683
3.950000 56.484 -5.6652
4.000000 56.848 -6.8768
4.060000 57.274 -8.3826
4.120000 57.690 -9.8955
4.180000 58.095 -11.4115
4.250000 58.551 -13.1918
4.310000 58.926 -14.7343
4.370000 59.285 -16.2982
4.440000 59.682 -18.1583
4.500000 60.006 -19.7841
4.550000 60.265 -21.1549
4.620000 60.609 -23.0878
4.680000 60.886 -24.7477
4.750000 61.191 -26.6753
4.820000 61.473 -28.6058
4.870000 61.660 -30.0018
4.940000 61.903 -31.9580
5.000000 62.096 -33.6162
5.080000 62.333 -35.7664
5.150000 62.523 -37.5632
5.220000 62.691 -39.3118
5.300000 62.859 -41.2527
5.380000 63.008 -43.1113
5.450000 63.128 -44.6527
5.520000 63.241 -46.1011
5.600000 63.353 -47.6514
5.700000 63.472 -49.4450
5.800000 63.584 -51.0892
5.900000 63.704 -52.5850
6.000000 63.821 -53.8805
6.080000 63.915 -54.8210
6.150000 64.002 -55.6183
6.220000 64.097 -56.4282
6.300000 64.217 -57.3424
6.400000 64.381 -58.4250
6.500000 64.552 -59.5446
6.600000 64.724 -60.8126
6.700000 64.903 -62.2241
6.800000 65.088 -63.7466
6.900000 65.259 -65.4097
7.000000 65.401 -67.2457
7.100000 65.530 -69.2778
7.200000 65.635 -71.4467
7.300000 65.699 -73.6813
7.400000 65.714 -75.9820
7.500000 65.693 -78.4077
7.620000 65.603 -81.2846
7.750000 65.407 -84.1779
7.880000 65.111 -87.0786
8.000000 64.758 -89.2441
8.120000 64.320 -90.4490
8.250000 63.717 -90.9717
8.380000 63.108 -90.2759
8.500000 62.603 -88.0390
8.620000 62.083 -84.2849
8.750000 61.724 -79.5058
8.850000 61.737 -75.7428
9.000000 62.154 -69.2474
9.120000 62.685 -64.6916
9.250000 63.399 -61.5162
9.380000 64.303 -59.6066
9.500000 65.114 -58.9977
9.620000 65.802 -59.7071
9.750000 66.485 -61.8569
9.880000 67.058 -64.6277
10.000000 67.467 -67.5265
10.150000 67.838 -71.7678
10.300000 68.054 -75.9613
10.440000 68.111 -79.9402
10.600000 68.020 -84.1039
10.750000 67.780 -87.3553
10.900000 67.405 -89.9289
11.060000 66.922 -90.9874
11.200000 66.390 -90.5265
11.380000 65.837 -88.2059
11.500000 65.579 -85.2515
11.720000 65.455 -78.7262
11.800000 65.609 -76.4523
12.060000 66.616 -69.5155
12.200000 67.273 -67.5850
12.410000 68.367 -66.7048
12.500000 68.769 -67.0039
12.650000 69.378 -68.5789
12.800000 69.891 -70.8055
13.150000 70.625 -77.0601
13.200000 70.686 -77.9219
13.400000 70.811 -81.2979
13.600000 70.809 -84.0609
13.800000 70.693 -86.0074
14.000000 70.551 -87.0420
14.300000 70.352 -86.9775
14.500000 70.317 -86.1797
14.750000 70.387 -85.0260
15.000000 70.573 -84.0272
15.250000 70.787 -83.6052
15.500000 70.970 -83.5254
15.750000 71.102 -83.6174
16.000000 71.181 -83.4850
16.250000 71.261 -83.0457
16.500000 71.364 -82.3794
16.750000 71.524 -81.7194
17.000000 71.706 -81.4268
17.250000 71.874 -81.5457
17.500000 71.975 -82.1072
17.750000 71.970 -82.6278
18.000000 71.877 -82.7322
18.250000 71.720 -81.9931
18.500000 71.625 -80.2222
18.750000 71.672 -77.8514
19.000000 71.932 -75.2979
19.250000 72.378 -73.5976
19.500000 72.900 -73.0937
19.750000 73.414 -74.0201
20.000000 73.805 -76.1362
20.299999 74.080 -79.5018
20.600000 74.132 -82.9821
20.900000 74.004 -85.8163
21.200001 73.782 -87.5160
21.400000 73.647 -88.0284
21.799999 73.492 -88.0759
22.000000 73.495 -87.9310
22.400000 73.629 -87.9567
22.700001 73.775 -88.4067
23.000000 73.912 -89.0885
23.299999 74.041 -89.8093
23.600000 74.176 -90.5295
24.000000 74.365 -91.5826
24.299999 74.491 -92.5275
24.700001 74.595 -93.8619
25.000000 74.611 -94.6127
25.400000 74.590 -94.8622
25.799999 74.621 -94.2199
26.200001 74.772 -93.2599
26.500000 74.941 -92.7474
26.900000 75.166 -92.4989
27.200001 75.300 -92.4381
27.600000 75.445 -92.1375
28.000000 75.630 -91.5001
28.500000 75.979 -90.9841
29.000000 76.340 -91.7557
29.500000 76.523 -93.5517
30.000000 76.488 -95.0022
30.400000 76.396 -95.2523
30.700001 76.354 -94.9442
31.100000 76.383 -94.2756
31.500000 76.497 -93.7306
32.000000 76.691 -93.5504
32.500000 76.872 -93.8441
33.000000 77.007 -94.2852
33.500000 77.112 -94.5238
34.000000 77.252 -94.4524
34.500000 77.479 -94.6022
35.000000 77.716 -95.7485
35.500000 77.773 -97.8289
36.000000 77.543 -99.3257
36.500000 77.173 -98.4712
37.000000 77.063 -95.3678
37.500000 77.434 -92.4314
38.200001 78.204 -92.5963
38.700001 78.478 -95.1509
39.500000 78.397 -98.2573
40.000000 78.305 -98.4896
40.599998 78.366 -97.9904
41.200001 78.577 -97.7738
41.799999 78.835 -98.0608
42.500000 79.133 -98.9335
43.099998 79.327 -100.1188
43.700001 79.401 -101.2936
44.400002 79.377 -101.7172
45.000000 79.418 -101.1232
45.500000 79.561 -100.6947
46.200001 79.787 -101.1700
46.799999 79.850 -102.0448
47.500000 79.887 -102.2147
48.200001 80.121 -102.3696
48.700001 80.322 -103.5403
49.400002 80.379 -106.0316
50.000000 80.254 -106.9869
50.799999 80.287 -106.1652
51.500000 80.581 -105.9227
52.200001 80.812 -106.7069
53.000000 80.934 -107.0727
53.799999 81.099 -106.6365
54.500000 81.277 -106.4015
55.200001 81.423 -106.4067
56.000000 81.539 -106.5673
57.000000 81.628 -106.7598
58.000000 81.767 -107.0818
59.000000 81.907 -108.2742
60.000000 81.951 -109.3436
60.799999 82.030 -109.5109
61.500000 82.184 -109.4938
62.200001 82.386 -109.6553
63.000000 82.603 -110.1635
64.000000 82.762 -110.7966
65.000000 82.863 -110.6910
66.000000 83.022 -110.3571
67.000000 83.196 -110.4333
68.000000 83.368 -110.8680
69.000000 83.519 -111.7720
70.000000 83.619 -112.7132
71.000000 83.735 -113.4679
72.000000 83.836 -114.3126
73.000000 83.893 -114.7571
74.000000 83.996 -114.7798
75.000000 84.134 -114.9779
76.199997 84.280 -115.4188
77.500000 84.433 -115.9810
78.800003 84.597 -116.7255
80.000000 84.733 -117.6091
81.199997 84.844 -118.4200
82.500000 84.954 -119.1766
83.800003 85.057 -119.8026
85.000000 85.157 -120.3629
86.199997 85.253 -120.9387
87.500000 85.364 -121.5440
88.500000 85.453 -122.0485
90.000000 85.580 -122.8173
91.199997 85.679 -123.4388
92.500000 85.779 -124.1329
93.800003 85.878 -124.8504
95.000000 85.969 -125.5276
96.199997 86.062 -126.1796
97.500000 86.166 -126.7997
98.800003 86.286 -127.3972
100.000000 86.387 -128.0953
101.500000 86.465 -128.9501
103.000000 86.536 -129.6956
104.400002 86.608 -130.4226
106.000000 86.700 -131.2988
107.500000 86.792 -132.1547
109.000000 86.881 -133.0182
110.599998 86.960 -133.9536
112.000000 87.015 -134.7080
113.800003 87.097 -135.5735
115.000000 87.161 -136.1863
117.199997 87.276 -137.4236
118.000000 87.311 -137.8900
120.599998 87.405 -139.3130
122.000000 87.460 -140.0694
124.099998 87.534 -141.2527
125.000000 87.560 -141.7420
126.500000 87.601 -142.5340
128.000000 87.636 -143.3140
131.500000 87.730 -145.1678
132.000000 87.745 -145.4590
134.000000 87.792 -146.6334
136.000000 87.816 -147.7245
138.000000 87.828 -148.6573
140.000000 87.844 -149.5405
143.000000 87.859 -150.7796
145.000000 87.849 -151.6266
147.500000 87.798 -152.8044
150.000000 87.740 -153.7870
152.500000 87.769 -154.6655
155.000000 87.797 -155.6500
157.500000 87.785 -156.5800
160.000000 87.750 -157.5323
162.500000 87.714 -158.4937
165.000000 87.686 -159.4081
167.500000 87.660 -160.3027
170.000000 87.631 -161.1498
172.500000 87.600 -161.9451
175.000000 87.562 -162.7057
177.500000 87.517 -163.4343
180.000000 87.473 -164.1254
182.500000 87.433 -164.7894
185.000000 87.393 -165.4353
187.500000 87.344 -166.0692
190.000000 87.283 -166.6401
192.500000 87.225 -167.1221
195.000000 87.184 -167.5937
197.500000 87.152 -168.1032
200.000000 87.113 -168.6785
203.000000 87.030 -169.3734
206.000000 86.939 -169.9406
209.000000 86.873 -170.4146
212.000000 86.821 -170.8469
214.000000 86.779 -171.1487
218.000000 86.679 -171.7330
220.000000 86.633 -172.0062
224.000000 86.543 -172.4800
227.000000 86.471 -172.7733
230.000000 86.398 -173.0294
233.000000 86.327 -173.2435
236.000000 86.244 -173.4141
240.000000 86.127 -173.5952
243.000000 86.060 -173.8045
247.000000 85.982 -174.1951
250.000000 85.912 -174.4507
254.000000 85.809 -174.5620
258.000000 85.707 -174.5684
