* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -48.2 dBFS, measurement signal peak level -20.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/07/2023 4:56:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.5992 ms (-206 mm, -8.09 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Alpha3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 30.899 94.1685
1.015000 30.291 90.4041
1.030000 29.741 86.5360
1.044000 29.288 82.8338
1.060000 28.850 78.4957
1.075000 28.523 74.3267
1.090000 28.285 70.0608
1.106000 28.136 65.3763
1.120000 28.085 61.0072
1.138000 28.118 55.0085
1.150000 28.197 50.7934
1.172000 28.450 42.6721
1.180000 28.574 39.6069
1.206000 29.081 29.3027
1.220000 29.412 23.5754
1.241000 29.974 14.8133
1.250000 30.235 11.0120
1.265000 30.693 4.6381
1.280000 31.175 -1.7590
1.315000 32.359 -16.6148
1.320000 32.532 -18.7134
1.340000 33.225 -27.0061
1.360000 33.911 -35.0850
1.380000 34.577 -42.8823
1.400000 35.208 -50.3299
1.430000 36.062 -60.6969
1.450000 36.551 -66.9728
1.475000 37.059 -74.0264
1.500000 37.533 -80.5125
1.525000 37.995 -86.5439
1.550000 38.444 -92.1511
1.575000 38.879 -97.3647
1.600000 39.300 -102.2151
1.625000 39.707 -106.7328
1.650000 40.097 -110.9484
1.675000 40.471 -114.8924
1.700000 40.827 -118.5952
1.725000 41.166 -122.0873
1.750000 41.486 -125.3993
1.775000 41.786 -128.5617
1.800000 42.066 -131.6049
1.825000 42.326 -134.5594
1.850000 42.562 -137.3093
1.875000 42.774 -139.5598
1.900000 42.962 -141.3719
1.925000 43.128 -142.8220
1.950000 43.275 -143.9864
1.975000 43.403 -144.9416
2.000000 43.514 -145.7640
2.030000 43.627 -146.6830
2.060000 43.721 -147.6527
2.090000 43.800 -148.8052
2.120000 43.865 -150.2723
2.140000 43.902 -151.4904
2.180000 43.966 -154.6787
2.200000 43.995 -156.7257
2.240000 44.006 -161.5016
2.270000 43.972 -165.5351
2.300000 43.909 -169.9004
2.330000 43.826 -174.5474
2.360000 43.732 -179.4262
2.400000 43.602 173.7944
2.430000 43.512 168.5689
2.470000 43.417 161.5084
2.500000 43.375 156.2080
2.540000 43.374 149.2290
2.580000 43.448 142.4062
2.620000 43.563 135.3852
2.650000 43.670 129.9708
2.690000 43.840 122.6205
2.720000 43.989 117.0552
2.760000 44.217 109.6318
2.800000 44.480 102.2816
2.850000 44.858 93.3242
2.900000 45.292 84.7752
2.950000 45.790 76.7564
3.000000 46.391 69.0155
3.040000 46.937 62.9886
3.070000 47.373 58.5771
3.110000 47.978 52.8551
3.150000 48.596 47.3327
3.200000 49.361 40.7388
3.250000 50.090 34.5219
3.300000 50.753 28.7183
3.350000 51.371 23.3947
3.400000 51.971 18.5303
3.450000 52.553 14.0508
3.500000 53.114 9.8818
3.550000 53.651 5.9487
3.600000 54.162 2.1772
3.650000 54.646 -1.5070
3.700000 55.101 -5.0875
3.750000 55.528 -8.4117
3.820000 56.081 -12.7203
3.870000 56.447 -15.6230
3.950000 56.989 -20.1112
4.000000 57.302 -22.9011
4.060000 57.654 -26.3031
4.120000 57.974 -29.7020
4.180000 58.263 -33.0511
4.250000 58.565 -36.8468
4.310000 58.795 -39.9630
4.370000 59.000 -42.9139
4.440000 59.211 -46.1114
4.500000 59.362 -48.6630
4.550000 59.468 -50.6747
4.620000 59.589 -53.3430
4.680000 59.666 -55.5177
4.750000 59.729 -57.9561
4.820000 59.760 -60.3436
4.870000 59.761 -62.0232
4.940000 59.735 -64.2703
5.000000 59.690 -66.0381
5.080000 59.603 -68.0653
5.150000 59.504 -69.4464
5.220000 59.367 -70.5516
5.300000 59.174 -71.4832
5.380000 58.965 -72.0004
5.450000 58.786 -72.0634
5.520000 58.624 -71.7134
5.600000 58.413 -70.7527
5.700000 58.149 -68.8699
5.800000 57.963 -66.4722
5.900000 57.930 -63.7364
6.000000 58.026 -60.2874
6.080000 58.180 -57.2792
6.150000 58.367 -54.7307
6.220000 58.601 -52.4781
6.300000 58.945 -50.2319
6.400000 59.494 -47.6417
6.500000 60.098 -45.4788
6.600000 60.679 -43.9444
6.700000 61.245 -43.1655
6.800000 61.816 -42.9850
6.900000 62.359 -43.1803
7.000000 62.844 -43.5729
7.100000 63.284 -44.3270
7.200000 63.683 -45.3397
7.300000 64.041 -46.4254
7.400000 64.356 -47.5056
7.500000 64.625 -48.6923
7.620000 64.901 -50.1249
7.750000 65.156 -51.5234
7.880000 65.353 -52.8234
8.000000 65.502 -53.9042
8.120000 65.634 -54.8156
8.250000 65.748 -55.6227
8.380000 65.847 -56.2855
8.500000 65.939 -56.7844
8.620000 66.025 -57.1522
8.750000 66.117 -57.4872
8.850000 66.190 -57.7440
9.000000 66.303 -58.0787
9.120000 66.391 -58.3556
9.250000 66.480 -58.7120
9.380000 66.566 -59.1042
9.500000 66.636 -59.4891
9.620000 66.694 -59.8999
9.750000 66.745 -60.3734
9.880000 66.785 -60.8399
10.000000 66.810 -61.2507
10.150000 66.829 -61.7502
10.300000 66.842 -62.2220
10.440000 66.848 -62.6225
10.600000 66.850 -63.0880
10.750000 66.854 -63.5625
10.900000 66.855 -64.0714
11.060000 66.846 -64.7131
11.200000 66.831 -65.3629
11.380000 66.787 -66.2484
11.500000 66.737 -66.8970
11.720000 66.606 -68.0021
11.800000 66.542 -68.3251
12.060000 66.295 -69.0505
12.200000 66.158 -69.0073
12.410000 65.968 -68.4312
12.500000 65.925 -68.0029
12.650000 65.890 -66.9713
12.800000 65.933 -65.8624
13.150000 66.422 -63.6185
13.200000 66.522 -63.4675
13.400000 67.014 -63.3202
13.600000 67.545 -64.0884
13.800000 68.082 -65.9069
14.000000 68.560 -68.4728
14.300000 69.135 -73.4906
14.500000 69.396 -77.2161
14.750000 69.588 -81.8668
15.000000 69.631 -86.2567
15.250000 69.542 -89.9792
15.500000 69.351 -92.7384
15.750000 69.088 -94.3367
16.000000 68.805 -94.5139
16.250000 68.596 -93.3185
16.500000 68.522 -90.9711
16.750000 68.673 -87.8851
17.000000 69.054 -84.9441
17.250000 69.613 -82.5956
17.500000 70.274 -81.3802
17.750000 70.912 -81.4009
18.000000 71.476 -82.4850
18.250000 71.915 -84.4240
18.500000 72.200 -86.7478
18.750000 72.333 -89.1569
19.000000 72.315 -91.3638
19.250000 72.169 -92.9885
19.500000 71.927 -93.8306
19.750000 71.622 -93.7335
20.000000 71.321 -92.5848
20.299999 71.060 -90.0846
20.600000 70.990 -86.8676
20.900000 71.158 -83.7007
21.200001 71.520 -81.4384
21.400000 71.797 -80.7234
21.799999 72.307 -81.0989
22.000000 72.484 -81.9600
22.400000 72.620 -84.1169
22.700001 72.567 -85.2294
23.000000 72.484 -85.2831
23.299999 72.524 -84.4393
23.600000 72.774 -83.4173
24.000000 73.400 -83.2552
24.299999 73.922 -84.8789
24.700001 74.437 -89.3255
25.000000 74.573 -93.5251
25.400000 74.377 -98.6285
25.799999 73.841 -101.2189
26.200001 73.234 -100.1792
26.500000 72.970 -97.4197
26.900000 73.071 -92.6937
27.200001 73.444 -89.6757
27.600000 74.119 -87.3965
28.000000 74.758 -87.1213
28.500000 75.326 -88.5868
29.000000 75.573 -90.6621
29.500000 75.529 -92.0096
30.000000 75.360 -91.6445
30.400000 75.304 -90.3300
30.700001 75.357 -89.2682
31.100000 75.507 -88.4932
31.500000 75.625 -88.6575
32.000000 75.586 -89.3165
32.500000 75.403 -88.8972
33.000000 75.367 -87.0789
33.500000 75.649 -85.4715
34.000000 76.064 -85.7117
34.500000 76.337 -87.4111
35.000000 76.442 -88.9399
35.500000 76.584 -89.5319
36.000000 76.895 -90.2798
36.500000 77.214 -92.5131
37.000000 77.260 -95.7663
37.500000 76.953 -97.8326
38.200001 76.433 -95.8998
38.700001 76.469 -92.7791
39.500000 76.910 -90.5670
40.000000 77.037 -90.1446
40.599998 77.178 -88.6494
41.200001 77.561 -87.3260
41.799999 77.960 -88.0551
42.500000 78.087 -90.0711
43.099998 78.063 -90.5619
43.700001 78.173 -90.5632
44.400002 78.361 -91.4286
45.000000 78.414 -92.3125
45.500000 78.453 -92.4460
46.200001 78.632 -92.2889
46.799999 78.842 -92.6295
47.500000 79.041 -93.3792
48.200001 79.203 -94.3237
48.700001 79.258 -95.2792
49.400002 79.145 -96.3994
50.000000 78.931 -95.9939
50.799999 78.848 -93.4353
51.500000 79.120 -91.4736
52.200001 79.489 -91.2603
53.000000 79.765 -92.4650
53.799999 79.881 -93.6665
54.500000 79.954 -94.2184
55.200001 80.056 -94.4468
56.000000 80.215 -94.5563
57.000000 80.440 -94.7362
58.000000 80.616 -94.7665
59.000000 80.816 -94.1887
60.000000 81.110 -94.1490
60.799999 81.252 -95.0590
61.500000 81.243 -95.8165
62.200001 81.191 -95.9541
63.000000 81.208 -95.6908
64.000000 81.335 -95.7002
65.000000 81.513 -96.0333
66.000000 81.737 -96.7102
67.000000 81.929 -97.5312
68.000000 82.120 -97.9296
69.000000 82.345 -98.2621
70.000000 82.525 -98.8879
71.000000 82.588 -99.3969
72.000000 82.614 -99.2733
73.000000 82.697 -99.0860
74.000000 82.783 -99.3481
75.000000 82.832 -99.7283
76.199997 82.908 -99.9200
77.500000 83.078 -100.1375
78.800003 83.261 -100.5838
80.000000 83.424 -100.9003
81.199997 83.580 -101.2639
82.500000 83.710 -101.7018
83.800003 83.830 -102.0936
85.000000 83.938 -102.5844
86.199997 84.037 -103.0583
87.500000 84.164 -103.5051
88.500000 84.270 -103.8739
90.000000 84.420 -104.4359
91.199997 84.529 -104.8526
92.500000 84.640 -105.3026
93.800003 84.746 -105.7714
95.000000 84.846 -106.2147
96.199997 84.950 -106.6605
97.500000 85.071 -107.1104
98.800003 85.194 -107.6091
100.000000 85.281 -108.1027
101.500000 85.361 -108.5267
103.000000 85.450 -108.9147
104.400002 85.531 -109.3904
106.000000 85.625 -109.9962
107.500000 85.719 -110.5798
109.000000 85.811 -111.1150
110.599998 85.908 -111.6144
112.000000 85.988 -112.0694
113.800003 86.076 -112.7596
115.000000 86.123 -113.2462
117.199997 86.210 -114.1069
118.000000 86.243 -114.4154
120.599998 86.342 -115.4256
122.000000 86.389 -115.9908
124.099998 86.449 -116.8152
125.000000 86.476 -117.1346
126.500000 86.522 -117.6259
128.000000 86.566 -118.0681
131.500000 86.643 -119.0946
132.000000 86.652 -119.2534
134.000000 86.693 -119.9507
136.000000 86.729 -120.6843
138.000000 86.756 -121.3403
140.000000 86.781 -121.9307
143.000000 86.806 -122.8027
145.000000 86.802 -123.2589
147.500000 86.759 -123.6685
150.000000 86.731 -123.9730
152.500000 86.757 -124.8154
155.000000 86.763 -125.7452
157.500000 86.758 -126.3668
160.000000 86.738 -126.8308
162.500000 86.710 -127.2964
165.000000 86.677 -127.7736
167.500000 86.636 -128.1966
170.000000 86.593 -128.5342
172.500000 86.552 -128.8120
175.000000 86.511 -129.0850
177.500000 86.470 -129.3693
180.000000 86.428 -129.6271
182.500000 86.382 -129.8344
185.000000 86.329 -130.0656
187.500000 86.269 -130.2687
190.000000 86.217 -130.3572
192.500000 86.172 -130.3795
195.000000 86.118 -130.4014
197.500000 86.059 -130.3939
200.000000 86.000 -130.4120
203.000000 85.911 -130.3881
206.000000 85.816 -130.3519
209.000000 85.722 -130.2560
212.000000 85.642 -130.0729
214.000000 85.596 -129.9420
218.000000 85.513 -129.6526
220.000000 85.469 -129.4691
224.000000 85.372 -129.0964
227.000000 85.303 -128.8147
230.000000 85.235 -128.5316
233.000000 85.153 -128.1722
236.000000 85.071 -127.6789
240.000000 84.995 -127.0233
243.000000 84.939 -126.7322
247.000000 84.822 -126.4020
250.000000 84.733 -125.9620
254.000000 84.656 -125.2405
