* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.3 dBFS, measurement signal peak level -27.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:38:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0352 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Annihilator 2023 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.525 110.5774
1.015000 44.703 109.3845
1.030000 44.880 108.2208
1.044000 45.045 107.1645
1.060000 45.232 105.9968
1.075000 45.405 104.9446
1.090000 45.577 103.9375
1.106000 45.758 102.9157
1.120000 45.917 102.0581
1.138000 46.121 100.9998
1.150000 46.258 100.3201
1.172000 46.509 99.1232
1.180000 46.601 98.7026
1.206000 46.899 97.3837
1.220000 47.060 96.7008
1.241000 47.301 95.7071
1.250000 47.404 95.2911
1.265000 47.576 94.6090
1.280000 47.749 93.9389
1.315000 48.149 92.4090
1.320000 48.207 92.1930
1.340000 48.435 91.3318
1.360000 48.662 90.4710
1.380000 48.888 89.6050
1.400000 49.113 88.7282
1.430000 49.448 87.3805
1.450000 49.670 86.4523
1.475000 49.944 85.2514
1.500000 50.218 84.0253
1.525000 50.491 82.7834
1.550000 50.763 81.5301
1.575000 51.034 80.2697
1.600000 51.304 79.0068
1.625000 51.572 77.7455
1.650000 51.839 76.4902
1.675000 52.104 75.2454
1.700000 52.367 74.0154
1.725000 52.627 72.8046
1.750000 52.886 71.6172
1.775000 53.142 70.4578
1.800000 53.395 69.3306
1.825000 53.645 68.2401
1.850000 53.893 67.1881
1.875000 54.138 66.1694
1.900000 54.381 65.1809
1.925000 54.622 64.2196
1.950000 54.860 63.2823
1.975000 55.097 62.3662
2.000000 55.331 61.4682
2.030000 55.608 60.4102
2.060000 55.883 59.3687
2.090000 56.155 58.3384
2.120000 56.424 57.3143
2.140000 56.601 56.6323
2.180000 56.952 55.2633
2.200000 57.126 54.5733
2.240000 57.468 53.1974
2.270000 57.721 52.1748
2.300000 57.971 51.1606
2.330000 58.218 50.1549
2.360000 58.462 49.1579
2.400000 58.782 47.8425
2.430000 59.019 46.8666
2.470000 59.331 45.5801
2.500000 59.562 44.6265
2.540000 59.866 43.3704
2.580000 60.165 42.1322
2.620000 60.460 40.9111
2.650000 60.677 40.0063
2.690000 60.963 38.8148
2.720000 61.174 37.9321
2.760000 61.451 36.7700
2.800000 61.724 35.6247
2.850000 62.060 34.2166
2.900000 62.390 32.8347
2.950000 62.715 31.4800
3.000000 63.032 30.1610
3.040000 63.282 29.1294
3.070000 63.466 28.3675
3.110000 63.708 27.3649
3.150000 63.947 26.3745
3.200000 64.241 25.1490
3.250000 64.530 23.9318
3.300000 64.814 22.7168
3.350000 65.093 21.5037
3.400000 65.367 20.2972
3.450000 65.635 19.1009
3.500000 65.899 17.9183
3.550000 66.157 16.7529
3.600000 66.412 15.6080
3.650000 66.663 14.4872
3.700000 66.910 13.3943
3.750000 67.153 12.3293
3.820000 67.485 10.8760
3.870000 67.718 9.8585
3.950000 68.082 8.2531
4.000000 68.305 7.2564
4.060000 68.569 6.0608
4.120000 68.828 4.8716
4.180000 69.081 3.6928
4.250000 69.371 2.3348
4.310000 69.615 1.1892
4.370000 69.854 0.0639
4.440000 70.129 -1.2194
4.500000 70.359 -2.2942
4.550000 70.548 -3.1749
4.620000 70.808 -4.3896
4.680000 71.026 -5.4179
4.750000 71.277 -6.6080
4.820000 71.523 -7.7898
4.870000 71.695 -8.6258
4.940000 71.933 -9.7841
5.000000 72.132 -10.7651
5.080000 72.394 -12.0550
5.150000 72.618 -13.1656
5.220000 72.838 -14.2585
5.300000 73.084 -15.4874
5.380000 73.325 -16.6972
5.450000 73.531 -17.7421
5.520000 73.734 -18.7756
5.600000 73.961 -19.9407
5.700000 74.238 -21.3732
5.800000 74.508 -22.7808
5.900000 74.772 -24.1648
6.000000 75.028 -25.5244
6.080000 75.229 -26.5946
6.150000 75.401 -27.5186
6.220000 75.571 -28.4312
6.300000 75.761 -29.4594
6.400000 75.994 -30.7222
6.500000 76.221 -31.9633
6.600000 76.443 -33.1858
6.700000 76.660 -34.3893
6.800000 76.873 -35.5732
6.900000 77.081 -36.7386
7.000000 77.284 -37.8864
7.100000 77.484 -39.0147
7.200000 77.679 -40.1257
7.300000 77.870 -41.2227
7.400000 78.058 -42.3071
7.500000 78.242 -43.3770
7.620000 78.457 -44.6435
7.750000 78.685 -45.9962
7.880000 78.907 -47.3275
8.000000 79.106 -48.5391
8.120000 79.301 -49.7360
8.250000 79.506 -51.0153
8.380000 79.706 -52.2764
8.500000 79.886 -53.4247
8.620000 80.061 -54.5577
8.750000 80.245 -55.7676
8.850000 80.384 -56.6857
9.000000 80.587 -58.0425
9.120000 80.745 -59.1107
9.250000 80.912 -60.2507
9.380000 81.075 -61.3727
9.500000 81.222 -62.3937
9.620000 81.366 -63.4007
9.750000 81.518 -64.4756
9.880000 81.667 -65.5366
10.000000 81.803 -66.5041
10.150000 81.968 -67.6974
10.300000 82.129 -68.8761
10.440000 82.276 -69.9627
10.600000 82.440 -71.1902
10.750000 82.590 -72.3286
10.900000 82.736 -73.4544
11.060000 82.887 -74.6416
11.200000 83.016 -75.6688
11.380000 83.178 -76.9726
11.500000 83.282 -77.8310
11.720000 83.468 -79.3818
11.800000 83.534 -79.9379
12.060000 83.742 -81.7172
12.200000 83.851 -82.6577
12.410000 84.010 -84.0463
12.500000 84.076 -84.6341
12.650000 84.186 -85.6035
12.800000 84.293 -86.5618
13.150000 84.534 -88.7587
13.200000 84.568 -89.0684
13.400000 84.699 -90.2973
13.600000 84.827 -91.5098
13.800000 84.950 -92.7063
14.000000 85.070 -93.8848
14.300000 85.243 -95.6181
14.500000 85.353 -96.7489
14.750000 85.488 -98.1351
15.000000 85.618 -99.4917
15.250000 85.744 -100.8219
15.500000 85.867 -102.1298
15.750000 85.987 -103.4180
16.000000 86.104 -104.6903
16.250000 86.216 -105.9475
16.500000 86.325 -107.1894
16.750000 86.430 -108.4150
17.000000 86.530 -109.6219
17.250000 86.627 -110.8093
17.500000 86.720 -111.9761
17.750000 86.811 -113.1233
18.000000 86.899 -114.2525
18.250000 86.984 -115.3654
18.500000 87.067 -116.4648
18.750000 87.147 -117.5515
19.000000 87.225 -118.6263
19.250000 87.300 -119.6885
19.500000 87.372 -120.7368
19.750000 87.441 -121.7703
20.000000 87.508 -122.7877
20.299999 87.586 -123.9875
20.600000 87.661 -125.1656
20.900000 87.734 -126.3244
21.200001 87.805 -127.4666
21.400000 87.851 -128.2200
21.799999 87.939 -129.7078
22.000000 87.982 -130.4422
22.400000 88.065 -131.8916
22.700001 88.124 -132.9611
23.000000 88.181 -134.0159
23.299999 88.236 -135.0563
23.600000 88.288 -136.0821
24.000000 88.355 -137.4263
24.299999 88.403 -138.4158
24.700001 88.465 -139.7109
25.000000 88.510 -140.6664
25.400000 88.569 -141.9247
25.799999 88.625 -143.1710
26.200001 88.677 -144.4064
26.500000 88.714 -145.3229
26.900000 88.760 -146.5258
27.200001 88.792 -147.4106
27.600000 88.833 -148.5671
28.000000 88.872 -149.7022
28.500000 88.920 -151.1002
29.000000 88.964 -152.4775
29.500000 89.005 -153.8274
30.000000 89.043 -155.1441
30.400000 89.072 -156.1763
30.700001 89.094 -156.9415
31.100000 89.122 -157.9538
31.500000 89.149 -158.9579
32.000000 89.180 -160.1987
32.500000 89.207 -161.4178
33.000000 89.232 -162.6122
33.500000 89.254 -163.7827
34.000000 89.276 -164.9335
34.500000 89.295 -166.0687
35.000000 89.312 -167.1897
35.500000 89.328 -168.2956
36.000000 89.341 -169.3846
36.500000 89.354 -170.4578
37.000000 89.365 -171.5176
37.500000 89.374 -172.5637
38.200001 89.386 -174.0013
38.700001 89.395 -175.0123
39.500000 89.406 -176.6194
40.000000 89.410 -177.6121
40.599998 89.412 -178.7737
41.200001 89.413 -179.9006
41.799999 89.415 178.9901
42.500000 89.413 177.7093
43.099998 89.409 176.6350
43.700001 89.403 175.5843
44.400002 89.396 174.3770
45.000000 89.389 173.3530
45.500000 89.383 172.5029
46.200001 89.373 171.3102
46.799999 89.363 170.2951
47.500000 89.352 169.1295
48.200001 89.343 167.9432
48.700001 89.332 167.0728
49.400002 89.303 165.8989
50.000000 89.274 165.0127
50.799999 89.254 163.9444
51.500000 89.252 162.9699
52.200001 89.245 161.9439
53.000000 89.230 160.7923
53.799999 89.212 159.6673
54.500000 89.193 158.6861
55.200001 89.170 157.7217
56.000000 89.141 156.6453
57.000000 89.105 155.3215
58.000000 89.069 154.0063
59.000000 89.033 152.7039
60.000000 88.997 151.4262
60.799999 88.968 150.4147
61.500000 88.942 149.5445
62.200001 88.916 148.6913
63.000000 88.885 147.7306
64.000000 88.844 146.5579
65.000000 88.805 145.4130
66.000000 88.764 144.2722
67.000000 88.722 143.1474
68.000000 88.681 142.0376
69.000000 88.639 140.9367
70.000000 88.596 139.8528
71.000000 88.553 138.7887
72.000000 88.509 137.7458
73.000000 88.466 136.7193
74.000000 88.421 135.7066
75.000000 88.376 134.7082
76.199997 88.322 133.5252
77.500000 88.263 132.2617
78.800003 88.205 131.0170
80.000000 88.150 129.8903
81.199997 88.096 128.7858
82.500000 88.036 127.6077
83.800003 87.976 126.4543
85.000000 87.920 125.4103
86.199997 87.864 124.3773
87.500000 87.804 123.2721
88.500000 87.757 122.4355
90.000000 87.687 121.2025
91.199997 87.632 120.2321
92.500000 87.572 119.1932
93.800003 87.512 118.1667
95.000000 87.457 117.2337
96.199997 87.401 116.3161
97.500000 87.341 115.3365
98.800003 87.282 114.3666
100.000000 87.227 113.4811
101.500000 87.158 112.3933
103.000000 87.090 111.3263
104.400002 87.026 110.3431
106.000000 86.953 109.2334
107.500000 86.885 108.2121
109.000000 86.817 107.2102
110.599998 86.746 106.1609
112.000000 86.684 105.2530
113.800003 86.605 104.0974
115.000000 86.551 103.3386
117.199997 86.454 101.9731
118.000000 86.419 101.4839
120.599998 86.306 99.9203
122.000000 86.246 99.0961
124.099998 86.154 97.8838
125.000000 86.115 97.3696
126.500000 86.050 96.5160
128.000000 85.987 95.6667
131.500000 85.840 93.7334
132.000000 85.819 93.4635
134.000000 85.735 92.3996
136.000000 85.652 91.3618
138.000000 85.569 90.3451
140.000000 85.487 89.3441
143.000000 85.362 87.8562
145.000000 85.282 86.8604
147.500000 85.191 85.6116
150.000000 85.094 84.3822
152.500000 84.984 83.3095
155.000000 84.881 82.2669
157.500000 84.780 81.1732
160.000000 84.681 80.0883
162.500000 84.583 79.0393
165.000000 84.484 78.0150
167.500000 84.384 77.0011
170.000000 84.287 76.0123
172.500000 84.189 75.0582
175.000000 84.090 74.1253
177.500000 83.991 73.2039
180.000000 83.894 72.2997
182.500000 83.798 71.4178
185.000000 83.701 70.5564
187.500000 83.602 69.7152
190.000000 83.504 68.8995
192.500000 83.407 68.1116
195.000000 83.311 67.3454
197.500000 83.214 66.6009
200.000000 83.117 65.8757
203.000000 83.000 65.0270
206.000000 82.883 64.2153
209.000000 82.768 63.4389
212.000000 82.654 62.6902
214.000000 82.577 62.2099
218.000000 82.424 61.3063
220.000000 82.347 60.8762
224.000000 82.195 60.0515
227.000000 82.083 59.4760
230.000000 81.972 58.9433
233.000000 81.862 58.4501
236.000000 81.753 57.9948
240.000000 81.612 57.4410
243.000000 81.511 57.0621
247.000000 81.373 56.6317
250.000000 81.274 56.3554
254.000000 81.159 55.9843
258.000000 81.049 55.6694
262.000000 80.944 55.4175
265.000000 80.872 55.2507
269.000000 80.777 55.0729
272.000000 80.709 54.9688
276.000000 80.628 54.8426
280.000000 80.554 54.7387
285.000000 80.474 54.6281
290.000000 80.412 54.5087
295.000000 80.361 54.3893
300.000000 80.320 54.2613
304.000000 80.293 54.1458
307.000000 80.275 54.0485
311.000000 80.255 53.9074
315.000000 80.237 53.7620
320.000000 80.223 53.5684
