* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -30.4 dBFS, measurement signal peak level -27.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:39:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0359 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Annihilator 2023 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.563 111.7801
1.015000 43.748 110.4938
1.030000 43.933 109.2380
1.044000 44.104 108.0973
1.060000 44.299 106.8354
1.075000 44.481 105.6973
1.090000 44.660 104.6071
1.106000 44.850 103.4996
1.120000 45.016 102.5665
1.138000 45.231 101.4100
1.150000 45.375 100.6643
1.172000 45.641 99.3455
1.180000 45.738 98.8804
1.206000 46.054 97.4169
1.220000 46.225 96.6565
1.241000 46.482 95.5472
1.250000 46.592 95.0821
1.265000 46.776 94.3189
1.280000 46.959 93.5689
1.315000 47.388 91.8579
1.320000 47.449 91.6168
1.340000 47.692 90.6573
1.360000 47.935 89.7021
1.380000 48.176 88.7461
1.400000 48.416 87.7842
1.430000 48.773 86.3191
1.450000 49.008 85.3202
1.475000 49.299 84.0403
1.500000 49.589 82.7452
1.525000 49.878 81.4433
1.550000 50.166 80.1382
1.575000 50.453 78.8335
1.600000 50.738 77.5327
1.625000 51.021 76.2394
1.650000 51.303 74.9570
1.675000 51.583 73.6891
1.700000 51.860 72.4393
1.725000 52.135 71.2110
1.750000 52.408 70.0079
1.775000 52.677 68.8335
1.800000 52.944 67.6912
1.825000 53.207 66.5847
1.850000 53.467 65.5165
1.875000 53.725 64.4844
1.900000 53.980 63.4852
1.925000 54.232 62.5157
1.950000 54.482 61.5727
1.975000 54.729 60.6529
2.000000 54.974 59.7531
2.030000 55.264 58.6954
2.060000 55.551 57.6564
2.090000 55.835 56.6306
2.120000 56.116 55.6124
2.140000 56.301 54.9351
2.180000 56.667 53.5768
2.200000 56.848 52.8926
2.240000 57.205 51.5317
2.270000 57.469 50.5238
2.300000 57.729 49.5267
2.330000 57.986 48.5402
2.360000 58.239 47.5639
2.400000 58.572 46.2778
2.430000 58.818 45.3247
2.470000 59.142 44.0686
2.500000 59.382 43.1374
2.540000 59.697 41.9098
2.580000 60.008 40.6978
2.620000 60.314 39.5035
2.650000 60.540 38.6194
2.690000 60.836 37.4556
2.720000 61.055 36.5938
2.760000 61.343 35.4590
2.800000 61.626 34.3400
2.850000 61.974 32.9628
2.900000 62.315 31.6085
2.950000 62.651 30.2775
3.000000 62.980 28.9792
3.040000 63.238 27.9624
3.070000 63.429 27.2106
3.110000 63.679 26.2200
3.150000 63.926 25.2402
3.200000 64.229 24.0260
3.250000 64.527 22.8180
3.300000 64.819 21.6103
3.350000 65.107 20.4022
3.400000 65.388 19.1985
3.450000 65.663 18.0029
3.500000 65.933 16.8188
3.550000 66.198 15.6499
3.600000 66.458 14.4997
3.650000 66.714 13.3717
3.700000 66.966 12.2692
3.750000 67.212 11.1912
3.820000 67.548 9.7157
3.870000 67.783 8.6806
3.950000 68.150 7.0466
4.000000 68.374 6.0331
4.060000 68.639 4.8194
4.120000 68.897 3.6118
4.180000 69.149 2.4147
4.250000 69.437 1.0362
4.310000 69.678 -0.1253
4.370000 69.914 -1.2643
4.440000 70.185 -2.5605
4.500000 70.411 -3.6450
4.550000 70.596 -4.5325
4.620000 70.850 -5.7541
4.680000 71.063 -6.7854
4.750000 71.308 -7.9747
4.820000 71.547 -9.1504
4.870000 71.715 -9.9791
4.940000 71.946 -11.1238
5.000000 72.140 -12.0903
5.080000 72.394 -13.3576
5.150000 72.613 -14.4462
5.220000 72.828 -15.5132
5.300000 73.068 -16.7086
5.380000 73.303 -17.8825
5.450000 73.506 -18.8955
5.520000 73.706 -19.8977
5.600000 73.930 -21.0254
5.700000 74.204 -22.4099
5.800000 74.472 -23.7716
5.900000 74.734 -25.1154
6.000000 74.991 -26.4380
6.080000 75.192 -27.4814
6.150000 75.365 -28.3848
6.220000 75.536 -29.2802
6.300000 75.728 -30.2931
6.400000 75.962 -31.5424
6.500000 76.192 -32.7755
6.600000 76.416 -33.9949
6.700000 76.635 -35.2012
6.800000 76.849 -36.3931
6.900000 77.058 -37.5699
7.000000 77.263 -38.7306
7.100000 77.462 -39.8753
7.200000 77.657 -41.0046
7.300000 77.848 -42.1197
7.400000 78.034 -43.2210
7.500000 78.216 -44.3080
7.620000 78.430 -45.5937
7.750000 78.655 -46.9634
7.880000 78.873 -48.3085
8.000000 79.070 -49.5299
8.120000 79.262 -50.7335
8.250000 79.464 -52.0162
8.380000 79.661 -53.2781
8.500000 79.839 -54.4251
8.620000 80.012 -55.5546
8.750000 80.195 -56.7595
8.850000 80.332 -57.6738
9.000000 80.534 -59.0237
9.120000 80.691 -60.0868
9.250000 80.858 -61.2228
9.380000 81.021 -62.3415
9.500000 81.168 -63.3609
9.620000 81.312 -64.3682
9.750000 81.464 -65.4450
9.880000 81.613 -66.5090
10.000000 81.748 -67.4806
10.150000 81.912 -68.6799
10.300000 82.072 -69.8626
10.440000 82.216 -70.9520
10.600000 82.377 -72.1783
10.750000 82.524 -73.3092
10.900000 82.666 -74.4220
11.060000 82.815 -75.5877
11.200000 82.941 -76.5893
11.380000 83.101 -77.8560
11.500000 83.205 -78.6866
11.720000 83.393 -80.1881
11.800000 83.460 -80.7293
12.060000 83.676 -82.4723
12.200000 83.789 -83.4085
12.410000 83.954 -84.8088
12.500000 84.023 -85.4084
12.650000 84.135 -86.4083
12.800000 84.242 -87.4025
13.150000 84.477 -89.6885
13.200000 84.509 -90.0076
13.400000 84.631 -91.2652
13.600000 84.749 -92.4833
13.800000 84.862 -93.6563
14.000000 84.975 -94.7938
14.300000 85.145 -96.4444
14.500000 85.259 -97.5299
14.750000 85.402 -98.8947
15.000000 85.541 -100.2782
15.250000 85.673 -101.6840
15.500000 85.794 -103.0849
15.750000 85.904 -104.4609
16.000000 86.004 -105.7758
16.250000 86.100 -107.0170
16.500000 86.197 -108.1903
16.750000 86.299 -109.3135
17.000000 86.407 -110.4361
17.250000 86.518 -111.5815
17.500000 86.629 -112.7786
17.750000 86.731 -114.0194
18.000000 86.822 -115.2764
18.250000 86.898 -116.5181
18.500000 86.964 -117.6898
18.750000 87.025 -118.7803
19.000000 87.086 -119.7799
19.250000 87.155 -120.7207
19.500000 87.232 -121.6463
19.750000 87.318 -122.5905
20.000000 87.405 -123.5967
20.299999 87.504 -124.8783
20.600000 87.588 -126.2083
20.900000 87.654 -127.5254
21.200001 87.705 -128.7605
21.400000 87.736 -129.5191
21.799999 87.802 -130.9037
22.000000 87.840 -131.5545
22.400000 87.930 -132.8499
22.700001 88.004 -133.8651
23.000000 88.076 -134.9328
23.299999 88.140 -136.0303
23.600000 88.196 -137.1289
24.000000 88.259 -138.5567
24.299999 88.301 -139.5868
24.700001 88.353 -140.9107
25.000000 88.390 -141.8729
25.400000 88.437 -143.1154
25.799999 88.483 -144.3070
26.200001 88.532 -145.4574
26.500000 88.571 -146.3116
26.900000 88.626 -147.4645
27.200001 88.666 -148.3475
27.600000 88.715 -149.5388
28.000000 88.756 -150.7170
28.500000 88.802 -152.1438
29.000000 88.849 -153.5419
29.500000 88.893 -154.9508
30.000000 88.928 -156.3601
30.400000 88.948 -157.4501
30.700001 88.960 -158.2318
31.100000 88.978 -159.2328
31.500000 88.999 -160.2096
32.000000 89.026 -161.4278
32.500000 89.049 -162.6339
33.000000 89.068 -163.7879
33.500000 89.091 -164.8832
34.000000 89.123 -165.9695
34.500000 89.158 -167.1026
35.000000 89.188 -168.2865
35.500000 89.208 -169.4758
36.000000 89.220 -170.6263
36.500000 89.230 -171.7313
37.000000 89.240 -172.8103
37.500000 89.249 -173.8779
38.200001 89.259 -175.3463
38.700001 89.264 -176.3661
39.500000 89.271 -177.9532
40.000000 89.275 -178.9261
40.599998 89.280 179.9231
41.200001 89.283 178.7895
41.799999 89.285 177.6689
42.500000 89.284 176.3747
43.099998 89.280 175.2787
43.700001 89.274 174.1992
44.400002 89.264 172.9665
45.000000 89.255 171.9312
45.500000 89.249 171.0722
46.200001 89.239 169.8672
46.799999 89.228 168.8513
47.500000 89.218 167.7019
48.200001 89.214 166.5344
48.700001 89.207 165.6642
49.400002 89.182 164.4664
50.000000 89.151 163.5562
50.799999 89.125 162.4867
51.500000 89.117 161.5303
52.200001 89.108 160.5095
53.000000 89.088 159.3426
53.799999 89.066 158.1851
54.500000 89.043 157.1602
55.200001 89.016 156.1533
56.000000 88.987 155.0335
57.000000 88.958 153.6171
58.000000 88.925 152.2048
59.000000 88.891 150.8617
60.000000 88.858 149.5764
60.799999 88.830 148.5972
61.500000 88.807 147.7759
62.200001 88.786 146.9638
63.000000 88.761 146.0216
64.000000 88.722 144.8306
65.000000 88.678 143.6588
66.000000 88.634 142.4948
67.000000 88.589 141.3184
68.000000 88.542 140.1655
69.000000 88.497 139.0557
70.000000 88.454 137.9727
71.000000 88.413 136.8988
72.000000 88.369 135.8302
73.000000 88.321 134.7894
74.000000 88.274 133.7774
75.000000 88.229 132.7665
76.199997 88.175 131.5511
77.500000 88.117 130.2524
78.800003 88.059 128.9860
80.000000 88.006 127.8511
81.199997 87.953 126.7398
82.500000 87.895 125.5500
83.800003 87.835 124.3560
85.000000 87.776 123.2723
86.199997 87.717 122.2254
87.500000 87.657 121.1180
88.500000 87.612 120.2742
90.000000 87.545 119.0204
91.199997 87.490 118.0323
92.500000 87.430 116.9729
93.800003 87.369 115.9211
95.000000 87.312 114.9675
96.199997 87.254 114.0387
97.500000 87.193 113.0546
98.800003 87.133 112.0906
100.000000 87.079 111.2120
101.500000 87.013 110.1190
103.000000 86.946 109.0309
104.400002 86.883 108.0195
106.000000 86.810 106.8792
107.500000 86.743 105.8313
109.000000 86.676 104.8016
110.599998 86.603 103.7242
112.000000 86.539 102.8060
113.800003 86.458 101.6489
115.000000 86.405 100.8874
117.199997 86.308 99.5123
118.000000 86.273 99.0186
120.599998 86.161 97.4413
122.000000 86.099 96.6195
124.099998 86.007 95.4025
125.000000 85.967 94.8800
126.500000 85.901 94.0110
128.000000 85.836 93.1522
131.500000 85.692 91.2176
132.000000 85.672 90.9458
134.000000 85.589 89.8651
136.000000 85.502 88.8205
138.000000 85.418 87.8019
140.000000 85.335 86.7867
143.000000 85.212 85.2762
145.000000 85.133 84.3032
147.500000 85.043 83.1463
150.000000 84.955 81.9677
152.500000 84.843 80.7999
155.000000 84.729 79.6935
157.500000 84.625 78.5968
160.000000 84.526 77.5316
162.500000 84.428 76.4895
165.000000 84.331 75.4613
167.500000 84.233 74.4555
170.000000 84.135 73.4927
172.500000 84.038 72.5401
175.000000 83.939 71.5942
177.500000 83.842 70.6765
180.000000 83.745 69.7891
182.500000 83.649 68.9235
185.000000 83.551 68.0809
187.500000 83.454 67.2685
190.000000 83.358 66.4806
192.500000 83.261 65.7092
195.000000 83.164 64.9463
197.500000 83.067 64.2017
200.000000 82.970 63.4957
203.000000 82.857 62.6838
206.000000 82.743 61.8939
209.000000 82.629 61.1352
212.000000 82.516 60.4102
214.000000 82.441 59.9506
218.000000 82.291 59.0872
220.000000 82.216 58.6752
224.000000 82.070 57.8943
227.000000 81.963 57.3495
230.000000 81.857 56.8345
233.000000 81.752 56.3557
236.000000 81.649 55.9142
240.000000 81.515 55.3719
243.000000 81.416 54.9916
247.000000 81.287 54.5098
250.000000 81.195 54.2079
254.000000 81.082 53.9258
258.000000 80.976 53.6707
262.000000 80.876 53.4370
265.000000 80.806 53.2991
269.000000 80.715 53.1127
272.000000 80.650 52.9800
276.000000 80.571 52.8344
280.000000 80.501 52.7196
285.000000 80.424 52.6057
290.000000 80.361 52.4778
295.000000 80.312 52.3642
300.000000 80.270 52.2582
304.000000 80.244 52.1426
307.000000 80.227 52.0467
311.000000 80.209 51.9183
315.000000 80.194 51.7809
320.000000 80.178 51.5900
