* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/11/2024 7:30:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Anvil L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.228 -41.3177
0.732422 23.060 -135.8288
1.098633 36.006 116.8315
1.464844 43.962 87.0065
1.831055 49.039 66.5254
2.197266 52.693 50.6986
2.563477 55.497 38.3419
2.929688 57.779 28.7690
3.295898 59.753 21.2799
3.662109 61.541 15.1401
4.028320 63.191 9.7471
4.394531 64.713 4.7509
4.760742 66.108 0.0171
5.126953 67.383 -4.4865
5.493164 68.548 -8.7683
5.859375 69.616 -12.8308
6.225586 70.601 -16.6698
6.591797 71.518 -20.2967
6.958008 72.383 -23.7706
7.324219 73.203 -27.1950
7.690430 73.970 -30.6521
8.056641 74.668 -34.1182
8.422852 75.287 -37.4411
8.789062 75.843 -40.4206
9.155273 76.374 -42.9626
9.521484 76.924 -45.2018
9.887695 77.507 -47.4577
10.253906 78.091 -50.0062
10.620117 78.624 -52.8569
10.986328 79.071 -55.7299
11.352539 79.442 -58.2378
11.718750 79.795 -60.1658
12.084961 80.199 -61.6911
12.451172 80.677 -63.3246
12.817383 81.184 -65.5390
13.183594 81.632 -68.4149
13.549805 81.953 -71.6027
13.916016 82.134 -74.5345
14.282227 82.223 -76.7154
14.648438 82.313 -78.0011
15.014648 82.484 -78.7258
15.380859 82.753 -79.4931
15.747070 83.070 -80.7396
16.113281 83.362 -82.4863
16.479492 83.587 -84.4462
16.845703 83.750 -86.2860
17.211914 83.886 -87.8369
17.578125 84.032 -89.1555
17.944336 84.201 -90.4247
18.310547 84.381 -91.7870
18.676758 84.552 -93.2533
19.042969 84.707 -94.7398
19.409180 84.848 -96.1655
19.775391 84.989 -97.5186
20.141602 85.134 -98.8496
20.507812 85.281 -100.2119
20.874023 85.420 -101.6131
21.240234 85.545 -103.0127
21.606445 85.658 -104.3573
21.972656 85.763 -105.6169
22.338867 85.868 -106.7979
22.705078 85.975 -107.9307
23.071289 86.085 -109.0484
23.437500 86.194 -110.1723
23.803711 86.299 -111.3065
24.169922 86.397 -112.4404
24.536133 86.487 -113.5554
24.902344 86.571 -114.6359
25.268555 86.652 -115.6819
25.634766 86.732 -116.7104
26.000977 86.810 -117.7427
26.367188 86.882 -118.7831
26.733398 86.945 -119.8093
27.099609 87.000 -120.7851
27.465820 87.053 -121.6893
27.832031 87.111 -122.5375
28.198242 87.177 -123.3760
28.564453 87.246 -124.2486
28.930664 87.312 -125.1635
29.296875 87.369 -126.0882
29.663086 87.417 -126.9754
30.029297 87.461 -127.7988
30.395508 87.509 -128.5702
30.761719 87.562 -129.3257
31.127930 87.618 -130.0958
31.494141 87.672 -130.8858
31.860352 87.723 -131.6808
32.226562 87.770 -132.4674
32.592773 87.816 -133.2467
32.958984 87.860 -134.0300
33.325195 87.900 -134.8196
33.691406 87.933 -135.5989
34.057617 87.962 -136.3406
34.423828 87.990 -137.0305
34.790039 88.023 -137.6857
35.156250 88.064 -138.3487
35.522461 88.108 -139.0595
35.888672 88.147 -139.8247
36.254883 88.175 -140.6090
36.621094 88.192 -141.3558
36.987305 88.203 -142.0235
37.353516 88.219 -142.6138
37.719727 88.244 -143.1705
38.085938 88.277 -143.7486
38.452148 88.311 -144.3768
38.818359 88.339 -145.0399
39.184570 88.358 -145.6944
39.550781 88.372 -146.3017
39.916992 88.387 -146.8557
40.283203 88.407 -147.3841
40.649414 88.433 -147.9241
41.015625 88.459 -148.4957
41.381836 88.483 -149.0918
41.748047 88.502 -149.6913
42.114258 88.517 -150.2793
42.480469 88.532 -150.8555
42.846680 88.546 -151.4273
43.212891 88.558 -151.9960
43.579102 88.568 -152.5528
43.945312 88.576 -153.0867
44.311523 88.585 -153.5947
44.677734 88.596 -154.0836
45.043945 88.609 -154.5624
45.410156 88.624 -155.0356
45.776367 88.641 -155.5071
46.142578 88.661 -155.9882
46.508789 88.681 -156.4962
46.875000 88.698 -157.0391
47.241211 88.706 -157.5971
47.607422 88.704 -158.1240
47.973633 88.696 -158.5745
48.339844 88.692 -158.9425
48.706055 88.700 -159.2753
49.072266 88.719 -159.6468
49.438477 88.741 -160.1043
49.804688 88.755 -160.6343
50.170898 88.756 -161.1743
50.537109 88.748 -161.6618
50.903320 88.741 -162.0816
51.269531 88.741 -162.4728
51.635742 88.750 -162.8927
52.001953 88.759 -163.3678
52.368164 88.761 -163.8744
52.734375 88.756 -164.3619
53.100586 88.749 -164.7964
53.466797 88.748 -165.1874
53.833008 88.754 -165.5759
54.199219 88.763 -165.9962
54.565430 88.770 -166.4431
54.931641 88.771 -166.8741
55.297852 88.770 -167.2453
55.664062 88.777 -167.5572
56.030273 88.799 -167.8718
56.396484 88.831 -168.2795
56.762695 88.857 -168.8308
57.128906 88.860 -169.4794
57.495117 88.830 -170.0847
57.861328 88.777 -170.4843
58.227539 88.729 -170.6070
58.593750 88.718 -170.5553
58.959961 88.752 -170.5696
59.326172 88.809 -170.8669
59.692383 88.847 -171.4742
60.058594 88.836 -172.1956
60.424805 88.780 -172.7356
60.791016 88.715 -172.9046
61.157227 88.693 -172.7849
61.523438 88.737 -172.7109
61.889648 88.822 -173.0257
62.255859 88.888 -173.8155
62.622070 88.887 -174.8503
62.988281 88.812 -175.7366
63.354492 88.699 -176.1568
63.720703 88.611 -176.0710
64.086914 88.593 -175.7520
64.453125 88.643 -175.5887
64.819336 88.721 -175.8084
65.185547 88.779 -176.3663
65.551758 88.794 -177.0450
65.917969 88.773 -177.6280
66.284180 88.739 -178.0183
66.650391 88.712 -178.2501
67.016602 88.701 -178.4165
67.382812 88.703 -178.5911
67.749023 88.712 -178.8029
68.115234 88.725 -179.0620
68.481445 88.738 -179.3824
68.847656 88.746 -179.7717
69.213867 88.741 179.7967
69.580078 88.719 179.3879
69.946289 88.687 179.0715
70.312500 88.658 178.8705
70.678711 88.643 178.7385
71.044922 88.644 178.5872
71.411133 88.655 178.3463
71.777344 88.664 178.0063
72.143555 88.661 177.6137
72.509766 88.647 177.2324
72.875977 88.627 176.9042
73.242188 88.607 176.6349
73.608398 88.591 176.4059
73.974609 88.582 176.1938
74.340820 88.579 175.9800
74.707031 88.580 175.7493
75.073242 88.585 175.4867
75.439453 88.588 175.1844
75.805664 88.587 174.8520
76.171875 88.579 174.5181
76.538086 88.564 174.2166
76.904297 88.548 173.9645
77.270508 88.536 173.7496
77.636719 88.530 173.5381
78.002930 88.527 173.2996
78.369141 88.522 173.0298
78.735352 88.512 172.7514
79.101562 88.499 172.4927
79.467773 88.487 172.2616
79.833984 88.478 172.0379
80.200195 88.473 171.7916
80.566406 88.466 171.5128
80.932617 88.453 171.2260
81.298828 88.434 170.9733
81.665039 88.417 170.7782
82.031250 88.409 170.6199
82.397461 88.410 170.4438
82.763672 88.417 170.2032
83.129883 88.419 169.8987
83.496094 88.411 169.5801
83.862305 88.394 169.3088
84.228516 88.378 169.1100
84.594727 88.371 168.9524
84.960938 88.374 168.7739
85.327148 88.379 168.5329
85.693359 88.379 168.2393
86.059570 88.368 167.9434
86.425781 88.350 167.6946
86.791992 88.333 167.5049
87.158203 88.322 167.3460
87.524414 88.318 167.1773
87.890625 88.315 166.9781
88.256836 88.311 166.7548
88.623047 88.304 166.5252
88.989258 88.296 166.2969
89.355469 88.288 166.0637
89.721680 88.280 165.8184
90.087891 88.268 165.5666
90.454102 88.253 165.3262
90.820312 88.236 165.1122
91.186523 88.221 164.9240
91.552734 88.210 164.7459
91.918945 88.203 164.5610
92.285156 88.196 164.3630
92.651367 88.190 164.1558
93.017578 88.183 163.9441
93.383789 88.176 163.7277
93.750000 88.167 163.5050
94.116211 88.156 163.2821
94.482422 88.143 163.0734
94.848633 88.129 162.8906
95.214844 88.117 162.7300
95.581055 88.109 162.5713
95.947266 88.104 162.3931
96.313477 88.097 162.1920
96.679688 88.086 161.9868
97.045898 88.072 161.8031
97.412109 88.060 161.6482
97.778320 88.054 161.5009
98.144531 88.052 161.3251
98.510742 88.051 161.0988
98.876953 88.044 160.8329
99.243164 88.028 160.5654
99.609375 88.006 160.3356
99.975586 87.983 160.1577
100.341797 87.965 160.0157
100.708008 87.952 159.8801
101.074219 87.943 159.7316
101.440430 87.934 159.5717
101.806641 87.925 159.4128
102.172852 87.918 159.2599
102.539062 87.914 159.1029
102.905273 87.911 158.9250
103.271484 87.908 158.7209
103.637695 87.900 158.5057
104.003906 87.888 158.3045
104.370117 87.874 158.1325
104.736328 87.863 157.9818
105.102539 87.856 157.8284
105.468750 87.849 157.6541
105.834961 87.840 157.4639
106.201172 87.826 157.2829
106.567383 87.811 157.1343
106.933594 87.798 157.0179
107.299805 87.792 156.9067
107.666016 87.790 156.7675
108.032227 87.788 156.5863
108.398438 87.781 156.3777
108.764648 87.769 156.1713
109.130859 87.754 155.9874
109.497070 87.739 155.8251
109.863281 87.725 155.6687
110.229492 87.712 155.5070
110.595703 87.697 155.3431
110.961914 87.681 155.1895
111.328125 87.663 155.0541
111.694336 87.646 154.9366
112.060547 87.629 154.8356
112.426758 87.613 154.7590
112.792969 87.601 154.7169
113.159180 87.597 154.7006
113.525391 87.606 154.6667
113.891602 87.625 154.5508
114.257812 87.645 154.3101
114.624023 87.652 153.9633
114.990234 87.637 153.5917
115.356445 87.604 153.2957
115.722656 87.566 153.1314
116.088867 87.538 153.0744
116.455078 87.527 153.0381
116.821289 87.527 152.9397
117.187500 87.526 152.7571
117.553711 87.517 152.5362
117.919922 87.498 152.3445
118.286133 87.478 152.2159
118.652344 87.465 152.1269
119.018555 87.461 152.0224
119.384766 87.460 151.8644
119.750977 87.453 151.6617
120.117188 87.438 151.4596
120.483398 87.417 151.3022
120.849609 87.398 151.2015
121.215820 87.384 151.1343
121.582031 87.377 151.0650
121.948242 87.374 150.9716
122.314453 87.372 150.8539
122.680664 87.368 150.7226
123.046875 87.364 150.5832
123.413086 87.360 150.4308
123.779297 87.354 150.2586
124.145508 87.345 150.0692
124.511719 87.329 149.8794
124.877930 87.308 149.7145
125.244141 87.284 149.5948
125.610352 87.262 149.5247
125.976562 87.247 149.4881
126.342773 87.239 149.4539
126.708984 87.239 149.3882
127.075195 87.241 149.2699
127.441406 87.241 149.1011
127.807617 87.234 148.9067
128.173828 87.221 148.7203
128.540039 87.205 148.5660
128.906250 87.189 148.4444
129.272461 87.178 148.3351
129.638672 87.171 148.2132
130.004883 87.164 148.0677
130.371094 87.154 147.9084
130.737305 87.142 147.7551
131.103516 87.129 147.6201
131.469727 87.118 147.4985
131.835938 87.110 147.3744
132.202148 87.102 147.2363
132.568359 87.093 147.0882
132.934570 87.082 146.9449
133.300781 87.070 146.8179
133.666992 87.059 146.7043
134.033203 87.052 146.5892
134.399414 87.045 146.4598
134.765625 87.036 146.3181
135.131836 87.025 146.1801
135.498047 87.012 146.0614
135.864258 87.000 145.9639
136.230469 86.991 145.8737
136.596680 86.984 145.7743
136.962891 86.977 145.6610
137.329102 86.968 145.5447
137.695312 86.957 145.4401
138.061523 86.948 145.3503
138.427734 86.942 145.2612
138.793945 86.938 145.1524
139.160156 86.933 145.0145
139.526367 86.924 144.8589
139.892578 86.910 144.7113
140.258789 86.892 144.5939
140.625000 86.876 144.5105
140.991211 86.864 144.4451
141.357422 86.856 144.3740
141.723633 86.851 144.2808
142.089844 86.845 144.1644
142.456055 86.837 144.0368
142.822266 86.826 143.9131
143.188477 86.815 143.8033
143.554688 86.805 143.7069
143.920898 86.798 143.6135
144.287109 86.793 143.5078
144.653320 86.789 143.3801
145.019531 86.781 143.2348
145.385742 86.770 143.0918
145.751953 86.755 142.9760
146.118164 86.741 142.8987
146.484375 86.733 142.8435
146.850586 86.731 142.7728
147.216797 86.732 142.6536
147.583008 86.728 142.4866
147.949219 86.713 142.3134
148.315430 86.690 142.1926
148.681641 86.667 142.1579
149.047852 86.654 142.1886
