* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/11/2024 7:29:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Anvil R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.924 160.3864
0.732422 40.759 137.8864
1.098633 40.073 110.4024
1.464844 41.539 83.6745
1.831055 44.878 65.7624
2.197266 48.710 54.0644
2.563477 52.256 44.4405
2.929688 55.255 35.5854
3.295898 57.699 27.5774
3.662109 59.689 20.7656
4.028320 61.373 15.3100
4.394531 62.897 10.9734
4.760742 64.352 7.1720
5.126953 65.748 3.2992
5.493164 67.045 -0.9252
5.859375 68.199 -5.3847
6.225586 69.202 -9.7440
6.591797 70.089 -13.6966
6.958008 70.917 -17.1564
7.324219 71.732 -20.3048
7.690430 72.544 -23.4426
8.056641 73.322 -26.7477
8.422852 74.031 -30.1432
8.789062 74.658 -33.3686
9.155273 75.229 -36.1820
9.521484 75.793 -38.5637
9.887695 76.385 -40.7695
10.253906 76.993 -43.1494
10.620117 77.566 -45.8600
10.986328 78.052 -48.7243
11.352539 78.438 -51.3326
11.718750 78.766 -53.3037
12.084961 79.119 -54.5862
12.451172 79.565 -55.6009
12.817383 80.101 -57.0067
13.183594 80.650 -59.2285
13.549805 81.118 -62.2016
13.916016 81.447 -65.4808
14.282227 81.636 -68.5043
14.648438 81.738 -70.8513
15.014648 81.833 -72.4343
15.380859 81.986 -73.5343
15.747070 82.208 -74.5969
16.113281 82.466 -75.9244
16.479492 82.715 -77.5358
16.845703 82.931 -79.2619
17.211914 83.117 -80.9288
17.578125 83.293 -82.4747
17.944336 83.472 -83.9485
18.310547 83.653 -85.4245
18.676758 83.830 -86.9255
19.042969 83.996 -88.4175
19.409180 84.154 -89.8597
19.775391 84.311 -91.2485
20.141602 84.468 -92.6151
20.507812 84.623 -93.9866
20.874023 84.771 -95.3562
21.240234 84.910 -96.6935
21.606445 85.046 -97.9793
21.972656 85.181 -99.2281
22.338867 85.317 -100.4747
22.705078 85.448 -101.7385
23.071289 85.569 -103.0033
23.437500 85.680 -104.2320
23.803711 85.783 -105.4003
24.169922 85.885 -106.5156
24.536133 85.985 -107.6025
24.902344 86.081 -108.6710
25.268555 86.172 -109.7017
25.634766 86.259 -110.6669
26.000977 86.351 -111.5695
26.367188 86.454 -112.4622
26.733398 86.565 -113.4207
27.099609 86.673 -114.4896
27.465820 86.764 -115.6443
27.832031 86.831 -116.8019
28.198242 86.878 -117.8707
28.564453 86.918 -118.8043
28.930664 86.963 -119.6248
29.296875 87.019 -120.4003
29.663086 87.085 -121.1967
30.029297 87.152 -122.0411
30.395508 87.215 -122.9193
30.761719 87.271 -123.7992
31.127930 87.323 -124.6577
31.494141 87.373 -125.4919
31.860352 87.424 -126.3130
32.226562 87.474 -127.1326
32.592773 87.523 -127.9533
32.958984 87.569 -128.7673
33.325195 87.611 -129.5624
33.691406 87.653 -130.3300
34.057617 87.695 -131.0725
34.423828 87.739 -131.8036
34.790039 87.785 -132.5417
35.156250 87.829 -133.2972
35.522461 87.869 -134.0628
35.888672 87.902 -134.8158
36.254883 87.931 -135.5333
36.621094 87.960 -136.2099
36.987305 87.991 -136.8633
37.353516 88.024 -137.5206
37.719727 88.057 -138.1954
38.085938 88.084 -138.8740
38.452148 88.106 -139.5263
38.818359 88.128 -140.1324
39.184570 88.154 -140.7041
39.550781 88.186 -141.2801
39.916992 88.222 -141.8974
40.283203 88.253 -142.5602
40.649414 88.276 -143.2338
41.015625 88.292 -143.8692
41.381836 88.306 -144.4408
41.748047 88.327 -144.9687
42.114258 88.356 -145.5064
42.480469 88.389 -146.1016
42.846680 88.416 -146.7597
43.212891 88.430 -147.4356
43.579102 88.432 -148.0606
43.945312 88.428 -148.5862
44.311523 88.431 -149.0174
44.677734 88.447 -149.4138
45.043945 88.477 -149.8538
45.410156 88.509 -150.3850
45.776367 88.532 -150.9935
46.142578 88.540 -151.6120
46.508789 88.535 -152.1617
46.875000 88.530 -152.6036
47.241211 88.536 -152.9662
47.607422 88.559 -153.3316
47.973633 88.594 -153.7839
48.339844 88.629 -154.3571
48.706055 88.651 -155.0187
49.072266 88.656 -155.6947
49.438477 88.646 -156.3145
49.804688 88.629 -156.8440
50.170898 88.615 -157.2891
50.537109 88.607 -157.6757
50.903320 88.607 -158.0284
51.269531 88.616 -158.3670
51.635742 88.635 -158.7183
52.001953 88.662 -159.1199
52.368164 88.692 -159.6041
52.734375 88.715 -160.1703
53.100586 88.725 -160.7729
53.466797 88.721 -161.3413
53.833008 88.711 -161.8250
54.199219 88.707 -162.2303
54.565430 88.714 -162.6204
54.931641 88.730 -163.0709
55.297852 88.742 -163.6128
55.664062 88.740 -164.2056
56.030273 88.719 -164.7600
56.396484 88.687 -165.1926
56.762695 88.658 -165.4780
57.128906 88.646 -165.6646
57.495117 88.655 -165.8435
57.861328 88.678 -166.0933
58.227539 88.705 -166.4397
58.593750 88.726 -166.8554
58.959961 88.738 -167.2909
59.326172 88.744 -167.7098
59.692383 88.746 -168.1041
60.058594 88.747 -168.4821
60.424805 88.745 -168.8441
60.791016 88.741 -169.1713
61.157227 88.736 -169.4411
61.523438 88.739 -169.6590
61.889648 88.757 -169.8772
62.255859 88.786 -170.1756
62.622070 88.815 -170.6081
62.988281 88.829 -171.1547
63.354492 88.818 -171.7205
63.720703 88.786 -172.1875
64.086914 88.749 -172.4922
64.453125 88.728 -172.6741
64.819336 88.728 -172.8522
65.185547 88.742 -173.1364
65.551758 88.750 -173.5446
65.917969 88.741 -173.9925
66.284180 88.717 -174.3647
66.650391 88.695 -174.6112
67.016602 88.692 -174.7941
67.382812 88.708 -175.0411
67.749023 88.727 -175.4390
68.115234 88.731 -175.9561
68.481445 88.707 -176.4600
68.847656 88.667 -176.8126
69.213867 88.633 -176.9738
69.580078 88.624 -177.0370
69.946289 88.642 -177.1620
70.312500 88.670 -177.4544
70.678711 88.685 -177.8929
71.044922 88.675 -178.3560
71.411133 88.647 -178.7151
71.777344 88.619 -178.9233
72.143555 88.608 -179.0408
72.509766 88.616 -179.1803
72.875977 88.633 -179.4215
73.242188 88.645 -179.7625
73.608398 88.645 179.8602
73.974609 88.636 179.5135
74.340820 88.624 179.2205
74.707031 88.617 178.9564
75.073242 88.613 178.6828
75.439453 88.610 178.3853
75.805664 88.603 178.0819
76.171875 88.594 177.8016
76.538086 88.586 177.5536
76.904297 88.583 177.3176
77.270508 88.584 177.0611
77.636719 88.586 176.7676
78.002930 88.582 176.4513
78.369141 88.571 176.1464
78.735352 88.557 175.8818
79.101562 88.544 175.6613
79.467773 88.535 175.4633
79.833984 88.531 175.2591
80.200195 88.529 175.0318
80.566406 88.525 174.7830
80.932617 88.519 174.5244
81.298828 88.510 174.2654
81.665039 88.499 174.0089
82.031250 88.486 173.7566
82.397461 88.471 173.5162
82.763672 88.454 173.2994
83.129883 88.440 173.1109
83.496094 88.431 172.9378
83.862305 88.429 172.7509
84.228516 88.431 172.5218
84.594727 88.431 172.2438
84.960938 88.425 171.9390
85.327148 88.413 171.6459
85.693359 88.397 171.3945
86.059570 88.384 171.1871
86.425781 88.378 170.9983
86.791992 88.377 170.7944
87.158203 88.378 170.5567
87.524414 88.376 170.2910
87.890625 88.370 170.0198
88.256836 88.361 169.7649
88.623047 88.350 169.5343
88.989258 88.339 169.3224
89.355469 88.331 169.1184
89.721680 88.323 168.9149
90.087891 88.315 168.7100
90.454102 88.307 168.5038
90.820312 88.299 168.2956
91.186523 88.290 168.0840
91.552734 88.281 167.8702
91.918945 88.270 167.6573
92.285156 88.259 167.4484
92.651367 88.249 167.2433
93.017578 88.239 167.0388
93.383789 88.229 166.8320
93.750000 88.219 166.6235
94.116211 88.209 166.4165
94.482422 88.200 166.2130
94.848633 88.191 166.0114
95.214844 88.183 165.8093
95.581055 88.175 165.6074
95.947266 88.167 165.4107
96.313477 88.160 165.2237
96.679688 88.154 165.0432
97.045898 88.151 164.8571
97.412109 88.149 164.6516
97.778320 88.145 164.4234
98.144531 88.136 164.1857
98.510742 88.122 163.9629
98.876953 88.105 163.7754
99.243164 88.089 163.6265
99.609375 88.076 163.5001
99.975586 88.068 163.3715
100.341797 88.063 163.2230
100.708008 88.057 163.0529
101.074219 88.049 162.8725
101.440430 88.040 162.6943
101.806641 88.031 162.5214
102.172852 88.022 162.3465
102.539062 88.015 162.1596
102.905273 88.007 161.9594
103.271484 87.996 161.7559
103.637695 87.984 161.5624
104.003906 87.974 161.3818
104.370117 87.966 161.1994
104.736328 87.961 160.9933
105.102539 87.952 160.7567
105.468750 87.936 160.5142
105.834961 87.913 160.3147
106.201172 87.889 160.1970
106.567383 87.875 160.1504
106.933594 87.877 160.1058
107.299805 87.891 159.9752
107.666016 87.902 159.7180
108.032227 87.896 159.3825
108.398438 87.867 159.0862
108.764648 87.825 158.9409
109.130859 87.792 158.9708
109.497070 87.786 159.0823
109.863281 87.808 159.1199
110.229492 87.841 158.9730
110.595703 87.864 158.6472
110.961914 87.861 158.2500
111.328125 87.836 157.9106
111.694336 87.803 157.6959
112.060547 87.778 157.5789
112.426758 87.766 157.4766
112.792969 87.760 157.3230
113.159180 87.752 157.1157
113.525391 87.735 156.9031
113.891602 87.714 156.7337
114.257812 87.695 156.6148
114.624023 87.684 156.5122
114.990234 87.679 156.3852
115.356445 87.673 156.2224
115.722656 87.664 156.0463
116.088867 87.651 155.8881
116.455078 87.640 155.7570
116.821289 87.633 155.6325
117.187500 87.630 155.4837
117.553711 87.625 155.2976
117.919922 87.615 155.0920
118.286133 87.598 154.9030
118.652344 87.577 154.7593
119.018555 87.560 154.6621
119.384766 87.548 154.5855
119.750977 87.543 154.4949
120.117188 87.541 154.3688
120.483398 87.537 154.2085
120.849609 87.530 154.0313
121.215820 87.519 153.8553
121.582031 87.506 153.6888
121.948242 87.492 153.5323
122.314453 87.477 153.3872
122.680664 87.460 153.2617
123.046875 87.445 153.1653
123.413086 87.434 153.0950
123.779297 87.430 153.0272
124.145508 87.432 152.9265
124.511719 87.435 152.7702
124.877930 87.432 152.5685
125.244141 87.420 152.3646
125.610352 87.401 152.2074
125.976562 87.382 152.1173
126.342773 87.372 152.0677
126.708984 87.373 152.0005
127.075195 87.378 151.8665
127.441406 87.379 151.6609
127.807617 87.368 151.4259
128.173828 87.347 151.2221
128.540039 87.321 151.0884
128.906250 87.300 151.0194
129.272461 87.288 150.9734
129.638672 87.283 150.9041
130.004883 87.281 150.7895
130.371094 87.277 150.6391
130.737305 87.268 150.4781
131.103516 87.257 150.3262
131.469727 87.245 150.1862
131.835938 87.234 150.0508
132.202148 87.222 149.9154
132.568359 87.209 149.7865
132.934570 87.196 149.6764
133.300781 87.184 149.5891
133.666992 87.178 149.5110
134.033203 87.177 149.4158
134.399414 87.178 149.2811
134.765625 87.176 149.1071
135.131836 87.167 148.9200
135.498047 87.152 148.7570
135.864258 87.135 148.6413
136.230469 87.123 148.5641
136.596680 87.118 148.4882
136.962891 87.119 148.3732
137.329102 87.117 148.2045
137.695312 87.108 148.0048
138.061523 87.091 147.8202
138.427734 87.068 147.6883
138.793945 87.048 147.6141
139.160156 87.035 147.5671
139.526367 87.029 147.5052
139.892578 87.026 147.4038
140.258789 87.021 147.2704
140.625000 87.010 147.1329
140.991211 86.998 147.0157
141.357422 86.987 146.9204
141.723633 86.980 146.8277
142.089844 86.976 146.7151
142.456055 86.970 146.5759
142.822266 86.962 146.4225
143.188477 86.950 146.2750
143.554688 86.937 146.1445
143.920898 86.925 146.0273
144.287109 86.913 145.9130
144.653320 86.902 145.7969
145.019531 86.890 145.6855
145.385742 86.878 145.5881
145.751953 86.868 145.5041
146.118164 86.862 145.4190
146.484375 86.858 145.3160
146.850586 86.853 145.1917
147.216797 86.845 145.0630
147.583008 86.834 144.9546
147.949219 86.825 144.8753
148.315430 86.823 144.8049
148.681641 86.826 144.7040
