* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -36.8 dBFS, measurement signal peak level -26.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0372 ms (-13 mm, -0.5 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Arete 75ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.758 -110.3147
1.015000 45.157 -109.1402
1.030000 45.549 -108.0640
1.044000 45.904 -107.1554
1.060000 46.298 -106.2393
1.075000 46.652 -105.5074
1.090000 46.989 -104.9069
1.106000 47.329 -104.4216
1.120000 47.623 -104.1369
1.138000 47.996 -103.9526
1.150000 48.243 -103.9358
1.172000 48.692 -104.1063
1.180000 48.853 -104.2280
1.206000 49.373 -104.8196
1.220000 49.649 -105.2494
1.241000 50.059 -106.0182
1.250000 50.233 -106.3875
1.265000 50.520 -107.0485
1.280000 50.804 -107.7576
1.315000 51.455 -109.5445
1.320000 51.547 -109.8095
1.340000 51.910 -110.8797
1.360000 52.267 -111.9484
1.380000 52.619 -112.9924
1.400000 52.964 -113.9883
1.430000 53.471 -115.3416
1.450000 53.801 -116.1161
1.475000 54.204 -116.9167
1.500000 54.595 -117.6569
1.525000 54.975 -118.3747
1.550000 55.344 -119.0743
1.575000 55.702 -119.7601
1.600000 56.051 -120.4365
1.625000 56.392 -121.1077
1.650000 56.724 -121.7783
1.675000 57.050 -122.4524
1.700000 57.369 -123.1345
1.725000 57.683 -123.8289
1.750000 57.992 -124.5400
1.775000 58.298 -125.2720
1.800000 58.600 -126.0294
1.825000 58.900 -126.8165
1.850000 59.196 -127.6368
1.875000 59.487 -128.4884
1.900000 59.771 -129.3670
1.925000 60.049 -130.2684
1.950000 60.322 -131.1884
1.975000 60.589 -132.1228
2.000000 60.852 -133.0674
2.030000 61.161 -134.2084
2.060000 61.464 -135.3507
2.090000 61.761 -136.4871
2.120000 62.054 -137.6102
2.140000 62.247 -138.3480
2.180000 62.628 -139.7876
2.200000 62.817 -140.4853
2.240000 63.186 -141.8575
2.270000 63.457 -142.8747
2.300000 63.721 -143.8819
2.330000 63.980 -144.8793
2.360000 64.235 -145.8672
2.400000 64.567 -147.1698
2.430000 64.811 -148.1362
2.470000 65.131 -149.4111
2.500000 65.366 -150.3573
2.540000 65.676 -151.6060
2.580000 65.981 -152.8396
2.620000 66.279 -154.0502
2.650000 66.498 -154.9439
2.690000 66.783 -156.1193
2.720000 66.993 -156.9907
2.760000 67.267 -158.1421
2.800000 67.536 -159.2849
2.850000 67.865 -160.7067
2.900000 68.188 -162.1280
2.950000 68.504 -163.5562
3.000000 68.812 -164.9963
3.040000 69.053 -166.1516
3.070000 69.230 -167.0164
3.110000 69.462 -168.1634
3.150000 69.690 -169.2987
3.200000 69.969 -170.6935
3.250000 70.242 -172.0520
3.300000 70.511 -173.3641
3.350000 70.774 -174.6234
3.400000 71.031 -175.8372
3.450000 71.282 -177.0160
3.500000 71.527 -178.1706
3.550000 71.767 -179.3115
3.600000 72.003 179.5507
3.650000 72.235 178.4054
3.700000 72.463 177.2458
3.750000 72.685 176.0799
3.820000 72.989 174.4500
3.870000 73.201 173.2968
3.950000 73.532 171.4893
4.000000 73.735 170.3937
4.060000 73.974 169.1239
4.120000 74.207 167.9007
4.180000 74.435 166.7139
4.250000 74.695 165.3616
4.310000 74.912 164.2186
4.370000 75.126 163.0797
4.440000 75.371 161.7471
4.500000 75.575 160.6096
4.550000 75.743 159.6686
4.620000 75.972 158.3666
4.680000 76.165 157.2693
4.750000 76.385 156.0166
4.820000 76.602 154.7979
4.870000 76.753 153.9465
4.940000 76.960 152.7768
5.000000 77.135 151.7910
5.080000 77.363 150.4945
5.150000 77.558 149.3714
5.220000 77.750 148.2621
5.300000 77.963 147.0137
5.380000 78.172 145.7858
5.450000 78.351 144.7282
5.520000 78.527 143.6863
5.600000 78.724 142.5162
5.700000 78.963 141.0825
5.800000 79.196 139.6780
5.900000 79.424 138.3002
6.000000 79.646 136.9527
6.080000 79.818 135.8944
6.150000 79.967 134.9804
6.220000 80.113 134.0756
6.300000 80.277 133.0526
6.400000 80.477 131.7930
6.500000 80.671 130.5550
6.600000 80.862 129.3386
6.700000 81.047 128.1459
6.800000 81.228 126.9754
6.900000 81.404 125.8230
7.000000 81.577 124.6853
7.100000 81.745 123.5636
7.200000 81.909 122.4587
7.300000 82.069 121.3706
7.400000 82.226 120.3003
7.500000 82.379 119.2481
7.620000 82.557 118.0057
7.750000 82.746 116.6810
7.880000 82.929 115.3799
8.000000 83.093 114.1987
8.120000 83.253 113.0353
8.250000 83.422 111.7963
8.380000 83.586 110.5767
8.500000 83.734 109.4662
8.620000 83.878 108.3714
8.750000 84.029 107.2016
8.850000 84.143 106.3122
9.000000 84.310 104.9962
9.120000 84.439 103.9585
9.250000 84.576 102.8493
9.380000 84.709 101.7560
9.500000 84.828 100.7600
9.620000 84.945 99.7765
9.750000 85.068 98.7255
9.880000 85.188 97.6885
10.000000 85.297 96.7440
10.150000 85.430 95.5802
10.300000 85.559 94.4314
10.440000 85.677 93.3734
10.600000 85.809 92.1785
10.750000 85.929 91.0701
10.900000 86.046 89.9736
11.060000 86.168 88.8139
11.200000 86.272 87.8076
11.380000 86.401 86.5267
11.500000 86.485 85.6803
11.720000 86.632 84.1476
11.800000 86.684 83.5973
12.060000 86.845 81.8359
12.200000 86.928 80.9091
12.410000 87.047 79.5476
12.500000 87.097 78.9763
12.650000 87.178 78.0403
12.800000 87.258 77.1236
13.150000 87.437 75.0602
13.200000 87.463 74.7726
13.400000 87.563 73.6416
13.600000 87.663 72.5319
13.800000 87.762 71.4409
14.000000 87.860 70.3605
14.300000 88.004 68.7549
14.500000 88.098 67.6886
14.750000 88.212 66.3595
15.000000 88.321 65.0346
15.250000 88.423 63.7178
15.500000 88.518 62.4163
15.750000 88.607 61.1348
16.000000 88.689 59.8812
16.250000 88.766 58.6600
16.500000 88.838 57.4719
16.750000 88.908 56.3167
17.000000 88.975 55.1875
17.250000 89.040 54.0790
17.500000 89.104 52.9842
17.750000 89.165 51.8963
18.000000 89.223 50.8148
18.250000 89.278 49.7395
18.500000 89.328 48.6771
18.750000 89.374 47.6334
19.000000 89.416 46.6138
19.250000 89.456 45.6236
19.500000 89.496 44.6602
19.750000 89.535 43.7207
20.000000 89.576 42.7949
20.299999 89.627 41.6876
20.600000 89.679 40.5717
20.900000 89.728 39.4396
21.200001 89.773 38.2941
21.400000 89.799 37.5316
21.799999 89.842 36.0318
22.000000 89.860 35.3059
22.400000 89.890 33.9188
22.700001 89.913 32.9326
23.000000 89.938 31.9778
23.299999 89.965 31.0342
23.600000 89.993 30.0885
24.000000 90.026 28.8188
24.299999 90.046 27.8720
24.700001 90.066 26.6437
25.000000 90.078 25.7596
25.400000 90.094 24.6221
25.799999 90.112 23.4947
26.200001 90.128 22.3438
26.500000 90.135 21.4695
26.900000 90.133 20.3244
27.200001 90.127 19.5118
27.600000 90.119 18.5046
28.000000 90.123 17.5414
28.500000 90.143 16.2646
29.000000 90.158 14.8103
29.500000 90.141 13.2676
30.000000 90.090 11.8572
30.400000 90.043 10.9151
30.700001 90.015 10.3035
31.100000 89.992 9.5406
31.500000 89.985 8.7646
32.000000 89.981 7.7322
32.500000 89.972 6.6780
33.000000 89.960 5.6625
33.500000 89.951 4.6760
34.000000 89.942 3.6747
34.500000 89.928 2.6553
35.000000 89.903 1.6569
35.500000 89.873 0.7058
36.000000 89.843 -0.2163
36.500000 89.809 -1.1367
37.000000 89.770 -2.0513
37.500000 89.725 -2.9318
38.200001 89.662 -4.0907
38.700001 89.622 -4.8994
39.500000 89.561 -6.2229
40.000000 89.521 -7.0536
40.599998 89.471 -8.0276
41.200001 89.422 -8.9795
41.799999 89.372 -9.9172
42.500000 89.310 -10.9762
43.099998 89.253 -11.8396
43.700001 89.195 -12.6645
44.400002 89.125 -13.5769
45.000000 89.065 -14.3218
45.500000 89.017 -14.9398
46.200001 88.946 -15.8214
46.799999 88.881 -16.5720
47.500000 88.807 -17.4409
48.200001 88.731 -18.3634
48.700001 88.668 -19.0374
49.400002 88.567 -19.8778
50.000000 88.489 -20.4665
50.799999 88.413 -21.2354
51.500000 88.354 -21.9978
52.200001 88.287 -22.7577
53.000000 88.209 -23.5582
53.799999 88.131 -24.3391
54.500000 88.056 -24.9951
55.200001 87.978 -25.5951
56.000000 87.890 -26.2395
57.000000 87.783 -27.0615
58.000000 87.671 -27.9349
59.000000 87.550 -28.8046
60.000000 87.426 -29.6223
60.799999 87.331 -30.2397
61.500000 87.252 -30.7624
62.200001 87.176 -31.2786
63.000000 87.089 -31.8599
64.000000 86.979 -32.5598
65.000000 86.864 -33.2110
66.000000 86.748 -33.8061
67.000000 86.633 -34.3739
68.000000 86.517 -34.9298
69.000000 86.402 -35.4751
70.000000 86.289 -36.0156
71.000000 86.176 -36.5471
72.000000 86.065 -37.0588
73.000000 85.956 -37.5500
74.000000 85.848 -38.0235
75.000000 85.737 -38.4727
76.199997 85.602 -38.9714
77.500000 85.456 -39.4542
78.800003 85.313 -39.9171
80.000000 85.183 -40.3462
81.199997 85.054 -40.7640
82.500000 84.915 -41.1942
83.800003 84.780 -41.6031
85.000000 84.656 -41.9663
86.199997 84.531 -42.2940
87.500000 84.396 -42.6057
88.500000 84.294 -42.8223
90.000000 84.143 -43.1258
91.199997 84.022 -43.3619
92.500000 83.893 -43.6157
93.800003 83.763 -43.8710
95.000000 83.644 -44.0958
96.199997 83.528 -44.3099
97.500000 83.405 -44.5334
98.800003 83.283 -44.7496
100.000000 83.166 -44.9097
101.500000 83.022 -45.0076
103.000000 82.888 -45.0906
104.400002 82.764 -45.1814
106.000000 82.622 -45.2802
107.500000 82.489 -45.3674
109.000000 82.358 -45.4368
110.599998 82.220 -45.4802
112.000000 82.102 -45.5000
113.800003 81.953 -45.5169
115.000000 81.855 -45.5264
117.199997 81.677 -45.5334
118.000000 81.612 -45.5253
120.599998 81.407 -45.4463
122.000000 81.301 -45.3927
124.099998 81.142 -45.3003
125.000000 81.074 -45.2479
126.500000 80.963 -45.1473
128.000000 80.853 -45.0336
131.500000 80.606 -44.7560
132.000000 80.572 -44.7167
134.000000 80.439 -44.5445
136.000000 80.311 -44.3655
138.000000 80.182 -44.1771
140.000000 80.054 -43.9795
143.000000 79.867 -43.6197
145.000000 79.748 -43.3267
147.500000 79.590 -42.8969
150.000000 79.445 -42.4374
152.500000 79.314 -42.2047
155.000000 79.183 -41.9688
157.500000 79.059 -41.6367
160.000000 78.935 -41.2528
162.500000 78.812 -40.8591
165.000000 78.693 -40.4548
167.500000 78.577 -40.0285
170.000000 78.466 -39.5950
172.500000 78.359 -39.1747
175.000000 78.254 -38.7560
177.500000 78.152 -38.3303
180.000000 78.054 -37.8866
182.500000 77.960 -37.4280
185.000000 77.870 -36.9758
187.500000 77.783 -36.5511
190.000000 77.696 -36.1382
192.500000 77.610 -35.7047
195.000000 77.529 -35.2481
197.500000 77.456 -34.8019
200.000000 77.382 -34.3629
203.000000 77.290 -33.8105
206.000000 77.200 -33.2644
209.000000 77.117 -32.7274
212.000000 77.039 -32.1961
214.000000 76.987 -31.8458
218.000000 76.887 -31.1529
220.000000 76.840 -30.8051
224.000000 76.750 -30.1007
227.000000 76.686 -29.5802
230.000000 76.625 -29.0725
233.000000 76.565 -28.5726
236.000000 76.505 -28.0726
240.000000 76.431 -27.3915
243.000000 76.377 -26.8764
247.000000 76.294 -26.1931
250.000000 76.239 -25.7002
254.000000 76.192 -25.1077
258.000000 76.144 -24.4998
262.000000 76.089 -23.8706
265.000000 76.048 -23.4130
269.000000 75.994 -22.8004
272.000000 75.956 -22.3482
276.000000 75.908 -21.7586
280.000000 75.865 -21.1728
285.000000 75.815 -20.4461
