* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -35.8 dBFS, measurement signal peak level -27.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:06:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0407 ms (-14 mm, -0.55 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Arete 75ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.643 -86.0489
1.015000 41.256 -84.6622
1.030000 41.849 -83.4227
1.044000 42.381 -82.4079
1.060000 42.957 -81.4268
1.075000 43.464 -80.6909
1.090000 43.933 -80.1432
1.106000 44.390 -79.7859
1.120000 44.774 -79.7101
1.138000 45.253 -79.9266
1.150000 45.563 -80.2526
1.172000 46.112 -81.1914
1.180000 46.307 -81.6330
1.206000 46.919 -83.3912
1.220000 47.237 -84.5178
1.241000 47.701 -86.4021
1.250000 47.895 -87.2701
1.265000 48.212 -88.7823
1.280000 48.523 -90.3603
1.315000 49.223 -94.1926
1.320000 49.320 -94.7470
1.340000 49.705 -96.9546
1.360000 50.082 -99.1123
1.380000 50.453 -101.1758
1.400000 50.819 -103.1006
1.430000 51.360 -105.6306
1.450000 51.718 -107.0142
1.475000 52.163 -108.3509
1.500000 52.595 -109.4396
1.525000 53.010 -110.3546
1.550000 53.411 -111.1206
1.575000 53.799 -111.7625
1.600000 54.174 -112.3051
1.625000 54.538 -112.7732
1.650000 54.892 -113.1918
1.675000 55.238 -113.5855
1.700000 55.576 -113.9792
1.725000 55.907 -114.3978
1.750000 56.234 -114.8661
1.775000 56.556 -115.4088
1.800000 56.876 -116.0509
1.825000 57.194 -116.8172
1.850000 57.510 -117.7102
1.875000 57.818 -118.6838
1.900000 58.119 -119.7251
1.925000 58.413 -120.8233
1.950000 58.701 -121.9675
1.975000 58.983 -123.1469
2.000000 59.260 -124.3504
2.030000 59.584 -125.8114
2.060000 59.903 -127.2729
2.090000 60.215 -128.7161
2.120000 60.522 -130.1222
2.140000 60.725 -131.0297
2.180000 61.124 -132.7480
2.200000 61.322 -133.5479
2.240000 61.710 -135.0715
2.270000 61.993 -136.1685
2.300000 62.269 -137.2308
2.330000 62.540 -138.2627
2.360000 62.806 -139.2682
2.400000 63.152 -140.5751
2.430000 63.407 -141.5352
2.470000 63.740 -142.7966
2.500000 63.986 -143.7338
2.540000 64.309 -144.9796
2.580000 64.627 -146.2255
2.620000 64.937 -147.4408
2.650000 65.164 -148.3308
2.690000 65.461 -149.4949
2.720000 65.679 -150.3554
2.760000 65.964 -151.4919
2.800000 66.243 -152.6230
2.850000 66.584 -154.0411
2.900000 66.919 -155.4777
2.950000 67.247 -156.9490
3.000000 67.567 -158.4694
3.040000 67.816 -159.7087
3.070000 68.000 -160.6436
3.110000 68.240 -161.8878
3.150000 68.476 -163.1181
3.200000 68.765 -164.6179
3.250000 69.048 -166.0533
3.300000 69.327 -167.4006
3.350000 69.599 -168.6436
3.400000 69.865 -169.7994
3.450000 70.124 -170.8939
3.500000 70.378 -171.9530
3.550000 70.626 -173.0026
3.600000 70.870 -174.0685
3.650000 71.110 -175.1765
3.700000 71.346 -176.3443
3.750000 71.577 -177.5551
3.820000 71.891 -179.2861
3.870000 72.111 179.4771
3.950000 72.453 177.5493
4.000000 72.663 176.4053
4.060000 72.911 175.1222
4.120000 73.152 173.9268
4.180000 73.389 172.7935
4.250000 73.658 171.5164
4.310000 73.884 170.4318
4.370000 74.105 169.3300
4.440000 74.359 167.9995
4.500000 74.572 166.8376
4.550000 74.745 165.8650
4.620000 74.984 164.5116
4.680000 75.184 163.3728
4.750000 75.414 162.0871
4.820000 75.639 160.8589
4.870000 75.797 160.0099
4.940000 76.013 158.8508
5.000000 76.195 157.8758
5.080000 76.433 156.5874
5.150000 76.638 155.4583
5.220000 76.838 154.3329
5.300000 77.062 153.0586
5.380000 77.280 151.8004
5.450000 77.468 150.7155
5.520000 77.653 149.6480
5.600000 77.859 148.4485
5.700000 78.111 146.9764
5.800000 78.356 145.5318
5.900000 78.595 144.1120
6.000000 78.828 142.7220
6.080000 79.009 141.6281
6.150000 79.165 140.6808
6.220000 79.318 139.7402
6.300000 79.490 138.6714
6.400000 79.699 137.3484
6.500000 79.903 136.0454
6.600000 80.102 134.7682
6.700000 80.295 133.5202
6.800000 80.483 132.2971
6.900000 80.667 131.0929
7.000000 80.846 129.9020
7.100000 81.020 128.7249
7.200000 81.190 127.5652
7.300000 81.356 126.4265
7.400000 81.519 125.3121
7.500000 81.677 124.2208
7.620000 81.863 122.9352
7.750000 82.060 121.5641
7.880000 82.251 120.2187
8.000000 82.424 118.9975
8.120000 82.593 117.7942
8.250000 82.772 116.5132
8.380000 82.947 115.2499
8.500000 83.105 114.0953
8.620000 83.259 112.9535
8.750000 83.421 111.7302
8.850000 83.543 110.7976
9.000000 83.720 109.4125
9.120000 83.858 108.3198
9.250000 84.002 107.1535
9.380000 84.141 106.0042
9.500000 84.267 104.9612
9.620000 84.388 103.9368
9.750000 84.516 102.8469
9.880000 84.641 101.7790
10.000000 84.754 100.8150
10.150000 84.893 99.6366
10.300000 85.029 98.4786
10.440000 85.155 97.4188
10.600000 85.296 96.2224
10.750000 85.428 95.1084
10.900000 85.557 94.0026
11.060000 85.692 92.8202
11.200000 85.808 91.7835
11.380000 85.950 90.4525
11.500000 86.042 89.5638
11.720000 86.200 87.9481
11.800000 86.254 87.3686
12.060000 86.419 85.5188
12.200000 86.502 84.5620
12.410000 86.620 83.1775
12.500000 86.670 82.6068
12.650000 86.751 81.6873
12.800000 86.832 80.7973
13.150000 87.028 78.8175
13.200000 87.057 78.5378
13.400000 87.175 77.4291
13.600000 87.294 76.3039
13.800000 87.415 75.1487
14.000000 87.531 73.9594
14.300000 87.692 72.1181
14.500000 87.787 70.8729
14.750000 87.891 69.3420
15.000000 87.980 67.8634
15.250000 88.058 66.4762
15.500000 88.133 65.1778
15.750000 88.208 63.9593
16.000000 88.288 62.7904
16.250000 88.371 61.6314
16.500000 88.457 60.4645
16.750000 88.541 59.2698
17.000000 88.618 58.0598
17.250000 88.688 56.8502
17.500000 88.749 55.6631
17.750000 88.804 54.5228
18.000000 88.855 53.4314
18.250000 88.906 52.3901
18.500000 88.960 51.3776
18.750000 89.016 50.3776
19.000000 89.074 49.3746
19.250000 89.131 48.3561
19.500000 89.185 47.3270
19.750000 89.235 46.2917
20.000000 89.279 45.2655
20.299999 89.327 44.0591
20.600000 89.370 42.8877
20.900000 89.411 41.7506
21.200001 89.452 40.6380
21.400000 89.479 39.9034
21.799999 89.530 38.4457
22.000000 89.554 37.7220
22.400000 89.597 36.2905
22.700001 89.625 35.2385
23.000000 89.650 34.2109
23.299999 89.674 33.2081
23.600000 89.696 32.2280
24.000000 89.725 30.9499
24.299999 89.746 30.0063
24.700001 89.773 28.7597
25.000000 89.791 27.8296
25.400000 89.812 26.5961
25.799999 89.828 25.3793
26.200001 89.838 24.1938
26.500000 89.844 23.3315
26.900000 89.850 22.2159
27.200001 89.855 21.3966
27.600000 89.861 20.3132
28.000000 89.866 19.2301
28.500000 89.866 17.8859
29.000000 89.858 16.5827
29.500000 89.848 15.3362
30.000000 89.838 14.1280
30.400000 89.830 13.1702
30.700001 89.823 12.4543
31.100000 89.811 11.5104
31.500000 89.796 10.5891
32.000000 89.777 9.4737
32.500000 89.759 8.3821
33.000000 89.740 7.2947
33.500000 89.718 6.2151
34.000000 89.692 5.1625
34.500000 89.664 4.1434
35.000000 89.636 3.1454
35.500000 89.606 2.1604
36.000000 89.572 1.2016
36.500000 89.538 0.2829
37.000000 89.507 -0.6097
37.500000 89.479 -1.5111
38.200001 89.434 -2.8144
38.700001 89.391 -3.7373
39.500000 89.314 -5.1004
40.000000 89.268 -5.8858
40.599998 89.218 -6.8070
41.200001 89.170 -7.7352
41.799999 89.119 -8.6630
42.500000 89.056 -9.7191
43.099998 89.001 -10.5960
43.700001 88.944 -11.4562
44.400002 88.875 -12.4412
45.000000 88.812 -13.2574
45.500000 88.759 -13.9110
46.200001 88.684 -14.7907
46.799999 88.624 -15.5344
47.500000 88.555 -16.4374
48.200001 88.475 -17.3780
48.700001 88.407 -18.0123
49.400002 88.310 -18.7577
50.000000 88.243 -19.3097
50.799999 88.177 -20.1283
51.500000 88.114 -20.9501
52.200001 88.040 -21.7346
53.000000 87.959 -22.5552
53.799999 87.881 -23.3867
54.500000 87.804 -24.0984
55.200001 87.725 -24.7524
56.000000 87.636 -25.4622
57.000000 87.523 -26.3207
58.000000 87.410 -27.1274
59.000000 87.301 -27.9474
60.000000 87.188 -28.7899
60.799999 87.093 -29.4316
61.500000 87.012 -29.9633
62.200001 86.934 -30.4831
63.000000 86.846 -31.0759
64.000000 86.731 -31.7987
65.000000 86.614 -32.4519
66.000000 86.500 -33.0407
67.000000 86.392 -33.6212
68.000000 86.282 -34.2104
69.000000 86.168 -34.7862
70.000000 86.052 -35.3263
71.000000 85.939 -35.8450
72.000000 85.825 -36.3528
73.000000 85.712 -36.8373
74.000000 85.602 -37.3052
75.000000 85.492 -37.7673
76.199997 85.360 -38.3071
77.500000 85.217 -38.8419
78.800003 85.080 -39.3418
80.000000 84.955 -39.7970
81.199997 84.828 -40.2323
82.500000 84.687 -40.6764
83.800003 84.545 -41.0708
85.000000 84.418 -41.4024
86.199997 84.295 -41.7366
87.500000 84.161 -42.0912
88.500000 84.059 -42.3438
90.000000 83.909 -42.6947
91.199997 83.789 -42.9561
92.500000 83.660 -43.2192
93.800003 83.529 -43.4544
95.000000 83.410 -43.6531
96.199997 83.293 -43.8508
97.500000 83.168 -44.0672
98.800003 83.043 -44.2808
100.000000 82.928 -44.4523
101.500000 82.788 -44.6059
103.000000 82.654 -44.7355
104.400002 82.529 -44.8462
106.000000 82.385 -44.9548
107.500000 82.250 -45.0437
109.000000 82.117 -45.1178
110.599998 81.980 -45.1853
112.000000 81.861 -45.2284
113.800003 81.710 -45.2515
115.000000 81.610 -45.2517
117.199997 81.429 -45.2400
118.000000 81.364 -45.2292
120.599998 81.161 -45.1786
122.000000 81.055 -45.1431
124.099998 80.898 -45.0714
125.000000 80.830 -45.0310
126.500000 80.717 -44.9499
128.000000 80.608 -44.8644
131.500000 80.359 -44.6462
132.000000 80.324 -44.6064
134.000000 80.189 -44.4358
136.000000 80.054 -44.2334
138.000000 79.920 -44.0122
140.000000 79.787 -43.7991
143.000000 79.599 -43.4720
145.000000 79.483 -43.2027
147.500000 79.343 -42.7491
150.000000 79.213 -42.3264
152.500000 79.060 -42.0816
155.000000 78.906 -41.7905
157.500000 78.771 -41.4576
160.000000 78.645 -41.0798
162.500000 78.519 -40.6822
165.000000 78.395 -40.2831
167.500000 78.275 -39.8588
170.000000 78.162 -39.4338
172.500000 78.051 -39.0184
175.000000 77.942 -38.5927
177.500000 77.840 -38.1533
180.000000 77.741 -37.7112
182.500000 77.644 -37.2625
185.000000 77.549 -36.8003
187.500000 77.457 -36.3348
190.000000 77.368 -35.8731
192.500000 77.281 -35.4244
195.000000 77.197 -34.9976
197.500000 77.114 -34.5979
200.000000 77.031 -34.1589
203.000000 76.940 -33.5468
206.000000 76.856 -32.9664
209.000000 76.773 -32.4270
212.000000 76.694 -31.8735
214.000000 76.644 -31.4931
218.000000 76.545 -30.7418
220.000000 76.496 -30.3759
224.000000 76.400 -29.6650
227.000000 76.332 -29.1450
230.000000 76.268 -28.6122
233.000000 76.207 -28.0613
236.000000 76.148 -27.5132
240.000000 76.073 -26.8084
243.000000 76.021 -26.2841
247.000000 75.953 -25.5045
250.000000 75.903 -24.9347
254.000000 75.835 -24.3357
258.000000 75.772 -23.7378
262.000000 75.713 -23.1087
265.000000 75.671 -22.6459
269.000000 75.620 -22.0164
272.000000 75.585 -21.5375
276.000000 75.537 -20.9078
280.000000 75.490 -20.2865
285.000000 75.437 -19.5232
