* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.7 dBFS, measurement signal peak level -24.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:04:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0302 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Arete L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.490 -107.4489
1.015000 43.884 -106.5674
1.030000 44.270 -105.7729
1.044000 44.621 -105.1155
1.060000 45.012 -104.4705
1.075000 45.364 -103.9755
1.090000 45.703 -103.5931
1.106000 46.048 -103.3199
1.120000 46.344 -103.2147
1.138000 46.719 -103.2559
1.150000 46.966 -103.3856
1.172000 47.413 -103.8166
1.180000 47.573 -104.0302
1.206000 48.086 -104.9093
1.220000 48.358 -105.4863
1.241000 48.759 -106.4654
1.250000 48.930 -106.9208
1.265000 49.210 -107.7193
1.280000 49.488 -108.5585
1.315000 50.123 -110.6180
1.320000 50.212 -110.9183
1.340000 50.566 -112.1195
1.360000 50.915 -113.3029
1.380000 51.259 -114.4445
1.400000 51.598 -115.5202
1.430000 52.099 -116.9577
1.450000 52.427 -117.7635
1.475000 52.831 -118.5719
1.500000 53.226 -119.2664
1.525000 53.610 -119.8868
1.550000 53.986 -120.4451
1.575000 54.352 -120.9531
1.600000 54.710 -121.4223
1.625000 55.060 -121.8647
1.650000 55.403 -122.2920
1.675000 55.740 -122.7160
1.700000 56.071 -123.1484
1.725000 56.397 -123.6010
1.750000 56.717 -124.0856
1.775000 57.034 -124.6140
1.800000 57.348 -125.1978
1.825000 57.658 -125.8490
1.850000 57.965 -126.5711
1.875000 58.265 -127.3471
1.900000 58.560 -128.1694
1.925000 58.849 -129.0309
1.950000 59.132 -129.9247
1.975000 59.410 -130.8438
2.000000 59.684 -131.7812
2.030000 60.006 -132.9205
2.060000 60.322 -134.0641
2.090000 60.633 -135.2000
2.120000 60.939 -136.3160
2.140000 61.140 -137.0430
2.180000 61.537 -138.4403
2.200000 61.734 -139.1035
2.240000 62.119 -140.3892
2.270000 62.400 -141.3311
2.300000 62.676 -142.2560
2.330000 62.946 -143.1658
2.360000 63.212 -144.0624
2.400000 63.558 -145.2406
2.430000 63.812 -146.1138
2.470000 64.145 -147.2678
2.500000 64.391 -148.1280
2.540000 64.713 -149.2716
2.580000 65.030 -150.4134
2.620000 65.339 -151.5402
2.650000 65.565 -152.3746
2.690000 65.860 -153.4754
2.720000 66.077 -154.2940
2.760000 66.361 -155.3784
2.800000 66.639 -156.4578
2.850000 66.978 -157.8047
2.900000 67.310 -159.1546
2.950000 67.635 -160.5150
3.000000 67.950 -161.8974
3.040000 68.196 -163.0127
3.070000 68.377 -163.8500
3.110000 68.613 -164.9619
3.150000 68.845 -166.0623
3.200000 69.128 -167.4105
3.250000 69.406 -168.7157
3.300000 69.678 -169.9640
3.350000 69.944 -171.1473
3.400000 70.202 -172.2759
3.450000 70.454 -173.3636
3.500000 70.700 -174.4245
3.550000 70.940 -175.4724
3.600000 71.176 -176.5213
3.650000 71.408 -177.5852
3.700000 71.636 -178.6734
3.750000 71.858 -179.7767
3.820000 72.161 178.6725
3.870000 72.371 177.5738
3.950000 72.701 175.8590
4.000000 72.902 174.8297
4.060000 73.140 173.6526
4.120000 73.373 172.5356
4.180000 73.600 171.4637
4.250000 73.858 170.2498
4.310000 74.076 169.2231
4.370000 74.290 168.1933
4.440000 74.535 166.9745
4.500000 74.740 165.9272
4.550000 74.909 165.0578
4.620000 75.140 163.8525
4.680000 75.335 162.8366
4.750000 75.558 161.6794
4.820000 75.777 160.5590
4.870000 75.931 159.7787
4.940000 76.143 158.7079
5.000000 76.321 157.8044
5.080000 76.554 156.6109
5.150000 76.753 155.5687
5.220000 76.949 154.5321
5.300000 77.168 153.3588
5.380000 77.382 152.2000
5.450000 77.565 151.1995
5.520000 77.745 150.2130
5.600000 77.946 149.1013
5.700000 78.190 147.7347
5.800000 78.428 146.3939
5.900000 78.659 145.0794
6.000000 78.883 143.7924
6.080000 79.058 142.7811
6.150000 79.207 141.9086
6.220000 79.355 141.0467
6.300000 79.520 140.0739
6.400000 79.720 138.8774
6.500000 79.916 137.7051
6.600000 80.108 136.5592
6.700000 80.295 135.4431
6.800000 80.477 134.3536
6.900000 80.656 133.2845
7.000000 80.832 132.2303
7.100000 81.004 131.1940
7.200000 81.172 130.1755
7.300000 81.338 129.1735
7.400000 81.501 128.1885
7.500000 81.660 127.2218
7.620000 81.848 126.0800
7.750000 82.047 124.8584
7.880000 82.241 123.6550
8.000000 82.416 122.5603
8.120000 82.586 121.4802
8.250000 82.766 120.3271
8.380000 82.941 119.1915
8.500000 83.099 118.1583
8.620000 83.252 117.1394
8.750000 83.414 116.0530
8.850000 83.535 115.2303
9.000000 83.711 114.0166
9.120000 83.849 113.0641
9.250000 83.994 112.0520
9.380000 84.135 111.0599
9.500000 84.262 110.1607
9.620000 84.387 109.2773
9.750000 84.519 108.3383
9.880000 84.648 107.4160
10.000000 84.765 106.5796
10.150000 84.908 105.5536
10.300000 85.049 104.5438
10.440000 85.178 103.6166
10.600000 85.322 102.5714
10.750000 85.454 101.6030
10.900000 85.583 100.6460
11.060000 85.718 99.6328
11.200000 85.833 98.7532
11.380000 85.977 97.6313
11.500000 86.070 96.8882
11.720000 86.234 95.5395
11.800000 86.291 95.0539
12.060000 86.471 93.4960
12.200000 86.563 92.6752
12.410000 86.695 91.4687
12.500000 86.750 90.9635
12.650000 86.838 90.1366
12.800000 86.925 89.3292
13.150000 87.120 87.5244
13.200000 87.147 87.2738
13.400000 87.256 86.2920
13.600000 87.364 85.3293
13.800000 87.472 84.3821
14.000000 87.579 83.4387
14.300000 87.738 82.0250
14.500000 87.840 81.0775
14.750000 87.962 79.8939
15.000000 88.077 78.7161
15.250000 88.185 77.5593
15.500000 88.287 76.4356
15.750000 88.383 75.3510
16.000000 88.477 74.3098
16.250000 88.570 73.3031
16.500000 88.663 72.3230
16.750000 88.757 71.3563
17.000000 88.849 70.3908
17.250000 88.940 69.4239
17.500000 89.028 68.4531
17.750000 89.110 67.4882
18.000000 89.187 66.5374
18.250000 89.258 65.6103
18.500000 89.327 64.7163
18.750000 89.393 63.8546
19.000000 89.458 63.0242
19.250000 89.524 62.2141
19.500000 89.590 61.4139
19.750000 89.656 60.6157
20.000000 89.721 59.8107
20.299999 89.795 58.8387
20.600000 89.863 57.8687
20.900000 89.923 56.9157
21.200001 89.978 55.9974
21.400000 90.012 55.4102
21.799999 90.080 54.2907
22.000000 90.114 53.7518
22.400000 90.186 52.6920
22.700001 90.241 51.8935
23.000000 90.296 51.0811
23.299999 90.346 50.2592
23.600000 90.392 49.4385
24.000000 90.446 48.3672
24.299999 90.484 47.5923
24.700001 90.531 46.5980
25.000000 90.567 45.8729
25.400000 90.614 44.9193
25.799999 90.660 43.9729
26.200001 90.703 43.0370
26.500000 90.733 42.3470
26.900000 90.770 41.4466
27.200001 90.796 40.7863
27.600000 90.828 39.9254
28.000000 90.857 39.0911
28.500000 90.892 38.0960
29.000000 90.929 37.1502
29.500000 90.971 36.2167
30.000000 91.016 35.2455
30.400000 91.047 34.4312
30.700001 91.066 33.8091
31.100000 91.082 32.9919
31.500000 91.092 32.2140
32.000000 91.102 31.3139
32.500000 91.115 30.4752
33.000000 91.133 29.6558
33.500000 91.154 28.8271
34.000000 91.173 27.9886
34.500000 91.189 27.1597
35.000000 91.201 26.3569
35.500000 91.213 25.5821
36.000000 91.225 24.8267
36.500000 91.236 24.0875
37.000000 91.245 23.3700
37.500000 91.254 22.6734
38.200001 91.267 21.7010
38.700001 91.273 20.9921
39.500000 91.268 19.8865
40.000000 91.260 19.2524
40.599998 91.255 18.5343
41.200001 91.254 17.8062
41.799999 91.252 17.0485
42.500000 91.243 16.1663
43.099998 91.232 15.4433
43.700001 91.222 14.7468
44.400002 91.212 13.9508
45.000000 91.203 13.2819
45.500000 91.195 12.7397
46.200001 91.183 12.0039
46.799999 91.173 11.3823
47.500000 91.157 10.6699
48.200001 91.135 10.0156
48.700001 91.121 9.5925
49.400002 91.112 8.9997
50.000000 91.107 8.4274
50.799999 91.087 7.6001
51.500000 91.058 6.9113
52.200001 91.027 6.2694
53.000000 90.994 5.5524
53.799999 90.960 4.8677
54.500000 90.933 4.3020
55.200001 90.909 3.7402
56.000000 90.881 3.0979
57.000000 90.843 2.3215
58.000000 90.802 1.5846
59.000000 90.758 0.9009
60.000000 90.718 0.2295
60.799999 90.684 -0.3223
61.500000 90.651 -0.7955
62.200001 90.618 -1.2500
63.000000 90.582 -1.7655
64.000000 90.534 -2.4064
65.000000 90.485 -2.9929
66.000000 90.441 -3.5568
67.000000 90.397 -4.1334
68.000000 90.347 -4.6880
69.000000 90.295 -5.2051
70.000000 90.245 -5.6963
71.000000 90.197 -6.1974
72.000000 90.147 -6.6981
73.000000 90.096 -7.1799
74.000000 90.045 -7.6503
75.000000 89.995 -8.1097
76.199997 89.933 -8.6503
77.500000 89.863 -9.2072
78.800003 89.791 -9.7238
80.000000 89.727 -10.1782
81.199997 89.663 -10.6250
82.500000 89.593 -11.0932
83.800003 89.523 -11.5317
85.000000 89.459 -11.9177
86.199997 89.395 -12.2740
87.500000 89.327 -12.6538
88.500000 89.274 -12.9413
90.000000 89.195 -13.3557
91.199997 89.133 -13.6893
92.500000 89.064 -14.0372
93.800003 88.995 -14.3628
95.000000 88.932 -14.6375
96.199997 88.870 -14.8889
97.500000 88.803 -15.1451
98.800003 88.737 -15.3914
100.000000 88.674 -15.6251
101.500000 88.593 -15.9118
103.000000 88.513 -16.1727
104.400002 88.442 -16.4039
106.000000 88.362 -16.6577
107.500000 88.287 -16.8712
109.000000 88.213 -17.0615
110.599998 88.133 -17.2512
112.000000 88.063 -17.4100
113.800003 87.974 -17.6000
115.000000 87.916 -17.7151
117.199997 87.812 -17.8939
118.000000 87.775 -17.9470
120.599998 87.655 -18.1050
122.000000 87.590 -18.1837
124.099998 87.493 -18.2860
125.000000 87.452 -18.3226
126.500000 87.386 -18.3745
128.000000 87.322 -18.4216
131.500000 87.174 -18.5013
132.000000 87.153 -18.5076
134.000000 87.069 -18.5206
136.000000 86.988 -18.5196
138.000000 86.907 -18.5115
140.000000 86.828 -18.4836
143.000000 86.717 -18.4050
145.000000 86.642 -18.3428
147.500000 86.542 -18.2433
150.000000 86.448 -18.1032
152.500000 86.370 -18.0175
155.000000 86.293 -17.9357
157.500000 86.215 -17.8008
160.000000 86.136 -17.6503
162.500000 86.059 -17.4944
165.000000 85.984 -17.3220
167.500000 85.912 -17.1302
170.000000 85.841 -16.9355
172.500000 85.772 -16.7417
175.000000 85.707 -16.5386
177.500000 85.644 -16.3235
180.000000 85.584 -16.1049
182.500000 85.524 -15.8817
185.000000 85.466 -15.6527
187.500000 85.408 -15.4283
190.000000 85.353 -15.2026
192.500000 85.301 -14.9680
195.000000 85.252 -14.7384
197.500000 85.205 -14.5142
200.000000 85.161 -14.2797
203.000000 85.107 -13.9705
206.000000 85.054 -13.6525
209.000000 85.002 -13.3463
212.000000 84.953 -13.0537
214.000000 84.922 -12.8600
218.000000 84.862 -12.4659
220.000000 84.835 -12.2692
224.000000 84.782 -11.8737
227.000000 84.743 -11.5722
230.000000 84.705 -11.2744
233.000000 84.669 -10.9842
236.000000 84.636 -10.6890
240.000000 84.591 -10.2876
243.000000 84.560 -9.9984
247.000000 84.528 -9.6228
250.000000 84.504 -9.3401
254.000000 84.464 -8.9683
258.000000 84.425 -8.6102
262.000000 84.390 -8.2518
265.000000 84.366 -7.9762
269.000000 84.336 -7.6144
272.000000 84.315 -7.3473
276.000000 84.289 -6.9930
280.000000 84.263 -6.6440
285.000000 84.231 -6.2091
290.000000 84.202 -5.7879
295.000000 84.175 -5.3850
