* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.6 dBFS, measurement signal peak level -24.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:05:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0394 ms (-14 mm, -0.53 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Arete R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.555 -114.3254
1.015000 42.941 -113.2737
1.030000 43.321 -112.3082
1.044000 43.667 -111.4911
1.060000 44.050 -110.6645
1.075000 44.397 -110.0007
1.090000 44.730 -109.4520
1.106000 45.068 -109.0026
1.120000 45.360 -108.7331
1.138000 45.732 -108.5472
1.150000 45.978 -108.5168
1.172000 46.425 -108.6390
1.180000 46.587 -108.7361
1.206000 47.106 -109.2245
1.220000 47.382 -109.5854
1.241000 47.792 -110.2358
1.250000 47.966 -110.5495
1.265000 48.254 -111.1121
1.280000 48.539 -111.7167
1.315000 49.193 -113.2419
1.320000 49.286 -113.4682
1.340000 49.651 -114.3811
1.360000 50.011 -115.2912
1.380000 50.366 -116.1779
1.400000 50.716 -117.0205
1.430000 51.229 -118.1565
1.450000 51.564 -118.7985
1.475000 51.975 -119.4494
1.500000 52.375 -120.0399
1.525000 52.765 -120.6036
1.550000 53.144 -121.1458
1.575000 53.514 -121.6715
1.600000 53.876 -122.1860
1.625000 54.230 -122.6944
1.650000 54.576 -123.2018
1.675000 54.916 -123.7135
1.700000 55.250 -124.2344
1.725000 55.578 -124.7698
1.750000 55.902 -125.3248
1.775000 56.222 -125.9046
1.800000 56.538 -126.5143
1.825000 56.851 -127.1590
1.850000 57.161 -127.8423
1.875000 57.465 -128.5606
1.900000 57.762 -129.3092
1.925000 58.054 -130.0838
1.950000 58.340 -130.8797
1.975000 58.621 -131.6924
2.000000 58.897 -132.5176
2.030000 59.223 -133.5178
2.060000 59.542 -134.5216
2.090000 59.856 -135.5212
2.120000 60.165 -136.5089
2.140000 60.369 -137.1568
2.180000 60.771 -138.4171
2.200000 60.970 -139.0250
2.240000 61.360 -140.2179
2.270000 61.646 -141.1012
2.300000 61.926 -141.9754
2.330000 62.201 -142.8411
2.360000 62.470 -143.6988
2.400000 62.823 -144.8312
2.430000 63.082 -145.6728
2.470000 63.421 -146.7856
2.500000 63.672 -147.6141
2.540000 64.001 -148.7118
2.580000 64.325 -149.8014
2.620000 64.642 -150.8752
2.650000 64.874 -151.6703
2.690000 65.178 -152.7194
2.720000 65.401 -153.4995
2.760000 65.693 -154.5333
2.800000 65.980 -155.5626
2.850000 66.331 -156.8475
2.900000 66.674 -158.1363
2.950000 67.011 -159.4354
3.000000 67.339 -160.7511
3.040000 67.595 -161.8106
3.070000 67.784 -162.6059
3.110000 68.031 -163.6631
3.150000 68.273 -164.7122
3.200000 68.570 -166.0044
3.250000 68.861 -167.2659
3.300000 69.146 -168.4871
3.350000 69.426 -169.6623
3.400000 69.697 -170.7988
3.450000 69.963 -171.9065
3.500000 70.222 -172.9949
3.550000 70.476 -174.0740
3.600000 70.724 -175.1534
3.650000 70.968 -176.2428
3.700000 71.208 -177.3491
3.750000 71.441 -178.4663
3.820000 71.759 179.9656
3.870000 71.980 178.8526
3.950000 72.324 177.1045
4.000000 72.534 176.0438
4.060000 72.781 174.8141
4.120000 73.022 173.6263
4.180000 73.255 172.4713
4.250000 73.521 171.1532
4.310000 73.743 170.0385
4.370000 73.960 168.9284
4.440000 74.207 167.6303
4.500000 74.413 166.5209
4.550000 74.581 165.6028
4.620000 74.810 164.3333
4.680000 75.002 163.2652
4.750000 75.222 162.0497
4.820000 75.436 160.8716
4.870000 75.585 160.0501
4.940000 75.789 158.9242
5.000000 75.960 157.9783
5.080000 76.183 156.7390
5.150000 76.375 155.6703
5.220000 76.562 154.6196
5.300000 76.770 153.4425
5.380000 76.973 152.2903
5.450000 77.148 151.3022
5.520000 77.320 150.3329
5.600000 77.512 149.2507
5.700000 77.747 147.9331
5.800000 77.977 146.6481
5.900000 78.202 145.3907
6.000000 78.422 144.1674
6.080000 78.595 143.2097
6.150000 78.744 142.3830
6.220000 78.891 141.5636
6.300000 79.057 140.6363
6.400000 79.260 139.4952
6.500000 79.460 138.3720
6.600000 79.655 137.2645
6.700000 79.847 136.1744
6.800000 80.035 135.1011
6.900000 80.218 134.0408
7.000000 80.398 132.9900
7.100000 80.573 131.9488
7.200000 80.745 130.9196
7.300000 80.912 129.9046
7.400000 81.076 128.9052
7.500000 81.236 127.9200
7.620000 81.422 126.7565
7.750000 81.619 125.5185
7.880000 81.810 124.3040
8.000000 81.981 123.2038
8.120000 82.149 122.1240
8.250000 82.326 120.9782
8.380000 82.498 119.8534
8.500000 82.654 118.8315
8.620000 82.806 117.8268
8.750000 82.968 116.7546
8.850000 83.089 115.9391
9.000000 83.268 114.7330
9.120000 83.406 113.7821
9.250000 83.553 112.7647
9.380000 83.696 111.7612
9.500000 83.824 110.8480
9.620000 83.950 109.9474
9.750000 84.082 108.9861
9.880000 84.211 108.0413
10.000000 84.327 107.1851
10.150000 84.468 106.1350
10.300000 84.606 105.1058
10.440000 84.732 104.1654
10.600000 84.872 103.1096
10.750000 85.002 102.1360
10.900000 85.129 101.1777
11.060000 85.262 100.1650
11.200000 85.376 99.2876
11.380000 85.518 98.1699
11.500000 85.610 97.4297
11.720000 85.774 96.0885
11.800000 85.831 95.6068
12.060000 86.011 94.0653
12.200000 86.103 93.2577
12.410000 86.237 92.0753
12.500000 86.293 91.5808
12.650000 86.385 90.7738
12.800000 86.476 89.9831
13.150000 86.687 88.1927
13.200000 86.717 87.9394
13.400000 86.836 86.9329
13.600000 86.953 85.9236
13.800000 87.069 84.9052
14.000000 87.178 83.8801
14.300000 87.332 82.3369
14.500000 87.425 81.3204
14.750000 87.532 80.0909
15.000000 87.630 78.9207
15.250000 87.723 77.8288
15.500000 87.816 76.8047
15.750000 87.912 75.8363
16.000000 88.013 74.8947
16.250000 88.118 73.9482
16.500000 88.225 72.9827
16.750000 88.329 71.9834
17.000000 88.428 70.9613
17.250000 88.519 69.9302
17.500000 88.601 68.9091
17.750000 88.676 67.9223
18.000000 88.746 66.9758
18.250000 88.812 66.0754
18.500000 88.879 65.2114
18.750000 88.946 64.3720
19.000000 89.014 63.5465
19.250000 89.081 62.7218
19.500000 89.147 61.8976
19.750000 89.210 61.0737
20.000000 89.269 60.2580
20.299999 89.335 59.3002
20.600000 89.397 58.3728
20.900000 89.457 57.4782
21.200001 89.516 56.6108
21.400000 89.556 56.0412
21.799999 89.636 54.9114
22.000000 89.675 54.3467
22.400000 89.749 53.2150
22.700001 89.801 52.3692
23.000000 89.850 51.5336
23.299999 89.895 50.7139
23.600000 89.939 49.9119
24.000000 89.994 48.8683
24.299999 90.034 48.0997
24.700001 90.086 47.0874
25.000000 90.124 46.3358
25.400000 90.170 45.3467
25.799999 90.213 44.3810
26.200001 90.253 43.4468
26.500000 90.282 42.7683
26.900000 90.321 41.8891
27.200001 90.351 41.2421
27.600000 90.392 40.3847
28.000000 90.433 39.5219
28.500000 90.479 38.4318
29.000000 90.515 37.3514
29.500000 90.542 36.3206
30.000000 90.564 35.3680
30.400000 90.582 34.6558
30.700001 90.599 34.1379
31.100000 90.622 33.4501
31.500000 90.646 32.7550
32.000000 90.673 31.8791
32.500000 90.696 31.0146
33.000000 90.715 30.1738
33.500000 90.733 29.3505
34.000000 90.750 28.5359
34.500000 90.764 27.7324
35.000000 90.776 26.9469
35.500000 90.787 26.1783
36.000000 90.796 25.4207
36.500000 90.803 24.6770
37.000000 90.808 23.9590
37.500000 90.813 23.2704
38.200001 90.824 22.3249
38.700001 90.832 21.6362
39.500000 90.838 20.5198
40.000000 90.835 19.8438
40.599998 90.830 19.0710
41.200001 90.826 18.3268
41.799999 90.823 17.5880
42.500000 90.818 16.7203
43.099998 90.809 15.9885
43.700001 90.798 15.2935
44.400002 90.788 14.5281
45.000000 90.783 13.8824
45.500000 90.778 13.3417
46.200001 90.770 12.5925
46.799999 90.761 11.9633
47.500000 90.748 11.2429
48.200001 90.728 10.5690
48.700001 90.716 10.1271
49.400002 90.706 9.5117
50.000000 90.699 8.9307
50.799999 90.674 8.1188
51.500000 90.642 7.4727
52.200001 90.613 6.8828
53.000000 90.585 6.2030
53.799999 90.554 5.5221
54.500000 90.528 4.9465
55.200001 90.504 4.3754
56.000000 90.474 3.7332
57.000000 90.437 2.9789
58.000000 90.403 2.2347
59.000000 90.364 1.4894
60.000000 90.319 0.7916
60.799999 90.283 0.2560
61.500000 90.251 -0.2044
62.200001 90.219 -0.6514
63.000000 90.183 -1.1498
64.000000 90.139 -1.7758
65.000000 90.094 -2.3990
66.000000 90.046 -2.9895
67.000000 89.999 -3.5492
68.000000 89.952 -4.0936
69.000000 89.905 -4.6187
70.000000 89.856 -5.1306
71.000000 89.806 -5.6298
72.000000 89.755 -6.1105
73.000000 89.705 -6.5853
74.000000 89.653 -7.0601
75.000000 89.600 -7.5210
76.199997 89.537 -8.0497
77.500000 89.467 -8.5988
78.800003 89.398 -9.1128
80.000000 89.336 -9.5757
81.199997 89.274 -10.0312
82.500000 89.205 -10.4953
83.800003 89.138 -10.9356
85.000000 89.078 -11.3363
86.199997 89.015 -11.7264
87.500000 88.946 -12.1207
88.500000 88.893 -12.4097
90.000000 88.813 -12.8322
91.199997 88.749 -13.1588
92.500000 88.679 -13.4973
93.800003 88.609 -13.8130
95.000000 88.547 -14.0904
96.199997 88.485 -14.3588
97.500000 88.417 -14.6333
98.800003 88.351 -14.8916
100.000000 88.289 -15.1266
101.500000 88.209 -15.4080
103.000000 88.130 -15.6638
104.400002 88.057 -15.8900
106.000000 87.975 -16.1389
107.500000 87.898 -16.3563
109.000000 87.822 -16.5594
110.599998 87.741 -16.7588
112.000000 87.670 -16.9033
113.800003 87.585 -17.0693
115.000000 87.528 -17.1818
117.199997 87.422 -17.3685
118.000000 87.384 -17.4289
120.599998 87.261 -17.5935
122.000000 87.197 -17.6672
124.099998 87.103 -17.7607
125.000000 87.063 -17.7928
126.500000 86.997 -17.8451
128.000000 86.930 -17.8981
131.500000 86.774 -17.9623
132.000000 86.753 -17.9678
134.000000 86.671 -17.9821
136.000000 86.588 -17.9731
138.000000 86.506 -17.9447
140.000000 86.427 -17.9176
143.000000 86.311 -17.8708
145.000000 86.235 -17.7986
147.500000 86.141 -17.6422
150.000000 86.053 -17.4870
152.500000 85.966 -17.4105
155.000000 85.879 -17.3125
157.500000 85.797 -17.1686
160.000000 85.718 -17.0013
162.500000 85.639 -16.8229
165.000000 85.562 -16.6306
167.500000 85.489 -16.4298
170.000000 85.417 -16.2286
172.500000 85.348 -16.0212
175.000000 85.282 -15.8062
177.500000 85.218 -15.5836
180.000000 85.155 -15.3485
182.500000 85.095 -15.1053
185.000000 85.038 -14.8595
187.500000 84.981 -14.6095
190.000000 84.925 -14.3520
192.500000 84.871 -14.0874
195.000000 84.819 -13.8252
197.500000 84.768 -13.5726
200.000000 84.718 -13.3114
203.000000 84.665 -12.9866
206.000000 84.617 -12.6562
209.000000 84.569 -12.3243
212.000000 84.521 -12.0111
214.000000 84.490 -11.8038
218.000000 84.431 -11.3771
220.000000 84.403 -11.1611
224.000000 84.350 -10.7309
227.000000 84.311 -10.4086
230.000000 84.273 -10.0853
233.000000 84.237 -9.7609
236.000000 84.203 -9.4418
240.000000 84.159 -9.0282
243.000000 84.128 -8.7239
247.000000 84.089 -8.3476
250.000000 84.062 -8.0535
254.000000 84.028 -7.6030
258.000000 83.994 -7.1788
262.000000 83.962 -6.7929
265.000000 83.940 -6.5029
269.000000 83.913 -6.1177
272.000000 83.894 -5.8291
276.000000 83.869 -5.4446
280.000000 83.845 -5.0696
285.000000 83.817 -4.6119
290.000000 83.791 -4.1556
295.000000 83.766 -3.6932
