* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -22.9 dBFS, measurement signal peak level -20.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:32:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0312 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Aria L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.514 36.1416
1.015000 60.768 36.0313
1.030000 61.020 35.8956
1.044000 61.251 35.7452
1.060000 61.512 35.5438
1.075000 61.752 35.3254
1.090000 61.988 35.0771
1.106000 62.234 34.7763
1.120000 62.447 34.4729
1.138000 62.718 34.0285
1.150000 62.897 33.7008
1.172000 63.221 33.0402
1.180000 63.338 32.7823
1.206000 63.714 31.8867
1.220000 63.914 31.3719
1.241000 64.210 30.5638
1.250000 64.336 30.2060
1.265000 64.544 29.5969
1.280000 64.750 28.9743
1.315000 65.225 27.4864
1.320000 65.292 27.2715
1.340000 65.557 26.4102
1.360000 65.820 25.5519
1.380000 66.080 24.7037
1.400000 66.337 23.8728
1.430000 66.717 22.6745
1.450000 66.967 21.9181
1.475000 67.276 21.0284
1.500000 67.580 20.1671
1.525000 67.879 19.3222
1.550000 68.172 18.4909
1.575000 68.460 17.6702
1.600000 68.744 16.8570
1.625000 69.023 16.0485
1.650000 69.297 15.2417
1.675000 69.567 14.4336
1.700000 69.833 13.6212
1.725000 70.094 12.8016
1.750000 70.352 11.9718
1.775000 70.606 11.1289
1.800000 70.856 10.2698
1.825000 71.103 9.3916
1.850000 71.345 8.4920
1.875000 71.584 7.5721
1.900000 71.817 6.6350
1.925000 72.046 5.6835
1.950000 72.271 4.7204
1.975000 72.492 3.7486
2.000000 72.709 2.7711
2.030000 72.964 1.5946
2.060000 73.215 0.4189
2.090000 73.460 -0.7511
2.120000 73.701 -1.9102
2.140000 73.859 -2.6745
2.180000 74.169 -4.1761
2.200000 74.322 -4.9106
2.240000 74.621 -6.3620
2.270000 74.839 -7.4409
2.300000 75.051 -8.5113
2.330000 75.259 -9.5735
2.360000 75.462 -10.6273
2.400000 75.726 -12.0194
2.430000 75.919 -13.0538
2.470000 76.171 -14.4201
2.500000 76.355 -15.4352
2.540000 76.595 -16.7757
2.580000 76.830 -18.1016
2.620000 77.057 -19.4139
2.650000 77.223 -20.3890
2.690000 77.437 -21.6766
2.720000 77.593 -22.6326
2.760000 77.796 -23.8940
2.800000 77.992 -25.1396
2.850000 78.231 -26.6738
2.900000 78.462 -28.1816
2.950000 78.686 -29.6633
3.000000 78.901 -31.1277
3.040000 79.067 -32.2853
3.070000 79.187 -33.1434
3.110000 79.343 -34.2719
3.150000 79.495 -35.3801
3.200000 79.678 -36.7324
3.250000 79.857 -38.0429
3.300000 80.031 -39.3063
3.350000 80.199 -40.5205
3.400000 80.360 -41.6898
3.450000 80.515 -42.8187
3.500000 80.665 -43.9116
3.550000 80.810 -44.9729
3.600000 80.953 -46.0072
3.650000 81.093 -47.0189
3.700000 81.230 -48.0093
3.750000 81.363 -48.9730
3.820000 81.543 -50.2758
3.870000 81.668 -51.1725
3.950000 81.863 -52.5466
4.000000 81.985 -53.3666
4.060000 82.130 -54.3078
4.120000 82.272 -55.1922
4.180000 82.412 -56.0286
4.250000 82.574 -56.9587
4.310000 82.711 -57.7296
4.370000 82.848 -58.4882
4.440000 83.009 -59.3632
4.500000 83.146 -60.0882
4.550000 83.260 -60.6765
4.620000 83.419 -61.4808
4.680000 83.555 -62.1568
4.750000 83.713 -62.9359
4.820000 83.871 -63.7024
4.870000 83.983 -64.2367
4.940000 84.140 -64.9716
5.000000 84.274 -65.5943
5.080000 84.449 -66.4225
5.150000 84.601 -67.1525
5.220000 84.751 -67.8838
5.300000 84.920 -68.7175
5.380000 85.087 -69.5479
5.450000 85.229 -70.2710
5.520000 85.368 -70.9903
5.600000 85.523 -71.8112
5.700000 85.712 -72.8319
5.800000 85.895 -73.8396
5.900000 86.071 -74.8281
6.000000 86.241 -75.8023
6.080000 86.372 -76.5698
6.150000 86.484 -77.2306
6.220000 86.593 -77.8794
6.300000 86.715 -78.6063
6.400000 86.863 -79.4954
6.500000 87.006 -80.3621
6.600000 87.146 -81.2054
6.700000 87.283 -82.0220
6.800000 87.416 -82.8146
6.900000 87.547 -83.5897
7.000000 87.676 -84.3522
7.100000 87.802 -85.0973
7.200000 87.927 -85.8282
7.300000 88.050 -86.5509
7.400000 88.171 -87.2675
7.500000 88.290 -87.9743
7.620000 88.431 -88.8154
7.750000 88.580 -89.7256
7.880000 88.725 -90.6324
8.000000 88.856 -91.4668
8.120000 88.982 -92.3001
8.250000 89.116 -93.2014
8.380000 89.244 -94.1000
8.500000 89.359 -94.9267
8.620000 89.470 -95.7513
8.750000 89.585 -96.6404
8.850000 89.671 -97.3207
9.000000 89.794 -98.3362
9.120000 89.888 -99.1420
9.250000 89.986 -100.0070
9.380000 90.079 -100.8646
9.500000 90.160 -101.6456
9.620000 90.238 -102.4152
9.750000 90.318 -103.2374
9.880000 90.393 -104.0403
10.000000 90.460 -104.7628
10.150000 90.538 -105.6417
10.300000 90.614 -106.4865
10.440000 90.681 -107.2434
10.600000 90.755 -108.0735
10.750000 90.825 -108.8160
10.900000 90.894 -109.5271
11.060000 90.969 -110.2630
11.200000 91.037 -110.8847
11.380000 91.125 -111.6729
11.500000 91.185 -112.1937
11.720000 91.297 -113.1459
11.800000 91.338 -113.4958
12.060000 91.470 -114.6400
12.200000 91.540 -115.2620
12.410000 91.641 -116.1990
12.500000 91.683 -116.5975
12.650000 91.751 -117.2601
12.800000 91.818 -117.9148
13.150000 91.966 -119.3976
13.200000 91.987 -119.6051
13.400000 92.070 -120.4219
13.600000 92.152 -121.2298
13.800000 92.234 -122.0323
14.000000 92.314 -122.8381
14.300000 92.428 -124.0539
14.500000 92.499 -124.8667
14.750000 92.579 -125.8639
15.000000 92.652 -126.8288
15.250000 92.719 -127.7378
15.500000 92.784 -128.5927
15.750000 92.850 -129.4004
16.000000 92.921 -130.1841
16.250000 92.994 -130.9766
16.500000 93.069 -131.7922
16.750000 93.141 -132.6472
17.000000 93.205 -133.5268
17.250000 93.261 -134.4128
17.500000 93.306 -135.2799
17.750000 93.345 -136.0983
18.000000 93.380 -136.8641
18.250000 93.415 -137.5737
18.500000 93.454 -138.2495
18.750000 93.496 -138.9106
19.000000 93.542 -139.5744
19.250000 93.587 -140.2557
19.500000 93.631 -140.9483
19.750000 93.670 -141.6465
20.000000 93.705 -142.3313
20.299999 93.742 -143.1206
20.600000 93.777 -143.8678
20.900000 93.811 -144.5775
21.200001 93.847 -145.2656
21.400000 93.870 -145.7211
21.799999 93.913 -146.6269
22.000000 93.932 -147.0743
22.400000 93.962 -147.9420
22.700001 93.980 -148.5549
23.000000 93.995 -149.1299
23.299999 94.011 -149.6767
23.600000 94.028 -150.2121
24.000000 94.054 -150.9424
24.299999 94.073 -151.5288
24.700001 94.093 -152.3857
25.000000 94.099 -153.0888
25.400000 94.088 -154.0918
25.799999 94.047 -155.1191
26.200001 93.972 -156.0744
26.500000 93.892 -156.6566
26.900000 93.767 -157.1285
27.200001 93.677 -157.1779
27.600000 93.595 -156.8190
28.000000 93.607 -156.1514
28.500000 93.785 -155.4949
29.000000 94.071 -155.8025
29.500000 94.319 -157.2439
30.000000 94.424 -159.1181
30.400000 94.417 -160.2570
30.700001 94.399 -160.7139
31.100000 94.422 -160.9302
31.500000 94.522 -161.1114
32.000000 94.698 -161.9179
32.500000 94.807 -163.3969
33.000000 94.791 -164.8283
33.500000 94.715 -165.6253
34.000000 94.681 -165.9669
34.500000 94.702 -166.4985
35.000000 94.698 -167.4637
35.500000 94.615 -168.4692
36.000000 94.486 -169.0439
36.500000 94.388 -169.2003
37.000000 94.355 -169.3371
37.500000 94.359 -169.7287
38.200001 94.363 -170.6064
38.700001 94.362 -171.2992
39.500000 94.366 -172.4633
40.000000 94.366 -173.2074
40.599998 94.362 -174.0792
41.200001 94.342 -174.9011
41.799999 94.300 -175.5213
42.500000 94.263 -175.8132
43.099998 94.289 -175.9832
43.700001 94.338 -176.5128
44.400002 94.340 -177.5177
45.000000 94.286 -178.3376
45.500000 94.229 -178.9281
46.200001 94.137 -179.7318
46.799999 94.041 179.6778
47.500000 93.944 179.2509
48.200001 93.900 178.8519
48.700001 93.883 178.4460
49.400002 93.850 177.8590
50.000000 93.830 177.4984
50.799999 93.842 177.0736
51.500000 93.867 176.5720
52.200001 93.880 176.0102
53.000000 93.879 175.3811
53.799999 93.859 174.7672
54.500000 93.827 174.2859
55.200001 93.792 173.8665
56.000000 93.759 173.3867
57.000000 93.719 172.6920
58.000000 93.663 171.9805
59.000000 93.604 171.4267
60.000000 93.562 170.9173
60.799999 93.521 170.4742
61.500000 93.475 170.1487
62.200001 93.432 169.8833
63.000000 93.389 169.5283
64.000000 93.316 168.9878
65.000000 93.227 168.5868
66.000000 93.170 168.2769
67.000000 93.137 167.8251
68.000000 93.100 167.2967
69.000000 93.058 166.8074
70.000000 93.016 166.3792
71.000000 92.973 165.9469
72.000000 92.912 165.4989
73.000000 92.842 165.1598
74.000000 92.783 164.8576
75.000000 92.734 164.5256
76.199997 92.688 164.0520
77.500000 92.621 163.5496
78.800003 92.561 163.1702
80.000000 92.467 162.8081
81.199997 92.367 162.8486
82.500000 92.308 162.6774
83.800003 92.224 162.3293
85.000000 92.174 162.0537
86.199997 92.146 161.5632
87.500000 92.093 160.9509
88.500000 92.031 160.5869
90.000000 91.921 160.2949
91.199997 91.831 160.1524
92.500000 91.724 160.0357
93.800003 91.629 160.1870
95.000000 91.602 160.4566
96.199997 91.610 160.7029
97.500000 91.660 161.0065
98.800003 91.708 160.7412
100.000000 91.617 160.3033
101.500000 91.439 160.3417
103.000000 91.306 160.3019
104.400002 91.243 160.0310
106.000000 91.244 159.1784
107.500000 91.225 158.2523
109.000000 91.180 157.6965
110.599998 91.094 157.4782
112.000000 90.999 157.4768
113.800003 90.865 157.2670
115.000000 90.766 157.0078
117.199997 90.604 156.7438
118.000000 90.559 156.8205
120.599998 90.465 157.7299
122.000000 90.415 158.2617
124.099998 90.299 158.9001
125.000000 90.262 159.0787
126.500000 90.246 159.1543
128.000000 90.288 159.0422
131.500000 90.500 158.6184
132.000000 90.513 158.4594
134.000000 90.419 157.8644
136.000000 90.236 157.7420
138.000000 90.112 157.5921
140.000000 90.042 157.4178
143.000000 89.965 157.5168
145.000000 89.914 157.6469
147.500000 89.892 157.5782
150.000000 89.888 157.1459
152.500000 89.826 156.9185
155.000000 89.743 156.7911
157.500000 89.648 156.5414
160.000000 89.560 156.3360
162.500000 89.474 156.2087
165.000000 89.380 156.1255
167.500000 89.292 156.0776
170.000000 89.211 156.0513
172.500000 89.129 156.0647
175.000000 89.047 156.0934
177.500000 88.967 156.1272
180.000000 88.890 156.1850
182.500000 88.818 156.2611
185.000000 88.746 156.3403
187.500000 88.675 156.4432
190.000000 88.608 156.5706
192.500000 88.545 156.6849
195.000000 88.484 156.7804
197.500000 88.427 156.8678
200.000000 88.367 156.9708
203.000000 88.297 157.1162
206.000000 88.232 157.2289
209.000000 88.169 157.3427
212.000000 88.103 157.4791
214.000000 88.059 157.5681
218.000000 87.972 157.7215
220.000000 87.928 157.8050
224.000000 87.844 157.9973
227.000000 87.781 158.1570
230.000000 87.717 158.3223
233.000000 87.658 158.4721
236.000000 87.601 158.5953
240.000000 87.523 158.7913
243.000000 87.461 158.9643
247.000000 87.372 159.1358
250.000000 87.309 159.2691
254.000000 87.248 159.5698
258.000000 87.189 159.8764
262.000000 87.125 160.1537
265.000000 87.077 160.3565
269.000000 87.011 160.6145
272.000000 86.962 160.8048
276.000000 86.899 161.0778
280.000000 86.838 161.3741
285.000000 86.763 161.7333
290.000000 86.690 162.0892
295.000000 86.619 162.4478
