* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -44.5 dBFS, measurement signal peak level -20.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:30:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0828 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Aria R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.505 42.3905
1.015000 62.734 40.6559
1.030000 62.960 38.9904
1.044000 63.168 37.5046
1.060000 63.401 35.8953
1.075000 63.616 34.4798
1.090000 63.826 33.1619
1.106000 64.044 31.8713
1.120000 64.233 30.8404
1.138000 64.474 29.6406
1.150000 64.633 28.9137
1.172000 64.923 27.7191
1.180000 65.027 27.3254
1.206000 65.363 26.1783
1.220000 65.542 25.6351
1.241000 65.808 24.9022
1.250000 65.921 24.6141
1.265000 66.108 24.1627
1.280000 66.294 23.7412
1.315000 66.721 22.8338
1.320000 66.781 22.7090
1.340000 67.021 22.2113
1.360000 67.257 21.7034
1.380000 67.492 21.1682
1.400000 67.723 20.5890
1.430000 68.065 19.6005
1.450000 68.290 18.8371
1.475000 68.567 17.7450
1.500000 68.839 16.5668
1.525000 69.107 15.3307
1.550000 69.370 14.0479
1.575000 69.628 12.7291
1.600000 69.882 11.3854
1.625000 70.132 10.0278
1.650000 70.378 8.6671
1.675000 70.620 7.3143
1.700000 70.858 5.9803
1.725000 71.093 4.6762
1.750000 71.325 3.4128
1.775000 71.553 2.2011
1.800000 71.778 1.0520
1.825000 72.001 -0.0235
1.850000 72.220 -1.0217
1.875000 72.435 -1.9581
1.900000 72.647 -2.8399
1.925000 72.854 -3.6738
1.950000 73.058 -4.4665
1.975000 73.259 -5.2246
2.000000 73.456 -5.9548
2.030000 73.688 -6.8036
2.060000 73.916 -7.6334
2.090000 74.141 -8.4557
2.120000 74.361 -9.2820
2.140000 74.506 -9.8408
2.180000 74.792 -10.9929
2.200000 74.933 -11.5928
2.240000 75.209 -12.8116
2.270000 75.412 -13.7294
2.300000 75.610 -14.6486
2.330000 75.804 -15.5672
2.360000 75.994 -16.4836
2.400000 76.242 -17.6987
2.430000 76.424 -18.6028
2.470000 76.663 -19.7952
2.500000 76.838 -20.6774
2.540000 77.068 -21.8341
2.580000 77.293 -22.9663
2.620000 77.513 -24.0851
2.650000 77.674 -24.9161
2.690000 77.883 -26.0119
2.720000 78.037 -26.8233
2.760000 78.237 -27.8896
2.800000 78.433 -28.9363
2.850000 78.672 -30.2136
2.900000 78.905 -31.4528
2.950000 79.133 -32.6482
3.000000 79.353 -33.7882
3.040000 79.525 -34.6656
3.070000 79.650 -35.3075
3.110000 79.814 -36.1468
3.150000 79.975 -36.9731
3.200000 80.171 -37.9968
3.250000 80.362 -39.0219
3.300000 80.549 -40.0605
3.350000 80.731 -41.1181
3.400000 80.908 -42.1857
3.450000 81.080 -43.2523
3.500000 81.246 -44.3067
3.550000 81.409 -45.3381
3.600000 81.568 -46.3354
3.650000 81.725 -47.2876
3.700000 81.878 -48.1859
3.750000 82.026 -49.0348
3.820000 82.228 -50.1603
3.870000 82.368 -50.9332
3.950000 82.586 -52.1447
4.000000 82.720 -52.9022
4.060000 82.878 -53.8257
4.120000 83.031 -54.7550
4.180000 83.180 -55.6792
4.250000 83.350 -56.7390
4.310000 83.493 -57.6209
4.370000 83.634 -58.4687
4.440000 83.796 -59.4034
4.500000 83.932 -60.1600
4.550000 84.044 -60.7664
4.620000 84.198 -61.5898
4.680000 84.328 -62.2824
4.750000 84.478 -63.0886
4.820000 84.627 -63.8968
4.870000 84.732 -64.4674
4.940000 84.878 -65.2562
5.000000 85.001 -65.9227
5.080000 85.164 -66.7968
5.150000 85.306 -67.5470
5.220000 85.446 -68.2784
5.300000 85.605 -69.0962
5.380000 85.762 -69.9031
5.450000 85.898 -70.6073
5.520000 86.032 -71.3151
5.600000 86.184 -72.1213
5.700000 86.372 -73.1247
5.800000 86.555 -74.1279
5.900000 86.734 -75.1356
6.000000 86.908 -76.1483
6.080000 87.045 -76.9593
6.150000 87.162 -77.6673
6.220000 87.276 -78.3722
6.300000 87.403 -79.1746
6.400000 87.557 -80.1751
6.500000 87.706 -81.1695
6.600000 87.849 -82.1547
6.700000 87.986 -83.1345
6.800000 88.117 -84.1072
6.900000 88.244 -85.0640
7.000000 88.366 -85.9972
7.100000 88.483 -86.9096
7.200000 88.595 -87.8031
7.300000 88.705 -88.6779
7.400000 88.811 -89.5338
7.500000 88.914 -90.3704
7.620000 89.033 -91.3510
7.750000 89.159 -92.3859
7.880000 89.282 -93.3894
8.000000 89.392 -94.2952
8.120000 89.500 -95.1880
8.250000 89.614 -96.1373
8.380000 89.724 -97.0701
8.500000 89.823 -97.9193
8.620000 89.919 -98.7567
8.750000 90.019 -99.6475
8.850000 90.094 -100.3198
9.000000 90.201 -101.3095
9.120000 90.285 -102.0811
9.250000 90.372 -102.8935
9.380000 90.457 -103.6831
9.500000 90.534 -104.3924
9.620000 90.611 -105.0815
9.750000 90.693 -105.8056
9.880000 90.775 -106.5169
10.000000 90.852 -107.1635
10.150000 90.948 -107.9581
10.300000 91.044 -108.7554
10.440000 91.135 -109.5010
10.600000 91.237 -110.3604
10.750000 91.331 -111.1816
10.900000 91.423 -112.0131
11.060000 91.515 -112.9053
11.200000 91.593 -113.6933
11.380000 91.686 -114.6966
11.500000 91.744 -115.3575
11.720000 91.845 -116.5431
11.800000 91.879 -116.9607
12.060000 91.987 -118.2757
12.200000 92.045 -118.9558
12.410000 92.129 -119.9448
12.500000 92.166 -120.3637
12.650000 92.227 -121.0520
12.800000 92.288 -121.7364
13.150000 92.425 -123.3402
13.200000 92.444 -123.5685
13.400000 92.515 -124.4841
13.600000 92.580 -125.3791
13.800000 92.639 -126.2474
14.000000 92.693 -127.0668
14.300000 92.771 -128.1975
14.500000 92.824 -128.8817
14.750000 92.898 -129.6944
15.000000 92.979 -130.4816
15.250000 93.068 -131.2976
15.500000 93.157 -132.1652
15.750000 93.242 -133.0907
16.000000 93.315 -134.0632
16.250000 93.375 -135.0372
16.500000 93.420 -135.9851
16.750000 93.453 -136.8672
17.000000 93.480 -137.6685
17.250000 93.506 -138.3943
17.500000 93.534 -139.0561
17.750000 93.568 -139.6889
18.000000 93.605 -140.3114
18.250000 93.646 -140.9438
18.500000 93.688 -141.5995
18.750000 93.728 -142.2788
19.000000 93.766 -142.9821
19.250000 93.799 -143.7036
19.500000 93.826 -144.4335
19.750000 93.846 -145.1629
20.000000 93.860 -145.8710
20.299999 93.868 -146.6651
20.600000 93.874 -147.3760
20.900000 93.883 -147.9958
21.200001 93.903 -148.5460
21.400000 93.926 -148.9065
21.799999 93.988 -149.6797
22.000000 94.023 -150.1201
22.400000 94.089 -151.1278
22.700001 94.123 -151.9523
23.000000 94.141 -152.7661
23.299999 94.146 -153.5126
23.600000 94.145 -154.1704
24.000000 94.142 -154.9196
24.299999 94.144 -155.4203
24.700001 94.149 -156.0437
25.000000 94.153 -156.4810
25.400000 94.159 -157.0124
25.799999 94.174 -157.5032
26.200001 94.201 -158.0295
26.500000 94.225 -158.5004
26.900000 94.249 -159.2527
27.200001 94.255 -159.8839
27.600000 94.243 -160.7506
28.000000 94.212 -161.5919
28.500000 94.157 -162.5990
29.000000 94.078 -163.5226
29.500000 93.979 -164.1821
30.000000 93.904 -164.4198
30.400000 93.902 -164.4410
30.700001 93.942 -164.5269
31.100000 94.023 -164.9269
31.500000 94.098 -165.6599
32.000000 94.140 -166.7281
32.500000 94.148 -167.5387
33.000000 94.186 -168.0766
33.500000 94.271 -168.7313
34.000000 94.346 -169.7430
34.500000 94.358 -170.8550
35.000000 94.318 -171.6690
35.500000 94.285 -172.1052
36.000000 94.289 -172.4510
36.500000 94.308 -172.9591
37.000000 94.307 -173.6085
37.500000 94.279 -174.2389
38.200001 94.223 -174.9816
38.700001 94.179 -175.4535
39.500000 94.100 -176.0314
40.000000 94.067 -176.2359
40.599998 94.068 -176.4617
41.200001 94.103 -176.9025
41.799999 94.137 -177.6555
42.500000 94.129 -178.7844
43.099998 94.070 -179.6707
43.700001 93.994 179.7386
44.400002 93.942 179.2615
45.000000 93.926 178.6311
45.500000 93.885 177.8892
46.200001 93.748 177.0605
46.799999 93.628 177.0229
47.500000 93.627 177.2746
48.200001 93.727 176.7054
48.700001 93.751 175.7479
49.400002 93.659 174.5692
50.000000 93.552 174.2961
50.799999 93.522 174.4674
51.500000 93.572 174.3011
52.200001 93.607 173.7923
53.000000 93.599 173.1277
53.799999 93.552 172.5507
54.500000 93.495 172.2024
55.200001 93.446 171.9193
56.000000 93.392 171.5092
57.000000 93.309 171.0291
58.000000 93.252 170.6108
59.000000 93.206 170.0302
60.000000 93.154 169.4760
60.799999 93.115 169.0050
61.500000 93.068 168.5758
62.200001 93.009 168.2396
63.000000 92.948 167.9545
64.000000 92.884 167.5611
65.000000 92.819 167.0943
66.000000 92.748 166.5861
67.000000 92.668 166.1396
68.000000 92.598 165.8137
69.000000 92.541 165.5319
70.000000 92.491 165.2570
71.000000 92.440 164.9359
72.000000 92.375 164.5789
73.000000 92.295 164.2322
74.000000 92.209 163.9561
75.000000 92.135 163.7373
76.199997 92.067 163.4617
77.500000 92.015 162.9886
78.800003 91.907 162.3544
80.000000 91.760 162.0951
81.199997 91.587 162.0875
82.500000 91.410 162.7264
83.800003 91.388 163.5232
85.000000 91.464 163.3565
86.199997 91.465 162.4654
87.500000 91.348 161.7866
88.500000 91.220 161.8894
90.000000 91.075 162.9542
91.199997 91.019 164.1048
92.500000 91.039 165.3322
93.800003 91.134 165.8389
95.000000 91.225 165.5137
96.199997 91.293 164.5675
97.500000 91.310 163.0981
98.800003 91.228 161.7179
100.000000 91.117 161.2297
101.500000 91.074 161.0525
103.000000 91.037 160.5380
104.400002 90.936 160.1487
106.000000 90.841 160.1566
107.500000 90.807 159.9325
109.000000 90.735 159.4294
110.599998 90.585 159.2077
112.000000 90.461 159.5199
113.800003 90.377 160.0732
115.000000 90.349 160.3791
117.199997 90.349 160.8897
118.000000 90.357 160.9738
120.599998 90.342 160.9673
122.000000 90.315 160.8651
124.099998 90.266 160.4480
125.000000 90.229 160.2529
126.500000 90.157 160.0757
128.000000 90.085 159.9855
131.500000 89.808 159.4556
132.000000 89.760 159.4643
134.000000 89.661 159.5676
136.000000 89.649 159.2854
138.000000 89.622 159.0706
140.000000 89.561 159.1203
143.000000 89.437 159.3218
145.000000 89.380 159.4041
147.500000 89.371 159.4197
150.000000 89.346 159.2301
152.500000 89.243 159.2397
155.000000 89.136 159.2904
157.500000 89.035 159.2583
160.000000 88.947 159.2979
162.500000 88.863 159.4474
165.000000 88.785 159.6044
167.500000 88.697 159.6987
170.000000 88.606 159.8429
172.500000 88.522 160.0342
175.000000 88.443 160.2574
177.500000 88.373 160.5261
180.000000 88.313 160.8246
182.500000 88.263 161.1184
185.000000 88.223 161.3648
187.500000 88.191 161.5344
190.000000 88.159 161.6310
192.500000 88.119 161.6838
195.000000 88.070 161.7463
197.500000 88.019 161.8178
200.000000 87.961 161.8747
203.000000 87.885 161.9592
206.000000 87.810 162.0852
209.000000 87.741 162.2417
212.000000 87.671 162.4312
214.000000 87.623 162.5790
218.000000 87.530 162.8849
220.000000 87.485 163.0374
224.000000 87.401 163.3586
227.000000 87.346 163.6191
230.000000 87.296 163.8943
233.000000 87.241 164.1555
236.000000 87.177 164.4085
240.000000 87.101 164.7378
243.000000 87.045 164.9779
247.000000 86.963 165.2676
250.000000 86.908 165.5034
254.000000 86.859 165.8972
258.000000 86.805 166.2592
262.000000 86.742 166.6032
265.000000 86.697 166.8675
269.000000 86.637 167.2283
272.000000 86.592 167.5054
276.000000 86.532 167.8777
280.000000 86.473 168.2368
285.000000 86.404 168.7004
290.000000 86.339 169.1848
295.000000 86.272 169.6572
