* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.1 dBFS, measurement signal peak level -19.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:23:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0268 ms (-9.2 mm, -0.36 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Aurora L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.066 22.9632
1.015000 83.212 22.0860
1.030000 83.354 21.2173
1.044000 83.485 20.4159
1.060000 83.632 19.5136
1.075000 83.767 18.6829
1.090000 83.899 17.8693
1.106000 84.036 17.0209
1.120000 84.153 16.2868
1.138000 84.299 15.3511
1.150000 84.394 14.7319
1.172000 84.562 13.6055
1.180000 84.622 13.1984
1.206000 84.810 11.8834
1.220000 84.908 11.1797
1.241000 85.052 10.1289
1.250000 85.112 9.6799
1.265000 85.211 8.9331
1.280000 85.308 8.1877
1.315000 85.528 6.4508
1.320000 85.559 6.2026
1.340000 85.682 5.2093
1.360000 85.803 4.2139
1.380000 85.922 3.2150
1.400000 86.042 2.2116
1.430000 86.220 0.6952
1.450000 86.339 -0.3251
1.475000 86.489 -1.6131
1.500000 86.637 -2.9158
1.525000 86.782 -4.2309
1.550000 86.925 -5.5560
1.575000 87.066 -6.8884
1.600000 87.204 -8.2256
1.625000 87.340 -9.5652
1.650000 87.474 -10.9045
1.675000 87.605 -12.2410
1.700000 87.734 -13.5722
1.725000 87.861 -14.8956
1.750000 87.986 -16.2086
1.775000 88.109 -17.5087
1.800000 88.229 -18.7933
1.825000 88.348 -20.0600
1.850000 88.464 -21.3095
1.875000 88.578 -22.5489
1.900000 88.688 -23.7787
1.925000 88.797 -24.9993
1.950000 88.903 -26.2108
1.975000 89.007 -27.4135
2.000000 89.109 -28.6077
2.030000 89.229 -30.0298
2.060000 89.346 -31.4404
2.090000 89.461 -32.8401
2.120000 89.573 -34.2291
2.140000 89.647 -35.1495
2.180000 89.793 -36.9773
2.200000 89.865 -37.8850
2.240000 90.005 -39.6899
2.270000 90.108 -41.0341
2.300000 90.207 -42.3691
2.330000 90.305 -43.6938
2.360000 90.400 -45.0075
2.400000 90.524 -46.7400
2.430000 90.614 -48.0240
2.470000 90.732 -49.7134
2.500000 90.819 -50.9625
2.540000 90.932 -52.6019
2.580000 91.043 -54.2105
2.620000 91.150 -55.7939
2.650000 91.228 -56.9654
2.690000 91.329 -58.5052
2.720000 91.402 -59.6429
2.760000 91.498 -61.1362
2.800000 91.592 -62.6015
2.850000 91.706 -64.3926
2.900000 91.818 -66.1366
2.950000 91.928 -67.8314
3.000000 92.035 -69.4741
3.040000 92.117 -70.7525
3.070000 92.178 -71.6918
3.110000 92.257 -72.9196
3.150000 92.335 -74.1213
3.200000 92.431 -75.5895
3.250000 92.527 -77.0236
3.300000 92.624 -78.4275
3.350000 92.720 -79.7941
3.400000 92.814 -81.1196
3.450000 92.908 -82.4076
3.500000 93.001 -83.6620
3.550000 93.094 -84.8866
3.600000 93.187 -86.0850
3.650000 93.282 -87.2611
3.700000 93.377 -88.4110
3.750000 93.473 -89.5221
3.820000 93.609 -91.0256
3.870000 93.706 -92.0726
3.950000 93.861 -93.7221
4.000000 93.958 -94.7489
4.060000 94.075 -95.9841
4.120000 94.193 -97.2042
4.180000 94.312 -98.4099
4.250000 94.450 -99.8045
4.310000 94.567 -100.9949
4.370000 94.681 -102.1857
4.440000 94.809 -103.5783
4.500000 94.919 -104.7697
4.550000 95.008 -105.7606
4.620000 95.131 -107.1448
4.680000 95.231 -108.3286
4.750000 95.341 -109.7067
4.820000 95.443 -111.0872
4.870000 95.513 -112.0777
4.940000 95.605 -113.4622
5.000000 95.679 -114.6398
5.080000 95.768 -116.1845
5.150000 95.836 -117.5029
5.220000 95.896 -118.8076
5.300000 95.954 -120.2773
5.380000 96.002 -121.7065
5.450000 96.036 -122.9094
5.520000 96.064 -124.0574
5.600000 96.085 -125.3218
5.700000 96.097 -126.8241
5.800000 96.100 -128.2170
5.900000 96.097 -129.4785
6.000000 96.083 -130.6129
6.080000 96.067 -131.4358
6.150000 96.053 -132.0975
6.220000 96.041 -132.7074
6.300000 96.030 -133.3301
6.400000 96.015 -133.9950
6.500000 96.005 -134.5724
6.600000 96.003 -135.1036
6.700000 96.012 -135.5695
6.800000 96.028 -135.9705
6.900000 96.051 -136.3525
7.000000 96.080 -136.7542
7.100000 96.118 -137.1506
7.200000 96.162 -137.5484
7.300000 96.205 -137.9667
7.400000 96.248 -138.4203
7.500000 96.292 -138.9014
7.620000 96.343 -139.4952
7.750000 96.389 -140.1407
7.880000 96.427 -140.8055
8.000000 96.457 -141.4036
8.120000 96.483 -141.9536
8.250000 96.503 -142.5101
8.380000 96.523 -143.0208
8.500000 96.546 -143.4384
8.620000 96.569 -143.8014
8.750000 96.602 -144.1752
8.850000 96.635 -144.4670
9.000000 96.696 -144.8818
9.120000 96.753 -145.2507
9.250000 96.822 -145.7289
9.380000 96.899 -146.2659
9.500000 96.970 -146.8381
9.620000 97.037 -147.5044
9.750000 97.108 -148.3190
9.880000 97.169 -149.2004
10.000000 97.212 -150.0777
10.150000 97.251 -151.2495
10.300000 97.270 -152.4133
10.440000 97.267 -153.5069
10.600000 97.246 -154.7035
10.750000 97.210 -155.7188
10.900000 97.162 -156.6476
11.060000 97.110 -157.5064
11.200000 97.062 -158.1414
11.380000 97.010 -158.8577
11.500000 96.985 -159.2673
11.720000 96.956 -159.9574
11.800000 96.953 -160.2146
12.060000 96.963 -161.0671
12.200000 96.976 -161.5980
12.410000 97.002 -162.4744
12.500000 97.009 -162.8777
12.650000 97.020 -163.5967
12.800000 97.026 -164.3328
13.150000 97.006 -166.0313
13.200000 97.001 -166.2579
13.400000 96.973 -167.1198
13.600000 96.943 -167.8943
13.800000 96.916 -168.5665
14.000000 96.898 -169.1806
14.300000 96.890 -170.0260
14.500000 96.898 -170.5993
14.750000 96.915 -171.3616
15.000000 96.935 -172.1866
15.250000 96.950 -173.0589
15.500000 96.956 -173.9366
15.750000 96.955 -174.7961
16.000000 96.950 -175.6080
16.250000 96.945 -176.3819
16.500000 96.941 -177.1290
16.750000 96.939 -177.8731
17.000000 96.935 -178.6256
17.250000 96.926 -179.3773
17.500000 96.909 179.8876
17.750000 96.886 179.2112
18.000000 96.861 178.6050
18.250000 96.838 178.0822
18.500000 96.825 177.6105
18.750000 96.822 177.1487
19.000000 96.830 176.6581
19.250000 96.839 176.0941
19.500000 96.843 175.4728
19.750000 96.837 174.8104
20.000000 96.816 174.1745
20.299999 96.779 173.5090
20.600000 96.742 172.9733
20.900000 96.719 172.5314
21.200001 96.715 172.0746
21.400000 96.719 171.6954
21.799999 96.717 170.7429
22.000000 96.702 170.2032
22.400000 96.630 169.1736
22.700001 96.554 168.6030
23.000000 96.488 168.2556
23.299999 96.456 167.9933
23.600000 96.458 167.6255
24.000000 96.480 166.7349
24.299999 96.467 165.7832
24.700001 96.377 164.4758
25.000000 96.269 163.7899
25.400000 96.136 163.4715
25.799999 96.105 163.5038
26.200001 96.181 163.1801
26.500000 96.250 162.4356
26.900000 96.271 160.9363
27.200001 96.204 159.8653
27.600000 96.037 159.1430
28.000000 95.903 159.4963
28.500000 95.961 160.6286
29.000000 96.232 160.8570
29.500000 96.476 159.5403
30.000000 96.510 157.6460
30.400000 96.394 156.7162
30.700001 96.277 156.6736
31.100000 96.180 157.4214
31.500000 96.232 158.5598
32.000000 96.506 159.2936
32.500000 96.837 158.2232
33.000000 96.986 155.5008
33.500000 96.843 152.4199
34.000000 96.470 150.5202
34.500000 96.085 150.2827
35.000000 95.876 150.7964
35.500000 95.827 150.7591
36.000000 95.784 149.8883
36.500000 95.671 148.8396
37.000000 95.541 148.1614
37.500000 95.471 147.6963
38.200001 95.447 146.7232
38.700001 95.420 145.8569
39.500000 95.368 144.7971
40.000000 95.360 144.2525
40.599998 95.355 143.5310
41.200001 95.328 142.8321
41.799999 95.287 142.2518
42.500000 95.231 141.6233
43.099998 95.168 141.0789
43.700001 95.094 140.5695
44.400002 95.008 139.9775
45.000000 94.938 139.4146
45.500000 94.882 138.9113
46.200001 94.813 138.1640
46.799999 94.761 137.4900
47.500000 94.712 136.7285
48.200001 94.686 135.9776
48.700001 94.677 135.3605
49.400002 94.643 134.3808
50.000000 94.574 133.6572
50.799999 94.468 133.1377
51.500000 94.409 132.8790
52.200001 94.364 132.4802
53.000000 94.288 131.9136
53.799999 94.202 131.4196
54.500000 94.141 130.9516
55.200001 94.084 130.3669
56.000000 94.014 129.6494
57.000000 93.937 128.8153
58.000000 93.884 128.0025
59.000000 93.829 127.1824
60.000000 93.761 126.5187
60.799999 93.711 126.0765
61.500000 93.665 125.6346
62.200001 93.603 125.1401
63.000000 93.513 124.5934
64.000000 93.393 123.9515
65.000000 93.280 123.1892
66.000000 93.140 122.3091
67.000000 92.987 121.8211
68.000000 92.927 121.6019
69.000000 92.928 120.9678
70.000000 92.901 120.1056
71.000000 92.847 119.3426
72.000000 92.779 118.7402
73.000000 92.706 118.2267
74.000000 92.618 117.8011
75.000000 92.535 117.5320
76.199997 92.467 117.1310
77.500000 92.400 116.4452
78.800003 92.318 115.7056
80.000000 92.271 114.9749
81.199997 92.191 113.9685
82.500000 92.055 113.2347
83.800003 91.952 112.8263
85.000000 91.908 112.3687
86.199997 91.863 111.5345
87.500000 91.757 110.6057
88.500000 91.661 110.2055
90.000000 91.592 109.9119
91.199997 91.572 109.4096
92.500000 91.504 108.7299
93.800003 91.404 108.2724
95.000000 91.317 107.9524
96.199997 91.234 107.6024
97.500000 91.142 107.1721
98.800003 91.054 106.7649
100.000000 90.996 106.3680
101.500000 90.943 105.6889
103.000000 90.881 104.9176
104.400002 90.814 104.2558
106.000000 90.730 103.5988
107.500000 90.649 103.0873
109.000000 90.573 102.6029
110.599998 90.498 102.0296
112.000000 90.432 101.4706
113.800003 90.339 100.7732
115.000000 90.276 100.3817
117.199997 90.166 99.6812
118.000000 90.124 99.4226
120.599998 89.990 98.6642
122.000000 89.933 98.2668
124.099998 89.850 97.6396
125.000000 89.808 97.3645
126.500000 89.728 96.9021
128.000000 89.644 96.4179
131.500000 89.513 95.1951
132.000000 89.505 95.0195
134.000000 89.463 94.2499
136.000000 89.337 93.7908
138.000000 89.199 93.7742
140.000000 89.085 93.6328
143.000000 88.944 93.2487
145.000000 88.860 93.1096
147.500000 88.747 93.0933
150.000000 88.679 93.2295
152.500000 88.713 93.0993
155.000000 88.773 92.6526
157.500000 88.816 91.9701
160.000000 88.829 91.0647
162.500000 88.809 90.0980
165.000000 88.745 89.1426
167.500000 88.657 88.2853
170.000000 88.603 87.4245
172.500000 88.554 86.5677
175.000000 88.494 85.8940
177.500000 88.425 85.2600
180.000000 88.353 84.6376
182.500000 88.285 84.0624
185.000000 88.216 83.5237
187.500000 88.148 83.0013
190.000000 88.087 82.4817
192.500000 88.034 81.9938
195.000000 87.984 81.5425
197.500000 87.933 81.1117
200.000000 87.875 80.6458
203.000000 87.799 80.0980
206.000000 87.740 79.5414
209.000000 87.685 78.9996
212.000000 87.628 78.4985
214.000000 87.590 78.1748
218.000000 87.517 77.5853
220.000000 87.483 77.3021
224.000000 87.418 76.7220
227.000000 87.368 76.3031
230.000000 87.317 75.8686
233.000000 87.268 75.3949
236.000000 87.223 74.9619
240.000000 87.172 74.4994
243.000000 87.133 74.1581
247.000000 87.072 73.6901
250.000000 87.030 73.3604
254.000000 86.993 72.8977
258.000000 86.955 72.4202
262.000000 86.914 71.9610
265.000000 86.883 71.6257
269.000000 86.840 71.2009
272.000000 86.811 70.9083
276.000000 86.780 70.5359
280.000000 86.749 70.1685
285.000000 86.711 69.6885
290.000000 86.675 69.1988
295.000000 86.643 68.7620
300.000000 86.609 68.3423
304.000000 86.583 68.0171
