* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -24.7 dBFS, measurement signal peak level -18.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:22:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0236 ms (-8.1 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Aurora R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.537 -3.3585
1.015000 77.654 -3.3795
1.030000 77.771 -3.4108
1.044000 77.881 -3.4502
1.060000 78.007 -3.5081
1.075000 78.126 -3.5757
1.090000 78.244 -3.6573
1.106000 78.370 -3.7595
1.120000 78.483 -3.8565
1.138000 78.631 -3.9901
1.150000 78.731 -4.0848
1.172000 78.917 -4.2705
1.180000 78.986 -4.3420
1.206000 79.213 -4.5895
1.220000 79.337 -4.7325
1.241000 79.525 -4.9602
1.250000 79.606 -5.0627
1.265000 79.741 -5.2403
1.280000 79.877 -5.4265
1.315000 80.197 -5.8952
1.320000 80.242 -5.9662
1.340000 80.425 -6.2603
1.360000 80.607 -6.5712
1.380000 80.789 -6.8992
1.400000 80.969 -7.2448
1.430000 81.235 -7.7970
1.450000 81.410 -8.1883
1.475000 81.625 -8.7050
1.500000 81.840 -9.2593
1.525000 82.056 -9.8504
1.550000 82.271 -10.4751
1.575000 82.487 -11.1305
1.600000 82.702 -11.8136
1.625000 82.915 -12.5214
1.650000 83.128 -13.2509
1.675000 83.338 -13.9990
1.700000 83.547 -14.7628
1.725000 83.753 -15.5393
1.750000 83.956 -16.3255
1.775000 84.156 -17.1184
1.800000 84.352 -17.9149
1.825000 84.545 -18.7121
1.850000 84.734 -19.5135
1.875000 84.920 -20.3327
1.900000 85.104 -21.1686
1.925000 85.286 -22.0196
1.950000 85.464 -22.8840
1.975000 85.641 -23.7602
2.000000 85.814 -24.6466
2.030000 86.019 -25.7214
2.060000 86.220 -26.8056
2.090000 86.417 -27.8964
2.120000 86.610 -28.9909
2.140000 86.736 -29.7213
2.180000 86.983 -31.1800
2.200000 87.104 -31.9066
2.240000 87.340 -33.3709
2.270000 87.512 -34.4821
2.300000 87.679 -35.6020
2.330000 87.843 -36.7284
2.360000 88.002 -37.8592
2.400000 88.209 -39.3701
2.430000 88.360 -40.5027
2.470000 88.555 -42.0083
2.500000 88.698 -43.1310
2.540000 88.882 -44.6156
2.580000 89.060 -46.0833
2.620000 89.232 -47.5491
2.650000 89.355 -48.6481
2.690000 89.514 -50.1103
2.720000 89.630 -51.2026
2.760000 89.778 -52.6505
2.800000 89.920 -54.0857
2.850000 90.091 -55.8566
2.900000 90.254 -57.5956
2.950000 90.409 -59.2981
3.000000 90.556 -60.9776
3.040000 90.666 -62.3052
3.070000 90.745 -63.2904
3.110000 90.846 -64.5883
3.150000 90.943 -65.8667
3.200000 91.058 -67.4341
3.250000 91.168 -68.9642
3.300000 91.273 -70.4533
3.350000 91.373 -71.9054
3.400000 91.465 -73.3240
3.450000 91.550 -74.7078
3.500000 91.631 -76.0553
3.550000 91.708 -77.3650
3.600000 91.782 -78.6354
3.650000 91.855 -79.8651
3.700000 91.926 -81.0517
3.750000 91.992 -82.1936
3.820000 92.079 -83.7238
3.870000 92.139 -84.7724
3.950000 92.232 -86.3827
4.000000 92.291 -87.3523
4.060000 92.363 -88.4798
4.120000 92.435 -89.5518
4.180000 92.505 -90.5747
4.250000 92.587 -91.7193
4.310000 92.659 -92.6696
4.370000 92.733 -93.6022
4.440000 92.822 -94.6695
4.500000 92.901 -95.5476
4.550000 92.968 -96.2585
4.620000 93.063 -97.2332
4.680000 93.146 -98.0596
4.750000 93.243 -99.0263
4.820000 93.341 -99.9968
4.870000 93.413 -100.6833
4.940000 93.514 -101.6383
5.000000 93.601 -102.4545
5.080000 93.716 -103.5447
5.150000 93.813 -104.5054
5.220000 93.909 -105.4727
5.300000 94.018 -106.5818
5.380000 94.125 -107.6897
5.450000 94.215 -108.6540
5.520000 94.301 -109.6112
5.600000 94.395 -110.7050
5.700000 94.507 -112.0653
5.800000 94.614 -113.4031
5.900000 94.715 -114.7045
6.000000 94.809 -115.9773
6.080000 94.880 -116.9746
6.150000 94.941 -117.8297
6.220000 95.000 -118.6665
6.300000 95.067 -119.5981
6.400000 95.146 -120.7277
6.500000 95.223 -121.8275
6.600000 95.300 -122.9065
6.700000 95.376 -123.9595
6.800000 95.450 -124.9874
6.900000 95.524 -126.0024
7.000000 95.595 -127.0153
7.100000 95.665 -128.0208
7.200000 95.733 -129.0183
7.300000 95.798 -130.0099
7.400000 95.857 -131.0000
7.500000 95.912 -131.9896
7.620000 95.972 -133.1595
7.750000 96.027 -134.3882
7.880000 96.072 -135.5898
8.000000 96.106 -136.6523
8.120000 96.134 -137.6467
8.250000 96.156 -138.6578
8.380000 96.176 -139.5960
8.500000 96.195 -140.3872
8.620000 96.213 -141.1045
8.750000 96.236 -141.8302
8.850000 96.260 -142.3655
9.000000 96.303 -143.1070
9.120000 96.342 -143.6958
9.250000 96.391 -144.3633
9.380000 96.446 -145.0422
9.500000 96.497 -145.7042
9.620000 96.545 -146.4200
9.750000 96.596 -147.2429
9.880000 96.638 -148.0916
10.000000 96.665 -148.9040
10.150000 96.688 -149.9467
10.300000 96.694 -150.9343
10.440000 96.682 -151.8186
10.600000 96.658 -152.7327
10.750000 96.627 -153.4413
10.900000 96.592 -154.0302
11.060000 96.566 -154.5273
11.200000 96.552 -154.8353
11.380000 96.558 -155.1919
11.500000 96.581 -155.4071
11.720000 96.651 -155.8714
11.800000 96.685 -156.1084
12.060000 96.815 -157.0935
12.200000 96.879 -157.8264
12.410000 96.963 -159.1493
12.500000 96.985 -159.7624
12.650000 97.004 -160.8825
12.800000 96.999 -162.0029
13.150000 96.883 -164.3585
13.200000 96.860 -164.6269
13.400000 96.743 -165.5152
13.600000 96.630 -166.0720
13.800000 96.532 -166.2485
14.000000 96.482 -166.2383
14.300000 96.508 -166.0340
14.500000 96.597 -166.0634
14.750000 96.746 -166.4975
15.000000 96.913 -167.4550
15.250000 97.043 -168.9087
15.500000 97.115 -170.6295
15.750000 97.117 -172.4543
16.000000 97.051 -174.1174
16.250000 96.940 -175.4480
16.500000 96.805 -176.3884
16.750000 96.675 -176.9034
17.000000 96.577 -177.1233
17.250000 96.519 -177.1531
17.500000 96.507 -177.1320
17.750000 96.530 -177.1977
18.000000 96.576 -177.3877
18.250000 96.635 -177.7383
18.500000 96.694 -178.2333
18.750000 96.749 -178.8503
19.000000 96.794 -179.5679
19.250000 96.826 179.6473
19.500000 96.845 178.8215
19.750000 96.848 177.9778
20.000000 96.838 177.1545
20.299999 96.810 176.2260
20.600000 96.772 175.3850
20.900000 96.731 174.6345
21.200001 96.693 173.9515
21.400000 96.669 173.5136
21.799999 96.625 172.6596
22.000000 96.602 172.2421
22.400000 96.551 171.4498
22.700001 96.510 170.9262
23.000000 96.472 170.4821
23.299999 96.443 170.1000
23.600000 96.425 169.7434
24.000000 96.417 169.2428
24.299999 96.415 168.8169
24.700001 96.408 168.1920
25.000000 96.395 167.7172
25.400000 96.370 167.1249
25.799999 96.344 166.5901
26.200001 96.323 166.0687
26.500000 96.308 165.6509
26.900000 96.285 165.0385
27.200001 96.261 164.5469
27.600000 96.220 163.8759
28.000000 96.172 163.2046
28.500000 96.108 162.3464
29.000000 96.040 161.4423
29.500000 95.968 160.5244
30.000000 95.906 159.6133
30.400000 95.874 158.8201
30.700001 95.857 158.1284
31.100000 95.828 157.0486
31.500000 95.772 155.8731
32.000000 95.657 154.5704
32.500000 95.527 153.7656
33.000000 95.453 153.4144
33.500000 95.460 153.1263
34.000000 95.510 152.5686
34.500000 95.545 151.7937
35.000000 95.548 151.0607
35.500000 95.542 150.5083
36.000000 95.542 150.0496
36.500000 95.542 149.5695
37.000000 95.528 149.0688
37.500000 95.498 148.6046
38.200001 95.446 147.9919
38.700001 95.402 147.5086
39.500000 95.309 146.6654
40.000000 95.244 146.1412
40.599998 95.168 145.5025
41.200001 95.099 144.8289
41.799999 95.036 144.1312
42.500000 94.975 143.2858
43.099998 94.929 142.5337
43.700001 94.882 141.8100
44.400002 94.830 141.0447
45.000000 94.789 140.4300
45.500000 94.749 139.9536
46.200001 94.686 139.4059
46.799999 94.636 139.0300
47.500000 94.579 138.5886
48.200001 94.511 138.1892
48.700001 94.469 137.9816
49.400002 94.442 137.6406
50.000000 94.434 137.0682
50.799999 94.380 135.9762
51.500000 94.284 135.1242
52.200001 94.190 134.5087
53.000000 94.110 133.8856
53.799999 94.042 133.2208
54.500000 93.982 132.6385
55.200001 93.919 132.0937
56.000000 93.848 131.5140
57.000000 93.756 130.7913
58.000000 93.654 130.1706
59.000000 93.573 129.5837
60.000000 93.484 128.8279
60.799999 93.392 128.3193
61.500000 93.320 127.9970
62.200001 93.265 127.6567
63.000000 93.200 127.1921
64.000000 93.109 126.6444
65.000000 93.022 126.1150
66.000000 92.921 125.5563
67.000000 92.808 125.2168
68.000000 92.726 125.0471
69.000000 92.660 124.8203
70.000000 92.580 124.7289
71.000000 92.513 124.9213
72.000000 92.483 125.3447
73.000000 92.523 125.7852
74.000000 92.623 125.7786
75.000000 92.718 125.1156
76.199997 92.757 123.7438
77.500000 92.704 122.2347
78.800003 92.645 121.1860
80.000000 92.671 120.1628
81.199997 92.662 118.5740
82.500000 92.548 117.3024
83.800003 92.487 116.5215
85.000000 92.451 115.4901
86.199997 92.353 114.3923
87.500000 92.217 113.6865
88.500000 92.136 113.3234
90.000000 92.035 112.9013
91.199997 91.989 112.5180
92.500000 91.925 111.7520
93.800003 91.813 111.0407
95.000000 91.722 110.5376
96.199997 91.649 109.9547
97.500000 91.561 109.3326
98.800003 91.473 108.8681
100.000000 91.414 108.5571
101.500000 91.372 107.8987
103.000000 91.284 106.9682
104.400002 91.187 106.2444
106.000000 91.097 105.4416
107.500000 91.022 104.7020
109.000000 90.946 104.0034
110.599998 90.860 103.3481
112.000000 90.784 102.8534
113.800003 90.695 102.3071
115.000000 90.642 101.9441
117.199997 90.547 101.2383
118.000000 90.513 100.9555
120.599998 90.402 99.9683
122.000000 90.343 99.4247
124.099998 90.239 98.7150
125.000000 90.189 98.4619
126.500000 90.105 98.0445
128.000000 90.029 97.5356
131.500000 89.968 96.0055
132.000000 89.975 95.7506
134.000000 89.973 94.6156
136.000000 89.833 94.0189
138.000000 89.684 94.0665
140.000000 89.574 93.8504
143.000000 89.443 92.9982
145.000000 89.360 92.4016
147.500000 89.244 91.6490
150.000000 89.137 91.0468
152.500000 89.092 90.5132
155.000000 89.037 89.9248
157.500000 88.959 89.3801
160.000000 88.872 88.8080
162.500000 88.761 88.1762
165.000000 88.630 87.2609
167.500000 88.492 86.2065
170.000000 88.440 85.8212
172.500000 88.460 85.6106
175.000000 88.427 85.3335
177.500000 88.362 84.9013
180.000000 88.307 84.3857
182.500000 88.258 83.9084
185.000000 88.196 83.4109
187.500000 88.122 82.9121
190.000000 88.055 82.4609
192.500000 87.992 82.0189
195.000000 87.923 81.5485
197.500000 87.830 81.1928
200.000000 87.728 81.3059
203.000000 87.718 81.2462
206.000000 87.710 80.1827
209.000000 87.669 79.3464
212.000000 87.620 78.8970
214.000000 87.586 78.6649
218.000000 87.543 78.0699
220.000000 87.522 77.6954
224.000000 87.468 76.9991
227.000000 87.430 76.5340
230.000000 87.398 75.9523
233.000000 87.374 75.1861
236.000000 87.337 74.5464
240.000000 87.265 74.2214
243.000000 87.212 73.9399
247.000000 87.150 73.4463
250.000000 87.109 73.0837
254.000000 87.061 72.4955
258.000000 87.015 71.9221
262.000000 86.968 71.4472
265.000000 86.934 71.0953
269.000000 86.888 70.6367
272.000000 86.861 70.3257
276.000000 86.828 69.9150
280.000000 86.791 69.4808
285.000000 86.744 68.9096
290.000000 86.699 68.3621
295.000000 86.662 67.8564
