* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:28:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B80 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.454 161.5641
0.732422 35.521 142.0334
1.098633 32.134 119.3669
1.464844 27.588 89.6194
1.831055 24.480 58.6944
2.197266 26.334 57.2241
2.563477 32.461 61.8994
2.929688 38.138 55.7785
3.295898 42.338 45.9813
3.662109 45.346 36.0562
4.028320 47.487 27.4995
4.394531 49.052 21.0686
4.760742 50.312 16.9113
5.126953 51.493 14.4321
5.493164 52.698 12.5695
5.859375 53.904 10.4907
6.225586 55.046 7.9808
6.591797 56.093 5.2042
6.958008 57.053 2.3252
7.324219 57.937 -0.6258
7.690430 58.739 -3.6137
8.056641 59.448 -6.4262
8.422852 60.088 -8.6995
8.789062 60.733 -10.2063
9.155273 61.480 -11.2105
9.521484 62.364 -12.4686
9.887695 63.314 -14.6870
10.253906 64.202 -17.9910
10.620117 64.928 -21.9184
10.986328 65.461 -25.7462
11.352539 65.845 -28.8394
11.718750 66.165 -30.9170
12.084961 66.504 -32.1501
12.451172 66.891 -32.9520
12.817383 67.305 -33.5969
13.183594 67.725 -34.0682
13.549805 68.165 -34.2813
13.916016 68.661 -34.3990
14.282227 69.215 -34.8477
14.648438 69.768 -35.9637
15.014648 70.235 -37.6568
15.380859 70.569 -39.4305
15.747070 70.796 -40.6939
16.113281 71.007 -41.1790
16.479492 71.297 -41.2103
16.845703 71.679 -41.4905
17.211914 72.074 -42.4757
17.578125 72.387 -43.9990
17.944336 72.582 -45.4463
18.310547 72.713 -46.2330
18.676758 72.893 -46.2911
19.042969 73.203 -46.2261
19.409180 73.612 -46.8391
19.775391 74.004 -48.4317
20.141602 74.278 -50.6265
20.507812 74.404 -52.6926
20.874023 74.444 -53.9963
21.240234 74.508 -54.3934
21.606445 74.685 -54.3557
21.972656 74.970 -54.5970
22.338867 75.281 -55.4823
22.705078 75.537 -56.8280
23.071289 75.709 -58.1581
23.437500 75.834 -59.0795
23.803711 75.975 -59.5377
24.169922 76.174 -59.8191
24.536133 76.422 -60.2921
24.902344 76.674 -61.1181
25.268555 76.888 -62.1851
25.634766 77.051 -63.2465
26.000977 77.179 -64.1035
26.367188 77.301 -64.7062
26.733398 77.439 -65.1398
27.099609 77.600 -65.5366
27.465820 77.777 -65.9948
27.832031 77.961 -66.5573
28.198242 78.142 -67.2304
28.564453 78.312 -68.0012
28.930664 78.467 -68.8346
29.296875 78.601 -69.6707
29.663086 78.720 -70.4412
30.029297 78.831 -71.1023
30.395508 78.947 -71.6594
30.761719 79.075 -72.1628
31.127930 79.217 -72.6774
31.494141 79.368 -73.2523
31.860352 79.520 -73.9087
32.226562 79.666 -74.6440
32.592773 79.799 -75.4338
32.958984 79.913 -76.2289
33.325195 80.010 -76.9582
33.691406 80.094 -77.5526
34.057617 80.181 -77.9865
34.423828 80.284 -78.3079
34.790039 80.409 -78.6254
35.156250 80.549 -79.0469
35.522461 80.687 -79.6127
35.888672 80.805 -80.2708
36.254883 80.899 -80.9112
36.621094 80.977 -81.4302
36.987305 81.056 -81.7895
37.353516 81.151 -82.0365
37.719727 81.271 -82.2789
38.085938 81.411 -82.6299
38.452148 81.557 -83.1553
38.818359 81.692 -83.8475
39.184570 81.803 -84.6309
39.550781 81.888 -85.3955
39.916992 81.956 -86.0455
40.283203 82.022 -86.5484
40.649414 82.102 -86.9527
41.015625 82.198 -87.3559
41.381836 82.303 -87.8342
41.748047 82.405 -88.3893
42.114258 82.495 -88.9559
42.480469 82.578 -89.4670
42.846680 82.668 -89.9229
43.212891 82.769 -90.4019
43.579102 82.872 -90.9921
43.945312 82.960 -91.7004
44.311523 83.017 -92.4199
44.677734 83.048 -92.9911
45.043945 83.074 -93.3177
45.410156 83.125 -93.4530
45.776367 83.212 -93.5778
46.142578 83.323 -93.8710
46.508789 83.432 -94.3807
46.875000 83.518 -95.0071
47.241211 83.580 -95.5964
47.607422 83.635 -96.0637
47.973633 83.702 -96.4508
48.339844 83.787 -96.8780
48.706055 83.875 -97.4322
49.072266 83.950 -98.0928
49.438477 84.002 -98.7518
49.804688 84.041 -99.2987
50.170898 84.081 -99.6985
50.537109 84.139 -100.0057
50.903320 84.215 -100.3154
51.269531 84.305 -100.6984
51.635742 84.399 -101.1770
52.001953 84.487 -101.7409
52.368164 84.564 -102.3684
52.734375 84.624 -103.0217
53.100586 84.662 -103.6309
53.466797 84.683 -104.1017
53.833008 84.703 -104.3664
54.199219 84.743 -104.4513
54.565430 84.818 -104.4967
54.931641 84.925 -104.6856
55.297852 85.037 -105.1234
55.664062 85.128 -105.7676
56.030273 85.185 -106.4625
56.396484 85.216 -107.0498
56.762695 85.243 -107.4756
57.128906 85.286 -107.8191
57.495117 85.344 -108.2162
57.861328 85.402 -108.7387
58.227539 85.443 -109.3342
58.593750 85.462 -109.8731
58.959961 85.476 -110.2570
59.326172 85.504 -110.5029
59.692383 85.558 -110.7323
60.058594 85.632 -111.0740
60.424805 85.705 -111.5639
60.791016 85.763 -112.1308
61.157227 85.806 -112.6669
61.523438 85.846 -113.1178
61.889648 85.895 -113.5174
62.255859 85.954 -113.9462
62.622070 86.014 -114.4537
62.988281 86.064 -115.0192
63.354492 86.101 -115.5793
63.720703 86.129 -116.0868
64.086914 86.154 -116.5429
64.453125 86.178 -116.9744
64.819336 86.196 -117.3832
65.185547 86.207 -117.7266
65.551758 86.219 -117.9535
65.917969 86.245 -118.0701
66.284180 86.297 -118.1686
66.650391 86.372 -118.3803
67.016602 86.452 -118.7839
67.382812 86.517 -119.3508
67.749023 86.557 -119.9693
68.115234 86.577 -120.5242
68.481445 86.590 -120.9685
68.847656 86.609 -121.3368
69.213867 86.636 -121.6948
69.580078 86.663 -122.0738
69.946289 86.686 -122.4478
70.312500 86.707 -122.7695
70.678711 86.734 -123.0273
71.044922 86.776 -123.2713
71.411133 86.830 -123.5846
71.777344 86.886 -124.0219
72.143555 86.928 -124.5662
72.509766 86.948 -125.1329
72.875977 86.948 -125.6146
73.242188 86.941 -125.9411
73.608398 86.945 -126.1225
73.974609 86.973 -126.2535
74.340820 87.024 -126.4677
74.707031 87.084 -126.8615
75.073242 87.130 -127.4344
75.439453 87.147 -128.0829
75.805664 87.133 -128.6535
76.171875 87.106 -129.0313
76.538086 87.090 -129.2143
76.904297 87.103 -129.3201
77.270508 87.141 -129.5036
77.636719 87.186 -129.8444
78.002930 87.219 -130.2961
78.369141 87.235 -130.7377
78.735352 87.246 -131.0810
79.101562 87.270 -131.3501
79.467773 87.312 -131.6635
79.833984 87.360 -132.1273
80.200195 87.391 -132.7299
80.566406 87.390 -133.3336
80.932617 87.367 -133.7682
81.298828 87.346 -133.9628
81.665039 87.355 -134.0156
82.031250 87.398 -134.1322
82.397461 87.454 -134.4648
82.763672 87.489 -134.9904
83.129883 87.486 -135.5250
83.496094 87.458 -135.8586
83.862305 87.438 -135.9185
84.228516 87.460 -135.8500
84.594727 87.526 -135.9289
84.960938 87.603 -136.3544
85.327148 87.647 -137.0945
85.693359 87.631 -137.9001
86.059570 87.563 -138.4579
86.425781 87.487 -138.5895
86.791992 87.452 -138.3862
87.158203 87.481 -138.1635
87.524414 87.554 -138.2312
87.890625 87.622 -138.6708
88.256836 87.650 -139.3071
88.623047 87.634 -139.8627
88.989258 87.606 -140.1640
89.355469 87.603 -140.2651
89.721680 87.638 -140.3956
90.087891 87.693 -140.7624
90.454102 87.729 -141.3781
90.820312 87.723 -142.0576
91.186523 87.682 -142.5610
91.552734 87.636 -142.7659
91.918945 87.621 -142.7539
92.285156 87.648 -142.7430
92.651367 87.700 -142.9181
93.017578 87.750 -143.3111
93.383789 87.777 -143.8181
93.750000 87.783 -144.3075
94.116211 87.778 -144.7158
94.482422 87.774 -145.0656
94.848633 87.771 -145.4089
95.214844 87.764 -145.7609
95.581055 87.749 -146.0844
95.947266 87.730 -146.3302
96.313477 87.715 -146.4888
96.679688 87.713 -146.6041
97.045898 87.724 -146.7410
97.412109 87.742 -146.9408
97.778320 87.760 -147.2044
98.144531 87.775 -147.5091
98.510742 87.785 -147.8335
98.876953 87.790 -148.1672
99.243164 87.791 -148.5008
99.609375 87.787 -148.8174
99.975586 87.781 -149.0974
100.341797 87.776 -149.3349
100.708008 87.777 -149.5465
101.074219 87.783 -149.7626
101.440430 87.793 -150.0065
101.806641 87.803 -150.2805
102.172852 87.808 -150.5698
102.539062 87.810 -150.8560
102.905273 87.808 -151.1282
103.271484 87.805 -151.3822
103.637695 87.801 -151.6146
104.003906 87.797 -151.8214
104.370117 87.795 -152.0045
104.736328 87.798 -152.1786
105.102539 87.805 -152.3678
105.468750 87.815 -152.5923
105.834961 87.822 -152.8537
106.201172 87.823 -153.1325
106.567383 87.818 -153.3993
106.933594 87.811 -153.6313
107.299805 87.805 -153.8245
107.666016 87.805 -153.9952
108.032227 87.812 -154.1713
108.398438 87.824 -154.3808
108.764648 87.837 -154.6402
109.130859 87.847 -154.9479
109.497070 87.849 -155.2825
109.863281 87.843 -155.6105
110.229492 87.831 -155.9005
110.595703 87.817 -156.1387
110.961914 87.805 -156.3346
111.328125 87.797 -156.5129
111.694336 87.792 -156.6954
112.060547 87.786 -156.8855
112.426758 87.778 -157.0693
112.792969 87.770 -157.2305
113.159180 87.764 -157.3692
113.525391 87.764 -157.5081
113.891602 87.768 -157.6812
114.257812 87.772 -157.9104
114.624023 87.768 -158.1874
114.990234 87.754 -158.4724
115.356445 87.730 -158.7121
115.722656 87.702 -158.8687
116.088867 87.682 -158.9438
116.455078 87.677 -158.9842
116.821289 87.687 -159.0617
117.187500 87.707 -159.2357
117.553711 87.725 -159.5222
117.919922 87.732 -159.8868
118.286133 87.725 -160.2668
118.652344 87.707 -160.6058
119.018555 87.683 -160.8793
119.384766 87.658 -161.0927
119.750977 87.634 -161.2569
120.117188 87.612 -161.3672
120.483398 87.595 -161.4090
120.849609 87.590 -161.3918
121.215820 87.603 -161.3779
121.582031 87.633 -161.4674
121.948242 87.664 -161.7336
122.314453 87.674 -162.1538
122.680664 87.647 -162.5943
123.046875 87.587 -162.8699
123.413086 87.520 -162.8547
123.779297 87.479 -162.5791
124.145508 87.487 -162.2357
124.511719 87.536 -162.0642
124.877930 87.597 -162.1962
125.244141 87.639 -162.5847
125.610352 87.644 -163.0598
125.976562 87.622 -163.4509
126.342773 87.592 -163.6895
126.708984 87.574 -163.8343
127.075195 87.571 -164.0020
127.441406 87.571 -164.2639
127.807617 87.559 -164.5907
128.173828 87.529 -164.8836
128.540039 87.491 -165.0539
128.906250 87.462 -165.0920
129.272461 87.453 -165.0745
129.638672 87.464 -165.1091
130.004883 87.482 -165.2610
130.371094 87.493 -165.5190
130.737305 87.490 -165.8154
131.103516 87.472 -166.0761
131.469727 87.449 -166.2636
131.835938 87.428 -166.3888
132.202148 87.413 -166.4893
132.568359 87.400 -166.5946
132.934570 87.387 -166.7023
133.300781 87.372 -166.7837
133.666992 87.360 -166.8144
134.033203 87.361 -166.8103
134.399414 87.379 -166.8405
134.765625 87.412 -166.9986
135.131836 87.443 -167.3438
135.498047 87.454 -167.8505
135.864258 87.430 -168.4026
136.230469 87.374 -168.8406
136.596680 87.302 -169.0415
136.962891 87.241 -168.9902
137.329102 87.211 -168.7931
137.695312 87.216 -168.6132
138.061523 87.240 -168.5665
138.427734 87.266 -168.6610
138.793945 87.281 -168.8191
139.160156 87.287 -168.9559
139.526367 87.296 -169.0487
139.892578 87.313 -169.1485
140.258789 87.336 -169.3268
140.625000 87.352 -169.6068
140.991211 87.351 -169.9375
141.357422 87.330 -170.2298
141.723633 87.300 -170.4208
142.089844 87.272 -170.5165
142.456055 87.253 -170.5788
142.822266 87.241 -170.6679
143.188477 87.226 -170.7933
143.554688 87.204 -170.9130
143.920898 87.178 -170.9787
