* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:30:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B80 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.716 160.0957
0.732422 36.085 142.1152
1.098633 31.498 131.2399
1.464844 27.218 136.9689
1.831055 28.697 124.6977
2.197266 34.036 84.5506
2.563477 39.781 51.1885
2.929688 44.061 26.0438
3.295898 46.832 5.7407
3.662109 48.287 -10.3098
4.028320 48.614 -20.6075
4.394531 48.260 -21.6171
4.760742 48.571 -11.8931
5.126953 50.581 -2.0883
5.493164 53.041 -0.5563
5.859375 54.899 -3.9979
6.225586 56.008 -7.8477
6.591797 56.622 -8.9180
6.958008 57.266 -5.9604
7.324219 58.452 -1.2654
7.690430 60.114 1.1750
8.056641 61.790 0.1162
8.422852 63.176 -3.1884
8.789062 64.211 -7.0951
9.155273 64.976 -10.4175
9.521484 65.620 -12.6330
9.887695 66.286 -13.9435
10.253906 67.050 -15.0720
10.620117 67.884 -16.7570
10.986328 68.702 -19.3302
11.352539 69.417 -22.6636
11.718750 69.975 -26.3308
12.084961 70.367 -29.7768
12.451172 70.632 -32.4748
12.817383 70.857 -34.1317
13.183594 71.142 -34.9069
13.549805 71.540 -35.3992
13.916016 72.018 -36.2313
14.282227 72.487 -37.5785
14.648438 72.884 -39.1092
15.014648 73.215 -40.3194
15.380859 73.549 -40.9796
15.747070 73.960 -41.3977
16.113281 74.446 -42.2034
16.479492 74.923 -43.7757
16.845703 75.289 -45.9043
17.211914 75.503 -47.9295
17.578125 75.610 -49.1506
17.944336 75.732 -49.3092
18.310547 75.987 -48.9023
18.676758 76.388 -48.8791
19.042969 76.830 -49.8534
19.409180 77.191 -51.7024
19.775391 77.408 -53.8135
20.141602 77.503 -55.5385
20.507812 77.555 -56.5564
20.874023 77.643 -57.0194
21.240234 77.795 -57.3600
21.606445 77.979 -57.8852
21.972656 78.152 -58.5612
22.338867 78.307 -59.1585
22.705078 78.474 -59.5525
23.071289 78.686 -59.8876
23.437500 78.940 -60.4519
23.803711 79.194 -61.3949
24.169922 79.406 -62.5833
24.536133 79.564 -63.7122
24.902344 79.698 -64.5488
25.268555 79.854 -65.1181
25.634766 80.051 -65.6782
26.000977 80.269 -66.4843
26.367188 80.461 -67.5614
26.733398 80.598 -68.6855
27.099609 80.689 -69.5578
27.465820 80.775 -70.0273
27.832031 80.899 -70.2126
28.198242 81.078 -70.4158
28.564453 81.285 -70.8883
28.930664 81.478 -71.6576
29.296875 81.632 -72.5504
29.663086 81.750 -73.3471
30.029297 81.856 -73.9378
30.395508 81.978 -74.3795
30.761719 82.125 -74.8274
31.127930 82.282 -75.4022
31.494141 82.433 -76.1083
31.860352 82.567 -76.8582
32.226562 82.690 -77.5615
32.592773 82.813 -78.2011
32.958984 82.946 -78.8400
33.325195 83.085 -79.5585
33.691406 83.215 -80.3795
34.057617 83.325 -81.2418
34.423828 83.414 -82.0386
34.790039 83.492 -82.6900
35.156250 83.575 -83.1954
35.522461 83.675 -83.6308
35.888672 83.789 -84.0905
36.254883 83.906 -84.6200
36.621094 84.015 -85.1932
36.987305 84.113 -85.7460
37.353516 84.207 -86.2351
37.719727 84.306 -86.6741
38.085938 84.411 -87.1204
38.452148 84.518 -87.6250
38.818359 84.617 -88.1883
39.184570 84.700 -88.7576
39.550781 84.772 -89.2662
39.916992 84.841 -89.6822
40.283203 84.918 -90.0345
40.649414 85.008 -90.3960
41.015625 85.106 -90.8390
41.381836 85.201 -91.3934
41.748047 85.282 -92.0321
42.114258 85.343 -92.6857
42.480469 85.386 -93.2743
42.846680 85.422 -93.7440
43.212891 85.464 -94.0941
43.579102 85.523 -94.3824
43.945312 85.599 -94.6964
44.311523 85.685 -95.1021
44.677734 85.769 -95.6032
45.043945 85.843 -96.1442
45.410156 85.911 -96.6592
45.776367 85.981 -97.1314
46.142578 86.061 -97.6120
46.508789 86.146 -98.1724
46.875000 86.220 -98.8235
47.241211 86.273 -99.4763
47.607422 86.309 -99.9901
47.973633 86.350 -100.2857
48.339844 86.423 -100.4418
48.706055 86.539 -100.6750
49.072266 86.676 -101.1901
49.438477 86.795 -102.0204
49.804688 86.865 -102.9929
50.170898 86.882 -103.8350
50.537109 86.876 -104.3455
50.903320 86.887 -104.5263
51.269531 86.942 -104.5793
51.635742 87.036 -104.7527
52.001953 87.138 -105.1633
52.368164 87.222 -105.7451
52.734375 87.277 -106.3393
53.100586 87.317 -106.8262
53.466797 87.359 -107.1981
53.833008 87.414 -107.5347
54.199219 87.479 -107.9180
54.565430 87.543 -108.3717
54.931641 87.600 -108.8671
55.297852 87.652 -109.3703
55.664062 87.699 -109.8722
56.030273 87.743 -110.3774
56.396484 87.782 -110.8773
56.762695 87.816 -111.3453
57.128906 87.851 -111.7630
57.495117 87.891 -112.1478
57.861328 87.938 -112.5438
58.227539 87.987 -112.9808
58.593750 88.031 -113.4446
58.959961 88.069 -113.8916
59.326172 88.106 -114.2970
59.692383 88.147 -114.6839
60.058594 88.191 -115.0984
60.424805 88.228 -115.5492
60.791016 88.252 -115.9789
61.157227 88.269 -116.3057
61.523438 88.293 -116.5080
61.889648 88.339 -116.6710
62.255859 88.404 -116.9347
62.622070 88.469 -117.3755
62.988281 88.511 -117.9320
63.354492 88.525 -118.4484
63.720703 88.526 -118.8006
64.086914 88.541 -119.0043
64.453125 88.581 -119.2059
64.819336 88.635 -119.5503
65.185547 88.678 -120.0485
65.551758 88.696 -120.5713
65.917969 88.697 -120.9696
66.284180 88.708 -121.2141
66.650391 88.744 -121.4277
67.016602 88.797 -121.7704
67.382812 88.844 -122.2840
67.749023 88.864 -122.8500
68.115234 88.863 -123.2965
68.481445 88.865 -123.5551
68.847656 88.892 -123.7264
69.213867 88.942 -123.9843
69.580078 88.990 -124.4026
69.946289 89.016 -124.8822
70.312500 89.022 -125.2485
70.678711 89.035 -125.4292
71.044922 89.078 -125.5493
71.411133 89.147 -125.8316
71.777344 89.210 -126.3818
72.143555 89.231 -127.0699
72.509766 89.208 -127.6197
72.875977 89.172 -127.8339
73.242188 89.173 -127.7847
73.608398 89.228 -127.7838
73.974609 89.308 -128.1176
74.340820 89.361 -128.7890
74.707031 89.354 -129.5111
75.073242 89.306 -129.9340
75.439453 89.271 -129.9323
75.805664 89.301 -129.7446
76.171875 89.396 -129.7991
76.538086 89.502 -130.3462
76.904297 89.558 -131.2560
77.270508 89.539 -132.1303
77.636719 89.478 -132.5947
78.002930 89.441 -132.5781
78.369141 89.477 -132.3906
78.735352 89.578 -132.4803
79.101562 89.685 -133.0636
79.467773 89.737 -133.9771
79.833984 89.717 -134.8263
80.200195 89.656 -135.2652
80.566406 89.617 -135.2356
80.932617 89.644 -135.0172
81.298828 89.732 -135.0146
81.665039 89.833 -135.4442
82.031250 89.893 -136.2027
82.397461 89.890 -136.9747
82.763672 89.843 -137.4500
83.129883 89.800 -137.5156
83.496094 89.806 -137.3299
83.862305 89.873 -137.2159
84.228516 89.973 -137.4408
84.594727 90.061 -138.0562
84.960938 90.100 -138.8964
85.327148 90.081 -139.6903
85.693359 90.024 -140.1984
86.059570 89.967 -140.3278
86.425781 89.949 -140.1814
86.791992 89.988 -140.0077
87.158203 90.068 -140.0596
87.524414 90.156 -140.4553
87.890625 90.215 -141.1273
88.256836 90.226 -141.8724
88.623047 90.194 -142.4582
88.989258 90.145 -142.7363
89.355469 90.118 -142.7217
89.721680 90.134 -142.5905
90.087891 90.194 -142.5794
90.454102 90.272 -142.8475
90.820312 90.333 -143.3957
91.186523 90.355 -144.0834
91.552734 90.333 -144.7081
91.918945 90.284 -145.1019
92.285156 90.236 -145.2056
92.651367 90.217 -145.0963
93.017578 90.241 -144.9504
93.383789 90.300 -144.9562
93.750000 90.372 -145.2248
94.116211 90.429 -145.7465
94.482422 90.452 -146.4051
94.848633 90.435 -147.0303
95.214844 90.389 -147.4661
95.581055 90.340 -147.6369
95.947266 90.314 -147.5867
96.313477 90.327 -147.4641
96.679688 90.375 -147.4493
97.045898 90.440 -147.6615
97.412109 90.494 -148.1057
97.778320 90.520 -148.6820
98.144531 90.512 -149.2422
98.510742 90.480 -149.6575
98.876953 90.443 -149.8712
99.243164 90.418 -149.9161
99.609375 90.418 -149.8893
99.975586 90.441 -149.9006
100.341797 90.476 -150.0230
100.708008 90.512 -150.2723
101.074219 90.539 -150.6179
101.440430 90.551 -151.0093
101.806641 90.551 -151.4000
102.172852 90.539 -151.7583
102.539062 90.520 -152.0668
102.905273 90.497 -152.3156
103.271484 90.475 -152.4999
103.637695 90.457 -152.6242
104.003906 90.447 -152.7083
104.370117 90.449 -152.7879
104.736328 90.461 -152.9034
105.102539 90.478 -153.0830
105.468750 90.495 -153.3296
105.834961 90.507 -153.6237
106.201172 90.511 -153.9370
106.567383 90.510 -154.2483
106.933594 90.503 -154.5485
107.299805 90.492 -154.8306
107.666016 90.474 -155.0771
108.032227 90.453 -155.2588
108.398438 90.435 -155.3528
108.764648 90.428 -155.3705
109.130859 90.439 -155.3706
109.497070 90.468 -155.4398
109.863281 90.504 -155.6464
110.229492 90.532 -155.9972
110.595703 90.539 -156.4305
110.961914 90.523 -156.8469
111.328125 90.490 -157.1596
111.694336 90.453 -157.3349
112.060547 90.423 -157.3985
112.426758 90.408 -157.4088
112.792969 90.404 -157.4192
113.159180 90.411 -157.4582
113.525391 90.424 -157.5377
113.891602 90.443 -157.6715
114.257812 90.464 -157.8799
114.624023 90.480 -158.1736
114.990234 90.486 -158.5314
115.356445 90.474 -158.8965
115.722656 90.449 -159.1996
116.088867 90.419 -159.3966
116.455078 90.394 -159.4940
116.821289 90.383 -159.5431
117.187500 90.385 -159.6054
117.553711 90.395 -159.7172
117.919922 90.406 -159.8810
118.286133 90.418 -160.0849
118.652344 90.429 -160.3280
119.018555 90.437 -160.6232
119.384766 90.438 -160.9749
119.750977 90.422 -161.3502
120.117188 90.388 -161.6745
120.483398 90.343 -161.8645
120.849609 90.301 -161.8815
121.215820 90.281 -161.7706
121.582031 90.290 -161.6488
121.948242 90.323 -161.6425
122.314453 90.364 -161.8172
122.680664 90.394 -162.1500
123.046875 90.405 -162.5589
123.413086 90.398 -162.9583
123.779297 90.380 -163.3026
124.145508 90.357 -163.5933
124.511719 90.333 -163.8516
124.877930 90.304 -164.0835
125.244141 90.271 -164.2681
125.610352 90.235 -164.3747
125.976562 90.204 -164.3914
126.342773 90.184 -164.3409
126.708984 90.179 -164.2694
127.075195 90.186 -164.2217
127.441406 90.202 -164.2218
127.807617 90.222 -164.2726
128.173828 90.245 -164.3697
128.540039 90.269 -164.5130
128.906250 90.293 -164.7076
129.272461 90.314 -164.9582
129.638672 90.330 -165.2631
130.004883 90.338 -165.6139
130.371094 90.335 -165.9960
130.737305 90.319 -166.3857
131.103516 90.287 -166.7469
131.469727 90.241 -167.0335
131.835938 90.187 -167.2032
132.202148 90.135 -167.2382
132.568359 90.093 -167.1592
132.934570 90.069 -167.0199
133.300781 90.063 -166.8841
133.666992 90.071 -166.7996
134.033203 90.085 -166.7860
134.399414 90.102 -166.8401
134.765625 90.117 -166.9475
135.131836 90.128 -167.0907
135.498047 90.135 -167.2517
135.864258 90.140 -167.4150
136.230469 90.143 -167.5744
136.596680 90.148 -167.7388
136.962891 90.154 -167.9283
137.329102 90.157 -168.1573
137.695312 90.154 -168.4168
138.061523 90.141 -168.6723
138.427734 90.121 -168.8817
138.793945 90.099 -169.0240
139.160156 90.083 -169.1159
139.526367 90.075 -169.2021
139.892578 90.073 -169.3242
140.258789 90.070 -169.4929
140.625000 90.062 -169.6851
140.991211 90.048 -169.8664
141.357422 90.033 -170.0195
141.723633 90.021 -170.1561
142.089844 90.011 -170.3032
142.456055 90.000 -170.4775
142.822266 89.985 -170.6684
143.188477 89.963 -170.8451
143.554688 89.937 -170.9799
