* Measurement data measured by REW V5.31.3
* Source: A [plughw:1,0], no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29/09/2024 5:47:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CP54E R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.051 2.6108
0.732422 44.424 72.8912
1.098633 54.493 68.8814
1.464844 60.927 52.4955
1.831055 65.538 35.6430
2.197266 69.003 20.0296
2.563477 71.660 6.0834
2.929688 73.733 -6.0533
3.295898 75.388 -16.3846
3.662109 76.764 -25.0696
4.028320 77.960 -32.4164
4.394531 79.037 -38.8012
4.760742 80.018 -44.5430
5.126953 80.908 -49.8210
5.493164 81.708 -54.6865
5.859375 82.428 -59.1363
6.225586 83.084 -63.1866
6.591797 83.692 -66.8992
6.958008 84.259 -70.3587
7.324219 84.787 -73.6293
7.690430 85.274 -76.7318
8.056641 85.720 -79.6549
8.422852 86.133 -82.3869
8.789062 86.520 -84.9423
9.155273 86.889 -87.3641
9.521484 87.241 -89.7032
9.887695 87.573 -91.9937
10.253906 87.882 -94.2413
10.620117 88.168 -96.4320
10.986328 88.433 -98.5491
11.352539 88.680 -100.5873
11.718750 88.913 -102.5539
12.084961 89.133 -104.4616
12.451172 89.343 -106.3208
12.817383 89.543 -108.1372
13.183594 89.732 -109.9157
13.549805 89.913 -111.6617
13.916016 90.084 -113.3774
14.282227 90.244 -115.0567
14.648438 90.395 -116.6854
15.014648 90.538 -118.2517
15.380859 90.678 -119.7599
15.747070 90.816 -121.2340
16.113281 90.953 -122.7033
16.479492 91.082 -124.1796
16.845703 91.200 -125.6432
17.211914 91.306 -127.0553
17.578125 91.405 -128.3890
17.944336 91.504 -129.6562
18.310547 91.607 -130.9036
18.676758 91.708 -132.1768
19.042969 91.800 -133.4799
19.409180 91.877 -134.7665
19.775391 91.942 -135.9744
20.141602 92.004 -137.0787
20.507812 92.075 -138.1207
20.874023 92.155 -139.1832
21.240234 92.236 -140.3257
21.606445 92.303 -141.5340
21.972656 92.351 -142.7267
22.338867 92.385 -143.8149
22.705078 92.420 -144.7717
23.071289 92.468 -145.6567
23.437500 92.531 -146.5742
23.803711 92.598 -147.5939
24.169922 92.652 -148.7009
24.536133 92.686 -149.8094
24.902344 92.703 -150.8248
25.268555 92.719 -151.7065
25.634766 92.744 -152.4895
26.000977 92.784 -153.2549
26.367188 92.834 -154.0752
26.733398 92.883 -154.9762
27.099609 92.923 -155.9357
27.465820 92.950 -156.9060
27.832031 92.963 -157.8390
28.198242 92.969 -158.7016
28.564453 92.972 -159.4826
28.930664 92.980 -160.1954
29.296875 92.995 -160.8747
29.663086 93.017 -161.5624
30.029297 93.043 -162.2865
30.395508 93.067 -163.0474
30.761719 93.086 -163.8226
31.127930 93.100 -164.5892
31.494141 93.113 -165.3438
31.860352 93.125 -166.1010
32.226562 93.135 -166.8720
32.592773 93.138 -167.6450
32.958984 93.134 -168.3879
33.325195 93.128 -169.0741
33.691406 93.124 -169.7081
34.057617 93.126 -170.3234
34.423828 93.131 -170.9519
34.790039 93.135 -171.5938
35.156250 93.135 -172.2191
35.522461 93.135 -172.8033
35.888672 93.141 -173.3618
36.254883 93.154 -173.9463
36.621094 93.168 -174.5986
36.987305 93.172 -175.3028
37.353516 93.162 -175.9860
37.719727 93.143 -176.5735
38.085938 93.132 -177.0590
38.452148 93.137 -177.5248
38.818359 93.156 -178.0844
39.184570 93.171 -178.7878
39.550781 93.163 -179.5714
39.916992 93.129 179.7023
40.283203 93.084 179.1463
40.649414 93.049 178.7620
41.015625 93.039 178.4323
41.381836 93.050 178.0112
41.748047 93.061 177.4368
42.114258 93.055 176.7733
42.480469 93.026 176.1553
42.846680 92.990 175.6842
43.212891 92.966 175.3505
43.579102 92.967 175.0405
43.945312 92.985 174.6219
44.311523 93.003 174.0411
44.677734 93.002 173.3559
45.043945 92.975 172.6917
45.410156 92.932 172.1599
45.776367 92.893 171.7916
46.142578 92.871 171.5223
46.508789 92.872 171.2368
46.875000 92.885 170.8412
47.241211 92.895 170.3138
47.607422 92.890 169.7083
47.973633 92.866 169.1156
48.339844 92.829 168.6125
48.706055 92.793 168.2222
49.072266 92.767 167.9073
49.438477 92.756 167.5959
49.804688 92.754 167.2269
50.170898 92.753 166.7821
50.537109 92.746 166.2894
50.903320 92.730 165.7962
51.269531 92.709 165.3362
51.635742 92.690 164.9100
52.001953 92.673 164.4928
52.368164 92.658 164.0599
52.734375 92.640 163.6122
53.100586 92.615 163.1805
53.466797 92.586 162.8062
53.833008 92.559 162.5106
54.199219 92.543 162.2735
54.565430 92.542 162.0361
54.931641 92.552 161.7300
55.297852 92.565 161.3138
55.664062 92.567 160.7967
56.030273 92.551 160.2361
56.396484 92.514 159.7138
56.762695 92.464 159.3023
57.128906 92.410 159.0363
57.495117 92.367 158.8986
57.861328 92.343 158.8274
58.227539 92.340 158.7393
58.593750 92.352 158.5598
58.959961 92.371 158.2469
59.326172 92.383 157.8009
59.692383 92.381 157.2599
60.058594 92.359 156.6868
60.424805 92.317 156.1499
60.791016 92.263 155.7047
61.157227 92.204 155.3788
61.523438 92.151 155.1663
61.889648 92.110 155.0313
62.255859 92.086 154.9210
62.622070 92.076 154.7820
62.988281 92.076 154.5758
63.354492 92.080 154.2870
63.720703 92.080 153.9253
64.086914 92.072 153.5197
64.453125 92.056 153.1072
64.819336 92.032 152.7191
65.185547 92.004 152.3712
65.551758 91.977 152.0606
65.917969 91.952 151.7719
66.284180 91.930 151.4883
66.650391 91.909 151.2004
67.016602 91.887 150.9086
67.382812 91.863 150.6188
67.749023 91.838 150.3378
68.115234 91.812 150.0697
68.481445 91.786 149.8162
68.847656 91.761 149.5769
69.213867 91.737 149.3481
69.580078 91.716 149.1224
69.946289 91.698 148.8890
70.312500 91.680 148.6397
70.678711 91.662 148.3739
71.044922 91.641 148.1007
71.411133 91.618 147.8351
71.777344 91.594 147.5891
72.143555 91.571 147.3645
72.509766 91.553 147.1501
72.875977 91.538 146.9270
73.242188 91.527 146.6772
73.608398 91.516 146.3925
73.974609 91.501 146.0789
74.340820 91.481 145.7551
74.707031 91.455 145.4449
75.073242 91.426 145.1680
75.439453 91.397 144.9303
75.805664 91.372 144.7213
76.171875 91.352 144.5187
76.538086 91.335 144.3004
76.904297 91.319 144.0561
77.270508 91.300 143.7932
77.636719 91.277 143.5307
78.002930 91.251 143.2878
78.369141 91.225 143.0724
78.735352 91.201 142.8779
79.101562 91.180 142.6891
79.467773 91.161 142.4934
79.833984 91.143 142.2866
80.200195 91.125 142.0725
80.566406 91.106 141.8560
80.932617 91.088 141.6380
81.298828 91.069 141.4150
81.665039 91.050 141.1837
82.031250 91.029 140.9460
82.397461 91.006 140.7092
82.763672 90.982 140.4819
83.129883 90.957 140.2684
83.496094 90.934 140.0665
83.862305 90.912 139.8693
84.228516 90.891 139.6699
84.594727 90.872 139.4642
84.960938 90.852 139.2512
85.327148 90.833 139.0317
85.693359 90.812 138.8078
86.059570 90.791 138.5834
86.425781 90.767 138.3647
86.791992 90.743 138.1585
87.158203 90.718 137.9694
87.524414 90.695 137.7966
87.890625 90.674 137.6341
88.256836 90.656 137.4731
88.623047 90.640 137.3058
88.989258 90.626 137.1271
89.355469 90.612 136.9358
89.721680 90.597 136.7331
90.087891 90.582 136.5219
90.454102 90.565 136.3059
90.820312 90.546 136.0890
91.186523 90.525 135.8757
91.552734 90.502 135.6713
91.918945 90.478 135.4821
92.285156 90.453 135.3142
92.651367 90.429 135.1697
93.017578 90.408 135.0432
93.383789 90.391 134.9225
93.750000 90.376 134.7943
94.116211 90.362 134.6526
94.482422 90.347 134.5029
94.848633 90.331 134.3570
95.214844 90.315 134.2231
95.581055 90.300 134.0970
95.947266 90.287 133.9641
96.313477 90.274 133.8109
96.679688 90.259 133.6368
97.045898 90.239 133.4565
97.412109 90.215 133.2894
97.778320 90.188 133.1464
98.144531 90.162 133.0233
98.510742 90.138 132.9059
98.876953 90.115 132.7812
99.243164 90.092 132.6447
99.609375 90.069 132.4979
99.975586 90.045 132.3428
100.341797 90.019 132.1793
100.708008 89.992 132.0097
101.074219 89.964 131.8429
101.440430 89.934 131.6909
101.806641 89.906 131.5585
102.172852 89.883 131.4357
102.539062 89.865 131.3015
102.905273 89.850 131.1395
103.271484 89.834 130.9513
103.637695 89.817 130.7551
104.003906 89.799 130.5697
104.370117 89.783 130.3972
104.736328 89.771 130.2215
105.102539 89.760 130.0243
105.468750 89.747 129.8045
105.834961 89.729 129.5829
106.201172 89.708 129.3866
106.567383 89.686 129.2275
106.933594 89.667 129.0931
107.299805 89.651 128.9592
107.666016 89.635 128.8120
108.032227 89.617 128.6593
108.398438 89.597 128.5203
108.764648 89.576 128.4035
109.130859 89.559 128.2954
109.497070 89.543 128.1714
109.863281 89.526 128.0207
110.229492 89.503 127.8612
110.595703 89.474 127.7300
110.961914 89.444 127.6534
111.328125 89.421 127.6223
111.694336 89.408 127.5940
112.060547 89.403 127.5211
112.426758 89.398 127.3854
112.792969 89.389 127.2084
113.159180 89.372 127.0313
113.525391 89.352 126.8831
113.891602 89.333 126.7608
114.257812 89.319 126.6387
114.624023 89.305 126.4948
114.990234 89.288 126.3339
115.356445 89.265 126.1850
115.722656 89.240 126.0778
116.088867 89.217 126.0163
116.455078 89.202 125.9727
116.821289 89.195 125.9053
117.187500 89.190 125.7877
117.553711 89.181 125.6247
117.919922 89.166 125.4457
118.286133 89.146 125.2812
118.652344 89.124 125.1414
119.018555 89.105 125.0127
119.384766 89.088 124.8723
119.750977 89.070 124.7078
120.117188 89.048 124.5290
120.483398 89.021 124.3609
120.849609 88.990 124.2277
121.215820 88.962 124.1358
121.582031 88.938 124.0703
121.948242 88.921 124.0032
122.314453 88.908 123.9112
122.680664 88.895 123.7883
123.046875 88.879 123.6493
123.413086 88.859 123.5190
123.779297 88.837 123.4164
124.145508 88.817 123.3420
124.511719 88.803 123.2767
124.877930 88.792 123.1939
125.244141 88.782 123.0777
125.610352 88.768 122.9339
125.976562 88.749 122.7871
126.342773 88.726 122.6638
126.708984 88.703 122.5743
127.075195 88.683 122.5055
127.441406 88.667 122.4305
127.807617 88.655 122.3273
128.173828 88.641 122.1937
128.540039 88.622 122.0462
128.906250 88.601 121.9074
129.272461 88.578 121.7901
129.638672 88.557 121.6910
130.004883 88.539 121.5964
130.371094 88.524 121.4935
130.737305 88.510 121.3786
131.103516 88.495 121.2563
131.469727 88.480 121.1348
131.835938 88.464 121.0199
132.202148 88.448 120.9143
132.568359 88.433 120.8188
132.934570 88.420 120.7327
133.300781 88.408 120.6522
133.666992 88.399 120.5700
134.033203 88.390 120.4777
134.399414 88.382 120.3707
134.765625 88.372 120.2524
135.131836 88.358 120.1335
135.498047 88.342 120.0260
135.864258 88.325 119.9357
136.230469 88.308 119.8593
136.596680 88.293 119.7869
136.962891 88.279 119.7083
137.329102 88.265 119.6188
137.695312 88.250 119.5201
138.061523 88.233 119.4185
138.427734 88.215 119.3201
138.793945 88.196 119.2284
139.160156 88.178 119.1427
139.526367 88.161 119.0597
139.892578 88.145 118.9747
140.258789 88.131 118.8839
140.625000 88.117 118.7852
140.991211 88.103 118.6786
141.357422 88.089 118.5658
141.723633 88.074 118.4500
142.089844 88.058 118.3349
142.456055 88.042 118.2244
142.822266 88.026 118.1210
143.188477 88.010 118.0249
143.554688 87.994 117.9334
143.920898 87.980 117.8425
144.287109 87.966 117.7491
144.653320 87.951 117.6539
145.019531 87.935 117.5615
145.385742 87.919 117.4777
145.751953 87.902 117.4048
146.118164 87.887 117.3397
146.484375 87.874 117.2749
146.850586 87.861 117.2042
147.216797 87.848 117.1267
147.583008 87.835 117.0471
147.949219 87.822 116.9707
148.315430 87.810 116.8977
148.681641 87.799 116.8213
149.047852 87.789 116.7321
149.414062 87.779 116.6258
149.780273 87.767 116.5077
150.146484 87.752 116.3910
150.512695 87.736 116.2883
150.878906 87.719 116.2033
151.245117 87.705 116.1289
