* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -48.3 dBFS, measurement signal peak level -17.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:45:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0754 ms (-26 mm, -1.02 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: CRA R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.695 6.1763
1.015000 73.878 6.3278
1.030000 74.062 6.4567
1.044000 74.233 6.5548
1.060000 74.427 6.6386
1.075000 74.607 6.6875
1.090000 74.785 6.7056
1.106000 74.973 6.6899
1.120000 75.140 6.6522
1.138000 75.356 6.5737
1.150000 75.503 6.5033
1.172000 75.774 6.3387
1.180000 75.874 6.2678
1.206000 76.200 5.9991
1.220000 76.377 5.8314
1.241000 76.643 5.5517
1.250000 76.758 5.4219
1.265000 76.949 5.1933
1.280000 77.141 4.9500
1.315000 77.586 4.3302
1.320000 77.649 4.2363
1.340000 77.902 3.8480
1.360000 78.153 3.4418
1.380000 78.401 3.0197
1.400000 78.645 2.5839
1.430000 79.006 1.9093
1.450000 79.240 1.4487
1.475000 79.527 0.8614
1.500000 79.810 0.2366
1.525000 80.090 -0.4287
1.550000 80.367 -1.1309
1.575000 80.642 -1.8663
1.600000 80.913 -2.6311
1.625000 81.181 -3.4216
1.650000 81.445 -4.2342
1.675000 81.706 -5.0652
1.700000 81.963 -5.9107
1.725000 82.217 -6.7673
1.750000 82.466 -7.6310
1.775000 82.711 -8.4984
1.800000 82.952 -9.3655
1.825000 83.188 -10.2288
1.850000 83.420 -11.0924
1.875000 83.647 -11.9726
1.900000 83.871 -12.8681
1.925000 84.090 -13.7772
1.950000 84.305 -14.6980
1.975000 84.516 -15.6286
2.000000 84.723 -16.5673
2.030000 84.967 -17.7016
2.060000 85.206 -18.8415
2.090000 85.439 -19.9838
2.120000 85.668 -21.1253
2.140000 85.818 -21.8843
2.180000 86.112 -23.3931
2.200000 86.256 -24.1412
2.240000 86.537 -25.6405
2.270000 86.742 -26.7715
2.300000 86.941 -27.9061
2.330000 87.135 -29.0427
2.360000 87.324 -30.1795
2.400000 87.569 -31.6924
2.430000 87.747 -32.8227
2.470000 87.979 -34.3207
2.500000 88.149 -35.4350
2.540000 88.369 -36.9053
2.580000 88.584 -38.3558
2.620000 88.790 -39.7971
2.650000 88.940 -40.8730
2.690000 89.133 -42.2991
2.720000 89.273 -43.3612
2.760000 89.453 -44.7659
2.800000 89.628 -46.1555
2.850000 89.839 -47.8682
2.900000 90.042 -49.5503
2.950000 90.238 -51.1990
3.000000 90.424 -52.8227
3.040000 90.566 -54.1040
3.070000 90.669 -55.0537
3.110000 90.802 -56.3042
3.150000 90.930 -57.5354
3.200000 91.084 -59.0454
3.250000 91.233 -60.5209
3.300000 91.378 -61.9595
3.350000 91.516 -63.3616
3.400000 91.647 -64.7291
3.450000 91.773 -66.0631
3.500000 91.892 -67.3645
3.550000 92.008 -68.6342
3.600000 92.120 -69.8731
3.650000 92.231 -71.0823
3.700000 92.338 -72.2601
3.750000 92.442 -73.4025
3.820000 92.580 -74.9474
3.870000 92.675 -76.0158
3.950000 92.823 -77.6719
4.000000 92.914 -78.6781
4.060000 93.023 -79.8575
4.120000 93.129 -80.9942
4.180000 93.232 -82.0927
4.250000 93.350 -83.3352
4.310000 93.450 -84.3749
4.370000 93.549 -85.3986
4.440000 93.663 -86.5752
4.500000 93.760 -87.5565
4.550000 93.840 -88.3575
4.620000 93.951 -89.4588
4.680000 94.044 -90.3893
4.750000 94.151 -91.4657
4.820000 94.256 -92.5329
4.870000 94.330 -93.2852
4.940000 94.431 -94.3256
5.000000 94.517 -95.2070
5.080000 94.627 -96.3696
5.150000 94.720 -97.3770
5.220000 94.810 -98.3759
5.300000 94.910 -99.5049
5.380000 95.005 -100.6173
5.450000 95.085 -101.5745
5.520000 95.162 -102.5151
5.600000 95.246 -103.5737
5.700000 95.344 -104.8703
5.800000 95.437 -106.1310
5.900000 95.525 -107.3501
6.000000 95.608 -108.5289
6.080000 95.671 -109.4446
6.150000 95.724 -110.2265
6.220000 95.776 -110.9909
6.300000 95.835 -111.8408
6.400000 95.905 -112.8670
6.500000 95.974 -113.8617
6.600000 96.041 -114.8337
6.700000 96.108 -115.7789
6.800000 96.174 -116.6974
6.900000 96.239 -117.5995
7.000000 96.303 -118.4938
7.100000 96.367 -119.3745
7.200000 96.429 -120.2434
7.300000 96.489 -121.1050
7.400000 96.547 -121.9623
7.500000 96.603 -122.8133
7.620000 96.667 -123.8234
7.750000 96.732 -124.9015
7.880000 96.792 -125.9655
8.000000 96.844 -126.9294
8.120000 96.892 -127.8697
8.250000 96.940 -128.8648
8.380000 96.985 -129.8337
8.500000 97.024 -130.7022
8.620000 97.061 -131.5461
8.750000 97.099 -132.4374
8.850000 97.128 -133.1088
9.000000 97.169 -134.0896
9.120000 97.202 -134.8576
9.250000 97.236 -135.6776
9.380000 97.269 -136.4827
9.500000 97.299 -137.2145
9.620000 97.327 -137.9374
9.750000 97.356 -138.7092
9.880000 97.384 -139.4666
10.000000 97.408 -140.1525
10.150000 97.436 -140.9923
10.300000 97.463 -141.8100
10.440000 97.487 -142.5516
10.600000 97.515 -143.3793
10.750000 97.541 -144.1377
10.900000 97.568 -144.8805
11.060000 97.596 -145.6683
11.200000 97.622 -146.3520
11.380000 97.654 -147.2307
11.500000 97.674 -147.8198
11.720000 97.707 -148.8966
11.800000 97.718 -149.2864
12.060000 97.745 -150.5393
12.200000 97.755 -151.1896
12.410000 97.766 -152.1308
12.500000 97.769 -152.5141
12.650000 97.773 -153.1271
12.800000 97.777 -153.7109
13.150000 97.793 -154.9608
13.200000 97.797 -155.1331
13.400000 97.814 -155.8029
13.600000 97.834 -156.4750
13.800000 97.859 -157.1615
14.000000 97.882 -157.8725
14.300000 97.912 -158.9827
14.500000 97.924 -159.7385
14.750000 97.929 -160.6642
15.000000 97.925 -161.5501
15.250000 97.914 -162.3656
15.500000 97.902 -163.1162
15.750000 97.892 -163.8103
16.000000 97.886 -164.4740
16.250000 97.884 -165.1343
16.500000 97.882 -165.8008
16.750000 97.879 -166.4814
17.000000 97.872 -167.1596
17.250000 97.860 -167.8234
17.500000 97.845 -168.4561
17.750000 97.829 -169.0510
18.000000 97.816 -169.6154
18.250000 97.806 -170.1583
18.500000 97.800 -170.7049
18.750000 97.797 -171.2666
19.000000 97.795 -171.8540
19.250000 97.791 -172.4665
19.500000 97.782 -173.0910
19.750000 97.768 -173.7166
20.000000 97.749 -174.3210
20.299999 97.721 -175.0022
20.600000 97.692 -175.6260
20.900000 97.665 -176.1949
21.200001 97.643 -176.7255
21.400000 97.632 -177.0725
21.799999 97.617 -177.7737
22.000000 97.610 -178.1374
22.400000 97.597 -178.8960
22.700001 97.582 -179.4789
23.000000 97.561 179.9479
23.299999 97.536 179.4037
23.600000 97.508 178.8975
24.000000 97.472 178.2816
24.299999 97.446 177.8521
24.700001 97.417 177.3022
25.000000 97.396 176.8971
25.400000 97.372 176.3606
25.799999 97.350 175.8209
26.200001 97.330 175.2603
26.500000 97.316 174.8134
26.900000 97.292 174.1790
27.200001 97.267 173.6885
27.600000 97.225 173.0507
28.000000 97.175 172.4732
28.500000 97.113 171.8514
29.000000 97.062 171.2828
29.500000 97.018 170.6992
30.000000 96.973 170.0928
30.400000 96.935 169.6173
30.700001 96.906 169.2759
31.100000 96.869 168.8394
31.500000 96.834 168.4173
32.000000 96.793 167.9037
32.500000 96.758 167.3960
33.000000 96.728 166.8561
33.500000 96.695 166.2450
34.000000 96.647 165.5934
34.500000 96.581 165.0129
35.000000 96.509 164.5856
35.500000 96.451 164.2682
36.000000 96.410 163.9325
36.500000 96.373 163.5106
37.000000 96.324 163.0578
37.500000 96.267 162.6638
38.200001 96.196 162.2102
38.700001 96.156 161.8573
39.500000 96.084 161.1879
40.000000 96.028 160.7988
40.599998 95.966 160.4074
41.200001 95.920 159.9933
41.799999 95.875 159.4495
42.500000 95.794 158.7418
43.099998 95.704 158.2913
43.700001 95.624 158.0392
44.400002 95.566 157.7950
45.000000 95.531 157.4937
45.500000 95.501 157.2119
46.200001 95.461 156.8221
46.799999 95.431 156.4478
47.500000 95.387 155.9809
48.200001 95.339 155.5866
48.700001 95.314 155.2878
49.400002 95.270 154.6870
50.000000 95.191 154.1345
50.799999 95.044 153.8069
51.500000 94.950 153.8506
52.200001 94.893 153.8036
53.000000 94.826 153.5697
53.799999 94.753 153.3216
54.500000 94.691 153.0431
55.200001 94.618 152.7132
56.000000 94.528 152.3951
57.000000 94.426 152.0312
58.000000 94.325 151.6720
59.000000 94.236 151.4531
60.000000 94.183 151.2676
60.799999 94.158 150.9639
61.500000 94.120 150.5450
62.200001 94.047 150.1573
63.000000 93.943 149.9989
64.000000 93.847 150.0742
65.000000 93.780 150.0409
66.000000 93.714 149.9250
67.000000 93.653 149.6735
68.000000 93.571 149.2951
69.000000 93.471 149.0002
70.000000 93.377 148.8066
71.000000 93.295 148.6388
72.000000 93.222 148.4467
73.000000 93.145 148.2244
74.000000 93.060 148.0588
75.000000 92.984 148.0104
76.199997 92.918 147.8845
77.500000 92.830 147.6294
78.800003 92.733 147.5032
80.000000 92.648 147.3816
81.199997 92.553 147.2799
82.500000 92.452 147.2067
83.800003 92.358 147.0558
85.000000 92.266 146.8705
86.199997 92.179 146.7411
87.500000 92.102 146.5980
88.500000 92.043 146.4904
90.000000 91.953 146.4631
91.199997 91.890 146.5049
92.500000 91.816 146.5030
93.800003 91.733 146.4882
95.000000 91.651 146.4409
96.199997 91.566 146.3768
97.500000 91.478 146.3243
98.800003 91.399 146.2864
100.000000 91.330 146.2292
101.500000 91.236 146.2082
103.000000 91.142 146.2519
104.400002 91.061 146.2902
106.000000 90.969 146.2174
107.500000 90.877 146.1620
109.000000 90.795 146.1516
110.599998 90.719 146.2076
112.000000 90.660 146.2782
113.800003 90.579 146.3851
115.000000 90.519 146.4612
117.199997 90.398 146.5660
118.000000 90.352 146.6062
120.599998 90.215 146.6884
122.000000 90.144 146.7413
124.099998 90.045 146.8989
125.000000 90.006 146.9735
126.500000 89.941 147.0900
128.000000 89.876 147.1603
131.500000 89.693 147.2879
132.000000 89.666 147.3276
134.000000 89.559 147.5446
136.000000 89.467 147.8385
138.000000 89.387 148.0547
140.000000 89.305 148.2362
143.000000 89.182 148.5639
145.000000 89.103 148.7526
147.500000 88.987 148.7761
150.000000 88.854 148.9508
152.500000 88.789 149.3187
155.000000 88.730 149.6207
157.500000 88.645 149.9747
160.000000 88.556 150.2939
162.500000 88.476 150.5848
165.000000 88.401 150.9336
167.500000 88.328 151.3409
170.000000 88.266 151.6800
172.500000 88.211 151.9243
175.000000 88.153 152.1592
177.500000 88.094 152.4413
180.000000 88.037 152.7029
182.500000 87.977 152.9126
185.000000 87.911 153.1052
187.500000 87.843 153.3109
190.000000 87.773 153.5401
192.500000 87.703 153.7969
195.000000 87.637 154.0552
197.500000 87.573 154.3093
200.000000 87.509 154.5747
203.000000 87.435 154.9042
206.000000 87.365 155.2268
209.000000 87.295 155.5535
212.000000 87.226 155.8951
214.000000 87.182 156.1233
218.000000 87.097 156.5866
220.000000 87.057 156.8276
224.000000 86.974 157.3235
227.000000 86.913 157.7169
230.000000 86.855 158.0978
233.000000 86.798 158.4568
236.000000 86.742 158.8116
240.000000 86.669 159.2711
243.000000 86.613 159.5959
247.000000 86.544 159.9677
250.000000 86.495 160.2672
254.000000 86.435 160.8648
258.000000 86.377 161.4749
262.000000 86.321 161.9958
265.000000 86.282 162.3661
269.000000 86.232 162.8531
272.000000 86.196 163.2155
276.000000 86.150 163.6739
280.000000 86.110 164.0973
285.000000 86.060 164.5967
290.000000 86.009 165.0597
295.000000 85.957 165.5068
300.000000 85.900 165.9628
304.000000 85.850 166.3345
