* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -28.6 dBFS, measurement signal peak level -27.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/10/2023 9:20:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0288 ms (-9.9 mm, -0.39 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Canon 2 00 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 33.167 -111.0018
1.015000 33.492 -108.5482
1.030000 33.817 -106.2214
1.044000 34.117 -104.1780
1.060000 34.455 -102.0114
1.075000 34.766 -100.1598
1.090000 35.069 -98.4980
1.106000 35.384 -96.9415
1.120000 35.668 -95.7072
1.138000 36.046 -94.2719
1.150000 36.305 -93.4062
1.172000 36.795 -91.9987
1.180000 36.977 -91.5422
1.206000 37.581 -90.2505
1.220000 37.912 -89.6702
1.241000 38.414 -88.9399
1.250000 38.631 -88.6758
1.265000 38.993 -88.2966
1.280000 39.356 -87.9896
1.315000 40.197 -87.5269
1.320000 40.316 -87.4872
1.340000 40.787 -87.3870
1.360000 41.250 -87.3722
1.380000 41.702 -87.4314
1.400000 42.139 -87.5530
1.430000 42.763 -87.8275
1.450000 43.154 -88.0553
1.475000 43.612 -88.3936
1.500000 44.045 -88.9744
1.525000 44.457 -89.8126
1.550000 44.851 -90.8717
1.575000 45.227 -92.1154
1.600000 45.588 -93.5074
1.625000 45.936 -95.0114
1.650000 46.272 -96.5909
1.675000 46.597 -98.2097
1.700000 46.914 -99.8314
1.725000 47.225 -101.4197
1.750000 47.530 -102.9382
1.775000 47.833 -104.3506
1.800000 48.133 -105.6205
1.825000 48.434 -106.7116
1.850000 48.734 -107.6239
1.875000 49.026 -108.4327
1.900000 49.310 -109.1544
1.925000 49.588 -109.8020
1.950000 49.858 -110.3884
1.975000 50.122 -110.9267
2.000000 50.381 -111.4298
2.030000 50.685 -112.0057
2.060000 50.982 -112.5722
2.090000 51.274 -113.1519
2.120000 51.561 -113.7672
2.140000 51.750 -114.2083
2.180000 52.124 -115.1949
2.200000 52.309 -115.7534
2.240000 52.673 -116.9678
2.270000 52.938 -117.9392
2.300000 53.197 -118.9516
2.330000 53.450 -119.9950
2.360000 53.699 -121.0594
2.400000 54.023 -122.4941
2.430000 54.262 -123.5689
2.470000 54.575 -124.9814
2.500000 54.806 -126.0124
2.540000 55.110 -127.3304
2.580000 55.411 -128.5673
2.620000 55.705 -129.7565
2.650000 55.921 -130.6255
2.690000 56.203 -131.7568
2.720000 56.411 -132.5868
2.760000 56.683 -133.6718
2.800000 56.950 -134.7355
2.850000 57.279 -136.0410
2.900000 57.602 -137.3267
2.950000 57.921 -138.5963
3.000000 58.232 -139.8258
3.040000 58.477 -140.7821
3.070000 58.657 -141.4870
3.110000 58.894 -142.4148
3.150000 59.128 -143.3339
3.200000 59.415 -144.4788
3.250000 59.699 -145.6293
3.300000 59.979 -146.7962
3.350000 60.254 -147.9876
3.400000 60.524 -149.1958
3.450000 60.790 -150.4085
3.500000 61.051 -151.6133
3.550000 61.309 -152.7979
3.600000 61.562 -153.9499
3.650000 61.813 -155.0570
3.700000 62.061 -156.1075
3.750000 62.304 -157.1043
3.820000 62.639 -158.4361
3.870000 62.874 -159.3612
3.950000 63.243 -160.8350
4.000000 63.470 -161.7743
4.060000 63.739 -162.9401
4.120000 64.002 -164.1375
4.180000 64.262 -165.3493
4.250000 64.558 -166.7600
4.310000 64.808 -167.9484
4.370000 65.054 -169.1006
4.440000 65.336 -170.3829
4.500000 65.573 -171.4377
4.550000 65.767 -172.2939
4.620000 66.034 -173.4706
4.680000 66.259 -174.4706
4.750000 66.516 -175.6423
4.820000 66.769 -176.8286
4.870000 66.946 -177.6788
4.940000 67.189 -178.8650
5.000000 67.394 -179.8713
5.080000 67.661 178.8136
5.150000 67.891 177.6980
5.220000 68.116 176.6127
5.300000 68.368 175.4025
5.380000 68.614 174.2184
5.450000 68.825 173.1990
5.520000 69.034 172.1915
5.600000 69.267 171.0583
5.700000 69.551 169.6711
5.800000 69.830 168.3156
5.900000 70.103 166.9915
6.000000 70.370 165.7007
6.080000 70.580 164.6904
6.150000 70.761 163.8214
6.220000 70.939 162.9650
6.300000 71.141 162.0043
6.400000 71.389 160.8317
6.500000 71.632 159.6817
6.600000 71.872 158.5446
6.700000 72.107 157.4196
6.800000 72.338 156.3104
6.900000 72.565 155.2173
7.000000 72.787 154.1408
7.100000 73.006 153.0827
7.200000 73.220 152.0399
7.300000 73.430 151.0087
7.400000 73.636 149.9863
7.500000 73.837 148.9741
7.620000 74.074 147.7766
7.750000 74.323 146.5046
7.880000 74.566 145.2584
8.000000 74.785 144.1286
8.120000 74.999 143.0170
8.250000 75.225 141.8346
8.380000 75.446 140.6722
8.500000 75.646 139.6157
8.620000 75.842 138.5767
8.750000 76.050 137.4650
8.850000 76.207 136.6167
9.000000 76.437 135.3593
9.120000 76.618 134.3616
9.250000 76.808 133.2851
9.380000 76.995 132.2150
9.500000 77.162 131.2335
9.620000 77.324 130.2572
9.750000 77.495 129.2057
9.880000 77.660 128.1652
10.000000 77.808 127.2145
10.150000 77.985 126.0400
10.300000 78.156 124.8913
10.440000 78.308 123.8419
10.600000 78.477 122.6720
10.750000 78.629 121.6078
10.900000 78.777 120.5729
11.060000 78.932 119.4993
11.200000 79.064 118.5870
11.380000 79.231 117.4388
11.500000 79.341 116.6880
11.720000 79.540 115.3334
11.800000 79.611 114.8442
12.060000 79.838 113.2694
12.200000 79.957 112.4249
12.410000 80.131 111.1652
12.500000 80.203 110.6293
12.650000 80.320 109.7400
12.800000 80.434 108.8610
13.150000 80.687 106.8624
13.200000 80.722 106.5840
13.400000 80.860 105.4892
13.600000 80.994 104.4211
13.800000 81.126 103.3799
14.000000 81.258 102.3541
14.300000 81.452 100.8368
14.500000 81.580 99.8277
14.750000 81.736 98.5657
15.000000 81.887 97.3025
15.250000 82.030 96.0458
15.500000 82.166 94.8082
15.750000 82.296 93.5970
16.000000 82.420 92.4219
16.250000 82.541 91.2823
16.500000 82.659 90.1756
16.750000 82.775 89.0957
17.000000 82.890 88.0338
17.250000 83.003 86.9867
17.500000 83.113 85.9510
17.750000 83.220 84.9282
18.000000 83.323 83.9198
18.250000 83.423 82.9278
18.500000 83.520 81.9531
18.750000 83.615 80.9941
19.000000 83.707 80.0495
19.250000 83.796 79.1162
19.500000 83.881 78.1944
19.750000 83.963 77.2840
20.000000 84.042 76.3881
20.299999 84.131 75.3369
20.600000 84.216 74.3155
20.900000 84.298 73.3257
21.200001 84.377 72.3647
21.400000 84.430 71.7356
21.799999 84.534 70.4950
22.000000 84.585 69.8783
22.400000 84.684 68.6445
22.700001 84.754 67.7200
23.000000 84.819 66.8034
23.299999 84.880 65.9056
23.600000 84.937 65.0361
24.000000 85.011 63.9286
24.299999 85.067 63.1326
24.700001 85.146 62.0970
25.000000 85.207 61.3193
25.400000 85.290 60.2605
25.799999 85.368 59.1766
26.200001 85.437 58.0959
26.500000 85.484 57.3117
26.900000 85.542 56.3209
27.200001 85.586 55.6166
27.600000 85.648 54.7054
28.000000 85.712 53.7880
28.500000 85.786 52.6065
29.000000 85.843 51.4374
29.500000 85.883 50.3776
30.000000 85.922 49.4760
30.400000 85.964 48.8278
30.700001 86.003 48.3425
31.100000 86.061 47.6465
31.500000 86.117 46.8761
32.000000 86.174 45.8431
32.500000 86.213 44.8184
33.000000 86.242 43.8683
33.500000 86.271 42.9870
34.000000 86.304 42.1262
34.500000 86.340 41.2510
35.000000 86.373 40.3633
35.500000 86.402 39.4846
36.000000 86.429 38.6302
36.500000 86.455 37.8019
37.000000 86.481 36.9945
37.500000 86.506 36.2035
38.200001 86.539 35.1255
38.700001 86.560 34.3866
39.500000 86.594 33.2660
40.000000 86.617 32.5819
40.599998 86.644 31.7508
41.200001 86.665 30.9177
41.799999 86.681 30.1104
42.500000 86.699 29.1951
43.099998 86.714 28.4023
43.700001 86.722 27.6159
44.400002 86.726 26.7600
45.000000 86.734 26.0789
45.500000 86.745 25.5134
46.200001 86.762 24.6948
46.799999 86.771 23.9811
47.500000 86.774 23.1729
48.200001 86.771 22.4317
48.700001 86.771 21.9507
49.400002 86.781 21.2905
50.000000 86.794 20.6612
50.799999 86.798 19.7360
51.500000 86.785 18.9685
52.200001 86.772 18.2810
53.000000 86.764 17.5138
53.799999 86.757 16.7478
54.500000 86.754 16.0971
55.200001 86.753 15.4366
56.000000 86.748 14.6727
57.000000 86.736 13.7805
58.000000 86.725 12.9301
59.000000 86.707 12.1127
60.000000 86.688 11.3478
60.799999 86.674 10.7412
61.500000 86.661 10.2095
62.200001 86.648 9.6769
63.000000 86.630 9.0681
64.000000 86.607 8.3270
65.000000 86.583 7.6060
66.000000 86.558 6.9069
67.000000 86.532 6.2529
68.000000 86.511 5.6012
69.000000 86.486 4.9266
70.000000 86.455 4.2663
71.000000 86.421 3.6376
72.000000 86.388 3.0316
73.000000 86.358 2.4292
74.000000 86.326 1.8278
75.000000 86.293 1.2556
76.199997 86.255 0.6078
77.500000 86.216 -0.0792
78.800003 86.173 -0.7384
80.000000 86.130 -1.3174
81.199997 86.087 -1.8574
82.500000 86.043 -2.4527
83.800003 85.992 -3.0831
85.000000 85.937 -3.6390
86.199997 85.886 -4.1321
87.500000 85.848 -4.6739
88.500000 85.824 -5.1442
90.000000 85.780 -5.8544
91.199997 85.742 -6.3483
92.500000 85.703 -6.8445
93.800003 85.655 -7.3400
95.000000 85.605 -7.7974
96.199997 85.546 -8.2758
97.500000 85.478 -8.7839
98.800003 85.412 -9.2843
100.000000 85.356 -9.7234
101.500000 85.296 -10.2140
103.000000 85.246 -10.7175
104.400002 85.189 -11.1977
106.000000 85.114 -11.6961
107.500000 85.037 -12.1414
109.000000 84.959 -12.5318
110.599998 84.883 -12.8977
112.000000 84.820 -13.2207
113.800003 84.737 -13.5976
115.000000 84.687 -13.8530
117.199997 84.595 -14.3493
118.000000 84.563 -14.5154
120.599998 84.455 -15.0367
122.000000 84.389 -15.2718
124.099998 84.289 -15.6493
125.000000 84.247 -15.8372
126.500000 84.178 -16.1893
128.000000 84.108 -16.5440
131.500000 83.942 -17.0864
132.000000 83.916 -17.1415
134.000000 83.811 -17.3121
136.000000 83.717 -17.5190
138.000000 83.626 -17.8358
140.000000 83.532 -18.1032
143.000000 83.385 -18.3135
145.000000 83.288 -18.4082
147.500000 83.175 -18.6216
150.000000 83.062 -18.8036
152.500000 82.955 -18.7981
155.000000 82.847 -18.7233
157.500000 82.737 -18.6165
160.000000 82.635 -18.5492
162.500000 82.536 -18.6002
165.000000 82.443 -18.7413
167.500000 82.357 -18.8877
170.000000 82.269 -18.7930
172.500000 82.187 -18.5610
175.000000 82.098 -18.4253
177.500000 82.007 -18.3799
180.000000 81.921 -18.3458
182.500000 81.832 -18.2854
185.000000 81.733 -18.1841
187.500000 81.634 -18.0142
190.000000 81.545 -17.7903
192.500000 81.466 -17.5671
195.000000 81.392 -17.3600
197.500000 81.320 -17.1510
200.000000 81.249 -16.9455
203.000000 81.159 -16.7136
206.000000 81.067 -16.4603
209.000000 80.979 -16.1772
212.000000 80.894 -15.8677
214.000000 80.839 -15.6450
218.000000 80.734 -15.1814
220.000000 80.684 -14.9414
224.000000 80.588 -14.4445
227.000000 80.518 -14.0679
230.000000 80.451 -13.6947
233.000000 80.388 -13.3123
236.000000 80.330 -12.9153
240.000000 80.256 -12.3628
243.000000 80.202 -11.9403
247.000000 80.133 -11.3994
250.000000 80.085 -10.9992
254.000000 80.030 -10.4245
258.000000 79.979 -9.8502
262.000000 79.929 -9.2789
265.000000 79.893 -8.8552
269.000000 79.849 -8.3165
272.000000 79.818 -7.9166
276.000000 79.782 -7.3700
280.000000 79.749 -6.8218
285.000000 79.713 -6.1553
290.000000 79.682 -5.5120
295.000000 79.654 -4.8769
