* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -29.4 dBFS, measurement signal peak level -27.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/10/2023 9:12:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0750 ms (-26 mm, -1.01 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Canon 2 10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 34.018 -66.4635
1.015000 34.550 -69.6019
1.030000 35.066 -72.5372
1.044000 35.531 -75.0807
1.060000 36.038 -77.7400
1.075000 36.487 -79.9783
1.090000 36.908 -81.9549
1.106000 37.325 -83.7456
1.120000 37.675 -84.9703
1.138000 38.110 -86.0907
1.150000 38.391 -86.5759
1.172000 38.889 -86.9771
1.180000 39.065 -86.9804
1.206000 39.618 -86.5361
1.220000 39.905 -86.0466
1.241000 40.322 -85.0470
1.250000 40.496 -84.5380
1.265000 40.781 -83.6049
1.280000 41.059 -82.5909
1.315000 41.688 -80.0701
1.320000 41.775 -79.7079
1.340000 42.121 -78.2960
1.360000 42.460 -76.9943
1.380000 42.794 -75.8704
1.400000 43.125 -74.9923
1.430000 43.616 -74.2841
1.450000 43.943 -74.3168
1.475000 44.352 -75.0138
1.500000 44.750 -76.2249
1.525000 45.134 -77.8343
1.550000 45.507 -79.7811
1.575000 45.868 -82.0046
1.600000 46.220 -84.4438
1.625000 46.562 -87.0380
1.650000 46.895 -89.7262
1.675000 47.222 -92.4476
1.700000 47.542 -95.1414
1.725000 47.857 -97.7466
1.750000 48.167 -100.2024
1.775000 48.474 -102.4480
1.800000 48.779 -104.4225
1.825000 49.082 -106.0651
1.850000 49.382 -107.3678
1.875000 49.676 -108.4417
1.900000 49.964 -109.3189
1.925000 50.246 -110.0271
1.950000 50.522 -110.5938
1.975000 50.794 -111.0466
2.000000 51.061 -111.4132
2.030000 51.375 -111.7782
2.060000 51.684 -112.1065
2.090000 51.988 -112.4458
2.120000 52.287 -112.8439
2.140000 52.484 -113.1655
2.180000 52.875 -114.0072
2.200000 53.069 -114.5550
2.240000 53.450 -115.8000
2.270000 53.729 -116.8117
2.300000 54.002 -117.8775
2.330000 54.271 -118.9859
2.360000 54.535 -120.1255
2.400000 54.881 -121.6734
2.430000 55.136 -122.8409
2.470000 55.471 -124.3845
2.500000 55.719 -125.5175
2.540000 56.045 -126.9734
2.580000 56.366 -128.3515
2.620000 56.682 -129.7137
2.650000 56.914 -130.7318
2.690000 57.218 -132.0775
2.720000 57.442 -133.0731
2.760000 57.736 -134.3756
2.800000 58.026 -135.6415
2.850000 58.381 -137.1592
2.900000 58.730 -138.5891
2.950000 59.073 -139.9085
3.000000 59.408 -141.0692
3.040000 59.671 -141.9053
3.070000 59.866 -142.4952
3.110000 60.121 -143.2527
3.150000 60.372 -144.0007
3.200000 60.681 -144.9610
3.250000 60.984 -145.9964
3.300000 61.282 -147.1568
3.350000 61.574 -148.4712
3.400000 61.860 -149.9025
3.450000 62.140 -151.4007
3.500000 62.415 -152.9155
3.550000 62.684 -154.3970
3.600000 62.949 -155.7949
3.650000 63.209 -157.0593
3.700000 63.465 -158.1525
3.750000 63.715 -159.1017
3.820000 64.057 -160.2684
3.870000 64.296 -161.0427
3.950000 64.670 -162.2950
4.000000 64.898 -163.1509
4.060000 65.168 -164.3130
4.120000 65.431 -165.5938
4.180000 65.688 -166.9404
4.250000 65.981 -168.5285
4.310000 66.227 -169.8472
4.370000 66.469 -171.0742
4.440000 66.746 -172.3396
4.500000 66.978 -173.3107
4.550000 67.168 -174.0655
4.620000 67.430 -175.0764
4.680000 67.650 -175.9352
4.750000 67.903 -176.9728
4.820000 68.152 -178.0716
4.870000 68.327 -178.8734
4.940000 68.568 179.9971
5.000000 68.772 179.0370
5.080000 69.039 177.7928
5.150000 69.271 176.7593
5.220000 69.498 175.7766
5.300000 69.754 174.6971
5.380000 70.006 173.6453
5.450000 70.223 172.7325
5.520000 70.438 171.8150
5.600000 70.680 170.7742
5.700000 70.977 169.4885
5.800000 71.268 168.2141
5.900000 71.553 166.9450
6.000000 71.831 165.6787
6.080000 72.050 164.6730
6.150000 72.238 163.8025
6.220000 72.422 162.9442
6.300000 72.629 161.9813
6.400000 72.882 160.8002
6.500000 73.129 159.6338
6.600000 73.368 158.4709
6.700000 73.602 157.3031
6.800000 73.828 156.1401
6.900000 74.049 154.9971
7.000000 74.264 153.8882
7.100000 74.474 152.8123
7.200000 74.677 151.7601
7.300000 74.876 150.7232
7.400000 75.071 149.6959
7.500000 75.261 148.6818
7.620000 75.483 147.4879
7.750000 75.719 146.2296
7.880000 75.948 145.0095
8.000000 76.155 143.9067
8.120000 76.357 142.8178
8.250000 76.571 141.6575
8.380000 76.780 140.5166
8.500000 76.968 139.4795
8.620000 77.152 138.4583
8.750000 77.347 137.3696
8.850000 77.494 136.5445
9.000000 77.709 135.3272
9.120000 77.877 134.3700
9.250000 78.055 133.3488
9.380000 78.228 132.3445
9.500000 78.386 131.4323
9.620000 78.541 130.5355
9.750000 78.706 129.5809
9.880000 78.869 128.6368
10.000000 79.017 127.7729
10.150000 79.199 126.7045
10.300000 79.377 125.6431
10.440000 79.541 124.6596
10.600000 79.725 123.5405
10.750000 79.892 122.4912
10.900000 80.056 121.4448
11.060000 80.225 120.3359
11.200000 80.368 119.3708
11.380000 80.546 118.1443
11.500000 80.661 117.3361
11.720000 80.864 115.8792
11.800000 80.936 115.3598
12.060000 81.162 113.7067
12.200000 81.281 112.8393
12.410000 81.454 111.5661
12.500000 81.528 111.0284
12.650000 81.648 110.1444
12.800000 81.767 109.2713
13.150000 82.035 107.2665
13.200000 82.072 106.9837
13.400000 82.219 105.8606
13.600000 82.361 104.7546
13.800000 82.498 103.6665
14.000000 82.631 102.6020
14.300000 82.823 101.0510
14.500000 82.948 100.0492
14.750000 83.101 98.8256
15.000000 83.251 97.6290
15.250000 83.398 96.4467
15.500000 83.542 95.2722
15.750000 83.681 94.1030
16.000000 83.814 92.9396
16.250000 83.940 91.7910
16.500000 84.059 90.6634
16.750000 84.171 89.5660
17.000000 84.279 88.5042
17.250000 84.382 87.4781
17.500000 84.482 86.4872
17.750000 84.581 85.5237
18.000000 84.678 84.5824
18.250000 84.775 83.6569
18.500000 84.870 82.7403
18.750000 84.963 81.8307
19.000000 85.054 80.9264
19.250000 85.141 80.0286
19.500000 85.226 79.1400
19.750000 85.308 78.2625
20.000000 85.387 77.3987
20.299999 85.480 76.3784
20.600000 85.571 75.3722
20.900000 85.660 74.3737
21.200001 85.746 73.3765
21.400000 85.801 72.7119
21.799999 85.904 71.3926
22.000000 85.952 70.7453
22.400000 86.040 69.4955
22.700001 86.102 68.6084
23.000000 86.165 67.7640
23.299999 86.230 66.9481
23.600000 86.297 66.1428
24.000000 86.388 65.0620
24.299999 86.453 64.2406
24.700001 86.534 63.1469
25.000000 86.588 62.3485
25.400000 86.656 61.3343
25.799999 86.724 60.3759
26.200001 86.795 59.4444
26.500000 86.849 58.7424
26.900000 86.918 57.7900
27.200001 86.966 57.0694
27.600000 87.021 56.1220
28.000000 87.070 55.2172
28.500000 87.127 54.1607
29.000000 87.187 53.1583
29.500000 87.250 52.1639
30.000000 87.311 51.1561
30.400000 87.355 50.3508
30.700001 87.386 49.7579
31.100000 87.426 48.9891
31.500000 87.466 48.2401
32.000000 87.518 47.3071
32.500000 87.569 46.3535
33.000000 87.612 45.3895
33.500000 87.647 44.4553
34.000000 87.678 43.5838
34.500000 87.711 42.7671
35.000000 87.748 41.9700
35.500000 87.786 41.1654
36.000000 87.821 40.3565
36.500000 87.851 39.5627
37.000000 87.879 38.7963
37.500000 87.905 38.0526
38.200001 87.939 37.0297
38.700001 87.959 36.3120
39.500000 87.986 35.2224
40.000000 88.003 34.5850
40.599998 88.030 33.8327
41.200001 88.060 33.0462
41.799999 88.085 32.2204
42.500000 88.104 31.2665
43.099998 88.116 30.5018
43.700001 88.129 29.7790
44.400002 88.147 28.9604
45.000000 88.162 28.2732
45.500000 88.175 27.7108
46.200001 88.192 26.9355
46.799999 88.202 26.2875
47.500000 88.209 25.5795
48.200001 88.219 24.9310
48.700001 88.230 24.4764
49.400002 88.250 23.7947
50.000000 88.262 23.1559
50.799999 88.263 22.2897
51.500000 88.256 21.5773
52.200001 88.248 20.9017
53.000000 88.241 20.1426
53.799999 88.235 19.3995
54.500000 88.231 18.7646
55.200001 88.229 18.1344
56.000000 88.225 17.4249
57.000000 88.220 16.5713
58.000000 88.214 15.7460
59.000000 88.206 14.9611
60.000000 88.199 14.1967
60.799999 88.192 13.5771
61.500000 88.182 13.0432
62.200001 88.170 12.5264
63.000000 88.156 11.9534
64.000000 88.139 11.2651
65.000000 88.124 10.5836
66.000000 88.106 9.8956
67.000000 88.083 9.2438
68.000000 88.063 8.6110
69.000000 88.042 7.9636
70.000000 88.018 7.3162
71.000000 87.993 6.6794
72.000000 87.968 6.0554
73.000000 87.942 5.4476
74.000000 87.914 4.8636
75.000000 87.885 4.3091
76.199997 87.847 3.6755
77.500000 87.805 3.0059
78.800003 87.760 2.3168
80.000000 87.712 1.6704
81.199997 87.662 1.0744
82.500000 87.613 0.4455
83.800003 87.558 -0.1627
85.000000 87.501 -0.6823
86.199997 87.438 -1.1693
87.500000 87.366 -1.6768
88.500000 87.308 -2.0601
90.000000 87.217 -2.5800
91.199997 87.144 -2.8722
92.500000 87.070 -3.0089
93.800003 87.007 -2.9260
95.000000 86.968 -2.6971
96.199997 86.958 -2.4536
97.500000 86.977 -2.4503
98.800003 86.992 -2.8185
100.000000 86.985 -3.3024
101.500000 86.996 -3.8372
103.000000 87.040 -4.6251
104.400002 87.050 -5.4658
106.000000 87.027 -6.2247
107.500000 86.988 -6.7913
109.000000 86.933 -7.3071
110.599998 86.865 -7.8565
112.000000 86.805 -8.3394
113.800003 86.739 -8.9711
115.000000 86.694 -9.3656
117.199997 86.611 -9.9330
118.000000 86.579 -10.1161
120.599998 86.460 -10.7031
122.000000 86.393 -11.0601
124.099998 86.287 -11.5927
125.000000 86.245 -11.7710
126.500000 86.182 -12.0226
128.000000 86.120 -12.2680
131.500000 85.959 -12.8835
132.000000 85.938 -13.0109
134.000000 85.841 -13.5399
136.000000 85.757 -13.7070
138.000000 85.719 -13.7728
140.000000 85.665 -13.9583
143.000000 85.527 -14.3734
145.000000 85.425 -14.6744
147.500000 85.301 -14.9390
150.000000 85.178 -15.0296
152.500000 85.056 -15.0224
155.000000 84.938 -15.0128
157.500000 84.829 -14.8636
160.000000 84.750 -14.5394
162.500000 84.695 -14.2609
165.000000 84.640 -14.1920
167.500000 84.583 -14.2933
170.000000 84.548 -14.4640
172.500000 84.513 -14.7158
175.000000 84.452 -14.9224
177.500000 84.375 -15.0960
180.000000 84.292 -15.2529
182.500000 84.207 -15.3582
185.000000 84.117 -15.4144
187.500000 84.026 -15.4457
190.000000 83.937 -15.4561
192.500000 83.848 -15.4395
195.000000 83.757 -15.4100
197.500000 83.666 -15.3737
200.000000 83.578 -15.3043
203.000000 83.476 -15.1652
206.000000 83.371 -14.9879
209.000000 83.264 -14.7733
212.000000 83.160 -14.4967
214.000000 83.091 -14.2711
218.000000 82.961 -13.7457
220.000000 82.901 -13.4521
224.000000 82.801 -12.7953
227.000000 82.747 -12.2827
230.000000 82.708 -11.8256
233.000000 82.680 -11.4691
236.000000 82.652 -11.2009
240.000000 82.605 -10.9294
243.000000 82.560 -10.7645
247.000000 82.494 -10.5379
250.000000 82.441 -10.3380
254.000000 82.365 -10.0104
258.000000 82.291 -9.6448
262.000000 82.221 -9.2708
265.000000 82.170 -8.9748
269.000000 82.103 -8.5670
272.000000 82.055 -8.2644
276.000000 81.994 -7.8485
280.000000 81.936 -7.4120
285.000000 81.867 -6.8674
290.000000 81.805 -6.3124
295.000000 81.747 -5.7490
