* Measurement data measured by REW V5.31.3
* Source: A [plughw:1,0], no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29/09/2024 5:35:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cantor L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.323 -139.1029
0.732422 41.743 -113.8423
1.098633 49.575 -117.7344
1.464844 55.603 -128.7746
1.831055 60.337 -141.2158
2.197266 64.126 -153.6024
2.563477 67.193 -165.4382
2.929688 69.692 -176.4836
3.295898 71.740 173.4077
3.662109 73.437 164.3135
4.028320 74.864 156.2339
4.394531 76.092 149.0867
4.760742 77.172 142.7281
5.126953 78.136 136.9979
5.493164 79.006 131.7653
5.859375 79.793 126.9468
6.225586 80.509 122.4914
6.591797 81.166 118.3503
6.958008 81.775 114.4607
7.324219 82.340 110.7544
7.690430 82.864 107.1824
8.056641 83.345 103.7311
8.422852 83.783 100.4150
8.789062 84.186 97.2515
9.155273 84.561 94.2374
9.521484 84.914 91.3434
9.887695 85.248 88.5313
10.253906 85.563 85.7768
10.620117 85.856 83.0809
10.986328 86.127 80.4608
11.352539 86.381 77.9308
11.718750 86.619 75.4894
12.084961 86.846 73.1219
12.451172 87.061 70.8143
12.817383 87.263 68.5656
13.183594 87.451 66.3868
13.549805 87.629 64.2890
13.916016 87.800 62.2694
14.282227 87.965 60.3091
14.648438 88.126 58.3824
15.014648 88.280 56.4720
15.380859 88.424 54.5771
15.747070 88.557 52.7106
16.113281 88.678 50.8891
16.479492 88.790 49.1226
16.845703 88.895 47.4109
17.211914 88.995 45.7458
17.578125 89.091 44.1166
17.944336 89.184 42.5136
18.310547 89.272 40.9305
18.676758 89.355 39.3658
19.042969 89.433 37.8228
19.409180 89.504 36.3082
19.775391 89.571 34.8282
20.141602 89.635 33.3846
20.507812 89.696 31.9721
20.874023 89.755 30.5817
21.240234 89.812 29.2067
21.606445 89.865 27.8473
21.972656 89.913 26.5104
22.338867 89.958 25.2035
22.705078 89.999 23.9285
23.071289 90.039 22.6793
23.437500 90.078 21.4469
23.803711 90.114 20.2263
24.169922 90.146 19.0210
24.536133 90.174 17.8394
24.902344 90.200 16.6877
25.268555 90.225 15.5636
25.634766 90.251 14.4564
26.000977 90.276 13.3546
26.367188 90.299 12.2540
26.733398 90.319 11.1604
27.099609 90.335 10.0844
27.465820 90.350 9.0327
27.832031 90.365 8.0021
28.198242 90.381 6.9820
28.564453 90.396 5.9625
28.930664 90.408 4.9423
29.296875 90.418 3.9296
29.663086 90.424 2.9370
30.029297 90.428 1.9711
30.395508 90.432 1.0289
30.761719 90.437 0.1009
31.127930 90.441 -0.8216
31.494141 90.444 -1.7393
31.860352 90.444 -2.6454
32.226562 90.443 -3.5321
32.592773 90.441 -4.3981
32.958984 90.440 -5.2498
33.325195 90.439 -6.0975
33.691406 90.438 -6.9473
34.057617 90.435 -7.7973
34.423828 90.429 -8.6398
34.790039 90.422 -9.4670
35.156250 90.413 -10.2769
35.522461 90.405 -11.0724
35.888672 90.397 -11.8584
36.254883 90.389 -12.6379
36.621094 90.381 -13.4115
36.987305 90.373 -14.1790
37.353516 90.364 -14.9414
37.719727 90.355 -15.7002
38.085938 90.345 -16.4543
38.452148 90.334 -17.1995
38.818359 90.323 -17.9316
39.184570 90.311 -18.6505
39.550781 90.301 -19.3621
39.916992 90.291 -20.0752
40.283203 90.280 -20.7936
40.649414 90.268 -21.5122
41.015625 90.252 -22.2197
41.381836 90.236 -22.9062
41.748047 90.220 -23.5715
42.114258 90.206 -24.2256
42.480469 90.193 -24.8813
42.846680 90.181 -25.5450
43.212891 90.167 -26.2122
43.579102 90.151 -26.8719
43.945312 90.134 -27.5164
44.311523 90.117 -28.1472
44.677734 90.102 -28.7736
45.043945 90.087 -29.4038
45.410156 90.071 -30.0377
45.776367 90.053 -30.6664
46.142578 90.033 -31.2794
46.508789 90.014 -31.8738
46.875000 89.996 -32.4570
47.241211 89.980 -33.0419
47.607422 89.965 -33.6365
47.973633 89.947 -34.2383
48.339844 89.928 -34.8362
48.706055 89.906 -35.4189
49.072266 89.885 -35.9839
49.438477 89.866 -36.5383
49.804688 89.848 -37.0941
50.170898 89.830 -37.6587
50.537109 89.812 -38.2296
50.903320 89.791 -38.7965
51.269531 89.769 -39.3494
51.635742 89.747 -39.8853
52.001953 89.727 -40.4100
52.368164 89.709 -40.9344
52.734375 89.692 -41.4662
53.100586 89.674 -42.0062
53.466797 89.656 -42.5486
53.833008 89.635 -43.0868
54.199219 89.615 -43.6167
54.565430 89.594 -44.1390
54.931641 89.573 -44.6561
55.297852 89.551 -45.1688
55.664062 89.530 -45.6755
56.030273 89.508 -46.1740
56.396484 89.486 -46.6643
56.762695 89.466 -47.1500
57.128906 89.446 -47.6364
57.495117 89.426 -48.1273
57.861328 89.406 -48.6223
58.227539 89.384 -49.1168
58.593750 89.362 -49.6056
58.959961 89.338 -50.0861
59.326172 89.316 -50.5600
59.692383 89.293 -51.0314
60.058594 89.271 -51.5033
60.424805 89.249 -51.9750
60.791016 89.225 -52.4416
61.157227 89.202 -52.8986
61.523438 89.180 -53.3460
61.889648 89.159 -53.7905
62.255859 89.141 -54.2424
62.622070 89.122 -54.7084
62.988281 89.101 -55.1851
63.354492 89.078 -55.6584
63.720703 89.051 -56.1116
64.086914 89.026 -56.5354
64.453125 89.003 -56.9371
64.819336 88.985 -57.3375
65.185547 88.971 -57.7582
65.551758 88.956 -58.2081
65.917969 88.938 -58.6768
66.284180 88.915 -59.1412
66.650391 88.889 -59.5808
67.016602 88.864 -59.9910
67.382812 88.841 -60.3846
67.749023 88.822 -60.7819
68.115234 88.804 -61.1958
68.481445 88.785 -61.6243
68.847656 88.763 -62.0542
69.213867 88.740 -62.4725
69.580078 88.716 -62.8761
69.946289 88.694 -63.2720
70.312500 88.673 -63.6705
70.678711 88.653 -64.0761
71.044922 88.631 -64.4849
71.411133 88.609 -64.8898
71.777344 88.586 -65.2867
72.143555 88.564 -65.6783
72.509766 88.543 -66.0707
72.875977 88.522 -66.4669
73.242188 88.500 -66.8649
73.608398 88.478 -67.2590
73.974609 88.455 -67.6450
74.340820 88.433 -68.0242
74.707031 88.413 -68.4014
75.073242 88.392 -68.7810
75.439453 88.372 -69.1636
75.805664 88.351 -69.5453
76.171875 88.329 -69.9220
76.538086 88.308 -70.2920
76.904297 88.287 -70.6577
77.270508 88.266 -71.0233
77.636719 88.246 -71.3912
78.002930 88.225 -71.7610
78.369141 88.204 -72.1297
78.735352 88.182 -72.4938
79.101562 88.159 -72.8513
79.467773 88.137 -73.2028
79.833984 88.116 -73.5507
80.200195 88.096 -73.8987
80.566406 88.076 -74.2499
80.932617 88.056 -74.6052
81.298828 88.035 -74.9639
81.665039 88.014 -75.3231
82.031250 87.993 -75.6809
82.397461 87.972 -76.0367
82.763672 87.951 -76.3909
83.129883 87.929 -76.7435
83.496094 87.908 -77.0927
83.862305 87.886 -77.4362
84.228516 87.865 -77.7731
84.594727 87.846 -78.1069
84.960938 87.828 -78.4434
85.327148 87.810 -78.7872
85.693359 87.792 -79.1373
86.059570 87.773 -79.4877
86.425781 87.753 -79.8309
86.791992 87.733 -80.1646
87.158203 87.714 -80.4930
87.524414 87.696 -80.8244
87.890625 87.678 -81.1638
88.256836 87.658 -81.5087
88.623047 87.637 -81.8506
88.989258 87.614 -82.1805
89.355469 87.590 -82.4948
89.721680 87.568 -82.7963
90.087891 87.546 -83.0920
90.454102 87.527 -83.3881
90.820312 87.508 -83.6883
91.186523 87.490 -83.9948
91.552734 87.472 -84.3083
91.918945 87.453 -84.6278
92.285156 87.433 -84.9489
92.651367 87.411 -85.2645
93.017578 87.390 -85.5702
93.383789 87.370 -85.8679
93.750000 87.353 -86.1676
94.116211 87.337 -86.4805
94.482422 87.320 -86.8102
94.848633 87.301 -87.1481
95.214844 87.279 -87.4775
95.581055 87.256 -87.7859
95.947266 87.235 -88.0742
96.313477 87.217 -88.3578
96.679688 87.202 -88.6548
97.045898 87.187 -88.9734
97.412109 87.170 -89.3047
97.778320 87.149 -89.6293
98.144531 87.126 -89.9307
98.510742 87.104 -90.2070
98.876953 87.085 -90.4714
99.243164 87.070 -90.7421
99.609375 87.056 -91.0302
99.975586 87.040 -91.3339
100.341797 87.023 -91.6417
100.708008 87.003 -91.9419
101.074219 86.983 -92.2296
101.440430 86.964 -92.5078
101.806641 86.946 -92.7838
102.172852 86.929 -93.0635
102.539062 86.912 -93.3493
102.905273 86.895 -93.6410
103.271484 86.877 -93.9366
103.637695 86.859 -94.2336
104.003906 86.839 -94.5278
104.370117 86.819 -94.8145
104.736328 86.798 -95.0913
105.102539 86.779 -95.3602
105.468750 86.761 -95.6276
105.834961 86.745 -95.9006
106.201172 86.729 -96.1825
106.567383 86.713 -96.4700
106.933594 86.695 -96.7563
107.299805 86.677 -97.0366
107.666016 86.659 -97.3105
108.032227 86.642 -97.5824
108.398438 86.626 -97.8566
108.764648 86.610 -98.1337
109.130859 86.593 -98.4102
109.497070 86.576 -98.6831
109.863281 86.559 -98.9531
110.229492 86.543 -99.2247
110.595703 86.527 -99.5021
110.961914 86.510 -99.7833
111.328125 86.491 -100.0601
111.694336 86.471 -100.3229
112.060547 86.452 -100.5684
112.426758 86.435 -100.8035
112.792969 86.421 -101.0415
113.159180 86.408 -101.2943
113.525391 86.395 -101.5643
113.891602 86.381 -101.8434
114.257812 86.364 -102.1201
114.624023 86.346 -102.3869
114.990234 86.329 -102.6452
115.356445 86.312 -102.9016
115.722656 86.296 -103.1612
116.088867 86.279 -103.4225
116.455078 86.262 -103.6794
116.821289 86.244 -103.9276
117.187500 86.228 -104.1700
117.553711 86.214 -104.4159
117.919922 86.201 -104.6738
118.286133 86.186 -104.9440
118.652344 86.169 -105.2167
119.018555 86.150 -105.4789
119.384766 86.131 -105.7244
119.750977 86.114 -105.9580
120.117188 86.099 -106.1924
120.483398 86.084 -106.4370
120.849609 86.069 -106.6913
121.215820 86.053 -106.9453
121.582031 86.035 -107.1890
121.948242 86.018 -107.4213
122.314453 86.003 -107.6511
122.680664 85.990 -107.8898
123.046875 85.975 -108.1406
123.413086 85.959 -108.3949
123.779297 85.941 -108.6392
124.145508 85.923 -108.8652
124.511719 85.907 -109.0779
124.877930 85.895 -109.2914
125.244141 85.884 -109.5188
125.610352 85.873 -109.7638
125.976562 85.861 -110.0190
126.342773 85.847 -110.2737
126.708984 85.832 -110.5219
127.075195 85.818 -110.7659
127.441406 85.805 -111.0123
127.807617 85.791 -111.2654
128.173828 85.776 -111.5234
128.540039 85.760 -111.7792
128.906250 85.742 -112.0255
129.272461 85.725 -112.2581
129.638672 85.708 -112.4780
130.004883 85.693 -112.6907
130.371094 85.681 -112.9049
130.737305 85.670 -113.1296
131.103516 85.660 -113.3702
131.469727 85.648 -113.6252
131.835938 85.634 -113.8854
132.202148 85.617 -114.1376
132.568359 85.598 -114.3717
132.934570 85.581 -114.5868
133.300781 85.565 -114.7914
133.666992 85.552 -114.9974
134.033203 85.540 -115.2134
134.399414 85.528 -115.4395
134.765625 85.516 -115.6707
135.131836 85.502 -115.9010
135.498047 85.488 -116.1279
135.864258 85.473 -116.3517
136.230469 85.459 -116.5730
136.596680 85.444 -116.7912
136.962891 85.430 -117.0060
137.329102 85.417 -117.2191
137.695312 85.404 -117.4344
138.061523 85.392 -117.6555
138.427734 85.379 -117.8815
138.793945 85.365 -118.1077
139.160156 85.351 -118.3282
139.526367 85.336 -118.5414
139.892578 85.323 -118.7509
140.258789 85.311 -118.9632
140.625000 85.299 -119.1826
140.991211 85.287 -119.4078
141.357422 85.273 -119.6332
141.723633 85.259 -119.8528
142.089844 85.245 -120.0646
142.456055 85.232 -120.2713
142.822266 85.220 -120.4782
143.188477 85.209 -120.6899
143.554688 85.198 -120.9083
143.920898 85.187 -121.1318
144.287109 85.175 -121.3571
144.653320 85.162 -121.5800
145.019531 85.149 -121.7981
145.385742 85.135 -122.0111
