* Measurement data measured by REW V5.31.3
* Source: A [plughw:1,0], no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29/09/2024 5:36:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cantor R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.825 -43.9063
0.732422 44.208 -79.7707
1.098633 51.597 -105.7641
1.464844 57.383 -126.2280
1.831055 61.881 -143.4472
2.197266 65.409 -158.3399
2.563477 68.212 -171.2824
2.929688 70.477 177.5311
3.295898 72.351 167.9172
3.662109 73.950 159.6275
4.028320 75.350 152.3558
4.394531 76.597 145.8070
4.760742 77.709 139.7754
5.126953 78.694 134.1736
5.493164 79.564 128.9989
5.859375 80.335 124.2662
6.225586 81.031 119.9529
6.591797 81.671 115.9832
6.958008 82.266 112.2560
7.324219 82.818 108.6888
7.690430 83.325 105.2466
8.056641 83.786 101.9352
8.422852 84.206 98.7736
8.789062 84.594 95.7658
9.155273 84.956 92.8931
9.521484 85.296 90.1252
9.887695 85.617 87.4387
10.253906 85.918 84.8266
10.620117 86.201 82.2927
10.986328 86.469 79.8394
11.352539 86.724 77.4596
11.718750 86.969 75.1392
12.084961 87.203 72.8658
12.451172 87.425 70.6367
12.817383 87.635 68.4583
13.183594 87.832 66.3391
13.549805 88.019 64.2830
13.916016 88.197 62.2859
14.282227 88.367 60.3398
14.648438 88.527 58.4373
15.014648 88.679 56.5755
15.380859 88.820 54.7554
15.747070 88.953 52.9791
16.113281 89.077 51.2476
16.479492 89.193 49.5598
16.845703 89.303 47.9127
17.211914 89.407 46.3026
17.578125 89.505 44.7253
17.944336 89.599 43.1768
18.310547 89.688 41.6532
18.676758 89.773 40.1514
19.042969 89.854 38.6690
19.409180 89.931 37.2043
19.775391 90.003 35.7569
20.141602 90.072 34.3282
20.507812 90.136 32.9220
20.874023 90.195 31.5431
21.240234 90.251 30.1956
21.606445 90.305 28.8803
21.972656 90.356 27.5931
22.338867 90.407 26.3276
22.705078 90.455 25.0776
23.071289 90.501 23.8411
23.437500 90.543 22.6201
23.803711 90.581 21.4189
24.169922 90.616 20.2402
24.536133 90.649 19.0837
24.902344 90.679 17.9465
25.268555 90.707 16.8253
25.634766 90.732 15.7189
26.000977 90.755 14.6282
26.367188 90.776 13.5538
26.733398 90.795 12.4944
27.099609 90.813 11.4462
27.465820 90.830 10.4058
27.832031 90.844 9.3726
28.198242 90.856 8.3502
28.564453 90.866 7.3448
28.930664 90.873 6.3615
29.296875 90.880 5.4004
29.663086 90.888 4.4573
30.029297 90.896 3.5256
30.395508 90.904 2.6001
30.761719 90.912 1.6788
31.127930 90.918 0.7631
31.494141 90.923 -0.1448
31.860352 90.926 -1.0423
32.226562 90.926 -1.9267
32.592773 90.925 -2.7953
32.958984 90.923 -3.6462
33.325195 90.920 -4.4801
33.691406 90.917 -5.3010
34.057617 90.914 -6.1145
34.423828 90.910 -6.9244
34.790039 90.904 -7.7297
35.156250 90.897 -8.5250
35.522461 90.888 -9.3057
35.888672 90.880 -10.0720
36.254883 90.872 -10.8301
36.621094 90.864 -11.5884
36.987305 90.856 -12.3503
37.353516 90.845 -13.1111
37.719727 90.832 -13.8607
38.085938 90.818 -14.5907
38.452148 90.805 -15.3008
38.818359 90.794 -15.9997
39.184570 90.784 -16.7001
39.550781 90.775 -17.4103
39.916992 90.764 -18.1285
40.283203 90.750 -18.8448
40.649414 90.733 -19.5459
41.015625 90.714 -20.2228
41.381836 90.696 -20.8749
41.748047 90.680 -21.5099
42.114258 90.666 -22.1392
42.480469 90.653 -22.7729
42.846680 90.640 -23.4149
43.212891 90.626 -24.0620
43.579102 90.610 -24.7059
43.945312 90.592 -25.3389
44.311523 90.573 -25.9567
44.677734 90.554 -26.5610
45.043945 90.536 -27.1578
45.410156 90.519 -27.7526
45.776367 90.502 -28.3479
46.142578 90.484 -28.9426
46.508789 90.466 -29.5335
46.875000 90.446 -30.1176
47.241211 90.427 -30.6943
47.607422 90.408 -31.2649
47.973633 90.389 -31.8317
48.339844 90.370 -32.3967
48.706055 90.351 -32.9607
49.072266 90.330 -33.5222
49.438477 90.309 -34.0776
49.804688 90.287 -34.6224
50.170898 90.264 -35.1532
50.537109 90.243 -35.6707
50.903320 90.223 -36.1807
51.269531 90.205 -36.6918
51.635742 90.188 -37.2108
52.001953 90.169 -37.7382
52.368164 90.150 -38.2684
52.734375 90.128 -38.7930
53.100586 90.106 -39.3062
53.466797 90.083 -39.8076
53.833008 90.062 -40.3011
54.199219 90.041 -40.7914
54.565430 90.020 -41.2810
54.931641 90.000 -41.7699
55.297852 89.979 -42.2574
55.664062 89.958 -42.7437
56.030273 89.937 -43.2287
56.396484 89.915 -43.7109
56.762695 89.892 -44.1868
57.128906 89.870 -44.6524
57.495117 89.847 -45.1068
57.861328 89.826 -45.5542
58.227539 89.807 -46.0020
58.593750 89.788 -46.4561
58.959961 89.768 -46.9169
59.326172 89.747 -47.3782
59.692383 89.724 -47.8315
60.058594 89.702 -48.2722
60.424805 89.679 -48.7024
60.791016 89.659 -49.1301
61.157227 89.639 -49.5630
61.523438 89.618 -50.0023
61.889648 89.595 -50.4413
62.255859 89.571 -50.8701
62.622070 89.547 -51.2823
62.988281 89.525 -51.6814
63.354492 89.505 -52.0785
63.720703 89.487 -52.4860
64.086914 89.469 -52.9097
64.453125 89.450 -53.3450
64.819336 89.428 -53.7804
65.185547 89.405 -54.2057
65.551758 89.381 -54.6174
65.917969 89.359 -55.0200
66.284180 89.337 -55.4213
66.650391 89.317 -55.8260
67.016602 89.296 -56.2334
67.382812 89.274 -56.6388
67.749023 89.251 -57.0378
68.115234 89.229 -57.4291
68.481445 89.207 -57.8145
68.847656 89.186 -58.1959
69.213867 89.165 -58.5745
69.580078 89.144 -58.9501
69.946289 89.124 -59.3231
70.312500 89.104 -59.6957
70.678711 89.085 -60.0701
71.044922 89.065 -60.4469
71.411133 89.045 -60.8243
71.777344 89.024 -61.1992
72.143555 89.003 -61.5698
72.509766 88.982 -61.9369
72.875977 88.962 -62.3030
73.242188 88.941 -62.6701
73.608398 88.920 -63.0377
73.974609 88.899 -63.4033
74.340820 88.878 -63.7649
74.707031 88.857 -64.1221
75.073242 88.837 -64.4769
75.439453 88.817 -64.8319
75.805664 88.797 -65.1882
76.171875 88.777 -65.5444
76.538086 88.757 -65.8984
76.904297 88.736 -66.2484
77.270508 88.716 -66.5946
77.636719 88.697 -66.9388
78.002930 88.678 -67.2827
78.369141 88.659 -67.6268
78.735352 88.640 -67.9707
79.101562 88.620 -68.3129
79.467773 88.601 -68.6521
79.833984 88.581 -68.9880
80.200195 88.561 -69.3206
80.566406 88.541 -69.6503
80.932617 88.522 -69.9778
81.298828 88.502 -70.3036
81.665039 88.483 -70.6287
82.031250 88.464 -70.9540
82.397461 88.446 -71.2800
82.763672 88.427 -71.6066
83.129883 88.407 -71.9330
83.496094 88.388 -72.2582
83.862305 88.369 -72.5819
84.228516 88.349 -72.9044
84.594727 88.330 -73.2267
84.960938 88.311 -73.5493
85.327148 88.291 -73.8713
85.693359 88.271 -74.1906
86.059570 88.251 -74.5046
86.425781 88.231 -74.8127
86.791992 88.212 -75.1167
87.158203 88.193 -75.4196
87.524414 88.175 -75.7241
87.890625 88.158 -76.0311
88.256836 88.140 -76.3394
88.623047 88.121 -76.6473
88.989258 88.103 -76.9539
89.355469 88.085 -77.2590
89.721680 88.066 -77.5620
90.087891 88.047 -77.8618
90.454102 88.029 -78.1573
90.820312 88.011 -78.4498
91.186523 87.993 -78.7428
91.552734 87.977 -79.0401
91.918945 87.960 -79.3422
92.285156 87.942 -79.6449
92.651367 87.923 -79.9420
93.017578 87.904 -80.2310
93.383789 87.887 -80.5158
93.750000 87.871 -80.8048
94.116211 87.855 -81.1035
94.482422 87.838 -81.4089
94.848633 87.819 -81.7110
95.214844 87.799 -82.0000
95.581055 87.780 -82.2747
95.947266 87.763 -82.5442
96.313477 87.748 -82.8205
96.679688 87.733 -83.1088
97.045898 87.716 -83.4036
97.412109 87.698 -83.6932
97.778320 87.680 -83.9711
98.144531 87.663 -84.2407
98.510742 87.647 -84.5129
98.876953 87.633 -84.7964
99.243164 87.617 -85.0896
99.609375 87.599 -85.3822
99.975586 87.580 -85.6637
100.341797 87.562 -85.9321
100.708008 87.546 -86.1952
101.074219 87.531 -86.4639
101.440430 87.516 -86.7435
101.806641 87.500 -87.0300
102.172852 87.483 -87.3142
102.539062 87.465 -87.5890
102.905273 87.447 -87.8539
103.271484 87.431 -88.1144
103.637695 87.415 -88.3769
104.003906 87.401 -88.6451
104.370117 87.386 -88.9188
104.736328 87.371 -89.1956
105.102539 87.355 -89.4722
105.468750 87.338 -89.7457
105.834961 87.321 -90.0142
106.201172 87.304 -90.2773
106.567383 87.288 -90.5370
106.933594 87.272 -90.7963
107.299805 87.257 -91.0571
107.666016 87.241 -91.3185
108.032227 87.225 -91.5774
108.398438 87.210 -91.8317
108.764648 87.195 -92.0834
109.130859 87.182 -92.3381
109.497070 87.169 -92.6016
109.863281 87.155 -92.8737
110.229492 87.139 -93.1477
110.595703 87.122 -93.4142
110.961914 87.105 -93.6675
111.328125 87.089 -93.9099
111.694336 87.074 -94.1510
112.060547 87.062 -94.4005
112.426758 87.049 -94.6616
112.792969 87.034 -94.9296
113.159180 87.018 -95.1945
113.525391 87.001 -95.4485
113.891602 86.984 -95.6913
114.257812 86.969 -95.9293
114.624023 86.956 -96.1714
114.990234 86.943 -96.4230
115.356445 86.929 -96.6827
115.722656 86.915 -96.9442
116.088867 86.899 -97.2005
116.455078 86.882 -97.4482
116.821289 86.867 -97.6890
117.187500 86.853 -97.9273
117.553711 86.839 -98.1680
117.919922 86.827 -98.4138
118.286133 86.814 -98.6644
118.652344 86.800 -98.9180
119.018555 86.785 -99.1710
119.384766 86.770 -99.4193
119.750977 86.754 -99.6588
120.117188 86.739 -99.8883
120.483398 86.725 -100.1116
120.849609 86.713 -100.3367
121.215820 86.703 -100.5723
121.582031 86.692 -100.8221
121.948242 86.679 -101.0818
122.314453 86.664 -101.3407
122.680664 86.647 -101.5881
123.046875 86.630 -101.8202
123.413086 86.614 -102.0419
123.779297 86.600 -102.2628
124.145508 86.588 -102.4904
124.511719 86.575 -102.7258
124.877930 86.562 -102.9653
125.244141 86.548 -103.2043
125.610352 86.535 -103.4417
125.976562 86.521 -103.6793
126.342773 86.508 -103.9186
126.708984 86.494 -104.1584
127.075195 86.480 -104.3954
127.441406 86.465 -104.6269
127.807617 86.452 -104.8547
128.173828 86.440 -105.0833
128.540039 86.427 -105.3164
128.906250 86.415 -105.5528
129.272461 86.401 -105.7870
129.638672 86.387 -106.0132
130.004883 86.374 -106.2301
130.371094 86.363 -106.4435
130.737305 86.353 -106.6629
131.103516 86.344 -106.8956
131.469727 86.334 -107.1424
131.835938 86.322 -107.3959
132.202148 86.307 -107.6443
132.568359 86.290 -107.8772
132.934570 86.273 -108.0901
133.300781 86.259 -108.2868
133.666992 86.247 -108.4780
134.033203 86.238 -108.6774
134.399414 86.231 -108.8953
134.765625 86.223 -109.1346
135.131836 86.213 -109.3889
135.498047 86.200 -109.6445
135.864258 86.183 -109.8869
136.230469 86.167 -110.1077
136.596680 86.151 -110.3089
136.962891 86.139 -110.5018
137.329102 86.129 -110.7008
137.695312 86.121 -110.9158
138.061523 86.113 -111.1472
138.427734 86.102 -111.3868
138.793945 86.089 -111.6240
139.160156 86.075 -111.8514
139.526367 86.061 -112.0687
139.892578 86.048 -112.2804
140.258789 86.035 -112.4910
140.625000 86.023 -112.7020
140.991211 86.011 -112.9119
141.357422 85.998 -113.1191
141.723633 85.987 -113.3252
142.089844 85.976 -113.5339
142.456055 85.966 -113.7489
142.822266 85.955 -113.9706
143.188477 85.944 -114.1955
143.554688 85.932 -114.4191
143.920898 85.919 -114.6387
144.287109 85.906 -114.8549
144.653320 85.894 -115.0694
145.019531 85.882 -115.2832
145.385742 85.871 -115.4961
