* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -23.8 dBFS, measurement signal peak level -23.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 2:02:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1652 ms (-57 mm, -2.23 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Carat L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.364 138.6263
1.015000 42.439 137.6928
1.030000 42.517 136.7686
1.044000 42.592 135.9167
1.060000 42.680 134.9579
1.075000 42.765 134.0760
1.090000 42.852 133.2126
1.106000 42.948 132.3130
1.120000 43.035 131.5339
1.138000 43.150 130.5399
1.150000 43.229 129.8817
1.172000 43.378 128.6837
1.180000 43.434 128.2507
1.206000 43.619 126.8520
1.220000 43.722 126.1039
1.241000 43.879 124.9874
1.250000 43.948 124.5108
1.265000 44.064 123.7187
1.280000 44.182 122.9291
1.315000 44.465 121.0942
1.320000 44.506 120.8327
1.340000 44.671 119.7880
1.360000 44.840 118.7443
1.380000 45.010 117.7010
1.400000 45.182 116.6570
1.430000 45.444 115.0879
1.450000 45.620 114.0385
1.475000 45.842 112.7209
1.500000 46.070 111.3910
1.525000 46.305 110.0506
1.550000 46.545 108.7031
1.575000 46.789 107.3521
1.600000 47.038 106.0010
1.625000 47.290 104.6533
1.650000 47.545 103.3124
1.675000 47.802 101.9819
1.700000 48.060 100.6652
1.725000 48.318 99.3657
1.750000 48.577 98.0871
1.775000 48.834 96.8327
1.800000 49.089 95.6060
1.825000 49.343 94.4104
1.850000 49.594 93.2470
1.875000 49.848 92.1103
1.900000 50.102 90.9982
1.925000 50.358 89.9087
1.950000 50.614 88.8398
1.975000 50.871 87.7898
2.000000 51.127 86.7566
2.030000 51.435 85.5363
2.060000 51.740 84.3342
2.090000 52.044 83.1469
2.120000 52.346 81.9711
2.140000 52.545 81.1920
2.180000 52.939 79.6407
2.200000 53.133 78.8667
2.240000 53.517 77.3340
2.270000 53.804 76.2017
2.300000 54.089 75.0836
2.330000 54.371 73.9790
2.360000 54.652 72.8874
2.400000 55.021 71.4510
2.430000 55.296 70.3871
2.470000 55.657 68.9856
2.500000 55.924 67.9464
2.540000 56.275 66.5754
2.580000 56.620 65.2204
2.620000 56.959 63.8852
2.650000 57.210 62.8971
2.690000 57.539 61.5967
2.720000 57.783 60.6338
2.760000 58.104 59.3661
2.800000 58.419 58.1161
2.850000 58.806 56.5775
2.900000 59.185 55.0641
2.950000 59.556 53.5756
3.000000 59.918 52.1176
3.040000 60.202 50.9725
3.070000 60.411 50.1252
3.110000 60.686 49.0095
3.150000 60.955 47.9085
3.200000 61.286 46.5508
3.250000 61.610 45.2108
3.300000 61.927 43.8858
3.350000 62.237 42.5749
3.400000 62.539 41.2805
3.450000 62.834 40.0048
3.500000 63.123 38.7496
3.550000 63.405 37.5171
3.600000 63.681 36.3094
3.650000 63.953 35.1284
3.700000 64.219 33.9762
3.750000 64.479 32.8524
3.820000 64.833 31.3221
3.870000 65.079 30.2565
3.950000 65.463 28.5926
4.000000 65.699 27.5745
4.060000 65.977 26.3722
4.120000 66.248 25.1956
4.180000 66.512 24.0454
4.250000 66.813 22.7372
4.310000 67.067 21.6447
4.370000 67.317 20.5789
4.440000 67.604 19.3716
4.500000 67.845 18.3718
4.550000 68.042 17.5602
4.620000 68.314 16.4513
4.680000 68.544 15.5212
4.750000 68.810 14.4532
4.820000 69.072 13.4044
4.870000 69.257 12.6722
4.940000 69.512 11.6673
5.000000 69.728 10.8216
5.080000 70.014 9.7108
5.150000 70.261 8.7506
5.220000 70.505 7.8086
5.300000 70.781 6.7525
5.380000 71.054 5.7111
5.450000 71.290 4.8061
5.520000 71.523 3.9025
5.600000 71.786 2.8784
5.700000 72.111 1.6101
5.800000 72.429 0.3485
5.900000 72.742 -0.9124
6.000000 73.049 -2.1704
6.080000 73.290 -3.1737
6.150000 73.498 -4.0496
6.220000 73.703 -4.9235
6.300000 73.933 -5.9206
6.400000 74.214 -7.1643
6.500000 74.489 -8.4027
6.600000 74.757 -9.6337
6.700000 75.019 -10.8590
6.800000 75.273 -12.0780
6.900000 75.522 -13.2866
7.000000 75.765 -14.4813
7.100000 76.001 -15.6645
7.200000 76.231 -16.8354
7.300000 76.456 -17.9919
7.400000 76.675 -19.1332
7.500000 76.889 -20.2606
7.620000 77.139 -21.5934
7.750000 77.402 -23.0108
7.880000 77.658 -24.4010
8.000000 77.887 -25.6606
8.120000 78.111 -26.8974
8.250000 78.347 -28.2117
8.380000 78.577 -29.4992
8.500000 78.784 -30.6639
8.620000 78.986 -31.8058
8.750000 79.200 -33.0174
8.850000 79.362 -33.9312
9.000000 79.598 -35.2720
9.120000 79.784 -36.3205
9.250000 79.981 -37.4325
9.380000 80.175 -38.5192
9.500000 80.351 -39.5040
9.620000 80.525 -40.4721
9.750000 80.711 -41.5007
9.880000 80.895 -42.5162
10.000000 81.062 -43.4432
10.150000 81.269 -44.5873
10.300000 81.472 -45.7252
10.440000 81.659 -46.7813
10.600000 81.869 -47.9838
10.750000 82.060 -49.1112
10.900000 82.247 -50.2363
11.060000 82.440 -51.4311
11.200000 82.603 -52.4736
11.380000 82.805 -53.7984
11.500000 82.934 -54.6714
11.720000 83.162 -56.2418
11.800000 83.242 -56.7997
12.060000 83.491 -58.5664
12.200000 83.620 -59.4823
12.410000 83.809 -60.8126
12.500000 83.888 -61.3686
12.650000 84.019 -62.2739
12.800000 84.149 -63.1613
13.150000 84.447 -65.1808
13.200000 84.489 -65.4666
13.400000 84.656 -66.6036
13.600000 84.820 -67.7383
13.800000 84.979 -68.8749
14.000000 85.134 -70.0100
14.300000 85.355 -71.7059
14.500000 85.495 -72.8237
14.750000 85.662 -74.1981
15.000000 85.823 -75.5438
15.250000 85.977 -76.8592
15.500000 86.127 -78.1507
15.750000 86.272 -79.4223
16.000000 86.414 -80.6810
16.250000 86.550 -81.9277
16.500000 86.680 -83.1608
16.750000 86.805 -84.3763
17.000000 86.925 -85.5674
17.250000 87.041 -86.7317
17.500000 87.153 -87.8668
17.750000 87.263 -88.9766
18.000000 87.371 -90.0652
18.250000 87.477 -91.1374
18.500000 87.582 -92.1983
18.750000 87.684 -93.2482
19.000000 87.782 -94.2871
19.250000 87.878 -95.3118
19.500000 87.970 -96.3200
19.750000 88.060 -97.3101
20.000000 88.147 -98.2816
20.299999 88.249 -99.4254
20.600000 88.348 -100.5476
20.900000 88.444 -101.6507
21.200001 88.536 -102.7354
21.400000 88.596 -103.4481
21.799999 88.711 -104.8490
22.000000 88.766 -105.5384
22.400000 88.873 -106.8985
22.700001 88.948 -107.9047
23.000000 89.020 -108.8978
23.299999 89.087 -109.8716
23.600000 89.150 -110.8197
24.000000 89.230 -112.0372
24.299999 89.290 -112.9197
24.700001 89.371 -114.0745
25.000000 89.433 -114.9421
25.400000 89.513 -116.1167
25.799999 89.587 -117.3065
26.200001 89.653 -118.4857
26.500000 89.698 -119.3469
26.900000 89.756 -120.4579
27.200001 89.798 -121.2692
27.600000 89.855 -122.3334
28.000000 89.908 -123.3789
28.500000 89.971 -124.6328
29.000000 90.038 -125.8116
29.500000 90.115 -126.9781
30.000000 90.196 -128.2426
30.400000 90.246 -129.3318
30.700001 90.268 -130.1455
31.100000 90.279 -131.1223
31.500000 90.285 -131.9066
32.000000 90.320 -132.6734
32.500000 90.398 -133.4785
33.000000 90.488 -134.5921
33.500000 90.539 -135.9677
34.000000 90.530 -137.2743
34.500000 90.494 -138.2292
35.000000 90.481 -138.8681
35.500000 90.511 -139.4749
36.000000 90.561 -140.2679
36.500000 90.598 -141.2227
37.000000 90.612 -142.1733
37.500000 90.618 -143.0242
38.200001 90.637 -144.1253
38.700001 90.654 -144.9305
39.500000 90.673 -146.2195
40.000000 90.681 -146.9831
40.599998 90.693 -147.8755
41.200001 90.705 -148.7678
41.799999 90.712 -149.6416
42.500000 90.719 -150.6168
43.099998 90.727 -151.4396
43.700001 90.734 -152.2691
44.400002 90.736 -153.2247
45.000000 90.736 -154.0110
45.500000 90.735 -154.6453
46.200001 90.734 -155.5178
46.799999 90.731 -156.2535
47.500000 90.723 -157.0712
48.200001 90.717 -157.8271
48.700001 90.717 -158.3529
49.400002 90.721 -159.1336
50.000000 90.717 -159.8555
50.799999 90.693 -160.7958
51.500000 90.665 -161.5222
52.200001 90.642 -162.1967
53.000000 90.621 -162.9727
53.799999 90.598 -163.7409
54.500000 90.580 -164.3940
55.200001 90.565 -165.0456
56.000000 90.547 -165.7944
57.000000 90.522 -166.7174
58.000000 90.492 -167.5991
59.000000 90.459 -168.4265
60.000000 90.424 -169.2189
60.799999 90.393 -169.8369
61.500000 90.365 -170.3693
62.200001 90.335 -170.8920
63.000000 90.300 -171.4700
64.000000 90.260 -172.1691
65.000000 90.222 -172.8661
66.000000 90.185 -173.5581
67.000000 90.146 -174.2311
68.000000 90.105 -174.8808
69.000000 90.061 -175.5015
70.000000 90.016 -176.0953
71.000000 89.969 -176.6748
72.000000 89.921 -177.2479
73.000000 89.871 -177.8066
74.000000 89.822 -178.3394
75.000000 89.775 -178.8453
76.199997 89.722 -179.4339
77.500000 89.665 179.9247
78.800003 89.599 179.3019
80.000000 89.535 178.7782
81.199997 89.474 178.2574
82.500000 89.406 177.6731
83.800003 89.335 177.1152
85.000000 89.270 176.6295
86.199997 89.206 176.1846
87.500000 89.139 175.7313
88.500000 89.085 175.3827
90.000000 89.000 174.8748
91.199997 88.931 174.4837
92.500000 88.857 174.0629
93.800003 88.783 173.6657
95.000000 88.712 173.3503
96.199997 88.637 173.0979
97.500000 88.552 172.9107
98.800003 88.471 172.8242
100.000000 88.413 172.6443
101.500000 88.317 172.1651
103.000000 88.191 171.7727
104.400002 88.080 171.5170
106.000000 87.963 171.3157
107.500000 87.854 171.2392
109.000000 87.737 171.2839
110.599998 87.605 171.4877
112.000000 87.489 171.7931
113.800003 87.349 172.4051
115.000000 87.275 172.9896
117.199997 87.216 174.3918
118.000000 87.229 174.9529
120.599998 87.404 176.3708
122.000000 87.549 176.5609
124.099998 87.743 175.9692
125.000000 87.802 175.4980
126.500000 87.863 174.5919
128.000000 87.882 173.6587
131.500000 87.782 171.9203
132.000000 87.758 171.7448
134.000000 87.659 171.1625
136.000000 87.561 170.6222
138.000000 87.453 170.1743
140.000000 87.346 169.9065
143.000000 87.198 169.7663
145.000000 87.112 169.8078
147.500000 87.028 169.9620
150.000000 86.969 170.0729
152.500000 86.913 170.1116
155.000000 86.874 170.0762
157.500000 86.845 169.8715
160.000000 86.804 169.5873
162.500000 86.748 169.3009
165.000000 86.681 169.0249
167.500000 86.606 168.7823
170.000000 86.528 168.5543
172.500000 86.445 168.3273
175.000000 86.356 168.1487
177.500000 86.264 168.0328
180.000000 86.171 167.9730
182.500000 86.079 167.9627
185.000000 85.991 167.9931
187.500000 85.906 168.0518
190.000000 85.823 168.1327
192.500000 85.744 168.2332
195.000000 85.671 168.3449
197.500000 85.603 168.4642
200.000000 85.539 168.5799
203.000000 85.463 168.6893
206.000000 85.382 168.7758
209.000000 85.298 168.8655
212.000000 85.215 168.9752
214.000000 85.158 169.0620
218.000000 85.044 169.2634
220.000000 84.987 169.3805
224.000000 84.876 169.6537
227.000000 84.794 169.8796
230.000000 84.714 170.1184
233.000000 84.635 170.3732
236.000000 84.558 170.6411
240.000000 84.461 171.0288
243.000000 84.390 171.3561
247.000000 84.298 171.7927
250.000000 84.233 172.1117
254.000000 84.156 172.5760
258.000000 84.083 173.0433
262.000000 84.016 173.4875
265.000000 83.970 173.7955
269.000000 83.910 174.1689
272.000000 83.866 174.4416
276.000000 83.807 174.7946
280.000000 83.743 175.1264
285.000000 83.663 175.5597
290.000000 83.576 175.9964
295.000000 83.490 176.4774
300.000000 83.407 176.9306
304.000000 83.337 177.3255
