* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -24.5 dBFS, measurement signal peak level -24.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 2:00:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0186 ms (-6.4 mm, -0.25 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Carat R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.667 137.9832
1.015000 41.748 137.0088
1.030000 41.832 136.0444
1.044000 41.912 135.1557
1.060000 42.005 134.1560
1.075000 42.095 133.2367
1.090000 42.186 132.3374
1.106000 42.286 131.4007
1.120000 42.376 130.5891
1.138000 42.494 129.5529
1.150000 42.575 128.8663
1.172000 42.728 127.6162
1.180000 42.784 127.1641
1.206000 42.972 125.7038
1.220000 43.076 124.9227
1.241000 43.235 123.7573
1.250000 43.304 123.2600
1.265000 43.421 122.4338
1.280000 43.539 121.6106
1.315000 43.821 119.7004
1.320000 43.862 119.4285
1.340000 44.027 118.3433
1.360000 44.195 117.2611
1.380000 44.364 116.1813
1.400000 44.535 115.1033
1.430000 44.794 113.4882
1.450000 44.969 112.4118
1.475000 45.188 111.0647
1.500000 45.414 109.7091
1.525000 45.644 108.3463
1.550000 45.880 106.9797
1.575000 46.120 105.6126
1.600000 46.364 104.2486
1.625000 46.610 102.8910
1.650000 46.859 101.5432
1.675000 47.110 100.2086
1.700000 47.361 98.8905
1.725000 47.614 97.5924
1.750000 47.865 96.3177
1.775000 48.116 95.0697
1.800000 48.366 93.8519
1.825000 48.613 92.6677
1.850000 48.859 91.5182
1.875000 49.106 90.3988
1.900000 49.354 89.3073
1.925000 49.604 88.2414
1.950000 49.853 87.1991
1.975000 50.103 86.1783
2.000000 50.353 85.1768
2.030000 50.652 83.9976
2.060000 50.950 82.8395
2.090000 51.247 81.6988
2.120000 51.541 80.5719
2.140000 51.736 79.8265
2.180000 52.121 78.3448
2.200000 52.312 77.6064
2.240000 52.690 76.1494
2.270000 52.971 75.0781
2.300000 53.252 74.0241
2.330000 53.530 72.9864
2.360000 53.807 71.9639
2.400000 54.172 70.6224
2.430000 54.444 69.6314
2.470000 54.802 68.3283
2.500000 55.067 67.3633
2.540000 55.417 66.0910
2.580000 55.762 64.8342
2.620000 56.102 63.5998
2.650000 56.354 62.6892
2.690000 56.686 61.4941
2.720000 56.933 60.6110
2.760000 57.257 59.4499
2.800000 57.578 58.3061
2.850000 57.972 56.8981
2.900000 58.360 55.5111
2.950000 58.741 54.1437
3.000000 59.115 52.8057
3.040000 59.409 51.7560
3.070000 59.626 50.9793
3.110000 59.913 49.9560
3.150000 60.195 48.9447
3.200000 60.543 47.6940
3.250000 60.884 46.4540
3.300000 61.220 45.2204
3.350000 61.550 43.9946
3.400000 61.873 42.7804
3.450000 62.190 41.5789
3.500000 62.501 40.3911
3.550000 62.807 39.2183
3.600000 63.107 38.0614
3.650000 63.402 36.9216
3.700000 63.693 35.8006
3.750000 63.978 34.6994
3.820000 64.367 33.1864
3.870000 64.639 32.1229
3.950000 65.064 30.4444
4.000000 65.324 29.4060
4.060000 65.631 28.1675
4.120000 65.931 26.9400
4.180000 66.223 25.7258
4.250000 66.557 24.3284
4.310000 66.837 23.1489
4.370000 67.111 21.9881
4.440000 67.424 20.6596
4.500000 67.687 19.5424
4.550000 67.901 18.6252
4.620000 68.194 17.3606
4.680000 68.441 16.2929
4.750000 68.723 15.0638
4.820000 68.999 13.8518
4.870000 69.191 12.9978
4.940000 69.456 11.8189
5.000000 69.678 10.8243
5.080000 69.968 9.5216
5.150000 70.217 8.4043
5.220000 70.460 7.3090
5.300000 70.732 6.0831
5.380000 70.998 4.8825
5.450000 71.226 3.8511
5.520000 71.450 2.8363
5.600000 71.701 1.6999
5.700000 72.008 0.3127
5.800000 72.307 -1.0421
5.900000 72.601 -2.3683
6.000000 72.888 -3.6617
6.080000 73.112 -4.6748
6.150000 73.306 -5.5480
6.220000 73.498 -6.4108
6.300000 73.714 -7.3825
6.400000 73.979 -8.5734
6.500000 74.239 -9.7437
6.600000 74.495 -10.8994
6.700000 74.746 -12.0395
6.800000 74.992 -13.1628
6.900000 75.234 -14.2725
7.000000 75.472 -15.3711
7.100000 75.705 -16.4568
7.200000 75.934 -17.5303
7.300000 76.158 -18.5933
7.400000 76.378 -19.6471
7.500000 76.593 -20.6907
7.620000 76.846 -21.9289
7.750000 77.113 -23.2517
7.880000 77.373 -24.5560
8.000000 77.607 -25.7426
8.120000 77.836 -26.9118
8.250000 78.077 -28.1589
8.380000 78.312 -29.3862
8.500000 78.525 -30.5014
8.620000 78.732 -31.5991
8.750000 78.953 -32.7714
8.850000 79.120 -33.6624
9.000000 79.365 -34.9794
9.120000 79.556 -36.0202
9.250000 79.760 -37.1375
9.380000 79.960 -38.2426
9.500000 80.141 -39.2548
9.620000 80.318 -40.2611
9.750000 80.506 -41.3432
9.880000 80.690 -42.4177
10.000000 80.855 -43.4036
10.150000 81.056 -44.6269
10.300000 81.251 -45.8363
10.440000 81.427 -46.9537
10.600000 81.623 -48.2128
10.750000 81.799 -49.3726
10.900000 81.971 -50.5130
11.060000 82.149 -51.7032
11.200000 82.300 -52.7227
11.380000 82.489 -54.0046
11.500000 82.613 -54.8400
11.720000 82.835 -56.3382
11.800000 82.915 -56.8736
12.060000 83.170 -58.5814
12.200000 83.305 -59.4885
12.410000 83.505 -60.8339
12.500000 83.589 -61.4087
12.650000 83.729 -62.3630
12.800000 83.865 -63.3146
13.150000 84.173 -65.5299
13.200000 84.215 -65.8448
13.400000 84.381 -67.1017
13.600000 84.541 -68.3459
13.800000 84.694 -69.5755
14.000000 84.841 -70.7825
14.300000 85.052 -72.5467
14.500000 85.187 -73.6873
14.750000 85.351 -75.0751
15.000000 85.511 -76.4231
15.250000 85.669 -77.7392
15.500000 85.823 -79.0329
15.750000 85.975 -80.3102
16.000000 86.124 -81.5788
16.250000 86.268 -82.8401
16.500000 86.407 -84.0932
16.750000 86.540 -85.3349
17.000000 86.666 -86.5579
17.250000 86.787 -87.7582
17.500000 86.903 -88.9311
17.750000 87.015 -90.0751
18.000000 87.123 -91.1921
18.250000 87.228 -92.2844
18.500000 87.331 -93.3582
18.750000 87.431 -94.4165
19.000000 87.529 -95.4624
19.250000 87.624 -96.4973
19.500000 87.715 -97.5202
19.750000 87.803 -98.5302
20.000000 87.888 -99.5253
20.299999 87.986 -100.6996
20.600000 88.080 -101.8531
20.900000 88.172 -102.9883
21.200001 88.261 -104.1086
21.400000 88.318 -104.8484
21.799999 88.429 -106.3112
22.000000 88.483 -107.0336
22.400000 88.585 -108.4575
22.700001 88.659 -109.5044
23.000000 88.730 -110.5317
23.299999 88.800 -111.5397
23.600000 88.868 -112.5310
24.000000 88.957 -113.8327
24.299999 89.023 -114.7991
24.700001 89.107 -116.0770
25.000000 89.166 -117.0239
25.400000 89.240 -118.2599
25.799999 89.308 -119.4516
26.200001 89.372 -120.5947
26.500000 89.420 -121.4266
26.900000 89.483 -122.5143
27.200001 89.527 -123.3186
27.600000 89.582 -124.3710
28.000000 89.633 -125.3850
28.500000 89.694 -126.5895
29.000000 89.758 -127.7637
29.500000 89.822 -128.9682
30.000000 89.879 -130.2178
30.400000 89.914 -131.2212
30.700001 89.935 -131.9619
31.100000 89.960 -132.9347
31.500000 89.979 -133.8992
32.000000 89.991 -135.0763
32.500000 89.988 -136.1326
33.000000 89.992 -136.9867
33.500000 90.028 -137.7153
34.000000 90.103 -138.5489
34.500000 90.184 -139.6524
35.000000 90.237 -140.9538
35.500000 90.251 -142.2145
36.000000 90.247 -143.2705
36.500000 90.251 -144.1514
37.000000 90.270 -144.9904
37.500000 90.293 -145.8596
38.200001 90.316 -147.0749
38.700001 90.328 -147.8944
39.500000 90.349 -149.1643
40.000000 90.360 -149.9618
40.599998 90.367 -150.9097
41.200001 90.369 -151.8265
41.799999 90.371 -152.7152
42.500000 90.374 -153.7418
43.099998 90.374 -154.6256
43.700001 90.371 -155.4969
44.400002 90.365 -156.4762
45.000000 90.361 -157.2954
45.500000 90.355 -157.9716
46.200001 90.343 -158.8851
46.799999 90.333 -159.6290
47.500000 90.321 -160.4946
48.200001 90.299 -161.3408
48.700001 90.280 -161.8780
49.400002 90.266 -162.5424
50.000000 90.270 -163.1542
50.799999 90.272 -164.1368
51.500000 90.252 -165.0217
52.200001 90.226 -165.8190
53.000000 90.201 -166.6868
53.799999 90.174 -167.5510
54.500000 90.147 -168.2579
55.200001 90.123 -168.9247
56.000000 90.096 -169.6793
57.000000 90.057 -170.5810
58.000000 90.018 -171.4064
59.000000 89.982 -172.1964
60.000000 89.953 -172.9704
60.799999 89.933 -173.6246
61.500000 89.913 -174.2342
62.200001 89.887 -174.8427
63.000000 89.852 -175.4975
64.000000 89.811 -176.2615
65.000000 89.775 -177.0206
66.000000 89.733 -177.7958
67.000000 89.682 -178.5051
68.000000 89.638 -179.1480
69.000000 89.600 -179.8252
70.000000 89.554 179.4843
71.000000 89.505 178.8323
72.000000 89.455 178.2244
73.000000 89.407 177.6465
74.000000 89.361 177.0618
75.000000 89.309 176.4757
76.199997 89.240 175.8108
77.500000 89.166 175.1180
78.800003 89.094 174.4269
80.000000 89.030 173.7968
81.199997 88.966 173.1761
82.500000 88.893 172.5699
83.800003 88.820 172.0437
85.000000 88.753 171.5782
86.199997 88.680 171.0776
87.500000 88.591 170.5316
88.500000 88.525 170.1580
90.000000 88.445 169.6114
91.199997 88.389 169.1753
92.500000 88.320 168.7486
93.800003 88.227 168.3880
95.000000 88.116 168.1131
96.199997 87.982 167.7691
97.500000 87.795 167.3016
98.800003 87.572 167.1890
100.000000 87.470 167.6581
101.500000 87.540 167.4947
103.000000 87.567 166.6057
104.400002 87.539 166.0869
106.000000 87.476 165.8435
107.500000 87.386 165.7239
109.000000 87.267 165.6062
110.599998 87.128 165.4850
112.000000 87.013 165.4451
113.800003 86.879 165.5880
115.000000 86.797 165.8414
117.199997 86.661 166.5975
118.000000 86.619 166.9550
120.599998 86.560 168.3603
122.000000 86.601 169.0870
124.099998 86.737 169.7928
125.000000 86.809 169.9091
126.500000 86.933 169.8100
128.000000 87.040 169.3685
131.500000 87.167 167.7565
132.000000 87.172 167.5206
134.000000 87.168 166.5960
136.000000 87.115 165.7478
138.000000 87.041 165.0693
140.000000 86.967 164.4788
143.000000 86.852 163.7229
145.000000 86.772 163.3127
147.500000 86.673 162.8747
150.000000 86.576 162.5239
152.500000 86.493 162.3178
155.000000 86.422 162.1399
157.500000 86.356 162.0158
160.000000 86.301 161.8426
162.500000 86.247 161.5557
165.000000 86.195 161.2214
167.500000 86.138 160.8600
170.000000 86.060 160.5601
172.500000 85.975 160.3177
175.000000 85.891 160.0706
177.500000 85.808 159.8455
180.000000 85.724 159.6695
182.500000 85.638 159.5309
185.000000 85.552 159.4140
187.500000 85.466 159.3294
190.000000 85.387 159.2856
192.500000 85.316 159.2691
195.000000 85.247 159.2696
197.500000 85.171 159.2480
200.000000 85.092 159.1846
203.000000 85.013 159.1367
206.000000 84.956 159.0927
209.000000 84.888 159.0433
212.000000 84.807 158.9929
214.000000 84.753 158.9619
218.000000 84.646 158.9536
220.000000 84.593 158.9711
224.000000 84.487 159.0099
227.000000 84.409 159.0504
230.000000 84.331 159.1044
233.000000 84.255 159.1678
236.000000 84.180 159.2442
240.000000 84.081 159.3713
243.000000 84.007 159.4734
247.000000 83.910 159.6045
250.000000 83.836 159.7242
254.000000 83.743 159.9385
258.000000 83.651 160.1884
262.000000 83.559 160.4617
265.000000 83.491 160.6923
269.000000 83.405 161.0619
272.000000 83.344 161.4058
276.000000 83.278 161.9250
280.000000 83.236 162.4139
285.000000 83.214 162.8656
290.000000 83.202 163.0710
295.000000 83.166 163.1030
300.000000 83.104 163.1284
304.000000 83.043 163.1848
