* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.1 dBFS, measurement signal peak level -26.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 25/12/2023 10:10:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0811 ms (-28 mm, -1.09 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Cinno L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.303 116.5763
1.015000 40.518 114.8681
1.030000 40.737 113.2385
1.044000 40.948 111.7945
1.060000 41.201 110.2421
1.075000 41.454 108.8885
1.090000 41.725 107.6404
1.106000 42.035 106.4361
1.120000 42.304 105.5104
1.138000 42.641 104.4885
1.150000 42.861 103.9042
1.172000 43.255 103.0139
1.180000 43.395 102.7430
1.206000 43.840 102.0314
1.220000 44.074 101.7413
1.241000 44.416 101.4048
1.250000 44.561 101.2906
1.265000 44.798 101.1320
1.280000 45.031 101.0038
1.315000 45.562 100.7639
1.320000 45.637 100.7307
1.340000 45.932 100.5846
1.360000 46.222 100.3989
1.380000 46.509 100.1487
1.400000 46.792 99.8088
1.430000 47.212 99.0763
1.450000 47.491 98.4030
1.475000 47.837 97.3203
1.500000 48.175 96.0435
1.525000 48.505 94.6154
1.550000 48.827 93.0604
1.575000 49.141 91.4023
1.600000 49.448 89.6655
1.625000 49.749 87.8740
1.650000 50.044 86.0518
1.675000 50.333 84.2233
1.700000 50.617 82.4124
1.725000 50.896 80.6434
1.750000 51.171 78.9403
1.775000 51.442 77.3273
1.800000 51.711 75.8285
1.825000 51.976 74.4680
1.850000 52.238 73.2486
1.875000 52.495 72.1258
1.900000 52.747 71.0868
1.925000 52.993 70.1211
1.950000 53.235 69.2179
1.975000 53.472 68.3666
2.000000 53.705 67.5564
2.030000 53.979 66.6234
2.060000 54.248 65.7156
2.090000 54.512 64.8147
2.120000 54.772 63.9022
2.140000 54.943 63.2782
2.180000 55.280 61.9680
2.200000 55.447 61.2712
2.240000 55.774 59.8331
2.270000 56.012 58.7363
2.300000 56.245 57.6290
2.330000 56.474 56.5161
2.360000 56.698 55.4023
2.400000 56.990 53.9243
2.430000 57.205 52.8271
2.470000 57.487 51.3886
2.500000 57.695 50.3342
2.540000 57.968 48.9700
2.580000 58.238 47.6600
2.620000 58.501 46.3799
2.650000 58.693 45.4363
2.690000 58.945 44.2026
2.720000 59.129 43.2971
2.760000 59.372 42.1185
2.800000 59.610 40.9751
2.850000 59.902 39.5998
2.900000 60.191 38.2896
2.950000 60.476 37.0530
3.000000 60.755 35.9156
3.040000 60.973 35.0677
3.070000 61.135 34.4600
3.110000 61.348 33.6780
3.150000 61.558 32.9172
3.200000 61.817 31.9780
3.250000 62.075 31.0301
3.300000 62.331 30.0503
3.350000 62.586 29.0362
3.400000 62.837 28.0067
3.450000 63.085 26.9757
3.500000 63.330 25.9572
3.550000 63.574 24.9648
3.600000 63.817 24.0129
3.650000 64.058 23.1152
3.700000 64.299 22.2880
3.750000 64.539 21.5327
3.820000 64.872 20.5576
3.870000 65.108 19.8915
3.950000 65.482 18.8209
4.000000 65.714 18.1163
4.060000 65.989 17.2065
4.120000 66.263 16.2487
4.180000 66.535 15.2631
4.250000 66.848 14.1007
4.310000 67.113 13.1134
4.370000 67.374 12.1521
4.440000 67.674 11.0803
4.500000 67.926 10.1939
4.550000 68.135 9.4695
4.620000 68.421 8.4656
4.680000 68.663 7.6036
4.750000 68.938 6.5819
4.820000 69.208 5.5316
4.870000 69.396 4.7682
4.940000 69.655 3.6924
5.000000 69.873 2.7737
5.080000 70.157 1.5704
5.150000 70.400 0.5522
5.220000 70.636 -0.4410
5.300000 70.900 -1.5526
5.380000 71.158 -2.6412
5.450000 71.379 -3.5767
5.520000 71.597 -4.4969
5.600000 71.841 -5.5270
5.700000 72.139 -6.7843
5.800000 72.431 -8.0137
5.900000 72.719 -9.2196
6.000000 73.002 -10.3953
6.080000 73.225 -11.3182
6.150000 73.418 -12.1171
6.220000 73.610 -12.9113
6.300000 73.827 -13.8096
6.400000 74.094 -14.9144
6.500000 74.358 -16.0130
6.600000 74.616 -17.1198
6.700000 74.869 -18.2397
6.800000 75.117 -19.3644
6.900000 75.359 -20.4866
7.000000 75.593 -21.6006
7.100000 75.820 -22.7126
7.200000 76.041 -23.8179
7.300000 76.254 -24.9081
7.400000 76.459 -25.9821
7.500000 76.657 -27.0462
7.620000 76.886 -28.2926
7.750000 77.126 -29.5835
7.880000 77.357 -30.8176
8.000000 77.564 -31.9112
8.120000 77.770 -32.9606
8.250000 77.989 -34.0413
8.380000 78.207 -35.0873
8.500000 78.410 -36.0360
8.620000 78.614 -36.9570
8.750000 78.835 -37.9535
8.850000 79.004 -38.7358
9.000000 79.259 -39.9184
9.120000 79.460 -40.8854
9.250000 79.672 -41.9690
9.380000 79.879 -43.0839
9.500000 80.063 -44.1257
9.620000 80.237 -45.1791
9.750000 80.417 -46.3361
9.880000 80.586 -47.4734
10.000000 80.732 -48.4988
10.150000 80.902 -49.7513
10.300000 81.064 -50.9263
10.440000 81.206 -51.9500
10.600000 81.365 -53.0404
10.750000 81.515 -53.9742
10.900000 81.667 -54.8360
11.060000 81.837 -55.7228
11.200000 81.993 -56.4588
11.380000 82.201 -57.4283
11.500000 82.346 -58.1003
11.720000 82.615 -59.4054
11.800000 82.712 -59.9196
12.060000 83.019 -61.7073
12.200000 83.171 -62.7368
12.410000 83.381 -64.3467
12.500000 83.462 -65.0307
12.650000 83.584 -66.1812
12.800000 83.693 -67.2950
13.150000 83.905 -69.6366
13.200000 83.933 -69.9349
13.400000 84.038 -71.0258
13.600000 84.146 -71.9850
13.800000 84.264 -72.8103
14.000000 84.395 -73.5854
14.300000 84.620 -74.7097
14.500000 84.786 -75.5194
14.750000 84.998 -76.6407
15.000000 85.207 -77.8987
15.250000 85.402 -79.2734
15.500000 85.578 -80.7090
15.750000 85.733 -82.1687
16.000000 85.867 -83.5983
16.250000 85.987 -84.9722
16.500000 86.095 -86.2805
16.750000 86.194 -87.5186
17.000000 86.287 -88.6926
17.250000 86.375 -89.8048
17.500000 86.460 -90.8578
17.750000 86.543 -91.8510
18.000000 86.626 -92.7872
18.250000 86.710 -93.6694
18.500000 86.798 -94.5126
18.750000 86.891 -95.3314
19.000000 86.988 -96.1398
19.250000 87.088 -96.9572
19.500000 87.189 -97.7887
19.750000 87.291 -98.6381
20.000000 87.389 -99.5021
20.299999 87.504 -100.5480
20.600000 87.613 -101.5942
20.900000 87.717 -102.6324
21.200001 87.817 -103.6586
21.400000 87.882 -104.3357
21.799999 88.004 -105.6726
22.000000 88.063 -106.3313
22.400000 88.175 -107.6256
22.700001 88.254 -108.5737
23.000000 88.330 -109.5028
23.299999 88.404 -110.4164
23.600000 88.474 -111.3191
24.000000 88.563 -112.5110
24.299999 88.626 -113.3969
24.700001 88.702 -114.5620
25.000000 88.754 -115.4174
25.400000 88.818 -116.5269
25.799999 88.878 -117.5989
26.200001 88.935 -118.6382
26.500000 88.977 -119.4017
26.900000 89.032 -120.4047
27.200001 89.072 -121.1489
27.600000 89.125 -122.1335
28.000000 89.177 -123.1117
28.500000 89.239 -124.3266
29.000000 89.298 -125.5295
29.500000 89.353 -126.7115
30.000000 89.405 -127.8607
30.400000 89.444 -128.7510
30.700001 89.473 -129.4015
31.100000 89.512 -130.2474
31.500000 89.550 -131.0720
32.000000 89.596 -132.0786
32.500000 89.641 -133.0643
33.000000 89.683 -134.0298
33.500000 89.720 -134.9691
34.000000 89.753 -135.8748
34.500000 89.785 -136.7484
35.000000 89.815 -137.6015
35.500000 89.843 -138.4468
36.000000 89.867 -139.2843
36.500000 89.888 -140.1044
37.000000 89.907 -140.9006
37.500000 89.926 -141.6788
38.200001 89.951 -142.7538
38.700001 89.968 -143.5112
39.500000 89.993 -144.6913
40.000000 90.008 -145.4125
40.599998 90.025 -146.2676
41.200001 90.038 -147.1027
41.799999 90.047 -147.9033
42.500000 90.056 -148.7911
43.099998 90.063 -149.5233
43.700001 90.070 -150.2408
44.400002 90.077 -151.0704
45.000000 90.080 -151.7764
45.500000 90.081 -152.3561
46.200001 90.080 -153.1508
46.799999 90.079 -153.8192
47.500000 90.079 -154.5890
48.200001 90.079 -155.3591
48.700001 90.077 -155.9163
49.400002 90.068 -156.6837
50.000000 90.055 -157.2814
50.799999 90.044 -157.9755
51.500000 90.045 -158.5696
52.200001 90.047 -159.2054
53.000000 90.041 -159.9338
53.799999 90.031 -160.6244
54.500000 90.021 -161.2200
55.200001 90.008 -161.8087
56.000000 89.990 -162.4521
57.000000 89.970 -163.2309
58.000000 89.948 -164.0039
59.000000 89.925 -164.7464
60.000000 89.903 -165.4711
60.799999 89.884 -166.0417
61.500000 89.865 -166.5178
62.200001 89.846 -166.9730
63.000000 89.827 -167.4869
64.000000 89.800 -168.1285
65.000000 89.771 -168.7474
66.000000 89.741 -169.3408
67.000000 89.712 -169.9197
68.000000 89.682 -170.4857
69.000000 89.651 -171.0385
70.000000 89.619 -171.5692
71.000000 89.586 -172.0740
72.000000 89.555 -172.5644
73.000000 89.525 -173.0516
74.000000 89.493 -173.5355
75.000000 89.458 -173.9995
76.199997 89.417 -174.5197
77.500000 89.373 -175.0679
78.800003 89.328 -175.5985
80.000000 89.286 -176.0741
81.199997 89.243 -176.5358
82.500000 89.197 -177.0195
83.800003 89.151 -177.4847
85.000000 89.109 -177.8911
86.199997 89.067 -178.2762
87.500000 89.021 -178.6754
88.500000 88.985 -178.9761
90.000000 88.929 -179.4179
91.199997 88.884 -179.7669
92.500000 88.835 179.8694
93.800003 88.788 179.5305
95.000000 88.746 179.2419
96.199997 88.705 178.9656
97.500000 88.658 178.6808
98.800003 88.607 178.4132
100.000000 88.558 178.1736
101.500000 88.497 177.8759
103.000000 88.441 177.5742
104.400002 88.393 177.2894
106.000000 88.338 176.9854
107.500000 88.283 176.7548
109.000000 88.228 176.5729
110.599998 88.169 176.3913
112.000000 88.118 176.2443
113.800003 88.060 176.0505
115.000000 88.027 175.8953
117.199997 87.960 175.5594
118.000000 87.932 175.4492
120.599998 87.836 175.1251
122.000000 87.780 174.9479
124.099998 87.694 174.7051
125.000000 87.657 174.6200
126.500000 87.595 174.5123
128.000000 87.530 174.4475
131.500000 87.352 174.4285
132.000000 87.323 174.4434
134.000000 87.196 174.6014
136.000000 87.076 175.0229
138.000000 86.995 175.6746
140.000000 86.958 176.4874
143.000000 87.007 177.7498
145.000000 87.106 178.2879
147.500000 87.256 178.2859
150.000000 87.360 177.6768
152.500000 87.386 176.8508
155.000000 87.351 176.1534
157.500000 87.288 175.6623
160.000000 87.217 175.3605
162.500000 87.149 175.1811
165.000000 87.093 175.0807
167.500000 87.053 175.0121
170.000000 87.014 174.9611
172.500000 86.972 174.9730
175.000000 86.937 174.9684
177.500000 86.907 174.8770
180.000000 86.875 174.7292
182.500000 86.836 174.5670
185.000000 86.790 174.4223
187.500000 86.739 174.3097
190.000000 86.685 174.2278
192.500000 86.631 174.1793
195.000000 86.579 174.1572
197.500000 86.528 174.1630
200.000000 86.479 174.1984
203.000000 86.422 174.2664
206.000000 86.361 174.3671
209.000000 86.300 174.5085
212.000000 86.249 174.6640
214.000000 86.222 174.7606
218.000000 86.176 174.9373
220.000000 86.155 175.0172
224.000000 86.111 175.1380
227.000000 86.076 175.1936
230.000000 86.037 175.2487
233.000000 85.991 175.3107
236.000000 85.941 175.3801
240.000000 85.885 175.5382
243.000000 85.852 175.6761
247.000000 85.805 175.8623
250.000000 85.769 175.9982
254.000000 85.719 176.1700
258.000000 85.668 176.3531
262.000000 85.620 176.5486
265.000000 85.584 176.7027
269.000000 85.539 176.9243
272.000000 85.505 177.0992
276.000000 85.463 177.3348
280.000000 85.421 177.5767
285.000000 85.372 177.8954
290.000000 85.325 178.2369
295.000000 85.285 178.5972
300.000000 85.253 178.9275
