* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.1 dBFS, measurement signal peak level -26.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 25/12/2023 10:09:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0263 ms (-9.0 mm, -0.36 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Cinno R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.234 103.8587
1.015000 37.471 103.5159
1.030000 37.707 103.1903
1.044000 37.927 102.9028
1.060000 38.178 102.5949
1.075000 38.413 102.3272
1.090000 38.647 102.0812
1.106000 38.896 101.8461
1.120000 39.114 101.6769
1.138000 39.397 101.5088
1.150000 39.586 101.4248
1.172000 39.935 101.3219
1.180000 40.062 101.2990
1.206000 40.478 101.2696
1.220000 40.702 101.2773
1.241000 41.040 101.3115
1.250000 41.185 101.3323
1.265000 41.426 101.3724
1.280000 41.668 101.4160
1.315000 42.231 101.5106
1.320000 42.311 101.5213
1.340000 42.632 101.5518
1.360000 42.952 101.5559
1.380000 43.270 101.5249
1.400000 43.587 101.4501
1.430000 44.058 101.2369
1.450000 44.370 101.0146
1.475000 44.755 100.6353
1.500000 45.140 100.1698
1.525000 45.525 99.6329
1.550000 45.909 99.0327
1.575000 46.292 98.3774
1.600000 46.674 97.6752
1.625000 47.054 96.9341
1.650000 47.431 96.1622
1.675000 47.805 95.3677
1.700000 48.177 94.5587
1.725000 48.545 93.7433
1.750000 48.909 92.9296
1.775000 49.268 92.1259
1.800000 49.623 91.3401
1.825000 49.972 90.5804
1.850000 50.317 89.8444
1.875000 50.658 89.1103
1.900000 50.994 88.3759
1.925000 51.328 87.6403
1.950000 51.657 86.9024
1.975000 51.983 86.1612
2.000000 52.305 85.4156
2.030000 52.686 84.5137
2.060000 53.063 83.6022
2.090000 53.434 82.6792
2.120000 53.799 81.7431
2.140000 54.040 81.1107
2.180000 54.515 79.8238
2.200000 54.749 79.1682
2.240000 55.209 77.8279
2.270000 55.547 76.7990
2.300000 55.880 75.7530
2.330000 56.208 74.6928
2.360000 56.530 73.6213
2.400000 56.952 72.1801
2.430000 57.262 71.0935
2.470000 57.669 69.6426
2.500000 57.969 68.5565
2.540000 58.362 67.1169
2.580000 58.748 65.6903
2.620000 59.125 64.2586
2.650000 59.402 63.1801
2.690000 59.764 61.7387
2.720000 60.030 60.6571
2.760000 60.378 59.2169
2.800000 60.718 57.7824
2.850000 61.134 56.0028
2.900000 61.540 54.2446
2.950000 61.935 52.5139
3.000000 62.320 50.8056
3.040000 62.619 49.4521
3.070000 62.839 48.4439
3.110000 63.126 47.1077
3.150000 63.406 45.7794
3.200000 63.749 44.1284
3.250000 64.082 42.4853
3.300000 64.408 40.8474
3.350000 64.725 39.2072
3.400000 65.031 37.5659
3.450000 65.329 35.9310
3.500000 65.618 34.3103
3.550000 65.899 32.7113
3.600000 66.172 31.1418
3.650000 66.439 29.6092
3.700000 66.699 28.1173
3.750000 66.950 26.6585
3.820000 67.289 24.6658
3.870000 67.523 23.2737
3.950000 67.884 21.0928
4.000000 68.103 19.7539
4.060000 68.358 18.1669
4.120000 68.604 16.5995
4.180000 68.840 15.0583
4.250000 69.106 13.3029
4.310000 69.327 11.8428
4.370000 69.542 10.4315
4.440000 69.787 8.8532
4.500000 69.988 7.5536
4.550000 70.151 6.5053
4.620000 70.373 5.0867
4.680000 70.558 3.9126
4.750000 70.771 2.5869
4.820000 70.979 1.3083
4.870000 71.124 0.4273
4.940000 71.322 -0.7625
5.000000 71.489 -1.7429
5.080000 71.709 -2.9958
5.150000 71.901 -4.0420
5.220000 72.091 -5.0315
5.300000 72.305 -6.0996
5.380000 72.518 -7.1150
5.450000 72.705 -7.9721
5.520000 72.893 -8.8077
5.600000 73.109 -9.7161
5.700000 73.379 -10.7938
5.800000 73.651 -11.8375
5.900000 73.925 -12.8736
6.000000 74.203 -13.8797
6.080000 74.427 -14.6708
6.150000 74.622 -15.3637
6.220000 74.818 -16.0662
6.300000 75.041 -16.8783
6.400000 75.321 -17.8964
6.500000 75.600 -18.9286
6.600000 75.874 -19.9869
6.700000 76.144 -21.0754
6.800000 76.410 -22.1872
6.900000 76.671 -23.3159
7.000000 76.923 -24.4570
7.100000 77.168 -25.6189
7.200000 77.406 -26.7927
7.300000 77.635 -27.9654
7.400000 77.856 -29.1336
7.500000 78.067 -30.3065
7.620000 78.311 -31.6998
7.750000 78.562 -33.1678
7.880000 78.799 -34.6035
8.000000 79.009 -35.8903
8.120000 79.211 -37.1275
8.250000 79.421 -38.4162
8.380000 79.624 -39.6541
8.500000 79.808 -40.7500
8.620000 79.988 -41.7987
8.750000 80.181 -42.8974
8.850000 80.329 -43.7236
9.000000 80.549 -44.9206
9.120000 80.724 -45.8613
9.250000 80.913 -46.8770
9.380000 81.101 -47.8813
9.500000 81.273 -48.8098
9.620000 81.441 -49.7466
9.750000 81.622 -50.7657
9.880000 81.798 -51.7894
10.000000 81.955 -52.7410
10.150000 82.146 -53.9360
10.300000 82.329 -55.1229
10.440000 82.492 -56.2262
10.600000 82.671 -57.4702
10.750000 82.831 -58.6105
10.900000 82.984 -59.7283
11.060000 83.143 -60.8875
11.200000 83.277 -61.8735
11.380000 83.446 -63.1096
11.500000 83.557 -63.9128
11.720000 83.755 -65.3539
11.800000 83.827 -65.8713
12.060000 84.055 -67.5283
12.200000 84.176 -68.4149
12.410000 84.352 -69.7361
12.500000 84.426 -70.3003
12.650000 84.547 -71.2383
12.800000 84.664 -72.1698
13.150000 84.924 -74.3099
13.200000 84.960 -74.6102
13.400000 85.100 -75.7974
13.600000 85.235 -76.9599
13.800000 85.366 -78.0960
14.000000 85.495 -79.2103
14.300000 85.682 -80.8443
14.500000 85.804 -81.9151
14.750000 85.953 -83.2361
15.000000 86.096 -84.5392
15.250000 86.235 -85.8227
15.500000 86.369 -87.0829
15.750000 86.498 -88.3183
16.000000 86.624 -89.5274
16.250000 86.745 -90.7135
16.500000 86.864 -91.8789
16.750000 86.979 -93.0273
17.000000 87.091 -94.1605
17.250000 87.198 -95.2773
17.500000 87.301 -96.3762
17.750000 87.401 -97.4533
18.000000 87.496 -98.5079
18.250000 87.589 -99.5394
18.500000 87.679 -100.5517
18.750000 87.768 -101.5486
19.000000 87.853 -102.5338
19.250000 87.936 -103.5107
19.500000 88.016 -104.4778
19.750000 88.091 -105.4335
20.000000 88.163 -106.3723
20.299999 88.244 -107.4709
20.600000 88.321 -108.5362
20.900000 88.396 -109.5691
21.200001 88.470 -110.5759
21.400000 88.519 -111.2377
21.799999 88.614 -112.5453
22.000000 88.660 -113.1929
22.400000 88.749 -114.4743
22.700001 88.811 -115.4183
23.000000 88.872 -116.3434
23.299999 88.930 -117.2495
23.600000 88.987 -118.1397
24.000000 89.060 -119.3084
24.299999 89.113 -120.1744
24.700001 89.180 -121.3123
25.000000 89.227 -122.1472
25.400000 89.285 -123.2276
25.799999 89.342 -124.2701
26.200001 89.399 -125.2864
26.500000 89.441 -126.0419
26.900000 89.495 -127.0483
27.200001 89.532 -127.8002
27.600000 89.576 -128.7867
28.000000 89.616 -129.7379
28.500000 89.662 -130.8690
29.000000 89.711 -131.9630
29.500000 89.760 -133.0578
30.000000 89.804 -134.1615
30.400000 89.834 -135.0316
30.700001 89.854 -135.6657
31.100000 89.879 -136.4836
31.500000 89.905 -137.2784
32.000000 89.938 -138.2589
32.500000 89.969 -139.2325
33.000000 89.996 -140.1888
33.500000 90.021 -141.1199
34.000000 90.043 -142.0276
34.500000 90.062 -142.9059
35.000000 90.077 -143.7355
35.500000 90.095 -144.5118
36.000000 90.119 -145.2715
36.500000 90.147 -146.0670
37.000000 90.169 -146.9141
37.500000 90.179 -147.7706
38.200001 90.175 -148.8773
38.700001 90.171 -149.5819
39.500000 90.172 -150.6417
40.000000 90.178 -151.3027
40.599998 90.185 -152.1092
41.200001 90.189 -152.9264
41.799999 90.189 -153.7316
42.500000 90.186 -154.6228
43.099998 90.186 -155.3539
43.700001 90.187 -156.0812
44.400002 90.187 -156.9238
45.000000 90.184 -157.6242
45.500000 90.181 -158.1926
46.200001 90.175 -158.9739
46.799999 90.168 -159.6307
47.500000 90.157 -160.3878
48.200001 90.140 -161.1317
48.700001 90.123 -161.6285
49.400002 90.101 -162.2491
50.000000 90.092 -162.7552
50.799999 90.089 -163.4970
51.500000 90.078 -164.1978
52.200001 90.060 -164.8712
53.000000 90.039 -165.5915
53.799999 90.018 -166.2867
54.500000 90.000 -166.8705
55.200001 89.982 -167.4377
56.000000 89.961 -168.0803
57.000000 89.930 -168.8511
58.000000 89.900 -169.5860
59.000000 89.868 -170.3069
60.000000 89.835 -170.9991
60.799999 89.809 -171.5416
61.500000 89.785 -172.0057
62.200001 89.762 -172.4542
63.000000 89.735 -172.9562
64.000000 89.701 -173.5742
65.000000 89.665 -174.1659
66.000000 89.629 -174.7334
67.000000 89.594 -175.2922
68.000000 89.557 -175.8449
69.000000 89.518 -176.3740
70.000000 89.481 -176.8808
71.000000 89.445 -177.3816
72.000000 89.408 -177.8755
73.000000 89.368 -178.3534
74.000000 89.328 -178.8111
75.000000 89.287 -179.2493
76.199997 89.239 -179.7486
77.500000 89.188 179.7192
78.800003 89.136 179.2005
80.000000 89.089 178.7455
81.199997 89.042 178.3044
82.500000 88.990 177.8524
83.800003 88.938 177.4242
85.000000 88.890 177.0389
86.199997 88.841 176.6570
87.500000 88.787 176.2474
88.500000 88.745 175.9410
90.000000 88.684 175.5064
91.199997 88.636 175.1754
92.500000 88.584 174.8389
93.800003 88.533 174.5154
95.000000 88.484 174.2172
96.199997 88.434 173.9224
97.500000 88.378 173.6109
98.800003 88.323 173.3065
100.000000 88.274 173.0221
101.500000 88.209 172.6916
103.000000 88.143 172.4268
104.400002 88.086 172.1971
106.000000 88.018 171.9419
107.500000 87.954 171.7227
109.000000 87.891 171.5115
110.599998 87.822 171.3010
112.000000 87.756 171.1445
113.800003 87.666 171.0296
115.000000 87.613 170.9958
117.199997 87.538 170.8622
118.000000 87.512 170.7823
120.599998 87.419 170.5803
122.000000 87.368 170.5309
124.099998 87.279 170.4269
125.000000 87.234 170.3857
126.500000 87.153 170.3478
128.000000 87.067 170.3586
131.500000 86.843 170.9672
132.000000 86.812 171.1540
134.000000 86.718 172.1719
136.000000 86.726 173.4290
138.000000 86.860 174.3238
140.000000 87.045 174.4673
143.000000 87.241 173.5337
145.000000 87.279 172.6813
147.500000 87.265 171.7531
150.000000 87.216 171.0217
152.500000 87.138 170.4811
155.000000 87.052 170.1342
157.500000 86.977 169.8790
160.000000 86.913 169.6792
162.500000 86.851 169.5136
165.000000 86.789 169.3589
167.500000 86.731 169.2091
170.000000 86.672 169.0962
172.500000 86.618 169.0772
175.000000 86.571 169.0604
177.500000 86.525 169.0118
180.000000 86.480 168.9417
182.500000 86.433 168.8575
185.000000 86.383 168.7726
187.500000 86.332 168.7037
190.000000 86.281 168.6577
192.500000 86.229 168.6323
195.000000 86.178 168.6202
197.500000 86.127 168.6233
200.000000 86.076 168.6466
203.000000 86.017 168.6923
206.000000 85.963 168.7474
209.000000 85.912 168.8179
212.000000 85.862 168.8833
214.000000 85.829 168.9107
218.000000 85.762 168.9767
220.000000 85.729 169.0289
224.000000 85.664 169.1588
227.000000 85.616 169.2759
230.000000 85.571 169.4060
233.000000 85.532 169.5413
236.000000 85.496 169.6726
240.000000 85.448 169.7968
243.000000 85.409 169.8661
247.000000 85.355 169.9767
250.000000 85.313 170.0822
254.000000 85.263 170.2413
258.000000 85.214 170.4215
262.000000 85.165 170.6241
265.000000 85.128 170.7825
269.000000 85.080 171.0103
272.000000 85.047 171.2014
276.000000 85.011 171.4811
280.000000 84.982 171.7538
285.000000 84.956 172.0341
290.000000 84.933 172.2369
295.000000 84.905 172.3937
300.000000 84.871 172.5425
