* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -24.9 dBFS, measurement signal peak level -22.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:41:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0220 ms (-7.5 mm, -0.3 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Crimson L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.962 -151.9355
1.015000 44.010 -155.3371
1.030000 44.070 -158.6671
1.044000 44.136 -161.6999
1.060000 44.225 -165.0643
1.075000 44.322 -168.1075
1.090000 44.434 -171.0311
1.106000 44.570 -174.0155
1.120000 44.706 -176.5708
1.138000 44.902 -179.7982
1.150000 45.046 178.0861
1.172000 45.334 174.2803
1.180000 45.446 172.9194
1.206000 45.833 168.5800
1.220000 46.054 166.2952
1.241000 46.401 162.9346
1.250000 46.555 161.5184
1.265000 46.816 159.1895
1.280000 47.082 156.8994
1.315000 47.719 151.7026
1.320000 47.811 150.9766
1.340000 48.179 148.1126
1.360000 48.546 145.3113
1.380000 48.910 142.5712
1.400000 49.266 139.8904
1.430000 49.781 135.9772
1.450000 50.108 133.4378
1.475000 50.495 130.3428
1.500000 50.877 127.3666
1.525000 51.259 124.5110
1.550000 51.641 121.7695
1.575000 52.021 119.1353
1.600000 52.400 116.6021
1.625000 52.775 114.1630
1.650000 53.148 111.8115
1.675000 53.516 109.5410
1.700000 53.880 107.3448
1.725000 54.238 105.2163
1.750000 54.590 103.1490
1.775000 54.936 101.1361
1.800000 55.273 99.1711
1.825000 55.603 97.2474
1.850000 55.925 95.3801
1.875000 56.239 93.6133
1.900000 56.547 91.9403
1.925000 56.848 90.3519
1.950000 57.143 88.8390
1.975000 57.433 87.3926
2.000000 57.717 86.0037
2.030000 58.052 84.3999
2.060000 58.380 82.8501
2.090000 58.701 81.3385
2.120000 59.018 79.8495
2.140000 59.226 78.8617
2.180000 59.636 76.8765
2.200000 59.838 75.8703
2.240000 60.234 73.8820
2.270000 60.523 72.4297
2.300000 60.805 71.0095
2.330000 61.081 69.6203
2.360000 61.351 68.2611
2.400000 61.704 66.4934
2.430000 61.963 65.1996
2.470000 62.302 63.5153
2.500000 62.553 62.2812
2.540000 62.883 60.6722
2.580000 63.209 59.1047
2.620000 63.527 57.5916
2.650000 63.760 56.4923
2.690000 64.065 55.0701
2.720000 64.289 54.0334
2.760000 64.582 52.6876
2.800000 64.871 51.3788
2.850000 65.225 49.7878
2.900000 65.575 48.2383
2.950000 65.920 46.7250
3.000000 66.258 45.2746
3.040000 66.522 44.1584
3.070000 66.718 43.3434
3.110000 66.975 42.2816
3.150000 67.229 41.2430
3.200000 67.543 39.9690
3.250000 67.852 38.7114
3.300000 68.159 37.4594
3.350000 68.462 36.2203
3.400000 68.760 35.0041
3.450000 69.053 33.8104
3.500000 69.343 32.6386
3.550000 69.629 31.4883
3.600000 69.912 30.3590
3.650000 70.192 29.2502
3.700000 70.469 28.1668
3.750000 70.743 27.1169
3.820000 71.121 25.6897
3.870000 71.387 24.6901
3.950000 71.806 23.1039
4.000000 72.063 22.1084
4.060000 72.368 20.9001
4.120000 72.669 19.6880
4.180000 72.965 18.4772
4.250000 73.305 17.0709
4.310000 73.590 15.8748
4.370000 73.871 14.6910
4.440000 74.191 13.3290
4.500000 74.461 12.1764
4.550000 74.682 11.2242
4.620000 74.985 9.9009
4.680000 75.239 8.7727
4.750000 75.529 7.4600
4.820000 75.812 6.1467
4.870000 76.009 5.2087
4.940000 76.280 3.9007
5.000000 76.506 2.7884
5.080000 76.800 1.3251
5.150000 77.050 0.0690
5.220000 77.294 -1.1697
5.300000 77.563 -2.5651
5.380000 77.824 -3.9363
5.450000 78.047 -5.1141
5.520000 78.265 -6.2695
5.600000 78.506 -7.5659
5.700000 78.797 -9.1489
5.800000 79.079 -10.6868
5.900000 79.354 -12.1760
6.000000 79.619 -13.6161
6.080000 79.826 -14.7350
6.150000 80.003 -15.6913
6.220000 80.179 -16.6277
6.300000 80.377 -17.6702
6.400000 80.619 -18.9310
6.500000 80.856 -20.1556
6.600000 81.091 -21.3561
6.700000 81.323 -22.5281
6.800000 81.552 -23.6710
6.900000 81.778 -24.7952
7.000000 82.001 -25.9092
7.100000 82.223 -27.0052
7.200000 82.441 -28.0883
7.300000 82.657 -29.1674
7.400000 82.869 -30.2474
7.500000 83.078 -31.3235
7.620000 83.324 -32.6108
7.750000 83.583 -34.0033
7.880000 83.836 -35.3943
8.000000 84.062 -36.6725
8.120000 84.282 -37.9423
8.250000 84.512 -39.3115
8.380000 84.735 -40.6666
8.500000 84.934 -41.8990
8.620000 85.127 -43.1171
8.750000 85.330 -44.4165
8.850000 85.483 -45.3994
9.000000 85.705 -46.8478
9.120000 85.879 -47.9866
9.250000 86.063 -49.2008
9.380000 86.244 -50.3939
9.500000 86.407 -51.4827
9.620000 86.569 -52.5614
9.750000 86.741 -53.7166
9.880000 86.910 -54.8651
10.000000 87.063 -55.9218
10.150000 87.252 -57.2358
10.300000 87.435 -58.5462
10.440000 87.603 -59.7670
10.600000 87.789 -61.1562
10.750000 87.957 -62.4526
10.900000 88.121 -63.7422
11.060000 88.289 -65.1032
11.200000 88.432 -66.2831
11.380000 88.609 -67.7793
11.500000 88.724 -68.7628
11.720000 88.927 -70.5369
11.800000 89.000 -71.1720
12.060000 89.228 -73.2021
12.200000 89.348 -74.2757
12.410000 89.523 -75.8618
12.500000 89.597 -76.5349
12.650000 89.718 -77.6464
12.800000 89.837 -78.7476
13.150000 90.104 -81.2819
13.200000 90.141 -81.6398
13.400000 90.285 -83.0619
13.600000 90.425 -84.4661
13.800000 90.559 -85.8519
14.000000 90.688 -87.2156
14.300000 90.873 -89.2169
14.500000 90.990 -90.5182
14.750000 91.132 -92.1069
15.000000 91.268 -93.6537
15.250000 91.399 -95.1618
15.500000 91.527 -96.6387
15.750000 91.652 -98.0897
16.000000 91.773 -99.5232
16.250000 91.889 -100.9431
16.500000 92.000 -102.3490
16.750000 92.105 -103.7389
17.000000 92.203 -105.1033
17.250000 92.295 -106.4375
17.500000 92.382 -107.7354
17.750000 92.467 -108.9979
18.000000 92.549 -110.2316
18.250000 92.631 -111.4438
18.500000 92.712 -112.6489
18.750000 92.790 -113.8518
19.000000 92.866 -115.0569
19.250000 92.936 -116.2595
19.500000 93.002 -117.4509
19.750000 93.062 -118.6243
20.000000 93.119 -119.7704
20.299999 93.185 -121.1128
20.600000 93.250 -122.4279
20.900000 93.313 -123.7303
21.200001 93.375 -125.0347
21.400000 93.414 -125.9058
21.799999 93.482 -127.6349
22.000000 93.512 -128.4812
22.400000 93.564 -130.1105
22.700001 93.601 -131.2700
23.000000 93.641 -132.3868
23.299999 93.684 -133.4861
23.600000 93.729 -134.5900
24.000000 93.788 -136.0887
24.299999 93.826 -137.2263
24.700001 93.864 -138.7269
25.000000 93.885 -139.8107
25.400000 93.907 -141.1757
25.799999 93.928 -142.4533
26.200001 93.952 -143.6765
26.500000 93.973 -144.5811
26.900000 93.999 -145.7863
27.200001 94.016 -146.6870
27.600000 94.033 -147.8659
28.000000 94.045 -148.9930
28.500000 94.061 -150.3163
29.000000 94.087 -151.5991
29.500000 94.122 -152.9402
30.000000 94.151 -154.3983
30.400000 94.156 -155.6157
30.700001 94.148 -156.5170
31.100000 94.124 -157.6469
31.500000 94.092 -158.6646
32.000000 94.055 -159.7883
32.500000 94.030 -160.8059
33.000000 94.019 -161.7822
33.500000 94.021 -162.7626
34.000000 94.033 -163.7980
34.500000 94.046 -164.9294
35.000000 94.045 -166.1444
35.500000 94.023 -167.3645
36.000000 93.981 -168.4930
36.500000 93.928 -169.4674
37.000000 93.878 -170.2707
37.500000 93.842 -170.9301
38.200001 93.834 -171.7658
38.700001 93.857 -172.4540
39.500000 93.898 -173.8942
40.000000 93.903 -174.9308
40.599998 93.883 -176.1520
41.200001 93.851 -177.2579
41.799999 93.821 -178.2736
42.500000 93.792 -179.4341
43.099998 93.767 179.5543
43.700001 93.734 178.5559
44.400002 93.687 177.4653
45.000000 93.646 176.6057
45.500000 93.613 175.9283
46.200001 93.571 175.0276
46.799999 93.542 174.2770
47.500000 93.516 173.3444
48.200001 93.482 172.3085
48.700001 93.446 171.5512
49.400002 93.386 170.5414
50.000000 93.335 169.7087
50.799999 93.266 168.5803
51.500000 93.200 167.5989
52.200001 93.132 166.6697
53.000000 93.059 165.6610
53.799999 92.992 164.6808
54.500000 92.934 163.8464
55.200001 92.877 163.0453
56.000000 92.813 162.1779
57.000000 92.735 161.1407
58.000000 92.655 160.1439
59.000000 92.577 159.1768
60.000000 92.497 158.2115
60.799999 92.432 157.4607
61.500000 92.378 156.8110
62.200001 92.323 156.1583
63.000000 92.257 155.4384
64.000000 92.178 154.6031
65.000000 92.104 153.7793
66.000000 92.025 152.9542
67.000000 91.939 152.1758
68.000000 91.853 151.4408
69.000000 91.769 150.7250
70.000000 91.688 150.0224
71.000000 91.611 149.3093
72.000000 91.531 148.5861
73.000000 91.447 147.9136
74.000000 91.367 147.3044
75.000000 91.292 146.6994
76.199997 91.198 145.9564
77.500000 91.093 145.1819
78.800003 90.990 144.4227
80.000000 90.893 143.7429
81.199997 90.799 143.1168
82.500000 90.704 142.4885
83.800003 90.611 141.8376
85.000000 90.515 141.2440
86.199997 90.415 140.6987
87.500000 90.310 140.1406
88.500000 90.234 139.7110
90.000000 90.124 139.1003
91.199997 90.045 138.6577
92.500000 89.964 138.2090
93.800003 89.891 137.7769
95.000000 89.825 137.3017
96.199997 89.745 136.7697
97.500000 89.644 136.2278
98.800003 89.542 135.7527
100.000000 89.451 135.3300
101.500000 89.339 134.8401
103.000000 89.230 134.3794
104.400002 89.125 133.9661
106.000000 88.996 133.5475
107.500000 88.868 133.2529
109.000000 88.737 133.0984
110.599998 88.601 133.1377
112.000000 88.493 133.3527
113.800003 88.390 133.8671
115.000000 88.364 134.3275
117.199997 88.455 134.9912
118.000000 88.525 135.0050
120.599998 88.750 133.8315
122.000000 88.796 132.6934
124.099998 88.750 130.9804
125.000000 88.702 130.3484
126.500000 88.606 129.4670
128.000000 88.503 128.8046
131.500000 88.264 127.7107
132.000000 88.226 127.5824
134.000000 88.080 127.1579
136.000000 87.967 126.6795
138.000000 87.857 126.1043
140.000000 87.745 125.7648
143.000000 87.619 125.7376
145.000000 87.582 125.6827
147.500000 87.559 125.2117
150.000000 87.514 124.4354
152.500000 87.428 123.6741
155.000000 87.318 123.0641
157.500000 87.205 122.5779
160.000000 87.097 122.1733
162.500000 86.993 121.8339
165.000000 86.899 121.5406
167.500000 86.815 121.2814
170.000000 86.733 121.1060
172.500000 86.660 121.0081
175.000000 86.601 120.8911
177.500000 86.557 120.7170
180.000000 86.523 120.4779
182.500000 86.491 120.1688
185.000000 86.456 119.7913
187.500000 86.415 119.3744
190.000000 86.368 118.9542
192.500000 86.316 118.5511
195.000000 86.260 118.1666
197.500000 86.200 117.8025
200.000000 86.138 117.4639
203.000000 86.068 117.0947
206.000000 86.005 116.7428
209.000000 85.940 116.4193
212.000000 85.873 116.1235
214.000000 85.829 115.9339
218.000000 85.743 115.5842
220.000000 85.700 115.4319
224.000000 85.616 115.1786
227.000000 85.555 115.0320
230.000000 85.494 114.9227
233.000000 85.435 114.8607
236.000000 85.382 114.8930
240.000000 85.332 115.1244
243.000000 85.322 115.3855
247.000000 85.363 115.7017
250.000000 85.432 115.7680
254.000000 85.543 115.4515
258.000000 85.629 114.7015
262.000000 85.667 113.7646
265.000000 85.668 113.0757
269.000000 85.647 112.2535
272.000000 85.623 111.7084
276.000000 85.588 111.0695
280.000000 85.553 110.5165
285.000000 85.512 109.9050
290.000000 85.477 109.3377
295.000000 85.448 108.8005
300.000000 85.421 108.2800
304.000000 85.402 107.8853
307.000000 85.391 107.5893
311.000000 85.377 107.1904
