* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -24.4 dBFS, measurement signal peak level -23.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:39:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0174 ms (-6.0 mm, -0.24 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Crimson R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 46.763 127.8102
1.015000 47.004 126.4661
1.030000 47.242 125.1636
1.044000 47.463 123.9896
1.060000 47.713 122.7024
1.075000 47.946 121.5533
1.090000 48.178 120.4647
1.106000 48.425 119.3750
1.120000 48.636 118.4798
1.138000 48.901 117.4026
1.150000 49.074 116.7273
1.172000 49.383 115.5699
1.180000 49.493 115.1729
1.206000 49.841 113.9597
1.220000 50.024 113.3498
1.241000 50.292 112.4823
1.250000 50.404 112.1255
1.265000 50.589 111.5473
1.280000 50.771 110.9861
1.315000 51.185 109.7187
1.320000 51.243 109.5402
1.340000 51.472 108.8261
1.360000 51.698 108.1044
1.380000 51.921 107.3651
1.400000 52.141 106.5982
1.430000 52.468 105.3740
1.450000 52.684 104.4938
1.475000 52.953 103.3085
1.500000 53.215 102.0584
1.525000 53.470 100.7610
1.550000 53.719 99.4257
1.575000 53.961 98.0621
1.600000 54.198 96.6801
1.625000 54.429 95.2891
1.650000 54.656 93.8989
1.675000 54.878 92.5190
1.700000 55.097 91.1590
1.725000 55.313 89.8286
1.750000 55.526 88.5375
1.775000 55.736 87.2953
1.800000 55.946 86.1115
1.825000 56.154 84.9959
1.850000 56.360 83.9501
1.875000 56.561 82.9578
1.900000 56.759 82.0133
1.925000 56.952 81.1120
1.950000 57.143 80.2491
1.975000 57.330 79.4198
2.000000 57.514 78.6195
2.030000 57.733 77.6906
2.060000 57.948 76.7881
2.090000 58.162 75.9041
2.120000 58.375 75.0302
2.140000 58.516 74.4492
2.180000 58.798 73.2800
2.200000 58.940 72.6870
2.240000 59.220 71.5115
2.270000 59.427 70.6482
2.300000 59.631 69.7999
2.330000 59.834 68.9662
2.360000 60.035 68.1465
2.400000 60.302 67.0743
2.430000 60.501 66.2852
2.470000 60.766 65.2518
2.500000 60.965 64.4902
2.540000 61.232 63.4916
2.580000 61.500 62.5127
2.620000 61.769 61.5637
2.650000 61.970 60.8709
2.690000 62.238 59.9690
2.720000 62.439 59.3065
2.760000 62.707 58.4381
2.800000 62.975 57.5827
2.850000 63.310 56.5251
2.900000 63.645 55.4721
2.950000 63.980 54.4198
3.000000 64.317 53.3985
3.040000 64.587 52.6014
3.070000 64.790 52.0105
3.110000 65.060 51.2260
3.150000 65.329 50.4385
3.200000 65.665 49.4391
3.250000 65.997 48.4095
3.300000 66.325 47.3357
3.350000 66.652 46.2158
3.400000 66.977 45.0612
3.450000 67.300 43.8807
3.500000 67.620 42.6833
3.550000 67.937 41.4778
3.600000 68.249 40.2729
3.650000 68.554 39.0777
3.700000 68.855 37.8956
3.750000 69.151 36.7171
3.820000 69.558 35.0678
3.870000 69.843 33.8867
3.950000 70.287 31.9850
4.000000 70.557 30.7849
4.060000 70.873 29.3263
4.120000 71.180 27.8365
4.180000 71.479 26.3286
4.250000 71.818 24.5673
4.310000 72.100 23.0740
4.370000 72.374 21.6125
4.440000 72.684 19.9583
4.500000 72.941 18.5656
4.550000 73.148 17.4215
4.620000 73.431 15.8459
4.680000 73.665 14.5204
4.750000 73.933 13.0038
4.820000 74.192 11.5161
4.870000 74.371 10.4691
4.940000 74.614 9.0297
5.000000 74.817 7.8251
5.080000 75.082 6.2682
5.150000 75.310 4.9590
5.220000 75.531 3.7000
5.300000 75.778 2.3161
5.380000 76.018 0.9833
5.450000 76.226 -0.1472
5.520000 76.433 -1.2483
5.600000 76.666 -2.4583
5.700000 76.952 -3.9069
5.800000 77.235 -5.3055
5.900000 77.517 -6.6724
6.000000 77.797 -7.9908
6.080000 78.019 -9.0173
6.150000 78.212 -9.9031
6.220000 78.403 -10.7841
6.300000 78.621 -11.7826
6.400000 78.891 -13.0097
6.500000 79.158 -14.2245
6.600000 79.421 -15.4387
6.700000 79.678 -16.6550
6.800000 79.932 -17.8677
6.900000 80.180 -19.0731
7.000000 80.422 -20.2686
7.100000 80.658 -21.4573
7.200000 80.888 -22.6366
7.300000 81.113 -23.8019
7.400000 81.332 -24.9516
7.500000 81.545 -26.0887
7.620000 81.794 -27.4315
7.750000 82.057 -28.8521
7.880000 82.313 -30.2371
8.000000 82.543 -31.4905
8.120000 82.771 -32.7238
8.250000 83.012 -34.0322
8.380000 83.250 -35.3242
8.500000 83.466 -36.5110
8.620000 83.680 -37.6865
8.750000 83.907 -38.9580
8.850000 84.078 -39.9410
9.000000 84.331 -41.4180
9.120000 84.528 -42.6034
9.250000 84.735 -43.8947
9.380000 84.936 -45.1924
9.500000 85.115 -46.3879
9.620000 85.288 -47.5791
9.750000 85.468 -48.8671
9.880000 85.641 -50.1390
10.000000 85.794 -51.2959
10.150000 85.977 -52.7208
10.300000 86.154 -54.1085
10.440000 86.313 -55.3693
10.600000 86.489 -56.7723
10.750000 86.651 -58.0490
10.900000 86.810 -59.2914
11.060000 86.978 -60.5917
11.200000 87.124 -61.7052
11.380000 87.309 -63.1221
11.500000 87.432 -64.0602
11.720000 87.654 -65.7709
11.800000 87.734 -66.3936
12.060000 87.987 -68.4140
12.200000 88.118 -69.4990
12.410000 88.309 -71.1198
12.500000 88.389 -71.8074
12.650000 88.517 -72.9462
12.800000 88.643 -74.0712
13.150000 88.923 -76.6297
13.200000 88.961 -76.9882
13.400000 89.114 -78.4031
13.600000 89.264 -79.7967
13.800000 89.410 -81.1714
14.000000 89.552 -82.5339
14.300000 89.757 -84.5565
14.500000 89.887 -85.8897
14.750000 90.041 -87.5266
15.000000 90.187 -89.1241
15.250000 90.325 -90.6691
15.500000 90.459 -92.1650
15.750000 90.591 -93.6178
16.000000 90.721 -95.0438
16.250000 90.848 -96.4624
16.500000 90.972 -97.8801
16.750000 91.089 -99.3035
17.000000 91.197 -100.7158
17.250000 91.296 -102.1025
17.500000 91.386 -103.4440
17.750000 91.472 -104.7255
18.000000 91.556 -105.9532
18.250000 91.642 -107.1348
18.500000 91.732 -108.3051
18.750000 91.824 -109.4852
19.000000 91.915 -110.6948
19.250000 92.001 -111.9421
19.500000 92.078 -113.2076
19.750000 92.144 -114.4746
20.000000 92.198 -115.7028
20.299999 92.254 -117.0934
20.600000 92.305 -118.3783
20.900000 92.361 -119.5691
21.200001 92.427 -120.7100
21.400000 92.476 -121.4763
21.799999 92.581 -123.0650
22.000000 92.633 -123.8989
22.400000 92.724 -125.6317
22.700001 92.778 -126.9435
23.000000 92.820 -128.2162
23.299999 92.853 -129.4216
23.600000 92.885 -130.5559
24.000000 92.929 -131.9797
24.299999 92.967 -133.0151
24.700001 93.021 -134.3935
25.000000 93.061 -135.4395
25.400000 93.110 -136.8454
25.799999 93.150 -138.2383
26.200001 93.181 -139.5908
26.500000 93.201 -140.5691
26.900000 93.225 -141.8237
27.200001 93.242 -142.7307
27.600000 93.265 -143.9030
28.000000 93.290 -145.0466
28.500000 93.322 -146.4590
29.000000 93.353 -147.8743
29.500000 93.378 -149.2950
30.000000 93.396 -150.7068
30.400000 93.405 -151.8224
30.700001 93.408 -152.6523
31.100000 93.408 -153.7509
31.500000 93.400 -154.8307
32.000000 93.378 -156.1116
32.500000 93.351 -157.2582
33.000000 93.332 -158.2680
33.500000 93.335 -159.2263
34.000000 93.355 -160.2532
34.500000 93.375 -161.3958
35.000000 93.381 -162.5966
35.500000 93.374 -163.7585
36.000000 93.362 -164.8395
36.500000 93.354 -165.8693
37.000000 93.348 -166.8986
37.500000 93.340 -167.9432
38.200001 93.316 -169.3896
38.700001 93.292 -170.3799
39.500000 93.247 -171.8893
40.000000 93.217 -172.8028
40.599998 93.180 -173.8794
41.200001 93.140 -174.9316
41.799999 93.100 -175.9556
42.500000 93.057 -177.1218
43.099998 93.024 -178.1113
43.700001 92.993 -179.0986
44.400002 92.959 179.7585
45.000000 92.929 178.7969
45.500000 92.904 178.0149
46.200001 92.868 176.9536
46.799999 92.836 176.0736
47.500000 92.796 175.0765
48.200001 92.752 174.1136
48.700001 92.717 173.4504
49.400002 92.665 172.5544
50.000000 92.619 171.8055
50.799999 92.558 170.8154
51.500000 92.504 169.9506
52.200001 92.449 169.0892
53.000000 92.387 168.1121
53.799999 92.327 167.1486
54.500000 92.276 166.3200
55.200001 92.226 165.5063
56.000000 92.166 164.6062
57.000000 92.089 163.5450
58.000000 92.011 162.5413
59.000000 91.931 161.5760
60.000000 91.848 160.6315
60.799999 91.780 159.8926
61.500000 91.722 159.2578
62.200001 91.665 158.6258
63.000000 91.600 157.9133
64.000000 91.520 157.0561
65.000000 91.443 156.2267
66.000000 91.368 155.4261
67.000000 91.293 154.6381
68.000000 91.214 153.8727
69.000000 91.137 153.1595
70.000000 91.063 152.4231
71.000000 90.984 151.6956
72.000000 90.908 150.9853
73.000000 90.826 150.2648
74.000000 90.744 149.6337
75.000000 90.671 148.9843
76.199997 90.570 148.2149
77.500000 90.473 147.4716
78.800003 90.371 146.6649
80.000000 90.275 146.0039
81.199997 90.184 145.3345
82.500000 90.077 144.6334
83.800003 89.976 144.0325
85.000000 89.887 143.3963
86.199997 89.777 142.8475
87.500000 89.684 142.3818
88.500000 89.614 141.9023
90.000000 89.489 141.3721
91.199997 89.417 140.9971
92.500000 89.331 140.4551
93.800003 89.237 140.0421
95.000000 89.172 139.6635
96.199997 89.110 139.1394
97.500000 89.015 138.5359
98.800003 88.912 138.1848
100.000000 88.851 137.8499
101.500000 88.747 137.1653
103.000000 88.598 136.8276
104.400002 88.503 136.6881
106.000000 88.402 136.2827
107.500000 88.274 135.9727
109.000000 88.139 135.9624
110.599998 88.038 136.2975
112.000000 88.007 136.4598
113.800003 87.925 136.4966
115.000000 87.881 137.0234
117.199997 88.059 137.7112
118.000000 88.148 137.4001
120.599998 88.259 135.3779
122.000000 88.223 134.3403
124.099998 88.136 133.2710
125.000000 88.115 132.8765
126.500000 88.086 132.0266
128.000000 88.014 130.9967
131.500000 87.701 129.6406
132.000000 87.661 129.5657
134.000000 87.525 129.3199
136.000000 87.421 129.0568
138.000000 87.341 128.8024
140.000000 87.295 128.5100
143.000000 87.232 127.7045
145.000000 87.149 127.0933
147.500000 87.026 126.5252
150.000000 86.918 126.0796
152.500000 86.813 125.6379
155.000000 86.699 125.2294
157.500000 86.580 124.8843
160.000000 86.467 124.6047
162.500000 86.371 124.3484
165.000000 86.299 124.0725
167.500000 86.250 123.7800
170.000000 86.208 123.5382
172.500000 86.152 123.3625
175.000000 86.074 123.1323
177.500000 85.992 122.7523
180.000000 85.924 122.3195
182.500000 85.866 121.9841
185.000000 85.799 121.7263
187.500000 85.723 121.4423
190.000000 85.656 121.1431
192.500000 85.602 120.9225
195.000000 85.550 120.8085
197.500000 85.496 120.7522
200.000000 85.441 120.7174
203.000000 85.376 120.7010
206.000000 85.331 120.6834
209.000000 85.318 120.6660
212.000000 85.320 120.6576
214.000000 85.322 120.6011
218.000000 85.336 120.2773
220.000000 85.345 120.0505
224.000000 85.348 119.5179
227.000000 85.339 119.0474
230.000000 85.326 118.5809
233.000000 85.310 118.1527
236.000000 85.289 117.7418
240.000000 85.259 117.2114
243.000000 85.239 116.8218
247.000000 85.214 116.3061
250.000000 85.194 115.9081
254.000000 85.164 115.3560
258.000000 85.130 114.8251
262.000000 85.093 114.3315
265.000000 85.065 113.9827
269.000000 85.030 113.5482
272.000000 85.005 113.2426
276.000000 84.974 112.8490
280.000000 84.946 112.4663
285.000000 84.916 112.0070
290.000000 84.890 111.5594
295.000000 84.868 111.1182
300.000000 84.849 110.6758
304.000000 84.836 110.3210
307.000000 84.828 110.0579
311.000000 84.820 109.7081
