* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/04/2023 10:05:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crystall 6I L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.079 -153.7981
1.015000 83.166 -154.4987
1.030000 83.248 -155.1959
1.044000 83.320 -155.8463
1.060000 83.396 -156.5890
1.075000 83.462 -157.2850
1.090000 83.524 -157.9805
1.106000 83.586 -158.7220
1.120000 83.636 -159.3704
1.138000 83.695 -160.2036
1.150000 83.732 -160.7587
1.172000 83.795 -161.7759
1.180000 83.816 -162.1455
1.206000 83.881 -163.3463
1.220000 83.913 -163.9924
1.241000 83.958 -164.9610
1.250000 83.976 -165.3759
1.265000 84.006 -166.0671
1.280000 84.035 -166.7581
1.315000 84.100 -168.3690
1.320000 84.109 -168.5990
1.340000 84.146 -169.5186
1.360000 84.183 -170.4396
1.380000 84.218 -171.3664
1.400000 84.249 -172.2979
1.430000 84.292 -173.7012
1.450000 84.317 -174.6387
1.475000 84.344 -175.8103
1.500000 84.367 -176.9791
1.525000 84.385 -178.1425
1.550000 84.399 -179.2977
1.575000 84.409 179.5580
1.600000 84.414 178.4274
1.625000 84.414 177.3129
1.650000 84.410 176.2175
1.675000 84.401 175.1437
1.700000 84.387 174.0894
1.725000 84.367 173.0427
1.750000 84.341 172.0046
1.775000 84.311 170.9766
1.800000 84.275 169.9604
1.825000 84.236 168.9576
1.850000 84.192 167.9698
1.875000 84.144 166.9987
1.900000 84.093 166.0460
1.925000 84.039 165.1133
1.950000 83.982 164.2021
1.975000 83.923 163.3142
2.000000 83.862 162.4512
2.030000 83.786 161.4489
2.060000 83.704 160.4671
2.090000 83.616 159.5048
2.120000 83.523 158.5662
2.140000 83.459 157.9557
2.180000 83.324 156.7768
2.200000 83.255 156.2109
2.240000 83.113 155.1322
2.270000 83.006 154.3746
2.300000 82.897 153.6657
2.330000 82.789 153.0097
2.360000 82.682 152.4105
2.400000 82.533 151.6922
2.430000 82.415 151.2089
2.470000 82.255 150.6364
2.500000 82.132 150.2595
2.540000 81.970 149.8249
2.580000 81.812 149.4654
2.620000 81.661 149.1785
2.650000 81.555 149.0093
2.690000 81.425 148.8431
2.720000 81.335 148.7798
2.760000 81.216 148.8033
2.800000 81.102 148.9270
2.850000 80.970 149.1841
2.900000 80.853 149.5091
2.950000 80.758 149.8527
3.000000 80.688 150.1655
3.040000 80.653 150.3664
3.070000 80.641 150.5310
3.110000 80.640 150.7842
3.150000 80.656 151.0557
3.200000 80.695 151.3876
3.250000 80.750 151.6713
3.300000 80.815 151.8640
3.350000 80.887 151.9229
3.400000 80.966 151.8323
3.450000 81.063 151.6454
3.500000 81.174 151.3657
3.550000 81.294 150.9927
3.600000 81.415 150.5261
3.650000 81.533 149.9652
3.700000 81.641 149.3098
3.750000 81.744 148.5388
3.820000 81.890 147.2580
3.870000 81.991 146.2303
3.950000 82.139 144.4539
4.000000 82.219 143.2968
4.060000 82.297 141.8886
4.120000 82.360 140.3923
4.180000 82.411 138.8163
4.250000 82.453 136.9255
4.310000 82.473 135.3015
4.370000 82.479 133.7124
4.440000 82.466 131.8728
4.500000 82.438 130.2740
4.550000 82.405 128.9507
4.620000 82.343 127.1489
4.680000 82.278 125.6866
4.750000 82.188 124.0982
4.820000 82.077 122.5736
4.870000 81.988 121.5364
4.940000 81.854 120.1863
5.000000 81.735 119.1497
5.080000 81.575 117.9763
5.150000 81.421 117.1215
5.220000 81.261 116.4171
5.300000 81.083 115.7953
5.380000 80.925 115.3678
5.450000 80.801 115.1865
5.520000 80.684 115.1915
5.600000 80.567 115.3517
5.700000 80.463 115.6578
5.800000 80.420 116.0575
5.900000 80.427 116.6317
6.000000 80.476 117.1794
6.080000 80.542 117.4670
6.150000 80.626 117.6520
6.220000 80.732 117.7854
6.300000 80.867 117.8417
6.400000 81.038 117.7113
6.500000 81.215 117.3245
6.600000 81.401 116.7312
6.700000 81.577 115.9928
6.800000 81.731 115.1269
6.900000 81.874 114.0920
7.000000 81.999 112.9826
7.100000 82.103 111.8887
7.200000 82.183 110.7542
7.300000 82.245 109.6185
7.400000 82.294 108.5651
7.500000 82.326 107.6056
7.620000 82.345 106.5481
7.750000 82.362 105.5868
7.880000 82.375 104.8560
8.000000 82.390 104.3421
8.120000 82.427 103.9432
8.250000 82.486 103.6859
8.380000 82.572 103.4854
8.500000 82.684 103.2703
8.620000 82.823 103.0652
8.750000 82.994 102.7155
8.850000 83.141 102.3235
9.000000 83.382 101.5678
9.120000 83.573 100.7686
9.250000 83.782 99.6889
9.380000 83.981 98.4382
9.500000 84.144 97.1569
9.620000 84.293 95.7346
9.750000 84.431 94.1378
9.880000 84.539 92.5060
10.000000 84.616 90.9734
10.150000 84.684 89.1664
10.300000 84.718 87.4570
10.440000 84.734 86.0339
10.600000 84.734 84.6597
10.750000 84.733 83.5951
10.900000 84.744 82.7808
11.060000 84.773 82.1283
11.200000 84.831 81.6577
11.380000 84.946 81.1821
11.500000 85.047 80.8034
11.720000 85.285 80.0047
11.800000 85.377 79.6184
12.060000 85.699 78.0008
12.200000 85.857 76.9047
12.410000 86.068 74.9913
12.500000 86.139 74.1351
12.650000 86.233 72.6254
12.800000 86.295 71.1629
13.150000 86.311 68.1697
13.200000 86.301 67.8315
13.400000 86.243 66.7173
13.600000 86.182 66.0909
13.800000 86.134 65.8942
14.000000 86.129 66.0811
14.300000 86.228 66.6528
14.500000 86.362 67.0105
14.750000 86.591 67.1812
15.000000 86.840 66.9001
15.250000 87.076 66.2141
15.500000 87.276 65.2108
15.750000 87.425 64.0517
16.000000 87.528 62.9026
16.250000 87.597 61.8354
16.500000 87.643 60.8911
16.750000 87.680 60.0627
17.000000 87.713 59.2949
17.250000 87.745 58.5500
17.500000 87.774 57.7996
17.750000 87.796 57.0350
18.000000 87.809 56.2812
18.250000 87.815 55.5606
18.500000 87.817 54.8930
18.750000 87.821 54.2877
19.000000 87.832 53.7256
19.250000 87.854 53.1829
19.500000 87.887 52.6329
19.750000 87.928 52.0471
20.000000 87.975 51.4202
20.299999 88.033 50.6215
20.600000 88.091 49.7980
20.900000 88.147 48.9830
21.200001 88.203 48.2010
21.400000 88.242 47.7024
21.799999 88.325 46.7470
22.000000 88.368 46.2829
22.400000 88.456 45.3722
22.700001 88.519 44.7090
23.000000 88.576 44.0782
23.299999 88.628 43.4954
23.600000 88.677 42.9692
24.000000 88.741 42.3462
24.299999 88.789 41.9142
24.700001 88.851 41.3481
25.000000 88.893 40.9177
25.400000 88.940 40.3402
25.799999 88.976 39.7777
26.200001 89.005 39.2377
26.500000 89.024 38.8374
26.900000 89.046 38.2897
27.200001 89.061 37.8626
27.600000 89.075 37.2842
28.000000 89.087 36.7186
28.500000 89.107 36.0420
29.000000 89.141 35.3433
29.500000 89.187 34.5509
30.000000 89.227 33.6732
30.400000 89.251 32.9762
30.700001 89.264 32.4981
31.100000 89.283 31.9479
31.500000 89.312 31.4876
32.000000 89.366 30.9604
32.500000 89.436 30.3808
33.000000 89.502 29.7052
33.500000 89.547 29.0045
34.000000 89.574 28.4003
34.500000 89.603 27.9220
35.000000 89.645 27.4470
35.500000 89.689 26.8307
36.000000 89.708 26.0889
36.500000 89.693 25.4028
37.000000 89.666 24.9248
37.500000 89.658 24.6100
38.200001 89.691 24.0957
38.700001 89.719 23.5657
39.500000 89.739 22.6737
40.000000 89.750 22.1935
40.599998 89.772 21.6372
41.200001 89.795 21.0405
41.799999 89.808 20.4362
42.500000 89.811 19.8159
43.099998 89.812 19.3889
43.700001 89.824 19.0067
44.400002 89.844 18.5090
45.000000 89.857 18.0361
45.500000 89.863 17.6552
46.200001 89.875 17.1504
46.799999 89.888 16.7264
47.500000 89.913 16.2866
48.200001 89.972 15.8038
48.700001 90.025 15.2419
49.400002 90.051 14.1487
50.000000 90.001 13.3564
50.799999 89.918 13.0383
51.500000 89.919 13.0662
52.200001 89.959 12.8376
53.000000 89.978 12.3563
53.799999 89.975 11.9528
54.500000 89.975 11.6370
55.200001 89.978 11.2879
56.000000 89.980 10.8370
57.000000 89.979 10.2220
58.000000 89.978 9.6095
59.000000 89.984 8.9789
60.000000 89.988 8.3460
60.799999 89.988 7.8881
61.500000 89.989 7.5335
62.200001 89.990 7.2045
63.000000 89.990 6.8441
64.000000 89.984 6.4424
65.000000 89.984 6.0645
66.000000 89.985 5.6055
67.000000 89.975 5.0829
68.000000 89.957 4.5786
69.000000 89.941 4.1390
70.000000 89.935 3.7302
71.000000 89.932 3.3280
72.000000 89.930 2.9568
73.000000 89.927 2.5847
74.000000 89.913 2.2341
75.000000 89.895 1.9265
76.199997 89.874 1.5500
77.500000 89.851 1.1154
78.800003 89.832 0.6769
80.000000 89.822 0.3032
81.199997 89.812 0.0245
82.500000 89.815 -0.0194
83.800003 89.846 -0.0359
85.000000 89.858 -0.1274
86.199997 89.846 -0.1462
87.500000 89.846 -0.0659
88.500000 89.873 -0.0895
90.000000 89.955 -0.3951
91.199997 90.054 -0.8599
92.500000 90.190 -1.5973
93.800003 90.303 -2.6550
95.000000 90.338 -3.5881
96.199997 90.326 -4.2023
97.500000 90.298 -4.5854
98.800003 90.283 -4.8400
100.000000 90.297 -5.3098
101.500000 90.274 -6.3270
103.000000 90.220 -7.1564
104.400002 90.191 -7.8397
106.000000 90.160 -8.5474
107.500000 90.132 -9.0769
109.000000 90.108 -9.5637
110.599998 90.079 -10.0699
112.000000 90.051 -10.4785
113.800003 90.023 -10.9678
115.000000 90.009 -11.3043
117.199997 89.979 -12.0069
118.000000 89.963 -12.2600
120.599998 89.909 -12.9674
122.000000 89.884 -13.3172
124.099998 89.850 -13.8638
125.000000 89.835 -14.1031
126.500000 89.811 -14.4912
128.000000 89.789 -14.8555
131.500000 89.744 -15.6136
132.000000 89.737 -15.7215
134.000000 89.702 -16.1611
136.000000 89.664 -16.5732
138.000000 89.629 -16.9606
140.000000 89.592 -17.3385
143.000000 89.526 -17.9325
145.000000 89.491 -18.3480
147.500000 89.475 -18.7485
150.000000 89.467 -19.0658
152.500000 89.404 -19.1837
155.000000 89.349 -19.1521
157.500000 89.352 -19.1719
160.000000 89.419 -19.3552
162.500000 89.490 -19.8947
165.000000 89.518 -20.7072
167.500000 89.519 -21.6117
170.000000 89.501 -22.4736
172.500000 89.462 -23.1765
175.000000 89.417 -23.7574
177.500000 89.376 -24.3178
180.000000 89.337 -24.8726
182.500000 89.297 -25.3967
185.000000 89.255 -25.8925
187.500000 89.213 -26.3771
190.000000 89.171 -26.8524
192.500000 89.128 -27.3099
195.000000 89.084 -27.7559
197.500000 89.038 -28.1976
200.000000 88.994 -28.6180
203.000000 88.949 -29.0748
206.000000 88.908 -29.5054
209.000000 88.864 -29.9335
212.000000 88.819 -30.3702
214.000000 88.791 -30.6626
218.000000 88.737 -31.2452
220.000000 88.710 -31.5352
224.000000 88.655 -32.1208
227.000000 88.612 -32.5651
230.000000 88.568 -33.0005
233.000000 88.522 -33.4266
236.000000 88.476 -33.8459
240.000000 88.415 -34.3783
243.000000 88.372 -34.7761
247.000000 88.322 -35.3586
250.000000 88.282 -35.7729
254.000000 88.214 -36.1877
258.000000 88.147 -36.6057
262.000000 88.086 -37.0729
265.000000 88.041 -37.4197
269.000000 87.981 -37.8730
272.000000 87.936 -38.2058
276.000000 87.876 -38.6349
280.000000 87.817 -39.0458
285.000000 87.740 -39.5517
290.000000 87.662 -40.0369
295.000000 87.583 -40.4772
300.000000 87.504 -40.8894
304.000000 87.443 -41.1876
307.000000 87.399 -41.3845
311.000000 87.345 -41.6086
315.000000 87.302 -41.8034
320.000000 87.263 -42.0690
325.000000 87.236 -42.4179
330.000000 87.210 -42.8854
335.000000 87.175 -43.4411
340.000000 87.127 -44.0358
345.000000 87.069 -44.6499
350.000000 87.004 -45.2267
