* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/04/2023 10:00:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crystal 6II L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.711 95.4773
1.015000 61.803 94.2480
1.030000 61.895 93.0619
1.044000 61.981 91.9889
1.060000 62.079 90.7995
1.075000 62.171 89.7169
1.090000 62.263 88.6627
1.106000 62.361 87.5658
1.120000 62.447 86.6266
1.138000 62.558 85.4429
1.150000 62.632 84.6664
1.172000 62.767 83.2628
1.180000 62.816 82.7572
1.206000 62.975 81.1248
1.220000 63.061 80.2483
1.241000 63.189 78.9299
1.250000 63.244 78.3617
1.265000 63.335 77.4081
1.280000 63.427 76.4434
1.315000 63.639 74.1322
1.320000 63.669 73.7935
1.340000 63.789 72.4124
1.360000 63.910 70.9893
1.380000 64.031 69.5373
1.400000 64.152 68.0611
1.430000 64.333 65.8106
1.450000 64.455 64.2921
1.475000 64.606 62.3808
1.500000 64.756 60.4623
1.525000 64.906 58.5447
1.550000 65.055 56.6359
1.575000 65.202 54.7441
1.600000 65.348 52.8773
1.625000 65.492 51.0435
1.650000 65.633 49.2508
1.675000 65.772 47.5071
1.700000 65.908 45.8139
1.725000 66.044 44.1554
1.750000 66.177 42.5278
1.775000 66.309 40.9284
1.800000 66.440 39.3546
1.825000 66.569 37.8035
1.850000 66.696 36.2726
1.875000 66.821 34.7590
1.900000 66.945 33.2601
1.925000 67.067 31.7731
1.950000 67.187 30.2954
1.975000 67.304 28.8241
2.000000 67.420 27.3566
2.030000 67.556 25.5975
2.060000 67.690 23.8443
2.090000 67.820 22.1011
2.120000 67.948 20.3705
2.140000 68.031 19.2249
2.180000 68.195 16.9573
2.200000 68.275 15.8368
2.240000 68.432 13.6262
2.270000 68.546 11.9981
2.300000 68.657 10.3984
2.330000 68.766 8.8297
2.360000 68.873 7.2947
2.400000 69.009 5.2855
2.430000 69.108 3.8035
2.470000 69.235 1.8644
2.500000 69.327 0.4404
2.540000 69.447 -1.4139
2.580000 69.562 -3.2130
2.620000 69.675 -4.9520
2.650000 69.757 -6.2140
2.690000 69.866 -7.8362
2.720000 69.945 -9.0072
2.760000 70.045 -10.5117
2.800000 70.141 -11.9537
2.850000 70.257 -13.6717
2.900000 70.369 -15.3004
2.950000 70.482 -16.8443
3.000000 70.597 -18.3081
3.040000 70.692 -19.4241
3.070000 70.763 -20.2238
3.110000 70.855 -21.2391
3.150000 70.946 -22.1988
3.200000 71.062 -23.3249
3.250000 71.182 -24.3748
3.300000 71.308 -25.3543
3.350000 71.444 -26.2693
3.400000 71.590 -27.1070
3.450000 71.742 -27.8325
3.500000 71.901 -28.4720
3.550000 72.067 -29.0553
3.600000 72.241 -29.6119
3.650000 72.424 -30.1716
3.700000 72.615 -30.7640
3.750000 72.818 -31.3685
3.820000 73.120 -32.1809
3.870000 73.347 -32.7569
3.950000 73.719 -33.7122
4.000000 73.956 -34.3534
4.060000 74.240 -35.1880
4.120000 74.533 -36.0658
4.180000 74.833 -36.9829
4.250000 75.185 -38.1116
4.310000 75.484 -39.1375
4.370000 75.774 -40.2247
4.440000 76.104 -41.5865
4.500000 76.384 -42.8297
4.550000 76.614 -43.9058
4.620000 76.926 -45.4533
4.680000 77.182 -46.7986
4.750000 77.465 -48.3805
4.820000 77.734 -50.0163
4.870000 77.917 -51.2063
4.940000 78.162 -52.8786
5.000000 78.360 -54.2969
5.080000 78.605 -56.1418
5.150000 78.801 -57.7537
5.220000 78.982 -59.3510
5.300000 79.172 -61.1231
5.380000 79.347 -62.7981
5.450000 79.485 -64.1847
5.520000 79.609 -65.5185
5.600000 79.737 -66.9585
5.700000 79.887 -68.5982
5.800000 80.027 -70.0310
5.900000 80.152 -71.2769
6.000000 80.275 -72.3617
6.080000 80.380 -73.1273
6.150000 80.474 -73.6967
6.220000 80.570 -74.1851
6.300000 80.684 -74.6811
6.400000 80.839 -75.2700
6.500000 81.012 -75.7953
6.600000 81.196 -76.2607
6.700000 81.388 -76.7517
6.800000 81.585 -77.3203
6.900000 81.793 -77.9255
7.000000 81.999 -78.5829
7.100000 82.195 -79.3140
7.200000 82.385 -80.1333
7.300000 82.565 -81.0062
7.400000 82.730 -81.8899
7.500000 82.875 -82.7952
7.620000 83.029 -83.9078
7.750000 83.173 -85.0264
7.880000 83.288 -86.0356
8.000000 83.376 -86.8733
8.120000 83.462 -87.5735
8.250000 83.545 -88.1597
8.380000 83.632 -88.6485
8.500000 83.728 -89.0435
8.620000 83.834 -89.3642
8.750000 83.957 -89.7957
8.850000 84.064 -90.2142
9.000000 84.232 -90.9666
9.120000 84.348 -91.7900
9.250000 84.466 -92.9286
9.380000 84.551 -94.2556
9.500000 84.577 -95.6358
9.620000 84.564 -97.1933
9.750000 84.481 -98.8525
9.880000 84.312 -100.5079
10.000000 84.087 -101.9390
10.150000 83.702 -102.9643
10.300000 83.183 -103.2997
10.440000 82.671 -102.3297
10.600000 82.011 -99.1924
10.750000 81.517 -94.8590
10.900000 81.350 -89.1237
11.060000 81.483 -82.2371
11.200000 81.977 -77.1558
11.380000 83.039 -71.6490
11.500000 83.764 -69.6108
11.720000 85.173 -69.0677
11.800000 85.627 -69.6180
12.060000 86.877 -74.2738
12.200000 87.390 -77.6272
12.410000 87.949 -83.5954
12.500000 88.118 -86.2209
12.650000 88.301 -90.7828
12.800000 88.378 -95.2775
13.150000 88.174 -105.0110
13.200000 88.106 -106.2377
13.400000 87.756 -110.6721
13.600000 87.329 -114.0151
13.800000 86.865 -116.2929
14.000000 86.434 -117.4124
14.300000 85.994 -117.7326
14.500000 85.871 -117.5646
14.750000 85.917 -117.6619
15.000000 86.066 -118.3893
15.250000 86.230 -119.9320
15.500000 86.349 -121.9841
15.750000 86.388 -124.0933
16.000000 86.375 -125.8224
16.250000 86.351 -127.0511
16.500000 86.354 -127.7698
16.750000 86.424 -128.1671
17.000000 86.559 -128.5723
17.250000 86.734 -129.1500
17.500000 86.918 -129.9976
17.750000 87.073 -131.0685
18.000000 87.184 -132.1676
18.250000 87.255 -133.1533
18.500000 87.295 -133.9066
18.750000 87.329 -134.3768
19.000000 87.373 -134.6481
19.250000 87.435 -134.8172
19.500000 87.513 -134.9895
19.750000 87.597 -135.2608
20.000000 87.672 -135.6308
20.299999 87.740 -136.1619
20.600000 87.780 -136.6993
20.900000 87.799 -137.1653
21.200001 87.810 -137.5416
21.400000 87.819 -137.7629
21.799999 87.843 -138.2222
22.000000 87.856 -138.4888
22.400000 87.879 -139.1060
22.700001 87.889 -139.6135
23.000000 87.895 -140.1232
23.299999 87.903 -140.6170
23.600000 87.917 -141.1010
24.000000 87.950 -141.7755
24.299999 87.983 -142.3320
24.700001 88.030 -143.1475
25.000000 88.062 -143.7853
25.400000 88.099 -144.6122
25.799999 88.132 -145.3557
26.200001 88.169 -146.0003
26.500000 88.201 -146.4335
26.900000 88.249 -146.9764
27.200001 88.285 -147.3718
27.600000 88.330 -147.8824
28.000000 88.368 -148.3557
28.500000 88.406 -148.8711
29.000000 88.444 -149.3322
29.500000 88.480 -149.8130
30.000000 88.506 -150.3520
30.400000 88.515 -150.7968
30.700001 88.518 -151.1139
31.100000 88.521 -151.5066
31.500000 88.532 -151.8965
32.000000 88.554 -152.4610
32.500000 88.570 -153.1346
33.000000 88.569 -153.7902
33.500000 88.562 -154.2628
34.000000 88.583 -154.5510
34.500000 88.647 -154.8531
35.000000 88.728 -155.3727
35.500000 88.788 -156.0917
36.000000 88.808 -156.7809
36.500000 88.806 -157.2420
37.000000 88.811 -157.4924
37.500000 88.838 -157.7006
38.200001 88.881 -158.1305
38.700001 88.899 -158.4983
39.500000 88.914 -159.0457
40.000000 88.925 -159.3916
40.599998 88.940 -159.8580
41.200001 88.951 -160.3544
41.799999 88.964 -160.8513
42.500000 88.984 -161.4374
43.099998 89.001 -161.9330
43.700001 89.018 -162.3874
44.400002 89.041 -162.8601
45.000000 89.061 -163.2214
45.500000 89.077 -163.4779
46.200001 89.106 -163.7989
46.799999 89.131 -164.1371
47.500000 89.134 -164.5982
48.200001 89.107 -164.8499
48.700001 89.102 -164.8366
49.400002 89.151 -164.8938
50.000000 89.207 -165.3166
50.799999 89.219 -166.1922
51.500000 89.183 -166.7447
52.200001 89.164 -167.0788
53.000000 89.168 -167.5086
53.799999 89.170 -167.9936
54.500000 89.172 -168.3804
55.200001 89.177 -168.7530
56.000000 89.184 -169.1596
57.000000 89.195 -169.6366
58.000000 89.205 -170.1006
59.000000 89.216 -170.5269
60.000000 89.226 -170.9901
60.799999 89.225 -171.3576
61.500000 89.221 -171.6267
62.200001 89.222 -171.8654
63.000000 89.227 -172.1518
64.000000 89.234 -172.5405
65.000000 89.239 -172.9412
66.000000 89.241 -173.3513
67.000000 89.239 -173.7402
68.000000 89.239 -174.1262
69.000000 89.237 -174.5150
70.000000 89.235 -174.8849
71.000000 89.235 -175.2635
72.000000 89.230 -175.6454
73.000000 89.222 -175.9885
74.000000 89.216 -176.2916
75.000000 89.213 -176.6097
76.199997 89.207 -177.0286
77.500000 89.197 -177.5184
78.800003 89.170 -178.0174
80.000000 89.144 -178.2886
81.199997 89.140 -178.5169
82.500000 89.132 -178.7941
83.800003 89.112 -179.0217
85.000000 89.096 -179.1335
86.199997 89.096 -179.3792
87.500000 89.077 -179.5981
88.500000 89.111 -179.6333
90.000000 89.195 179.6749
91.199997 89.170 179.0759
92.500000 89.104 179.1917
93.800003 89.096 179.6977
95.000000 89.087 -179.9161
96.199997 89.092 -179.3555
97.500000 89.171 -179.0793
98.800003 89.239 -179.4350
100.000000 89.285 -179.8253
101.500000 89.376 179.4896
103.000000 89.441 178.5571
104.400002 89.471 177.7590
106.000000 89.484 176.9831
107.500000 89.487 176.3214
109.000000 89.477 175.6801
110.599998 89.457 175.0707
112.000000 89.435 174.5841
113.800003 89.400 174.0605
115.000000 89.382 173.7579
117.199997 89.358 173.1647
118.000000 89.349 172.9379
120.599998 89.314 172.2854
122.000000 89.300 171.9953
124.099998 89.271 171.5342
125.000000 89.253 171.3625
126.500000 89.228 171.1055
128.000000 89.209 170.8239
131.500000 89.159 170.1128
132.000000 89.151 170.0220
134.000000 89.119 169.7025
136.000000 89.091 169.4641
138.000000 89.063 169.2406
140.000000 89.029 169.0421
143.000000 88.985 168.7719
145.000000 88.981 168.6556
147.500000 89.024 168.5952
150.000000 89.085 168.4562
152.500000 89.120 168.2542
155.000000 89.163 167.7996
157.500000 89.199 167.0334
160.000000 89.215 166.2182
162.500000 89.205 165.4551
165.000000 89.175 164.7430
167.500000 89.140 164.0987
170.000000 89.103 163.5348
172.500000 89.065 163.0308
175.000000 89.025 162.5544
177.500000 88.987 162.0991
180.000000 88.950 161.6680
182.500000 88.913 161.2589
185.000000 88.877 160.8640
187.500000 88.844 160.4808
190.000000 88.812 160.1105
192.500000 88.778 159.7474
195.000000 88.745 159.3941
197.500000 88.712 159.0537
200.000000 88.680 158.7174
203.000000 88.640 158.3120
206.000000 88.599 157.9182
209.000000 88.561 157.5351
212.000000 88.523 157.1586
214.000000 88.498 156.9101
218.000000 88.445 156.4241
220.000000 88.419 156.1889
224.000000 88.368 155.7283
227.000000 88.331 155.3868
230.000000 88.293 155.0465
233.000000 88.255 154.7117
236.000000 88.217 154.3853
240.000000 88.167 153.9535
243.000000 88.126 153.6391
247.000000 88.061 153.2381
250.000000 88.016 152.9466
254.000000 87.976 152.5413
258.000000 87.933 152.1469
262.000000 87.882 151.7696
265.000000 87.844 151.4922
269.000000 87.794 151.1336
272.000000 87.756 150.8735
276.000000 87.704 150.5504
280.000000 87.652 150.2412
285.000000 87.588 149.8613
290.000000 87.527 149.4874
295.000000 87.470 149.1079
300.000000 87.412 148.7220
304.000000 87.364 148.4169
307.000000 87.327 148.1932
