* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.1 dBFS, measurement signal peak level -26.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/01/2024 9:50:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1646 ms (-56 mm, -2.22 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: DB2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.543 129.9973
1.015000 44.583 128.9520
1.030000 44.625 127.9208
1.044000 44.667 126.9733
1.060000 44.718 125.9113
1.075000 44.769 124.9386
1.090000 44.823 123.9911
1.106000 44.885 123.0091
1.120000 44.942 122.1634
1.138000 45.018 121.0902
1.150000 45.071 120.3832
1.172000 45.172 119.1033
1.180000 45.211 118.6427
1.206000 45.340 117.1622
1.220000 45.413 116.3746
1.241000 45.525 115.2041
1.250000 45.575 114.7061
1.265000 45.659 113.8805
1.280000 45.746 113.0598
1.315000 45.955 111.1602
1.320000 45.986 110.8902
1.340000 46.111 109.8127
1.360000 46.240 108.7382
1.380000 46.371 107.6649
1.400000 46.505 106.5915
1.430000 46.710 104.9774
1.450000 46.850 103.8965
1.475000 47.028 102.5370
1.500000 47.213 101.1647
1.525000 47.406 99.7828
1.550000 47.605 98.3951
1.575000 47.809 97.0056
1.600000 48.019 95.6183
1.625000 48.233 94.2373
1.650000 48.451 92.8665
1.675000 48.672 91.5100
1.700000 48.895 90.1716
1.725000 49.120 88.8555
1.750000 49.346 87.5655
1.775000 49.572 86.3058
1.800000 49.798 85.0803
1.825000 50.023 83.8929
1.850000 50.247 82.7455
1.875000 50.475 81.6334
1.900000 50.706 80.5537
1.925000 50.938 79.5035
1.950000 51.173 78.4801
1.975000 51.410 77.4807
2.000000 51.647 76.5024
2.030000 51.932 75.3527
2.060000 52.218 74.2246
2.090000 52.503 73.1135
2.120000 52.786 72.0145
2.140000 52.974 71.2861
2.180000 53.345 69.8335
2.200000 53.529 69.1065
2.240000 53.894 67.6697
2.270000 54.168 66.6127
2.300000 54.441 65.5720
2.330000 54.713 64.5466
2.360000 54.983 63.5353
2.400000 55.342 62.2067
2.430000 55.609 61.2238
2.470000 55.962 59.9289
2.500000 56.223 58.9681
2.540000 56.567 57.6986
2.580000 56.906 56.4409
2.620000 57.240 55.2022
2.650000 57.488 54.2860
2.690000 57.816 53.0807
2.720000 58.059 52.1882
2.760000 58.380 51.0123
2.800000 58.696 49.8514
2.850000 59.085 48.4193
2.900000 59.466 47.0060
2.950000 59.841 45.6101
3.000000 60.208 44.2408
3.040000 60.496 43.1637
3.070000 60.709 42.3653
3.110000 60.990 41.3113
3.150000 61.266 40.2677
3.200000 61.605 38.9742
3.250000 61.938 37.6891
3.300000 62.264 36.4083
3.350000 62.584 35.1310
3.400000 62.896 33.8607
3.450000 63.202 32.6001
3.500000 63.501 31.3519
3.550000 63.795 30.1186
3.600000 64.082 28.9029
3.650000 64.365 27.7075
3.700000 64.641 26.5345
3.750000 64.912 25.3826
3.820000 65.280 23.8009
3.870000 65.537 22.6899
3.950000 65.937 20.9386
4.000000 66.180 19.8567
4.060000 66.467 18.5680
4.120000 66.747 17.2912
4.180000 67.019 16.0293
4.250000 67.327 14.5797
4.310000 67.586 13.3599
4.370000 67.839 12.1641
4.440000 68.128 10.8022
4.500000 68.369 9.6622
4.550000 68.565 8.7297
4.620000 68.834 7.4483
4.680000 69.059 6.3698
4.750000 69.318 5.1317
4.820000 69.571 3.9146
4.870000 69.747 3.0602
4.940000 69.989 1.8844
5.000000 70.192 0.8954
5.080000 70.458 -0.3968
5.150000 70.688 -1.5028
5.220000 70.912 -2.5827
5.300000 71.163 -3.7869
5.380000 71.409 -4.9640
5.450000 71.621 -5.9756
5.520000 71.830 -6.9727
5.600000 72.066 -8.0883
5.700000 72.354 -9.4500
5.800000 72.637 -10.7840
5.900000 72.915 -12.0978
6.000000 73.189 -13.3847
6.080000 73.404 -14.3974
6.150000 73.590 -15.2744
6.220000 73.774 -16.1455
6.300000 73.981 -17.1327
6.400000 74.237 -18.3509
6.500000 74.488 -19.5566
6.600000 74.734 -20.7551
6.700000 74.975 -21.9469
6.800000 75.212 -23.1300
6.900000 75.444 -24.3042
7.000000 75.671 -25.4698
7.100000 75.893 -26.6274
7.200000 76.110 -27.7759
7.300000 76.322 -28.9138
7.400000 76.529 -30.0410
7.500000 76.730 -31.1586
7.620000 76.966 -32.4834
7.750000 77.215 -33.8944
7.880000 77.456 -35.2813
8.000000 77.672 -36.5402
8.120000 77.883 -37.7777
8.250000 78.106 -39.0935
8.380000 78.323 -40.3872
8.500000 78.519 -41.5637
8.620000 78.711 -42.7213
8.750000 78.915 -43.9598
8.850000 79.068 -44.9047
9.000000 79.293 -46.3057
9.120000 79.469 -47.4159
9.250000 79.654 -48.6117
9.380000 79.834 -49.7985
9.500000 79.995 -50.8839
9.620000 80.150 -51.9601
9.750000 80.313 -53.1159
9.880000 80.470 -54.2527
10.000000 80.609 -55.2841
10.150000 80.776 -56.5493
10.300000 80.936 -57.7745
10.440000 81.079 -58.8819
10.600000 81.238 -60.1032
10.750000 81.382 -61.1997
10.900000 81.524 -62.2535
11.060000 81.675 -63.3401
11.200000 81.806 -64.2553
11.380000 81.976 -65.4105
11.500000 82.090 -66.1686
11.720000 82.300 -67.5525
11.800000 82.376 -68.0617
12.060000 82.623 -69.7331
12.200000 82.752 -70.6558
12.410000 82.940 -72.0637
12.500000 83.016 -72.6715
12.650000 83.140 -73.6955
12.800000 83.257 -74.7157
13.150000 83.505 -77.0445
13.200000 83.538 -77.3657
13.400000 83.665 -78.6202
13.600000 83.787 -79.8196
13.800000 83.907 -80.9573
14.000000 84.027 -82.0550
14.300000 84.212 -83.6452
14.500000 84.340 -84.7017
14.750000 84.499 -86.0480
15.000000 84.656 -87.4348
15.250000 84.804 -88.8645
15.500000 84.940 -90.3068
15.750000 85.062 -91.7391
16.000000 85.170 -93.1214
16.250000 85.270 -94.4312
16.500000 85.365 -95.6647
16.750000 85.460 -96.8246
17.000000 85.558 -97.9429
17.250000 85.659 -99.0393
17.500000 85.762 -100.1395
17.750000 85.862 -101.2565
18.000000 85.958 -102.3842
18.250000 86.046 -103.5149
18.500000 86.127 -104.6229
18.750000 86.200 -105.6958
19.000000 86.269 -106.7226
19.250000 86.337 -107.7034
19.500000 86.405 -108.6511
19.750000 86.474 -109.5767
20.000000 86.544 -110.5009
20.299999 86.627 -111.6187
20.600000 86.705 -112.7481
20.900000 86.776 -113.8791
21.200001 86.839 -114.9914
21.400000 86.877 -115.7119
21.799999 86.949 -117.0954
22.000000 86.984 -117.7594
22.400000 87.054 -119.0462
22.700001 87.108 -119.9928
23.000000 87.162 -120.9362
23.299999 87.214 -121.8779
23.600000 87.263 -122.8121
24.000000 87.323 -124.0319
24.299999 87.365 -124.9166
24.700001 87.419 -126.0502
25.000000 87.460 -126.8693
25.400000 87.516 -127.9316
25.799999 87.575 -128.9770
26.200001 87.635 -130.0216
26.500000 87.679 -130.8108
26.900000 87.734 -131.8735
27.200001 87.772 -132.6753
27.600000 87.816 -133.7408
28.000000 87.853 -134.7863
28.500000 87.891 -136.0440
29.000000 87.924 -137.2442
29.500000 87.957 -138.4085
30.000000 87.988 -139.5644
30.400000 88.009 -140.4880
30.700001 88.023 -141.1745
31.100000 88.037 -142.0685
31.500000 88.048 -142.9267
32.000000 88.063 -143.9465
32.500000 88.082 -144.9294
33.000000 88.104 -145.9063
33.500000 88.123 -146.8853
34.000000 88.138 -147.8477
34.500000 88.149 -148.7773
35.000000 88.157 -149.6798
35.500000 88.158 -150.5583
36.000000 88.152 -151.3821
36.500000 88.145 -152.1197
37.000000 88.148 -152.8140
37.500000 88.160 -153.5758
38.200001 88.159 -154.8354
38.700001 88.127 -155.7152
39.500000 88.073 -156.7827
40.000000 88.070 -157.4309
40.599998 88.071 -158.4621
41.200001 88.022 -159.5739
41.799999 87.941 -160.3090
42.500000 87.910 -160.6818
43.099998 87.961 -161.1617
43.700001 88.013 -162.0436
44.400002 88.020 -163.1971
45.000000 88.003 -163.9873
45.500000 87.997 -164.5625
46.200001 87.994 -165.4043
46.799999 87.980 -166.1413
47.500000 87.955 -166.9481
48.200001 87.927 -167.7663
48.700001 87.895 -168.3607
49.400002 87.835 -169.0828
50.000000 87.790 -169.5474
50.799999 87.762 -170.1283
51.500000 87.753 -170.7717
52.200001 87.734 -171.4868
53.000000 87.701 -172.2407
53.799999 87.671 -172.9105
54.500000 87.649 -173.4737
55.200001 87.627 -174.0391
56.000000 87.596 -174.6853
57.000000 87.546 -175.4452
58.000000 87.496 -176.1524
59.000000 87.448 -176.8623
60.000000 87.401 -177.5817
60.799999 87.364 -178.1637
61.500000 87.333 -178.6764
62.200001 87.300 -179.1853
63.000000 87.260 -179.7473
64.000000 87.208 179.6042
65.000000 87.158 179.0106
66.000000 87.112 178.4294
67.000000 87.065 177.8296
68.000000 87.010 177.2277
69.000000 86.949 176.6673
70.000000 86.888 176.1553
71.000000 86.828 175.6582
72.000000 86.766 175.1732
73.000000 86.706 174.7026
74.000000 86.648 174.2214
75.000000 86.589 173.7409
76.199997 86.520 173.2132
77.500000 86.454 172.6913
78.800003 86.390 172.2490
80.000000 86.332 171.8942
81.199997 86.271 171.5673
82.500000 86.191 171.1829
83.800003 86.109 170.8871
85.000000 86.056 170.4287
86.199997 85.978 169.7962
87.500000 85.881 169.2784
88.500000 85.822 168.9622
90.000000 85.743 168.5021
91.199997 85.674 168.1932
92.500000 85.597 167.9333
93.800003 85.516 167.7049
95.000000 85.440 167.5320
96.199997 85.369 167.3963
97.500000 85.303 167.2383
98.800003 85.241 167.0499
100.000000 85.183 166.8711
101.500000 85.107 166.6682
103.000000 85.029 166.4868
104.400002 84.956 166.3264
106.000000 84.869 166.1490
107.500000 84.785 166.0180
109.000000 84.704 165.9338
110.599998 84.623 165.8737
112.000000 84.554 165.8698
113.800003 84.473 165.9576
115.000000 84.427 166.0585
117.199997 84.360 166.2465
118.000000 84.340 166.2982
120.599998 84.291 166.4105
122.000000 84.277 166.4325
124.099998 84.268 166.3720
125.000000 84.264 166.2855
126.500000 84.246 166.0458
128.000000 84.211 165.7715
131.500000 84.113 165.0816
132.000000 84.097 164.9852
134.000000 84.029 164.6559
136.000000 83.957 164.3961
138.000000 83.879 164.1782
140.000000 83.799 164.0079
143.000000 83.682 163.7973
145.000000 83.603 163.6355
147.500000 83.507 163.3708
150.000000 83.407 163.1653
152.500000 83.319 163.2025
155.000000 83.239 163.2274
157.500000 83.152 163.1960
160.000000 83.062 163.1989
162.500000 82.977 163.2547
165.000000 82.885 163.2420
167.500000 82.786 163.2054
170.000000 82.698 163.1976
172.500000 82.618 163.2205
175.000000 82.535 163.2647
177.500000 82.450 163.3256
180.000000 82.368 163.3933
182.500000 82.286 163.4699
185.000000 82.205 163.5531
187.500000 82.123 163.6498
190.000000 82.041 163.7717
192.500000 81.961 163.9086
195.000000 81.885 164.0439
197.500000 81.809 164.1820
200.000000 81.732 164.3513
203.000000 81.640 164.5706
206.000000 81.549 164.7557
209.000000 81.461 164.9531
212.000000 81.381 165.2014
214.000000 81.328 165.3757
218.000000 81.219 165.7261
220.000000 81.165 165.9011
224.000000 81.059 166.2595
227.000000 80.983 166.5492
230.000000 80.908 166.8478
233.000000 80.833 167.1432
236.000000 80.758 167.4397
240.000000 80.664 167.8268
243.000000 80.598 168.1310
247.000000 80.511 168.6090
250.000000 80.443 168.9677
254.000000 80.351 169.3573
258.000000 80.263 169.7781
262.000000 80.182 170.2661
265.000000 80.124 170.6275
269.000000 80.045 171.1021
272.000000 79.982 171.4491
276.000000 79.901 171.8902
280.000000 79.826 172.3546
285.000000 79.733 172.9842
290.000000 79.633 173.6369
295.000000 79.549 174.3182
300.000000 79.472 174.9398
304.000000 79.410 175.3539
