* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.157
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12/09/2025 9:23:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dawn-X L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.502 120.2915
0.732422 41.971 78.5749
1.098633 47.602 55.1117
1.464844 52.416 40.2598
1.831055 56.444 29.1218
2.197266 59.830 19.7847
2.563477 62.701 11.4981
2.929688 65.154 3.9605
3.295898 67.269 -2.9539
3.662109 69.109 -9.3082
4.028320 70.726 -15.1482
4.394531 72.163 -20.5222
4.760742 73.454 -25.4878
5.126953 74.625 -30.1118
5.493164 75.697 -34.4640
5.859375 76.681 -38.6069
6.225586 77.585 -42.5845
6.591797 78.414 -46.4158
6.958008 79.174 -50.0978
7.324219 79.870 -53.6185
7.690430 80.512 -56.9743
8.056641 81.110 -60.1817
8.422852 81.670 -63.2754
8.789062 82.195 -66.2921
9.155273 82.682 -69.2501
9.521484 83.132 -72.1398
9.887695 83.545 -74.9331
10.253906 83.928 -77.6055
10.620117 84.288 -80.1580
10.986328 84.632 -82.6206
11.352539 84.960 -85.0342
11.718750 85.270 -87.4215
12.084961 85.556 -89.7708
12.451172 85.819 -92.0437
12.817383 86.064 -94.2056
13.183594 86.299 -96.2547
13.549805 86.531 -98.2313
13.916016 86.760 -100.1943
14.282227 86.980 -102.1823
14.648438 87.181 -104.1867
15.014648 87.360 -106.1562
15.380859 87.519 -108.0305
15.747070 87.668 -109.7798
16.113281 87.815 -111.4255
16.479492 87.966 -113.0270
16.845703 88.117 -114.6429
17.211914 88.261 -116.2952
17.578125 88.390 -117.9600
17.944336 88.502 -119.5876
18.310547 88.602 -121.1371
18.676758 88.697 -122.6011
19.042969 88.793 -124.0060
19.409180 88.891 -125.3913
19.775391 88.986 -126.7828
20.141602 89.076 -128.1793
20.507812 89.156 -129.5599
20.874023 89.230 -130.9022
21.240234 89.300 -132.1981
21.606445 89.367 -133.4563
21.972656 89.434 -134.6922
22.338867 89.499 -135.9150
22.705078 89.559 -137.1225
23.071289 89.615 -138.3051
23.437500 89.668 -139.4561
23.803711 89.719 -140.5769
24.169922 89.768 -141.6753
24.536133 89.817 -142.7580
24.902344 89.862 -143.8262
25.268555 89.905 -144.8767
25.634766 89.946 -145.9082
26.000977 89.986 -146.9257
26.367188 90.023 -147.9371
26.733398 90.058 -148.9461
27.099609 90.087 -149.9457
27.465820 90.111 -150.9212
27.832031 90.132 -151.8590
28.198242 90.152 -152.7580
28.564453 90.174 -153.6318
28.930664 90.197 -154.5005
29.296875 90.221 -155.3776
29.663086 90.242 -156.2619
30.029297 90.258 -157.1394
30.395508 90.272 -157.9953
30.761719 90.283 -158.8241
31.127930 90.296 -159.6335
31.494141 90.310 -160.4372
31.860352 90.323 -161.2448
32.226562 90.334 -162.0551
32.592773 90.342 -162.8584
32.958984 90.347 -163.6443
33.325195 90.351 -164.4089
33.691406 90.354 -165.1562
34.057617 90.358 -165.8941
34.423828 90.362 -166.6272
34.790039 90.364 -167.3539
35.156250 90.364 -168.0684
35.522461 90.363 -168.7652
35.888672 90.362 -169.4442
36.254883 90.362 -170.1102
36.621094 90.363 -170.7702
36.987305 90.364 -171.4291
37.353516 90.364 -172.0877
37.719727 90.363 -172.7438
38.085938 90.361 -173.3943
38.452148 90.358 -174.0368
38.818359 90.353 -174.6702
39.184570 90.347 -175.2940
39.550781 90.341 -175.9081
39.916992 90.333 -176.5129
40.283203 90.325 -177.1081
40.649414 90.317 -177.6930
41.015625 90.307 -178.2662
41.381836 90.298 -178.8271
41.748047 90.290 -179.3785
42.114258 90.283 -179.9273
42.480469 90.277 179.5189
42.846680 90.271 178.9567
43.212891 90.262 178.3907
43.579102 90.251 177.8312
43.945312 90.238 177.2868
44.311523 90.226 176.7582
44.677734 90.215 176.2388
45.043945 90.204 175.7211
45.410156 90.192 175.2047
45.776367 90.180 174.6962
46.142578 90.168 174.2003
46.508789 90.156 173.7121
46.875000 90.146 173.2180
47.241211 90.134 172.7101
47.607422 90.118 172.1996
47.973633 90.095 171.7175
48.339844 90.071 171.2938
48.706055 90.051 170.9302
49.072266 90.042 170.5880
49.438477 90.043 170.2064
49.804688 90.047 169.7424
50.170898 90.044 169.2030
50.537109 90.027 168.6426
50.903320 89.997 168.1285
51.269531 89.964 167.6967
51.635742 89.937 167.3297
52.001953 89.920 166.9731
52.368164 89.908 166.5784
52.734375 89.894 166.1368
53.100586 89.874 165.6810
53.466797 89.849 165.2540
53.833008 89.825 164.8746
54.199219 89.807 164.5230
54.565430 89.796 164.1581
54.931641 89.788 163.7504
55.297852 89.777 163.3028
55.664062 89.761 162.8458
56.030273 89.739 162.4131
56.396484 89.717 162.0186
56.762695 89.699 161.6500
57.128906 89.684 161.2828
57.495117 89.671 160.9001
57.861328 89.656 160.5041
58.227539 89.637 160.1115
58.593750 89.616 159.7405
58.959961 89.595 159.3984
59.326172 89.576 159.0772
59.692383 89.561 158.7604
60.058594 89.547 158.4324
60.424805 89.534 158.0869
60.791016 89.518 157.7300
61.157227 89.498 157.3755
61.523438 89.477 157.0359
61.889648 89.457 156.7122
62.255859 89.439 156.3901
62.622070 89.422 156.0490
62.988281 89.404 155.6786
63.354492 89.379 155.2946
63.720703 89.347 154.9357
64.086914 89.313 154.6398
64.453125 89.284 154.4105
64.819336 89.270 154.2003
65.185547 89.268 153.9311
65.551758 89.269 153.5463
65.917969 89.258 153.0580
66.284180 89.226 152.5524
66.650391 89.174 152.1454
67.016602 89.118 151.9117
67.382812 89.077 151.8317
67.749023 89.064 151.7967
68.115234 89.074 151.6769
68.481445 89.092 151.4026
68.847656 89.100 150.9983
69.213867 89.091 150.5520
69.580078 89.066 150.1498
69.946289 89.038 149.8254
70.312500 89.013 149.5543
70.678711 88.994 149.2894
71.044922 88.976 149.0057
71.411133 88.954 148.7148
71.777344 88.930 148.4440
72.143555 88.907 148.2038
72.509766 88.888 147.9736
72.875977 88.874 147.7203
73.242188 88.857 147.4297
73.608398 88.835 147.1237
73.974609 88.806 146.8457
74.340820 88.775 146.6268
74.707031 88.752 146.4582
75.073242 88.739 146.2937
75.439453 88.734 146.0804
75.805664 88.730 145.7955
76.171875 88.720 145.4603
76.538086 88.700 145.1235
76.904297 88.673 144.8279
77.270508 88.647 144.5839
77.636719 88.627 144.3670
78.002930 88.612 144.1404
78.369141 88.599 143.8823
78.735352 88.582 143.5995
79.101562 88.560 143.3180
79.467773 88.536 143.0598
79.833984 88.512 142.8261
80.200195 88.489 142.5992
80.566406 88.468 142.3605
80.932617 88.444 142.1102
81.298828 88.415 141.8708
81.665039 88.383 141.6707
82.031250 88.354 141.5190
82.397461 88.333 141.3906
82.763672 88.322 141.2378
83.129883 88.315 141.0199
83.496094 88.304 140.7332
83.862305 88.283 140.4173
84.228516 88.252 140.1323
84.594727 88.218 139.9218
84.960938 88.189 139.7834
85.327148 88.174 139.6685
85.693359 88.171 139.5120
86.059570 88.172 139.2735
86.425781 88.168 138.9611
86.791992 88.153 138.6227
87.158203 88.127 138.3152
87.524414 88.097 138.0721
87.890625 88.070 137.8905
88.256836 88.049 137.7416
88.623047 88.033 137.5957
88.989258 88.021 137.4383
89.355469 88.010 137.2696
89.721680 88.000 137.0913
90.087891 87.991 136.8975
90.454102 87.980 136.6786
90.820312 87.966 136.4352
91.186523 87.945 136.1855
91.552734 87.917 135.9588
91.918945 87.887 135.7762
92.285156 87.859 135.6348
92.651367 87.837 135.5074
93.017578 87.820 135.3617
93.383789 87.805 135.1818
93.750000 87.787 134.9756
94.116211 87.767 134.7642
94.482422 87.746 134.5615
94.848633 87.726 134.3631
95.214844 87.708 134.1534
95.581055 87.689 133.9243
95.947266 87.666 133.6881
96.313477 87.639 133.4743
96.679688 87.610 133.3089
97.045898 87.587 133.1923
97.412109 87.572 133.0945
97.778320 87.566 132.9727
98.144531 87.562 132.8008
98.510742 87.555 132.5875
98.876953 87.542 132.3708
99.243164 87.524 132.1888
99.609375 87.508 132.0490
99.975586 87.500 131.9186
100.341797 87.498 131.7450
100.708008 87.496 131.4940
101.074219 87.483 131.1791
101.440430 87.453 130.8592
101.806641 87.409 130.6078
102.172852 87.361 130.4722
102.539062 87.320 130.4470
102.905273 87.295 130.4774
103.271484 87.288 130.4884
103.637695 87.294 130.4178
104.003906 87.303 130.2362
104.370117 87.308 129.9489
104.736328 87.300 129.5889
105.102539 87.275 129.2107
105.468750 87.234 128.8806
105.834961 87.183 128.6586
106.201172 87.134 128.5719
106.567383 87.098 128.5939
106.933594 87.084 128.6477
107.299805 87.089 128.6420
107.666016 87.101 128.5195
108.032227 87.109 128.2855
108.398438 87.102 127.9987
108.764648 87.081 127.7330
109.130859 87.053 127.5366
109.497070 87.026 127.4122
109.863281 87.005 127.3266
110.229492 86.992 127.2384
110.595703 86.981 127.1235
110.961914 86.969 126.9821
111.328125 86.955 126.8290
111.694336 86.939 126.6793
112.060547 86.921 126.5384
112.426758 86.904 126.4023
112.792969 86.888 126.2625
113.159180 86.873 126.1122
113.525391 86.857 125.9512
113.891602 86.839 125.7859
114.257812 86.819 125.6267
114.624023 86.799 125.4815
114.990234 86.781 125.3502
115.356445 86.765 125.2233
115.722656 86.752 125.0875
116.088867 86.740 124.9352
116.455078 86.726 124.7704
116.821289 86.711 124.6061
117.187500 86.694 124.4549
117.553711 86.678 124.3199
117.919922 86.663 124.1934
118.286133 86.651 124.0637
118.652344 86.639 123.9245
119.018555 86.626 123.7790
119.384766 86.611 123.6356
119.750977 86.595 123.5008
120.117188 86.580 123.3741
120.483398 86.565 123.2500
120.849609 86.550 123.1230
121.215820 86.535 122.9920
121.582031 86.520 122.8596
121.948242 86.503 122.7289
122.314453 86.487 122.6010
122.680664 86.470 122.4743
123.046875 86.454 122.3476
123.413086 86.438 122.2206
123.779297 86.422 122.0946
124.145508 86.406 121.9708
124.511719 86.390 121.8492
124.877930 86.376 121.7289
125.244141 86.362 121.6077
125.610352 86.350 121.4825
125.976562 86.338 121.3503
126.342773 86.326 121.2100
126.708984 86.312 121.0641
127.075195 86.297 120.9190
127.441406 86.281 120.7820
127.807617 86.265 120.6569
128.173828 86.249 120.5413
128.540039 86.233 120.4301
128.906250 86.219 120.3191
129.272461 86.204 120.2092
129.638672 86.189 120.1036
130.004883 86.175 120.0022
130.371094 86.163 119.8986
130.737305 86.151 119.7833
131.103516 86.139 119.6524
131.469727 86.124 119.5131
131.835938 86.106 119.3807
132.202148 86.087 119.2675
132.568359 86.070 119.1724
132.934570 86.057 119.0797
133.300781 86.045 118.9707
133.666992 86.034 118.8375
134.033203 86.020 118.6903
134.399414 86.003 118.5496
134.765625 85.984 118.4309
135.131836 85.968 118.3331
135.498047 85.955 118.2395
135.864258 85.945 118.1310
136.230469 85.935 118.0001
136.596680 85.923 117.8568
136.962891 85.907 117.7206
137.329102 85.891 117.6064
137.695312 85.876 117.5136
138.061523 85.864 117.4272
138.427734 85.856 117.3287
138.793945 85.847 117.2099
139.160156 85.836 117.0786
139.526367 85.822 116.9519
139.892578 85.807 116.8435
140.258789 85.792 116.7531
140.625000 85.781 116.6672
140.991211 85.770 116.5708
141.357422 85.759 116.4604
141.723633 85.746 116.3470
142.089844 85.731 116.2458
142.456055 85.717 116.1604
142.822266 85.706 116.0772
143.188477 85.696 115.9756
143.554688 85.685 115.8486
143.920898 85.668 115.7142
144.287109 85.647 115.6058
144.653320 85.625 115.5470
145.019531 85.609 115.5290
145.385742 85.602 115.5113
145.751953 85.603 115.4477
146.118164 85.604 115.3172
146.484375 85.599 115.1367
146.850586 85.584 114.9468
147.216797 85.563 114.7854
147.583008 85.539 114.6688
147.949219 85.517 114.5912
148.315430 85.499 114.5374
148.681641 85.487 114.4920
149.047852 85.479 114.4388
149.414062 85.476 114.3577
149.780273 85.474 114.2301
150.146484 85.469 114.0536
150.512695 85.455 113.8537
150.878906 85.432 113.6754
