* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.157
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12/09/2025 9:24:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dawn-X R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.583 136.9223
0.732422 43.214 88.5592
1.098633 49.052 57.1754
1.464844 54.284 38.7051
1.831055 58.544 25.5446
2.197266 62.005 14.8712
2.563477 64.851 5.7209
2.929688 67.227 -2.2755
3.295898 69.250 -9.3168
3.662109 71.007 -15.5736
4.028320 72.562 -21.2213
4.394531 73.958 -26.4236
4.760742 75.218 -31.3063
5.126953 76.360 -35.9428
5.493164 77.392 -40.3610
5.859375 78.328 -44.5629
6.225586 79.178 -48.5456
6.591797 79.956 -52.3145
6.958008 80.672 -55.8880
7.324219 81.335 -59.2947
7.690430 81.952 -62.5659
8.056641 82.527 -65.7282
8.422852 83.060 -68.7971
8.789062 83.554 -71.7753
9.155273 84.011 -74.6570
9.521484 84.435 -77.4368
9.887695 84.830 -80.1193
10.253906 85.201 -82.7211
10.620117 85.549 -85.2628
10.986328 85.872 -87.7538
11.352539 86.168 -90.1815
11.718750 86.439 -92.5150
12.084961 86.691 -94.7249
12.451172 86.931 -96.8086
12.817383 87.169 -98.8040
13.183594 87.406 -100.7762
13.549805 87.637 -102.7822
13.916016 87.852 -104.8346
14.282227 88.044 -106.8911
14.648438 88.210 -108.8775
15.014648 88.358 -110.7321
15.380859 88.502 -112.4445
15.747070 88.651 -114.0638
16.113281 88.806 -115.6687
16.479492 88.961 -117.3176
16.845703 89.105 -119.0159
17.211914 89.232 -120.7200
17.578125 89.342 -122.3716
17.944336 89.440 -123.9350
18.310547 89.533 -125.4132
18.676758 89.626 -126.8358
19.042969 89.717 -128.2314
19.409180 89.804 -129.6099
19.775391 89.886 -130.9662
20.141602 89.962 -132.2950
20.507812 90.034 -133.6005
20.874023 90.100 -134.8894
21.240234 90.159 -136.1568
21.606445 90.210 -137.3826
21.972656 90.256 -138.5467
22.338867 90.303 -139.6516
22.705078 90.354 -140.7301
23.071289 90.409 -141.8252
23.437500 90.462 -142.9568
23.803711 90.506 -144.1044
24.169922 90.540 -145.2232
24.536133 90.571 -146.2831
24.902344 90.604 -147.2955
25.268555 90.643 -148.3040
25.634766 90.683 -149.3442
26.000977 90.717 -150.4084
26.367188 90.742 -151.4503
26.733398 90.763 -152.4281
27.099609 90.790 -153.3488
27.465820 90.825 -154.2712
27.832031 90.864 -155.2587
28.198242 90.893 -156.3176
28.564453 90.902 -157.3784
28.930664 90.894 -158.3370
29.296875 90.882 -159.1291
29.663086 90.883 -159.7836
30.029297 90.907 -160.4082
30.395508 90.947 -161.1155
30.761719 90.985 -161.9467
31.127930 91.010 -162.8536
31.494141 91.016 -163.7455
31.860352 91.012 -164.5560
32.226562 91.008 -165.2821
32.592773 91.011 -165.9728
32.958984 91.019 -166.6815
33.325195 91.026 -167.4258
33.691406 91.026 -168.1832
34.057617 91.019 -168.9182
34.423828 91.010 -169.6121
34.790039 91.002 -170.2729
35.156250 90.998 -170.9227
35.522461 90.995 -171.5788
35.888672 90.992 -172.2436
36.254883 90.988 -172.9090
36.621094 90.981 -173.5656
36.987305 90.974 -174.2077
37.353516 90.967 -174.8335
37.719727 90.961 -175.4436
38.085938 90.956 -176.0419
38.452148 90.953 -176.6372
38.818359 90.951 -177.2398
39.184570 90.949 -177.8552
39.550781 90.943 -178.4776
39.916992 90.933 -179.0913
40.283203 90.920 -179.6793
40.649414 90.906 179.7657
41.015625 90.894 179.2357
41.381836 90.885 178.7118
41.748047 90.877 178.1757
42.114258 90.869 177.6206
42.480469 90.857 177.0554
42.846680 90.841 176.4992
43.212891 90.821 175.9692
43.579102 90.802 175.4698
43.945312 90.786 174.9888
44.311523 90.773 174.5057
44.677734 90.762 174.0057
45.043945 90.749 173.4910
45.410156 90.732 172.9786
45.776367 90.714 172.4872
46.142578 90.697 172.0207
46.508789 90.684 171.5649
46.875000 90.673 171.0998
47.241211 90.661 170.6187
47.607422 90.646 170.1361
47.973633 90.629 169.6765
48.339844 90.612 169.2507
48.706055 90.601 168.8417
49.072266 90.594 168.4143
49.438477 90.588 167.9431
49.804688 90.575 167.4363
50.170898 90.553 166.9341
50.537109 90.523 166.4818
50.903320 90.493 166.0971
51.269531 90.469 165.7578
51.635742 90.452 165.4192
52.001953 90.439 165.0471
52.368164 90.425 164.6405
52.734375 90.405 164.2253
53.100586 90.382 163.8299
53.466797 90.360 163.4616
53.833008 90.341 163.1041
54.199219 90.325 162.7338
54.565430 90.309 162.3402
54.931641 90.290 161.9336
55.297852 90.269 161.5341
55.664062 90.246 161.1555
56.030273 90.225 160.7950
56.396484 90.206 160.4384
56.762695 90.189 160.0724
57.128906 90.171 159.6958
57.495117 90.151 159.3193
57.861328 90.129 158.9572
58.227539 90.107 158.6162
58.593750 90.087 158.2916
58.959961 90.069 157.9711
59.326172 90.052 157.6443
59.692383 90.035 157.3094
60.058594 90.016 156.9724
60.424805 89.997 156.6407
60.791016 89.977 156.3156
61.157227 89.957 155.9918
61.523438 89.938 155.6632
61.889648 89.917 155.3302
62.255859 89.895 155.0012
62.622070 89.871 154.6848
62.988281 89.849 154.3809
63.354492 89.828 154.0785
63.720703 89.808 153.7660
64.086914 89.787 153.4442
64.453125 89.763 153.1297
64.819336 89.739 152.8420
65.185547 89.719 152.5815
65.551758 89.705 152.3213
65.917969 89.696 152.0216
66.284180 89.686 151.6632
66.650391 89.666 151.2698
67.016602 89.635 150.9001
67.382812 89.597 150.6106
67.749023 89.564 150.4134
68.115234 89.543 150.2630
68.481445 89.535 150.0854
68.847656 89.533 149.8291
69.213867 89.525 149.4983
69.580078 89.507 149.1445
69.946289 89.479 148.8257
70.312500 89.448 148.5669
70.678711 89.422 148.3487
71.044922 89.402 148.1308
71.411133 89.384 147.8870
71.777344 89.363 147.6224
72.143555 89.339 147.3620
72.509766 89.314 147.1247
72.875977 89.291 146.9070
73.242188 89.272 146.6881
73.608398 89.256 146.4489
73.974609 89.239 146.1870
74.340820 89.220 145.9145
74.707031 89.199 145.6448
75.073242 89.178 145.3820
75.439453 89.156 145.1219
75.805664 89.134 144.8626
76.171875 89.111 144.6110
76.538086 89.087 144.3785
76.904297 89.064 144.1691
77.270508 89.046 143.9714
77.636719 89.031 143.7645
78.002930 89.019 143.5323
78.369141 89.004 143.2757
78.735352 88.986 143.0119
79.101562 88.964 142.7617
79.467773 88.941 142.5348
79.833984 88.919 142.3256
80.200195 88.900 142.1196
80.566406 88.882 141.9053
80.932617 88.863 141.6816
81.298828 88.842 141.4553
81.665039 88.821 141.2348
82.031250 88.798 141.0244
82.397461 88.776 140.8245
82.763672 88.756 140.6335
83.129883 88.737 140.4483
83.496094 88.721 140.2627
83.862305 88.707 140.0661
84.228516 88.695 139.8478
84.594727 88.682 139.6039
84.960938 88.665 139.3430
85.327148 88.645 139.0828
85.693359 88.621 138.8412
86.059570 88.595 138.6266
86.425781 88.571 138.4342
86.791992 88.549 138.2532
87.158203 88.528 138.0759
87.524414 88.508 137.9023
87.890625 88.488 137.7371
88.256836 88.470 137.5802
88.623047 88.455 137.4228
88.989258 88.441 137.2510
89.355469 88.427 137.0562
89.721680 88.410 136.8438
90.087891 88.389 136.6324
90.454102 88.364 136.4427
90.820312 88.340 136.2836
91.186523 88.318 136.1453
91.552734 88.302 136.0040
91.918945 88.289 135.8374
92.285156 88.275 135.6394
92.651367 88.257 135.4235
93.017578 88.235 135.2135
93.383789 88.212 135.0267
93.750000 88.190 134.8627
94.116211 88.171 134.7052
94.482422 88.156 134.5361
94.848633 88.141 134.3486
95.214844 88.125 134.1505
95.581055 88.107 133.9537
95.947266 88.088 133.7639
96.313477 88.069 133.5782
96.679688 88.049 133.3948
97.045898 88.026 133.2229
97.412109 88.003 133.0791
97.778320 87.982 132.9700
98.144531 87.967 132.8762
98.510742 87.958 132.7585
98.876953 87.951 132.5869
99.243164 87.937 132.3718
99.609375 87.911 132.1665
99.975586 87.880 132.0312
100.341797 87.852 131.9822
100.708008 87.840 131.9667
101.074219 87.841 131.8942
101.440430 87.845 131.7054
101.806641 87.837 131.4231
102.172852 87.810 131.1407
102.539062 87.773 130.9542
102.905273 87.740 130.8847
103.271484 87.726 130.8541
103.637695 87.729 130.7402
104.003906 87.732 130.4747
104.370117 87.715 130.1023
104.736328 87.672 129.7567
105.102539 87.613 129.5724
105.468750 87.560 129.5903
105.834961 87.535 129.7231
106.201172 87.541 129.8107
106.567383 87.565 129.7274
106.933594 87.583 129.4581
107.299805 87.580 129.0910
107.666016 87.554 128.7495
108.032227 87.516 128.5162
108.398438 87.481 128.3952
108.764648 87.458 128.3281
109.130859 87.445 128.2463
109.497070 87.436 128.1159
109.863281 87.424 127.9474
110.229492 87.408 127.7730
110.595703 87.388 127.6169
110.961914 87.369 127.4819
111.328125 87.351 127.3564
111.694336 87.335 127.2292
112.060547 87.320 127.0979
112.426758 87.305 126.9656
112.792969 87.290 126.8326
113.159180 87.275 126.6945
113.525391 87.261 126.5478
113.891602 87.244 126.3970
114.257812 87.226 126.2542
114.624023 87.207 126.1296
114.990234 87.190 126.0221
115.356445 87.176 125.9181
115.722656 87.164 125.8020
116.088867 87.152 125.6687
116.455078 87.138 125.5273
116.821289 87.123 125.3919
117.187500 87.107 125.2689
117.553711 87.092 125.1514
117.919922 87.079 125.0269
118.286133 87.065 124.8907
118.652344 87.049 124.7519
119.018555 87.031 124.6258
119.384766 87.013 124.5190
119.750977 86.999 124.4208
120.117188 86.988 124.3102
120.483398 86.977 124.1727
120.849609 86.964 124.0132
121.215820 86.946 123.8531
121.582031 86.926 123.7141
121.948242 86.906 123.6023
122.314453 86.890 123.5049
122.680664 86.877 123.4016
123.046875 86.865 123.2799
123.413086 86.853 123.1432
123.779297 86.838 123.0047
124.145508 86.821 122.8772
124.511719 86.805 122.7648
124.877930 86.790 122.6636
125.244141 86.777 122.5662
125.610352 86.766 122.4651
125.976562 86.757 122.3531
126.342773 86.747 122.2238
126.708984 86.736 122.0763
127.075195 86.721 121.9205
127.441406 86.701 121.7768
127.807617 86.678 121.6653
128.173828 86.658 121.5903
128.540039 86.643 121.5322
128.906250 86.634 121.4558
129.272461 86.628 121.3348
129.638672 86.617 121.1723
130.004883 86.599 121.0024
130.371094 86.575 120.8675
130.737305 86.552 120.7867
131.103516 86.536 120.7391
131.469727 86.529 120.6769
131.835938 86.526 120.5601
132.202148 86.519 120.3871
132.568359 86.504 120.1967
132.934570 86.480 120.0411
133.300781 86.455 119.9486
133.666992 86.436 119.9055
134.033203 86.425 119.8692
134.399414 86.419 119.8013
134.765625 86.413 119.6937
135.131836 86.402 119.5684
135.498047 86.388 119.4548
135.864258 86.372 119.3654
136.230469 86.358 119.2903
136.596680 86.347 119.2100
136.962891 86.336 119.1138
137.329102 86.323 119.0058
137.695312 86.308 118.8969
138.061523 86.293 118.7927
138.427734 86.278 118.6903
138.793945 86.262 118.5850
139.160156 86.247 118.4771
139.526367 86.231 118.3706
139.892578 86.216 118.2667
140.258789 86.203 118.1596
140.625000 86.190 118.0433
140.991211 86.177 117.9205
141.357422 86.163 117.8036
141.723633 86.150 117.7014
142.089844 86.140 117.6068
142.456055 86.133 117.4980
142.822266 86.126 117.3612
143.188477 86.114 117.2126
143.554688 86.096 117.0971
143.920898 86.077 117.0549
144.287109 86.068 117.0789
144.653320 86.076 117.1002
145.019531 86.098 117.0261
145.385742 86.117 116.8066
145.751953 86.118 116.4783
146.118164 86.093 116.1502
146.484375 86.048 115.9403
146.850586 86.000 115.9028
147.216797 85.966 115.9941
147.583008 85.955 116.1035
147.949219 85.958 116.1281
148.315430 85.963 116.0349
148.681641 85.955 115.8687
149.047852 85.934 115.7092
149.414062 85.905 115.6164
149.780273 85.878 115.5984
150.146484 85.861 115.6171
150.512695 85.855 115.6196
150.878906 85.854 115.5714
