* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -25.3 dBFS, measurement signal peak level -17.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 10:04:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0295 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Diva High Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 78.413 -24.1136
1.015000 78.568 -24.1891
1.030000 78.723 -24.2667
1.044000 78.868 -24.3412
1.060000 79.035 -24.4295
1.075000 79.190 -24.5157
1.090000 79.346 -24.6058
1.106000 79.511 -24.7046
1.120000 79.658 -24.7826
1.138000 79.851 -24.8701
1.150000 79.981 -24.9217
1.172000 80.224 -25.0055
1.180000 80.313 -25.0333
1.206000 80.608 -25.1177
1.220000 80.768 -25.1616
1.241000 81.010 -25.2291
1.250000 81.115 -25.2595
1.265000 81.289 -25.3135
1.280000 81.465 -25.3732
1.315000 81.874 -25.5431
1.320000 81.933 -25.5718
1.340000 82.166 -25.7000
1.360000 82.398 -25.8525
1.380000 82.629 -26.0333
1.400000 82.857 -26.2462
1.430000 83.194 -26.6341
1.450000 83.414 -26.9441
1.475000 83.683 -27.3952
1.500000 83.952 -27.9119
1.525000 84.220 -28.4874
1.550000 84.487 -29.1160
1.575000 84.753 -29.7920
1.600000 85.017 -30.5096
1.625000 85.279 -31.2631
1.650000 85.538 -32.0469
1.675000 85.794 -32.8551
1.700000 86.047 -33.6822
1.725000 86.296 -34.5223
1.750000 86.540 -35.3698
1.775000 86.780 -36.2189
1.800000 87.014 -37.0640
1.825000 87.243 -37.8993
1.850000 87.466 -38.7287
1.875000 87.685 -39.5720
1.900000 87.900 -40.4292
1.925000 88.111 -41.2994
1.950000 88.318 -42.1817
1.975000 88.521 -43.0751
2.000000 88.719 -43.9788
2.030000 88.952 -45.0753
2.060000 89.179 -46.1836
2.090000 89.400 -47.3021
2.120000 89.615 -48.4291
2.140000 89.755 -49.1845
2.180000 90.026 -50.7026
2.200000 90.158 -51.4645
2.240000 90.413 -53.0106
2.270000 90.596 -54.1919
2.300000 90.774 -55.3879
2.330000 90.945 -56.5955
2.360000 91.111 -57.8113
2.400000 91.322 -59.4393
2.430000 91.473 -60.6612
2.470000 91.666 -62.2854
2.500000 91.804 -63.4954
2.540000 91.980 -65.0917
2.580000 92.145 -66.6651
2.620000 92.300 -68.2431
2.650000 92.409 -69.4302
2.690000 92.545 -71.0120
2.720000 92.640 -72.1933
2.760000 92.758 -73.7557
2.800000 92.867 -75.2966
2.850000 92.989 -77.1811
2.900000 93.097 -79.0055
2.950000 93.191 -80.7613
3.000000 93.267 -82.4906
3.040000 93.317 -83.8533
3.070000 93.348 -84.8575
3.110000 93.381 -86.1657
3.150000 93.406 -87.4307
3.200000 93.426 -88.9379
3.250000 93.435 -90.3469
3.300000 93.436 -91.6410
3.350000 93.420 -92.8566
3.400000 93.387 -94.0125
3.450000 93.341 -95.0869
3.500000 93.287 -96.0582
3.550000 93.229 -96.9045
3.600000 93.172 -97.6042
3.650000 93.121 -98.1355
3.700000 93.072 -98.4772
3.750000 93.011 -98.6336
3.820000 92.917 -98.5896
3.870000 92.857 -98.4054
3.950000 92.792 -97.9174
4.000000 92.785 -97.5318
4.060000 92.818 -96.9898
4.120000 92.883 -96.2118
4.180000 92.976 -95.2670
4.250000 93.121 -94.0921
4.310000 93.278 -93.1416
4.370000 93.464 -92.3528
4.440000 93.728 -91.6823
4.500000 94.003 -91.1641
4.550000 94.259 -90.7939
4.620000 94.642 -90.4262
4.680000 94.978 -90.3034
4.750000 95.361 -90.4526
4.820000 95.734 -90.9594
4.870000 96.010 -91.5137
4.940000 96.401 -92.5213
5.000000 96.730 -93.5671
5.080000 97.147 -95.1679
5.150000 97.479 -96.7204
5.220000 97.791 -98.4932
5.300000 98.126 -100.7673
5.380000 98.433 -103.2252
5.450000 98.675 -105.4603
5.520000 98.889 -107.7275
5.600000 99.102 -110.4487
5.700000 99.323 -114.0121
5.800000 99.493 -117.6475
5.900000 99.611 -121.2618
6.000000 99.677 -124.9442
6.080000 99.692 -127.9018
6.150000 99.679 -130.4517
6.220000 99.642 -132.9278
6.300000 99.569 -135.6975
6.400000 99.430 -139.1143
6.500000 99.245 -142.3646
6.600000 99.016 -145.3248
6.700000 98.737 -148.0635
6.800000 98.412 -150.5712
6.900000 98.058 -152.6859
7.000000 97.687 -154.2672
7.100000 97.271 -155.3798
7.200000 96.843 -156.0378
7.300000 96.447 -156.2224
7.400000 96.097 -155.8401
7.500000 95.765 -154.8566
7.620000 95.443 -153.2891
7.750000 95.264 -151.5428
7.880000 95.257 -149.4467
8.000000 95.353 -147.6775
8.120000 95.519 -146.5691
8.250000 95.812 -145.9049
8.380000 96.138 -145.8120
8.500000 96.402 -146.3395
8.620000 96.664 -147.4720
8.750000 96.914 -149.0767
8.850000 97.061 -150.4330
9.000000 97.223 -152.8519
9.120000 97.306 -154.8609
9.250000 97.346 -156.9273
9.380000 97.335 -158.9845
9.500000 97.298 -160.7309
9.620000 97.240 -162.2496
9.750000 97.148 -163.6994
9.880000 97.056 -164.9257
10.000000 96.978 -165.8193
10.150000 96.885 -166.6656
10.300000 96.826 -167.3736
10.440000 96.803 -167.8706
10.600000 96.808 -168.4030
10.750000 96.844 -168.9970
10.900000 96.906 -169.6461
11.060000 96.974 -170.4950
11.200000 97.039 -171.3757
11.380000 97.109 -172.5982
11.500000 97.142 -173.4762
11.720000 97.180 -175.0991
11.800000 97.184 -175.6540
12.060000 97.172 -177.3462
12.200000 97.159 -178.1106
12.410000 97.133 -179.0896
12.500000 97.128 -179.4594
12.650000 97.123 -179.9916
12.800000 97.127 179.5167
13.150000 97.177 178.3885
13.200000 97.186 178.2139
13.400000 97.229 177.4715
13.600000 97.268 176.6646
13.800000 97.298 175.7826
14.000000 97.314 174.8942
14.300000 97.310 173.5912
14.500000 97.293 172.8073
14.750000 97.266 171.9307
15.000000 97.240 171.1649
15.250000 97.223 170.4553
15.500000 97.215 169.7372
15.750000 97.213 168.9744
16.000000 97.211 168.1269
16.250000 97.201 167.2104
16.500000 97.180 166.2451
16.750000 97.144 165.2687
17.000000 97.097 164.3297
17.250000 97.042 163.4472
17.500000 96.984 162.6428
17.750000 96.930 161.9088
18.000000 96.885 161.2261
18.250000 96.850 160.5730
18.500000 96.827 159.9097
18.750000 96.812 159.2208
19.000000 96.804 158.4919
19.250000 96.798 157.7241
19.500000 96.792 156.9315
19.750000 96.784 156.1249
20.000000 96.776 155.3227
20.299999 96.765 154.3694
20.600000 96.755 153.4240
20.900000 96.745 152.4774
21.200001 96.731 151.5236
21.400000 96.718 150.8905
21.799999 96.680 149.6623
22.000000 96.656 149.0843
22.400000 96.603 148.0285
22.700001 96.564 147.3173
23.000000 96.531 146.6428
23.299999 96.504 145.9633
23.600000 96.478 145.2509
24.000000 96.438 144.2326
24.299999 96.400 143.4314
24.700001 96.334 142.3530
25.000000 96.275 141.5653
25.400000 96.189 140.5680
25.799999 96.101 139.6384
26.200001 96.020 138.7585
26.500000 95.967 138.1027
26.900000 95.908 137.1871
27.200001 95.868 136.4430
27.600000 95.812 135.3744
28.000000 95.747 134.2788
28.500000 95.657 132.9965
29.000000 95.584 131.8247
29.500000 95.537 130.5810
30.000000 95.483 129.1174
30.400000 95.402 127.9067
30.700001 95.317 127.1190
31.100000 95.190 126.3909
31.500000 95.088 126.0266
32.000000 95.041 125.7466
32.500000 95.064 125.1418
33.000000 95.075 124.0322
33.500000 95.019 122.7458
34.000000 94.910 121.7159
34.500000 94.806 121.0261
35.000000 94.736 120.4338
35.500000 94.687 119.6936
36.000000 94.627 118.7967
36.500000 94.548 117.8687
37.000000 94.458 116.9865
37.500000 94.366 116.1309
38.200001 94.236 114.9292
38.700001 94.139 114.0845
39.500000 93.987 112.7768
40.000000 93.896 111.9682
40.599998 93.789 111.0060
41.200001 93.686 110.0611
41.799999 93.588 109.1222
42.500000 93.474 108.0297
43.099998 93.372 107.1230
43.700001 93.269 106.2713
44.400002 93.148 105.3522
45.000000 93.049 104.5991
45.500000 92.968 103.9645
46.200001 92.848 103.0621
46.799999 92.740 102.3091
47.500000 92.619 101.4184
48.200001 92.492 100.4091
48.700001 92.382 99.6666
49.400002 92.209 98.8292
50.000000 92.079 98.3448
50.799999 91.966 97.6668
51.500000 91.883 96.8155
52.200001 91.780 95.9045
53.000000 91.655 94.9776
53.799999 91.535 94.0908
54.500000 91.426 93.3371
55.200001 91.315 92.6236
56.000000 91.189 91.8048
57.000000 91.021 90.8153
58.000000 90.859 89.9075
59.000000 90.708 88.9657
60.000000 90.557 88.0177
60.799999 90.437 87.2782
61.500000 90.331 86.6482
62.200001 90.223 86.0363
63.000000 90.095 85.3603
64.000000 89.931 84.5710
65.000000 89.765 83.7834
66.000000 89.583 83.0574
67.000000 89.419 82.5773
68.000000 89.311 81.9427
69.000000 89.187 80.9951
70.000000 89.033 80.1693
71.000000 88.890 79.4434
72.000000 88.748 78.7278
73.000000 88.613 78.0418
74.000000 88.480 77.2963
75.000000 88.337 76.5615
76.199997 88.164 75.7754
77.500000 87.993 75.0472
78.800003 87.833 74.2493
80.000000 87.668 73.5644
81.199997 87.492 72.9878
82.500000 87.292 72.6515
83.800003 87.135 72.3798
85.000000 86.984 71.8678
86.199997 86.801 71.3190
87.500000 86.608 70.8720
88.500000 86.502 70.3992
90.000000 86.331 69.1565
91.199997 86.125 68.4430
92.500000 85.936 68.4968
93.800003 85.844 68.6094
95.000000 85.748 68.2594
96.199997 85.582 67.7894
97.500000 85.416 67.2985
98.800003 85.321 65.8816
100.000000 85.088 64.1102
101.500000 84.758 64.6619
103.000000 84.888 65.8051
104.400002 85.029 65.5949
106.000000 85.022 65.3334
107.500000 84.912 65.1517
109.000000 84.750 64.7288
110.599998 84.584 63.9498
112.000000 84.451 63.1295
113.800003 84.291 62.5464
115.000000 84.204 62.3776
117.199997 84.026 61.8460
118.000000 83.941 61.5118
120.599998 83.660 60.6354
122.000000 83.568 60.3975
124.099998 83.428 60.2479
125.000000 83.342 60.2531
126.500000 83.169 60.2238
128.000000 83.002 59.9864
131.500000 82.971 59.0463
132.000000 83.022 58.9087
134.000000 83.151 57.9212
136.000000 82.832 57.9777
138.000000 82.398 59.9527
140.000000 82.124 61.5625
143.000000 82.092 62.9794
145.000000 82.278 63.7123
147.500000 82.524 64.1777
150.000000 82.727 63.4411
152.500000 82.811 61.4606
155.000000 82.795 59.5145
157.500000 82.713 57.9486
160.000000 82.590 56.6479
162.500000 82.450 55.6115
165.000000 82.310 54.7810
167.500000 82.166 54.0764
170.000000 82.039 53.5885
172.500000 81.944 53.2247
175.000000 81.851 52.8839
177.500000 81.751 52.5573
180.000000 81.655 52.2240
182.500000 81.564 51.8971
185.000000 81.480 51.5936
187.500000 81.406 51.2765
190.000000 81.338 50.9639
192.500000 81.271 50.6798
195.000000 81.200 50.4048
197.500000 81.139 50.1213
200.000000 81.101 49.7999
203.000000 81.043 49.4566
206.000000 80.961 49.3202
209.000000 80.882 49.1271
212.000000 80.820 48.8450
214.000000 80.782 48.6544
218.000000 80.710 48.3373
220.000000 80.680 48.1784
224.000000 80.617 47.8640
227.000000 80.564 47.6593
230.000000 80.517 47.4385
233.000000 80.472 47.2159
236.000000 80.428 47.0158
240.000000 80.375 46.7460
243.000000 80.339 46.5728
247.000000 80.271 46.4033
250.000000 80.223 46.2839
254.000000 80.196 46.0302
258.000000 80.166 45.7771
262.000000 80.130 45.5804
265.000000 80.112 45.4370
269.000000 80.083 45.2875
272.000000 80.053 45.1799
276.000000 80.019 45.0323
280.000000 80.011 44.8937
285.000000 80.021 44.6997
290.000000 80.016 44.3870
295.000000 79.992 43.9871
300.000000 79.973 43.6222
304.000000 79.956 43.3859
