* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -9.5 dBFS, measurement signal peak level -15.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 10:02:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0316 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Diva High Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.241 -55.6715
1.015000 73.798 -52.8579
1.030000 74.337 -50.2161
1.044000 74.822 -47.9212
1.060000 75.350 -45.5198
1.075000 75.815 -43.5012
1.090000 76.247 -41.7266
1.106000 76.670 -40.1165
1.120000 77.030 -38.9198
1.138000 77.484 -37.6473
1.150000 77.783 -36.9555
1.172000 78.320 -35.9889
1.180000 78.512 -35.7280
1.206000 79.125 -35.1832
1.220000 79.448 -35.0655
1.241000 79.923 -35.0920
1.250000 80.123 -35.1706
1.265000 80.452 -35.3814
1.280000 80.775 -35.6812
1.315000 81.508 -36.6570
1.320000 81.610 -36.8212
1.340000 82.013 -37.5218
1.360000 82.406 -38.2701
1.380000 82.790 -39.0368
1.400000 83.164 -39.7925
1.430000 83.707 -40.8408
1.450000 84.058 -41.4400
1.475000 84.483 -42.0561
1.500000 84.887 -42.7591
1.525000 85.271 -43.5946
1.550000 85.637 -44.5440
1.575000 85.985 -45.5890
1.600000 86.318 -46.7110
1.625000 86.636 -47.8917
1.650000 86.941 -49.1126
1.675000 87.235 -50.3553
1.700000 87.519 -51.6012
1.725000 87.794 -52.8321
1.750000 88.063 -54.0294
1.775000 88.325 -55.1746
1.800000 88.584 -56.2494
1.825000 88.840 -57.2353
1.850000 89.092 -58.1334
1.875000 89.335 -58.9848
1.900000 89.568 -59.7966
1.925000 89.792 -60.5747
1.950000 90.007 -61.3246
1.975000 90.215 -62.0521
2.000000 90.415 -62.7628
2.030000 90.646 -63.6014
2.060000 90.867 -64.4337
2.090000 91.080 -65.2695
2.120000 91.284 -66.1186
2.140000 91.417 -66.6969
2.180000 91.674 -67.8958
2.200000 91.798 -68.5223
2.240000 92.036 -69.8367
2.270000 92.202 -70.8660
2.300000 92.359 -71.9209
2.330000 92.508 -72.9911
2.360000 92.649 -74.0661
2.400000 92.825 -75.4886
2.430000 92.949 -76.5339
2.470000 93.105 -77.8789
2.500000 93.217 -78.8376
2.540000 93.358 -80.0292
2.580000 93.491 -81.1061
2.620000 93.610 -82.1133
2.650000 93.690 -82.8307
2.690000 93.786 -83.7351
2.720000 93.852 -84.3736
2.760000 93.932 -85.1705
2.800000 94.006 -85.9040
2.850000 94.093 -86.7294
2.900000 94.178 -87.4502
2.950000 94.263 -88.0625
3.000000 94.335 -88.5575
3.040000 94.383 -88.8730
3.070000 94.416 -89.0657
3.110000 94.459 -89.2676
3.150000 94.502 -89.4109
3.200000 94.564 -89.5147
3.250000 94.639 -89.5431
3.300000 94.734 -89.5045
3.350000 94.843 -89.3407
3.400000 94.959 -89.0365
3.450000 95.085 -88.6362
3.500000 95.222 -88.1842
3.550000 95.373 -87.7250
3.600000 95.539 -87.3027
3.650000 95.722 -86.9617
3.700000 95.926 -86.6923
3.750000 96.154 -86.4033
3.820000 96.502 -86.0167
3.870000 96.765 -85.7965
3.950000 97.197 -85.6288
4.000000 97.465 -85.6886
4.060000 97.782 -85.9677
4.120000 98.111 -86.4306
4.180000 98.447 -87.0534
4.250000 98.838 -87.9603
4.310000 99.164 -88.8735
4.370000 99.473 -89.8949
4.440000 99.808 -91.2259
4.500000 100.085 -92.5279
4.550000 100.307 -93.7101
4.620000 100.602 -95.4822
4.680000 100.837 -97.0802
4.750000 101.086 -98.9986
4.820000 101.308 -100.9876
4.870000 101.452 -102.4853
4.940000 101.633 -104.6587
5.000000 101.768 -106.5640
5.080000 101.921 -109.1169
5.150000 102.026 -111.3242
5.220000 102.106 -113.5605
5.300000 102.165 -116.1454
5.380000 102.193 -118.7152
5.450000 102.193 -120.9137
5.520000 102.169 -123.0402
5.600000 102.110 -125.4463
5.700000 101.993 -128.3805
5.800000 101.834 -131.1391
5.900000 101.638 -133.6403
6.000000 101.395 -135.9563
6.080000 101.174 -137.6488
6.150000 100.968 -138.9772
6.220000 100.756 -140.1339
6.300000 100.500 -141.2367
6.400000 100.154 -142.3253
6.500000 99.802 -143.1136
6.600000 99.471 -143.6237
6.700000 99.155 -143.7753
6.800000 98.850 -143.6194
6.900000 98.572 -143.3235
7.000000 98.337 -143.0199
7.100000 98.148 -142.5748
7.200000 97.989 -142.0823
7.300000 97.849 -141.7038
7.400000 97.724 -141.5351
7.500000 97.628 -141.4932
7.620000 97.515 -141.5908
7.750000 97.355 -141.8938
7.880000 97.173 -142.4901
8.000000 96.976 -143.0399
8.120000 96.734 -143.3745
8.250000 96.416 -143.6565
8.380000 96.082 -143.5786
8.500000 95.777 -142.9243
8.620000 95.451 -141.7822
8.750000 95.159 -140.1762
8.850000 95.024 -138.7132
9.000000 94.926 -135.9565
9.120000 94.956 -133.8580
9.250000 95.132 -132.0871
9.380000 95.446 -130.6091
9.500000 95.780 -129.8541
9.620000 96.128 -129.9214
9.750000 96.546 -130.7558
9.880000 96.933 -132.2267
10.000000 97.238 -134.1769
10.150000 97.570 -137.3531
10.300000 97.814 -140.8560
10.440000 97.959 -144.4932
10.600000 98.036 -148.7738
10.750000 98.017 -152.6790
10.900000 97.917 -156.4975
11.060000 97.747 -160.0623
11.200000 97.534 -162.8076
11.380000 97.241 -165.5814
11.500000 97.035 -166.8537
11.720000 96.703 -168.2639
11.800000 96.625 -168.2886
12.060000 96.509 -168.4572
12.200000 96.574 -168.4207
12.410000 96.806 -168.4227
12.500000 96.926 -168.6744
12.650000 97.170 -169.3855
12.800000 97.416 -170.4171
13.150000 97.859 -174.0880
13.200000 97.901 -174.6455
13.400000 98.012 -177.0020
13.600000 98.048 -179.0933
13.800000 98.010 179.2586
14.000000 97.956 178.1448
14.300000 97.882 177.4104
14.500000 97.893 177.2848
14.750000 97.949 177.0419
15.000000 98.032 176.4955
15.250000 98.053 175.4595
15.500000 97.961 174.4198
15.750000 97.747 173.7500
16.000000 97.432 174.2093
16.250000 97.168 175.9319
16.500000 97.045 178.6022
16.750000 97.206 -178.5199
17.000000 97.570 -176.7627
17.250000 98.033 -176.5277
17.500000 98.441 -178.2336
17.750000 98.663 178.7414
18.000000 98.675 175.0219
18.250000 98.452 171.3083
18.500000 98.045 168.5853
18.750000 97.549 167.1031
19.000000 97.056 167.0751
19.250000 96.759 167.9009
19.500000 96.680 168.7039
19.750000 96.822 168.8176
20.000000 97.041 167.4851
20.299999 97.251 164.2938
20.600000 97.300 160.0012
20.900000 97.155 155.6172
21.200001 96.864 152.0972
21.400000 96.655 150.4658
21.799999 96.333 148.6081
22.000000 96.265 148.0824
22.400000 96.317 146.9855
22.700001 96.430 145.7657
23.000000 96.518 144.3254
23.299999 96.566 143.0538
23.600000 96.598 142.1530
24.000000 96.668 141.4847
24.299999 96.751 141.0728
24.700001 96.849 140.2997
25.000000 96.858 139.6397
25.400000 96.758 139.1567
25.799999 96.601 139.6405
26.200001 96.517 140.8560
26.500000 96.533 141.6744
26.900000 96.598 141.9958
27.200001 96.600 141.5967
27.600000 96.475 140.6820
28.000000 96.238 140.0344
28.500000 95.966 139.5913
29.000000 95.812 137.8702
29.500000 95.531 133.6013
30.000000 94.766 128.5218
30.400000 93.756 126.8880
30.700001 92.911 128.4000
31.100000 92.208 133.4760
31.500000 92.435 138.9343
32.000000 93.545 140.9490
32.500000 94.524 136.5708
33.000000 94.958 129.6807
33.500000 94.974 123.9662
34.000000 94.874 120.6855
34.500000 94.871 118.9743
35.000000 94.950 117.6907
35.500000 95.003 116.5381
36.000000 95.000 115.8165
36.500000 94.982 115.5498
37.000000 94.964 115.3872
37.500000 94.916 115.1055
38.200001 94.765 114.6736
38.700001 94.625 114.4335
39.500000 94.409 113.8178
40.000000 94.275 113.1324
40.599998 94.111 112.0346
41.200001 93.947 110.7518
41.799999 93.791 109.4461
42.500000 93.644 108.0759
43.099998 93.565 107.0102
43.700001 93.516 105.9528
44.400002 93.457 104.7803
45.000000 93.391 103.9450
45.500000 93.328 103.3765
46.200001 93.227 102.6777
46.799999 93.121 102.1061
47.500000 92.978 101.4691
48.200001 92.834 100.7801
48.700001 92.734 100.1566
49.400002 92.583 99.0936
50.000000 92.440 98.1759
50.799999 92.271 97.1123
51.500000 92.163 96.2007
52.200001 92.068 95.2411
53.000000 91.946 94.2859
53.799999 91.822 93.5961
54.500000 91.714 93.1292
55.200001 91.603 92.7269
56.000000 91.478 92.2686
57.000000 91.327 91.4872
58.000000 91.164 90.4265
59.000000 90.996 89.3122
60.000000 90.850 88.2633
60.799999 90.751 87.4776
61.500000 90.673 86.8645
62.200001 90.603 86.2882
63.000000 90.520 85.5501
64.000000 90.365 84.5023
65.000000 90.133 83.6036
66.000000 89.872 83.1258
67.000000 89.680 82.8538
68.000000 89.554 82.0849
69.000000 89.398 81.0341
70.000000 89.245 80.2755
71.000000 89.149 79.5745
72.000000 89.070 78.7098
73.000000 88.968 77.7466
74.000000 88.817 76.8594
75.000000 88.622 76.3548
76.199997 88.420 76.3290
77.500000 88.302 76.1246
78.800003 88.172 75.3734
80.000000 88.027 74.6036
81.199997 87.870 73.8987
82.500000 87.727 73.3708
83.800003 87.607 72.7620
85.000000 87.463 72.2339
86.199997 87.296 72.0005
87.500000 87.165 71.8374
88.500000 87.094 71.3582
90.000000 86.957 70.1632
91.199997 86.824 69.2453
92.500000 86.682 68.4310
93.800003 86.536 67.8378
95.000000 86.398 67.4437
96.199997 86.279 67.0624
97.500000 86.188 66.1678
98.800003 86.069 64.5816
100.000000 85.859 63.1324
101.500000 85.561 63.0092
103.000000 85.497 63.7847
104.400002 85.491 63.9547
106.000000 85.382 63.8589
107.500000 85.184 63.8831
109.000000 84.984 64.1226
110.599998 84.846 64.2334
112.000000 84.784 63.9797
113.800003 84.702 63.1592
115.000000 84.621 62.6599
117.199997 84.490 62.0547
118.000000 84.453 61.8477
120.599998 84.286 61.0287
122.000000 84.144 60.7080
124.099998 83.905 60.3811
125.000000 83.806 60.2403
126.500000 83.667 60.0030
128.000000 83.579 59.8181
131.500000 83.541 60.4331
132.000000 83.560 60.7129
134.000000 83.679 61.2609
136.000000 83.550 60.7434
138.000000 83.277 61.0005
140.000000 83.167 61.2078
143.000000 83.177 60.5323
145.000000 83.175 60.0979
147.500000 83.148 59.6393
150.000000 83.073 58.8604
152.500000 82.943 57.9185
155.000000 82.829 57.2787
157.500000 82.794 56.8712
160.000000 82.802 56.3871
162.500000 82.795 55.5254
165.000000 82.774 54.3917
167.500000 82.733 53.2170
170.000000 82.614 52.8037
172.500000 82.510 52.8544
175.000000 82.414 52.5417
177.500000 82.333 51.9841
180.000000 82.263 51.4828
182.500000 82.179 51.1269
185.000000 82.075 50.7811
187.500000 81.990 50.3520
190.000000 81.938 49.9416
192.500000 81.880 49.7388
195.000000 81.784 49.5546
197.500000 81.677 48.9592
200.000000 81.602 48.0880
203.000000 81.556 47.7036
206.000000 81.533 48.0023
209.000000 81.483 47.9567
212.000000 81.437 47.5072
214.000000 81.411 47.2175
218.000000 81.350 46.8503
220.000000 81.320 46.6737
224.000000 81.266 46.3036
227.000000 81.218 46.0577
230.000000 81.165 45.7366
233.000000 81.111 45.3039
236.000000 81.066 44.9392
240.000000 81.027 44.7167
243.000000 80.997 44.5449
247.000000 80.960 44.2436
250.000000 80.937 44.0164
254.000000 80.882 43.7670
258.000000 80.819 43.5207
262.000000 80.777 43.3259
265.000000 80.755 43.2377
269.000000 80.726 43.0748
272.000000 80.712 42.8745
276.000000 80.705 42.5913
280.000000 80.694 42.3019
285.000000 80.664 41.9148
290.000000 80.632 41.4790
295.000000 80.602 41.0417
300.000000 80.568 40.6662
