* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -26.6 dBFS, measurement signal peak level -26.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 10:05:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0205 ms (-7.0 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Diva Low Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.013 -28.6237
1.015000 76.953 -29.0547
1.030000 76.894 -29.4704
1.044000 76.839 -29.8431
1.060000 76.777 -30.2488
1.075000 76.720 -30.6079
1.090000 76.664 -30.9445
1.106000 76.605 -31.2778
1.120000 76.554 -31.5536
1.138000 76.488 -31.8890
1.150000 76.444 -32.1012
1.172000 76.362 -32.4677
1.180000 76.332 -32.5940
1.206000 76.236 -32.9809
1.220000 76.184 -33.1750
1.241000 76.106 -33.4488
1.250000 76.073 -33.5602
1.265000 76.018 -33.7385
1.280000 75.963 -33.9080
1.315000 75.835 -34.2733
1.320000 75.817 -34.3224
1.340000 75.746 -34.5119
1.360000 75.675 -34.6918
1.380000 75.606 -34.8634
1.400000 75.537 -35.0284
1.430000 75.437 -35.2668
1.450000 75.372 -35.4219
1.475000 75.292 -35.6128
1.500000 75.210 -35.7902
1.525000 75.125 -35.9516
1.550000 75.038 -36.0974
1.575000 74.951 -36.2278
1.600000 74.865 -36.3432
1.625000 74.780 -36.4440
1.650000 74.699 -36.5303
1.675000 74.623 -36.6026
1.700000 74.552 -36.6612
1.725000 74.488 -36.7063
1.750000 74.433 -36.7384
1.775000 74.386 -36.7576
1.800000 74.350 -36.7644
1.825000 74.326 -36.7591
1.850000 74.313 -36.7317
1.875000 74.308 -36.6622
1.900000 74.310 -36.5566
1.925000 74.319 -36.4222
1.950000 74.336 -36.2664
1.975000 74.360 -36.0963
2.000000 74.391 -35.9193
2.030000 74.438 -35.7080
2.060000 74.496 -35.5098
2.090000 74.565 -35.3372
2.120000 74.644 -35.2027
2.140000 74.702 -35.1406
2.180000 74.834 -35.0988
2.200000 74.907 -35.1265
2.240000 75.072 -35.2270
2.270000 75.213 -35.3278
2.300000 75.367 -35.4543
2.330000 75.532 -35.6105
2.360000 75.708 -35.7999
2.400000 75.956 -36.1109
2.430000 76.149 -36.3928
2.470000 76.415 -36.8405
2.500000 76.618 -37.2351
2.540000 76.892 -37.8468
2.580000 77.166 -38.5644
2.620000 77.454 -39.3908
2.650000 77.678 -40.0769
2.690000 77.986 -41.0720
2.720000 78.222 -41.8733
2.760000 78.542 -43.0072
2.800000 78.865 -44.2067
2.850000 79.268 -45.7836
2.900000 79.665 -47.4288
2.950000 80.052 -49.1303
3.000000 80.440 -50.9363
3.040000 80.752 -52.4557
3.070000 80.986 -53.6330
3.110000 81.296 -55.2458
3.150000 81.604 -56.8996
3.200000 81.983 -59.0108
3.250000 82.353 -61.1545
3.300000 82.712 -63.3134
3.350000 83.061 -65.5142
3.400000 83.405 -67.7749
3.450000 83.741 -70.0819
3.500000 84.069 -72.4221
3.550000 84.388 -74.7822
3.600000 84.696 -77.1487
3.650000 84.991 -79.5084
3.700000 85.275 -81.8616
3.750000 85.550 -84.2316
3.820000 85.917 -87.5700
3.870000 86.166 -89.9618
3.950000 86.540 -93.7863
4.000000 86.757 -96.1667
4.060000 87.000 -99.0104
4.120000 87.227 -101.8620
4.180000 87.436 -104.7141
4.250000 87.657 -108.0258
4.310000 87.826 -110.8370
4.370000 87.976 -113.6099
4.440000 88.125 -116.7956
4.500000 88.232 -119.5097
4.550000 88.307 -121.7517
4.620000 88.390 -124.8437
4.680000 88.438 -127.4351
4.750000 88.468 -130.3697
4.820000 88.469 -133.2253
4.870000 88.452 -135.2396
4.940000 88.405 -137.9933
5.000000 88.342 -140.2637
5.080000 88.226 -143.1143
5.150000 88.094 -145.4100
5.220000 87.929 -147.6159
5.300000 87.703 -149.9851
5.380000 87.445 -152.0779
5.450000 87.201 -153.5883
5.520000 86.941 -154.7293
5.600000 86.597 -155.6732
5.700000 86.129 -156.3199
5.800000 85.677 -156.3160
5.900000 85.292 -155.5633
6.000000 84.921 -153.8540
6.080000 84.659 -152.0428
6.150000 84.483 -150.3448
6.220000 84.381 -148.7143
6.300000 84.371 -146.8114
6.400000 84.489 -144.1686
6.500000 84.696 -141.7080
6.600000 84.938 -139.9403
6.700000 85.243 -138.9273
6.800000 85.608 -138.4590
6.900000 85.962 -138.5000
7.000000 86.244 -139.0468
7.100000 86.488 -140.2461
7.200000 86.691 -141.8849
7.300000 86.832 -143.6754
7.400000 86.897 -145.5205
7.500000 86.898 -147.6068
7.620000 86.818 -150.1049
7.750000 86.631 -152.4409
7.880000 86.327 -154.6178
8.000000 85.978 -156.1612
8.120000 85.584 -156.9032
8.250000 85.070 -156.9429
8.380000 84.569 -156.2057
8.500000 84.189 -154.7082
8.620000 83.843 -152.3425
8.750000 83.586 -149.4962
8.850000 83.528 -147.4415
9.000000 83.646 -144.1453
9.120000 83.837 -141.9396
9.250000 84.101 -140.5135
9.380000 84.452 -139.8285
9.500000 84.763 -139.7854
9.620000 85.015 -140.3751
9.750000 85.257 -141.7061
9.880000 85.440 -143.3021
10.000000 85.541 -144.9043
10.150000 85.592 -147.1538
10.300000 85.581 -149.1965
10.440000 85.505 -150.9269
10.600000 85.383 -152.6190
10.750000 85.261 -153.7703
10.900000 85.131 -154.5913
11.060000 85.040 -155.2351
11.200000 84.997 -155.5502
11.380000 84.993 -155.9765
11.500000 85.034 -156.3270
11.720000 85.152 -157.1799
11.800000 85.200 -157.6273
12.060000 85.365 -159.4438
12.200000 85.427 -160.5799
12.410000 85.487 -162.4184
12.500000 85.497 -163.1402
12.650000 85.491 -164.3047
12.800000 85.472 -165.3218
13.150000 85.410 -166.8601
13.200000 85.407 -167.0084
13.400000 85.410 -167.3803
13.600000 85.448 -167.6440
13.800000 85.530 -167.8709
14.000000 85.627 -168.2210
14.300000 85.785 -169.0173
14.500000 85.866 -169.7149
14.750000 85.929 -170.5695
15.000000 85.949 -171.3015
15.250000 85.946 -171.7199
15.500000 85.951 -171.8358
15.750000 85.982 -171.8301
16.000000 86.058 -171.8466
16.250000 86.160 -172.0047
16.500000 86.271 -172.5289
16.750000 86.360 -173.4508
17.000000 86.396 -174.6374
17.250000 86.372 -175.9554
17.500000 86.278 -177.2256
17.750000 86.132 -178.2100
18.000000 85.957 -178.8340
18.250000 85.778 -179.0190
18.500000 85.639 -178.8600
18.750000 85.553 -178.5224
19.000000 85.534 -178.1629
19.250000 85.568 -178.0289
19.500000 85.630 -178.1711
19.750000 85.700 -178.6217
20.000000 85.753 -179.2884
20.299999 85.788 179.8124
20.600000 85.800 178.9643
20.900000 85.806 178.2673
21.200001 85.829 177.6946
21.400000 85.857 177.3070
21.799999 85.927 176.4118
22.000000 85.956 175.8861
22.400000 85.978 174.7632
22.700001 85.956 174.0294
23.000000 85.912 173.5372
23.299999 85.870 173.2984
23.600000 85.845 173.2243
24.000000 85.846 173.1718
24.299999 85.860 173.0258
24.700001 85.870 172.6382
25.000000 85.858 172.2444
25.400000 85.816 171.6468
25.799999 85.741 170.9926
26.200001 85.629 170.3325
26.500000 85.522 169.9309
26.900000 85.369 169.6566
27.200001 85.280 169.6348
27.600000 85.236 169.5864
28.000000 85.266 168.9824
28.500000 85.269 166.9979
29.000000 85.051 164.5360
29.500000 84.617 163.5339
30.000000 84.284 164.9893
30.400000 84.333 166.8940
30.700001 84.555 167.8280
31.100000 84.930 167.6954
31.500000 85.228 166.2062
32.000000 85.387 163.8006
32.500000 85.402 162.1096
33.000000 85.432 161.1633
33.500000 85.502 160.2126
34.000000 85.519 159.0443
34.500000 85.446 158.2220
35.000000 85.358 158.1056
35.500000 85.339 158.3016
36.000000 85.368 158.2097
36.500000 85.372 157.7596
37.000000 85.329 157.2919
37.500000 85.277 156.9559
38.200001 85.227 156.3619
38.700001 85.182 155.7385
39.500000 85.087 154.8190
40.000000 85.054 154.2859
40.599998 85.038 153.4412
41.200001 85.001 152.4466
41.799999 84.939 151.6493
42.500000 84.882 151.1205
43.099998 84.865 150.8250
43.700001 84.858 150.5717
44.400002 84.848 150.3341
45.000000 84.831 150.1483
45.500000 84.804 149.9873
46.200001 84.745 149.7616
46.799999 84.682 149.5160
47.500000 84.583 149.0706
48.200001 84.445 148.5957
48.700001 84.340 148.3963
49.400002 84.243 148.2972
50.000000 84.234 148.1006
50.799999 84.291 147.3361
51.500000 84.348 146.3127
52.200001 84.391 145.2674
53.000000 84.434 144.2811
53.799999 84.477 143.5611
54.500000 84.513 143.1031
55.200001 84.547 142.7000
56.000000 84.563 142.0892
57.000000 84.484 141.0682
58.000000 84.299 140.2987
59.000000 84.116 139.8956
60.000000 84.013 139.5562
60.799999 84.007 139.0451
61.500000 84.019 138.2771
62.200001 84.002 137.5009
63.000000 83.978 137.1128
64.000000 84.050 137.0782
65.000000 84.165 136.8114
66.000000 84.279 136.4022
67.000000 84.353 135.2250
68.000000 84.211 133.7896
69.000000 83.973 133.4016
70.000000 83.839 133.3976
71.000000 83.785 132.9330
72.000000 83.739 132.0232
73.000000 83.677 131.0638
74.000000 83.625 130.2654
75.000000 83.570 129.5845
76.199997 83.491 129.3608
77.500000 83.518 129.2416
78.800003 83.486 128.0356
80.000000 83.353 127.0412
81.199997 83.269 125.9148
82.500000 83.176 124.5657
83.800003 83.161 123.8448
85.000000 83.238 123.3591
86.199997 83.301 123.0400
87.500000 83.307 122.9717
88.500000 83.256 123.0815
90.000000 83.140 123.0872
91.199997 83.025 122.8491
92.500000 82.990 122.1575
93.800003 82.929 120.6982
95.000000 82.827 120.1811
96.199997 82.824 120.1111
97.500000 82.767 119.9999
98.800003 82.724 120.3903
100.000000 82.707 119.6459
101.500000 82.483 118.4150
103.000000 82.404 117.7040
104.400002 82.484 116.8047
106.000000 82.682 115.7545
107.500000 82.778 114.5976
109.000000 82.665 114.2495
110.599998 82.541 114.8788
112.000000 82.516 115.0771
113.800003 82.562 114.0400
115.000000 82.540 112.7153
117.199997 82.379 111.2489
118.000000 82.340 111.0686
120.599998 82.230 110.4279
122.000000 82.190 110.1001
124.099998 82.215 108.9021
125.000000 82.224 108.1504
126.500000 82.208 107.0208
128.000000 82.185 106.3912
131.500000 82.100 105.9895
132.000000 82.074 106.0375
134.000000 82.013 106.1728
136.000000 81.968 105.1887
138.000000 81.849 103.9359
140.000000 81.784 103.1024
143.000000 81.763 102.3729
145.000000 81.731 101.8012
147.500000 81.613 100.5739
150.000000 81.445 99.8103
152.500000 81.406 100.0024
155.000000 81.363 99.8589
157.500000 81.225 99.6040
160.000000 81.184 99.4897
162.500000 81.200 99.6493
165.000000 81.105 100.1688
167.500000 81.018 101.1460
170.000000 81.286 100.8281
172.500000 81.604 98.7990
175.000000 81.771 97.0782
177.500000 81.805 95.7611
180.000000 81.800 94.4674
182.500000 81.793 93.1747
185.000000 81.759 91.9755
187.500000 81.708 90.8718
190.000000 81.668 89.9393
192.500000 81.632 89.1522
195.000000 81.583 88.2695
197.500000 81.550 87.2790
200.000000 81.555 86.3593
203.000000 81.527 85.4784
206.000000 81.427 84.8879
209.000000 81.342 84.2446
212.000000 81.287 83.5235
214.000000 81.256 83.0414
218.000000 81.189 82.0674
220.000000 81.156 81.6235
224.000000 81.103 80.8497
227.000000 81.069 80.2459
230.000000 81.037 79.5802
233.000000 81.016 78.8798
236.000000 80.987 78.2426
240.000000 80.930 77.6438
243.000000 80.896 77.1908
247.000000 80.863 76.5931
250.000000 80.838 76.1563
254.000000 80.795 75.4203
258.000000 80.761 74.6726
262.000000 80.729 73.9816
265.000000 80.691 73.4001
269.000000 80.641 72.6617
272.000000 80.627 72.3068
276.000000 80.615 71.9383
280.000000 80.592 71.4937
285.000000 80.571 70.8876
290.000000 80.552 70.3539
295.000000 80.550 69.7599
