* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -27.3 dBFS, measurement signal peak level -27.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 10:01:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0351 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Diva Low Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.508 20.5095
1.015000 70.638 18.6406
1.030000 70.764 16.8376
1.044000 70.878 15.2207
1.060000 71.006 13.4585
1.075000 71.121 11.8968
1.090000 71.232 10.4301
1.106000 71.346 8.9768
1.120000 71.442 7.7923
1.138000 71.561 6.3791
1.150000 71.638 5.5011
1.172000 71.773 4.0135
1.180000 71.821 3.5088
1.206000 71.970 1.9879
1.220000 72.047 1.2370
1.241000 72.159 0.1870
1.250000 72.206 -0.2384
1.265000 72.281 -0.9191
1.280000 72.355 -1.5695
1.315000 72.520 -3.0019
1.320000 72.543 -3.1999
1.340000 72.633 -3.9842
1.360000 72.720 -4.7661
1.380000 72.805 -5.5594
1.400000 72.889 -6.3779
1.430000 73.013 -7.6828
1.450000 73.094 -8.6242
1.475000 73.194 -9.8992
1.500000 73.289 -11.2394
1.525000 73.379 -12.6213
1.550000 73.463 -14.0327
1.575000 73.542 -15.4615
1.600000 73.618 -16.8954
1.625000 73.691 -18.3222
1.650000 73.760 -19.7299
1.675000 73.828 -21.1061
1.700000 73.895 -22.4387
1.725000 73.961 -23.7155
1.750000 74.028 -24.9242
1.775000 74.094 -26.0528
1.800000 74.163 -27.0891
1.825000 74.233 -28.0207
1.850000 74.304 -28.8390
1.875000 74.371 -29.5520
1.900000 74.435 -30.1706
1.925000 74.497 -30.7058
1.950000 74.558 -31.1686
1.975000 74.618 -31.5697
2.000000 74.679 -31.9203
2.030000 74.753 -32.2895
2.060000 74.830 -32.6204
2.090000 74.913 -32.9319
2.120000 75.001 -33.2429
2.140000 75.064 -33.4592
2.180000 75.202 -33.9387
2.200000 75.277 -34.2125
2.240000 75.439 -34.7354
2.270000 75.569 -35.0839
2.300000 75.704 -35.4061
2.330000 75.845 -35.7121
2.360000 75.992 -36.0117
2.400000 76.194 -36.4186
2.430000 76.351 -36.7424
2.470000 76.566 -37.2178
2.500000 76.730 -37.6200
2.540000 76.954 -38.2364
2.580000 77.182 -38.9581
2.620000 77.423 -39.7356
2.650000 77.611 -40.3488
2.690000 77.869 -41.2107
2.720000 78.067 -41.8932
2.760000 78.334 -42.8553
2.800000 78.601 -43.8816
2.850000 78.931 -45.2627
2.900000 79.251 -46.7622
2.950000 79.556 -48.3885
3.000000 79.859 -50.1330
3.040000 80.099 -51.6100
3.070000 80.278 -52.7643
3.110000 80.513 -54.3642
3.150000 80.742 -56.0323
3.200000 81.018 -58.2114
3.250000 81.281 -60.4920
3.300000 81.527 -62.8716
3.350000 81.758 -65.3768
3.400000 81.979 -68.0134
3.450000 82.187 -70.7604
3.500000 82.382 -73.5973
3.550000 82.564 -76.5031
3.600000 82.731 -79.4571
3.650000 82.883 -82.4385
3.700000 83.020 -85.4454
3.750000 83.143 -88.5102
3.820000 83.292 -92.8930
3.870000 83.380 -96.0833
3.950000 83.492 -101.2790
4.000000 83.541 -104.5763
4.060000 83.581 -108.5759
4.120000 83.600 -112.6188
4.180000 83.599 -116.7154
4.250000 83.569 -121.5787
4.310000 83.518 -125.8325
4.370000 83.441 -130.1777
4.440000 83.320 -135.3937
4.500000 83.195 -140.0155
4.550000 83.073 -143.9427
4.620000 82.871 -149.5032
4.680000 82.663 -154.2783
4.750000 82.376 -159.7961
4.820000 82.048 -165.0869
4.870000 81.796 -168.6846
4.940000 81.407 -173.6897
5.000000 81.028 -178.1498
5.080000 80.435 175.3245
5.150000 79.818 168.8398
5.220000 79.114 162.3286
5.300000 78.216 154.5409
5.380000 77.224 145.5413
5.450000 76.287 135.9811
5.520000 75.255 124.2195
5.600000 73.657 107.7919
5.700000 71.474 84.2795
5.800000 69.867 59.5728
5.900000 69.651 35.4230
6.000000 70.916 9.6868
6.080000 72.501 -10.9039
6.150000 73.964 -27.6462
6.220000 75.218 -42.1509
6.300000 76.391 -55.5499
6.400000 77.832 -68.9381
6.500000 79.160 -79.7780
6.600000 80.285 -89.3250
6.700000 81.175 -97.0629
6.800000 81.881 -102.9584
6.900000 82.460 -108.2855
7.000000 82.955 -114.1914
7.100000 83.339 -120.3622
7.200000 83.618 -126.3672
7.300000 83.815 -131.9309
7.400000 83.939 -136.9218
7.500000 83.973 -141.4988
7.620000 83.924 -146.3204
7.750000 83.783 -150.5658
7.880000 83.521 -153.8749
8.000000 83.238 -156.0012
8.120000 82.971 -157.0770
8.250000 82.645 -157.0012
8.380000 82.398 -156.0828
8.500000 82.340 -154.6796
8.620000 82.409 -152.4879
8.750000 82.605 -150.1323
8.850000 82.844 -148.8452
9.000000 83.378 -147.3068
9.120000 83.839 -146.6415
9.250000 84.291 -146.7799
9.380000 84.738 -147.6935
9.500000 85.098 -148.9012
9.620000 85.375 -150.3715
9.750000 85.605 -152.3514
9.880000 85.763 -154.3046
10.000000 85.836 -155.9644
10.150000 85.842 -157.9399
10.300000 85.792 -159.4421
10.440000 85.683 -160.3983
10.600000 85.537 -161.0052
10.750000 85.416 -161.0141
10.900000 85.304 -160.5793
11.060000 85.250 -159.9592
11.200000 85.257 -159.2089
11.380000 85.315 -158.4048
11.500000 85.391 -158.0592
11.720000 85.556 -157.7985
11.800000 85.608 -157.8798
12.060000 85.757 -158.6315
12.200000 85.792 -159.1955
12.410000 85.794 -160.1929
12.500000 85.779 -160.5594
12.650000 85.727 -161.1270
12.800000 85.662 -161.5925
13.150000 85.506 -162.1262
13.200000 85.489 -162.1769
13.400000 85.440 -162.2856
13.600000 85.418 -162.4634
13.800000 85.426 -162.7874
14.000000 85.439 -163.3231
14.300000 85.454 -164.5140
14.500000 85.439 -165.4820
14.750000 85.396 -166.7028
15.000000 85.328 -167.8459
15.250000 85.258 -168.7885
15.500000 85.204 -169.5715
15.750000 85.178 -170.2350
16.000000 85.188 -170.8829
16.250000 85.222 -171.5972
16.500000 85.273 -172.4065
16.750000 85.328 -173.3313
17.000000 85.373 -174.3342
17.250000 85.401 -175.3763
17.500000 85.403 -176.4094
17.750000 85.373 -177.3266
18.000000 85.312 -178.0375
18.250000 85.223 -178.4421
18.500000 85.129 -178.4126
18.750000 85.054 -177.9681
19.000000 85.025 -177.1331
19.250000 85.077 -176.1444
19.500000 85.204 -175.2620
19.750000 85.401 -174.6930
20.000000 85.627 -174.7029
20.299999 85.878 -175.4958
20.600000 86.055 -177.0406
20.900000 86.115 -179.0672
21.200001 86.037 178.8113
21.400000 85.912 177.5859
21.799999 85.523 176.0282
22.000000 85.296 175.8942
22.400000 84.890 177.1231
22.700001 84.756 179.0634
23.000000 84.875 -178.8507
23.299999 85.227 -177.5459
23.600000 85.710 -177.6812
24.000000 86.339 179.4050
24.299999 86.642 175.4241
24.700001 86.685 168.7531
25.000000 86.402 163.8665
25.400000 85.611 159.3716
25.799999 84.528 159.3069
26.200001 83.663 164.0751
26.500000 83.528 169.1878
26.900000 84.085 174.9427
27.200001 84.752 176.9014
27.600000 85.555 176.2349
28.000000 86.075 173.3804
28.500000 86.340 169.1182
29.000000 86.300 165.3851
29.500000 86.030 162.6080
30.000000 85.591 161.4214
30.400000 85.229 161.9998
30.700001 85.038 163.1934
31.100000 84.973 165.0398
31.500000 85.090 166.2965
32.000000 85.298 166.3985
32.500000 85.411 165.4672
33.000000 85.439 164.4512
33.500000 85.466 163.4259
34.000000 85.483 161.9953
34.500000 85.410 160.3140
35.000000 85.241 159.0758
35.500000 85.076 158.6460
36.000000 85.008 158.5666
36.500000 85.013 158.2200
37.000000 85.007 157.5282
37.500000 84.960 156.8427
38.200001 84.878 156.2567
38.700001 84.839 156.0054
39.500000 84.820 155.6400
40.000000 84.834 155.2689
40.599998 84.842 154.5151
41.200001 84.795 153.6802
41.799999 84.724 153.1763
42.500000 84.707 152.8411
43.099998 84.738 152.2430
43.700001 84.748 151.3746
44.400002 84.729 150.4323
45.000000 84.725 149.7037
45.500000 84.724 149.0078
46.200001 84.688 147.9359
46.799999 84.605 147.1956
47.500000 84.472 146.9675
48.200001 84.404 147.5516
48.700001 84.454 148.0844
49.400002 84.622 148.0718
50.000000 84.719 147.1438
50.799999 84.663 145.6953
51.500000 84.539 145.0929
52.200001 84.456 144.7708
53.000000 84.384 144.1791
53.799999 84.298 143.5512
54.500000 84.241 143.0380
55.200001 84.200 142.4068
56.000000 84.145 141.6664
57.000000 84.091 140.9877
58.000000 84.075 140.3427
59.000000 84.043 139.6737
60.000000 83.997 139.2481
60.799999 83.987 138.9335
61.500000 83.990 138.4335
62.200001 83.976 137.7017
63.000000 83.921 136.7864
64.000000 83.834 135.9203
65.000000 83.826 135.2509
66.000000 83.846 133.9611
67.000000 83.720 132.8322
68.000000 83.603 133.0470
69.000000 83.631 133.2963
70.000000 83.642 132.9842
71.000000 83.605 132.6592
72.000000 83.559 132.2877
73.000000 83.514 131.8197
74.000000 83.480 131.2375
75.000000 83.463 130.5217
76.199997 83.438 129.5143
77.500000 83.396 128.6335
78.800003 83.366 127.8844
80.000000 83.329 127.2249
81.199997 83.275 126.5127
82.500000 83.188 125.8823
83.800003 83.147 125.3898
85.000000 83.137 124.6686
86.199997 83.104 123.8712
87.500000 83.049 123.2040
88.500000 83.012 122.8331
90.000000 82.964 122.2014
91.199997 82.897 121.5457
92.500000 82.807 120.9476
93.800003 82.756 120.3363
95.000000 82.728 119.6473
96.199997 82.704 119.1401
97.500000 82.723 118.9974
98.800003 82.833 118.9569
100.000000 82.954 118.2053
101.500000 82.872 116.7153
103.000000 82.674 116.2678
104.400002 82.558 115.8868
106.000000 82.451 115.2468
107.500000 82.389 114.5940
109.000000 82.353 113.9177
110.599998 82.326 113.2970
112.000000 82.316 112.9614
113.800003 82.325 112.6669
115.000000 82.317 112.5123
117.199997 82.269 112.2032
118.000000 82.246 111.9160
120.599998 82.133 110.1317
122.000000 82.059 109.1362
124.099998 82.002 108.4035
125.000000 81.983 108.2324
126.500000 81.922 107.9921
128.000000 81.867 107.4358
131.500000 82.137 103.2432
132.000000 82.247 102.3434
134.000000 82.489 98.3453
136.000000 82.117 98.6132
138.000000 81.850 102.3131
140.000000 81.666 104.2905
143.000000 81.448 104.5659
145.000000 81.533 104.3694
147.500000 81.798 104.3649
150.000000 81.990 103.7722
152.500000 81.999 102.5178
155.000000 81.997 101.0989
157.500000 82.014 99.5195
160.000000 81.997 98.0818
162.500000 81.951 96.7107
165.000000 81.858 95.0342
167.500000 81.721 93.5419
170.000000 81.658 92.8353
172.500000 81.670 92.1879
175.000000 81.653 91.3614
177.500000 81.606 90.5601
180.000000 81.561 89.8668
182.500000 81.511 89.1848
185.000000 81.463 88.4275
187.500000 81.417 87.6185
190.000000 81.370 86.9282
192.500000 81.331 86.2963
195.000000 81.286 85.6096
197.500000 81.211 84.8206
200.000000 81.089 84.1475
203.000000 81.031 83.8344
206.000000 81.090 83.2198
209.000000 81.087 82.5261
212.000000 81.041 81.8508
214.000000 81.014 81.3260
218.000000 80.985 80.4336
220.000000 80.976 80.0894
224.000000 80.944 79.3127
227.000000 80.914 78.6324
230.000000 80.893 77.9357
233.000000 80.886 77.3171
236.000000 80.874 76.7216
240.000000 80.817 75.9128
243.000000 80.769 75.3367
247.000000 80.706 74.6132
250.000000 80.666 74.0953
254.000000 80.651 73.3722
258.000000 80.632 72.6969
262.000000 80.599 72.0857
265.000000 80.571 71.6285
269.000000 80.536 71.0219
272.000000 80.515 70.5696
276.000000 80.493 69.9782
280.000000 80.476 69.3957
285.000000 80.449 68.7104
290.000000 80.432 67.9822
295.000000 80.425 67.2029
300.000000 80.401 66.4253
