* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -25.2 dBFS, measurement signal peak level -22.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 10:04:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0333 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Diva Mid Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.152 43.4584
1.015000 75.284 41.1344
1.030000 75.415 38.8834
1.044000 75.538 36.8561
1.060000 75.679 34.6360
1.075000 75.809 32.6577
1.090000 75.939 30.7883
1.106000 76.077 28.9207
1.120000 76.200 27.3760
1.138000 76.361 25.5003
1.150000 76.471 24.3144
1.172000 76.676 22.2640
1.180000 76.752 21.5554
1.206000 77.001 19.3752
1.220000 77.137 18.2718
1.241000 77.343 16.6972
1.250000 77.432 16.0488
1.265000 77.581 14.9988
1.280000 77.729 13.9825
1.315000 78.076 11.7116
1.320000 78.126 11.3957
1.340000 78.323 10.1453
1.360000 78.518 8.9063
1.380000 78.711 7.6656
1.400000 78.900 6.4104
1.430000 79.178 4.4720
1.450000 79.357 3.1236
1.475000 79.575 1.3609
1.500000 79.788 -0.4263
1.525000 79.998 -2.2165
1.550000 80.205 -4.0047
1.575000 80.410 -5.7855
1.600000 80.611 -7.5539
1.625000 80.810 -9.3046
1.650000 81.005 -11.0325
1.675000 81.198 -12.7323
1.700000 81.388 -14.3990
1.725000 81.576 -16.0273
1.750000 81.761 -17.6121
1.775000 81.943 -19.1481
1.800000 82.123 -20.6302
1.825000 82.300 -22.0533
1.850000 82.475 -23.4105
1.875000 82.646 -24.6991
1.900000 82.814 -25.9259
1.925000 82.979 -27.0977
1.950000 83.142 -28.2215
1.975000 83.302 -29.3042
2.000000 83.459 -30.3527
2.030000 83.644 -31.5756
2.060000 83.826 -32.7712
2.090000 84.005 -33.9516
2.120000 84.182 -35.1287
2.140000 84.298 -35.9175
2.180000 84.527 -37.5210
2.200000 84.640 -38.3424
2.240000 84.862 -39.9852
2.270000 85.025 -41.2035
2.300000 85.185 -42.4111
2.330000 85.342 -43.6088
2.360000 85.496 -44.7977
2.400000 85.697 -46.3708
2.430000 85.845 -47.5427
2.470000 86.038 -49.0965
2.500000 86.180 -50.2565
2.540000 86.366 -51.7978
2.580000 86.548 -53.3343
2.620000 86.725 -54.8615
2.650000 86.856 -56.0001
2.690000 87.026 -57.5096
2.720000 87.151 -58.6355
2.760000 87.313 -60.1286
2.800000 87.471 -61.6131
2.850000 87.662 -63.4569
2.900000 87.845 -65.2887
2.950000 88.021 -67.1074
3.000000 88.190 -68.9001
3.040000 88.321 -70.3181
3.070000 88.416 -71.3751
3.110000 88.538 -72.7793
3.150000 88.656 -74.1818
3.200000 88.795 -75.9391
3.250000 88.927 -77.7092
3.300000 89.050 -79.5006
3.350000 89.165 -81.3248
3.400000 89.272 -83.1762
3.450000 89.371 -85.0407
3.500000 89.462 -86.9046
3.550000 89.545 -88.7539
3.600000 89.619 -90.5747
3.650000 89.685 -92.3531
3.700000 89.742 -94.0867
3.750000 89.789 -95.7958
3.820000 89.842 -98.1464
3.870000 89.869 -99.7937
3.950000 89.897 -102.3707
4.000000 89.904 -103.9427
4.060000 89.902 -105.7955
4.120000 89.886 -107.6413
4.180000 89.858 -109.4595
4.250000 89.812 -111.5090
4.310000 89.765 -113.1725
4.370000 89.711 -114.7207
4.440000 89.640 -116.3654
4.500000 89.565 -117.6727
4.550000 89.496 -118.6887
4.620000 89.395 -119.9924
4.680000 89.309 -120.9931
4.750000 89.217 -122.0165
4.820000 89.129 -122.8674
4.870000 89.063 -123.3666
4.940000 88.973 -123.9352
5.000000 88.904 -124.3212
5.080000 88.836 -124.7227
5.150000 88.808 -124.9892
5.220000 88.801 -125.0931
5.300000 88.817 -125.0562
5.380000 88.861 -124.9603
5.450000 88.924 -124.9157
5.520000 89.013 -124.9705
5.600000 89.152 -125.0419
5.700000 89.371 -125.1773
5.800000 89.616 -125.4880
5.900000 89.867 -126.0946
6.000000 90.144 -126.9677
6.080000 90.376 -127.8253
6.150000 90.575 -128.6779
6.220000 90.763 -129.6146
6.300000 90.966 -130.8134
6.400000 91.212 -132.5153
6.500000 91.440 -134.3522
6.600000 91.641 -136.2267
6.700000 91.812 -138.1782
6.800000 91.959 -140.2097
6.900000 92.082 -142.2240
7.000000 92.180 -144.1418
7.100000 92.249 -146.0274
7.200000 92.295 -147.8479
7.300000 92.326 -149.5380
7.400000 92.343 -151.0655
7.500000 92.339 -152.4674
7.620000 92.323 -153.9600
7.750000 92.309 -155.3034
7.880000 92.288 -156.3492
8.000000 92.276 -157.1210
8.120000 92.287 -157.7542
8.250000 92.318 -158.2282
8.380000 92.371 -158.6155
8.500000 92.444 -158.9900
8.620000 92.541 -159.3241
8.750000 92.660 -159.7350
8.850000 92.757 -160.1440
9.000000 92.919 -160.8612
9.120000 93.048 -161.5318
9.250000 93.176 -162.3766
9.380000 93.298 -163.3384
9.500000 93.396 -164.2793
9.620000 93.477 -165.2579
9.750000 93.547 -166.3748
9.880000 93.598 -167.4789
10.000000 93.627 -168.4690
10.150000 93.640 -169.6798
10.300000 93.635 -170.7876
10.440000 93.611 -171.7288
10.600000 93.570 -172.6877
10.750000 93.526 -173.4516
10.900000 93.474 -174.0989
11.060000 93.422 -174.6862
11.200000 93.378 -175.1026
11.380000 93.330 -175.5740
11.500000 93.305 -175.8521
11.720000 93.271 -176.3356
11.800000 93.263 -176.5222
12.060000 93.248 -177.1611
12.200000 93.243 -177.5638
12.410000 93.238 -178.2384
12.500000 93.235 -178.5553
12.650000 93.227 -179.1246
12.800000 93.216 -179.7266
13.150000 93.170 178.7775
13.200000 93.162 178.5614
13.400000 93.123 177.6914
13.600000 93.080 176.8325
13.800000 93.036 175.9953
14.000000 92.995 175.1680
14.300000 92.941 173.9330
14.500000 92.913 173.0865
14.750000 92.882 171.9810
15.000000 92.856 170.8166
15.250000 92.826 169.6029
15.500000 92.792 168.3797
15.750000 92.752 167.1740
16.000000 92.709 166.0286
16.250000 92.667 164.9581
16.500000 92.630 163.9614
16.750000 92.602 163.0276
17.000000 92.582 162.1293
17.250000 92.569 161.2562
17.500000 92.559 160.3968
17.750000 92.550 159.5605
18.000000 92.542 158.7569
18.250000 92.533 157.9974
18.500000 92.526 157.2879
18.750000 92.523 156.6185
19.000000 92.524 155.9796
19.250000 92.529 155.3445
19.500000 92.537 154.6973
19.750000 92.546 154.0252
20.000000 92.552 153.3192
20.299999 92.550 152.4369
20.600000 92.537 151.5361
20.900000 92.509 150.6484
21.200001 92.469 149.8126
21.400000 92.438 149.3005
21.799999 92.379 148.3739
22.000000 92.354 147.9367
22.400000 92.321 147.0254
22.700001 92.304 146.2241
23.000000 92.278 145.2777
23.299999 92.230 144.2393
23.600000 92.153 143.2193
24.000000 92.018 142.0822
24.299999 91.919 141.4708
24.700001 91.828 140.8559
25.000000 91.801 140.3268
25.400000 91.793 139.2688
25.799999 91.755 137.8210
26.200001 91.655 136.3700
26.500000 91.561 135.5281
26.900000 91.471 134.7462
27.200001 91.458 134.1503
27.600000 91.491 132.8707
28.000000 91.477 130.8715
28.500000 91.250 128.3735
29.000000 90.884 127.8348
29.500000 90.777 129.4582
30.000000 91.162 130.4729
30.400000 91.583 129.0088
30.700001 91.787 126.5742
31.100000 91.790 122.7544
31.500000 91.505 119.8531
32.000000 91.010 119.0392
32.500000 90.781 120.3552
33.000000 90.898 120.9202
33.500000 91.019 119.4998
34.000000 90.886 117.4551
34.500000 90.580 116.5626
35.000000 90.330 116.8871
35.500000 90.241 117.1723
36.000000 90.195 116.6428
36.500000 90.081 115.6769
37.000000 89.916 114.9104
37.500000 89.774 114.3585
38.200001 89.637 113.3109
38.700001 89.531 112.3421
39.500000 89.348 111.0513
40.000000 89.271 110.3670
40.599998 89.207 109.4219
41.200001 89.130 108.4105
41.799999 89.042 107.5567
42.500000 88.958 106.7332
43.099998 88.901 105.9385
43.700001 88.828 105.0060
44.400002 88.706 103.9097
45.000000 88.586 103.0525
45.500000 88.485 102.3711
46.200001 88.342 101.4763
46.799999 88.226 100.8598
47.500000 88.141 100.2957
48.200001 88.128 99.5366
48.700001 88.130 98.6703
49.400002 88.078 97.0912
50.000000 87.948 95.8169
50.799999 87.703 94.8450
51.500000 87.514 94.6141
52.200001 87.383 94.4617
53.000000 87.260 93.9950
53.799999 87.118 93.2608
54.500000 86.975 92.5677
55.200001 86.835 91.8973
56.000000 86.694 91.0874
57.000000 86.534 89.9929
58.000000 86.388 89.0063
59.000000 86.264 88.0925
60.000000 86.133 87.2403
60.799999 86.020 86.6532
61.500000 85.919 86.1869
62.200001 85.820 85.7130
63.000000 85.703 85.1058
64.000000 85.540 84.2840
65.000000 85.364 83.5211
66.000000 85.187 82.9199
67.000000 85.034 82.5344
68.000000 84.927 82.1306
69.000000 84.827 81.4521
70.000000 84.689 80.6942
71.000000 84.538 80.0429
72.000000 84.392 79.3685
73.000000 84.241 78.7067
74.000000 84.104 78.1261
75.000000 83.992 77.5608
76.199997 83.902 76.7751
77.500000 83.782 75.4969
78.800003 83.617 74.7757
80.000000 83.533 74.1177
81.199997 83.385 73.5168
82.500000 83.229 73.5172
83.800003 83.100 73.6173
85.000000 82.958 73.5797
86.199997 82.796 73.6101
87.500000 82.670 73.4840
88.500000 82.627 73.1482
90.000000 82.625 71.7567
91.199997 82.513 70.4125
92.500000 82.327 70.1450
93.800003 82.225 70.4485
95.000000 82.133 70.2711
96.199997 81.969 69.6138
97.500000 81.741 68.5772
98.800003 81.521 67.0388
100.000000 81.272 65.7948
101.500000 81.103 65.9617
103.000000 81.207 66.3239
104.400002 81.287 66.4134
106.000000 81.282 66.5800
107.500000 81.196 66.6419
109.000000 81.074 66.5016
110.599998 80.933 66.2904
112.000000 80.833 66.3625
113.800003 80.762 66.2703
115.000000 80.669 65.8634
117.199997 80.406 65.3676
118.000000 80.343 65.2652
120.599998 80.268 64.5634
122.000000 80.231 64.3387
124.099998 80.150 64.4172
125.000000 80.102 64.3938
126.500000 79.996 64.1854
128.000000 79.892 63.9025
131.500000 79.812 64.3299
132.000000 79.832 64.5964
134.000000 79.952 65.2874
136.000000 79.866 64.9823
138.000000 79.623 65.3619
140.000000 79.541 66.1950
143.000000 79.691 67.4682
145.000000 79.851 67.7350
147.500000 79.958 66.6072
150.000000 79.977 64.8238
152.500000 80.050 63.4379
155.000000 80.076 62.4359
157.500000 80.027 61.6145
160.000000 79.934 60.7263
162.500000 79.832 60.0493
165.000000 79.725 59.3575
167.500000 79.603 58.5512
170.000000 79.565 58.1169
172.500000 79.604 57.7484
175.000000 79.605 57.4966
177.500000 79.575 57.2660
180.000000 79.554 56.9408
182.500000 79.532 56.5523
185.000000 79.486 56.2169
187.500000 79.451 56.0268
190.000000 79.445 55.8167
192.500000 79.435 55.5605
195.000000 79.432 55.2855
197.500000 79.467 55.0894
200.000000 79.542 54.9985
203.000000 79.536 54.4550
206.000000 79.380 53.8302
209.000000 79.286 53.3262
212.000000 79.264 53.0468
214.000000 79.252 52.9315
218.000000 79.213 52.5220
220.000000 79.199 52.3173
224.000000 79.189 51.9745
227.000000 79.181 51.7426
230.000000 79.159 51.7228
233.000000 79.107 51.8389
236.000000 79.086 51.7509
240.000000 79.140 51.1188
243.000000 79.168 50.8195
247.000000 79.180 50.3979
250.000000 79.185 50.0018
254.000000 79.216 49.7027
258.000000 79.243 49.3176
262.000000 79.235 48.7822
265.000000 79.225 48.2219
269.000000 79.222 47.6002
272.000000 79.225 47.5351
276.000000 79.225 47.4725
280.000000 79.220 47.1712
285.000000 79.217 46.7732
290.000000 79.219 46.4582
295.000000 79.214 46.1453
300.000000 79.204 45.8020
304.000000 79.197 45.5518
307.000000 79.191 45.3756
311.000000 79.191 45.1582
