* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -39.0 dBFS, measurement signal peak level -22.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 21/09/2023 9:59:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1634 ms (-56 mm, -2.21 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Diva Mid Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.972 2.1635
1.015000 74.230 0.3899
1.030000 74.484 -1.3033
1.044000 74.717 -2.8045
1.060000 74.979 -4.4191
1.075000 75.220 -5.8272
1.090000 75.457 -7.1256
1.106000 75.703 -8.3794
1.120000 75.915 -9.3521
1.138000 76.181 -10.4406
1.150000 76.355 -11.0727
1.172000 76.668 -12.0559
1.180000 76.779 -12.3620
1.206000 77.134 -13.1910
1.220000 77.320 -13.5455
1.241000 77.594 -13.9781
1.250000 77.710 -14.1329
1.265000 77.900 -14.3580
1.280000 78.087 -14.5502
1.315000 78.513 -14.9264
1.320000 78.573 -14.9772
1.340000 78.809 -15.1875
1.360000 79.041 -15.4266
1.380000 79.270 -15.7177
1.400000 79.496 -16.0841
1.430000 79.830 -16.8254
1.450000 80.050 -17.4814
1.475000 80.322 -18.5125
1.500000 80.587 -19.6968
1.525000 80.845 -20.9949
1.550000 81.096 -22.3884
1.575000 81.341 -23.8590
1.600000 81.580 -25.3884
1.625000 81.813 -26.9582
1.650000 82.041 -28.5502
1.675000 82.263 -30.1459
1.700000 82.481 -31.7271
1.725000 82.695 -33.2753
1.750000 82.905 -34.7724
1.775000 83.111 -36.1999
1.800000 83.314 -37.5395
1.825000 83.514 -38.7728
1.850000 83.711 -39.8966
1.875000 83.903 -40.9419
1.900000 84.090 -41.9192
1.925000 84.273 -42.8377
1.950000 84.451 -43.7064
1.975000 84.625 -44.5344
2.000000 84.796 -45.3310
2.030000 84.995 -46.2582
2.060000 85.189 -47.1690
2.090000 85.378 -48.0790
2.120000 85.564 -49.0042
2.140000 85.685 -49.6372
2.180000 85.923 -50.9630
2.200000 86.039 -51.6650
2.240000 86.266 -53.1119
2.270000 86.430 -54.2171
2.300000 86.590 -55.3356
2.330000 86.744 -56.4637
2.360000 86.895 -57.5979
2.400000 87.089 -59.1133
2.430000 87.230 -60.2476
2.470000 87.412 -61.7502
2.500000 87.545 -62.8650
2.540000 87.717 -64.3286
2.580000 87.884 -65.7614
2.620000 88.045 -67.1850
2.650000 88.160 -68.2484
2.690000 88.309 -69.6576
2.720000 88.416 -70.7059
2.760000 88.554 -72.0892
2.800000 88.686 -73.4524
2.850000 88.844 -75.1225
2.900000 88.995 -76.7480
2.950000 89.140 -78.3202
3.000000 89.276 -79.8268
3.040000 89.378 -80.9922
3.070000 89.452 -81.8482
3.110000 89.546 -82.9718
3.150000 89.635 -84.0824
3.200000 89.741 -85.4644
3.250000 89.841 -86.8540
3.300000 89.936 -88.2666
3.350000 90.025 -89.7136
3.400000 90.106 -91.1840
3.450000 90.182 -92.6601
3.500000 90.251 -94.1244
3.550000 90.315 -95.5593
3.600000 90.375 -96.9474
3.650000 90.431 -98.2710
3.700000 90.483 -99.5180
3.750000 90.529 -100.6994
3.820000 90.586 -102.2683
3.870000 90.621 -103.3460
3.950000 90.670 -105.0321
4.000000 90.697 -106.0823
4.060000 90.726 -107.3581
4.120000 90.749 -108.6435
4.180000 90.767 -109.9209
4.250000 90.783 -111.3782
4.310000 90.794 -112.5797
4.370000 90.803 -113.7191
4.440000 90.806 -114.9529
4.500000 90.807 -115.9386
4.550000 90.807 -116.7180
4.620000 90.809 -117.7577
4.680000 90.809 -118.6127
4.750000 90.810 -119.5833
4.820000 90.810 -120.5299
4.870000 90.810 -121.1831
4.940000 90.810 -122.0636
5.000000 90.809 -122.7851
5.080000 90.809 -123.6968
5.150000 90.812 -124.4438
5.220000 90.821 -125.1320
5.300000 90.834 -125.8582
5.380000 90.853 -126.5408
5.450000 90.875 -127.1193
5.520000 90.903 -127.6919
5.600000 90.942 -128.3118
5.700000 91.000 -129.0492
5.800000 91.069 -129.7832
5.900000 91.148 -130.5476
6.000000 91.240 -131.3165
6.080000 91.320 -131.9422
6.150000 91.394 -132.5089
6.220000 91.469 -133.1026
6.300000 91.559 -133.8128
6.400000 91.677 -134.7363
6.500000 91.798 -135.7079
6.600000 91.916 -136.7368
6.700000 92.032 -137.8347
6.800000 92.146 -138.9901
6.900000 92.256 -140.1810
7.000000 92.356 -141.3903
7.100000 92.449 -142.6378
7.200000 92.534 -143.9075
7.300000 92.611 -145.1734
7.400000 92.677 -146.4282
7.500000 92.734 -147.6898
7.620000 92.791 -149.1752
7.750000 92.841 -150.7048
7.880000 92.876 -152.1698
8.000000 92.899 -153.4515
8.120000 92.919 -154.6464
8.250000 92.934 -155.8478
8.380000 92.945 -156.9632
8.500000 92.959 -157.9180
8.620000 92.972 -158.7943
8.750000 92.989 -159.6870
8.850000 93.006 -160.3492
9.000000 93.037 -161.2819
9.120000 93.064 -162.0064
9.250000 93.096 -162.7930
9.380000 93.132 -163.5686
9.500000 93.164 -164.2849
9.620000 93.193 -165.0097
9.750000 93.225 -165.7990
9.880000 93.252 -166.5823
10.000000 93.272 -167.3004
10.150000 93.292 -168.1893
10.300000 93.306 -169.0422
10.440000 93.313 -169.8063
10.600000 93.317 -170.6377
10.750000 93.319 -171.3662
10.900000 93.319 -172.0525
11.060000 93.321 -172.7513
11.200000 93.325 -173.3296
11.380000 93.333 -174.0633
11.500000 93.341 -174.5497
11.720000 93.358 -175.4530
11.800000 93.365 -175.7940
12.060000 93.388 -176.9395
12.200000 93.398 -177.5880
12.410000 93.409 -178.5960
12.500000 93.410 -179.0346
12.650000 93.410 -179.7794
12.800000 93.406 179.4734
13.150000 93.379 177.7535
13.200000 93.374 177.5139
13.400000 93.350 176.5723
13.600000 93.325 175.6603
13.800000 93.299 174.7811
14.000000 93.274 173.9229
14.300000 93.242 172.6654
14.500000 93.225 171.8305
14.750000 93.204 170.7791
15.000000 93.185 169.7154
15.250000 93.162 168.6435
15.500000 93.134 167.5869
15.750000 93.102 166.5623
16.000000 93.065 165.5985
16.250000 93.028 164.7061
16.500000 92.995 163.8806
16.750000 92.968 163.1077
17.000000 92.949 162.3449
17.250000 92.935 161.5711
17.500000 92.921 160.7595
17.750000 92.900 159.9184
18.000000 92.868 159.0774
18.250000 92.821 158.2708
18.500000 92.764 157.5635
18.750000 92.704 156.9716
19.000000 92.647 156.5093
19.250000 92.606 156.1383
19.500000 92.584 155.7946
19.750000 92.583 155.4259
20.000000 92.597 154.9502
20.299999 92.622 154.2090
20.600000 92.644 153.2837
20.900000 92.651 152.2203
21.200001 92.640 151.0949
21.400000 92.624 150.3472
21.799999 92.583 148.8878
22.000000 92.561 148.1823
22.400000 92.520 146.8051
22.700001 92.495 145.7812
23.000000 92.474 144.7536
23.299999 92.455 143.7224
23.600000 92.437 142.6920
24.000000 92.413 141.3324
24.299999 92.392 140.3416
24.700001 92.361 139.0925
25.000000 92.337 138.2307
25.400000 92.309 137.1813
25.799999 92.291 136.1847
26.200001 92.276 135.1445
26.500000 92.255 134.3080
26.900000 92.196 133.1665
27.200001 92.123 132.3831
27.600000 91.996 131.5696
28.000000 91.861 131.0804
28.500000 91.725 130.7490
29.000000 91.631 130.3445
29.500000 91.540 129.6925
30.000000 91.426 128.9429
30.400000 91.336 128.3601
30.700001 91.279 127.8832
31.100000 91.218 127.0468
31.500000 91.146 125.9034
32.000000 90.992 124.2327
32.500000 90.759 122.8468
33.000000 90.525 122.1700
33.500000 90.392 121.9653
34.000000 90.383 121.5405
34.500000 90.413 120.4796
35.000000 90.400 118.9886
35.500000 90.323 117.5737
36.000000 90.223 116.5003
36.500000 90.140 115.6672
37.000000 90.073 114.8621
37.500000 89.998 114.0380
38.200001 89.868 113.0515
38.700001 89.777 112.5319
39.500000 89.671 111.7276
40.000000 89.615 111.0630
40.599998 89.532 110.1033
41.200001 89.422 109.1288
41.799999 89.300 108.2660
42.500000 89.169 107.3833
43.099998 89.074 106.6430
43.700001 88.987 105.8846
44.400002 88.892 104.9764
45.000000 88.810 104.1758
45.500000 88.738 103.5041
46.200001 88.630 102.5511
46.799999 88.521 101.6951
47.500000 88.349 100.8174
48.200001 88.161 100.4426
48.700001 88.075 100.4304
49.400002 88.050 100.1229
50.000000 88.041 99.1817
50.799999 87.911 97.5005
51.500000 87.719 96.4495
52.200001 87.545 95.8017
53.000000 87.386 95.1303
53.799999 87.244 94.4944
54.500000 87.143 93.9409
55.200001 87.051 93.2605
56.000000 86.929 92.4073
57.000000 86.762 91.4883
58.000000 86.609 90.6754
59.000000 86.464 89.8859
60.000000 86.324 89.1362
60.799999 86.208 88.5707
61.500000 86.103 88.1558
62.200001 86.006 87.8006
63.000000 85.905 87.3404
64.000000 85.768 86.6246
65.000000 85.599 85.8087
66.000000 85.383 85.1827
67.000000 85.206 85.0522
68.000000 85.132 84.6364
69.000000 85.040 83.7315
70.000000 84.915 82.9518
71.000000 84.797 82.3529
72.000000 84.696 81.9221
73.000000 84.623 81.4571
74.000000 84.530 80.8078
75.000000 84.388 80.3210
76.199997 84.229 80.1520
77.500000 84.096 79.9541
78.800003 83.995 79.7090
80.000000 83.908 78.9884
81.199997 83.741 78.3152
82.500000 83.590 78.0195
83.800003 83.513 77.5106
85.000000 83.443 76.5237
86.199997 83.294 75.4724
87.500000 83.093 74.8503
88.500000 82.941 74.6536
90.000000 82.723 74.8377
91.199997 82.631 75.3737
92.500000 82.643 75.1107
93.800003 82.527 74.0580
95.000000 82.381 73.7374
96.199997 82.353 73.4802
97.500000 82.395 72.6263
98.800003 82.456 71.1845
100.000000 82.397 69.1733
101.500000 82.008 68.4886
103.000000 81.814 69.9576
104.400002 81.768 70.7635
106.000000 81.700 71.3994
107.500000 81.616 71.5928
109.000000 81.499 71.4504
110.599998 81.408 71.0932
112.000000 81.361 70.4312
113.800003 81.254 69.7573
115.000000 81.171 69.7631
117.199997 81.037 70.0145
118.000000 80.989 69.9894
120.599998 80.866 69.4263
122.000000 80.827 69.1026
124.099998 80.757 69.1480
125.000000 80.699 69.3092
126.500000 80.562 69.5366
128.000000 80.430 69.2997
131.500000 80.623 66.6197
132.000000 80.731 66.1248
134.000000 81.019 63.9141
136.000000 80.710 64.6459
138.000000 80.345 68.1247
140.000000 80.110 70.2173
143.000000 80.045 70.4376
145.000000 80.155 70.6081
147.500000 80.367 71.4450
150.000000 80.448 71.4192
152.500000 80.506 70.6061
155.000000 80.587 69.2725
157.500000 80.621 68.3040
160.000000 80.582 67.2753
162.500000 80.549 66.1194
165.000000 80.609 65.2347
167.500000 80.689 64.5050
170.000000 80.555 64.2046
172.500000 80.373 64.3468
175.000000 80.286 63.9863
177.500000 80.287 63.3526
180.000000 80.275 62.9341
182.500000 80.219 62.8278
185.000000 80.161 62.5761
187.500000 80.132 62.1809
190.000000 80.115 61.9324
192.500000 80.070 61.8186
195.000000 80.024 61.4402
197.500000 80.034 60.6357
200.000000 80.094 60.0067
203.000000 80.103 60.0145
206.000000 79.994 60.4963
209.000000 79.916 60.6588
212.000000 79.924 60.5242
214.000000 79.932 60.3652
218.000000 79.904 60.0432
220.000000 79.893 59.8912
224.000000 79.878 59.5594
227.000000 79.864 59.2747
230.000000 79.858 58.9668
233.000000 79.857 58.5931
236.000000 79.848 58.3068
240.000000 79.839 58.2269
243.000000 79.826 58.2153
247.000000 79.800 58.1903
250.000000 79.789 58.1122
254.000000 79.788 57.8350
258.000000 79.786 57.5915
262.000000 79.778 57.4373
265.000000 79.765 57.3266
269.000000 79.754 57.1764
272.000000 79.756 57.0912
276.000000 79.759 56.9897
280.000000 79.756 56.8922
285.000000 79.760 56.8463
290.000000 79.785 56.7594
295.000000 79.809 56.5761
300.000000 79.811 56.3783
304.000000 79.806 56.2014
