* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/08/2022 3:40:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Divinity V16 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.451 -169.3423
1.015000 67.694 -170.3933
1.030000 67.932 -171.3537
1.044000 68.151 -172.1733
1.060000 68.397 -173.0266
1.075000 68.623 -173.7532
1.090000 68.846 -174.4160
1.106000 69.079 -175.0608
1.120000 69.280 -175.5788
1.138000 69.535 -176.1912
1.150000 69.702 -176.5716
1.172000 70.003 -177.2245
1.180000 70.112 -177.4512
1.206000 70.458 -178.1658
1.220000 70.642 -178.5459
1.241000 70.914 -179.1257
1.250000 71.030 -179.3819
1.265000 71.221 -179.8249
1.280000 71.410 179.7062
1.315000 71.846 178.4707
1.320000 71.908 178.2742
1.340000 72.153 177.4279
1.360000 72.397 176.4876
1.380000 72.636 175.4919
1.400000 72.871 174.4496
1.430000 73.216 172.8141
1.450000 73.441 171.6854
1.475000 73.718 170.2434
1.500000 73.989 168.7792
1.525000 74.255 167.3061
1.550000 74.516 165.8372
1.575000 74.772 164.3858
1.600000 75.024 162.9652
1.625000 75.272 161.5887
1.650000 75.516 160.2694
1.675000 75.756 159.0207
1.700000 75.992 157.8471
1.725000 76.223 156.7280
1.750000 76.450 155.6553
1.775000 76.671 154.6228
1.800000 76.888 153.6235
1.825000 77.100 152.6510
1.850000 77.308 151.6985
1.875000 77.512 150.7596
1.900000 77.712 149.8275
1.925000 77.909 148.8956
1.950000 78.102 147.9573
1.975000 78.292 147.0060
2.000000 78.478 146.0350
2.030000 78.698 144.8370
2.060000 78.913 143.6215
2.090000 79.122 142.3971
2.120000 79.325 141.1666
2.140000 79.458 140.3442
2.180000 79.716 138.6987
2.200000 79.842 137.8771
2.240000 80.088 136.2407
2.270000 80.268 135.0226
2.300000 80.443 133.8154
2.330000 80.614 132.6221
2.360000 80.782 131.4454
2.400000 80.999 129.8886
2.430000 81.156 128.7267
2.470000 81.358 127.1877
2.500000 81.505 126.0434
2.540000 81.694 124.5337
2.580000 81.876 123.0457
2.620000 82.052 121.5832
2.650000 82.180 120.5053
2.690000 82.346 119.0963
2.720000 82.467 118.0631
2.760000 82.622 116.7167
2.800000 82.769 115.4011
2.850000 82.945 113.7925
2.900000 83.112 112.2146
2.950000 83.270 110.6577
3.000000 83.422 109.1119
3.040000 83.539 107.8765
3.070000 83.622 106.9470
3.110000 83.729 105.7073
3.150000 83.830 104.4736
3.200000 83.950 102.9508
3.250000 84.064 101.4624
3.300000 84.171 100.0221
3.350000 84.274 98.6438
3.400000 84.373 97.3380
3.450000 84.464 96.0972
3.500000 84.550 94.9108
3.550000 84.630 93.7684
3.600000 84.706 92.6595
3.650000 84.780 91.5738
3.700000 84.851 90.5008
3.750000 84.919 89.4391
3.820000 85.008 87.9875
3.870000 85.068 86.9812
3.950000 85.159 85.4357
4.000000 85.214 84.5167
4.060000 85.281 83.4692
4.120000 85.346 82.4910
4.180000 85.408 81.5704
4.250000 85.479 80.5490
4.310000 85.540 79.7011
4.370000 85.601 78.8628
4.440000 85.674 77.9003
4.500000 85.735 77.1022
4.550000 85.787 76.4532
4.620000 85.859 75.5646
4.680000 85.920 74.8177
4.750000 85.992 73.9618
4.820000 86.065 73.1323
4.870000 86.117 72.5528
4.940000 86.189 71.7530
5.000000 86.250 71.0724
5.080000 86.329 70.1640
5.150000 86.398 69.3736
5.220000 86.465 68.5896
5.300000 86.540 67.7018
5.380000 86.611 66.8232
5.450000 86.670 66.0594
5.520000 86.727 65.2995
5.600000 86.789 64.4417
5.700000 86.862 63.3951
5.800000 86.929 62.3821
5.900000 86.990 61.3965
6.000000 87.046 60.4433
6.080000 87.089 59.7074
6.150000 87.124 59.0818
6.220000 87.157 58.4730
6.300000 87.193 57.7990
6.400000 87.238 56.9909
6.500000 87.281 56.2265
6.600000 87.322 55.5002
6.700000 87.363 54.8004
6.800000 87.406 54.1217
6.900000 87.449 53.4708
7.000000 87.492 52.8378
7.100000 87.536 52.2130
7.200000 87.581 51.6024
7.300000 87.627 51.0017
7.400000 87.672 50.4024
7.500000 87.716 49.8019
7.620000 87.769 49.0842
7.750000 87.824 48.3093
7.880000 87.876 47.5340
8.000000 87.921 46.8224
8.120000 87.963 46.1213
8.250000 88.004 45.3705
8.380000 88.041 44.6355
8.500000 88.073 43.9764
8.620000 88.101 43.3336
8.750000 88.129 42.6602
8.850000 88.149 42.1601
9.000000 88.177 41.4370
9.120000 88.198 40.8805
9.250000 88.219 40.3005
9.380000 88.240 39.7419
9.500000 88.259 39.2432
9.620000 88.278 38.7619
9.750000 88.298 38.2568
9.880000 88.317 37.7676
10.000000 88.336 37.3304
10.150000 88.359 36.8001
10.300000 88.383 36.2889
10.440000 88.406 35.8245
10.600000 88.433 35.3083
10.750000 88.460 34.8340
10.900000 88.488 34.3646
11.060000 88.519 33.8680
11.200000 88.547 33.4296
11.380000 88.583 32.8625
11.500000 88.606 32.4790
11.720000 88.648 31.7655
11.800000 88.661 31.5048
12.060000 88.702 30.6511
12.200000 88.721 30.1983
12.410000 88.743 29.5311
12.500000 88.752 29.2556
12.650000 88.764 28.8087
12.800000 88.774 28.3820
13.150000 88.796 27.4713
13.200000 88.800 27.3503
13.400000 88.814 26.8866
13.600000 88.830 26.4440
13.800000 88.849 26.0166
14.000000 88.871 25.5929
14.300000 88.905 24.9507
14.500000 88.928 24.5150
14.750000 88.955 23.9615
15.000000 88.978 23.4093
15.250000 88.997 22.8700
15.500000 89.013 22.3533
15.750000 89.026 21.8677
16.000000 89.040 21.4126
16.250000 89.055 20.9802
16.500000 89.072 20.5610
16.750000 89.092 20.1413
17.000000 89.111 19.7114
17.250000 89.129 19.2715
17.500000 89.144 18.8256
17.750000 89.155 18.3864
18.000000 89.162 17.9700
18.250000 89.167 17.5842
18.500000 89.172 17.2327
18.750000 89.181 16.9082
19.000000 89.193 16.5916
19.250000 89.208 16.2678
19.500000 89.226 15.9231
19.750000 89.241 15.5525
20.000000 89.252 15.1697
20.299999 89.259 14.7192
20.600000 89.259 14.3124
20.900000 89.258 13.9723
21.200001 89.262 13.6934
21.400000 89.271 13.5248
21.799999 89.302 13.1616
22.000000 89.321 12.9423
22.400000 89.360 12.4106
22.700001 89.379 11.9510
23.000000 89.388 11.4825
23.299999 89.386 11.0466
23.600000 89.379 10.6693
24.000000 89.371 10.2573
24.299999 89.371 9.9877
24.700001 89.378 9.6305
25.000000 89.386 9.3442
25.400000 89.395 8.9390
25.799999 89.400 8.5324
26.200001 89.403 8.1462
26.500000 89.405 7.8710
26.900000 89.409 7.5125
27.200001 89.414 7.2422
27.600000 89.420 6.8756
28.000000 89.425 6.5060
28.500000 89.429 6.0494
29.000000 89.432 5.6037
29.500000 89.434 5.1680
30.000000 89.434 4.7441
30.400000 89.434 4.4169
30.700001 89.434 4.1797
31.100000 89.433 3.8743
31.500000 89.433 3.5792
32.000000 89.434 3.2185
32.500000 89.437 2.8591
33.000000 89.438 2.4957
33.500000 89.438 2.1311
34.000000 89.436 1.7743
34.500000 89.432 1.4325
35.000000 89.429 1.1042
35.500000 89.427 0.7795
36.000000 89.427 0.4452
36.500000 89.426 0.0935
37.000000 89.422 -0.2695
37.500000 89.414 -0.6256
38.200001 89.400 -1.0831
38.700001 89.393 -1.3860
39.500000 89.383 -1.8718
40.000000 89.377 -2.1768
40.599998 89.367 -2.5204
41.200001 89.361 -2.8420
41.799999 89.358 -3.1766
42.500000 89.352 -3.6069
43.099998 89.338 -3.9657
43.700001 89.320 -4.2623
44.400002 89.309 -4.5574
45.000000 89.307 -4.8579
45.500000 89.301 -5.1647
46.200001 89.274 -5.5816
46.799999 89.245 -5.8261
47.500000 89.228 -6.0387
48.200001 89.220 -6.3352
48.700001 89.204 -6.5732
49.400002 89.173 -6.7632
50.000000 89.166 -6.7791
50.799999 89.205 -6.9008
51.500000 89.248 -7.3165
52.200001 89.262 -7.9081
53.000000 89.241 -8.5360
53.799999 89.207 -9.0131
54.500000 89.182 -9.3501
55.200001 89.163 -9.6716
56.000000 89.143 -10.0590
57.000000 89.115 -10.5457
58.000000 89.085 -10.9927
59.000000 89.058 -11.4193
60.000000 89.032 -11.8328
60.799999 89.011 -12.1531
61.500000 88.994 -12.4302
62.200001 88.976 -12.7074
63.000000 88.953 -13.0243
64.000000 88.922 -13.4054
65.000000 88.889 -13.7592
66.000000 88.860 -14.1104
67.000000 88.829 -14.4720
68.000000 88.798 -14.8289
69.000000 88.766 -15.1688
70.000000 88.736 -15.4957
71.000000 88.706 -15.8099
72.000000 88.679 -16.1218
73.000000 88.651 -16.4440
74.000000 88.622 -16.7621
75.000000 88.594 -17.0809
76.199997 88.559 -17.4850
77.500000 88.517 -17.9285
78.800003 88.471 -18.3306
80.000000 88.432 -18.6711
81.199997 88.394 -19.0176
82.500000 88.350 -19.3931
83.800003 88.305 -19.7610
85.000000 88.263 -20.0993
86.199997 88.219 -20.4424
87.500000 88.169 -20.7801
88.500000 88.133 -21.0246
90.000000 88.080 -21.4028
91.199997 88.035 -21.6874
92.500000 87.990 -21.9875
93.800003 87.944 -22.3105
95.000000 87.897 -22.6015
96.199997 87.850 -22.8688
97.500000 87.801 -23.1665
98.800003 87.749 -23.4684
100.000000 87.698 -23.7393
101.500000 87.634 -24.0498
103.000000 87.573 -24.3514
104.400002 87.518 -24.6069
106.000000 87.463 -24.8728
107.500000 87.410 -25.1345
109.000000 87.352 -25.3499
110.599998 87.291 -25.5715
112.000000 87.234 -25.7931
113.800003 87.157 -26.0854
115.000000 87.107 -26.2816
117.199997 87.017 -26.6174
118.000000 86.986 -26.7251
120.599998 86.887 -27.0741
122.000000 86.829 -27.2584
124.099998 86.741 -27.5122
125.000000 86.704 -27.6187
126.500000 86.643 -27.7990
128.000000 86.580 -27.9655
131.500000 86.441 -28.2928
132.000000 86.421 -28.3400
134.000000 86.339 -28.5273
136.000000 86.254 -28.6909
138.000000 86.171 -28.8284
140.000000 86.092 -28.9583
143.000000 85.976 -29.1544
145.000000 85.895 -29.2737
147.500000 85.793 -29.3939
150.000000 85.693 -29.4902
152.500000 85.594 -29.5596
155.000000 85.495 -29.6008
157.500000 85.396 -29.6333
160.000000 85.300 -29.6599
162.500000 85.205 -29.6729
165.000000 85.112 -29.6637
167.500000 85.021 -29.6551
170.000000 84.925 -29.6379
172.500000 84.828 -29.5830
175.000000 84.731 -29.5049
177.500000 84.633 -29.4113
180.000000 84.539 -29.3147
182.500000 84.454 -29.2253
185.000000 84.374 -29.0945
187.500000 84.292 -28.9235
190.000000 84.206 -28.7731
192.500000 84.130 -28.6199
195.000000 84.067 -28.3985
197.500000 84.004 -28.1554
200.000000 83.925 -28.0264
203.000000 83.814 -27.9319
206.000000 83.715 -27.6019
209.000000 83.626 -27.0959
212.000000 83.534 -26.6332
214.000000 83.468 -26.3577
218.000000 83.336 -25.8065
220.000000 83.304 -25.6039
224.000000 83.267 -25.7549
227.000000 83.152 -25.2930
230.000000 83.076 -24.5035
233.000000 83.039 -24.1283
236.000000 82.987 -23.9096
240.000000 82.869 -23.4393
243.000000 82.785 -22.9594
247.000000 82.737 -22.1860
250.000000 82.716 -21.6113
254.000000 82.680 -21.0397
258.000000 82.645 -20.5930
262.000000 82.605 -20.0754
265.000000 82.580 -19.6603
269.000000 82.563 -19.1510
272.000000 82.554 -18.8187
276.000000 82.553 -18.4207
280.000000 82.552 -17.9634
285.000000 82.504 -17.3916
290.000000 82.477 -16.9415
295.000000 82.460 -16.3469
300.000000 82.430 -15.8135
304.000000 82.430 -15.5564
307.000000 82.432 -15.3544
311.000000 82.421 -14.9788
315.000000 82.407 -14.5775
320.000000 82.399 -14.1033
325.000000 82.381 -13.6204
330.000000 82.360 -13.1453
335.000000 82.362 -12.8381
