* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/08/2022 3:38:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Divinity V16 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.261 -163.9037
1.015000 68.483 -165.3826
1.030000 68.703 -166.7232
1.044000 68.905 -167.8574
1.060000 69.134 -169.0264
1.075000 69.346 -170.0098
1.090000 69.555 -170.8948
1.106000 69.776 -171.7421
1.120000 69.966 -172.4113
1.138000 70.209 -173.1866
1.150000 70.369 -173.6585
1.172000 70.658 -174.4500
1.180000 70.762 -174.7194
1.206000 71.096 -175.5519
1.220000 71.273 -175.9869
1.241000 71.536 -176.6446
1.250000 71.647 -176.9346
1.265000 71.831 -177.4368
1.280000 72.013 -177.9718
1.315000 72.431 -179.4055
1.320000 72.490 -179.6371
1.340000 72.724 179.3541
1.360000 72.954 178.2197
1.380000 73.180 177.0204
1.400000 73.402 175.7683
1.430000 73.727 173.8097
1.450000 73.940 172.4627
1.475000 74.200 170.7474
1.500000 74.455 169.0126
1.525000 74.705 167.2746
1.550000 74.950 165.5502
1.575000 75.191 163.8558
1.600000 75.427 162.2079
1.625000 75.659 160.6233
1.650000 75.887 159.1183
1.675000 76.112 157.7095
1.700000 76.333 156.4042
1.725000 76.549 155.1797
1.750000 76.760 154.0253
1.775000 76.967 152.9313
1.800000 77.168 151.8882
1.825000 77.366 150.8862
1.850000 77.559 149.9159
1.875000 77.749 148.9676
1.900000 77.935 148.0317
1.925000 78.117 147.0986
1.950000 78.296 146.1587
1.975000 78.472 145.2023
2.000000 78.646 144.2199
2.030000 78.850 142.9969
2.060000 79.049 141.7552
2.090000 79.242 140.5070
2.120000 79.431 139.2551
2.140000 79.553 138.4200
2.180000 79.792 136.7522
2.200000 79.909 135.9214
2.240000 80.136 134.2700
2.270000 80.302 133.0440
2.300000 80.464 131.8318
2.330000 80.623 130.6367
2.360000 80.778 129.4610
2.400000 80.978 127.9102
2.430000 81.124 126.7558
2.470000 81.311 125.2314
2.500000 81.447 124.1013
2.540000 81.622 122.6151
2.580000 81.791 121.1559
2.620000 81.954 119.7276
2.650000 82.074 118.6790
2.690000 82.228 117.3138
2.720000 82.341 116.3194
2.760000 82.485 115.0350
2.800000 82.623 113.7905
2.850000 82.788 112.2783
2.900000 82.945 110.7993
2.950000 83.094 109.3375
3.000000 83.237 107.8765
3.040000 83.348 106.6974
3.070000 83.428 105.8042
3.110000 83.530 104.6069
3.150000 83.627 103.4106
3.200000 83.742 101.9298
3.250000 83.852 100.4817
3.300000 83.957 99.0834
3.350000 84.057 97.7522
3.400000 84.154 96.5021
3.450000 84.245 95.3256
3.500000 84.330 94.2077
3.550000 84.411 93.1335
3.600000 84.488 92.0882
3.650000 84.563 91.0568
3.700000 84.635 90.0245
3.750000 84.705 88.9881
3.820000 84.796 87.5528
3.870000 84.858 86.5482
3.950000 84.953 84.9967
4.000000 85.010 84.0728
4.060000 85.079 83.0227
4.120000 85.145 82.0418
4.180000 85.208 81.1165
4.250000 85.280 80.0861
4.310000 85.341 79.2267
4.370000 85.401 78.3725
4.440000 85.471 77.3828
4.500000 85.530 76.5540
4.550000 85.578 75.8770
4.620000 85.645 74.9503
4.680000 85.702 74.1753
4.750000 85.768 73.2954
4.820000 85.834 72.4465
4.870000 85.880 71.8556
4.940000 85.944 71.0443
5.000000 85.997 70.3587
5.080000 86.067 69.4518
5.150000 86.127 68.6703
5.220000 86.186 67.9015
5.300000 86.251 67.0373
5.380000 86.314 66.1877
5.450000 86.368 65.4547
5.520000 86.419 64.7320
5.600000 86.476 63.9209
5.700000 86.544 62.9338
5.800000 86.609 61.9804
5.900000 86.670 61.0582
6.000000 86.729 60.1627
6.080000 86.774 59.4626
6.150000 86.813 58.8622
6.220000 86.850 58.2740
6.300000 86.892 57.6165
6.400000 86.942 56.8168
6.500000 86.991 56.0452
6.600000 87.039 55.2986
6.700000 87.085 54.5691
6.800000 87.129 53.8513
6.900000 87.172 53.1486
7.000000 87.214 52.4621
7.100000 87.253 51.7925
7.200000 87.290 51.1382
7.300000 87.324 50.5014
7.400000 87.357 49.8856
7.500000 87.387 49.2892
7.620000 87.419 48.6002
7.750000 87.452 47.8983
7.880000 87.482 47.2459
8.000000 87.508 46.6855
8.120000 87.536 46.1677
8.250000 87.566 45.6589
8.380000 87.599 45.1892
8.500000 87.634 44.7835
8.620000 87.673 44.4087
8.750000 87.720 44.0090
8.850000 87.760 43.7030
9.000000 87.826 43.2462
9.120000 87.881 42.8560
9.250000 87.945 42.4092
9.380000 88.009 41.9356
9.500000 88.067 41.4670
9.620000 88.124 40.9696
9.750000 88.182 40.4098
9.880000 88.235 39.8281
10.000000 88.280 39.2751
10.150000 88.329 38.5892
10.300000 88.370 37.9047
10.440000 88.404 37.2830
10.600000 88.437 36.6021
10.750000 88.465 35.9875
10.900000 88.492 35.4001
11.060000 88.520 34.7939
11.200000 88.546 34.2658
11.380000 88.580 33.5903
11.500000 88.601 33.1246
11.720000 88.639 32.2419
11.800000 88.650 31.9099
12.060000 88.677 30.7858
12.200000 88.682 30.1756
12.410000 88.675 29.2638
12.500000 88.666 28.8954
12.650000 88.645 28.3032
12.800000 88.618 27.7683
13.150000 88.538 26.7875
13.200000 88.527 26.6811
13.400000 88.484 26.3324
13.600000 88.453 26.0811
13.800000 88.436 25.9001
14.000000 88.437 25.7441
14.300000 88.462 25.4695
14.500000 88.491 25.2285
14.750000 88.532 24.8389
15.000000 88.572 24.3732
15.250000 88.606 23.8649
15.500000 88.634 23.3431
15.750000 88.657 22.8364
16.000000 88.680 22.3486
16.250000 88.703 21.8697
16.500000 88.728 21.3885
16.750000 88.751 20.8921
17.000000 88.772 20.3826
17.250000 88.787 19.8724
17.500000 88.797 19.3755
17.750000 88.803 18.9111
18.000000 88.806 18.4857
18.250000 88.810 18.0948
18.500000 88.815 17.7306
18.750000 88.822 17.3774
19.000000 88.830 17.0280
19.250000 88.836 16.6841
19.500000 88.840 16.3513
19.750000 88.842 16.0439
20.000000 88.845 15.7690
20.299999 88.852 15.4777
20.600000 88.866 15.2073
20.900000 88.888 14.9219
21.200001 88.914 14.5879
21.400000 88.932 14.3301
21.799999 88.958 13.7561
22.000000 88.964 13.4612
22.400000 88.967 12.9055
22.700001 88.965 12.5490
23.000000 88.965 12.2407
23.299999 88.972 11.9568
23.600000 88.984 11.6657
24.000000 89.004 11.2288
24.299999 89.017 10.8655
24.700001 89.026 10.3664
25.000000 89.027 10.0108
25.400000 89.024 9.5876
25.799999 89.023 9.2253
26.200001 89.027 8.9089
26.500000 89.034 8.6893
26.900000 89.051 8.3965
27.200001 89.070 8.1560
27.600000 89.097 7.7729
28.000000 89.119 7.3050
28.500000 89.123 6.6621
29.000000 89.099 6.1235
29.500000 89.070 5.8041
30.000000 89.064 5.6182
30.400000 89.076 5.4365
30.700001 89.088 5.2433
31.100000 89.095 4.9387
31.500000 89.091 4.6692
32.000000 89.090 4.4673
32.500000 89.119 4.3145
33.000000 89.173 3.9551
33.500000 89.211 3.2891
34.000000 89.198 2.5316
34.500000 89.142 2.0084
35.000000 89.093 1.8329
35.500000 89.090 1.7881
36.000000 89.125 1.5330
36.500000 89.148 0.9406
37.000000 89.117 0.2311
37.500000 89.035 -0.2240
38.200001 88.928 -0.1229
38.700001 88.923 0.2064
39.500000 89.021 0.2261
40.000000 89.073 -0.2145
40.599998 89.082 -0.8605
41.200001 89.056 -1.3041
41.799999 89.039 -1.5308
42.500000 89.051 -1.7913
43.099998 89.069 -2.1525
43.700001 89.074 -2.5980
44.400002 89.062 -3.1005
45.000000 89.047 -3.4778
45.500000 89.035 -3.7733
46.200001 89.016 -4.1804
46.799999 88.997 -4.4991
47.500000 88.978 -4.8057
48.200001 88.970 -5.0917
48.700001 88.969 -5.3260
49.400002 88.964 -5.6965
50.000000 88.953 -6.0070
50.799999 88.935 -6.3494
51.500000 88.926 -6.6005
52.200001 88.921 -6.8760
53.000000 88.908 -7.2278
53.799999 88.886 -7.5118
54.500000 88.875 -7.7108
55.200001 88.870 -7.9679
56.000000 88.852 -8.3242
57.000000 88.820 -8.6650
58.000000 88.808 -8.9950
59.000000 88.790 -9.4600
60.000000 88.757 -9.8362
60.799999 88.743 -10.0784
61.500000 88.736 -10.3539
62.200001 88.719 -10.6583
63.000000 88.691 -10.9220
64.000000 88.672 -11.1639
65.000000 88.662 -11.5184
66.000000 88.633 -11.9353
67.000000 88.592 -12.2640
68.000000 88.560 -12.5284
69.000000 88.540 -12.8268
70.000000 88.516 -13.1992
71.000000 88.485 -13.5276
72.000000 88.463 -13.8040
73.000000 88.445 -14.1189
74.000000 88.421 -14.4975
75.000000 88.375 -14.8447
76.199997 88.319 -15.0532
77.500000 88.288 -15.2214
78.800003 88.299 -15.5881
80.000000 88.273 -16.2680
81.199997 88.199 -16.6945
82.500000 88.132 -16.7169
83.800003 88.141 -16.7268
85.000000 88.151 -17.1486
86.199997 88.130 -17.8097
87.500000 88.033 -18.5138
88.500000 87.952 -18.7272
90.000000 87.860 -18.8860
91.199997 87.819 -18.8485
92.500000 87.791 -19.0182
93.800003 87.730 -19.1653
95.000000 87.682 -19.1884
96.199997 87.656 -19.2568
97.500000 87.655 -19.4678
98.800003 87.669 -19.9364
100.000000 87.657 -20.4811
101.500000 87.610 -20.9615
103.000000 87.552 -21.2465
104.400002 87.485 -21.4337
106.000000 87.408 -21.6016
107.500000 87.338 -21.8596
109.000000 87.262 -22.0964
110.599998 87.194 -22.3380
112.000000 87.140 -22.6108
113.800003 87.076 -23.0596
115.000000 87.041 -23.3213
117.199997 87.032 -23.6607
118.000000 87.029 -23.7682
120.599998 86.963 -23.6787
122.000000 86.886 -23.7484
124.099998 86.691 -23.8379
125.000000 86.639 -23.8967
126.500000 86.602 -24.3606
128.000000 86.571 -25.0410
131.500000 86.429 -25.2064
132.000000 86.422 -25.0446
134.000000 86.442 -24.9326
136.000000 86.362 -25.6007
138.000000 86.222 -25.7704
140.000000 86.136 -25.6728
143.000000 86.048 -25.6012
145.000000 86.006 -25.9916
147.500000 85.873 -26.5531
150.000000 85.730 -26.3528
152.500000 85.633 -26.0785
155.000000 85.522 -25.7899
157.500000 85.449 -25.4338
160.000000 85.404 -25.4145
162.500000 85.320 -25.6324
165.000000 85.181 -25.9385
167.500000 85.036 -26.2357
170.000000 84.906 -26.4478
172.500000 84.806 -26.6288
175.000000 84.786 -26.8490
177.500000 84.819 -26.1998
180.000000 84.719 -24.3520
182.500000 84.278 -23.1501
185.000000 83.828 -24.7143
187.500000 84.023 -28.0591
190.000000 84.631 -28.8175
192.500000 85.036 -25.4388
195.000000 85.051 -22.4653
197.500000 84.705 -22.5364
200.000000 84.409 -23.1436
203.000000 84.424 -22.7904
206.000000 84.513 -22.7114
209.000000 84.465 -23.7309
212.000000 84.298 -24.3196
214.000000 84.184 -24.1600
218.000000 84.007 -23.5539
220.000000 83.915 -23.2159
224.000000 83.748 -22.3104
227.000000 83.696 -21.5317
230.000000 83.674 -20.8880
233.000000 83.639 -20.5328
236.000000 83.591 -20.4355
240.000000 83.507 -20.6312
243.000000 83.466 -21.0264
247.000000 83.476 -21.5395
250.000000 83.499 -21.5289
254.000000 83.482 -20.8340
258.000000 83.388 -20.1288
262.000000 83.313 -19.8737
265.000000 83.305 -19.6292
269.000000 83.283 -19.0807
272.000000 83.231 -18.7421
276.000000 83.165 -18.4388
280.000000 83.127 -18.1549
285.000000 83.094 -17.8117
290.000000 83.076 -17.3212
295.000000 83.051 -16.7496
300.000000 83.034 -16.2537
304.000000 83.011 -16.0052
307.000000 82.990 -15.8264
311.000000 82.973 -15.5635
315.000000 82.958 -15.3061
320.000000 82.930 -14.9875
325.000000 82.901 -14.6487
330.000000 82.879 -14.2772
335.000000 82.862 -13.9524
