* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.6 dBFS, measurement signal peak level -27.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:49:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0249 ms (-8.6 mm, -0.34 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Dome L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.439 2.8636
1.015000 55.524 1.7082
1.030000 55.606 0.5621
1.044000 55.679 -0.4967
1.060000 55.757 -1.6911
1.075000 55.826 -2.7931
1.090000 55.891 -3.8750
1.106000 55.954 -5.0060
1.120000 56.005 -5.9866
1.138000 56.064 -7.2387
1.150000 56.099 -8.0686
1.172000 56.156 -9.5813
1.180000 56.175 -10.1288
1.206000 56.227 -11.9004
1.220000 56.251 -12.8501
1.241000 56.280 -14.2707
1.250000 56.291 -14.8784
1.265000 56.306 -15.8902
1.280000 56.318 -16.9013
1.315000 56.336 -19.2611
1.320000 56.337 -19.5986
1.340000 56.341 -20.9506
1.360000 56.342 -22.3068
1.380000 56.339 -23.6687
1.400000 56.334 -25.0377
1.430000 56.324 -27.1078
1.450000 56.315 -28.5011
1.475000 56.304 -30.2602
1.500000 56.288 -32.0402
1.525000 56.269 -33.8383
1.550000 56.245 -35.6514
1.575000 56.216 -37.4761
1.600000 56.182 -39.3093
1.625000 56.142 -41.1477
1.650000 56.098 -42.9879
1.675000 56.047 -44.8269
1.700000 55.991 -46.6613
1.725000 55.929 -48.4879
1.750000 55.860 -50.3033
1.775000 55.785 -52.1045
1.800000 55.703 -53.8881
1.825000 55.614 -55.6509
1.850000 55.517 -57.4041
1.875000 55.413 -59.1765
1.900000 55.301 -60.9626
1.925000 55.181 -62.7551
1.950000 55.055 -64.5468
1.975000 54.923 -66.3303
2.000000 54.785 -68.0986
2.030000 54.612 -70.1901
2.060000 54.433 -72.2366
2.090000 54.247 -74.2256
2.120000 54.056 -76.1446
2.140000 53.927 -77.3789
2.180000 53.663 -79.7226
2.200000 53.528 -80.8251
2.240000 53.238 -82.9688
2.270000 52.999 -84.5379
2.300000 52.747 -86.0614
2.330000 52.486 -87.5282
2.360000 52.222 -88.9273
2.400000 51.870 -90.6681
2.430000 51.614 -91.8658
2.470000 51.290 -93.2979
2.500000 51.066 -94.2338
2.540000 50.801 -95.2764
2.580000 50.579 -95.7628
2.620000 50.359 -95.6957
2.650000 50.196 -95.6069
2.690000 49.989 -95.4518
2.720000 49.849 -95.3178
2.760000 49.692 -95.1299
2.800000 49.580 -94.9481
2.850000 49.520 -94.7567
2.900000 49.573 -94.6382
2.950000 49.763 -94.6320
3.000000 50.101 -94.7819
3.040000 50.463 -94.9893
3.070000 50.777 -95.1783
3.110000 51.241 -95.4534
3.150000 51.740 -95.7304
3.200000 52.391 -96.0385
3.250000 53.044 -96.2553
3.300000 53.668 -96.4366
3.350000 54.298 -97.9884
3.400000 54.966 -99.9351
3.450000 55.656 -102.1982
3.500000 56.355 -104.6991
3.550000 57.048 -107.3594
3.600000 57.721 -110.1006
3.650000 58.360 -112.8441
3.700000 58.962 -115.6022
3.750000 59.547 -118.5283
3.820000 60.339 -122.8311
3.870000 60.883 -125.9870
3.950000 61.715 -131.0466
4.000000 62.208 -134.1409
4.060000 62.772 -137.7341
4.120000 63.307 -141.2994
4.180000 63.814 -144.8429
4.250000 64.370 -148.9305
4.310000 64.817 -152.3777
4.370000 65.237 -155.7576
4.440000 65.694 -159.6150
4.500000 66.055 -162.8787
4.550000 66.335 -165.5584
4.620000 66.697 -169.2284
4.680000 66.979 -172.2792
4.750000 67.278 -175.7034
4.820000 67.542 -178.9935
4.870000 67.708 178.7148
4.940000 67.911 175.6133
5.000000 68.059 173.0777
5.080000 68.223 169.9123
5.150000 68.335 167.3723
5.220000 68.411 164.9719
5.300000 68.457 162.4306
5.380000 68.471 160.1928
5.450000 68.467 158.5558
5.520000 68.453 157.2741
5.600000 68.394 156.1889
5.700000 68.286 155.3735
5.800000 68.197 155.1636
5.900000 68.176 155.6007
6.000000 68.178 156.8826
6.080000 68.214 158.3093
6.150000 68.292 159.6669
6.220000 68.430 160.9757
6.300000 68.676 162.5118
6.400000 69.091 164.6720
6.500000 69.583 166.7059
6.600000 70.109 168.1917
6.700000 70.690 169.0960
6.800000 71.325 169.5797
6.900000 71.960 169.6358
7.000000 72.548 169.2407
7.100000 73.115 168.3094
7.200000 73.659 166.9853
7.300000 74.164 165.4548
7.400000 74.621 163.7904
7.500000 75.037 161.8760
7.620000 75.485 159.4125
7.750000 75.911 156.7341
7.880000 76.269 153.9569
8.000000 76.550 151.3885
8.120000 76.793 148.9124
8.250000 77.004 146.2798
8.380000 77.175 143.7530
8.500000 77.307 141.5635
8.620000 77.407 139.4889
8.750000 77.492 137.3840
8.850000 77.548 135.8770
9.000000 77.607 133.7947
9.120000 77.645 132.2686
9.250000 77.683 130.7523
9.380000 77.713 129.3828
9.500000 77.742 128.2175
9.620000 77.775 127.1384
9.750000 77.812 126.0758
9.880000 77.856 125.0794
10.000000 77.904 124.2097
10.150000 77.973 123.1948
10.300000 78.052 122.2033
10.440000 78.136 121.3024
10.600000 78.240 120.2849
10.750000 78.343 119.3187
10.900000 78.451 118.3528
11.060000 78.568 117.3346
11.200000 78.670 116.4465
11.380000 78.803 115.3631
11.500000 78.892 114.6845
11.720000 79.062 113.5457
11.800000 79.129 113.1799
12.060000 79.366 112.1270
12.200000 79.517 111.6164
12.410000 79.774 110.8872
12.500000 79.895 110.5318
12.650000 80.115 109.9104
12.800000 80.343 109.1868
13.150000 80.880 106.9338
13.200000 80.951 106.5590
13.400000 81.218 104.8885
13.600000 81.439 103.1465
13.800000 81.605 101.3727
14.000000 81.723 99.8190
14.300000 81.829 98.0323
14.500000 81.883 97.3828
14.750000 81.989 97.0316
15.000000 82.162 97.0674
15.250000 82.424 97.0390
15.500000 82.729 96.6238
15.750000 83.041 95.6911
16.000000 83.294 94.2127
16.250000 83.457 92.5573
16.500000 83.527 90.9793
16.750000 83.517 89.8754
17.000000 83.509 89.4156
17.250000 83.517 89.4784
17.500000 83.630 89.8566
17.750000 83.839 89.9447
18.000000 84.099 89.5038
18.250000 84.361 88.2744
18.500000 84.539 86.4078
18.750000 84.613 84.2650
19.000000 84.563 82.1889
19.250000 84.422 80.7846
19.500000 84.260 80.1826
19.750000 84.136 80.4439
20.000000 84.157 81.1880
20.299999 84.373 81.8861
20.600000 84.736 81.6538
20.900000 85.118 80.0489
21.200001 85.382 77.2448
21.400000 85.455 75.1222
21.799999 85.361 71.2032
22.000000 85.225 69.8565
22.400000 84.909 68.9868
22.700001 84.784 69.7181
23.000000 84.868 70.8905
23.299999 85.133 71.6446
23.600000 85.487 71.5058
24.000000 85.935 69.7739
24.299999 86.162 67.6935
24.700001 86.284 64.6326
25.000000 86.256 62.5981
25.400000 86.110 60.6330
25.799999 85.914 59.6989
26.200001 85.744 59.7495
26.500000 85.680 60.2755
26.900000 85.720 61.2838
27.200001 85.850 61.9339
27.600000 86.129 62.2191
28.000000 86.451 61.5251
28.500000 86.784 59.3416
29.000000 86.953 56.3607
29.500000 86.952 53.3751
30.000000 86.837 50.9431
30.400000 86.707 49.5323
30.700001 86.607 48.7882
31.100000 86.492 48.1763
31.500000 86.415 47.9185
32.000000 86.395 47.8770
32.500000 86.453 47.8497
33.000000 86.552 47.6591
33.500000 86.663 47.3748
34.000000 86.788 47.1278
34.500000 86.950 46.8563
35.000000 87.146 46.3288
35.500000 87.340 45.3799
36.000000 87.492 44.0905
36.500000 87.592 42.6696
37.000000 87.655 41.2566
37.500000 87.693 39.8501
38.200001 87.702 37.8594
38.700001 87.669 36.5139
39.500000 87.578 34.7739
40.000000 87.523 33.9810
40.599998 87.482 33.2558
41.200001 87.474 32.6605
41.799999 87.496 32.0858
42.500000 87.536 31.3759
43.099998 87.571 30.7643
43.700001 87.603 30.1836
44.400002 87.633 29.5453
45.000000 87.651 29.0382
45.500000 87.662 28.6479
46.200001 87.674 28.1177
46.799999 87.682 27.6414
47.500000 87.686 27.0580
48.200001 87.693 26.4215
48.700001 87.699 25.8856
49.400002 87.699 24.9935
50.000000 87.680 24.1840
50.799999 87.638 23.2561
51.500000 87.619 22.6161
52.200001 87.629 21.9644
53.000000 87.646 21.1163
53.799999 87.652 20.3362
54.500000 87.665 19.7456
55.200001 87.684 19.1446
56.000000 87.697 18.4526
57.000000 87.704 17.6091
58.000000 87.694 16.7698
59.000000 87.681 15.9974
60.000000 87.667 15.1600
60.799999 87.651 14.5465
61.500000 87.649 14.0388
62.200001 87.651 13.4719
63.000000 87.644 12.8340
64.000000 87.639 12.1337
65.000000 87.634 11.4242
66.000000 87.622 10.7987
67.000000 87.618 10.1611
68.000000 87.602 9.4861
69.000000 87.589 8.8639
70.000000 87.582 8.1498
71.000000 87.559 7.4257
72.000000 87.542 6.8033
73.000000 87.531 6.1212
74.000000 87.503 5.4672
75.000000 87.481 4.9517
76.199997 87.465 4.2371
77.500000 87.425 3.4947
78.800003 87.404 2.8110
80.000000 87.372 2.0704
81.199997 87.334 1.4985
82.500000 87.317 0.8233
83.800003 87.274 0.0946
85.000000 87.237 -0.4102
86.199997 87.213 -1.0067
87.500000 87.166 -1.6644
88.500000 87.135 -2.0670
90.000000 87.103 -2.7565
91.199997 87.063 -3.3205
92.500000 87.024 -3.8388
93.800003 86.992 -4.4033
95.000000 86.953 -4.9420
96.199997 86.912 -5.4099
97.500000 86.878 -5.9092
98.800003 86.843 -6.4653
100.000000 86.800 -6.9722
101.500000 86.741 -7.5072
103.000000 86.692 -8.0057
104.400002 86.646 -8.5183
106.000000 86.585 -9.0897
107.500000 86.528 -9.5714
109.000000 86.477 -10.0541
110.599998 86.420 -10.5953
112.000000 86.364 -11.0479
113.800003 86.292 -11.5444
115.000000 86.251 -11.8505
117.199997 86.184 -12.5023
118.000000 86.156 -12.7703
120.599998 86.040 -13.5810
122.000000 85.972 -13.9148
124.099998 85.883 -14.3230
125.000000 85.852 -14.5043
126.500000 85.804 -14.8542
128.000000 85.752 -15.2488
131.500000 85.604 -16.1066
132.000000 85.581 -16.2102
134.000000 85.487 -16.5687
136.000000 85.403 -16.8998
138.000000 85.323 -17.2249
140.000000 85.246 -17.5023
143.000000 85.134 -17.9188
145.000000 85.058 -18.2191
147.500000 84.963 -18.5949
150.000000 84.849 -18.9772
152.500000 84.700 -19.2141
155.000000 84.548 -19.4847
157.500000 84.399 -19.9684
160.000000 84.278 -20.6009
162.500000 84.197 -21.1226
165.000000 84.131 -21.2872
167.500000 84.030 -21.1781
170.000000 83.885 -21.1007
172.500000 83.732 -21.1655
175.000000 83.594 -21.2103
177.500000 83.463 -21.1267
180.000000 83.333 -20.9264
182.500000 83.218 -20.5325
185.000000 83.126 -19.9193
187.500000 83.053 -19.2805
190.000000 83.018 -18.8127
192.500000 83.025 -18.5065
195.000000 83.037 -18.2866
197.500000 83.031 -18.2473
200.000000 83.012 -18.4515
203.000000 82.990 -18.8220
206.000000 82.939 -19.1567
209.000000 82.851 -19.4332
212.000000 82.750 -19.6584
214.000000 82.682 -19.7520
218.000000 82.541 -19.8492
220.000000 82.470 -19.8599
224.000000 82.335 -19.7936
227.000000 82.232 -19.6990
230.000000 82.132 -19.5822
233.000000 82.042 -19.4426
236.000000 81.954 -19.2728
240.000000 81.833 -19.0094
243.000000 81.744 -18.8007
247.000000 81.633 -18.4529
250.000000 81.553 -18.1629
254.000000 81.448 -17.8665
258.000000 81.346 -17.5980
262.000000 81.247 -17.2410
265.000000 81.175 -16.9197
269.000000 81.078 -16.4922
272.000000 81.006 -16.2022
276.000000 80.914 -15.7918
280.000000 80.826 -15.3453
285.000000 80.720 -14.8142
290.000000 80.621 -14.2174
295.000000 80.527 -13.5656
300.000000 80.439 -12.9198
