* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.0 dBFS, measurement signal peak level -28.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:48:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0252 ms (-8.6 mm, -0.34 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Dome R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 29.942 -3.6996
1.015000 30.313 -9.3532
1.030000 30.681 -14.7923
1.044000 31.022 -19.6483
1.060000 31.404 -24.9044
1.075000 31.754 -29.5158
1.090000 32.093 -33.7896
1.106000 32.444 -37.9673
1.120000 32.759 -41.4286
1.138000 33.181 -45.6594
1.150000 33.470 -48.3471
1.172000 34.017 -53.0088
1.180000 34.221 -54.6215
1.206000 34.895 -59.5718
1.220000 35.264 -62.0603
1.241000 35.825 -65.5728
1.250000 36.067 -67.0003
1.265000 36.470 -69.2802
1.280000 36.874 -71.4406
1.315000 37.810 -76.0472
1.320000 37.942 -76.6586
1.340000 38.466 -78.9954
1.360000 38.978 -81.1679
1.380000 39.477 -83.1889
1.400000 39.959 -85.0713
1.430000 40.642 -87.6629
1.450000 41.069 -89.2548
1.475000 41.564 -91.0750
1.500000 42.028 -92.3982
1.525000 42.466 -93.2111
1.550000 42.881 -93.5877
1.575000 43.274 -93.6014
1.600000 43.649 -93.3261
1.625000 44.007 -92.8353
1.650000 44.351 -92.2028
1.675000 44.682 -91.5023
1.700000 45.004 -90.8074
1.725000 45.319 -90.1918
1.750000 45.628 -89.7291
1.775000 45.934 -89.4932
1.800000 46.240 -89.5576
1.825000 46.548 -89.9960
1.850000 46.855 -90.8192
1.875000 47.154 -91.8952
1.900000 47.445 -93.1843
1.925000 47.728 -94.6522
1.950000 48.003 -96.2645
1.975000 48.272 -97.9869
2.000000 48.534 -99.7850
2.030000 48.842 -101.9944
2.060000 49.143 -104.2040
2.090000 49.438 -106.3545
2.120000 49.728 -108.3865
2.140000 49.920 -109.6461
2.180000 50.298 -111.8579
2.200000 50.486 -112.7755
2.240000 50.854 -114.3324
2.270000 51.122 -115.3216
2.300000 51.383 -116.1836
2.330000 51.639 -116.9415
2.360000 51.889 -117.6185
2.400000 52.216 -118.4353
2.430000 52.457 -119.0134
2.470000 52.772 -119.7823
2.500000 53.006 -120.3876
2.540000 53.313 -121.2766
2.580000 53.618 -122.2963
2.620000 53.916 -123.3635
2.650000 54.135 -124.1761
2.690000 54.422 -125.2713
2.720000 54.633 -126.0984
2.760000 54.910 -127.2044
2.800000 55.183 -128.3088
2.850000 55.519 -129.6785
2.900000 55.851 -131.0262
2.950000 56.181 -132.3468
3.000000 56.504 -133.6813
3.040000 56.759 -134.7553
3.070000 56.947 -135.5580
3.110000 57.196 -136.6162
3.150000 57.442 -137.6514
3.200000 57.746 -138.8977
3.250000 58.047 -140.0723
3.300000 58.346 -141.1554
3.350000 58.642 -142.1112
3.400000 58.935 -142.9512
3.450000 59.225 -143.7156
3.500000 59.511 -144.4444
3.550000 59.794 -145.1779
3.600000 60.075 -145.9561
3.650000 60.353 -146.8193
3.700000 60.629 -147.7955
3.750000 60.902 -148.8600
3.820000 61.280 -150.4402
3.870000 61.547 -151.5917
3.950000 61.967 -153.3899
4.000000 62.225 -154.4388
4.060000 62.531 -155.5758
4.120000 62.832 -156.5950
4.180000 63.129 -157.5392
4.250000 63.470 -158.6023
4.310000 63.756 -159.5287
4.370000 64.037 -160.5137
4.440000 64.357 -161.7807
4.500000 64.626 -162.9458
4.550000 64.846 -163.9488
4.620000 65.148 -165.3672
4.680000 65.401 -166.5640
4.750000 65.689 -167.8961
4.820000 65.969 -169.1386
4.870000 66.165 -169.9906
4.940000 66.432 -171.1487
5.000000 66.655 -172.1218
5.080000 66.945 -173.4124
5.150000 67.192 -174.5543
5.220000 67.432 -175.7084
5.300000 67.698 -177.0251
5.380000 67.956 -178.3212
5.450000 68.176 -179.4234
5.520000 68.393 179.5161
5.600000 68.633 178.3471
5.700000 68.925 176.9393
5.800000 69.208 175.5830
5.900000 69.487 174.2722
6.000000 69.758 173.0182
6.080000 69.971 172.0482
6.150000 70.155 171.2161
6.220000 70.337 170.3932
6.300000 70.543 169.4642
6.400000 70.797 168.3283
6.500000 71.048 167.2177
6.600000 71.294 166.1297
6.700000 71.538 165.0720
6.800000 71.778 164.0401
6.900000 72.014 163.0172
7.000000 72.245 161.9881
7.100000 72.473 160.9550
7.200000 72.696 159.9266
7.300000 72.914 158.9106
7.400000 73.127 157.9117
7.500000 73.335 156.9262
7.620000 73.579 155.7589
7.750000 73.835 154.5096
7.880000 74.084 153.2755
8.000000 74.307 152.1549
8.120000 74.526 151.0575
8.250000 74.757 149.8957
8.380000 74.984 148.7512
8.500000 75.189 147.7038
8.620000 75.391 146.6696
8.750000 75.606 145.5545
8.850000 75.768 144.6945
9.000000 76.006 143.4058
9.120000 76.191 142.3751
9.250000 76.385 141.2557
9.380000 76.574 140.1342
9.500000 76.741 139.1056
9.620000 76.902 138.0844
9.750000 77.069 136.9845
9.880000 77.230 135.9106
10.000000 77.372 134.9487
10.150000 77.543 133.7804
10.300000 77.710 132.6619
10.440000 77.862 131.6672
10.600000 78.035 130.5734
10.750000 78.200 129.5884
10.900000 78.366 128.6351
11.060000 78.547 127.6105
11.200000 78.710 126.7151
11.380000 78.918 125.5251
11.500000 79.058 124.6979
11.720000 79.309 123.1186
11.800000 79.396 122.5186
12.060000 79.664 120.4990
12.200000 79.792 119.3967
12.410000 79.966 117.7410
12.500000 80.033 117.0608
12.650000 80.134 115.9514
12.800000 80.226 114.9062
13.150000 80.421 112.8012
13.200000 80.450 112.5361
13.400000 80.564 111.5792
13.600000 80.689 110.7168
13.800000 80.831 109.9356
14.000000 80.987 109.1451
14.300000 81.245 107.8938
14.500000 81.422 106.9538
14.750000 81.637 105.6739
15.000000 81.837 104.2927
15.250000 82.014 102.8836
15.500000 82.171 101.5128
15.750000 82.312 100.2159
16.000000 82.444 99.0256
16.250000 82.576 97.9173
16.500000 82.710 96.8691
16.750000 82.848 95.8420
17.000000 82.985 94.8056
17.250000 83.119 93.7561
17.500000 83.247 92.6933
17.750000 83.368 91.6401
18.000000 83.482 90.6065
18.250000 83.590 89.6039
18.500000 83.696 88.6284
18.750000 83.801 87.6692
19.000000 83.904 86.7162
19.250000 84.003 85.7578
19.500000 84.099 84.7983
19.750000 84.188 83.8418
20.000000 84.272 82.9036
20.299999 84.367 81.8135
20.600000 84.459 80.7658
20.900000 84.551 79.7524
21.200001 84.643 78.7537
21.400000 84.704 78.0858
21.799999 84.823 76.7423
22.000000 84.879 76.0706
22.400000 84.983 74.7486
22.700001 85.056 73.7947
23.000000 85.126 72.8824
23.299999 85.196 72.0063
23.600000 85.266 71.1557
24.000000 85.362 70.0435
24.299999 85.434 69.2162
24.700001 85.529 68.1172
25.000000 85.598 67.2947
25.400000 85.686 66.1970
25.799999 85.769 65.0964
26.200001 85.843 64.0037
26.500000 85.891 63.2060
26.900000 85.948 62.1951
27.200001 85.989 61.4871
27.600000 86.045 60.6046
28.000000 86.108 59.7588
28.500000 86.194 58.6813
29.000000 86.279 57.5336
29.500000 86.351 56.3466
30.000000 86.409 55.2072
30.400000 86.452 54.3670
30.700001 86.487 53.7709
31.100000 86.540 52.9814
31.500000 86.597 52.1550
32.000000 86.661 51.0501
32.500000 86.704 49.9374
33.000000 86.731 48.9405
33.500000 86.758 48.1055
34.000000 86.800 47.3571
34.500000 86.857 46.5767
35.000000 86.912 45.7205
35.500000 86.957 44.8366
36.000000 86.993 43.9906
36.500000 87.026 43.1927
37.000000 87.062 42.4072
37.500000 87.096 41.6096
38.200001 87.136 40.4992
38.700001 87.161 39.7364
39.500000 87.202 38.5479
40.000000 87.226 37.8069
40.599998 87.253 36.9320
41.200001 87.277 36.0938
41.799999 87.301 35.2913
42.500000 87.331 34.3828
43.099998 87.357 33.6172
43.700001 87.383 32.8567
44.400002 87.409 31.9737
45.000000 87.427 31.2249
45.500000 87.440 30.6056
46.200001 87.453 29.7434
46.799999 87.461 29.0182
47.500000 87.469 28.1824
48.200001 87.473 27.3228
48.700001 87.468 26.7206
49.400002 87.452 26.0150
50.000000 87.457 25.5573
50.799999 87.507 24.8845
51.500000 87.556 24.0337
52.200001 87.573 23.0967
53.000000 87.566 22.2003
53.799999 87.562 21.4713
54.500000 87.564 20.8735
55.200001 87.567 20.2975
56.000000 87.570 19.6507
57.000000 87.572 18.8358
58.000000 87.573 18.0175
59.000000 87.574 17.1699
60.000000 87.573 16.2951
60.799999 87.571 15.5880
61.500000 87.566 14.9824
62.200001 87.561 14.4032
63.000000 87.555 13.7745
64.000000 87.548 13.0236
65.000000 87.540 12.2939
66.000000 87.527 11.6110
67.000000 87.519 10.9661
68.000000 87.515 10.2628
69.000000 87.501 9.5247
70.000000 87.482 8.8279
71.000000 87.463 8.1541
72.000000 87.445 7.4973
73.000000 87.426 6.8606
74.000000 87.406 6.2434
75.000000 87.387 5.6462
76.199997 87.364 4.9172
77.500000 87.334 4.1217
78.800003 87.300 3.3488
80.000000 87.270 2.6558
81.199997 87.239 1.9822
82.500000 87.207 1.2845
83.800003 87.175 0.5981
85.000000 87.142 -0.0241
86.199997 87.107 -0.6292
87.500000 87.066 -1.2640
88.500000 87.036 -1.7439
90.000000 86.990 -2.4712
91.199997 86.951 -3.0524
92.500000 86.905 -3.6447
93.800003 86.861 -4.2001
95.000000 86.823 -4.7189
96.199997 86.783 -5.2412
97.500000 86.737 -5.7903
98.800003 86.692 -6.3218
100.000000 86.649 -6.7917
101.500000 86.596 -7.3445
103.000000 86.544 -7.8816
104.400002 86.491 -8.3715
106.000000 86.429 -8.9149
107.500000 86.373 -9.4321
109.000000 86.316 -9.9704
110.599998 86.255 -10.5414
112.000000 86.197 -11.0372
113.800003 86.115 -11.6420
115.000000 86.056 -12.0198
117.199997 85.947 -12.6771
118.000000 85.907 -12.9071
120.599998 85.775 -13.5906
122.000000 85.700 -13.9107
124.099998 85.583 -14.3826
125.000000 85.530 -14.5781
126.500000 85.443 -14.8828
128.000000 85.357 -15.1493
131.500000 85.138 -15.3610
132.000000 85.105 -15.3242
134.000000 84.983 -15.1110
136.000000 84.859 -14.9198
138.000000 84.739 -14.4320
140.000000 84.692 -13.6121
143.000000 84.780 -12.7693
145.000000 84.880 -12.8701
147.500000 85.000 -13.6937
150.000000 85.043 -14.7739
152.500000 85.014 -15.6056
155.000000 84.950 -16.4172
157.500000 84.865 -17.3314
160.000000 84.767 -18.1726
162.500000 84.658 -18.8363
165.000000 84.545 -19.3787
167.500000 84.439 -19.8865
170.000000 84.336 -20.3523
172.500000 84.226 -20.7393
175.000000 84.108 -21.0664
177.500000 83.989 -21.3586
180.000000 83.875 -21.6097
182.500000 83.764 -21.8267
185.000000 83.652 -22.0120
187.500000 83.539 -22.1586
190.000000 83.428 -22.2928
192.500000 83.318 -22.4213
195.000000 83.208 -22.5102
197.500000 83.100 -22.5430
200.000000 82.993 -22.5642
203.000000 82.864 -22.5999
206.000000 82.734 -22.6125
209.000000 82.604 -22.5869
212.000000 82.476 -22.5447
214.000000 82.392 -22.4966
218.000000 82.226 -22.3507
220.000000 82.140 -22.2552
224.000000 81.966 -22.0165
227.000000 81.833 -21.7792
230.000000 81.701 -21.4791
233.000000 81.568 -21.1001
236.000000 81.434 -20.6339
240.000000 81.255 -19.8163
243.000000 81.130 -19.0200
247.000000 81.007 -17.7623
250.000000 80.966 -16.7279
254.000000 80.990 -15.4046
258.000000 81.076 -14.6091
262.000000 81.151 -14.4739
265.000000 81.169 -14.6251
269.000000 81.144 -14.8989
272.000000 81.102 -15.0663
276.000000 81.021 -15.2047
280.000000 80.923 -15.2102
285.000000 80.798 -15.0260
290.000000 80.679 -14.6724
295.000000 80.563 -14.2335
