* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -26.4 dBFS, measurement signal peak level -24.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:14:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0804 ms (-28 mm, -1.09 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: E3000 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.562 -124.8629
1.015000 50.512 -126.6195
1.030000 50.453 -128.4155
1.044000 50.390 -130.1298
1.060000 50.309 -132.1368
1.075000 50.222 -134.0674
1.090000 50.124 -136.0483
1.106000 50.006 -138.2141
1.120000 49.878 -140.1244
1.138000 49.682 -142.5961
1.150000 49.532 -144.2560
1.172000 49.225 -147.3304
1.180000 49.104 -148.4599
1.206000 48.685 -152.1808
1.220000 48.446 -154.2201
1.241000 48.076 -157.3327
1.250000 47.915 -158.6881
1.265000 47.647 -160.9784
1.280000 47.379 -163.3103
1.315000 46.775 -168.9302
1.320000 46.693 -169.7551
1.340000 46.378 -173.1147
1.360000 46.090 -176.5755
1.380000 45.836 179.8553
1.400000 45.622 176.1703
1.430000 45.393 170.4102
1.450000 45.311 166.4042
1.475000 45.297 161.1722
1.500000 45.362 155.4830
1.525000 45.496 149.3567
1.550000 45.691 142.8732
1.575000 45.940 136.1121
1.600000 46.237 129.1534
1.625000 46.575 122.0769
1.650000 46.946 114.9622
1.675000 47.343 107.8893
1.700000 47.761 100.9380
1.725000 48.191 94.1880
1.750000 48.627 87.7191
1.775000 49.061 81.6112
1.800000 49.488 75.9440
1.825000 49.899 70.7973
1.850000 50.305 66.1616
1.875000 50.739 61.8514
1.900000 51.198 57.8375
1.925000 51.676 54.0987
1.950000 52.171 50.6137
1.975000 52.676 47.3614
2.000000 53.187 44.3206
2.030000 53.802 40.9208
2.060000 54.411 37.7585
2.090000 55.006 34.7968
2.120000 55.579 31.9993
2.140000 55.944 30.2074
2.180000 56.625 26.7500
2.200000 56.936 25.0642
2.240000 57.516 22.0476
2.270000 57.923 20.1399
2.300000 58.309 18.4871
2.330000 58.676 17.0448
2.360000 59.024 15.7691
2.400000 59.466 14.2506
2.430000 59.781 13.1913
2.470000 60.185 11.8009
2.500000 60.478 10.7172
2.540000 60.859 9.1338
2.580000 61.231 7.3180
2.620000 61.582 5.4009
2.650000 61.831 3.9363
2.690000 62.144 1.9689
2.720000 62.367 0.4964
2.760000 62.651 -1.4421
2.800000 62.921 -3.3284
2.850000 63.243 -5.5736
2.900000 63.552 -7.6465
2.950000 63.852 -9.5004
3.000000 64.131 -11.1495
3.040000 64.340 -12.3474
3.070000 64.490 -13.1870
3.110000 64.680 -14.2424
3.150000 64.862 -15.2411
3.200000 65.080 -16.4375
3.250000 65.292 -17.6088
3.300000 65.498 -18.7902
3.350000 65.696 -19.9671
3.400000 65.882 -21.1088
3.450000 66.057 -22.2091
3.500000 66.225 -23.2621
3.550000 66.389 -24.2618
3.600000 66.550 -25.2021
3.650000 66.711 -26.0771
3.700000 66.872 -26.8763
3.750000 67.028 -27.5934
3.820000 67.240 -28.4863
3.870000 67.389 -29.0645
3.950000 67.627 -29.9268
4.000000 67.778 -30.4492
4.060000 67.963 -31.0710
4.120000 68.149 -31.6404
4.180000 68.337 -32.1674
4.250000 68.556 -32.7549
4.310000 68.744 -33.2582
4.370000 68.933 -33.7823
4.440000 69.155 -34.4318
4.500000 69.347 -34.9956
4.550000 69.508 -35.4710
4.620000 69.733 -36.1488
4.680000 69.923 -36.7449
4.750000 70.139 -37.4627
4.820000 70.351 -38.2066
4.870000 70.501 -38.7515
4.940000 70.707 -39.5321
5.000000 70.880 -40.2169
5.080000 71.102 -41.1510
5.150000 71.286 -41.9885
5.220000 71.462 -42.8628
5.300000 71.654 -43.8931
5.380000 71.836 -44.9293
5.450000 71.987 -45.8181
5.520000 72.130 -46.6738
5.600000 72.281 -47.6384
5.700000 72.455 -48.8184
5.800000 72.617 -49.9435
5.900000 72.769 -50.9899
6.000000 72.906 -51.9739
6.080000 73.009 -52.7126
6.150000 73.096 -53.3173
6.220000 73.183 -53.8774
6.300000 73.282 -54.4561
6.400000 73.401 -55.0950
6.500000 73.520 -55.6631
6.600000 73.646 -56.1846
6.700000 73.777 -56.6426
6.800000 73.913 -57.0414
6.900000 74.054 -57.4198
7.000000 74.203 -57.8090
7.100000 74.360 -58.1821
7.200000 74.523 -58.5543
7.300000 74.688 -58.9543
7.400000 74.855 -59.3978
7.500000 75.027 -59.8692
7.620000 75.233 -60.4751
7.750000 75.450 -61.1896
7.880000 75.662 -61.9719
8.000000 75.852 -62.7262
8.120000 76.031 -63.4901
8.250000 76.215 -64.3472
8.380000 76.389 -65.1982
8.500000 76.540 -65.9517
8.620000 76.682 -66.6896
8.750000 76.828 -67.4486
8.850000 76.937 -67.9894
9.000000 77.094 -68.7412
9.120000 77.216 -69.2927
9.250000 77.349 -69.8359
9.380000 77.482 -70.3232
9.500000 77.605 -70.7416
9.620000 77.732 -71.1348
9.750000 77.871 -71.5273
9.880000 78.013 -71.9098
10.000000 78.147 -72.2612
10.150000 78.316 -72.6924
10.300000 78.486 -73.1341
10.440000 78.644 -73.5576
10.600000 78.823 -74.0494
10.750000 78.987 -74.5190
10.900000 79.148 -74.9942
11.060000 79.315 -75.4934
11.200000 79.458 -75.9254
11.380000 79.638 -76.4683
11.500000 79.756 -76.8182
11.720000 79.970 -77.4496
11.800000 80.047 -77.6779
12.060000 80.296 -78.4224
12.200000 80.428 -78.8450
12.410000 80.623 -79.5084
12.500000 80.704 -79.8111
12.650000 80.835 -80.3405
12.800000 80.958 -80.8912
13.150000 81.209 -82.2449
13.200000 81.241 -82.4343
13.400000 81.352 -83.1900
13.600000 81.447 -83.8765
13.800000 81.525 -84.4717
14.000000 81.597 -84.9448
14.300000 81.701 -85.4236
14.500000 81.781 -85.6044
14.750000 81.899 -85.7654
15.000000 82.041 -85.9070
15.250000 82.203 -86.1396
15.500000 82.373 -86.4996
15.750000 82.543 -86.9973
16.000000 82.703 -87.6093
16.250000 82.851 -88.2731
16.500000 82.988 -88.9585
16.750000 83.118 -89.6278
17.000000 83.249 -90.2950
17.250000 83.381 -90.9812
17.500000 83.515 -91.7195
17.750000 83.642 -92.5344
18.000000 83.758 -93.4072
18.250000 83.856 -94.3163
18.500000 83.934 -95.1777
18.750000 83.996 -95.9388
19.000000 84.047 -96.5509
19.250000 84.104 -96.9902
19.500000 84.175 -97.3022
19.750000 84.267 -97.5270
20.000000 84.381 -97.7650
20.299999 84.538 -98.1514
20.600000 84.700 -98.6960
20.900000 84.851 -99.3877
21.200001 84.975 -100.1452
21.400000 85.044 -100.6215
21.799999 85.156 -101.4177
22.000000 85.207 -101.7113
22.400000 85.320 -102.1071
22.700001 85.423 -102.3211
23.000000 85.542 -102.5659
23.299999 85.668 -102.9052
23.600000 85.789 -103.3529
24.000000 85.928 -104.0753
24.299999 86.010 -104.6313
24.700001 86.093 -105.2780
25.000000 86.146 -105.6421
25.400000 86.224 -105.9708
25.799999 86.325 -106.2138
26.200001 86.449 -106.5046
26.500000 86.550 -106.8116
26.900000 86.683 -107.3525
27.200001 86.775 -107.8275
27.600000 86.884 -108.4912
28.000000 86.982 -109.1283
28.500000 87.097 -109.8508
29.000000 87.212 -110.5009
29.500000 87.330 -111.0862
30.000000 87.455 -111.6171
30.400000 87.564 -112.0437
30.700001 87.649 -112.3981
31.100000 87.756 -112.9394
31.500000 87.846 -113.5247
32.000000 87.927 -114.1641
32.500000 87.996 -114.5226
33.000000 88.098 -114.6350
33.500000 88.257 -114.8055
34.000000 88.441 -115.3757
34.500000 88.591 -116.3851
35.000000 88.669 -117.5396
35.500000 88.690 -118.4510
36.000000 88.709 -118.9830
36.500000 88.765 -119.3171
37.000000 88.858 -119.7458
37.500000 88.957 -120.3766
38.200001 89.064 -121.3530
38.700001 89.133 -121.9305
39.500000 89.273 -122.7742
40.000000 89.364 -123.3821
40.599998 89.454 -124.0929
41.200001 89.537 -124.6001
41.799999 89.644 -124.9829
42.500000 89.789 -125.5748
43.099998 89.888 -126.2043
43.700001 89.961 -126.7192
44.400002 90.056 -127.1566
45.000000 90.150 -127.6383
45.500000 90.213 -128.1855
46.200001 90.258 -128.9583
46.799999 90.283 -129.4786
47.500000 90.319 -130.1315
48.200001 90.317 -130.9276
48.700001 90.276 -131.2855
49.400002 90.249 -131.1129
50.000000 90.351 -130.7557
50.799999 90.611 -131.2659
51.500000 90.765 -132.7250
52.200001 90.793 -134.0995
53.000000 90.802 -134.8812
53.799999 90.891 -135.3618
54.500000 90.996 -136.0037
55.200001 91.074 -136.7683
56.000000 91.131 -137.4685
57.000000 91.214 -138.1000
58.000000 91.288 -138.8268
59.000000 91.334 -139.3958
60.000000 91.402 -140.0168
60.799999 91.429 -140.7169
61.500000 91.429 -141.2164
62.200001 91.442 -141.5810
63.000000 91.486 -142.0596
64.000000 91.550 -142.8293
65.000000 91.613 -143.6547
66.000000 91.675 -144.3721
67.000000 91.764 -145.0249
68.000000 91.836 -145.8204
69.000000 91.867 -146.3854
70.000000 91.902 -146.7493
71.000000 91.927 -147.0074
72.000000 91.996 -147.1331
73.000000 92.103 -147.8347
74.000000 92.133 -148.9838
75.000000 92.115 -149.8947
76.199997 92.114 -150.7260
77.500000 92.144 -151.4815
78.800003 92.195 -152.1943
80.000000 92.239 -152.7907
81.199997 92.281 -153.4172
82.500000 92.304 -154.1605
83.800003 92.321 -154.8704
85.000000 92.346 -155.5812
86.199997 92.369 -156.3180
87.500000 92.396 -157.0072
88.500000 92.420 -157.4892
90.000000 92.443 -158.1908
91.199997 92.448 -158.7001
92.500000 92.454 -159.2390
93.800003 92.464 -159.8738
95.000000 92.470 -160.5138
96.199997 92.475 -161.1407
97.500000 92.478 -161.7360
98.800003 92.482 -162.2432
100.000000 92.490 -162.6230
101.500000 92.515 -163.1946
103.000000 92.521 -163.8903
104.400002 92.519 -164.4775
106.000000 92.530 -165.1215
107.500000 92.537 -165.7732
109.000000 92.529 -166.3686
110.599998 92.522 -166.9441
112.000000 92.520 -167.4616
113.800003 92.519 -168.1476
115.000000 92.515 -168.5981
117.199997 92.508 -169.3259
118.000000 92.506 -169.5835
120.599998 92.486 -170.4485
122.000000 92.471 -170.8903
124.099998 92.453 -171.5414
125.000000 92.448 -171.8431
126.500000 92.438 -172.3768
128.000000 92.424 -172.8899
131.500000 92.398 -173.9343
132.000000 92.392 -174.0730
134.000000 92.352 -174.5701
136.000000 92.310 -175.0559
138.000000 92.273 -175.6648
140.000000 92.247 -176.2809
143.000000 92.225 -177.0193
145.000000 92.196 -177.5146
147.500000 92.117 -178.2886
150.000000 92.033 -178.9592
152.500000 92.010 -179.4347
155.000000 91.993 -179.9366
157.500000 91.945 179.5775
160.000000 91.885 179.0688
162.500000 91.827 178.5878
165.000000 91.772 178.1614
167.500000 91.721 177.7039
170.000000 91.668 177.2090
172.500000 91.611 176.7523
175.000000 91.549 176.3246
177.500000 91.482 175.8998
180.000000 91.414 175.4907
182.500000 91.341 175.1132
185.000000 91.262 174.7706
187.500000 91.177 174.4348
190.000000 91.083 174.1181
192.500000 90.984 173.8906
195.000000 90.878 173.7993
197.500000 90.758 173.8463
200.000000 90.628 173.9920
203.000000 90.472 174.3314
206.000000 90.343 175.0966
209.000000 90.281 176.3364
212.000000 90.322 177.6677
214.000000 90.414 178.3552
218.000000 90.690 178.8501
220.000000 90.823 178.6523
224.000000 91.007 177.5728
227.000000 91.071 176.5632
230.000000 91.092 175.6397
233.000000 91.067 174.7607
236.000000 91.006 173.9705
240.000000 90.918 173.1185
243.000000 90.856 172.6146
247.000000 90.775 172.1022
250.000000 90.712 171.7707
254.000000 90.621 171.2659
258.000000 90.532 170.8462
262.000000 90.448 170.5400
265.000000 90.384 170.3174
269.000000 90.298 170.0359
