* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/08/2022 9:04:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: E3000 Modded R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.959 27.5727
1.015000 41.107 29.1554
1.030000 41.306 30.7285
1.044000 41.534 32.2081
1.060000 41.842 33.9050
1.075000 42.172 35.4943
1.090000 42.537 37.0748
1.106000 42.962 38.7428
1.120000 43.359 40.1807
1.138000 43.900 41.9900
1.150000 44.275 43.1661
1.172000 44.989 45.2457
1.180000 45.254 45.9738
1.206000 46.127 48.2196
1.220000 46.600 49.3430
1.241000 47.302 50.8995
1.250000 47.598 51.5151
1.265000 48.082 52.4671
1.280000 48.551 53.3200
1.315000 49.562 54.8857
1.320000 49.695 55.0569
1.340000 50.192 55.6004
1.360000 50.638 55.8919
1.380000 51.064 55.8998
1.400000 51.474 55.6493
1.430000 52.060 54.8501
1.450000 52.432 54.0758
1.475000 52.881 52.8854
1.500000 53.311 51.4986
1.525000 53.726 49.9700
1.550000 54.127 48.3542
1.575000 54.517 46.7058
1.600000 54.898 45.0793
1.625000 55.272 43.5295
1.650000 55.641 42.1107
1.675000 56.007 40.8777
1.700000 56.369 39.8253
1.725000 56.718 38.8112
1.750000 57.056 37.8216
1.775000 57.383 36.8517
1.800000 57.699 35.8968
1.825000 58.006 34.9522
1.850000 58.305 34.0131
1.875000 58.595 33.0749
1.900000 58.879 32.1329
1.925000 59.157 31.1823
1.950000 59.429 30.2184
1.975000 59.697 29.2366
2.000000 59.961 28.2320
2.030000 60.274 26.9905
2.060000 60.578 25.7125
2.090000 60.871 24.4052
2.120000 61.155 23.0749
2.140000 61.340 22.1785
2.180000 61.698 20.3715
2.200000 61.872 19.4646
2.240000 62.211 17.6538
2.270000 62.458 16.3058
2.300000 62.701 14.9735
2.330000 62.939 13.6635
2.360000 63.173 12.3817
2.400000 63.476 10.6875
2.430000 63.695 9.4197
2.470000 63.977 7.7393
2.500000 64.182 6.4905
2.540000 64.448 4.8470
2.580000 64.705 3.2350
2.620000 64.954 1.6622
2.650000 65.137 0.5129
2.690000 65.376 -0.9731
2.720000 65.551 -2.0489
2.760000 65.777 -3.4341
2.800000 65.994 -4.7708
2.850000 66.255 -6.3867
2.900000 66.506 -7.9570
2.950000 66.749 -9.4984
3.000000 66.985 -11.0278
3.040000 67.171 -12.2538
3.070000 67.306 -13.1786
3.110000 67.480 -14.4127
3.150000 67.650 -15.6391
3.200000 67.854 -17.1465
3.250000 68.053 -18.6077
3.300000 68.248 -20.0037
3.350000 68.440 -21.3157
3.400000 68.629 -22.5258
3.450000 68.813 -23.6381
3.500000 68.991 -24.6733
3.550000 69.166 -25.6520
3.600000 69.339 -26.5954
3.650000 69.510 -27.5242
3.700000 69.682 -28.4594
3.750000 69.852 -29.3992
3.820000 70.088 -30.6893
3.870000 70.255 -31.5878
3.950000 70.521 -32.9758
4.000000 70.686 -33.8069
4.060000 70.886 -34.7596
4.120000 71.086 -35.6468
4.180000 71.286 -36.4840
4.250000 71.518 -37.4278
4.310000 71.716 -38.2344
4.370000 71.912 -39.0628
4.440000 72.140 -40.0586
4.500000 72.335 -40.9183
4.550000 72.496 -41.6372
4.620000 72.718 -42.6443
4.680000 72.903 -43.5057
4.750000 73.114 -44.5068
4.820000 73.321 -45.5093
4.870000 73.465 -46.2247
4.940000 73.662 -47.2228
5.000000 73.825 -48.0724
5.080000 74.031 -49.1958
5.150000 74.204 -50.1825
5.220000 74.368 -51.1638
5.300000 74.547 -52.2609
5.380000 74.716 -53.3120
5.450000 74.855 -54.1978
5.520000 74.984 -55.0630
5.600000 75.124 -56.0090
5.700000 75.290 -57.0978
5.800000 75.445 -58.0633
5.900000 75.588 -58.9234
6.000000 75.727 -59.6792
6.080000 75.840 -60.2079
6.150000 75.938 -60.6054
6.220000 76.035 -60.9489
6.300000 76.148 -61.2903
6.400000 76.299 -61.6660
6.500000 76.460 -61.9588
6.600000 76.629 -62.1829
6.700000 76.808 -62.4067
6.800000 76.998 -62.6646
6.900000 77.200 -62.9200
7.000000 77.408 -63.2137
7.100000 77.617 -63.5882
7.200000 77.831 -64.0316
7.300000 78.046 -64.5394
7.400000 78.254 -65.1179
7.500000 78.454 -65.7812
7.620000 78.685 -66.6730
7.750000 78.916 -67.6961
7.880000 79.122 -68.7891
8.000000 79.292 -69.8308
8.120000 79.443 -70.8321
8.250000 79.581 -71.8984
8.380000 79.701 -72.8963
8.500000 79.798 -73.7113
8.620000 79.880 -74.4434
8.750000 79.966 -75.1259
8.850000 80.030 -75.5578
9.000000 80.124 -76.0788
9.120000 80.208 -76.4275
9.250000 80.307 -76.7167
9.380000 80.415 -76.9678
9.500000 80.526 -77.2151
9.620000 80.647 -77.4551
9.750000 80.784 -77.7596
9.880000 80.926 -78.1381
10.000000 81.060 -78.5387
10.150000 81.222 -79.1201
10.300000 81.378 -79.7991
10.440000 81.513 -80.4765
10.600000 81.651 -81.2994
10.750000 81.768 -82.0817
10.900000 81.872 -82.8338
11.060000 81.970 -83.6048
11.200000 82.051 -84.2192
11.380000 82.147 -84.9380
11.500000 82.212 -85.3773
11.720000 82.334 -86.1003
11.800000 82.380 -86.3552
12.060000 82.538 -87.1523
12.200000 82.625 -87.5939
12.410000 82.756 -88.2735
12.500000 82.811 -88.5695
12.650000 82.899 -89.0740
12.800000 82.983 -89.5623
13.150000 83.165 -90.5921
13.200000 83.191 -90.7167
13.400000 83.292 -91.1612
13.600000 83.406 -91.5145
13.800000 83.533 -91.8085
14.000000 83.681 -92.0864
14.300000 83.935 -92.6241
14.500000 84.117 -93.1226
14.750000 84.346 -93.9604
15.000000 84.554 -95.0054
15.250000 84.728 -96.1640
15.500000 84.863 -97.3338
15.750000 84.962 -98.3813
16.000000 85.041 -99.2023
16.250000 85.116 -99.7861
16.500000 85.204 -100.1567
16.750000 85.319 -100.4035
17.000000 85.463 -100.6664
17.250000 85.625 -101.0288
17.500000 85.795 -101.5492
17.750000 85.954 -102.2383
18.000000 86.092 -103.0275
18.250000 86.205 -103.8454
18.500000 86.294 -104.6197
18.750000 86.367 -105.2798
19.000000 86.436 -105.8161
19.250000 86.509 -106.2519
19.500000 86.592 -106.6268
19.750000 86.686 -107.0115
20.000000 86.786 -107.4514
20.299999 86.904 -108.0730
20.600000 87.010 -108.7781
20.900000 87.096 -109.4998
21.200001 87.165 -110.1572
21.400000 87.207 -110.5279
21.799999 87.295 -111.1085
22.000000 87.348 -111.3432
22.400000 87.479 -111.7947
22.700001 87.594 -112.2062
23.000000 87.715 -112.7223
23.299999 87.834 -113.3423
23.600000 87.942 -114.0347
24.000000 88.066 -114.9912
24.299999 88.148 -115.6853
24.700001 88.246 -116.5425
25.000000 88.316 -117.1304
25.400000 88.409 -117.8476
25.799999 88.504 -118.5031
26.200001 88.604 -119.1203
26.500000 88.682 -119.5787
26.900000 88.787 -120.2108
27.200001 88.863 -120.7078
27.600000 88.956 -121.3825
28.000000 89.037 -122.0290
28.500000 89.130 -122.7395
29.000000 89.227 -123.3560
29.500000 89.335 -123.9654
30.000000 89.444 -124.6390
30.400000 89.527 -125.2203
30.700001 89.585 -125.6655
31.100000 89.659 -126.2581
31.500000 89.732 -126.8510
32.000000 89.820 -127.6085
32.500000 89.904 -128.3892
33.000000 89.980 -129.1686
33.500000 90.051 -129.9156
34.000000 90.122 -130.6201
34.500000 90.195 -131.2988
35.000000 90.268 -131.9743
35.500000 90.337 -132.6399
36.000000 90.401 -133.2545
36.500000 90.468 -133.7968
37.000000 90.545 -134.3226
37.500000 90.624 -134.9213
38.200001 90.704 -135.8446
38.700001 90.738 -136.3721
39.500000 90.821 -136.8667
40.000000 90.915 -137.2538
40.599998 91.027 -138.0743
41.200001 91.091 -139.0880
41.799999 91.117 -139.9511
42.500000 91.159 -140.7245
43.099998 91.215 -141.4069
43.700001 91.272 -142.1682
44.400002 91.331 -143.0603
45.000000 91.379 -143.7917
45.500000 91.417 -144.3575
46.200001 91.477 -145.0601
46.799999 91.538 -145.6431
47.500000 91.606 -146.3635
48.200001 91.663 -146.9975
48.700001 91.713 -147.3778
49.400002 91.803 -148.0457
50.000000 91.862 -148.8629
50.799999 91.870 -149.9526
51.500000 91.851 -150.5555
52.200001 91.863 -150.9810
53.000000 91.905 -151.6021
53.799999 91.940 -152.3554
54.500000 91.966 -153.0171
55.200001 91.992 -153.6816
56.000000 92.019 -154.4369
57.000000 92.051 -155.2992
58.000000 92.095 -156.1014
59.000000 92.143 -156.9531
60.000000 92.176 -157.8586
60.799999 92.184 -158.5095
61.500000 92.193 -158.9641
62.200001 92.218 -159.3808
63.000000 92.261 -159.9582
64.000000 92.301 -160.8502
65.000000 92.317 -161.7147
66.000000 92.331 -162.4885
67.000000 92.347 -163.2524
68.000000 92.358 -164.0060
69.000000 92.366 -164.7263
70.000000 92.375 -165.4240
71.000000 92.384 -166.1162
72.000000 92.394 -166.8111
73.000000 92.403 -167.5008
74.000000 92.410 -168.1874
75.000000 92.415 -168.8670
76.199997 92.416 -169.6465
77.500000 92.417 -170.4610
78.800003 92.415 -171.2615
80.000000 92.414 -171.9832
81.199997 92.412 -172.6939
82.500000 92.409 -173.4455
83.800003 92.404 -174.1916
85.000000 92.393 -174.8565
86.199997 92.379 -175.5122
87.500000 92.360 -176.2300
88.500000 92.345 -176.7925
90.000000 92.325 -177.6527
91.199997 92.311 -178.3375
92.500000 92.299 -179.0331
93.800003 92.291 -179.6727
95.000000 92.283 179.7752
96.199997 92.271 179.2576
97.500000 92.258 178.6979
98.800003 92.242 178.0627
100.000000 92.213 177.3931
101.500000 92.157 176.6575
103.000000 92.116 176.0478
104.400002 92.089 175.4787
106.000000 92.060 174.8282
107.500000 92.026 174.2302
109.000000 91.988 173.6536
110.599998 91.947 173.0409
112.000000 91.913 172.4952
113.800003 91.868 171.7989
115.000000 91.838 171.3467
117.199997 91.781 170.5700
118.000000 91.761 170.2943
120.599998 91.693 169.4027
122.000000 91.655 168.9357
124.099998 91.599 168.2427
125.000000 91.574 167.9454
126.500000 91.531 167.4486
128.000000 91.487 166.9559
131.500000 91.379 165.8433
132.000000 91.364 165.6870
134.000000 91.301 165.0688
136.000000 91.235 164.4649
138.000000 91.165 163.8874
140.000000 91.090 163.3356
143.000000 90.974 162.5432
145.000000 90.897 162.0253
147.500000 90.794 161.4242
150.000000 90.685 160.8678
152.500000 90.562 160.2867
155.000000 90.425 159.7614
157.500000 90.281 159.3359
160.000000 90.126 159.0412
162.500000 89.959 158.9119
165.000000 89.784 158.9955
167.500000 89.609 159.3802
170.000000 89.454 160.1342
172.500000 89.344 161.2375
175.000000 89.309 162.6082
177.500000 89.381 164.0144
180.000000 89.561 165.0630
182.500000 89.804 165.3980
185.000000 90.040 164.9331
187.500000 90.218 163.8736
190.000000 90.322 162.5464
192.500000 90.361 161.2082
195.000000 90.351 159.9651
197.500000 90.306 158.8443
200.000000 90.243 157.8693
203.000000 90.163 156.8806
206.000000 90.078 156.0303
209.000000 89.986 155.2881
212.000000 89.892 154.6272
214.000000 89.830 154.2236
218.000000 89.705 153.4922
220.000000 89.644 153.1592
224.000000 89.523 152.5436
227.000000 89.434 152.1188
230.000000 89.345 151.7292
233.000000 89.258 151.3704
236.000000 89.172 151.0307
240.000000 89.059 150.6019
243.000000 88.975 150.3092
247.000000 88.861 149.9372
250.000000 88.778 149.6692
254.000000 88.676 149.3466
258.000000 88.575 149.0519
262.000000 88.472 148.7687
265.000000 88.395 148.5668
269.000000 88.294 148.3206
272.000000 88.220 148.1462
276.000000 88.122 147.9190
280.000000 88.025 147.7081
285.000000 87.903 147.4771
290.000000 87.782 147.2614
295.000000 87.660 147.0558
300.000000 87.538 146.8612
304.000000 87.452 146.7317
307.000000 87.389 146.6459
