* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.8 dBFS, measurement signal peak level -26.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:54:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0412 ms (-14 mm, -0.56 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: EA1000 Black L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.242 135.2925
1.015000 41.254 134.4368
1.030000 41.268 133.5930
1.044000 41.284 132.8181
1.060000 41.304 131.9497
1.075000 41.326 131.1547
1.090000 41.351 130.3804
1.106000 41.380 129.5786
1.120000 41.408 128.8916
1.138000 41.446 128.0253
1.150000 41.473 127.4574
1.172000 41.525 126.4345
1.180000 41.545 126.0679
1.206000 41.613 124.8932
1.220000 41.653 124.2700
1.241000 41.714 123.3451
1.250000 41.742 122.9517
1.265000 41.789 122.2993
1.280000 41.838 121.6499
1.315000 41.959 120.1405
1.320000 41.977 119.9250
1.340000 42.051 119.0616
1.360000 42.129 118.1942
1.380000 42.210 117.3203
1.400000 42.294 116.4374
1.430000 42.425 115.0906
1.450000 42.517 114.1742
1.475000 42.636 113.0036
1.500000 42.761 111.8066
1.525000 42.893 110.5877
1.550000 43.031 109.3513
1.575000 43.174 108.1016
1.600000 43.323 106.8431
1.625000 43.476 105.5801
1.650000 43.633 104.3169
1.675000 43.795 103.0579
1.700000 43.959 101.8074
1.725000 44.127 100.5699
1.750000 44.297 99.3496
1.775000 44.469 98.1508
1.800000 44.643 96.9780
1.825000 44.818 95.8355
1.850000 44.995 94.7230
1.875000 45.177 93.6309
1.900000 45.363 92.5574
1.925000 45.553 91.5011
1.950000 45.747 90.4608
1.975000 45.943 89.4351
2.000000 46.142 88.4227
2.030000 46.383 87.2235
2.060000 46.625 86.0392
2.090000 46.869 84.8676
2.120000 47.112 83.7063
2.140000 47.273 82.9366
2.180000 47.594 81.4054
2.200000 47.752 80.6424
2.240000 48.070 79.1284
2.270000 48.311 78.0059
2.300000 48.552 76.8946
2.330000 48.794 75.7947
2.360000 49.036 74.7063
2.400000 49.358 73.2732
2.430000 49.599 72.2121
2.470000 49.917 70.8159
2.500000 50.154 69.7828
2.540000 50.465 68.4244
2.580000 50.772 67.0879
2.620000 51.075 65.7731
2.650000 51.301 64.8012
2.690000 51.601 63.5240
2.720000 51.823 62.5800
2.760000 52.117 61.3399
2.800000 52.408 60.1208
2.850000 52.766 58.6261
2.900000 53.118 57.1636
2.950000 53.463 55.7339
3.000000 53.802 54.3429
3.040000 54.069 53.2567
3.070000 54.266 52.4561
3.110000 54.526 51.4060
3.150000 54.783 50.3736
3.200000 55.098 49.1051
3.250000 55.409 47.8570
3.300000 55.714 46.6256
3.350000 56.014 45.4118
3.400000 56.308 44.2192
3.450000 56.596 43.0489
3.500000 56.879 41.9019
3.550000 57.157 40.7794
3.600000 57.431 39.6824
3.650000 57.702 38.6122
3.700000 57.969 37.5718
3.750000 58.231 36.5641
3.820000 58.590 35.2002
3.870000 58.841 34.2532
3.950000 59.237 32.7728
4.000000 59.481 31.8621
4.060000 59.769 30.7792
4.120000 60.053 29.7168
4.180000 60.332 28.6756
4.250000 60.652 27.4861
4.310000 60.922 26.4865
4.370000 61.188 25.5042
4.440000 61.495 24.3815
4.500000 61.754 23.4444
4.550000 61.967 22.6785
4.620000 62.260 21.6236
4.680000 62.508 20.7306
4.750000 62.794 19.6954
4.820000 63.075 18.6662
4.870000 63.273 17.9387
4.940000 63.546 16.9303
5.000000 63.777 16.0749
5.080000 64.079 14.9461
5.150000 64.339 13.9687
5.220000 64.595 13.0020
5.300000 64.881 11.9103
5.380000 65.163 10.8312
5.450000 65.404 9.8964
5.520000 65.641 8.9695
5.600000 65.907 7.9205
5.700000 66.232 6.6254
5.800000 66.549 5.3488
5.900000 66.859 4.0915
6.000000 67.160 2.8529
6.080000 67.396 1.8757
6.150000 67.599 1.0306
6.220000 67.799 0.1951
6.300000 68.024 -0.7475
6.400000 68.299 -1.9076
6.500000 68.568 -3.0495
6.600000 68.831 -4.1755
6.700000 69.089 -5.2853
6.800000 69.341 -6.3784
6.900000 69.588 -7.4554
7.000000 69.830 -8.5166
7.100000 70.067 -9.5617
7.200000 70.299 -10.5909
7.300000 70.527 -11.6049
7.400000 70.750 -12.6043
7.500000 70.969 -13.5887
7.620000 71.226 -14.7494
7.750000 71.499 -15.9799
7.880000 71.765 -17.1823
8.000000 72.006 -18.2690
8.120000 72.243 -19.3340
8.250000 72.495 -20.4616
8.380000 72.743 -21.5678
8.500000 72.969 -22.5733
8.620000 73.193 -23.5606
8.750000 73.432 -24.6188
8.850000 73.614 -25.4293
9.000000 73.885 -26.6336
9.120000 74.098 -27.5945
9.250000 74.325 -28.6388
9.380000 74.549 -29.6834
9.500000 74.751 -30.6489
9.620000 74.949 -31.6174
9.750000 75.159 -32.6691
9.880000 75.363 -33.7168
10.000000 75.546 -34.6800
10.150000 75.767 -35.8780
10.300000 75.981 -37.0550
10.440000 76.173 -38.1358
10.600000 76.386 -39.3441
10.750000 76.580 -40.4435
10.900000 76.768 -41.5138
11.060000 76.965 -42.6245
11.200000 77.134 -43.5681
11.380000 77.348 -44.7578
11.500000 77.489 -45.5366
11.720000 77.744 -46.9465
11.800000 77.836 -47.4582
12.060000 78.127 -49.1136
12.200000 78.279 -50.0071
12.410000 78.500 -51.3459
12.500000 78.591 -51.9155
12.650000 78.738 -52.8628
12.800000 78.879 -53.7960
13.150000 79.189 -55.8937
13.200000 79.231 -56.1815
13.400000 79.396 -57.3004
13.600000 79.558 -58.3711
13.800000 79.717 -59.3911
14.000000 79.877 -60.3814
14.300000 80.118 -61.8271
14.500000 80.280 -62.7906
14.750000 80.481 -64.0134
15.000000 80.678 -65.2645
15.250000 80.868 -66.5439
15.500000 81.049 -67.8353
15.750000 81.220 -69.1277
16.000000 81.383 -70.4035
16.250000 81.538 -71.6564
16.500000 81.688 -72.8859
16.750000 81.834 -74.0949
17.000000 81.977 -75.2903
17.250000 82.114 -76.4730
17.500000 82.248 -77.6438
17.750000 82.376 -78.7954
18.000000 82.500 -79.9234
18.250000 82.621 -81.0229
18.500000 82.740 -82.0942
18.750000 82.858 -83.1428
19.000000 82.975 -84.1741
19.250000 83.091 -85.1976
19.500000 83.204 -86.2138
19.750000 83.315 -87.2226
20.000000 83.420 -88.2164
20.299999 83.542 -89.3777
20.600000 83.659 -90.4970
20.900000 83.774 -91.5730
21.200001 83.888 -92.6151
21.400000 83.963 -93.2999
21.799999 84.110 -94.6553
22.000000 84.181 -95.3271
22.400000 84.314 -96.6488
22.700001 84.407 -97.6050
23.000000 84.497 -98.5206
23.299999 84.585 -99.4014
23.600000 84.673 -100.2627
24.000000 84.791 -101.4095
24.299999 84.876 -102.2830
24.700001 84.981 -103.4600
25.000000 85.053 -104.3339
25.400000 85.143 -105.4646
25.799999 85.232 -106.5576
26.200001 85.323 -107.6507
26.500000 85.392 -108.5000
26.900000 85.478 -109.6891
27.200001 85.534 -110.6104
27.600000 85.592 -111.8319
28.000000 85.635 -112.9777
28.500000 85.683 -114.2429
29.000000 85.745 -115.3659
29.500000 85.826 -116.4755
30.000000 85.913 -117.6759
30.400000 85.973 -118.6883
30.700001 86.009 -119.4387
31.100000 86.049 -120.3691
31.500000 86.088 -121.1947
32.000000 86.151 -122.1284
32.500000 86.232 -123.0866
33.000000 86.316 -124.1702
33.500000 86.381 -125.3414
34.000000 86.423 -126.4728
34.500000 86.455 -127.4796
35.000000 86.492 -128.3875
35.500000 86.538 -129.2812
36.000000 86.583 -130.2066
36.500000 86.622 -131.1413
37.000000 86.653 -132.0352
37.500000 86.683 -132.8654
38.200001 86.731 -133.9498
38.700001 86.773 -134.7148
39.500000 86.841 -136.0082
40.000000 86.875 -136.8559
40.599998 86.900 -137.8426
41.200001 86.919 -138.7299
41.799999 86.942 -139.5510
42.500000 86.976 -140.5374
43.099998 86.997 -141.4153
43.700001 87.011 -142.2525
44.400002 87.030 -143.1682
45.000000 87.052 -143.9635
45.500000 87.068 -144.6466
46.200001 87.084 -145.5793
46.799999 87.097 -146.3164
47.500000 87.119 -147.1208
48.200001 87.152 -147.9327
48.700001 87.177 -148.5606
49.400002 87.200 -149.5102
50.000000 87.200 -150.3048
50.799999 87.183 -151.2008
51.500000 87.174 -151.8620
52.200001 87.172 -152.4908
53.000000 87.177 -153.1976
53.799999 87.190 -153.9667
54.500000 87.194 -154.7259
55.200001 87.182 -155.4493
56.000000 87.170 -156.1396
57.000000 87.180 -157.0238
58.000000 87.173 -158.0244
59.000000 87.146 -158.8415
60.000000 87.142 -159.5097
60.799999 87.154 -160.1519
61.500000 87.153 -160.8123
62.200001 87.134 -161.4514
63.000000 87.105 -162.0374
64.000000 87.094 -162.6487
65.000000 87.104 -163.3964
66.000000 87.096 -164.2672
67.000000 87.064 -165.0273
68.000000 87.038 -165.6252
69.000000 87.026 -166.2060
70.000000 87.015 -166.8386
71.000000 86.996 -167.4913
72.000000 86.971 -168.1251
73.000000 86.945 -168.7301
74.000000 86.919 -169.3069
75.000000 86.897 -169.8615
76.199997 86.875 -170.5299
77.500000 86.848 -171.2520
78.800003 86.815 -171.9431
80.000000 86.785 -172.5421
81.199997 86.755 -173.1446
82.500000 86.719 -173.7943
83.800003 86.682 -174.4063
85.000000 86.650 -174.9495
86.199997 86.617 -175.4720
87.500000 86.582 -176.0082
88.500000 86.555 -176.4062
90.000000 86.514 -176.9899
91.199997 86.480 -177.4549
92.500000 86.442 -177.9550
93.800003 86.403 -178.4412
95.000000 86.368 -178.8743
96.199997 86.334 -179.2897
97.500000 86.296 -179.7169
98.800003 86.257 179.8763
100.000000 86.222 179.4989
101.500000 86.173 179.0255
103.000000 86.124 178.5764
104.400002 86.079 178.1721
106.000000 86.026 177.7243
107.500000 85.975 177.3049
109.000000 85.921 176.8727
110.599998 85.866 176.3925
112.000000 85.824 175.9640
113.800003 85.781 175.4441
115.000000 85.757 175.1461
117.199997 85.708 174.7281
118.000000 85.685 174.6079
120.599998 85.596 174.1952
122.000000 85.542 173.9150
124.099998 85.470 173.4412
125.000000 85.444 173.2386
126.500000 85.402 172.9366
128.000000 85.362 172.6855
131.500000 85.257 172.1799
132.000000 85.242 172.1048
134.000000 85.179 171.7885
136.000000 85.119 171.4733
138.000000 85.061 171.1843
140.000000 85.003 170.9292
143.000000 84.913 170.5715
145.000000 84.851 170.3077
147.500000 84.770 169.9199
150.000000 84.686 169.5961
152.500000 84.625 169.4565
155.000000 84.571 169.3041
157.500000 84.503 169.1318
160.000000 84.431 168.9382
162.500000 84.364 168.7414
165.000000 84.299 168.5669
167.500000 84.232 168.4083
170.000000 84.164 168.2682
172.500000 84.098 168.1509
175.000000 84.033 168.0417
177.500000 83.968 167.9370
180.000000 83.905 167.8372
182.500000 83.843 167.7473
185.000000 83.780 167.6737
187.500000 83.718 167.6155
190.000000 83.659 167.5640
192.500000 83.601 167.5197
195.000000 83.542 167.4924
197.500000 83.482 167.4731
200.000000 83.424 167.4409
203.000000 83.355 167.4157
206.000000 83.287 167.4151
209.000000 83.219 167.4258
212.000000 83.154 167.4431
214.000000 83.111 167.4600
218.000000 83.026 167.5178
220.000000 82.985 167.5555
224.000000 82.903 167.6398
227.000000 82.844 167.7057
230.000000 82.786 167.7809
233.000000 82.728 167.8704
236.000000 82.672 167.9656
240.000000 82.601 168.1084
243.000000 82.549 168.2148
247.000000 82.485 168.3213
250.000000 82.438 168.4107
254.000000 82.370 168.6151
258.000000 82.305 168.8235
262.000000 82.246 169.0114
265.000000 82.205 169.1565
269.000000 82.153 169.3475
272.000000 82.115 169.4790
276.000000 82.061 169.6274
280.000000 82.006 169.7720
285.000000 81.939 169.9664
290.000000 81.875 170.1585
295.000000 81.813 170.3580
300.000000 81.750 170.5698
304.000000 81.697 170.7468
307.000000 81.657 170.8837
311.000000 81.604 171.0687
