* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.1 dBFS, measurement signal peak level -25.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:55:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0369 ms (-13 mm, -0.5 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: EA1000 Black R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 39.450 129.8025
1.015000 39.455 128.8810
1.030000 39.459 127.9758
1.044000 39.462 127.1482
1.060000 39.465 126.2255
1.075000 39.467 125.3856
1.090000 39.468 124.5728
1.106000 39.483 123.7373
1.120000 39.511 123.0258
1.138000 39.550 122.1343
1.150000 39.578 121.5534
1.172000 39.632 120.5139
1.180000 39.653 120.1434
1.206000 39.725 118.9641
1.220000 39.766 118.3431
1.241000 39.831 117.4270
1.250000 39.860 117.0393
1.265000 39.910 116.3987
1.280000 39.962 115.7640
1.315000 40.090 114.2984
1.320000 40.110 114.0901
1.340000 40.189 113.2578
1.360000 40.271 112.4245
1.380000 40.356 111.5871
1.400000 40.445 110.7427
1.430000 40.584 109.4563
1.450000 40.680 108.5811
1.475000 40.806 107.4628
1.500000 40.938 106.3235
1.525000 41.077 105.1685
1.550000 41.222 104.0017
1.575000 41.373 102.8269
1.600000 41.529 101.6481
1.625000 41.691 100.4692
1.650000 41.857 99.2939
1.675000 42.026 98.1263
1.700000 42.200 96.9702
1.725000 42.376 95.8295
1.750000 42.555 94.7081
1.775000 42.735 93.6099
1.800000 42.918 92.5387
1.825000 43.101 91.4985
1.850000 43.287 90.4904
1.875000 43.477 89.5082
1.900000 43.672 88.5495
1.925000 43.871 87.6124
1.950000 44.073 86.6944
1.975000 44.278 85.7936
2.000000 44.486 84.9076
2.030000 44.737 83.8610
2.060000 44.990 82.8291
2.090000 45.244 81.8079
2.120000 45.498 80.7938
2.140000 45.666 80.1198
2.180000 46.000 78.7718
2.200000 46.165 78.0956
2.240000 46.496 76.7503
2.270000 46.746 75.7518
2.300000 46.997 74.7623
2.330000 47.248 73.7817
2.360000 47.500 72.8100
2.400000 47.834 71.5282
2.430000 48.084 70.5772
2.470000 48.415 69.3230
2.500000 48.661 68.3926
2.540000 48.984 67.1657
2.580000 49.303 65.9545
2.620000 49.618 64.7588
2.650000 49.853 63.8722
2.690000 50.164 62.7037
2.720000 50.396 61.8377
2.760000 50.701 60.6968
2.800000 51.003 59.5718
2.850000 51.376 58.1880
2.900000 51.742 56.8292
2.950000 52.101 55.4965
3.000000 52.453 54.1949
3.040000 52.731 53.1747
3.070000 52.937 52.4205
3.110000 53.207 51.4280
3.150000 53.475 50.4485
3.200000 53.804 49.2394
3.250000 54.127 48.0435
3.300000 54.445 46.8570
3.350000 54.757 45.6796
3.400000 55.063 44.5146
3.450000 55.363 43.3642
3.500000 55.658 42.2305
3.550000 55.947 41.1156
3.600000 56.233 40.0217
3.650000 56.513 38.9509
3.700000 56.790 37.9061
3.750000 57.061 36.8882
3.820000 57.432 35.5012
3.870000 57.692 34.5325
3.950000 58.099 33.0100
4.000000 58.349 32.0696
4.060000 58.644 30.9478
4.120000 58.933 29.8390
4.180000 59.216 28.7456
4.250000 59.539 27.4913
4.310000 59.811 26.4361
4.370000 60.079 25.4005
4.440000 60.386 24.2198
4.500000 60.643 23.2322
4.550000 60.854 22.4243
4.620000 61.144 21.3131
4.680000 61.388 20.3756
4.750000 61.668 19.2954
4.820000 61.942 18.2284
4.870000 62.135 17.4766
4.940000 62.400 16.4391
5.000000 62.623 15.5639
5.080000 62.915 14.4179
5.150000 63.167 13.4353
5.220000 63.414 12.4730
5.300000 63.690 11.3964
5.380000 63.961 10.3418
5.450000 64.195 9.4345
5.520000 64.426 8.5402
5.600000 64.684 7.5383
5.700000 65.002 6.3133
5.800000 65.313 5.1127
5.900000 65.619 3.9311
6.000000 65.919 2.7740
6.080000 66.156 1.8635
6.150000 66.360 1.0748
6.220000 66.562 0.2913
6.300000 66.790 -0.5968
6.400000 67.070 -1.6926
6.500000 67.345 -2.7778
6.600000 67.615 -3.8579
6.700000 67.880 -4.9340
6.800000 68.140 -6.0034
6.900000 68.394 -7.0650
7.000000 68.642 -8.1178
7.100000 68.884 -9.1645
7.200000 69.121 -10.2018
7.300000 69.351 -11.2258
7.400000 69.576 -12.2353
7.500000 69.795 -13.2334
7.620000 70.051 -14.4089
7.750000 70.321 -15.6459
7.880000 70.582 -16.8480
8.000000 70.817 -17.9261
8.120000 71.049 -18.9714
8.250000 71.294 -20.0656
8.380000 71.535 -21.1286
8.500000 71.757 -22.0865
8.620000 71.976 -23.0172
8.750000 72.211 -24.0097
8.850000 72.392 -24.7697
9.000000 72.661 -25.8943
9.120000 72.874 -26.7937
9.250000 73.103 -27.7775
9.380000 73.329 -28.7659
9.500000 73.534 -29.6861
9.620000 73.735 -30.6177
9.750000 73.948 -31.6373
9.880000 74.156 -32.6611
10.000000 74.341 -33.6103
10.150000 74.565 -34.8007
10.300000 74.780 -35.9774
10.440000 74.973 -37.0658
10.600000 75.184 -38.2871
10.750000 75.375 -39.4001
10.900000 75.558 -40.4853
11.060000 75.749 -41.6056
11.200000 75.912 -42.5537
11.380000 76.117 -43.7381
11.500000 76.252 -44.5052
11.720000 76.497 -45.8784
11.800000 76.585 -46.3714
12.060000 76.869 -47.9505
12.200000 77.019 -48.7988
12.410000 77.241 -50.0677
12.500000 77.334 -50.6124
12.650000 77.486 -51.5220
12.800000 77.635 -52.4294
13.150000 77.965 -54.5301
13.200000 78.010 -54.8255
13.400000 78.187 -55.9961
13.600000 78.358 -57.1397
13.800000 78.523 -58.2522
14.000000 78.684 -59.3353
14.300000 78.922 -60.9089
14.500000 79.078 -61.9330
14.750000 79.272 -63.1998
15.000000 79.462 -64.4592
15.250000 79.649 -65.7219
15.500000 79.830 -66.9854
15.750000 80.004 -68.2466
16.000000 80.170 -69.4962
16.250000 80.330 -70.7240
16.500000 80.483 -71.9253
16.750000 80.631 -73.0955
17.000000 80.776 -74.2376
17.250000 80.917 -75.3553
17.500000 81.055 -76.4536
17.750000 81.191 -77.5382
18.000000 81.323 -78.6097
18.250000 81.450 -79.6689
18.500000 81.574 -80.7125
18.750000 81.693 -81.7382
19.000000 81.808 -82.7436
19.250000 81.920 -83.7273
19.500000 82.029 -84.6906
19.750000 82.135 -85.6345
20.000000 82.238 -86.5623
20.299999 82.360 -87.6581
20.600000 82.478 -88.7383
20.900000 82.592 -89.8052
21.200001 82.703 -90.8599
21.400000 82.774 -91.5552
21.799999 82.910 -92.9239
22.000000 82.976 -93.5958
22.400000 83.103 -94.9134
22.700001 83.196 -95.8820
23.000000 83.288 -96.8406
23.299999 83.377 -97.7961
23.600000 83.463 -98.7499
24.000000 83.571 -100.0119
24.299999 83.647 -100.9379
24.700001 83.745 -102.1297
25.000000 83.819 -102.9932
25.400000 83.920 -104.1288
25.799999 84.023 -105.2902
26.200001 84.119 -106.4984
26.500000 84.182 -107.4146
26.900000 84.251 -108.5922
27.200001 84.295 -109.3998
27.600000 84.355 -110.3542
28.000000 84.427 -111.2144
28.500000 84.538 -112.3029
29.000000 84.651 -113.5217
29.500000 84.742 -114.8146
30.000000 84.810 -116.0183
30.400000 84.859 -116.8605
30.700001 84.901 -117.4396
31.100000 84.964 -118.1997
31.500000 85.032 -118.9921
32.000000 85.112 -120.0396
32.500000 85.180 -121.1009
33.000000 85.239 -122.1273
33.500000 85.293 -123.1162
34.000000 85.345 -124.0795
34.500000 85.396 -125.0215
35.000000 85.447 -125.9564
35.500000 85.498 -126.9170
36.000000 85.541 -127.9139
36.500000 85.571 -128.9025
37.000000 85.589 -129.8081
37.500000 85.608 -130.6000
38.200001 85.651 -131.6042
38.700001 85.692 -132.3351
39.500000 85.757 -133.5677
40.000000 85.791 -134.3334
40.599998 85.829 -135.2200
41.200001 85.866 -136.0843
41.799999 85.899 -136.9365
42.500000 85.932 -137.9050
43.099998 85.957 -138.7095
43.700001 85.978 -139.4978
44.400002 85.999 -140.3902
45.000000 86.016 -141.1277
45.500000 86.031 -141.7407
46.200001 86.052 -142.6174
46.799999 86.066 -143.3645
47.500000 86.085 -144.2217
48.200001 86.105 -145.1366
48.700001 86.109 -145.8201
49.400002 86.094 -146.6655
50.000000 86.086 -147.1966
50.799999 86.113 -147.8228
51.500000 86.153 -148.5231
52.200001 86.178 -149.3061
53.000000 86.190 -150.1248
53.799999 86.203 -150.8754
54.500000 86.213 -151.5224
55.200001 86.220 -152.1569
56.000000 86.226 -152.8775
57.000000 86.228 -153.7735
58.000000 86.225 -154.6402
59.000000 86.222 -155.4771
60.000000 86.221 -156.2876
60.799999 86.221 -156.9367
61.500000 86.218 -157.4992
62.200001 86.213 -158.0348
63.000000 86.206 -158.6067
64.000000 86.203 -159.3030
65.000000 86.198 -160.0224
66.000000 86.187 -160.7381
67.000000 86.174 -161.4271
68.000000 86.161 -162.0980
69.000000 86.148 -162.7452
70.000000 86.136 -163.3626
71.000000 86.126 -163.9611
72.000000 86.116 -164.5464
73.000000 86.105 -165.1295
74.000000 86.090 -165.7251
75.000000 86.067 -166.2923
76.199997 86.041 -166.9207
77.500000 86.016 -167.6005
78.800003 85.990 -168.2687
80.000000 85.967 -168.8641
81.199997 85.945 -169.4416
82.500000 85.920 -170.0486
83.800003 85.894 -170.6404
85.000000 85.867 -171.1818
86.199997 85.838 -171.6980
87.500000 85.807 -172.2288
88.500000 85.785 -172.6269
90.000000 85.751 -173.2173
91.199997 85.723 -173.6772
92.500000 85.691 -174.1572
93.800003 85.659 -174.6250
95.000000 85.629 -175.0450
96.199997 85.599 -175.4537
97.500000 85.567 -175.8929
98.800003 85.534 -176.3248
100.000000 85.502 -176.7032
101.500000 85.464 -177.1527
103.000000 85.427 -177.5965
104.400002 85.392 -178.0029
106.000000 85.349 -178.4499
107.500000 85.309 -178.8465
109.000000 85.270 -179.2310
110.599998 85.228 -179.6356
112.000000 85.190 -179.9747
113.800003 85.143 179.6113
115.000000 85.111 179.3472
117.199997 85.053 178.8744
118.000000 85.031 178.7036
120.599998 84.962 178.1666
122.000000 84.926 177.8875
124.099998 84.872 177.4894
125.000000 84.849 177.3270
126.500000 84.810 177.0633
128.000000 84.769 176.8130
131.500000 84.672 176.2490
132.000000 84.658 176.1699
134.000000 84.601 175.8732
136.000000 84.550 175.5829
138.000000 84.501 175.3022
140.000000 84.451 175.0597
143.000000 84.373 174.7142
145.000000 84.322 174.4531
147.500000 84.267 174.0619
150.000000 84.205 173.6875
152.500000 84.137 173.5539
155.000000 84.076 173.4568
157.500000 84.011 173.2902
160.000000 83.949 173.1002
162.500000 83.891 172.9211
165.000000 83.834 172.7466
167.500000 83.774 172.5782
170.000000 83.712 172.4410
172.500000 83.652 172.3270
175.000000 83.593 172.2217
177.500000 83.537 172.1228
180.000000 83.482 172.0302
182.500000 83.427 171.9404
185.000000 83.371 171.8581
187.500000 83.315 171.7944
190.000000 83.262 171.7422
192.500000 83.211 171.6930
195.000000 83.160 171.6522
197.500000 83.107 171.6277
200.000000 83.055 171.6197
203.000000 82.995 171.6127
206.000000 82.936 171.6065
209.000000 82.878 171.6062
212.000000 82.821 171.6066
214.000000 82.783 171.6126
218.000000 82.709 171.6628
220.000000 82.672 171.7007
224.000000 82.600 171.7593
227.000000 82.546 171.8017
230.000000 82.492 171.8553
233.000000 82.437 171.9228
236.000000 82.388 172.0028
240.000000 82.325 172.1291
243.000000 82.275 172.2415
247.000000 82.204 172.4133
250.000000 82.154 172.5488
254.000000 82.101 172.6900
258.000000 82.051 172.8383
262.000000 82.001 173.0194
265.000000 81.963 173.1588
269.000000 81.913 173.3472
272.000000 81.876 173.4952
276.000000 81.830 173.6923
280.000000 81.785 173.8861
285.000000 81.731 174.1159
290.000000 81.679 174.3117
295.000000 81.626 174.5120
300.000000 81.573 174.7272
304.000000 81.533 174.9000
307.000000 81.503 175.0280
