* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.6 dBFS, measurement signal peak level -24.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:50:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0380 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: EA1000 Gold L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.584 123.9529
1.015000 41.607 122.9925
1.030000 41.632 122.0536
1.044000 41.658 121.1994
1.060000 41.689 120.2525
1.075000 41.720 119.3964
1.090000 41.753 118.5740
1.106000 41.792 117.7359
1.120000 41.827 117.0291
1.138000 41.874 116.1523
1.150000 41.907 115.5865
1.172000 41.969 114.5845
1.180000 41.993 114.2307
1.206000 42.073 113.1152
1.220000 42.118 112.5342
1.241000 42.188 111.6846
1.250000 42.219 111.3276
1.265000 42.272 110.7405
1.280000 42.326 110.1619
1.315000 42.458 108.8355
1.320000 42.478 108.6477
1.340000 42.558 107.8986
1.360000 42.641 107.1494
1.380000 42.726 106.3961
1.400000 42.814 105.6345
1.430000 42.951 104.4677
1.450000 43.045 103.6676
1.475000 43.166 102.6374
1.500000 43.293 101.5869
1.525000 43.425 100.5230
1.550000 43.562 99.4494
1.575000 43.704 98.3696
1.600000 43.850 97.2870
1.625000 43.999 96.2052
1.650000 44.153 95.1278
1.675000 44.309 94.0583
1.700000 44.469 93.0001
1.725000 44.631 91.9569
1.750000 44.795 90.9321
1.775000 44.960 89.9294
1.800000 45.127 88.9521
1.825000 45.295 88.0039
1.850000 45.465 87.0866
1.875000 45.639 86.1965
1.900000 45.816 85.3308
1.925000 45.997 84.4870
1.950000 46.181 83.6622
1.975000 46.366 82.8540
2.000000 46.554 82.0597
2.030000 46.782 81.1212
2.060000 47.011 80.1944
2.090000 47.240 79.2747
2.120000 47.470 78.3575
2.140000 47.623 77.7453
2.180000 47.927 76.5128
2.200000 48.077 75.8899
2.240000 48.380 74.6433
2.270000 48.608 73.7129
2.300000 48.838 72.7868
2.330000 49.068 71.8652
2.360000 49.299 70.9485
2.400000 49.606 69.7346
2.430000 49.835 68.8309
2.470000 50.140 67.6356
2.500000 50.366 66.7467
2.540000 50.664 65.5725
2.580000 50.958 64.4111
2.620000 51.250 63.2590
2.650000 51.468 62.4010
2.690000 51.756 61.2660
2.720000 51.971 60.4221
2.760000 52.255 59.3075
2.800000 52.537 58.2062
2.850000 52.884 56.8496
2.900000 53.225 55.5175
2.950000 53.560 54.2120
3.000000 53.890 52.9348
3.040000 54.149 51.9319
3.070000 54.342 51.1895
3.110000 54.596 50.2116
3.150000 54.847 49.2458
3.200000 55.156 48.0533
3.250000 55.460 46.8741
3.300000 55.760 45.7051
3.350000 56.054 44.5445
3.400000 56.343 43.3946
3.450000 56.626 42.2585
3.500000 56.905 41.1394
3.550000 57.180 40.0406
3.600000 57.451 38.9651
3.650000 57.718 37.9163
3.700000 57.982 36.8975
3.750000 58.241 35.9089
3.820000 58.596 34.5671
3.870000 58.846 33.6330
3.950000 59.238 32.1680
4.000000 59.479 31.2640
4.060000 59.766 30.1859
4.120000 60.047 29.1226
4.180000 60.324 28.0761
4.250000 60.642 26.8774
4.310000 60.910 25.8697
4.370000 61.174 24.8809
4.440000 61.479 23.7537
4.500000 61.736 22.8133
4.550000 61.947 22.0448
4.620000 62.239 20.9871
4.680000 62.485 20.0926
4.750000 62.768 19.0572
4.820000 63.047 18.0288
4.870000 63.244 17.3019
4.940000 63.515 16.2955
5.000000 63.744 15.4435
5.080000 64.044 14.3232
5.150000 64.302 13.3580
5.220000 64.556 12.4074
5.300000 64.840 11.3382
5.380000 65.119 10.2861
5.450000 65.360 9.3787
5.520000 65.596 8.4828
5.600000 65.862 7.4742
5.700000 66.186 6.2360
5.800000 66.504 5.0224
5.900000 66.815 3.8328
6.000000 67.120 2.6689
6.080000 67.359 1.7550
6.150000 67.566 0.9666
6.220000 67.770 0.1874
6.300000 68.000 -0.6898
6.400000 68.283 -1.7652
6.500000 68.562 -2.8239
6.600000 68.836 -3.8728
6.700000 69.106 -4.9104
6.800000 69.371 -5.9355
6.900000 69.632 -6.9525
7.000000 69.889 -7.9650
7.100000 70.141 -8.9704
7.200000 70.388 -9.9697
7.300000 70.631 -10.9650
7.400000 70.868 -11.9584
7.500000 71.101 -12.9492
7.620000 71.373 -14.1307
7.750000 71.659 -15.3972
7.880000 71.936 -16.6533
8.000000 72.184 -17.7973
8.120000 72.424 -18.9207
8.250000 72.676 -20.1185
8.380000 72.920 -21.2906
8.500000 73.140 -22.3447
8.620000 73.353 -23.3741
8.750000 73.579 -24.4617
8.850000 73.750 -25.2782
9.000000 74.001 -26.4689
9.120000 74.198 -27.3984
9.250000 74.409 -28.3855
9.380000 74.617 -29.3496
9.500000 74.806 -30.2277
9.620000 74.994 -31.0976
9.750000 75.195 -32.0280
9.880000 75.393 -32.9540
10.000000 75.573 -33.8076
10.150000 75.795 -34.8707
10.300000 76.012 -35.9332
10.440000 76.211 -36.9254
10.600000 76.432 -38.0564
10.750000 76.633 -39.1133
10.900000 76.829 -40.1657
11.060000 77.032 -41.2764
11.200000 77.205 -42.2395
11.380000 77.420 -43.4596
11.500000 77.560 -44.2605
11.720000 77.809 -45.7031
11.800000 77.897 -46.2186
12.060000 78.178 -47.8627
12.200000 78.326 -48.7306
12.410000 78.544 -50.0110
12.500000 78.636 -50.5545
12.650000 78.787 -51.4519
12.800000 78.936 -52.3422
13.150000 79.274 -54.4001
13.200000 79.321 -54.6921
13.400000 79.507 -55.8561
13.600000 79.688 -57.0115
13.800000 79.863 -58.1581
14.000000 80.034 -59.2919
14.300000 80.280 -60.9660
14.500000 80.438 -62.0610
14.750000 80.630 -63.4053
15.000000 80.815 -64.7226
15.250000 80.996 -66.0153
15.500000 81.171 -67.2853
15.750000 81.341 -68.5334
16.000000 81.505 -69.7594
16.250000 81.664 -70.9602
16.500000 81.819 -72.1345
16.750000 81.969 -73.2802
17.000000 82.116 -74.4000
17.250000 82.261 -75.4985
17.500000 82.404 -76.5815
17.750000 82.544 -77.6589
18.000000 82.680 -78.7329
18.250000 82.812 -79.8065
18.500000 82.938 -80.8738
18.750000 83.057 -81.9265
19.000000 83.170 -82.9569
19.250000 83.278 -83.9536
19.500000 83.383 -84.9160
19.750000 83.486 -85.8439
20.000000 83.588 -86.7463
20.299999 83.712 -87.8116
20.600000 83.834 -88.8726
20.900000 83.954 -89.9404
21.200001 84.069 -91.0157
21.400000 84.142 -91.7304
21.799999 84.280 -93.1390
22.000000 84.345 -93.8258
22.400000 84.471 -95.1572
22.700001 84.564 -96.1251
23.000000 84.656 -97.0795
23.299999 84.747 -98.0320
23.600000 84.836 -98.9870
24.000000 84.947 -100.2606
24.299999 85.025 -101.2040
24.700001 85.121 -102.4273
25.000000 85.190 -103.3100
25.400000 85.279 -104.4400
25.799999 85.368 -105.5298
26.200001 85.458 -106.5975
26.500000 85.524 -107.3917
26.900000 85.612 -108.4461
27.200001 85.675 -109.2335
27.600000 85.757 -110.2770
28.000000 85.833 -111.3095
28.500000 85.922 -112.5723
29.000000 86.003 -113.7842
29.500000 86.083 -114.9397
30.000000 86.163 -116.0692
30.400000 86.227 -116.9820
30.700001 86.272 -117.6764
31.100000 86.325 -118.5983
31.500000 86.371 -119.4882
32.000000 86.425 -120.5296
32.500000 86.482 -121.5193
33.000000 86.541 -122.5166
33.500000 86.596 -123.5332
34.000000 86.641 -124.5210
34.500000 86.684 -125.4429
35.000000 86.730 -126.3208
35.500000 86.779 -127.1934
36.000000 86.826 -128.0539
36.500000 86.875 -128.8787
37.000000 86.933 -129.7011
37.500000 86.995 -130.5988
38.200001 87.060 -131.9943
38.700001 87.080 -132.9491
39.500000 87.104 -134.1784
40.000000 87.135 -134.8619
40.599998 87.181 -135.7502
41.200001 87.216 -136.6942
41.799999 87.237 -137.5808
42.500000 87.261 -138.5079
43.099998 87.288 -139.2797
43.700001 87.313 -140.0612
44.400002 87.339 -140.9585
45.000000 87.360 -141.7040
45.500000 87.379 -142.3275
46.200001 87.404 -143.2283
46.799999 87.420 -144.0086
47.500000 87.434 -144.8902
48.200001 87.449 -145.7733
48.700001 87.455 -146.4248
49.400002 87.451 -147.2963
50.000000 87.444 -147.9218
50.799999 87.455 -148.6395
51.500000 87.481 -149.3162
52.200001 87.504 -150.0528
53.000000 87.522 -150.8753
53.799999 87.535 -151.6615
54.500000 87.542 -152.3161
55.200001 87.548 -152.9247
56.000000 87.556 -153.6051
57.000000 87.561 -154.4743
58.000000 87.559 -155.3114
59.000000 87.556 -156.1416
60.000000 87.552 -156.9832
60.799999 87.548 -157.6669
61.500000 87.542 -158.2722
62.200001 87.534 -158.8589
63.000000 87.524 -159.4941
64.000000 87.514 -160.2549
65.000000 87.506 -160.9646
66.000000 87.504 -161.6572
67.000000 87.498 -162.3767
68.000000 87.483 -163.0702
69.000000 87.464 -163.7127
70.000000 87.447 -164.3281
71.000000 87.431 -164.9348
72.000000 87.417 -165.5358
73.000000 87.404 -166.1349
74.000000 87.392 -166.7432
75.000000 87.374 -167.3449
76.199997 87.347 -167.9843
77.500000 87.325 -168.6239
78.800003 87.300 -169.2791
80.000000 87.273 -169.8696
81.199997 87.245 -170.4663
82.500000 87.212 -171.1112
83.800003 87.179 -171.7122
85.000000 87.154 -172.2511
86.199997 87.129 -172.7866
87.500000 87.100 -173.3458
88.500000 87.076 -173.7615
90.000000 87.038 -174.3627
91.199997 87.007 -174.8171
92.500000 86.976 -175.3033
93.800003 86.945 -175.7966
95.000000 86.913 -176.2367
96.199997 86.881 -176.6543
97.500000 86.847 -177.0922
98.800003 86.812 -177.5206
100.000000 86.779 -177.9091
101.500000 86.738 -178.3817
103.000000 86.697 -178.8355
104.400002 86.659 -179.2430
106.000000 86.615 -179.6933
107.500000 86.574 179.8885
109.000000 86.532 179.4782
110.599998 86.488 179.0485
112.000000 86.447 178.6822
113.800003 86.394 178.2382
115.000000 86.358 177.9640
117.199997 86.297 177.5015
118.000000 86.277 177.3347
120.599998 86.211 176.7836
122.000000 86.173 176.4975
124.099998 86.111 176.0841
125.000000 86.084 175.9133
126.500000 86.040 175.6347
128.000000 85.998 175.3656
131.500000 85.904 174.8044
132.000000 85.890 174.7280
134.000000 85.835 174.4221
136.000000 85.780 174.1142
138.000000 85.725 173.8137
140.000000 85.670 173.5402
143.000000 85.585 173.1647
145.000000 85.532 172.9125
147.500000 85.480 172.5943
150.000000 85.424 172.2680
152.500000 85.346 172.0709
155.000000 85.271 171.9188
157.500000 85.200 171.7023
160.000000 85.134 171.4881
162.500000 85.070 171.2971
165.000000 85.007 171.1254
167.500000 84.947 170.9731
170.000000 84.886 170.8322
172.500000 84.821 170.7019
175.000000 84.755 170.5767
177.500000 84.693 170.4623
180.000000 84.635 170.3642
182.500000 84.578 170.2809
185.000000 84.519 170.2070
187.500000 84.460 170.1344
190.000000 84.400 170.0564
192.500000 84.341 169.9916
195.000000 84.286 169.9586
197.500000 84.232 169.9350
200.000000 84.179 169.9190
203.000000 84.117 169.9227
206.000000 84.055 169.9351
209.000000 83.992 169.9471
212.000000 83.928 169.9502
214.000000 83.886 169.9593
218.000000 83.805 170.0137
220.000000 83.767 170.0555
224.000000 83.691 170.1356
227.000000 83.635 170.1948
230.000000 83.580 170.2802
233.000000 83.527 170.3828
236.000000 83.474 170.4831
240.000000 83.407 170.6209
243.000000 83.358 170.7354
247.000000 83.291 170.8748
250.000000 83.242 170.9818
254.000000 83.190 171.1569
258.000000 83.141 171.3179
262.000000 83.091 171.4596
265.000000 83.054 171.5690
269.000000 83.004 171.7066
272.000000 82.964 171.7954
276.000000 82.909 171.9187
280.000000 82.855 172.0519
285.000000 82.790 172.2076
290.000000 82.724 172.3773
295.000000 82.658 172.5658
300.000000 82.591 172.7717
304.000000 82.538 172.9578
307.000000 82.499 173.1029
