* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -28.3 dBFS, measurement signal peak level -24.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0386 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: EA1000 Gold R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 39.594 128.6756
1.015000 39.614 127.8215
1.030000 39.636 126.9864
1.044000 39.659 126.2266
1.060000 39.688 125.3842
1.075000 39.718 124.6225
1.090000 39.751 123.8905
1.106000 39.789 123.1446
1.120000 39.825 122.5173
1.138000 39.874 121.7417
1.150000 39.909 121.2426
1.172000 39.975 120.3614
1.180000 40.000 120.0509
1.206000 40.086 119.0741
1.220000 40.135 118.5661
1.241000 40.211 117.8237
1.250000 40.245 117.5116
1.265000 40.303 116.9983
1.280000 40.362 116.4919
1.315000 40.509 115.3266
1.320000 40.531 115.1610
1.340000 40.620 114.4982
1.360000 40.712 113.8316
1.380000 40.807 113.1566
1.400000 40.905 112.4692
1.430000 41.058 111.4051
1.450000 41.163 110.6675
1.475000 41.299 109.7084
1.500000 41.441 108.7234
1.525000 41.590 107.7196
1.550000 41.745 106.7004
1.575000 41.906 105.6693
1.600000 42.072 104.6294
1.625000 42.242 103.5843
1.650000 42.416 102.5371
1.675000 42.594 101.4913
1.700000 42.775 100.4501
1.725000 42.959 99.4170
1.750000 43.144 98.3953
1.775000 43.330 97.3883
1.800000 43.518 96.3994
1.825000 43.706 95.4318
1.850000 43.895 94.4863
1.875000 44.089 93.5570
1.900000 44.286 92.6422
1.925000 44.487 91.7401
1.950000 44.690 90.8491
1.975000 44.896 89.9676
2.000000 45.104 89.0938
2.030000 45.355 88.0532
2.060000 45.607 87.0186
2.090000 45.858 85.9871
2.120000 46.109 84.9558
2.140000 46.276 84.2669
2.180000 46.605 82.8824
2.200000 46.768 82.1850
2.240000 47.092 80.7836
2.270000 47.336 79.7300
2.300000 47.581 78.6756
2.330000 47.825 77.6220
2.360000 48.069 76.5705
2.400000 48.392 75.1744
2.430000 48.633 74.1334
2.470000 48.951 72.7564
2.500000 49.187 71.7336
2.540000 49.497 70.3860
2.580000 49.801 69.0584
2.620000 50.102 67.7412
2.650000 50.325 66.7596
2.690000 50.619 65.4608
2.720000 50.837 64.4954
2.760000 51.125 63.2214
2.800000 51.409 61.9645
2.850000 51.758 60.4205
2.900000 52.101 58.9106
2.950000 52.436 57.4384
3.000000 52.764 56.0027
3.040000 53.022 54.8782
3.070000 53.213 54.0480
3.110000 53.463 52.9576
3.150000 53.710 51.8847
3.200000 54.014 50.5663
3.250000 54.312 49.2705
3.300000 54.606 47.9947
3.350000 54.895 46.7382
3.400000 55.177 45.5031
3.450000 55.454 44.2915
3.500000 55.726 43.1050
3.550000 55.993 41.9458
3.600000 56.257 40.8157
3.650000 56.519 39.7167
3.700000 56.777 38.6528
3.750000 57.030 37.6270
3.820000 57.379 36.2446
3.870000 57.624 35.2876
3.950000 58.010 33.7931
4.000000 58.248 32.8729
4.060000 58.532 31.7766
4.120000 58.812 30.7017
4.180000 59.088 29.6488
4.250000 59.405 28.4456
4.310000 59.674 27.4337
4.370000 59.940 26.4376
4.440000 60.246 25.2969
4.500000 60.506 24.3439
4.550000 60.720 23.5640
4.620000 61.016 22.4882
4.680000 61.266 21.5754
4.750000 61.554 20.5142
4.820000 61.837 19.4546
4.870000 62.037 18.7026
4.940000 62.313 17.6576
5.000000 62.545 16.7698
5.080000 62.850 15.5986
5.150000 63.112 14.5863
5.220000 63.369 13.5843
5.300000 63.657 12.4520
5.380000 63.938 11.3350
5.450000 64.180 10.3712
5.520000 64.417 9.4209
5.600000 64.683 8.3494
5.700000 65.006 7.0329
5.800000 65.321 5.7451
5.900000 65.630 4.4893
6.000000 65.931 3.2651
6.080000 66.167 2.3072
6.150000 66.370 1.4838
6.220000 66.571 0.6737
6.300000 66.798 -0.2337
6.400000 67.077 -1.3399
6.500000 67.351 -2.4226
6.600000 67.621 -3.4904
6.700000 67.888 -4.5404
6.800000 68.151 -5.5719
6.900000 68.410 -6.5922
7.000000 68.665 -7.6071
7.100000 68.918 -8.6120
7.200000 69.166 -9.6091
7.300000 69.410 -10.6032
7.400000 69.649 -11.5974
7.500000 69.885 -12.5895
7.620000 70.161 -13.7752
7.750000 70.452 -15.0523
7.880000 70.734 -16.3242
8.000000 70.987 -17.4881
8.120000 71.233 -18.6375
8.250000 71.491 -19.8702
8.380000 71.740 -21.0831
8.500000 71.964 -22.1801
8.620000 72.180 -23.2579
8.750000 72.408 -24.4009
8.850000 72.580 -25.2605
9.000000 72.830 -26.5195
9.120000 73.025 -27.5010
9.250000 73.231 -28.5385
9.380000 73.433 -29.5488
9.500000 73.616 -30.4601
9.620000 73.796 -31.3515
9.750000 73.987 -32.2940
9.880000 74.175 -33.2169
10.000000 74.347 -34.0521
10.150000 74.558 -35.0734
10.300000 74.766 -36.0767
10.440000 74.957 -36.9952
10.600000 75.174 -38.0306
10.750000 75.374 -38.9920
10.900000 75.572 -39.9442
11.060000 75.780 -40.9592
11.200000 75.960 -41.8453
11.380000 76.186 -42.9876
11.500000 76.334 -43.7528
11.720000 76.599 -45.1593
11.800000 76.692 -45.6721
12.060000 76.986 -47.3385
12.200000 77.137 -48.2283
12.410000 77.356 -49.5500
12.500000 77.446 -50.1057
12.650000 77.593 -51.0200
12.800000 77.736 -51.9147
13.150000 78.058 -53.9136
13.200000 78.103 -54.1905
13.400000 78.282 -55.2737
13.600000 78.460 -56.3360
13.800000 78.638 -57.3818
14.000000 78.815 -58.4307
14.300000 79.076 -60.0198
14.500000 79.246 -61.1017
14.750000 79.449 -62.4705
15.000000 79.641 -63.8501
15.250000 79.820 -65.2142
15.500000 79.987 -66.5385
15.750000 80.145 -67.8095
16.000000 80.297 -69.0134
16.250000 80.447 -70.1606
16.500000 80.597 -71.2626
16.750000 80.750 -72.3401
17.000000 80.902 -73.4168
17.250000 81.053 -74.5001
17.500000 81.199 -75.5977
17.750000 81.340 -76.6986
18.000000 81.473 -77.7912
18.250000 81.598 -78.8620
18.500000 81.718 -79.8955
18.750000 81.834 -80.8910
19.000000 81.948 -81.8481
19.250000 82.062 -82.7793
19.500000 82.177 -83.6967
19.750000 82.291 -84.6101
20.000000 82.404 -85.5312
20.299999 82.535 -86.6471
20.600000 82.659 -87.7706
20.900000 82.776 -88.8908
21.200001 82.885 -89.9938
21.400000 82.954 -90.7130
21.799999 83.085 -92.1080
22.000000 83.147 -92.7836
22.400000 83.271 -94.0977
22.700001 83.362 -95.0620
23.000000 83.452 -96.0196
23.299999 83.539 -96.9765
23.600000 83.623 -97.9312
24.000000 83.726 -99.1871
24.299999 83.799 -100.0988
24.700001 83.891 -101.2537
25.000000 83.961 -102.0718
25.400000 84.059 -103.1169
25.799999 84.165 -104.1533
26.200001 84.274 -105.2247
26.500000 84.355 -106.0610
26.900000 84.454 -107.2059
27.200001 84.520 -108.0625
27.600000 84.598 -109.1652
28.000000 84.668 -110.1917
28.500000 84.754 -111.3641
29.000000 84.848 -112.4689
29.500000 84.948 -113.5863
30.000000 85.042 -114.7637
30.400000 85.104 -115.7289
30.700001 85.142 -116.4371
31.100000 85.182 -117.3188
31.500000 85.218 -118.1087
32.000000 85.269 -118.9939
32.500000 85.333 -119.8553
33.000000 85.403 -120.7747
33.500000 85.466 -121.7542
34.000000 85.519 -122.7382
34.500000 85.566 -123.6821
35.000000 85.613 -124.5889
35.500000 85.661 -125.4860
36.000000 85.708 -126.3856
36.500000 85.751 -127.2759
37.000000 85.792 -128.1394
37.500000 85.831 -128.9722
38.200001 85.885 -130.1001
38.700001 85.922 -130.8838
39.500000 85.977 -132.0880
40.000000 86.011 -132.8131
40.599998 86.053 -133.6777
41.200001 86.091 -134.5558
41.799999 86.124 -135.4397
42.500000 86.153 -136.4429
43.099998 86.174 -137.2551
43.700001 86.198 -138.0290
44.400002 86.230 -138.9160
45.000000 86.258 -139.6750
45.500000 86.280 -140.2903
46.200001 86.312 -141.1154
46.799999 86.343 -141.8224
47.500000 86.370 -142.6552
48.200001 86.386 -143.3927
48.700001 86.402 -143.8406
49.400002 86.441 -144.4930
50.000000 86.474 -145.1846
50.799999 86.483 -146.1698
51.500000 86.473 -146.9011
52.200001 86.472 -147.5527
53.000000 86.477 -148.3361
53.799999 86.480 -149.1425
54.500000 86.484 -149.8421
55.200001 86.488 -150.5374
56.000000 86.491 -151.2882
57.000000 86.505 -152.1651
58.000000 86.520 -153.0277
59.000000 86.530 -153.8307
60.000000 86.540 -154.5924
60.799999 86.544 -155.2007
61.500000 86.544 -155.7322
62.200001 86.540 -156.2614
63.000000 86.533 -156.8603
64.000000 86.522 -157.6024
65.000000 86.509 -158.3354
66.000000 86.497 -159.0294
67.000000 86.490 -159.6933
68.000000 86.485 -160.3535
69.000000 86.478 -160.9854
70.000000 86.470 -161.5836
71.000000 86.461 -162.1682
72.000000 86.449 -162.7386
73.000000 86.436 -163.2913
74.000000 86.424 -163.8379
75.000000 86.411 -164.3893
76.199997 86.393 -165.0460
77.500000 86.372 -165.7197
78.800003 86.351 -166.3718
80.000000 86.331 -166.9602
81.199997 86.310 -167.5305
82.500000 86.288 -168.1316
83.800003 86.265 -168.7166
85.000000 86.244 -169.2414
86.199997 86.223 -169.7549
87.500000 86.196 -170.2938
88.500000 86.173 -170.6813
90.000000 86.142 -171.2313
91.199997 86.120 -171.6873
92.500000 86.094 -172.1948
93.800003 86.065 -172.6785
95.000000 86.040 -173.1068
96.199997 86.015 -173.5192
97.500000 85.986 -173.9440
98.800003 85.957 -174.3561
100.000000 85.929 -174.7363
101.500000 85.891 -175.1962
103.000000 85.854 -175.6269
104.400002 85.823 -176.0135
106.000000 85.788 -176.4527
107.500000 85.753 -176.8588
109.000000 85.715 -177.2565
110.599998 85.674 -177.6700
112.000000 85.638 -178.0203
113.800003 85.595 -178.4373
115.000000 85.570 -178.6969
117.199997 85.523 -179.1587
118.000000 85.506 -179.3289
120.599998 85.441 -179.8993
122.000000 85.402 179.8173
124.099998 85.348 179.4395
125.000000 85.326 179.2870
126.500000 85.290 179.0404
128.000000 85.254 178.8024
131.500000 85.169 178.2385
132.000000 85.157 178.1559
134.000000 85.108 177.8364
136.000000 85.058 177.5484
138.000000 85.010 177.2770
140.000000 84.964 177.0081
143.000000 84.894 176.6345
145.000000 84.841 176.4169
147.500000 84.764 176.1485
150.000000 84.690 175.9451
152.500000 84.647 175.7000
155.000000 84.604 175.4189
157.500000 84.550 175.1906
160.000000 84.491 174.9877
162.500000 84.434 174.7993
165.000000 84.378 174.6282
167.500000 84.319 174.4952
170.000000 84.263 174.3597
172.500000 84.209 174.2098
175.000000 84.154 174.0847
177.500000 84.099 173.9839
180.000000 84.045 173.8917
182.500000 83.992 173.8031
185.000000 83.941 173.7159
187.500000 83.888 173.6416
190.000000 83.835 173.5875
192.500000 83.785 173.5408
195.000000 83.738 173.4826
197.500000 83.691 173.4226
200.000000 83.643 173.3827
203.000000 83.585 173.3851
206.000000 83.529 173.4033
209.000000 83.472 173.4095
212.000000 83.415 173.4078
214.000000 83.378 173.4166
218.000000 83.306 173.4704
220.000000 83.270 173.4958
224.000000 83.201 173.5332
227.000000 83.150 173.6010
230.000000 83.097 173.6799
233.000000 83.043 173.7448
236.000000 82.994 173.8266
240.000000 82.932 173.9548
243.000000 82.887 174.0718
247.000000 82.831 174.2747
250.000000 82.789 174.4104
254.000000 82.731 174.5180
258.000000 82.681 174.6458
262.000000 82.631 174.8577
265.000000 82.595 175.0301
269.000000 82.550 175.2042
272.000000 82.516 175.3045
276.000000 82.471 175.4469
280.000000 82.428 175.5978
285.000000 82.378 175.7769
290.000000 82.328 175.9897
295.000000 82.277 176.2154
300.000000 82.225 176.4266
304.000000 82.184 176.6005
