* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.6 dBFS, measurement signal peak level -27.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:47:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0400 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: EA1000 Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.085 126.2131
1.015000 40.125 125.3434
1.030000 40.166 124.4948
1.044000 40.207 123.7241
1.060000 40.256 122.8717
1.075000 40.304 122.1029
1.090000 40.354 121.3665
1.106000 40.410 120.6188
1.120000 40.460 119.9924
1.138000 40.528 119.2214
1.150000 40.575 118.7274
1.172000 40.664 117.8592
1.180000 40.697 117.5546
1.206000 40.809 116.6005
1.220000 40.871 116.1070
1.241000 40.967 115.3887
1.250000 41.009 115.0878
1.265000 41.081 114.5940
1.280000 41.154 114.1081
1.315000 41.331 112.9939
1.320000 41.357 112.8359
1.340000 41.462 112.2038
1.360000 41.570 111.5681
1.380000 41.681 110.9242
1.400000 41.794 110.2673
1.430000 41.967 109.2474
1.450000 42.085 108.5376
1.475000 42.237 107.6110
1.500000 42.393 106.6582
1.525000 42.556 105.6872
1.550000 42.724 104.7014
1.575000 42.896 103.7040
1.600000 43.073 102.6984
1.625000 43.253 101.6880
1.650000 43.436 100.6760
1.675000 43.623 99.6659
1.700000 43.811 98.6609
1.725000 44.001 97.6645
1.750000 44.192 96.6800
1.775000 44.384 95.7106
1.800000 44.577 94.7598
1.825000 44.768 93.8308
1.850000 44.961 92.9247
1.875000 45.157 92.0362
1.900000 45.355 91.1634
1.925000 45.556 90.3043
1.950000 45.758 89.4570
1.975000 45.963 88.6197
2.000000 46.168 87.7905
2.030000 46.416 86.8034
2.060000 46.664 85.8219
2.090000 46.912 84.8428
2.120000 47.158 83.8628
2.140000 47.322 83.2074
2.180000 47.645 81.8871
2.200000 47.805 81.2204
2.240000 48.124 79.8788
2.270000 48.363 78.8689
2.300000 48.603 77.8575
2.330000 48.841 76.8459
2.360000 49.079 75.8356
2.400000 49.394 74.4927
2.430000 49.629 73.4905
2.470000 49.939 72.1636
2.500000 50.169 71.1771
2.540000 50.471 69.8761
2.580000 50.768 68.5930
2.620000 51.062 67.3184
2.650000 51.280 66.3673
2.690000 51.567 65.1076
2.720000 51.780 64.1703
2.760000 52.062 62.9321
2.800000 52.339 61.7092
2.850000 52.680 60.2052
2.900000 53.016 58.7326
2.950000 53.344 57.2952
3.000000 53.666 55.8914
3.040000 53.919 54.7905
3.070000 54.107 53.9769
3.110000 54.353 52.9069
3.150000 54.596 51.8528
3.200000 54.894 50.5553
3.250000 55.188 49.2777
3.300000 55.478 48.0174
3.350000 55.762 46.7728
3.400000 56.041 45.5460
3.450000 56.314 44.3395
3.500000 56.583 43.1560
3.550000 56.847 41.9981
3.600000 57.108 40.8684
3.650000 57.366 39.7695
3.700000 57.622 38.7054
3.750000 57.872 37.6776
3.820000 58.217 36.2902
3.870000 58.459 35.3286
3.950000 58.840 33.8266
4.000000 59.076 32.9025
4.060000 59.356 31.8024
4.120000 59.632 30.7227
4.180000 59.904 29.6647
4.250000 60.217 28.4566
4.310000 60.483 27.4428
4.370000 60.745 26.4482
4.440000 61.048 25.3141
4.500000 61.304 24.3699
4.550000 61.515 23.5993
4.620000 61.807 22.5394
4.680000 62.055 21.6431
4.750000 62.340 20.6042
4.820000 62.622 19.5710
4.870000 62.820 18.8407
4.940000 63.095 17.8292
5.000000 63.328 16.9721
5.080000 63.633 15.8430
5.150000 63.896 14.8679
5.220000 64.155 13.9060
5.300000 64.447 12.8220
5.380000 64.733 11.7527
5.450000 64.980 10.8278
5.520000 65.223 9.9118
5.600000 65.496 8.8775
5.700000 65.830 7.6032
5.800000 66.158 6.3486
5.900000 66.479 5.1128
6.000000 66.792 3.8967
6.080000 67.039 2.9376
6.150000 67.251 2.1079
6.220000 67.460 1.2867
6.300000 67.695 0.3591
6.400000 67.983 -0.7833
6.500000 68.266 -1.9092
6.600000 68.542 -3.0209
6.700000 68.813 -4.1192
6.800000 69.078 -5.2028
6.900000 69.337 -6.2705
7.000000 69.591 -7.3214
7.100000 69.839 -8.3561
7.200000 70.081 -9.3745
7.300000 70.319 -10.3764
7.400000 70.552 -11.3613
7.500000 70.780 -12.3296
7.620000 71.048 -13.4697
7.750000 71.332 -14.6776
7.880000 71.610 -15.8555
8.000000 71.861 -16.9215
8.120000 72.108 -17.9716
8.250000 72.370 -19.0874
8.380000 72.628 -20.1880
8.500000 72.861 -21.1963
8.620000 73.091 -22.1940
8.750000 73.334 -23.2666
8.850000 73.517 -24.0883
9.000000 73.786 -25.3145
9.120000 73.995 -26.2859
9.250000 74.215 -27.3272
9.380000 74.428 -28.3585
9.500000 74.621 -29.2935
9.620000 74.808 -30.2084
9.750000 75.006 -31.1800
9.880000 75.199 -32.1276
10.000000 75.375 -32.9771
10.150000 75.592 -34.0098
10.300000 75.806 -35.0221
10.440000 76.006 -35.9428
10.600000 76.233 -36.9887
10.750000 76.445 -37.9775
10.900000 76.657 -38.9724
11.060000 76.878 -40.0650
11.200000 77.068 -41.0466
11.380000 77.304 -42.3369
11.500000 77.454 -43.2211
11.720000 77.714 -44.8538
11.800000 77.801 -45.4432
12.060000 78.067 -47.3312
12.200000 78.197 -48.2870
12.410000 78.380 -49.6396
12.500000 78.457 -50.1756
12.650000 78.582 -51.0096
12.800000 78.709 -51.7872
13.150000 79.026 -53.4077
13.200000 79.075 -53.6355
13.400000 79.279 -54.5292
13.600000 79.492 -55.4809
13.800000 79.713 -56.5227
14.000000 79.929 -57.6763
14.300000 80.234 -59.6081
14.500000 80.413 -60.9922
14.750000 80.607 -62.7238
15.000000 80.766 -64.3982
15.250000 80.899 -65.9058
15.500000 81.023 -67.2255
15.750000 81.147 -68.3606
16.000000 81.284 -69.3579
16.250000 81.437 -70.3130
16.500000 81.605 -71.2769
16.750000 81.779 -72.3154
17.000000 81.950 -73.4325
17.250000 82.111 -74.6077
17.500000 82.258 -75.8073
17.750000 82.391 -76.9743
18.000000 82.516 -78.0911
18.250000 82.635 -79.1398
18.500000 82.754 -80.1364
18.750000 82.875 -81.1031
19.000000 82.999 -82.0607
19.250000 83.122 -83.0333
19.500000 83.242 -84.0191
19.750000 83.357 -85.0162
20.000000 83.465 -86.0083
20.299999 83.588 -87.1761
20.600000 83.704 -88.3098
20.900000 83.817 -89.4093
21.200001 83.928 -90.4844
21.400000 84.001 -91.1933
21.799999 84.141 -92.5947
22.000000 84.209 -93.2865
22.400000 84.341 -94.6467
22.700001 84.436 -95.6455
23.000000 84.529 -96.6306
23.299999 84.620 -97.6083
23.600000 84.708 -98.5797
24.000000 84.819 -99.8572
24.299999 84.897 -100.7900
24.700001 84.998 -101.9886
25.000000 85.073 -102.8570
25.400000 85.175 -103.9942
25.799999 85.277 -105.1353
26.200001 85.375 -106.2911
26.500000 85.444 -107.1590
26.900000 85.528 -108.2984
27.200001 85.587 -109.1290
27.600000 85.663 -110.2008
28.000000 85.736 -111.2394
28.500000 85.824 -112.5032
29.000000 85.909 -113.7322
29.500000 85.990 -114.9291
30.000000 86.067 -116.1027
30.400000 86.126 -117.0226
30.700001 86.167 -117.6932
31.100000 86.220 -118.5511
31.500000 86.276 -119.3725
32.000000 86.352 -120.3922
32.500000 86.431 -121.4683
33.000000 86.499 -122.6090
33.500000 86.550 -123.7412
34.000000 86.588 -124.7799
34.500000 86.629 -125.7200
35.000000 86.677 -126.6272
35.500000 86.727 -127.5579
36.000000 86.772 -128.5008
36.500000 86.811 -129.4131
37.000000 86.849 -130.2822
37.500000 86.889 -131.1351
38.200001 86.943 -132.3381
38.700001 86.976 -133.1836
39.500000 87.024 -134.4666
40.000000 87.056 -135.2434
40.599998 87.092 -136.1777
41.200001 87.125 -137.1137
41.799999 87.151 -138.0338
42.500000 87.176 -139.0610
43.099998 87.196 -139.8913
43.700001 87.220 -140.6984
44.400002 87.249 -141.6531
45.000000 87.270 -142.4757
45.500000 87.285 -143.1375
46.200001 87.308 -144.0286
46.799999 87.329 -144.7879
47.500000 87.351 -145.6560
48.200001 87.376 -146.4816
48.700001 87.399 -147.0871
49.400002 87.425 -148.0208
50.000000 87.428 -148.8368
50.799999 87.412 -149.7520
51.500000 87.407 -150.3915
52.200001 87.417 -151.0247
53.000000 87.431 -151.8042
53.799999 87.441 -152.6028
54.500000 87.447 -153.3100
55.200001 87.449 -154.0116
56.000000 87.447 -154.7768
57.000000 87.448 -155.6975
58.000000 87.448 -156.6077
59.000000 87.444 -157.4865
60.000000 87.440 -158.3279
60.799999 87.436 -158.9955
61.500000 87.431 -159.5778
62.200001 87.423 -160.1435
63.000000 87.414 -160.7710
64.000000 87.402 -161.5545
65.000000 87.386 -162.3093
66.000000 87.372 -163.0097
67.000000 87.364 -163.6969
68.000000 87.356 -164.3959
69.000000 87.343 -165.0983
70.000000 87.325 -165.7758
71.000000 87.305 -166.4182
72.000000 87.285 -167.0480
73.000000 87.263 -167.6742
74.000000 87.240 -168.2843
75.000000 87.218 -168.8762
76.199997 87.192 -169.5706
77.500000 87.165 -170.2974
78.800003 87.138 -171.0079
80.000000 87.111 -171.6445
81.199997 87.081 -172.2525
82.500000 87.049 -172.8862
83.800003 87.017 -173.5047
85.000000 86.987 -174.0641
86.199997 86.954 -174.6144
87.500000 86.917 -175.1815
88.500000 86.890 -175.6035
90.000000 86.850 -176.2305
91.199997 86.818 -176.7272
92.500000 86.781 -177.2502
93.800003 86.744 -177.7540
95.000000 86.710 -178.2017
96.199997 86.674 -178.6349
97.500000 86.635 -179.0854
98.800003 86.597 -179.5196
100.000000 86.563 -179.9186
101.500000 86.521 179.5755
103.000000 86.477 179.0814
104.400002 86.434 178.6453
106.000000 86.386 178.1814
107.500000 86.341 177.7624
109.000000 86.296 177.3475
110.599998 86.247 176.9033
112.000000 86.203 176.5192
113.800003 86.147 176.0529
115.000000 86.111 175.7615
117.199997 86.047 175.2482
118.000000 86.024 175.0685
120.599998 85.945 174.5112
122.000000 85.903 174.2202
124.099998 85.836 173.7928
125.000000 85.807 173.6195
126.500000 85.760 173.3495
128.000000 85.717 173.0679
131.500000 85.610 172.4219
132.000000 85.595 172.3424
134.000000 85.538 172.0365
136.000000 85.482 171.7245
138.000000 85.423 171.4180
140.000000 85.364 171.1409
143.000000 85.274 170.7613
145.000000 85.213 170.4903
147.500000 85.139 170.0925
150.000000 85.059 169.7341
152.500000 84.990 169.5641
155.000000 84.929 169.4034
157.500000 84.860 169.2077
160.000000 84.789 168.9945
162.500000 84.720 168.7832
165.000000 84.650 168.5893
167.500000 84.582 168.4209
170.000000 84.518 168.2715
172.500000 84.452 168.1382
175.000000 84.385 168.0086
177.500000 84.319 167.8762
180.000000 84.255 167.7616
182.500000 84.192 167.6679
185.000000 84.129 167.5838
187.500000 84.067 167.5131
190.000000 84.006 167.4600
192.500000 83.946 167.4172
195.000000 83.886 167.3767
197.500000 83.825 167.3372
200.000000 83.767 167.3074
203.000000 83.699 167.2848
206.000000 83.632 167.2729
209.000000 83.566 167.2745
212.000000 83.503 167.2944
214.000000 83.462 167.3140
218.000000 83.378 167.3699
220.000000 83.337 167.4059
224.000000 83.259 167.4818
227.000000 83.202 167.5353
230.000000 83.145 167.5864
233.000000 83.091 167.6505
236.000000 83.043 167.7218
240.000000 82.980 167.8124
243.000000 82.934 167.8666
247.000000 82.871 167.9193
250.000000 82.818 167.9739
254.000000 82.741 168.1093
258.000000 82.674 168.2707
262.000000 82.621 168.3798
265.000000 82.585 168.4350
269.000000 82.525 168.5632
272.000000 82.476 168.6928
276.000000 82.414 168.8399
280.000000 82.355 168.9857
285.000000 82.287 169.1680
290.000000 82.212 169.3453
295.000000 82.133 169.5417
300.000000 82.060 169.7734
304.000000 82.005 169.9454
307.000000 81.965 170.0706
311.000000 81.913 170.2540
