* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.8 dBFS, measurement signal peak level -26.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:48:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0371 ms (-13 mm, -0.5 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: EA1000 Red R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.041 122.2146
1.015000 41.062 121.2616
1.030000 41.086 120.3320
1.044000 41.109 119.4886
1.060000 41.137 118.5564
1.075000 41.166 117.7167
1.090000 41.197 116.9133
1.106000 41.233 116.0986
1.120000 41.265 115.4153
1.138000 41.308 114.5728
1.150000 41.339 114.0321
1.172000 41.396 113.0808
1.180000 41.418 112.7467
1.206000 41.492 111.6999
1.220000 41.533 111.1584
1.241000 41.597 110.3710
1.250000 41.626 110.0415
1.265000 41.675 109.5014
1.280000 41.725 108.9711
1.315000 41.847 107.7605
1.320000 41.865 107.5896
1.340000 41.940 106.9083
1.360000 42.016 106.2271
1.380000 42.096 105.5414
1.400000 42.178 104.8468
1.430000 42.305 103.7782
1.450000 42.394 103.0412
1.475000 42.508 102.0868
1.500000 42.627 101.1128
1.525000 42.752 100.1269
1.550000 42.881 99.1323
1.575000 43.015 98.1322
1.600000 43.153 97.1298
1.625000 43.295 96.1283
1.650000 43.440 95.1310
1.675000 43.589 94.1411
1.700000 43.740 93.1617
1.725000 43.894 92.1961
1.750000 44.050 91.2475
1.775000 44.209 90.3190
1.800000 44.368 89.4140
1.825000 44.529 88.5356
1.850000 44.692 87.6861
1.875000 44.860 86.8633
1.900000 45.030 86.0642
1.925000 45.205 85.2862
1.950000 45.382 84.5262
1.975000 45.562 83.7815
2.000000 45.743 83.0493
2.030000 45.964 82.1831
2.060000 46.185 81.3258
2.090000 46.408 80.4725
2.120000 46.631 79.6184
2.140000 46.779 79.0461
2.180000 47.075 77.8879
2.200000 47.221 77.2992
2.240000 47.515 76.1152
2.270000 47.737 75.2269
2.300000 47.961 74.3391
2.330000 48.186 73.4524
2.360000 48.411 72.5675
2.400000 48.711 71.3915
2.430000 48.935 70.5133
2.470000 49.232 69.3486
2.500000 49.453 68.4807
2.540000 49.744 67.3322
2.580000 50.030 66.1941
2.620000 50.315 65.0604
2.650000 50.527 64.2129
2.690000 50.809 63.0883
2.720000 51.018 62.2498
2.760000 51.295 61.1398
2.800000 51.569 60.0408
2.850000 51.907 58.6853
2.900000 52.240 57.3535
2.950000 52.565 56.0485
3.000000 52.886 54.7692
3.040000 53.138 53.7624
3.070000 53.325 53.0162
3.110000 53.572 52.0322
3.150000 53.815 51.0597
3.200000 54.114 49.8584
3.250000 54.409 48.6708
3.300000 54.699 47.4947
3.350000 54.984 46.3269
3.400000 55.263 45.1689
3.450000 55.537 44.0246
3.500000 55.807 42.8976
3.550000 56.072 41.7918
3.600000 56.334 40.7110
3.650000 56.592 39.6591
3.700000 56.847 38.6397
3.750000 57.097 37.6525
3.820000 57.441 36.3154
3.870000 57.682 35.3861
3.950000 58.062 33.9311
4.000000 58.296 33.0343
4.060000 58.574 31.9656
4.120000 58.848 30.9137
4.180000 59.118 29.8803
4.250000 59.428 28.6980
4.310000 59.690 27.7045
4.370000 59.949 26.7294
4.440000 60.248 25.6177
4.500000 60.502 24.6917
4.550000 60.710 23.9356
4.620000 60.999 22.8941
4.680000 61.243 22.0113
4.750000 61.525 20.9852
4.820000 61.803 19.9618
4.870000 61.999 19.2370
4.940000 62.271 18.2307
5.000000 62.500 17.3755
5.080000 62.802 16.2449
5.150000 63.061 15.2642
5.220000 63.317 14.2926
5.300000 63.604 13.1929
5.380000 63.886 12.1037
5.450000 64.128 11.1584
5.520000 64.366 10.2193
5.600000 64.633 9.1533
5.700000 64.959 7.8339
5.800000 65.277 6.5321
5.900000 65.587 5.2507
6.000000 65.888 3.9864
6.080000 66.123 2.9891
6.150000 66.325 2.1286
6.220000 66.524 1.2809
6.300000 66.747 0.3281
6.400000 67.019 -0.8413
6.500000 67.284 -1.9861
6.600000 67.544 -3.1059
6.700000 67.798 -4.2005
6.800000 68.047 -5.2702
6.900000 68.291 -6.3153
7.000000 68.531 -7.3359
7.100000 68.767 -8.3296
7.200000 68.998 -9.2999
7.300000 69.227 -10.2515
7.400000 69.453 -11.1857
7.500000 69.676 -12.0993
7.620000 69.940 -13.1754
7.750000 70.223 -14.3245
7.880000 70.502 -15.4506
8.000000 70.756 -16.4785
8.120000 71.006 -17.5037
8.250000 71.275 -18.6062
8.380000 71.538 -19.7062
8.500000 71.777 -20.7248
8.620000 72.012 -21.7444
8.750000 72.261 -22.8493
8.850000 72.447 -23.6998
9.000000 72.721 -24.9786
9.120000 72.933 -25.9964
9.250000 73.155 -27.0901
9.380000 73.370 -28.1773
9.500000 73.562 -29.1646
9.620000 73.749 -30.1320
9.750000 73.945 -31.1611
9.880000 74.135 -32.1631
10.000000 74.307 -33.0600
10.150000 74.516 -34.1474
10.300000 74.722 -35.1998
10.440000 74.912 -36.1465
10.600000 75.126 -37.2013
10.750000 75.326 -38.1716
10.900000 75.525 -39.1247
11.060000 75.736 -40.1445
11.200000 75.919 -41.0368
11.380000 76.150 -42.1949
11.500000 76.302 -42.9783
11.720000 76.571 -44.4264
11.800000 76.665 -44.9560
12.060000 76.960 -46.6804
12.200000 77.110 -47.5934
12.410000 77.324 -48.9391
12.500000 77.413 -49.4978
12.650000 77.557 -50.4071
12.800000 77.698 -51.2888
13.150000 78.022 -53.2331
13.200000 78.069 -53.5039
13.400000 78.255 -54.5646
13.600000 78.441 -55.6261
13.800000 78.629 -56.7001
14.000000 78.813 -57.8050
14.300000 79.079 -59.5228
14.500000 79.244 -60.7023
14.750000 79.435 -62.1733
15.000000 79.608 -63.6164
15.250000 79.767 -64.9803
15.500000 79.917 -66.2493
15.750000 80.065 -67.4222
16.000000 80.217 -68.5170
16.250000 80.376 -69.5824
16.500000 80.540 -70.6462
16.750000 80.708 -71.7470
17.000000 80.872 -72.8918
17.250000 81.029 -74.0692
17.500000 81.175 -75.2598
17.750000 81.311 -76.4235
18.000000 81.440 -77.5464
18.250000 81.565 -78.6137
18.500000 81.691 -79.6387
18.750000 81.819 -80.6434
19.000000 81.949 -81.6484
19.250000 82.077 -82.6795
19.500000 82.198 -83.7301
19.750000 82.312 -84.7926
20.000000 82.413 -85.8307
20.299999 82.524 -87.0003
20.600000 82.629 -88.0581
20.900000 82.738 -89.0036
21.200001 82.860 -89.8819
21.400000 82.949 -90.4760
21.799999 83.139 -91.7583
22.000000 83.234 -92.4707
22.400000 83.404 -94.0331
22.700001 83.507 -95.2568
23.000000 83.586 -96.4355
23.299999 83.650 -97.5066
23.600000 83.708 -98.4524
24.000000 83.790 -99.5502
24.299999 83.861 -100.3166
24.700001 83.968 -101.3484
25.000000 84.049 -102.1583
25.400000 84.150 -103.2723
25.799999 84.241 -104.3744
26.200001 84.327 -105.4318
26.500000 84.392 -106.2022
26.900000 84.480 -107.2256
27.200001 84.545 -108.0048
27.600000 84.628 -109.0587
28.000000 84.702 -110.1066
28.500000 84.788 -111.3737
29.000000 84.870 -112.5898
29.500000 84.950 -113.7758
30.000000 85.027 -114.9384
30.400000 85.086 -115.8451
30.700001 85.129 -116.5104
31.100000 85.186 -117.3838
31.500000 85.242 -118.2479
32.000000 85.307 -119.3132
32.500000 85.368 -120.3469
33.000000 85.427 -121.3427
33.500000 85.487 -122.3181
34.000000 85.546 -123.2956
34.500000 85.601 -124.2755
35.000000 85.650 -125.2406
35.500000 85.696 -126.1800
36.000000 85.741 -127.0986
36.500000 85.783 -128.0037
37.000000 85.823 -128.8923
37.500000 85.860 -129.7563
38.200001 85.911 -130.9225
38.700001 85.947 -131.7317
39.500000 86.004 -132.9978
40.000000 86.037 -133.7756
40.599998 86.075 -134.6985
41.200001 86.106 -135.5965
41.799999 86.133 -136.4430
42.500000 86.167 -137.3644
43.099998 86.201 -138.1515
43.700001 86.234 -138.9797
44.400002 86.262 -139.9618
45.000000 86.279 -140.7609
45.500000 86.294 -141.4018
46.200001 86.317 -142.3091
46.799999 86.334 -143.0928
47.500000 86.352 -143.9694
48.200001 86.377 -144.8597
48.700001 86.391 -145.5459
49.400002 86.391 -146.4944
50.000000 86.378 -147.1560
50.799999 86.382 -147.8307
51.500000 86.411 -148.4403
52.200001 86.439 -149.1414
53.000000 86.460 -149.9450
53.799999 86.476 -150.7179
54.500000 86.485 -151.3914
55.200001 86.488 -152.0407
56.000000 86.491 -152.7499
57.000000 86.494 -153.6373
58.000000 86.493 -154.5267
59.000000 86.491 -155.3839
60.000000 86.495 -156.2253
60.799999 86.496 -156.9234
61.500000 86.491 -157.5193
62.200001 86.483 -158.0566
63.000000 86.480 -158.6220
64.000000 86.482 -159.3590
65.000000 86.472 -160.1167
66.000000 86.456 -160.8029
67.000000 86.445 -161.4480
68.000000 86.438 -162.1226
69.000000 86.427 -162.8138
70.000000 86.412 -163.4823
71.000000 86.396 -164.1121
72.000000 86.382 -164.7170
73.000000 86.367 -165.3131
74.000000 86.349 -165.8846
75.000000 86.334 -166.4338
76.199997 86.316 -167.1036
77.500000 86.291 -167.8197
78.800003 86.265 -168.4999
80.000000 86.241 -169.1065
81.199997 86.216 -169.6871
82.500000 86.189 -170.3023
83.800003 86.161 -170.9117
85.000000 86.134 -171.4624
86.199997 86.106 -172.0001
87.500000 86.077 -172.5661
88.500000 86.055 -172.9885
90.000000 86.020 -173.6058
91.199997 85.991 -174.0713
92.500000 85.960 -174.5598
93.800003 85.929 -175.0506
95.000000 85.898 -175.4972
96.199997 85.867 -175.9277
97.500000 85.835 -176.3865
98.800003 85.804 -176.8407
100.000000 85.772 -177.2528
101.500000 85.731 -177.7269
103.000000 85.691 -178.1650
104.400002 85.654 -178.5621
106.000000 85.612 -179.0179
107.500000 85.570 -179.4305
109.000000 85.529 -179.8192
110.599998 85.487 179.7642
112.000000 85.448 179.4055
113.800003 85.398 178.9593
115.000000 85.365 178.6703
117.199997 85.306 178.1497
118.000000 85.283 177.9721
120.599998 85.214 177.4407
122.000000 85.178 177.1646
124.099998 85.123 176.7571
125.000000 85.099 176.5841
126.500000 85.058 176.3046
128.000000 85.017 176.0359
131.500000 84.919 175.4241
132.000000 84.905 175.3409
134.000000 84.849 175.0269
136.000000 84.798 174.7300
138.000000 84.746 174.4487
140.000000 84.693 174.1783
143.000000 84.616 173.7928
145.000000 84.566 173.5607
147.500000 84.500 173.3546
150.000000 84.441 173.1690
152.500000 84.374 172.8294
155.000000 84.300 172.5100
157.500000 84.236 172.2700
160.000000 84.177 172.0767
162.500000 84.116 171.8849
165.000000 84.055 171.6941
167.500000 83.993 171.5229
170.000000 83.930 171.3750
172.500000 83.871 171.2380
175.000000 83.815 171.0959
177.500000 83.757 170.9612
180.000000 83.698 170.8413
182.500000 83.639 170.7397
185.000000 83.582 170.6559
187.500000 83.526 170.5811
190.000000 83.467 170.5097
192.500000 83.410 170.4473
195.000000 83.355 170.4026
197.500000 83.304 170.3790
200.000000 83.254 170.3579
203.000000 83.190 170.3120
206.000000 83.127 170.2743
209.000000 83.068 170.2520
212.000000 83.010 170.2428
214.000000 82.971 170.2494
218.000000 82.892 170.3051
220.000000 82.853 170.3394
224.000000 82.776 170.3852
227.000000 82.725 170.4266
230.000000 82.676 170.5069
233.000000 82.624 170.5947
236.000000 82.570 170.6602
240.000000 82.502 170.7473
243.000000 82.456 170.8311
247.000000 82.397 170.9650
250.000000 82.353 171.0635
254.000000 82.288 171.1753
258.000000 82.224 171.2908
262.000000 82.170 171.4057
265.000000 82.130 171.5042
269.000000 82.075 171.6921
272.000000 82.035 171.8447
276.000000 81.982 172.0201
280.000000 81.931 172.1916
285.000000 81.870 172.4271
290.000000 81.813 172.6235
295.000000 81.757 172.8049
300.000000 81.700 173.0203
304.000000 81.653 173.1883
307.000000 81.618 173.3086
