* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -23.7 dBFS, measurement signal peak level -23.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09/12/2023 12:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0195 ms (-6.7 mm, -0.26 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EM6L L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.116 127.2403
1.015000 42.239 126.0873
1.030000 42.364 124.9525
1.044000 42.481 123.9127
1.060000 42.617 122.7510
1.075000 42.745 121.6910
1.090000 42.874 120.6626
1.106000 43.013 119.6017
1.120000 43.137 118.6912
1.138000 43.301 117.5399
1.150000 43.412 116.7837
1.172000 43.619 115.4196
1.180000 43.696 114.9303
1.206000 43.949 113.3627
1.220000 44.088 112.5319
1.241000 44.299 111.3013
1.250000 44.391 110.7792
1.265000 44.544 109.9153
1.280000 44.699 109.0587
1.315000 45.064 107.0835
1.320000 45.116 106.8036
1.340000 45.327 105.6883
1.360000 45.539 104.5786
1.380000 45.751 103.4726
1.400000 45.963 102.3683
1.430000 46.280 100.7108
1.450000 46.491 99.6023
1.475000 46.753 98.2098
1.500000 47.017 96.8123
1.525000 47.285 95.4131
1.550000 47.555 94.0152
1.575000 47.828 92.6214
1.600000 48.101 91.2345
1.625000 48.376 89.8575
1.650000 48.651 88.4932
1.675000 48.926 87.1444
1.700000 49.200 85.8140
1.725000 49.472 84.5050
1.750000 49.743 83.2200
1.775000 50.011 81.9621
1.800000 50.276 80.7340
1.825000 50.537 79.5386
1.850000 50.795 78.3779
1.875000 51.052 77.2497
1.900000 51.308 76.1516
1.925000 51.562 75.0811
1.950000 51.815 74.0357
1.975000 52.067 73.0129
2.000000 52.317 72.0102
2.030000 52.614 70.8301
2.060000 52.908 69.6711
2.090000 53.199 68.5290
2.120000 53.487 67.3994
2.140000 53.676 66.6512
2.180000 54.051 65.1609
2.200000 54.235 64.4162
2.240000 54.599 62.9422
2.270000 54.867 61.8548
2.300000 55.133 60.7825
2.330000 55.395 59.7252
2.360000 55.653 58.6825
2.400000 55.993 57.3143
2.430000 56.244 56.3044
2.470000 56.574 54.9788
2.500000 56.818 53.9999
2.540000 57.138 52.7146
2.580000 57.453 51.4516
2.620000 57.761 50.2134
2.650000 57.989 49.3010
2.690000 58.286 48.1059
2.720000 58.506 47.2251
2.760000 58.794 46.0711
2.800000 59.078 44.9399
2.850000 59.425 43.5568
2.900000 59.766 42.2071
2.950000 60.101 40.8907
3.000000 60.428 39.6161
3.040000 60.684 38.6252
3.070000 60.873 37.8971
3.110000 61.121 36.9442
3.150000 61.365 36.0096
3.200000 61.665 34.8631
3.250000 61.960 33.7361
3.300000 62.252 32.6235
3.350000 62.538 31.5286
3.400000 62.818 30.4558
3.450000 63.092 29.4050
3.500000 63.362 28.3764
3.550000 63.628 27.3698
3.600000 63.891 26.3851
3.650000 64.150 25.4225
3.700000 64.407 24.4853
3.750000 64.660 23.5791
3.820000 65.007 22.3526
3.870000 65.252 21.4990
3.950000 65.637 20.1567
4.000000 65.874 19.3237
4.060000 66.156 18.3241
4.120000 66.434 17.3365
4.180000 66.709 16.3617
4.250000 67.024 15.2385
4.310000 67.291 14.2859
4.370000 67.554 13.3411
4.440000 67.857 12.2493
4.500000 68.113 11.3275
4.550000 68.324 10.5670
4.620000 68.614 9.5095
4.680000 68.859 8.6058
4.750000 69.141 7.5496
4.820000 69.417 6.4890
4.870000 69.611 5.7311
4.940000 69.878 4.6713
5.000000 70.103 3.7655
5.080000 70.397 2.5635
5.150000 70.648 1.5190
5.220000 70.894 0.4784
5.300000 71.168 -0.7057
5.380000 71.435 -1.8812
5.450000 71.663 -2.9005
5.520000 71.886 -3.9096
5.600000 72.134 -5.0547
5.700000 72.434 -6.4709
5.800000 72.725 -7.8638
5.900000 73.007 -9.2276
6.000000 73.280 -10.5663
6.080000 73.492 -11.6183
6.150000 73.673 -12.5234
6.220000 73.851 -13.4130
6.300000 74.050 -14.4098
6.400000 74.293 -15.6277
6.500000 74.529 -16.8166
6.600000 74.760 -17.9790
6.700000 74.986 -19.1131
6.800000 75.207 -20.2195
6.900000 75.424 -21.3016
7.000000 75.638 -22.3621
7.100000 75.847 -23.3974
7.200000 76.053 -24.4108
7.300000 76.256 -25.4074
7.400000 76.456 -26.3893
7.500000 76.653 -27.3531
7.620000 76.886 -28.4907
7.750000 77.134 -29.7047
7.880000 77.377 -30.8965
8.000000 77.598 -31.9813
8.120000 77.816 -33.0560
8.250000 78.047 -34.2057
8.380000 78.275 -35.3445
8.500000 78.482 -36.3895
8.620000 78.686 -37.4265
8.750000 78.902 -38.5438
8.850000 79.065 -39.4007
9.000000 79.306 -40.6806
9.120000 79.494 -41.6997
9.250000 79.692 -42.7996
9.380000 79.886 -43.8952
9.500000 80.061 -44.8995
9.620000 80.231 -45.8960
9.750000 80.411 -46.9680
9.880000 80.586 -48.0272
10.000000 80.743 -48.9924
10.150000 80.934 -50.1829
10.300000 81.120 -51.3523
10.440000 81.289 -52.4236
10.600000 81.478 -53.6277
10.750000 81.651 -54.7373
10.900000 81.820 -55.8295
11.060000 81.997 -56.9823
11.200000 82.148 -57.9796
11.380000 82.339 -59.2509
11.500000 82.462 -60.0935
11.720000 82.682 -61.6232
11.800000 82.759 -62.1744
12.060000 83.001 -63.9432
12.200000 83.126 -64.8733
12.410000 83.306 -66.2377
12.500000 83.381 -66.8070
12.650000 83.503 -67.7356
12.800000 83.623 -68.6407
13.150000 83.899 -70.6609
13.200000 83.938 -70.9430
13.400000 84.095 -72.0521
13.600000 84.251 -73.1539
13.800000 84.407 -74.2558
14.000000 84.560 -75.3693
14.300000 84.782 -77.0632
14.500000 84.922 -78.2046
14.750000 85.086 -79.6209
15.000000 85.238 -81.0124
15.250000 85.380 -82.3514
15.500000 85.516 -83.6324
15.750000 85.648 -84.8568
16.000000 85.781 -86.0374
16.250000 85.914 -87.1995
16.500000 86.046 -88.3565
16.750000 86.177 -89.5254
17.000000 86.302 -90.7050
17.250000 86.421 -91.8877
17.500000 86.531 -93.0616
17.750000 86.635 -94.2079
18.000000 86.733 -95.3212
18.250000 86.828 -96.3959
18.500000 86.921 -97.4392
18.750000 87.013 -98.4607
19.000000 87.104 -99.4692
19.250000 87.194 -100.4758
19.500000 87.282 -101.4805
19.750000 87.366 -102.4830
20.000000 87.445 -103.4762
20.299999 87.536 -104.6465
20.600000 87.621 -105.7869
20.900000 87.704 -106.8956
21.200001 87.784 -107.9774
21.400000 87.837 -108.6887
21.799999 87.941 -110.0946
22.000000 87.991 -110.7911
22.400000 88.087 -112.1694
22.700001 88.154 -113.1835
23.000000 88.219 -114.1742
23.299999 88.281 -115.1399
23.600000 88.342 -116.0833
24.000000 88.422 -117.3159
24.299999 88.481 -118.2294
24.700001 88.556 -119.4382
25.000000 88.609 -120.3350
25.400000 88.674 -121.5069
25.799999 88.734 -122.6393
26.200001 88.792 -123.7297
26.500000 88.835 -124.5261
26.900000 88.892 -125.5721
27.200001 88.934 -126.3516
27.600000 88.987 -127.3860
28.000000 89.035 -128.4076
28.500000 89.090 -129.6523
29.000000 89.140 -130.8582
29.500000 89.189 -132.0383
30.000000 89.233 -133.2040
30.400000 89.265 -134.1234
30.700001 89.287 -134.8010
31.100000 89.313 -135.6840
31.500000 89.338 -136.5421
32.000000 89.369 -137.5826
32.500000 89.399 -138.5962
33.000000 89.431 -139.5974
33.500000 89.462 -140.6018
34.000000 89.489 -141.6125
34.500000 89.508 -142.6066
35.000000 89.521 -143.5509
35.500000 89.534 -144.4314
36.000000 89.551 -145.2731
36.500000 89.571 -146.1140
37.000000 89.589 -146.9674
37.500000 89.602 -147.8121
38.200001 89.617 -148.9417
38.700001 89.627 -149.7243
39.500000 89.642 -150.9827
40.000000 89.646 -151.7544
40.599998 89.649 -152.6390
41.200001 89.654 -153.5006
41.799999 89.658 -154.3705
42.500000 89.656 -155.3739
43.099998 89.652 -156.1898
43.700001 89.648 -156.9786
44.400002 89.642 -157.8846
45.000000 89.633 -158.6261
45.500000 89.627 -159.2102
46.200001 89.623 -160.0185
46.799999 89.618 -160.7395
47.500000 89.603 -161.5777
48.200001 89.581 -162.3416
48.700001 89.570 -162.8459
49.400002 89.563 -163.5700
50.000000 89.558 -164.2581
50.799999 89.534 -165.2160
51.500000 89.502 -165.9776
52.200001 89.474 -166.6595
53.000000 89.451 -167.4384
53.799999 89.424 -168.2232
54.500000 89.397 -168.8577
55.200001 89.375 -169.4525
56.000000 89.353 -170.1280
57.000000 89.324 -170.9606
58.000000 89.293 -171.7668
59.000000 89.259 -172.5661
60.000000 89.218 -173.3351
60.799999 89.183 -173.9024
61.500000 89.155 -174.3697
62.200001 89.132 -174.8342
63.000000 89.106 -175.3788
64.000000 89.071 -176.0574
65.000000 89.036 -176.7186
66.000000 89.002 -177.3962
67.000000 88.961 -178.0763
68.000000 88.916 -178.7300
69.000000 88.869 -179.3501
70.000000 88.824 -179.9305
71.000000 88.783 179.5038
72.000000 88.741 178.9456
73.000000 88.698 178.4099
74.000000 88.653 177.8936
75.000000 88.607 177.4002
76.199997 88.550 176.8281
77.500000 88.488 176.1959
78.800003 88.422 175.5784
80.000000 88.363 175.0416
81.199997 88.306 174.5278
82.500000 88.245 174.0089
83.800003 88.182 173.5271
85.000000 88.124 173.1044
86.199997 88.067 172.6638
87.500000 88.002 172.1475
88.500000 87.950 171.7682
90.000000 87.878 171.2512
91.199997 87.819 170.8835
92.500000 87.751 170.5882
93.800003 87.684 170.3538
95.000000 87.616 170.1632
96.199997 87.555 170.0147
97.500000 87.512 169.7994
98.800003 87.489 169.4446
100.000000 87.473 169.0144
101.500000 87.432 168.3712
103.000000 87.344 167.9948
104.400002 87.274 167.8163
106.000000 87.184 167.4592
107.500000 87.089 167.0692
109.000000 86.996 166.6295
110.599998 86.899 166.2416
112.000000 86.825 166.0186
113.800003 86.735 165.7794
115.000000 86.667 165.6556
117.199997 86.533 165.5402
118.000000 86.486 165.5253
120.599998 86.320 165.5555
122.000000 86.220 165.6642
124.099998 86.057 165.9381
125.000000 85.988 166.1292
126.500000 85.887 166.5699
128.000000 85.812 167.1892
131.500000 85.760 169.2936
132.000000 85.767 169.6119
134.000000 85.831 170.7919
136.000000 86.006 171.5691
138.000000 86.242 171.2573
140.000000 86.417 170.3039
143.000000 86.541 168.6992
145.000000 86.541 167.6677
147.500000 86.486 166.4803
150.000000 86.409 165.5034
152.500000 86.329 164.7625
155.000000 86.243 164.1670
157.500000 86.153 163.6683
160.000000 86.066 163.2582
162.500000 85.980 162.9289
165.000000 85.887 162.6438
167.500000 85.787 162.3842
170.000000 85.701 162.1870
172.500000 85.636 161.9936
175.000000 85.569 161.8114
177.500000 85.494 161.6806
180.000000 85.418 161.5661
182.500000 85.345 161.4589
185.000000 85.274 161.3779
187.500000 85.204 161.3140
190.000000 85.136 161.2570
192.500000 85.071 161.2073
195.000000 85.008 161.1664
197.500000 84.945 161.1279
200.000000 84.882 161.0844
203.000000 84.808 161.0491
206.000000 84.740 161.0590
209.000000 84.675 161.0959
212.000000 84.611 161.1303
214.000000 84.569 161.1482
218.000000 84.485 161.1861
220.000000 84.444 161.2063
224.000000 84.362 161.2517
227.000000 84.302 161.2888
230.000000 84.244 161.3220
233.000000 84.184 161.3708
236.000000 84.124 161.4377
240.000000 84.048 161.5292
243.000000 83.991 161.6183
247.000000 83.912 161.7794
250.000000 83.853 161.9334
254.000000 83.786 162.1807
258.000000 83.732 162.4609
262.000000 83.691 162.7513
265.000000 83.671 162.9262
269.000000 83.648 163.0460
272.000000 83.628 163.0748
276.000000 83.593 163.0784
280.000000 83.548 163.0579
285.000000 83.484 163.0599
290.000000 83.415 163.1171
295.000000 83.347 163.2125
300.000000 83.280 163.3292
304.000000 83.227 163.4340
