* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -25.5 dBFS, measurement signal peak level -25.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09/12/2023 12:03:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0275 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EM6L R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 39.945 138.7036
1.015000 40.005 137.5383
1.030000 40.067 136.3793
1.044000 40.128 135.3056
1.060000 40.202 134.0910
1.075000 40.274 132.9671
1.090000 40.350 131.8604
1.106000 40.436 130.6980
1.120000 40.514 129.6780
1.138000 40.618 128.3579
1.150000 40.691 127.4732
1.172000 40.829 125.8433
1.180000 40.881 125.2486
1.206000 41.056 123.3104
1.220000 41.153 122.2647
1.241000 41.304 120.6954
1.250000 41.370 120.0231
1.265000 41.482 118.9039
1.280000 41.597 117.7869
1.315000 41.872 115.1947
1.320000 41.913 114.8265
1.340000 42.076 113.3604
1.360000 42.242 111.9067
1.380000 42.411 110.4675
1.400000 42.583 109.0453
1.430000 42.844 106.9483
1.450000 43.021 105.5778
1.475000 43.245 103.8965
1.500000 43.477 102.2267
1.525000 43.717 100.5652
1.550000 43.964 98.9152
1.575000 44.218 97.2801
1.600000 44.476 95.6633
1.625000 44.739 94.0680
1.650000 45.006 92.4976
1.675000 45.274 90.9555
1.700000 45.544 89.4448
1.725000 45.815 87.9691
1.750000 46.085 86.5316
1.775000 46.353 85.1356
1.800000 46.619 83.7845
1.825000 46.881 82.4816
1.850000 47.141 81.2301
1.875000 47.402 80.0294
1.900000 47.664 78.8761
1.925000 47.926 77.7666
1.950000 48.190 76.6971
1.975000 48.453 75.6642
2.000000 48.716 74.6642
2.030000 49.030 73.5026
2.060000 49.344 72.3770
2.090000 49.655 71.2812
2.120000 49.964 70.2089
2.140000 50.168 69.5041
2.180000 50.572 68.1102
2.200000 50.772 67.4175
2.240000 51.167 66.0707
2.270000 51.461 65.1014
2.300000 51.753 64.1638
2.330000 52.042 63.2547
2.360000 52.330 62.3712
2.400000 52.710 61.2276
2.430000 52.992 60.3918
2.470000 53.365 59.3009
2.500000 53.641 58.4964
2.540000 54.007 57.4361
2.580000 54.368 56.3865
2.620000 54.724 55.3685
2.650000 54.989 54.6271
2.690000 55.338 53.6641
2.720000 55.597 52.9583
2.760000 55.939 52.0356
2.800000 56.277 51.1292
2.850000 56.695 50.0122
2.900000 57.106 48.9042
2.950000 57.512 47.7990
3.000000 57.911 46.7179
3.040000 58.227 45.8707
3.070000 58.461 45.2431
3.110000 58.769 44.4142
3.150000 59.074 43.5910
3.200000 59.450 42.5644
3.250000 59.820 41.5341
3.300000 60.184 40.4934
3.350000 60.542 39.4460
3.400000 60.895 38.3982
3.450000 61.241 37.3502
3.500000 61.581 36.3024
3.550000 61.916 35.2551
3.600000 62.244 34.2085
3.650000 62.566 33.1631
3.700000 62.882 32.1192
3.750000 63.192 31.0770
3.820000 63.615 29.6197
3.870000 63.910 28.5792
3.950000 64.369 26.9137
4.000000 64.648 25.8713
4.060000 64.974 24.6169
4.120000 65.291 23.3537
4.180000 65.599 22.0865
4.250000 65.948 20.6111
4.310000 66.237 19.3557
4.370000 66.518 18.1153
4.440000 66.835 16.6892
4.500000 67.096 15.4750
4.550000 67.308 14.4707
4.620000 67.594 13.0808
4.680000 67.832 11.9081
4.750000 68.100 10.5670
4.820000 68.358 9.2528
4.870000 68.536 8.3257
4.940000 68.776 7.0490
5.000000 68.975 5.9791
5.080000 69.231 4.5954
5.150000 69.449 3.4315
5.220000 69.658 2.3065
5.300000 69.888 1.0660
5.380000 70.109 -0.1247
5.450000 70.299 -1.1248
5.520000 70.486 -2.0843
5.600000 70.693 -3.1271
5.700000 70.945 -4.3577
5.800000 71.192 -5.5210
5.900000 71.439 -6.6273
6.000000 71.684 -7.6591
6.080000 71.878 -8.4421
6.150000 72.048 -9.1081
6.220000 72.219 -9.7657
6.300000 72.415 -10.5011
6.400000 72.661 -11.3846
6.500000 72.908 -12.2520
6.600000 73.154 -13.1286
6.700000 73.401 -14.0117
6.800000 73.648 -14.8952
6.900000 73.893 -15.7888
7.000000 74.134 -16.7018
7.100000 74.372 -17.6330
7.200000 74.607 -18.5770
7.300000 74.836 -19.5290
7.400000 75.059 -20.4897
7.500000 75.277 -21.4632
7.620000 75.531 -22.6325
7.750000 75.798 -23.8826
7.880000 76.053 -25.1242
8.000000 76.282 -26.2536
8.120000 76.506 -27.3559
8.250000 76.742 -28.5225
8.380000 76.973 -29.6659
8.500000 77.184 -30.7014
8.620000 77.392 -31.7143
8.750000 77.614 -32.8026
8.850000 77.785 -33.6419
9.000000 78.039 -34.8938
9.120000 78.239 -35.9026
9.250000 78.451 -37.0144
9.380000 78.661 -38.1403
9.500000 78.848 -39.1900
9.620000 79.029 -40.2530
9.750000 79.219 -41.4185
9.880000 79.400 -42.5781
10.000000 79.558 -43.6413
10.150000 79.746 -44.9602
10.300000 79.923 -46.2313
10.440000 80.079 -47.3768
10.600000 80.249 -48.6260
10.750000 80.405 -49.7222
10.900000 80.556 -50.7549
11.060000 80.719 -51.7961
11.200000 80.863 -52.6501
11.380000 81.053 -53.7156
11.500000 81.184 -54.4079
11.720000 81.429 -55.6722
11.800000 81.520 -56.1437
12.060000 81.817 -57.7100
12.200000 81.975 -58.5940
12.410000 82.206 -59.9639
12.500000 82.301 -60.5602
12.650000 82.455 -61.5731
12.800000 82.602 -62.5871
13.150000 82.917 -64.9074
13.200000 82.960 -65.2285
13.400000 83.125 -66.4832
13.600000 83.286 -67.6943
13.800000 83.443 -68.8582
14.000000 83.600 -70.0031
14.300000 83.833 -71.7015
14.500000 83.984 -72.8484
14.750000 84.162 -74.2948
15.000000 84.328 -75.7482
15.250000 84.475 -77.1698
15.500000 84.608 -78.5166
15.750000 84.729 -79.7665
16.000000 84.847 -80.8968
16.250000 84.968 -81.9347
16.500000 85.096 -82.9074
16.750000 85.234 -83.8620
17.000000 85.377 -84.8477
17.250000 85.521 -85.8779
17.500000 85.661 -86.9653
17.750000 85.791 -88.0831
18.000000 85.911 -89.2081
18.250000 86.020 -90.3137
18.500000 86.123 -91.3762
18.750000 86.222 -92.3993
19.000000 86.321 -93.3867
19.250000 86.421 -94.3635
19.500000 86.521 -95.3447
19.750000 86.619 -96.3412
20.000000 86.712 -97.3559
20.299999 86.814 -98.5767
20.600000 86.906 -99.7755
20.900000 86.990 -100.9238
21.200001 87.069 -102.0031
21.400000 87.122 -102.6869
21.799999 87.232 -103.9955
22.000000 87.290 -104.6378
22.400000 87.411 -105.9366
22.700001 87.501 -106.9395
23.000000 87.585 -107.9645
23.299999 87.661 -108.9904
23.600000 87.730 -109.9942
24.000000 87.814 -111.2701
24.299999 87.874 -112.1772
24.700001 87.954 -113.3452
25.000000 88.015 -114.2150
25.400000 88.089 -115.3799
25.799999 88.152 -116.5150
26.200001 88.205 -117.5499
26.500000 88.248 -118.2384
26.900000 88.321 -119.0788
27.200001 88.392 -119.7290
27.600000 88.503 -120.7436
28.000000 88.607 -121.9980
28.500000 88.688 -123.7807
29.000000 88.703 -125.4340
29.500000 88.692 -126.6828
30.000000 88.712 -127.6065
30.400000 88.761 -128.3282
30.700001 88.808 -128.9447
31.100000 88.868 -129.8715
31.500000 88.912 -130.8406
32.000000 88.952 -131.9742
32.500000 88.993 -132.9916
33.000000 89.043 -133.9909
33.500000 89.091 -135.0415
34.000000 89.127 -136.1032
34.500000 89.150 -137.0989
35.000000 89.172 -138.0152
35.500000 89.196 -138.8990
36.000000 89.221 -139.7884
36.500000 89.242 -140.6770
37.000000 89.259 -141.5378
37.500000 89.276 -142.3603
38.200001 89.307 -143.4859
38.700001 89.334 -144.3142
39.500000 89.369 -145.6945
40.000000 89.382 -146.5308
40.599998 89.395 -147.4508
41.200001 89.416 -148.3253
41.799999 89.440 -149.2461
42.500000 89.448 -150.3555
43.099998 89.439 -151.1958
43.700001 89.435 -151.9174
44.400002 89.445 -152.7846
45.000000 89.447 -153.6142
45.500000 89.438 -154.2828
46.200001 89.429 -155.1367
46.799999 89.434 -155.9312
47.500000 89.421 -156.9974
48.200001 89.374 -157.8963
48.700001 89.350 -158.3189
49.400002 89.365 -158.8418
50.000000 89.401 -159.4904
50.799999 89.420 -160.5426
51.500000 89.410 -161.3376
52.200001 89.404 -162.0096
53.000000 89.399 -162.7679
53.799999 89.383 -163.4916
54.500000 89.368 -164.0871
55.200001 89.352 -164.6971
56.000000 89.328 -165.4145
57.000000 89.293 -166.2964
58.000000 89.258 -167.1656
59.000000 89.228 -168.0150
60.000000 89.203 -168.8542
60.799999 89.183 -169.5194
61.500000 89.163 -170.0737
62.200001 89.145 -170.6011
63.000000 89.123 -171.1939
64.000000 89.091 -171.9245
65.000000 89.054 -172.6250
66.000000 89.016 -173.2965
67.000000 88.980 -173.9574
68.000000 88.945 -174.6218
69.000000 88.910 -175.2652
70.000000 88.876 -175.8840
71.000000 88.841 -176.4886
72.000000 88.804 -177.0547
73.000000 88.769 -177.5892
74.000000 88.735 -178.1299
75.000000 88.697 -178.6731
76.199997 88.648 -179.2984
77.500000 88.595 -179.9572
78.800003 88.543 179.4114
80.000000 88.496 178.8470
81.199997 88.448 178.3046
82.500000 88.397 177.7383
83.800003 88.343 177.1810
85.000000 88.293 176.6865
86.199997 88.244 176.2096
87.500000 88.194 175.6888
88.500000 88.154 175.2983
90.000000 88.094 174.7532
91.199997 88.046 174.3433
92.500000 87.992 173.9136
93.800003 87.936 173.4897
95.000000 87.881 173.0844
96.199997 87.820 172.7028
97.500000 87.761 172.3519
98.800003 87.715 171.9815
100.000000 87.674 171.6143
101.500000 87.619 171.1728
103.000000 87.559 170.7825
104.400002 87.502 170.4450
106.000000 87.434 170.0488
107.500000 87.368 169.6626
109.000000 87.300 169.2982
110.599998 87.234 168.9679
112.000000 87.182 168.6908
113.800003 87.108 168.3492
115.000000 87.053 168.1524
117.199997 86.948 167.8470
118.000000 86.912 167.7442
120.599998 86.808 167.3269
122.000000 86.749 167.0885
124.099998 86.644 166.7445
125.000000 86.593 166.6024
126.500000 86.499 166.3776
128.000000 86.405 166.3349
131.500000 86.316 166.4614
132.000000 86.297 166.4645
134.000000 86.213 166.7064
136.000000 86.169 166.7415
138.000000 86.112 166.4235
140.000000 86.085 166.6087
143.000000 86.117 167.4079
145.000000 86.101 167.9387
147.500000 86.066 167.5099
150.000000 86.002 166.4131
152.500000 85.963 165.8012
155.000000 85.952 165.8314
157.500000 85.950 165.4741
160.000000 85.876 164.7980
162.500000 85.752 164.7551
165.000000 85.680 164.8115
167.500000 85.672 164.2744
170.000000 85.691 163.4801
172.500000 85.571 163.3729
175.000000 85.383 164.0060
177.500000 85.240 164.1102
180.000000 85.172 164.0189
182.500000 85.131 164.3273
185.000000 85.043 164.7056
187.500000 85.008 164.8681
190.000000 85.174 165.4437
192.500000 85.497 166.5880
195.000000 85.610 166.6145
197.500000 85.318 165.9432
200.000000 85.036 165.4200
203.000000 84.940 164.9319
206.000000 84.902 164.6807
209.000000 84.833 164.3427
212.000000 84.779 164.0675
214.000000 84.745 164.0013
218.000000 84.650 163.8586
220.000000 84.604 163.7695
224.000000 84.522 163.6924
227.000000 84.456 163.6840
230.000000 84.393 163.6792
233.000000 84.336 163.6873
236.000000 84.279 163.7082
240.000000 84.190 163.8250
243.000000 84.122 163.9383
247.000000 84.042 163.9826
250.000000 83.986 164.0042
254.000000 83.914 164.1428
258.000000 83.839 164.4146
262.000000 83.768 164.7764
265.000000 83.726 165.0551
269.000000 83.684 165.4196
272.000000 83.660 165.6686
276.000000 83.642 165.9345
280.000000 83.633 166.1107
285.000000 83.621 166.1684
290.000000 83.592 166.1345
295.000000 83.547 166.0548
300.000000 83.493 165.9943
