* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -20.1 dBFS, measurement signal peak level -20.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0973 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: ER2SE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.591 -43.6828
1.015000 59.776 -45.2864
1.030000 59.957 -46.8284
1.044000 60.123 -48.2064
1.060000 60.309 -49.7019
1.075000 60.482 -51.0205
1.090000 60.653 -52.2517
1.106000 60.833 -53.4607
1.120000 60.985 -54.4237
1.138000 61.173 -55.5397
1.150000 61.294 -56.2133
1.172000 61.505 -57.3165
1.180000 61.578 -57.6792
1.206000 61.807 -58.7349
1.220000 61.923 -59.2355
1.241000 62.089 -59.9139
1.250000 62.157 -60.1825
1.265000 62.266 -60.6067
1.280000 62.371 -61.0083
1.315000 62.597 -61.8996
1.320000 62.627 -62.0258
1.340000 62.744 -62.5392
1.360000 62.854 -63.0797
1.380000 62.957 -63.6653
1.400000 63.053 -64.3140
1.430000 63.186 -65.4446
1.450000 63.267 -66.3298
1.475000 63.362 -67.6109
1.500000 63.447 -69.0586
1.525000 63.524 -70.6410
1.550000 63.591 -72.3328
1.575000 63.647 -74.1084
1.600000 63.692 -75.9424
1.625000 63.726 -77.8092
1.650000 63.748 -79.6835
1.675000 63.757 -81.5398
1.700000 63.753 -83.3526
1.725000 63.736 -85.0963
1.750000 63.704 -86.7456
1.775000 63.658 -88.2750
1.800000 63.597 -89.6589
1.825000 63.520 -90.8719
1.850000 63.427 -91.9637
1.875000 63.320 -93.0860
1.900000 63.200 -94.2183
1.925000 63.065 -95.3324
1.950000 62.916 -96.4000
1.975000 62.754 -97.3931
2.000000 62.578 -98.2833
2.030000 62.348 -99.1761
2.060000 62.099 -99.8315
2.090000 61.831 -100.2006
2.120000 61.544 -100.2348
2.140000 61.342 -100.0475
2.180000 60.913 -99.1034
2.200000 60.686 -98.3175
2.240000 60.110 -96.0331
2.270000 59.569 -93.7466
2.300000 58.966 -91.0415
2.330000 58.326 -87.9833
2.360000 57.676 -84.6375
2.400000 56.841 -79.8422
2.430000 56.272 -76.0799
2.470000 55.642 -70.9670
2.500000 55.301 -67.1448
2.540000 55.069 -62.1896
2.580000 55.151 -57.4448
2.620000 55.547 -52.2706
2.650000 56.016 -48.1061
2.690000 56.823 -42.3399
2.720000 57.531 -37.9671
2.760000 58.565 -32.2372
2.800000 59.647 -26.8102
2.850000 60.975 -20.7650
2.900000 62.167 -15.9145
2.950000 63.133 -12.6162
3.000000 64.024 -10.6775
3.040000 64.713 -9.9171
3.070000 65.215 -9.7338
3.110000 65.863 -9.9149
3.150000 66.485 -10.4789
3.200000 67.220 -11.5502
3.250000 67.905 -12.8227
3.300000 68.536 -14.0793
3.350000 69.104 -15.6553
3.400000 69.613 -17.7757
3.450000 70.072 -20.2729
3.500000 70.488 -22.9795
3.550000 70.870 -25.7282
3.600000 71.227 -28.3515
3.650000 71.566 -30.6820
3.700000 71.888 -32.6540
3.750000 72.177 -34.4512
3.820000 72.532 -36.7717
3.870000 72.756 -38.3498
3.950000 73.071 -40.8598
4.000000 73.248 -42.4883
4.060000 73.441 -44.5706
4.120000 73.605 -46.7751
4.180000 73.739 -49.0360
4.250000 73.866 -51.6574
4.310000 73.953 -53.8150
4.370000 74.026 -55.8208
4.440000 74.092 -57.9211
4.500000 74.124 -59.5846
4.550000 74.136 -60.8846
4.620000 74.135 -62.5804
4.680000 74.125 -63.9253
4.750000 74.107 -65.3764
4.820000 74.080 -66.6999
4.870000 74.049 -67.5604
4.940000 73.996 -68.6503
5.000000 73.948 -69.4818
5.080000 73.888 -70.4493
5.150000 73.849 -71.1650
5.220000 73.813 -71.7173
5.300000 73.775 -72.1778
5.380000 73.747 -72.5174
5.450000 73.738 -72.7656
5.520000 73.748 -73.0009
5.600000 73.781 -73.1636
5.700000 73.848 -73.2652
5.800000 73.937 -73.3928
5.900000 74.043 -73.6779
6.000000 74.177 -74.0669
6.080000 74.297 -74.4375
6.150000 74.404 -74.8085
6.220000 74.509 -75.2260
6.300000 74.626 -75.7722
6.400000 74.776 -76.5530
6.500000 74.924 -77.4023
6.600000 75.061 -78.2769
6.700000 75.186 -79.2051
6.800000 75.302 -80.1804
6.900000 75.412 -81.1378
7.000000 75.518 -82.0213
7.100000 75.615 -82.8588
7.200000 75.708 -83.6527
7.300000 75.803 -84.3914
7.400000 75.905 -85.0616
7.500000 76.007 -85.6658
7.620000 76.138 -86.3368
7.750000 76.297 -87.0296
7.880000 76.473 -87.6578
8.000000 76.648 -88.2346
8.120000 76.834 -88.8608
8.250000 77.051 -89.5659
8.380000 77.276 -90.3269
8.500000 77.484 -91.1078
8.620000 77.698 -91.9544
8.750000 77.927 -92.9345
8.850000 78.097 -93.7304
9.000000 78.347 -95.0014
9.120000 78.540 -96.0605
9.250000 78.737 -97.2356
9.380000 78.923 -98.4490
9.500000 79.085 -99.5805
9.620000 79.235 -100.7139
9.750000 79.387 -101.9519
9.880000 79.525 -103.1815
10.000000 79.640 -104.3066
10.150000 79.767 -105.6998
10.300000 79.874 -107.0468
10.440000 79.957 -108.2705
10.600000 80.031 -109.5967
10.750000 80.079 -110.7500
10.900000 80.110 -111.8154
11.060000 80.126 -112.8058
11.200000 80.126 -113.5546
11.380000 80.118 -114.3330
11.500000 80.107 -114.7244
11.720000 80.089 -115.2158
11.800000 80.087 -115.3242
12.060000 80.093 -115.4533
12.200000 80.116 -115.4483
12.410000 80.172 -115.3679
12.500000 80.204 -115.3562
12.650000 80.270 -115.3446
12.800000 80.345 -115.3904
13.150000 80.538 -115.8389
13.200000 80.565 -115.9409
13.400000 80.668 -116.4568
13.600000 80.758 -117.0878
13.800000 80.829 -117.8243
14.000000 80.880 -118.5878
14.300000 80.922 -119.7353
14.500000 80.931 -120.4339
14.750000 80.936 -121.2087
15.000000 80.939 -121.8696
15.250000 80.956 -122.4529
15.500000 80.990 -123.0330
15.750000 81.040 -123.6578
16.000000 81.103 -124.3966
16.250000 81.165 -125.2583
16.500000 81.222 -126.2266
16.750000 81.263 -127.2622
17.000000 81.288 -128.2806
17.250000 81.300 -129.2383
17.500000 81.304 -130.0822
17.750000 81.310 -130.7995
18.000000 81.323 -131.4109
18.250000 81.349 -131.9414
18.500000 81.387 -132.4494
18.750000 81.435 -132.9580
19.000000 81.487 -133.4882
19.250000 81.537 -134.0367
19.500000 81.583 -134.5823
19.750000 81.622 -135.1086
20.000000 81.655 -135.5886
20.299999 81.691 -136.0971
20.600000 81.727 -136.5361
20.900000 81.763 -136.9247
21.200001 81.803 -137.2908
21.400000 81.830 -137.5361
21.799999 81.883 -138.0450
22.000000 81.907 -138.3138
22.400000 81.950 -138.8818
22.700001 81.975 -139.3288
23.000000 81.994 -139.7859
23.299999 82.007 -140.2448
23.600000 82.015 -140.6991
24.000000 82.021 -141.2898
24.299999 82.024 -141.7169
24.700001 82.027 -142.2592
25.000000 82.032 -142.6420
25.400000 82.045 -143.1215
25.799999 82.069 -143.5845
26.200001 82.105 -144.0681
26.500000 82.136 -144.4641
26.900000 82.178 -145.0386
27.200001 82.204 -145.4822
27.600000 82.231 -146.0411
28.000000 82.251 -146.5102
28.500000 82.279 -146.9558
29.000000 82.320 -147.3258
29.500000 82.368 -147.7181
30.000000 82.407 -148.1569
30.400000 82.426 -148.5043
30.700001 82.433 -148.7386
31.100000 82.436 -148.9981
31.500000 82.440 -149.2005
32.000000 82.452 -149.4157
32.500000 82.476 -149.6688
33.000000 82.505 -150.0345
33.500000 82.528 -150.5143
34.000000 82.536 -151.0289
34.500000 82.538 -151.4921
35.000000 82.547 -151.8987
35.500000 82.567 -152.3159
36.000000 82.588 -152.7836
36.500000 82.600 -153.2537
37.000000 82.603 -153.6423
37.500000 82.608 -153.9285
38.200001 82.623 -154.2543
38.700001 82.634 -154.4893
39.500000 82.638 -154.8482
40.000000 82.635 -155.0504
40.599998 82.630 -155.3009
41.200001 82.625 -155.6263
41.799999 82.611 -156.0659
42.500000 82.568 -156.5681
43.099998 82.537 -156.7635
43.700001 82.564 -156.8568
44.400002 82.661 -157.2748
45.000000 82.744 -157.9095
45.500000 82.810 -158.4361
46.200001 82.911 -159.2552
46.799999 82.945 -160.1005
47.500000 82.881 -160.2466
48.200001 82.956 -158.8973
48.700001 83.209 -158.1719
49.400002 83.584 -159.4080
50.000000 83.604 -161.7672
50.799999 83.213 -163.0726
51.500000 82.922 -161.8088
52.200001 82.870 -160.4915
53.000000 82.874 -160.0354
53.799999 82.849 -159.9730
54.500000 82.829 -160.1668
55.200001 82.790 -160.5023
56.000000 82.753 -160.7295
57.000000 82.773 -161.0745
58.000000 82.798 -161.6098
59.000000 82.811 -161.9456
60.000000 82.830 -162.0771
60.799999 82.850 -162.1170
61.500000 82.868 -162.1784
62.200001 82.878 -162.2987
63.000000 82.873 -162.4663
64.000000 82.859 -162.6130
65.000000 82.862 -162.7643
66.000000 82.875 -163.0271
67.000000 82.883 -163.3226
68.000000 82.884 -163.5574
69.000000 82.884 -163.6907
70.000000 82.885 -163.7938
71.000000 82.878 -163.8764
72.000000 82.872 -163.9440
73.000000 82.868 -164.0611
74.000000 82.866 -164.2155
75.000000 82.870 -164.4211
76.199997 82.870 -164.6986
77.500000 82.869 -164.8808
78.800003 82.876 -164.9671
80.000000 82.889 -165.0126
81.199997 82.899 -165.1590
82.500000 82.883 -165.3526
83.800003 82.859 -165.4287
85.000000 82.856 -165.4668
86.199997 82.861 -165.6153
87.500000 82.856 -165.7899
88.500000 82.850 -165.8687
90.000000 82.842 -165.9055
91.199997 82.840 -165.8894
92.500000 82.843 -165.8784
93.800003 82.852 -165.9351
95.000000 82.854 -166.0610
96.199997 82.847 -166.1606
97.500000 82.841 -166.1908
98.800003 82.845 -166.2214
100.000000 82.841 -166.3151
101.500000 82.818 -166.4081
103.000000 82.796 -166.4395
104.400002 82.791 -166.5037
106.000000 82.787 -166.6764
107.500000 82.782 -166.7741
109.000000 82.781 -166.8169
110.599998 82.778 -166.8307
112.000000 82.769 -166.8518
113.800003 82.745 -166.9031
115.000000 82.729 -166.9113
117.199997 82.721 -166.9778
118.000000 82.720 -167.0320
120.599998 82.708 -167.1048
122.000000 82.706 -167.0792
124.099998 82.696 -167.0495
125.000000 82.688 -167.0345
126.500000 82.673 -167.0247
128.000000 82.657 -167.0490
131.500000 82.617 -167.2484
132.000000 82.610 -167.2579
134.000000 82.601 -167.1756
136.000000 82.617 -167.0941
138.000000 82.619 -167.0096
140.000000 82.599 -166.9147
143.000000 82.550 -166.9667
145.000000 82.546 -167.0456
147.500000 82.627 -167.0587
150.000000 82.672 -167.3096
152.500000 82.530 -166.9840
155.000000 82.397 -166.3450
157.500000 82.332 -166.0195
160.000000 82.309 -165.7974
162.500000 82.257 -165.4550
165.000000 82.183 -164.9554
167.500000 82.123 -164.6335
170.000000 82.048 -164.2799
172.500000 81.967 -163.5721
175.000000 81.896 -162.4955
177.500000 81.860 -160.9907
180.000000 81.891 -159.0905
182.500000 82.031 -156.9866
185.000000 82.316 -155.1903
187.500000 82.708 -154.2578
190.000000 83.101 -154.4357
192.500000 83.412 -155.5741
195.000000 83.614 -157.2201
197.500000 83.719 -158.8941
200.000000 83.730 -160.2653
203.000000 83.669 -161.3483
206.000000 83.599 -162.1087
209.000000 83.537 -162.6726
212.000000 83.476 -163.0559
214.000000 83.440 -163.2489
218.000000 83.376 -163.5392
220.000000 83.346 -163.6284
224.000000 83.295 -163.7313
227.000000 83.258 -163.7612
230.000000 83.219 -163.7399
233.000000 83.186 -163.6964
236.000000 83.161 -163.6637
240.000000 83.132 -163.6152
243.000000 83.109 -163.5307
247.000000 83.055 -163.2984
