* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -46.7 dBFS, measurement signal peak level -20.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:26:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1042 ms (-36 mm, -1.41 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: ER2SE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.608 25.1672
1.015000 64.769 24.5385
1.030000 64.927 23.9049
1.044000 65.072 23.3101
1.060000 65.236 22.6271
1.075000 65.386 21.9847
1.090000 65.533 21.3411
1.106000 65.687 20.6529
1.120000 65.819 20.0404
1.138000 65.985 19.2370
1.150000 66.093 18.6921
1.172000 66.287 17.6752
1.180000 66.356 17.3002
1.206000 66.577 16.0634
1.220000 66.693 15.3872
1.241000 66.864 14.3612
1.250000 66.936 13.9177
1.265000 67.055 13.1740
1.280000 67.172 12.4253
1.315000 67.439 10.6636
1.320000 67.477 10.4106
1.340000 67.627 9.3968
1.360000 67.774 8.3810
1.380000 67.921 7.3653
1.400000 68.066 6.3513
1.430000 68.283 4.8378
1.450000 68.427 3.8364
1.475000 68.607 2.5948
1.500000 68.784 1.3519
1.525000 68.960 0.1047
1.550000 69.132 -1.1462
1.575000 69.302 -2.4005
1.600000 69.469 -3.6575
1.625000 69.634 -4.9167
1.650000 69.796 -6.1778
1.675000 69.956 -7.4401
1.700000 70.113 -8.7032
1.725000 70.267 -9.9667
1.750000 70.418 -11.2299
1.775000 70.568 -12.4924
1.800000 70.714 -13.7538
1.825000 70.858 -15.0135
1.850000 70.999 -16.2734
1.875000 71.137 -17.5385
1.900000 71.272 -18.8076
1.925000 71.405 -20.0796
1.950000 71.534 -21.3531
1.975000 71.662 -22.6269
2.000000 71.786 -23.8998
2.030000 71.933 -25.4240
2.060000 72.075 -26.9429
2.090000 72.215 -28.4540
2.120000 72.351 -29.9552
2.140000 72.440 -30.9495
2.180000 72.614 -32.9193
2.200000 72.700 -33.8936
2.240000 72.866 -35.8321
2.270000 72.986 -37.2796
2.300000 73.103 -38.7204
2.330000 73.216 -40.1532
2.360000 73.327 -41.5767
2.400000 73.469 -43.4583
2.430000 73.572 -44.8555
2.470000 73.705 -46.6976
2.500000 73.801 -48.0618
2.540000 73.925 -49.8555
2.580000 74.044 -51.6190
2.620000 74.156 -53.3626
2.650000 74.237 -54.6576
2.690000 74.340 -56.3648
2.720000 74.414 -57.6291
2.760000 74.508 -59.2910
2.800000 74.597 -60.9229
2.850000 74.702 -62.9161
2.900000 74.801 -64.8523
2.950000 74.894 -66.7277
3.000000 74.979 -68.5557
3.040000 75.041 -69.9841
3.070000 75.085 -71.0341
3.110000 75.139 -72.4036
3.150000 75.191 -73.7363
3.200000 75.251 -75.3467
3.250000 75.307 -76.8913
3.300000 75.362 -78.3655
3.350000 75.411 -79.7704
3.400000 75.455 -81.1101
3.450000 75.494 -82.3857
3.500000 75.530 -83.5988
3.550000 75.565 -84.7508
3.600000 75.600 -85.8430
3.650000 75.637 -86.8770
3.700000 75.675 -87.8480
3.750000 75.711 -88.7464
3.820000 75.760 -89.8960
3.870000 75.796 -90.6507
3.950000 75.858 -91.7649
4.000000 75.903 -92.4152
4.060000 75.964 -93.1522
4.120000 76.029 -93.8064
4.180000 76.100 -94.3910
4.250000 76.188 -95.0138
4.310000 76.269 -95.5212
4.370000 76.355 -96.0268
4.440000 76.464 -96.6221
4.500000 76.565 -97.1016
4.550000 76.654 -97.4862
4.620000 76.783 -98.0173
4.680000 76.896 -98.4803
4.750000 77.029 -99.0483
4.820000 77.163 -99.6496
4.870000 77.262 -100.0880
4.940000 77.404 -100.7157
5.000000 77.525 -101.2682
5.080000 77.683 -102.0285
5.150000 77.815 -102.7192
5.220000 77.945 -103.4400
5.300000 78.090 -104.2931
5.380000 78.231 -105.1647
5.450000 78.347 -105.9321
5.520000 78.457 -106.6971
5.600000 78.575 -107.5857
5.700000 78.713 -108.7080
5.800000 78.839 -109.8180
5.900000 78.953 -110.8931
6.000000 79.055 -111.9495
6.080000 79.128 -112.7772
6.150000 79.188 -113.4820
6.220000 79.243 -114.1632
6.300000 79.301 -114.9135
6.400000 79.364 -115.8159
6.500000 79.419 -116.6750
6.600000 79.470 -117.4864
6.700000 79.514 -118.2489
6.800000 79.552 -118.9647
6.900000 79.585 -119.6359
7.000000 79.617 -120.2636
7.100000 79.644 -120.8448
7.200000 79.668 -121.3830
7.300000 79.691 -121.8834
7.400000 79.714 -122.3462
7.500000 79.735 -122.7669
7.620000 79.761 -123.2308
7.750000 79.792 -123.6976
7.880000 79.825 -124.1146
8.000000 79.857 -124.4785
8.120000 79.894 -124.8435
8.250000 79.937 -125.2248
8.380000 79.983 -125.6162
8.500000 80.027 -126.0069
8.620000 80.072 -126.4167
8.750000 80.119 -126.8863
8.850000 80.152 -127.2712
9.000000 80.199 -127.8890
9.120000 80.231 -128.3960
9.250000 80.257 -128.9484
9.380000 80.277 -129.5116
9.500000 80.289 -130.0093
9.620000 80.296 -130.4713
9.750000 80.298 -130.9434
9.880000 80.298 -131.3661
10.000000 80.300 -131.6996
10.150000 80.301 -132.0545
10.300000 80.313 -132.3627
10.440000 80.332 -132.5952
10.600000 80.364 -132.8467
10.750000 80.409 -133.1011
10.900000 80.465 -133.3701
11.060000 80.531 -133.7290
11.200000 80.597 -134.1008
11.380000 80.680 -134.6532
11.500000 80.734 -135.0777
11.720000 80.825 -135.9228
11.800000 80.854 -136.2401
12.060000 80.936 -137.3004
12.200000 80.973 -137.8421
12.410000 81.020 -138.6185
12.500000 81.039 -138.9282
12.650000 81.071 -139.4123
12.800000 81.103 -139.8711
13.150000 81.186 -140.8688
13.200000 81.198 -141.0103
13.400000 81.249 -141.5768
13.600000 81.297 -142.1476
13.800000 81.340 -142.7302
14.000000 81.374 -143.2910
14.300000 81.410 -144.0685
14.500000 81.425 -144.5044
14.750000 81.440 -144.9474
15.000000 81.455 -145.2779
15.250000 81.477 -145.5283
15.500000 81.505 -145.7396
15.750000 81.540 -145.9342
16.000000 81.576 -146.1351
16.250000 81.614 -146.3399
16.500000 81.654 -146.5516
16.750000 81.695 -146.7724
17.000000 81.741 -147.0331
17.250000 81.787 -147.3555
17.500000 81.833 -147.7698
17.750000 81.868 -148.2820
18.000000 81.887 -148.8628
18.250000 81.885 -149.4783
18.500000 81.862 -150.0381
18.750000 81.823 -150.4942
19.000000 81.776 -150.8029
19.250000 81.737 -150.9549
19.500000 81.714 -150.9999
19.750000 81.714 -150.9802
20.000000 81.739 -150.9890
20.299999 81.791 -151.1042
20.600000 81.856 -151.3723
20.900000 81.921 -151.7856
21.200001 81.976 -152.2906
21.400000 82.006 -152.6404
21.799999 82.053 -153.3231
22.000000 82.073 -153.6375
22.400000 82.108 -154.1996
22.700001 82.134 -154.5686
23.000000 82.160 -154.8988
23.299999 82.186 -155.1937
23.600000 82.213 -155.4571
24.000000 82.248 -155.7679
24.299999 82.274 -155.9787
24.700001 82.308 -156.2377
25.000000 82.331 -156.4182
25.400000 82.360 -156.6442
25.799999 82.387 -156.8653
26.200001 82.411 -157.1006
26.500000 82.427 -157.2940
26.900000 82.441 -157.5718
27.200001 82.448 -157.7858
27.600000 82.451 -158.0662
28.000000 82.452 -158.3378
28.500000 82.452 -158.6759
29.000000 82.450 -159.0151
29.500000 82.448 -159.3325
30.000000 82.450 -159.6164
30.400000 82.456 -159.8340
30.700001 82.461 -159.9969
31.100000 82.466 -160.1931
31.500000 82.469 -160.3238
32.000000 82.483 -160.3564
32.500000 82.526 -160.3315
33.000000 82.595 -160.4601
33.500000 82.657 -160.8549
34.000000 82.675 -161.3852
34.500000 82.651 -161.7829
35.000000 82.617 -161.9200
35.500000 82.607 -161.9193
36.000000 82.623 -162.0124
36.500000 82.641 -162.3044
37.000000 82.637 -162.7078
37.500000 82.613 -163.0620
38.200001 82.581 -163.3359
38.700001 82.583 -163.4489
39.500000 82.620 -163.7494
40.000000 82.643 -164.0152
40.599998 82.659 -164.2881
41.200001 82.671 -164.4117
41.799999 82.691 -164.4015
42.500000 82.730 -164.3481
43.099998 82.761 -164.3993
43.700001 82.762 -164.5378
44.400002 82.720 -164.5855
45.000000 82.683 -164.4649
45.500000 82.667 -164.4407
46.200001 82.633 -164.6784
46.799999 82.586 -164.9162
47.500000 82.583 -165.3294
48.200001 82.590 -166.7154
48.700001 82.481 -168.1202
49.400002 82.129 -168.9100
50.000000 81.896 -167.6173
50.799999 82.057 -165.4047
51.500000 82.381 -165.4101
52.200001 82.555 -166.4421
53.000000 82.632 -167.0858
53.799999 82.717 -167.3156
54.500000 82.767 -167.4904
55.200001 82.791 -167.4889
56.000000 82.818 -167.4117
57.000000 82.820 -167.4707
58.000000 82.786 -167.5436
59.000000 82.746 -167.6158
60.000000 82.725 -167.7000
60.799999 82.730 -167.8571
61.500000 82.736 -168.0747
62.200001 82.737 -168.2920
63.000000 82.735 -168.4600
64.000000 82.738 -168.5754
65.000000 82.735 -168.6843
66.000000 82.710 -168.6957
67.000000 82.694 -168.5155
68.000000 82.714 -168.4035
69.000000 82.737 -168.5400
70.000000 82.743 -168.7272
71.000000 82.753 -168.8704
72.000000 82.763 -169.0556
73.000000 82.757 -169.2067
74.000000 82.748 -169.2407
75.000000 82.744 -169.2362
76.199997 82.744 -169.2614
77.500000 82.745 -169.3992
78.800003 82.742 -169.5604
80.000000 82.763 -169.6931
81.199997 82.817 -170.0114
82.500000 82.827 -170.6681
83.800003 82.782 -170.6645
85.000000 82.818 -170.4177
86.199997 82.837 -170.4782
87.500000 82.799 -170.4117
88.500000 82.748 -170.1998
90.000000 82.683 -169.6976
91.199997 82.663 -169.4910
92.500000 82.636 -169.5796
93.800003 82.606 -169.6737
95.000000 82.622 -169.7445
96.199997 82.663 -170.0462
97.500000 82.684 -170.4820
98.800003 82.670 -170.8876
100.000000 82.610 -170.9765
101.500000 82.569 -170.6013
103.000000 82.574 -170.4315
104.400002 82.571 -170.3652
106.000000 82.585 -170.3101
107.500000 82.597 -170.3592
109.000000 82.596 -170.3540
110.599998 82.588 -170.2834
112.000000 82.577 -170.1870
113.800003 82.570 -170.0914
115.000000 82.565 -170.1160
117.199997 82.549 -170.1647
118.000000 82.547 -170.1708
120.599998 82.544 -170.2344
122.000000 82.538 -170.2700
124.099998 82.527 -170.2540
125.000000 82.527 -170.2016
126.500000 82.535 -170.0797
128.000000 82.537 -169.8597
131.500000 82.516 -168.8389
132.000000 82.518 -168.7395
134.000000 82.502 -168.8900
136.000000 82.435 -169.3511
138.000000 82.401 -169.6597
140.000000 82.396 -169.7191
143.000000 82.366 -169.4752
145.000000 82.333 -169.5168
147.500000 82.322 -170.0687
150.000000 82.244 -170.4695
152.500000 82.168 -169.4589
155.000000 82.166 -168.6868
157.500000 82.147 -168.4824
160.000000 82.110 -168.3450
162.500000 82.018 -167.9501
165.000000 81.910 -167.3121
167.500000 81.866 -166.8137
170.000000 81.837 -166.4272
172.500000 81.783 -165.6460
175.000000 81.716 -164.4540
177.500000 81.663 -162.9277
180.000000 81.673 -161.0862
182.500000 81.801 -159.0841
185.000000 82.072 -157.2517
187.500000 82.443 -156.0703
190.000000 82.826 -155.9728
192.500000 83.149 -156.8562
195.000000 83.383 -158.1156
197.500000 83.528 -159.3216
200.000000 83.587 -160.6497
203.000000 83.544 -162.3031
206.000000 83.478 -163.4996
209.000000 83.422 -164.2269
212.000000 83.361 -164.6650
214.000000 83.323 -164.8571
218.000000 83.252 -165.1268
220.000000 83.216 -165.2315
224.000000 83.163 -165.3662
227.000000 83.120 -165.3694
230.000000 83.065 -165.3243
233.000000 83.027 -165.2762
236.000000 83.010 -165.2565
240.000000 82.987 -165.1787
243.000000 82.962 -165.0585
247.000000 82.905 -164.8002
250.000000 82.870 -164.6102
254.000000 82.870 -164.5796
